event_name,event_period,event_year,study_focus,iso_country_code,cb_region,event_type,classification,summary_statement,publication_year,citation,source,rapid_study,link
Russia summer heatwave,2010,2010,Event,RUS,Europe,Heat,No discernible human influence,"""Analysis of forced model simulations indicates that neither human influences nor other slowly evolving ocean boundary conditions contributed substantially to the magnitude of this heat wave.""",2011,"Dole, R. et al., 2011: Was there a basis for anticipating the 2010 Russian heat wave? Geophysical Research Letters, 38, L06702",Geophysical Research Letters,No,https://www.esrl.noaa.gov/psd/people/tao.zhang/2010GL046582.pdf
Hurricanes Ivan & Katrina,2004-2005,2004-2005,Event,USA,Northern America,Rain & flooding,More severe or more likely to occur,"""The environmental changes related to human influences on climate since 1970 have increased SSTs and water vapor, and the results suggest how this may have altered hurricanes and increased associated storm rainfalls, with the latter quantified to date to be of order 6 to 8%""",2007,"Trenberth, K. et al., 2007: Water and energy budgets of hurricanes: Case studies of Ivan and Katrina. JGR Atmosphere, 112 (D3)",Journal of Geophysical Research: Atmospheres,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2006JD008303
England autumn-winter floods,2000,2000,Event,GBR,Europe,Rain & flooding,More severe or more likely to occur,"""For all but one catchment, emissions are likely to have led to an increased chance of flooding in the October–December period.""",2011,"Kay, A.L. et al., 2011: Attribution of Autumn/Winter 2000 flood risk in England to anthropogenic climate change: A catchment-based study. Journal of Hydrology, 406 (1-2), 97-112",Journal of Hydrology,No,http://www.sciencedirect.com/science/article/pii/S0022169411004033
England & Wales autumn floods,2000,2000,Event,GBR,Europe,Rain & flooding,More severe or more likely to occur,"""In nine out of 10 cases, our model results indicate that twentieth-century anthropogenic greenhouse gas emissions increased the risk of floods occurring in England and Wales in autumn 2000 by more than 20%, and in two out of three cases by more than 90%""",2011,"Pall, P. et al., 2011: Anthropogenic greenhouse gas contribution to flood risk in England and Wales in autumn 2000. Nature, 470, 382-385",Nature,No,https://www.nature.com/nature/journal/v470/n7334/full/nature09762.html
Northern hemisphere daily rainfall extremes,1951-2003,NA,Trend,NA,Northern hemisphere,Rain & flooding,More severe or more likely to occur,"""Here we show that human-induced increases in greenhouse gases have contributed to the observed intensification of heavy precipitation events found over approximately two-thirds of data-covered parts of Northern hemisphere land areas.""",2011,"Min, S-K. et al., 2011: Human contribution to more-intense precipitation extremes. Nature, 470, pages 378–381",Nature,No,https://www.nature.com/articles/nature09763
Atlantic tropical cyclone activity,1870-2004,NA,Trend,NA,Northern hemisphere,Storm,More severe or more likely to occur,"""This article presents results indicating that anthropogenic factors are likely responsible for long‐term trends in tropical Atlantic warmth and tropical cyclone activity.""",2006,"Mann, M. E. & Emanuel, K. A. 2006: Atlantic hurricane trends linked to climate change, EOS Transactions, 87(24): 233-244, doi:10.1029/2006EO240001",EOS Transactions,No,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2006EO240001
Russia summer heatwave,2010,2010,Event,RUS,Europe,Heat,More severe or more likely to occur,"""Here we use the results from a large ensemble simulation experiment with an atmospheric general circulation model to show that…the same event can be both mostly internally‐generated in terms of magnitude and mostly externally‐driven in terms of occurrence‐probability.""",2012,"Otto, F. et al., 2012: Reconciling two approaches to attribution of the 2010 Russian heat wave. Geophysical Research Letters, 39, L04702",Geophysical Research Letters,No,http://onlinelibrary.wiley.com/doi/10.1029/2011GL050422/abstract
England warm November,2011,2011,Event,GBR,Europe,Heat,More severe or more likely to occur,"""The warm November of 2011…corresponds to a return period of 20 years in the 2000s, but a return period of 1250 years in the 1960s, an approximately 62 times increase in occurrence.""",2012,"Massey, N. et al., 2012: Have the odds of warm November temperatures and of cold December temperatures in central England changed? [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), 1057-1060",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1
Remarkable' European temperatures,2011,2011,Event,NA,Europe,Heat,Insufficient data/inconclusive,"""High interannual correlations between observed and analog temperatures confirm that the North Atlantic dynamics remains the main driver of European temperature variability, especially in wintertime.""",2012,"Cattiaux, J. et al., 2012: Contribution of atmospheric circulation to remarkable European temperatures of 2011 [in “Explaining Extreme Events of 2011 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 93 (7), 1054-1057.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1
East Africa drought,2011,2011,Event,NA,Sub-Saharan Africa,Drought,No discernible human influence,"""It is interesting to note that while SST-driven simulations of the 2011 March–May (MAM) season clearly show the important role played by the warm western Pacific (Lyon and DeWitt 2012), and while the new CMIP5 SSTs exhibit substantial warming during the 1990s and 2000s, these increasing SSTs do not appear to produce corresponding large changes in evaporation or rainfall over eastern Africa.""",2012,"Funk, C. et al., 2012: Exceptional warming in the western Pacific–indian ocean warm pool has contributed to more frequent droughts in eastern Africa [in “Explaining Extreme Events of 2011 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 93 (7), 1049-1051.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1
Texas drought,2011,2011,Event,USA,Northern America,Drought,Insufficient data/inconclusive,"""While we can provide evidence that the risk of hot and dry conditions has increased, we cannot say that the 2011 Texas drought and heat wave was ""extremely unlikely"" (in any absolute sense) to have occurred before this recent warming.""",2012,"Rupp, D. et al., 2012: Did human influence on climate make the 2011 Texas drought more probable? [in “Explaining Extreme Events of 2011 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 93 (7), 1052-1054.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1
Thailand floods,2011,2011,Event,THA,Eastern and south-eastern Asia,Rain & flooding,No discernible human influence,"""Neither in the precipitation observations nor in climate models is there a trend in mean or variability up to now, so climate change cannot be shown to have played any role in this event.""",2012,"van Oldenborgh, G. J. et al., 2012: The absence of a role of climate change in the 2011 Thailand floods [in “Explaining Extreme Events of 2011 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 93 (7), 1060-1062.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1
US flooding,1882-2008,NA,Trend,USA,Northern America,Rain & flooding,No discernible human influence,"""In none of the four regions defined in this study [where the contiguoug US is divided into four] is there strong statistical evidence for flood magnitudes increasing with increasing GMCO2 [global mean CO2 concentration].""",2012,"Hirsch, R. M. & Ryberg, K. R. 2012: Has the magnitude of floods across the USA changed with global CO2 levels?, Hydrological Sciences Journal, 57:1-9, doi:10.1080/02626667.2011.621895",Hydrological Sciences Journal,No,https://www.tandfonline.com/doi/full/10.1080/02626667.2011.621895
UK cold winter of 2010-11,2010-2011,2010-2011,Event,GBR,Europe,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Yet while the odds of such an event have lengthened as a result of human influence on climate, such unlikely events can still happen, as the winter of 2010/11 demonstrated.""",2012,"Christidis, N. & Stott, P. 2012: Lengthened odds of the cold uk winter of 2010/11 attributable to human influence  Bull. Amer. Meteor. Soc., S1060-S1062",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1
England cold December,2010,2010,Event,GBR,Europe,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Therefore, a cold December of –0.7°C is half as likely to occur in the 2000s when compared to the 1960s.""",2012,"Massey, N. et al., 2012: Have the odds of warm November temperatures and of cold December temperatures in central England changed? [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc.,93 (7), 1057-1060",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/full/10.1175/BAMS-D-12-00021.1
US July heat,2012,2012,Event,USA,Northern America,Heat,More severe or more likely to occur,"""Our analyses of the CMIP5 global climate model ensemble suggest that the likelihood of extreme July temperature anomalies is greater in the current forcing than in the preindustrial forcing.""",2013,"Diffenbaugh, N. & Scherer, M. 2013: Likelihood of july 2012 U.S. temperatures in preindustrial and current forcing regimes [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S6-S9.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Spring 'warm anomaly' in eastern US,2012,2012,Event,USA,Northern America,Heat,More severe or more likely to occur,"""The anthropogenic contribution to the extreme seasonal (MAM) warmth over the eastern United States can be estimated as about 35%, or in terms of risk, anthropogenic forcing leads to a factor of 12 increase in the risk of such an event according to our calculations.""",2013,"Knutson, T et al., 2013: The extreme March–May 2012 warm anomaly over the eastern United States: global context and multimodel trend analysis  [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S13-S17",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Australia record summer temperatures,2013,2013,Event,AUS,Australia and New Zealand,Heat,More severe or more likely to occur,"""It was very likely (>90% confidence) there was at least a 2.5 times increase in the odds of extreme heat due to human influences using simulations to 2005, and a fivefold increase in this risk using simulations for 2006–2020.""",2013,"Lewis et al., 2013: Anthropogenic contributions to Australia's record summer temperatures of 2013. Geophysical Research Letters, 40 (14), 3705-3709",Geophysical Research Letters,No,http://onlinelibrary.wiley.com/doi/10.1002/grl.50673/abstract
Global warm/extreme events,2011-2012,2011-2012,Event,NA,Global,Heat,More severe or more likely to occur,"""In more than half of the 10 cases considered here anthropogenic influence results in warm events being 3 times more likely and extreme events 5 times more likely during September 2011–August 2012.""",2013,"Christidis, N. & Stott, P., 2013: Change in the Odds of Warm Years and Seasons Due to Anthropogenic Influence on the Climate. J. Climate, DOI: 10.1175/JCLI-D-13-00563.1",Journal of Climate,No,https://journals.ametsoc.org/doi/10.1175/JCLI-D-13-00563.1
Global warm/cold days/nights,1951-2000,NA,Trend,NA,Global,Heat,More severe or more likely to occur,"""The anthropogenic signal is detected in global and northern continental means of all four indices, albeit less robustly for TXx, which is consistent with previous findings.""",2013,"Min, S-K. et al., 2013: Multimodel Detection and Attribution of Extreme Temperature Changes. J. Climate, DOI:10.1175/JCLI-D-12-00551.1",Journal of Climate,No,https://journals.ametsoc.org/doi/full/10.1175/JCLI-D-12-00551.1
US heatwaves of spring/summer 2012,2012,2012,Event,USA,Northern America,Heat,Insufficient data/inconclusive,"""The contribution of potential changes in circulation to the recent long-term warming in the United States, therefore, requires further research.""",2013,"Cattiaux, J. & Yiou, P. 2013: U.S. heat waves of spring and summer 2012 from the flow-analogue perspective [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S10-S13",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
South Amazon drought,2010,2010,Event,BRA,Latin America and the Caribbean,Drought,More severe or more likely to occur,"""It seemed that both human influences and the sea surface temperature (SST) natural variability increased probabilities of the 2010 severe drought in the South Amazon region.""",2013,"Shiogama, H. et al., 2013: An event attribution of the 2010 drought in the South Amazon region using the MIROC5 model. Atmospheric Science Letters, 14 (3), 170-175",Atmospheric Science Letters,No,https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/asl2.435
Iberian Peninsula record winter drought,2011-2012,2011-2012,Event,"ESP,PRT",Europe,Drought,More severe or more likely to occur,"""Overall these results agree with previous ones by Hoerling et al. (2012b), who found a tendency toward a drier Mediterranean for the period 1970–2010 in comparison with 1901–70, and that such a trend has been partially driven by the anthropogenic emissions of greenhouse gases and aerosols, although modulated by the NAO phase.""",2013,"Trigo, R. M. et al., 2013: The record winter drought of 2011–12 in the Iberian peninsula [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S41-S45.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
East Africa drought,2011,2011,Event,NA,Sub-Saharan Africa,Drought,More severe or more likely to occur,"""Human influence was found to increase the probability of long rains as dry as, or drier than, 2011""",2013,"Lott, F. et al., 2013: Can the 2011 East African drought be attributed to human‐induced climate change? Geophysical Research Letters, 40 (6), 1177-1181",Geophysical Research Letters,No,http://onlinelibrary.wiley.com/doi/10.1002/grl.50235/abstract
Texas drought/heatwave,2011,2011,Event,USA,Northern America,Drought,No discernible human influence,"""Quantitative attribution of the overall human-induced contribution since preindustrial times is complicated by the lack of a detected century-scale temperature trend over Texas.""",2013,"Hoerling, M et al., 2013: Anatomy of an Extreme Event, J Clim, 26 (9), 2811–2832",Journal of Climate,No,http://journals.ametsoc.org/doi/abs/10.1175/JCLI-D-12-00270.1
Severe Great Plains drought,May-July 2012,2012,Event,USA,Northern America,Drought,No discernible human influence,"""It is concluded that the extreme Great Plains drought did not require extreme external forcings and could plausibly have arisen from atmospheric noise alone.""",2013,"Kumar, A. et al., 2013: Do extreme climate events require extreme forcings? Geophysical Research Letters, 3440-3445",Geophysical Research Letters,No,http://onlinelibrary.wiley.com/doi/10.1002/grl.50657/abstract
Central US low rainfall,2012,2012,Event,USA,Northern America,Drought,No discernible human influence,"""The implication is that human alteration of the atmospheric composition may have had little effect on the frequency of low-precipitation periods.""",2013,"Rupp, D. et al., 2013: Human influence on the probability of low precipitation in the central United States [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S2-S6.",Bulletin of the American Meteorological Society,No,https://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Congo Basin dry season low rainfall extremes,1960s-2000s,NA,Trend,COD,Sub-Saharan Africa,Drought,No discernible human influence,"""There are no significant changes in the risk of low precipitation extremes during this dry season (JJA) precipitation in the Congo Basin. Results for the December, January, February dry season are less clear.""",2013,"Otto, F. E. L. et al. 2013: Attribution of changes in precipitation patterns in African rainforests, Philosophical Transactions of the Royal Society B, 368(1625), doi:10.1098/rstb.2012.0299",Philosophical Transactions of the Royal Society B,No,https://royalsocietypublishing.org/doi/10.1098/rstb.2012.0299#d19177742e1
Eastern Kenya & southern Somalia rainfall deficits,2012,2012,Event,"KEN,SOM",Sub-Saharan Africa,Drought,Insufficient data/inconclusive,"""The results indicate that non-ENSO SST variations substantially increased the risk of a dry event in 2012...It is worth noting, however, that the procedure used here does not necessarily indicate an anthropogenic attribution.""",2013,"Funk, C. et al., 2013: Attribution of 2012 and 2003–12 rainfall deficits in eastern Kenya and southern Somalia [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S45-S48.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Wet north European summer,2012,2012,Event,NA,Europe,Rain & flooding,More severe or more likely to occur,"""This suggests a contribution of climate change to precipitation rate in northern Europe. We conjecture that such a trend could be due to precipitation rates within the cyclonic patterns, which convey more moisture because of increased temperatures.""",2013,"Yiou, P. & Cattiaux, J., 2013: Contribution of atmospheric circulation to wet north European summer precipitation of 2012 [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S39-S41.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
New Zealand extreme rainfall,December 2011,2011,Event,NZL,Australia and New Zealand,Rain & flooding,More severe or more likely to occur,"""This analysis indicates that the total moisture available for precipitation in the Golden Bay/Nelson extreme rainfall event of December 2011 was 1%–5% higher as a result of the emission of anthropogenic greenhouse gases.""",2013,"Dean, S. et al., 2013: The role of climate change in the two-day extreme rainfall in Golden Bay, New Zealand, December 2011 [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S61-S63.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Northern hemisphere 1-day & 5-day rainfall totals,1951-2005,NA,Trend,NA,Northern hemisphere,Rain & flooding,More severe or more likely to occur,"""We estimate that human influence has intensified annual maximum 1 day precipitation in sampled Northern hemisphere locations by 3.3% [1.1% to 5.8%, >90% confidence interval] on average.""",2013,"Zhang, X. et al., 2013: Attributing intensification of precipitation extremes to human influence. GRL, 40 (19), 5252-5257",Geophysical Research Letters,No,https://agupubs.onlinelibrary.wiley.com/doi/full/10.1002/grl.51010
Northwestern Europe wet summers,2007-2012,2007-2012,Event,GBR,Europe,Rain & flooding,No discernible human influence,"""We find no evidence that declines in sea ice can explain these recent wet summers, with the expected response to changes in sea ice since the late 1980s being small.""",2013,"Tett, S. et al., 2013: Are recent wet northwestern European summers a response to sea ice retreat? [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S32-S35.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
UK summer high rainfall,2012,2012,Event,GBR,Europe,Rain & flooding,No discernible human influence,"""Although the summer UK rainfall in 2012 was unusually large, the model distributions studied suggest that any anthropogenic influence on these patterns was minimal.""",2013,"Sparrow, S. et al., 2013: The use of a very large atmospheric model ensemble to assess potential anthropogenic influence on the uk summer 2012 high rainfall totals [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S36-S39.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.0
South-western Japan heavy rainfall,2012,2012,Event,JPN,Eastern and south-eastern Asia,Rain & flooding,No discernible human influence,"""In the case of the 2012 event, the effect of anthropogenic global warming is too small to be detected compared with the variability due to the natural variability of the SST.""",2013,"Imada, Y. et al., 2013: Contribution of atmospheric circulation change to the 2012 heavy rainfall in southwestern Japan [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S52-S54.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
South-east Australia extreme rainfall,2011-2012,2011-2012,Event,AUS,Australia and New Zealand,Rain & flooding,No discernible human influence,"""In summary, we detect limited evidence of a change in the relationship between ENSO and SE Australia extreme rainfall, or of a change in extreme rainfall itself, that may be attributed to anthropogenic climate change.""",2013,"King, A. et al., 2013: Limited evidence of anthropogenic influence on the 2011–12 extreme rainfall over southeast Australia [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S55-S58.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Eastern Australia heavy rainfall,2012,2012,Event,AUS,Australia and New Zealand,Rain & flooding,No discernible human influence,"""Despite the potential contribution of all factors examined here, the extreme magnitude of the event appears to arise mainly from unforced internal climatic variations.""",2013,"Christidis, N et al., 2013: An attribution study of the heavy rainfall over eastern Australia in March 2012 [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S58-S61",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.2
North China floods,2012,2012,Event,CHN,Eastern and south-eastern Asia,Rain & flooding,Insufficient data/inconclusive,"""We are unable to confirm or reject the role of climate change in the 21–22 July 2012 rainfall event due to the inability of the CMIP5 models to accurately replicate observations in this region of China.""",2013,"Zhou, T et al., 2013: The 2012 north China floods: explaining an extreme rainfall event in the context of a longer-term drying tendency [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S49-S51.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Arctic sea ice record summer low,2012,2012,Event,NA,Arctic,"Cold, snow & ice","Decrease, less severe or less likely to occur","""Our modeling results indicate that the exceptional 2012 sea ice loss was primarily due to the sea ice memory and to the positive feedback of the warm atmospheric conditions, both contributing approximately equally.""",2013,"Guemas, V. et al., 2013: September 2012 Arctic sea ice minimum: discriminating between sea ice memory, the august 2012 extreme storm, and prevailing warm conditions [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S20-S22.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Arctic sea ice record summer low,2012,2012,Event,NA,Arctic,"Cold, snow & ice","Decrease, less severe or less likely to occur","""The observed 2012 record low in ASIE is extremely unlikely to have occurred due to internal climate variability alone, according to the models.""",2013,"Zhang, R. & Knutson, T. 2013: The role of global climate change in the extreme low summer Arctic sea ice extent in 2012 [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S22-S26.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
European cold spell,February 2012,2012,Event,NLD,Europe,"Cold, snow & ice",Insufficient data/inconclusive,"""Snowfall on the thin ice that had just formed is shown to limit the ice growth more strongly than the effect of warming.""",2013,"De Vries, H. et al., 2013: The February 2012 European cold spell that didn’t bring the Dutch another 11-city tour [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S26-S28.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Hurricane Sandy,2012,2012,Event,USA,Northern America,Storm,More severe or more likely to occur,"""Accordingly, we estimate that relative sea level over 1950–2012 from global SLR (thermal expansion and ice melt), VLM (subsidence), and ocean circulation variability has contributed to a one- to two-thirds decrease in Sandy-level event recurrences.""",2013,"Sweet, W. et al., 2013: Hurricane Sandy inundation probabilities today and tomorrow  [in “Explaining Extreme Events of 2012 from a Climate Perspective”]. Bull. Amer. Meteor. Soc., 94 (9), S17-S20.",Bulletin of the American Meteorological Society,No,http://journals.ametsoc.org/doi/pdf/10.1175/BAMS-D-13-00085.1
Hurricane Katrina,2005,2005,Event,USA,Northern America,Storm,More severe or more likely to occur,"""Surge simulations suggest that flood elevations would have been 15 to 60 % lower c. 1900 than the conditions observed in 2005. This drastic change suggests that significantly more flood damage occurred in 2005 than would have occurred if sea level and climate conditions had been like those c. 1900.""",2013,"Irish, J. et al., 2013: Simulations of Hurricane Katrina (2005) under sea level and climate conditions for 1900. Climatic Change, 122 (4), 635–649",Climatic Change,No,https://link.springer.com/article/10.1007/s10584-013-1011-1
Global tropical cyclone activity,1975-2010,NA,Trend,NA,Global,Storm,Insufficient data/inconclusive,"""We find no anthropogenic signal in annual global tropical cyclone or hurricane frequencies. But a strong signal is found in proportions of both weaker and stronger hurricanes: the proportion of Category 4 and 5 hurricanes has increased at a rate of ~25–30 % per C of global warming after accounting for analysis and observing system changes.""",2013,"Holland, G. & Bruyère , C. L. 2013: Recent intense hurricane response to global climate change, Climate Dynamics, 42: 617-627, doi:10.1007/s00382-013-1713-0",Climate Dynamics,No,https://link.springer.com/article/10.1007/s00382-013-1713-0
