year,milk_type,pounds
2003,Low Fat (1%),62734e5
2004,Low Fat (1%),63114e5
2005,Low Fat (1%),64989e5
2006,Low Fat (1%),6603499999.999999
2007,Low Fat (1%),67956e5
2008,Low Fat (1%),69395e5
2009,Low Fat (1%),71323e5
2010,Low Fat (1%),7522900000.000001
2011,Low Fat (1%),7689200000.000001
2012,Low Fat (1%),7812799999.999998
2013,Low Fat (1%),7568000000.000001
2014,Low Fat (1%),7421099999.999998
2015,Low Fat (1%),77797e5
2016,Low Fat (1%),73727e5
2017,Low Fat (1%),68792e5
1975,Skim,248e7
1976,Skim,2524e6
1977,Skim,2617e6
1978,Skim,2543e6
1979,Skim,2604e6
1980,Skim,2636e6
1981,Skim,2583e6
1982,Skim,2449e6
1983,Skim,2474e6
1984,Skim,2726e6
1985,Skim,3009e6
1986,Skim,3236e6
1987,Skim,3406e6
1988,Skim,3979e6
1989,Skim,5006e6
1990,Skim,5702e6
1991,Skim,6e9
1992,Skim,6357e6
1993,Skim,6844e6
1994,Skim,7414e6
1995,Skim,8359e6
1996,Skim,8871e6
1997,Skim,9139e6
1998,Skim,9203e6
1999,Skim,8985e6
2e3,Skim,83909e5
2001,Skim,8186099999.999999
2002,Skim,8138099999.999999
2003,Skim,7880700000.000001
2004,Skim,7848099999.999998
2005,Skim,80859e5
2006,Skim,81776e5
2007,Skim,8286599999.999998
2008,Skim,8334499999.999998
2009,Skim,82704e5
2010,Skim,8438099999.999998
2011,Skim,8263800000.000001
2012,Skim,77887e5
2013,Skim,71372e5
2014,Skim,6358800000.000001
2015,Skim,5682e6
2016,Skim,50523e5
2017,Skim,44513e5
1975,Flavored (Whole),1366e6
1976,Flavored (Whole),1475e6
1977,Flavored (Whole),1446e6
1978,Flavored (Whole),1359e6
1979,Flavored (Whole),1236e6
1980,Flavored (Whole),1075e6
1981,Flavored (Whole),843e6
1982,Flavored (Whole),71e7
1983,Flavored (Whole),749e6
1984,Flavored (Whole),907e6
1985,Flavored (Whole),882e6
1986,Flavored (Whole),851e6
1987,Flavored (Whole),83e7
1988,Flavored (Whole),816e6
1989,Flavored (Whole),77e7
1990,Flavored (Whole),691e6
1991,Flavored (Whole),672e6
1992,Flavored (Whole),689e6
1993,Flavored (Whole),69e7
1994,Flavored (Whole),702e6
1995,Flavored (Whole),704e6
1996,Flavored (Whole),662e6
1997,Flavored (Whole),676e6
1998,Flavored (Whole),788e6
1999,Flavored (Whole),877e6
2e3,Flavored (Whole),948e6
2001,Flavored (Whole),1016e6
2002,Flavored (Whole),10059e5
2003,Flavored (Whole),1000199999.9999998
2004,Flavored (Whole),8528e5
2005,Flavored (Whole),763000000.0000001
2006,Flavored (Whole),724499999.9999999
2007,Flavored (Whole),683999999.9999999
2008,Flavored (Whole),609e6
2009,Flavored (Whole),594400000.0000002
2010,Flavored (Whole),571899999.9999998
2011,Flavored (Whole),539300000.0000001
2012,Flavored (Whole),539900000.0000001
2013,Flavored (Whole),5858e5
2014,Flavored (Whole),555299999.9999999
2015,Flavored (Whole),593500000.0000001
2016,Flavored (Whole),634900000.0000001
2017,Flavored (Whole),678199999.9999999
1975,Flavored  (Not Whole),719e6
1976,Flavored  (Not Whole),864e6
1977,Flavored  (Not Whole),1062e6
1978,Flavored  (Not Whole),1097e6
1979,Flavored  (Not Whole),1129e6
1980,Flavored  (Not Whole),1197e6
1981,Flavored  (Not Whole),1288e6
1982,Flavored  (Not Whole),1283e6
1983,Flavored  (Not Whole),1374e6
1984,Flavored  (Not Whole),1409e6
1985,Flavored  (Not Whole),143e7
1986,Flavored  (Not Whole),1516e6
1987,Flavored  (Not Whole),1608e6
1988,Flavored  (Not Whole),163e7
1989,Flavored  (Not Whole),1611e6
1990,Flavored  (Not Whole),1657e6
1991,Flavored  (Not Whole),1719e6
1992,Flavored  (Not Whole),1745e6
1993,Flavored  (Not Whole),1776e6
1994,Flavored  (Not Whole),1842e6
1995,Flavored  (Not Whole),1914e6
1996,Flavored  (Not Whole),2075e6
1997,Flavored  (Not Whole),2154e6
1998,Flavored  (Not Whole),2256e6
1999,Flavored  (Not Whole),2339e6
2e3,Flavored  (Not Whole),2757600000.0000005
2001,Flavored  (Not Whole),2871400000.0000005
2002,Flavored  (Not Whole),3032899999.9999995
2003,Flavored  (Not Whole),3236e6
2004,Flavored  (Not Whole),3547700000.0000005
2005,Flavored  (Not Whole),3689400000.0000005
2006,Flavored  (Not Whole),3786999999.9999995
2007,Flavored  (Not Whole),3761700000.0000005
2008,Flavored  (Not Whole),3798599999.9999995
2009,Flavored  (Not Whole),3919000000.0000005
2010,Flavored  (Not Whole),4031399999.9999995
2011,Flavored  (Not Whole),3952800000.0000005
2012,Flavored  (Not Whole),3919499999.9999995
2013,Flavored  (Not Whole),38893e5
2014,Flavored  (Not Whole),3822700000.0000005
2015,Flavored  (Not Whole),3875899999.9999995
2016,Flavored  (Not Whole),39741e5
2017,Flavored  (Not Whole),40424e5
1975,Buttermilk,1011e6
1976,Buttermilk,1021e6
1977,Buttermilk,1007e6
1978,Buttermilk,983e6
1979,Buttermilk,939e6
1980,Buttermilk,927e6
1981,Buttermilk,926e6
1982,Buttermilk,95e7
1983,Buttermilk,1006e6
1984,Buttermilk,102e7
1985,Buttermilk,1046e6
1986,Buttermilk,1017e6
1987,Buttermilk,104e7
1988,Buttermilk,1006e6
1989,Buttermilk,91e7
1990,Buttermilk,879e6
1991,Buttermilk,855e6
1992,Buttermilk,808e6
1993,Buttermilk,78e7
1994,Buttermilk,76e7
1995,Buttermilk,739e6
1996,Buttermilk,711e6
1997,Buttermilk,691e6
1998,Buttermilk,676e6
1999,Buttermilk,668e6
2e3,Buttermilk,621800000.0000001
2001,Buttermilk,596300000.0000001
2002,Buttermilk,576900000.0000001
2003,Buttermilk,5537e5
2004,Buttermilk,532599999.9999999
2005,Buttermilk,520299999.99999994
2006,Buttermilk,513900000.0000001
2007,Buttermilk,520700000.00000006
2008,Buttermilk,482399999.99999994
2009,Buttermilk,452799999.99999994
2010,Buttermilk,453100000.00000006
2011,Buttermilk,4702e5
2012,Buttermilk,4743e5
2013,Buttermilk,493500000.00000006
2014,Buttermilk,485599999.99999994
2015,Buttermilk,5125e5
2016,Buttermilk,509400000.00000006
2017,Buttermilk,499100000.00000006
1975,Eggnog,76e6
1976,Eggnog,87e6
1977,Eggnog,94e6
1978,Eggnog,94e6
1979,Eggnog,94e6
1980,Eggnog,95e6
1981,Eggnog,1e8
1982,Eggnog,104e6
1983,Eggnog,112e6
1984,Eggnog,116e6
1985,Eggnog,121e6
1986,Eggnog,121e6
1987,Eggnog,124e6
1988,Eggnog,129e6
1989,Eggnog,124e6
1990,Eggnog,123e6
1991,Eggnog,111e6
1992,Eggnog,115e6
1993,Eggnog,107e6
1994,Eggnog,108e6
1995,Eggnog,112e6
1996,Eggnog,103e6
1997,Eggnog,102e6
1998,Eggnog,102e6
1999,Eggnog,109e6
2e3,Eggnog,1266e5
2001,Eggnog,1245e5
2002,Eggnog,1503e5
2003,Eggnog,1534e5
2004,Eggnog,1472e5
2005,Eggnog,1472e5
2006,Eggnog,1509e5
2007,Eggnog,1413e5
2008,Eggnog,1426e5
2009,Eggnog,1419e5
2010,Eggnog,1408e5
2011,Eggnog,1408e5
2012,Eggnog,134e6
2013,Eggnog,133e6
2014,Eggnog,1319e5
2015,Eggnog,1256e5
2016,Eggnog,1336e5
2017,Eggnog,1427e5
1975,Total Production,53308e6
1976,Total Production,53643e6
1977,Total Production,53688e6
1978,Total Production,53561e6
1979,Total Production,53525e6
1980,Total Production,53101e6
1981,Total Production,52799e6
1982,Total Production,51884e6
1983,Total Production,52224e6
1984,Total Production,52907e6
1985,Total Production,5406e7
1986,Total Production,54343e6
1987,Total Production,54042e6
1988,Total Production,54465e6
1989,Total Production,54988e6
1990,Total Production,54894e6
1991,Total Production,55165e6
1992,Total Production,55135e6
1993,Total Production,54482e6
1994,Total Production,54784e6
1995,Total Production,54692e6
1996,Total Production,55131e6
1997,Total Production,54884e6
1998,Total Production,54618e6
1999,Total Production,55016e6
2e3,Total Production,55531287318.69589
2001,Total Production,55057162707.615326
2002,Total Production,55229944859.2186
2003,Total Production,54995046291.32784
2004,Total Production,54693722029.10771
2005,Total Production,54877205728.99702
2006,Total Production,54967645703.66456
2007,Total Production,54777539286.97037
2008,Total Production,54574160246.943214
2009,Total Production,54849632457.53229
2010,Total Production,55001597295.03364
2011,Total Production,54295327276.77639
2012,Total Production,53442153871.4492
2013,Total Production,52285761122.25429
2014,Total Production,50773151198.97083
2015,Total Production,50037811066.438324
2016,Total Production,49699917112.73294
2017,Total Production,48628692046.511345
