Year,Cheddar,American Other,Mozzarella,Italian other,Swiss,Brick,Muenster,Cream and Neufchatel,Blue,Other Dairy Cheese,Processed Cheese,Foods and spreads,Total American Chese,Total Italian Cheese,Total Natural Cheese,Total Processed Cheese Products
1992,9.17,2.09,7.63,2.24,1.18,0.06,0.45,2,0.15,0.89,5.19,3.33,11.26,9.86,25.85,8.52
1993,9.07,2.24,7.42,2.23,1.18,0.05,0.45,2.06,0.15,1.18,5.2,3.44,11.31,9.65,26.03,8.64
1994,9.05,2.38,7.76,2.3,1.14,0.05,0.43,2.15,0.16,1.15,5.27,3.44,11.42,10.06,26.55,8.71
1995,9.04,2.65,7.89,2.14,1.09,0.04,0.41,2.04,0.16,1.22,5.44,3.25,11.69,10.03,26.94,8.7
1996,9.19,2.62,8.22,2.14,1.07,0.04,0.39,2.11,0.17,0.88,5.44,3.32,11.81,10.36,27.32,8.75
1997,9.51,2.3,8.16,2.41,0.99,0.03,0.37,2.25,0.18,0.83,4.95,3.05,11.81,10.58,27.54,8
1998,9.6,2.38,8.33,2.36,1.01,0.03,0.34,2.2,NA,1.1,4.45,3.7,11.98,10.68,27.84,8.15
1999,10.01,2.69,8.74,2.28,1.09,0.03,0.28,2.26,NA,1.21,4.66,3.98,12.7,11.01,29.14,8.64
2000,9.87,2.82,9.05,2.36,1.02,0.03,0.3,2.39,NA,1.37,4.88,3.19,12.68,11.41,29.79,8.07
2001,9.89,2.93,9.35,2.34,1.12,0.03,0.28,2.21,NA,1.29,4.27,3.46,12.81,11.69,30.05,7.73
2002,9.76,3.07,9.38,2.43,1.09,0.03,0.28,2.33,NA,1.44,4.65,3.41,12.83,11.82,30.48,8.06
2003,9.38,3.18,9.45,2.55,1.13,0.03,0.27,2.3,NA,1.52,4.66,3.61,12.56,12,30.52,8.27
2004,10.2,2.66,9.68,2.61,1.2,0.03,0.25,2.34,NA,1.52,4.06,3.55,12.86,12.29,31.23,7.61
2005,10.15,2.5,9.93,2.73,1.24,0.03,0.26,2.38,NA,1.55,4.13,3.46,12.65,12.66,31.58,7.59
2006,10.43,2.63,10.11,2.82,1.23,0.03,0.31,2.45,NA,1.57,4.05,3.71,13.07,12.93,32.43,7.76
2007,10.11,2.68,10.66,2.92,1.24,0.02,0.33,2.49,NA,1.59,4.09,3.37,12.79,13.58,32.94,7.47
2008,10.22,2.91,10.1,2.95,1.1,0.02,0.37,2.41,NA,1.45,4.08,2.99,13.13,13.06,32.39,7.08
2009,10.24,3.12,10.08,2.95,1.16,0.03,0.36,2.39,NA,1.29,3.78,3.21,13.36,13.03,32.48,6.99
2010,10.06,3.24,10.58,2.97,1.18,0.02,0.36,2.3,0.3,1.05,3.53,3.11,13.3,13.54,32.92,6.64
2011,9.59,3.45,10.83,3.15,1.14,0.03,0.44,2.2,0.3,1.19,3.62,3.12,13.04,13.98,33.24,6.74
2012,9.59,3.66,10.69,3.11,1.09,0.04,0.45,2.4,0.3,1.28,3.69,2.92,13.25,13.8,33.51,6.62
2013,9.64,3.71,10.73,3.1,1,0.03,0.48,2.46,0.32,1.26,3.63,2.74,13.35,13.83,33.66,6.36
2014,9.85,3.8,11.17,3.02,1.02,0.01,0.47,2.45,0.32,1.31,4.38,2.98,13.65,14.19,34.4,7.36
2015,10.17,3.86,11.27,3.2,1.05,0.01,0.5,2.49,0.32,1.48,4.48,2.84,14.03,14.46,35.35,7.31
2016,10.39,3.95,11.73,3.49,1.06,0.01,0.52,2.61,0.31,1.57,4.85,2.12,14.34,15.21,36.66,6.97
2017,11.07,3.99,11.57,3.49,1.05,0.01,0.53,2.64,0.3,1.49,5.16,1.91,15.06,15.06,37.23,7.07
