season|number|production_code|episode_title|guest_star|role
3|040–305|8F04|Homer Defined|Jon Lovitz|Aristotle Amadopolis; Mr. Devaro
3|041–306|8F05|Like Father, Like Clown|Jackie Mason|Rabbi Hyman Krustofsky
3|042–307|8F02|Treehouse of Horror II|Marcia Wallace|Edna Krabappel
3|043–308|8F06|Lisa's Pony|Marcia Wallace|Edna Krabappel
3|043–308|8F06|Lisa's Pony|Frank Welker|Princess
3|044–309|8F07|Saturdays of Thunder|Phil Hartman|Troy McClure
3|044–309|8F07|Saturdays of Thunder|Larry McKay|Announcer
3|045–310|8F08|Flaming Moe's|Aerosmith|Themselves
3|045–310|8F08|Flaming Moe's|Phil Hartman|Lionel Hutz
3|045–310|8F08|Flaming Moe's|Kipp Lennon|Sings "Flaming Moe's" (parody of the Cheers theme song)
3|045–310|8F08|Flaming Moe's|Marcia Wallace|Edna Krabappel
3|046–311|8F09|Burns Verkaufen der Kraftwerk|Phil Hartman|Horst; Stockbroker
3|048–313|8F11|Radio Bart|Sting|Himself
3|048–313|8F11|Radio Bart|Marcia Wallace|Edna Krabappel
3|049–314|8F12|Lisa the Greek|Phil Hartman|Troy McClure; Smooth Jimmy Apollo
3|050–315|8F14|Homer Alone|Phil Hartman|Troy McClure
3|051–316|8F16|Bart the Lover|Marcia Wallace|Edna Krabappel
3|052–317|8F13|Homer at the Bat|Wade Boggs|Himself
3|052–317|8F13|Homer at the Bat|Jose Canseco|Himself
3|052–317|8F13|Homer at the Bat|Roger Clemens|Himself
3|052–317|8F13|Homer at the Bat|Terry Cashman|Sings "Talkin' Softball" (parody of the song Talkin' Baseball)
3|052–317|8F13|Homer at the Bat|Ken Griffey, Jr.|Himself
3|052–317|8F13|Homer at the Bat|Don Mattingly|Himself
3|052–317|8F13|Homer at the Bat|Steve Sax|Himself
3|052–317|8F13|Homer at the Bat|Mike Scioscia|Himself
3|052–317|8F13|Homer at the Bat|Ozzie Smith|Himself
3|052–317|8F13|Homer at the Bat|Darryl Strawberry|Himself
3|053–318|8F15|Separate Vocations|Steve Allen|Electronically altered voice of Bart
3|053–318|8F15|Separate Vocations|Marcia Wallace|Edna Krabappel
3|054–319|8F17|Dog of Death|Frank Welker|Santa's Little Helper
3|055–320|8F19|Colonel Homer|Beverly D'Angelo|Lurleen Lumpkin
3|056–321|8F20|Black Widower|Kelsey Grammer|Sideshow Bob
3|057–322|8F21|The Otto Show|Christopher Guest|Nigel Tufnel
3|057–322|8F21|The Otto Show|Michael McKean|David St. Hubbins
3|058–323|8F22|Bart's Friend Falls in Love|Phil Hartman|Troy McClure
3|058–323|8F22|Bart's Friend Falls in Love|Kimmy Robertson|Samantha Stanky
3|058–323|8F22|Bart's Friend Falls in Love|Marcia Wallace|Edna Krabappel
3|058–323|8F23|Brother, Can You Spare Two Dimes?|Danny DeVito|Herbert Powell
3|058–323|8F23|Brother, Can You Spare Two Dimes?|Joe Frazier|Himself
4|060–401|8F24|Kamp Krusty|Gene Merlino|Sings "South of the Border"
4|060–401|8F24|Kamp Krusty|Marcia Wallace|Edna Krabappel
4|061–402|8F18|A Streetcar Named Marge|Phil Hartman|Troy McClure; Lionel Hutz
4|061–402|8F18|A Streetcar Named Marge|Jon Lovitz|Llewellyn Sinclair; Ms. Sinclair
4|061–402|8F18|A Streetcar Named Marge|Lona Williams|Debra Jo Smallwood
4|063–404|9F02|Lisa the Beauty Queen|Bob Hope|Himself
4|063–404|9F02|Lisa the Beauty Queen|Lona Williams|Amber Dempsey
4|064–405|9F04|Treehouse of Horror III|Marcia Wallace|Edna Krabappel
4|065–406|9F03|Itchy & Scratchy: The Movie|Neil Armstrong (archival)|Himself
4|065–406|9F03|Itchy & Scratchy: The Movie|Marcia Wallace|Edna Krabappel
4|066–407|9F05|Marge Gets a Job|Phil Hartman|Troy McClure; Lionel Hutz
4|066–407|9F05|Marge Gets a Job|Tom Jones|Himself
4|066–407|9F05|Marge Gets a Job|Marcia Wallace|Edna Krabappel
4|067–408|9F06|New Kid on the Block|Sara Gilbert|Laura Powers
4|067–408|9F06|New Kid on the Block|Phil Hartman|Lionel Hutz
4|067–408|9F06|New Kid on the Block|Pamela Reed|Ruth Powers
4|068–409|9F07|Mr. Plow|Phil Hartman|Troy McClure
4|068–409|9F07|Mr. Plow|Linda Ronstadt|Herself
4|068–409|9F07|Mr. Plow|Adam West|Himself
4|069–410|9F08|Lisa's First Word|Elizabeth Taylor|Maggie Simpson
4|071–412|9F10|Marge vs. the Monorail|Phil Hartman|Lyle Lanley
4|071–412|9F10|Marge vs. the Monorail|Leonard Nimoy|Himself
4|072–413|9F11|Selma's Choice|Phil Hartman|Lionel Hutz; Troy McClure; Security Guard; Mandy Patinkin
4|072–413|9F11|Selma's Choice|Michele Pillar|Sings "A Natural Woman"
4|073–414|9F12|Brother from the Same Planet|Phil Hartman|Tom; Eddie Muntz
4|073–414|9F12|Brother from the Same Planet|Marcia Wallace|Edna Krabappel
4|074–415|9F13|I Love Lisa|Michael Carrington|Krusty Anniversary Show Announcer; Sideshow Raheem
4|075–416|9F14|Duffless|Phil Hartman|Troy McClure; Lionel Hutz
4|075–416|9F14|Duffless|Kipp Lennon|Sings "Raindrops Keep Fallin' on My Head"
4|075–416|9F14|Duffless|Marcia Wallace|Edna Krabappel
4|076–417|9F15|Last Exit to Springfield|Joyce Brothers|Herself
4|078–419|9F16|The Front|Brooke Shields|Herself
4|079–420|9F18|Whacking Day|Gene Merlino|Sings "Born Free"
4|079–420|9F18|Whacking Day|Barry White|Himself
4|080–421|9F20|Marge in Chains|David Crosby|Himself
4|080–421|9F20|Marge in Chains|Phil Hartman|Troy McClure; Lionel Hutz
4|081–422|9F19|Krusty Gets Kancelled|Johnny Carson|Himself
4|081–422|9F19|Krusty Gets Kancelled|Hugh Hefner|Himself
4|081–422|9F19|Krusty Gets Kancelled|Bette Midler|Herself
4|081–422|9F19|Krusty Gets Kancelled|Luke Perry|Himself
4|081–422|9F19|Krusty Gets Kancelled|Red Hot Chili Peppers|Themselves
4|081–422|9F19|Krusty Gets Kancelled|Elizabeth Taylor|Herself
4|081–422|9F19|Krusty Gets Kancelled|Marcia Wallace|Edna Krabappel
4|081–422|9F19|Krusty Gets Kancelled|Barry White|Himself
5|082–501|9F21|Homer's Barbershop Quartet|David Crosby|Himself
5|082–501|9F21|Homer's Barbershop Quartet|The Dapper Dans|The singing voices of the Be Sharps
5|082–501|9F21|Homer's Barbershop Quartet|George Harrison|Himself
5|083–502|9F22|Cape Feare|Kelsey Grammer|Sideshow Bob
5|083–502|9F22|Cape Feare|Marcia Wallace|Edna Krabappel
5|085–504|1F01|Rosebud|Ramones|Themselves
5|086–505|1F04|Treehouse of Horror IV|Phil Hartman|Lionel Hutz
5|086–505|1F04|Treehouse of Horror IV|Frank Welker|Gremlin
5|086–505|1F03|Marge on the Lam|George Fenneman|Narrator
5|086–505|1F03|Marge on the Lam|Phil Hartman|Troy McClure; Lionel Hutz
5|086–505|1F03|Marge on the Lam|Pamela Reed|Ruth Powers; Truck-stop Waitress
5|088–507|1F05|Bart's Inner Child|Albert Brooks|Brad Goodman
5|088–507|1F05|Bart's Inner Child|James Brown|Himself
5|088–507|1F05|Bart's Inner Child|Phil Hartman|Troy McClure
5|088–507|1F05|Bart's Inner Child|Marcia Wallace|Edna Krabappel
5|089–508|1F06|Boy-Scoutz 'n the Hood|Ernest Borgnine|Himself
5|089–508|1F06|Boy-Scoutz 'n the Hood|Marcia Wallace|Edna Krabappel
5|091–510|1F08|The Last Temptation of Homer|Phil Hartman|Lionel Hutz
5|091–510|1F08|The Last Temptation of Homer|Werner Klemperer|Colonel Klink
5|091–510|1F08|The Last Temptation of Homer|Michelle Pfeiffer|Mindy Simmons
5|091–510|1F08|The Last Temptation of Homer|Marcia Wallace|Edna Krabappel
5|091–510|1F08|$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)|Gerry Cooney|Himself
5|091–510|1F08|$pringfield (Or, How I Learned to; Stop Worrying and Love Legalized Gambling)|Robert Goulet|Himself
5|092–511|1F09|Homer the Vigilante|Sam Neill|Molloy
5|093–512|1F11|Bart Gets Famous|Conan O'Brien|Himself
5|093–512|1F11|Bart Gets Famous|Marcia Wallace|Edna Krabappel
5|094–513|1F10|Homer and Apu|Michael Carrington|Black comedian
5|094–513|1F10|Homer and Apu|James Woods|Himself
5|095–514|1F12|Lisa vs. Malibu Stacy|Kathleen Turner|Stacy Lovell
5|096–515|1F13|Deep Space Homer|Buzz Aldrin|Himself
5|096–515|1F13|Deep Space Homer|James Taylor|Himself
5|099–518|1F16|Burns' Heir|Phil Hartman|Lionel Hutz
5|100–519|1F18|Sweet Seymour Skinner's Baadasssss Song|Marcia Wallace|Edna Krabappel
5|100–519|1F18|Sweet Seymour Skinner's Baadasssss Song|Frank Welker|Santa's Little Helper
5|101–520|1F19|The Boy Who Knew Too Much|Phil Hartman|Lionel Hutz
5|101–520|1F19|The Boy Who Knew Too Much|Marcia Wallace|Edna Krabappel
5|102–521|1F21|Lady Bouvier's Lover|Phil Hartman|Troy McClure
5|102–521|1F21|Lady Bouvier's Lover|Kipp Lennon|Sings "The Sound of Grampa" (parody of the song The Sound of Silence)
5|103–522|1F20|Secrets of a Successful Marriage|Phil Hartman|Lionel Hutz
5|103–522|1F20|Secrets of a Successful Marriage|Marcia Wallace|Edna Krabappel
6|105–602|1F17|Lisa's Rival|Winona Ryder|Allison Taylor
6|108–605|2F02|Sideshow Bob Roberts|Henry Corden|Fred Flintstone
6|108–605|2F02|Sideshow Bob Roberts|Dr. Demento|Himself
6|108–605|2F02|Sideshow Bob Roberts|Kelsey Grammer|Sideshow Bob
6|108–605|2F02|Sideshow Bob Roberts|Phil Hartman|Lionel Hutz
6|108–605|2F02|Sideshow Bob Roberts|Larry King|Himself
6|108–605|2F02|Sideshow Bob Roberts|Marcia Wallace|Edna Krabappel
6|109–606|2F03|Treehouse of Horror V|James Earl Jones|Alternate Universe Maggie Simpson
6|109–606|2F03|Treehouse of Horror V|Marcia Wallace|Edna Krabappel
6|110–607|2F04|Bart's Girlfriend|Meryl Streep|Jessica Lovejoy
6|111–608|2F05|Lisa on Ice|Marcia Wallace|Edna Krabappel
6|112–609|2F06|Homer Badman|Dennis Franz|Himself playing Homer Simpson
6|113–610|2F07|Grampa vs. Sexual Inadequacy|Phil Hartman|Troy McClure
6|114–611|2F08|Fear of Flying|Anne Bancroft|Dr. Zweig
6|114–611|2F08|Fear of Flying|Ted Danson|Sam Malone
6|114–611|2F08|Fear of Flying|Woody Harrelson|Woody Boyd
6|114–611|2F08|Fear of Flying|John Ratzenberger|Cliff Clavin
6|114–611|2F08|Fear of Flying|Rhea Perlman|Carla Tortelli
6|114–611|2F08|Fear of Flying|George Wendt|Norm Peterson
6|115–612|2F09|Homer the Great|Patrick Stewart|Number One
6|118–615|2F12|Homie the Clown|Dick Cavett|Himself
6|118–615|2F12|Homie the Clown|Joe Mantegna|Fat Tony
6|118–615|2F12|Homie the Clown|Johnny Unitas|Himself
6|119–616|2F13|Bart vs. Australia|Phil Hartman|Evan Conover
6|120–617|2F14|Homer vs. Patty and Selma|Mel Brooks|Himself
6|120–617|2F14|Homer vs. Patty and Selma|Susan Sarandon|Ballet teacher
6|121–618|2F31|A Star Is Burns|Phil Hartman|Charlton Heston
6|121–618|2F31|A Star Is Burns|Maurice LaMarche|George C. Scott; Hannibal Lecter; Captain James T. Kirk; Eudora Welty
6|121–618|2F31|A Star Is Burns|Jon Lovitz|Jay Sherman
6|122–619|2F15|Lisa's Wedding|Phil Hartman|Troy McClure
6|122–619|2F15|Lisa's Wedding|Mandy Patinkin|Hugh Parkfield
6|123–620|2F18|Two Dozen and One Greyhounds|Frank Welker|Santa's Little Helper; Various dogs
6|124–621|2F19|The PTA Disbands|Marcia Wallace|Edna Krabappel
6|125–622|2F32|'Round Springfield|Steve Allen|Himself
6|125–622|2F32|'Round Springfield|Phil Hartman|Lionel Hutz
6|125–622|2F32|'Round Springfield|Ron Taylor|Bleeding Gums Murphy
6|125–622|2F32|'Round Springfield|Marcia Wallace|Edna Krabappel
6|126–623|2F21|The Springfield Connection|Phil Hartman|Lionel Hutz
6|126–623|2F21|The Springfield Connection|Marcia Wallace|Edna Krabappel
6|127–624|2F22|Lemon of Troy|Marcia Wallace|Edna Krabappel
6|128–625|2F16|Who Shot Mr. Burns? Part 1|Tito Puente|Himself
7|129–701|2F20|Who Shot Mr. Burns? Part 2|Tito Puente|Himself
7|130–702|2F17|Radioactive Man|Phil Hartman|Lionel Hutz
7|130–702|2F17|Radioactive Man|Mickey Rooney|Himself
7|131–703|3F01|Home Sweet Homediddly-Dum-Doodily|Joan Kenley|Telephone voice
7|131–703|3F01|Home Sweet Homediddly-Dum-Doodily|Marcia Wallace|Edna Krabappel
7|131–703|3F01|Home Sweet Homediddly-Dum-Doodily|Frank Welker|Monkey
7|133–705|3F03|Lisa the Vegetarian|Phil Hartman|Troy McClure
7|133–705|3F03|Lisa the Vegetarian|Linda McCartney|Herself
7|133–705|3F03|Lisa the Vegetarian|Paul McCartney|Himself
7|134–706|3F04|Treehouse of Horror VI|Paul Anka|Himself
7|134–706|3F04|Treehouse of Horror VI|Marcia Wallace|Edna Krabappel
7|135–707|3F05|King-Size Homer|Joan Kenley|Telephone voice
7|136–708|3F06|Mother Simpson|Glenn Close|Mona Simpson
7|136–708|3F06|Mother Simpson|Harry Morgan|Bill Gannon
7|137–709|3F08|Sideshow Bob's Last Gleaming|R. Lee Ermey|Colonel Leslie Hapablap
7|137–709|3F08|Sideshow Bob's Last Gleaming|Kelsey Grammer|Sideshow Bob
7|138–710|3F31|The Simpsons 138th Episode Spectacular|Phil Hartman|Troy McClure; Lionel Hutz
7|139–711|3F07|Marge Be Not Proud|Phil Hartman|Troy McClure
7|139–711|3F07|Marge Be Not Proud|Lawrence Tierney|Don Brodka
7|140–712|3F10|Team Homer|Marcia Wallace|Edna Krabappel
7|142–714|3F11|Scenes from the Class Struggle in Springfield|Tom Kite|Himself
7|143–715|3F12|Bart the Fink|Phil Hartman|Troy McClure
7|143–715|3F12|Bart the Fink|Bob Newhart|Himself
7|144–716|3F13|Lisa the Iconoclast|Phil Hartman|Troy McClure
7|144–716|3F13|Lisa the Iconoclast|Donald Sutherland|Hollis Hurlbut
7|144–716|3F13|Lisa the Iconoclast|Marcia Wallace|Edna Krabappel
7|146–718|3F16|The Day the Violence Died|Kirk Douglas|Chester J. Lampwick
7|146–718|3F16|The Day the Violence Died|Phil Hartman|Lionel Hutz
7|146–718|3F16|The Day the Violence Died|Alex Rocco|Roger Meyers Jr.
7|146–718|3F16|The Day the Violence Died|Jack Sheldon|Amendment
7|146–718|3F16|The Day the Violence Died|Suzanne Somers|Herself
7|147–719|3F15|A Fish Called Selma|Jeff Goldblum|MacArthur Parker
7|147–719|3F15|A Fish Called Selma|Phil Hartman|Troy McClure; Fat Tony
7|148–720|3F17|Bart on the Road|Jim Lau|Hong Kong doctor
7|149–721|3F18|22 Short Films About Springfield|Phil Hartman|Lionel Hutz; Hospital chairman
7|150–722|3F19|Raging Abe Simpson and His Grumbling Grandson in "The Curse of the Flying Hellfish"|Marcia Wallace|Edna Krabappel
7|151–723|3F20|Much Apu About Nothing|Joe Mantegna|Fat Tony
7|152–724|3F21|Homerpalooza|Cypress Hill|Themselves
7|152–724|3F21|Homerpalooza|Peter Frampton|Himself
7|152–724|3F21|Homerpalooza|The Smashing Pumpkins|Themselves
7|152–724|3F21|Homerpalooza|Sonic Youth|Themselves
7|153–725|3F22|Summer of 4 Ft. 2|Christina Ricci|Erin
7|153–725|3F22|Summer of 4 Ft. 2|Marcia Wallace|Edna Krabappel
8|154–801|4F02|Treehouse of Horror VII|Phil Hartman|Bill Clinton
8|155–802|3F23|You Only Move Twice|Albert Brooks|Hank Scorpio
8|155–802|3F23|You Only Move Twice|Sally Stevens|Sings "Scorpio"
8|156–803|4F03|The Homer They Fall|Michael Buffer|Himself
8|156–803|4F03|The Homer They Fall|Sally Stevens|Sings "People"
8|156–803|4F03|The Homer They Fall|Paul Winfield|Lucius Sweet
8|157–804|4F05|Burns, Baby Burns|Rodney Dangerfield|Larry Burns
8|161–808|4F07|Hurricane Neddy|Jon Lovitz|Jay Sherman
8|162–809|3F24|El Viaje Misterioso de Nuestro Jomer; (The Mysterious Voyage of Homer)|Johnny Cash|Coyote
8|163–810|3G01|The Springfield Files|Gillian Anderson|Dana Scully
8|163–810|3G01|The Springfield Files|David Duchovny|Fox Mulder
8|163–810|3G01|The Springfield Files|Leonard Nimoy|Himself
8|164–811|4F08|The Twisted World of Marge Simpson|Joe Mantegna|Fat Tony
8|164–811|4F08|The Twisted World of Marge Simpson|Jack Lemmon|Frank Ormand
8|164–811|4F08|The Twisted World of Marge Simpson|Marcia Wallace|Edna Krabappel
8|167–814|4F12|The Itchy & Scratchy & Poochie Show|Phil Hartman|Troy McClure
8|167–814|4F12|The Itchy & Scratchy & Poochie Show|Alex Rocco|Roger Meyers Jr.
8|168–815|4F11|Homer's Phobia|John Waters|John
8|169–816|4F14|Brother from Another Series|Kelsey Grammer|Sideshow Bob
8|169–816|4F14|Brother from Another Series|David Hyde Pierce|Cecil Terwilliger; Man in the crowd
8|169–816|4F14|Brother from Another Series|Marcia Wallace|Edna Krabappel
8|171–818|4F15|Homer vs. the Eighteenth Amendment|Joe Mantegna|Fat Tony
8|171–818|4F15|Homer vs. the Eighteenth Amendment|Dave Thomas|Rex Banner
8|172–819|4F09|Grade School Confidential|Michael Dees|Sings "Embraceable You"
8|172–819|4F09|Grade School Confidential|Marcia Wallace|Edna Krabappel
8|173–820|4F16|The Canine Mutiny|Frank Welker|Santa's Little Helper; Laddie
8|174–821|4F17|The Old Man and the Lisa|Bret Hart|Himself
8|175–822|4F18|In Marge We Trust|Denice Kumagai|Dancer
8|175–822|4F18|In Marge We Trust|Karen Maruyama|Dancer
8|175–822|4F18|In Marge We Trust|Sab Shimono|Mr. Sparkle
8|175–822|4F18|In Marge We Trust|Gedde Watanabe|Factory foreman
8|175–822|4F18|In Marge We Trust|Frank Welker|Baboons
8|176–823|4F19|Homer's Enemy|Frank Welker|Executive Vice President dog
8|177–824|4F20|The Simpsons Spin-Off Showcase|Tim Conway|Himself
8|177–824|4F20|The Simpsons Spin-Off Showcase|Phil Hartman|Troy McClure
8|177–824|4F20|The Simpsons Spin-Off Showcase|Gailard Sartain|Charles "Big" Daddy
8|176–825|4F19|The Secret War of Lisa Simpson|Willem Dafoe|The Commandant
8|176–825|4F19|The Secret War of Lisa Simpson|Marcia Wallace|Edna Krabappel
9|179–901|4F22|The City of New York vs. Homer Simpson|Michael Dees|Sings "New York, New York"
9|179–901|4F22|The City of New York vs. Homer Simpson|Joan Kenley|Telephone voice
9|179–901|4F22|The City of New York vs. Homer Simpson|Kipp Lennon|Sings "I'm Checking In"
9|180–902|4F23|The Principal and the Pauper|Martin Sheen|The real Seymour Skinner
9|180–902|4F23|The Principal and the Pauper|Marcia Wallace|Edna Krabappel
9|181–903|3G02|Lisa's Sax|Fyvush Finkel|Himself playing Krusty
9|182–904|5F02|Treehouse of Horror VIII|Marcia Wallace|Edna Krabappel
9|184–906|5F03|Bart Star|Roy Firestone|Himself
9|184–906|5F03|Bart Star|Mike Judge|Hank Hill
9|184–906|5F03|Bart Star|Joe Namath|Himself
9|185–907|5F04|The Two Mrs. Nahasapeemapetilons|Jan Hooks|Manjula Nahasapeemapetilon
9|185–907|5F04|The Two Mrs. Nahasapeemapetilons|Andrea Martin|Apu's mother
9|185–907|5F04|The Two Mrs. Nahasapeemapetilons|Marcia Wallace|Edna Krabappel
9|186–908|5F05|Lisa the Skeptic|Stephen Jay Gould|Himself
9|186–908|5F05|Lisa the Skeptic|Phil Hartman|Lionel Hutz
9|186–908|5F05|Lisa the Skeptic|Marcia Wallace|Edna Krabappel
9|187–909|5F06|Realty Bites|Phil Hartman|Lionel Hutz
9|188–910|5F07|Miracle on Evergreen Terrace|Alex Trebek|Himself
9|188–910|5F07|Miracle on Evergreen Terrace|Marcia Wallace|Edna Krabappel
9|190–912|5F08|Bart Carny|Jim Varney|Cooder
9|191–913|5F23|The Joy of Sect|Marcia Wallace|Edna Krabappel
9|192–914|5F11|Das Bus|Phil Hartman|Troy McClure
9|192–914|5F11|Das Bus|James Earl Jones|Narrator
9|192–914|5F11|Das Bus|Jack Ong|Fisherman
9|193–915|5F10|The Last Temptation of Krust|Bruce Baum|Himself
9|193–915|5F10|The Last Temptation of Krust|Janeane Garofalo|Herself
9|193–915|5F10|The Last Temptation of Krust|Bobcat Goldthwait|Himself
9|193–915|5F10|The Last Temptation of Krust|Jay Leno|Himself
9|193–915|5F10|The Last Temptation of Krust|Marcia Wallace|Edna Krabappel
9|193–915|5F10|The Last Temptation of Krust|Hank Williams, Jr.|Sings "Canyonero!"
9|193–915|5F10|The Last Temptation of Krust|Steven Wright|Himself
9|194–916|5F12|Dumbbell Indemnity|Helen Hunt|Renee
9|194–916|5F12|Dumbbell Indemnity|Marcia Wallace|Edna Krabappel
9|195–917|4F24|Lisa the Simpson|Phil Hartman|Troy McClure
9|196–918|5F13|This Little Wiggy|Phil Hartman|Troy McClure
9|196–918|5F13|This Little Wiggy|Marcia Wallace|Edna Krabappel
9|197–919|3G04|Simpson Tide|Michael Carrington|Drill instructor
9|197–919|3G04|Simpson Tide|Bob Denver|Himself
9|197–919|3G04|Simpson Tide|Rod Steiger|Captain Tenille
9|198–920|5F14|The Trouble with Trillions|Marcia Wallace|Edna Krabappel
9|198–920|5F14|The Trouble with Trillions|Paul Winfield|Lucius Sweet
9|199–921|5F15|Girly Edition|Marcia Wallace|Edna Krabappel
9|200–922|5F09|Trash of the Titans|Steve Martin|Ray Patterson
9|200–922|5F09|Trash of the Titans|Paul McGuinness|Himself
9|200–922|5F09|Trash of the Titans|Susie Smith|Herself
9|200–922|5F09|Trash of the Titans|U2|Themselves
9|200–922|5F09|Trash of the Titans|Marcia Wallace|Edna Krabappel
9|201–923|5F16|King of the Hill|Brendan Fraser|Brad
9|201–923|5F16|King of the Hill|Steven Weber|Neil
9|202–924|5F17|Lost Our Lisa|Marcia Wallace|Edna Krabappel
9|203–925|5F18|Natural Born Kissers|Marcia Wallace|Edna Krabappel
10|204–1001|5F20|Lard of the Dance|Lisa Kudrow|Alex Whitney
10|205–1002|5F21|The Wizard of Evergreen Terrace|William Daniels|KITT
10|206–1003|5F22|Bart the Mother|Phil Hartman|Troy McClure
10|206–1003|5F22|Bart the Mother|Marcia Wallace|Edna Krabappel
10|207–1004|AABF01|Treehouse of Horror IX|Robert Englund|Freddy Krueger
10|207–1004|AABF01|Treehouse of Horror IX|Kathie Lee Gifford|Herself (live action)
10|207–1004|AABF01|Treehouse of Horror IX|Ed McMahon|Himself
10|207–1004|AABF01|Treehouse of Horror IX|Regis Philbin|Himself (live action)
10|207–1004|AABF01|Treehouse of Horror IX|Jerry Springer|Himself
10|208–1005|5F19|When You Dish Upon a Star|Alec Baldwin|Himself
10|208–1005|5F19|When You Dish Upon a Star|Kim Basinger|Herself
10|208–1005|5F19|When You Dish Upon a Star|Brian Grazer|Himself
10|208–1005|5F19|When You Dish Upon a Star|Ron Howard|Himself
10|209–1006|AABF02|D'oh-in in the Wind|George Carlin|Munchie
10|209–1006|AABF02|D'oh-in in the Wind|Martin Mull|Seth
