Category,Year,Athlete,Nationality,Time
Women,1992,Katrin Dörre-Heinig,Germany,02:29:39
Women,1993,Katrin Dörre-Heinig,Germany,02:27:09
Women,1994,Katrin Dörre-Heinig,Germany,02:32:34
Women,1995,Małgorzata Sobańska,Poland,02:27:43
Women,1996,Liz McColgan,United Kingdom,02:27:54
Women,1997,Joyce Chepchumba,Kenya,02:26:51
Women,1998,Catherina McKiernan,Ireland,02:26:26
Women,1999,Joyce Chepchumba,Kenya,02:23:22
Women,2000,Tegla Loroupe,Kenya,02:24:33
Women,2001,Derartu Tulu,Ethiopia,02:23:57
Women,2002,Paula Radcliffe,United Kingdom,02:18:56
Women,2003,Paula Radcliffe,United Kingdom,02:15:25
Women,2004,Margaret Okayo,Kenya,02:22:35
Women,2005,Paula Radcliffe,United Kingdom,02:17:42
Women,2006,Deena Kastor,United States,02:19:35
Women,2007,Zhou Chunxiu,China,02:20:38
Women,2008,Irina Mikitenko,Germany,02:24:14
Women,2009,Irina Mikitenko,Germany,02:22:11
Women,2010,Aselefech Mergia,Ethiopia,02:22:38
Women,2011,Mary Jepkosgei Keitany,Kenya,02:19:19
Women,2012,Mary Jepkosgei Keitany,Kenya,02:18:37
Women,2013,Priscah Jeptoo,Kenya,02:20:15
Women,2014,Edna Kiplagat,Kenya,02:20:21
Women,2015,Tigist Tufa,Ethiopia,02:23:21
Women,2016,Jemima Sumgong,Kenya,02:22:58
Women,2017,Mary Jepkosgei Keitany,Kenya,02:17:01
Women,2018,Vivian Cheruiyot,Kenya,02:18:31
Women,2019,Brigid Kosgei,Kenya,02:18:20
Women,2020,Brigid Kosgei,Kenya,02:18:58
Women,2021,Joyciline Jepkosgei,Kenya,02:17:43
Women,2022,Yalemzerf Yehualaw,Ethiopia,02:17:26
Wheelchair Men,1983,Gordon Perry,United Kingdom,03:20:07
Wheelchair Men,1984,Kevin Breen,Ireland,02:38:40
Wheelchair Men,1985,Chris Hallam,United Kingdom,02:19:53
Wheelchair Men,1986,Gerry O'Rourke,Ireland,02:26:38
Wheelchair Men,1987,Chris Hallam,United Kingdom,02:08:34
Wheelchair Men,1988,Ted Vince,Canada,02:01:37
Wheelchair Men,1989,David Holding,United Kingdom,01:59:31
Wheelchair Men,1990,Håkan Ericsson,Sweden,01:57:12
Wheelchair Men,1991,Farid Amarouche,France,01:52:52
Wheelchair Men,1992,Daniel Wesley,Canada,01:51:42
Wheelchair Men,1993,George Vandamme,Belgium,01:44:10
Wheelchair Men,1994,David Holding,United Kingdom,01:46:06
Wheelchair Men,1995,Heinz Frei,Switzerland,01:39:14
Wheelchair Men,1996,David Holding,United Kingdom,01:43:48
Wheelchair Men,1997,David Holding,United Kingdom,01:42:15
Wheelchair Men,1998,Heinz Frei,Switzerland,01:35:18
Wheelchair Men,1999,Heinz Frei,Switzerland,01:35:27
Wheelchair Men,2000,Kevin Papworth,United Kingdom,01:41:50
Wheelchair Men,2001,Denis Lemeunier,France,01:42:37
Wheelchair Men,2002,David Weir,United Kingdom,01:39:44
Wheelchair Men,2003,Joël Jeannot,France,01:32:02
Wheelchair Men,2004,Saúl Mendoza,Mexico,01:36:56
Wheelchair Men,2005,Saúl Mendoza,Mexico,01:35:51
Wheelchair Men,2006,David Weir,United Kingdom,01:29:48
Wheelchair Men,2007,David Weir,United Kingdom,01:30:51
Wheelchair Men,2008,David Weir,United Kingdom,01:33:56
Wheelchair Men,2009,Kurt Fearnley,Australia,01:28:57
Wheelchair Men,2010,Josh Cassidy,Canada,01:35:21
Wheelchair Men,2011,David Weir,United Kingdom,01:30:05
Wheelchair Men,2012,David Weir,United Kingdom,01:32:26
Wheelchair Men,2013,Kurt Fearnley,Australia,01:31:29
Wheelchair Men,2014,Marcel Hug,Switzerland,01:32:41
Wheelchair Men,2015,Josh George,United States,01:31:31
Wheelchair Men,2016,Marcel Hug,Switzerland,01:35:19
Wheelchair Men,2017,David Weir,United Kingdom,01:31:06
Wheelchair Men,2018,David Weir,United Kingdom,01:31:15
Wheelchair Men,2019,Daniel Romanchuk,United States,01:33:37
Wheelchair Men,2020,Brent Lakatos,Canada,01:36:04
Wheelchair Men,2021,Marcel Hug,Switzerland,01:26:27
Wheelchair Women,1983,Denise Smith,United Kingdom,04:29:03
Wheelchair Women,1984,Kay McShane,Ireland,03:10:04
Wheelchair Women,1985,Kay McShane,Ireland,02:47:12
Wheelchair Women,1986,Kay McShane,Ireland,03:02:40
Wheelchair Women,1987,Karen Davidson,United Kingdom,02:45:30
Wheelchair Women,1988,Karen Davidson,United Kingdom,02:41:45
Wheelchair Women,1989,Josie Cichockyj,United Kingdom,03:03:54
Wheelchair Women,1990,Connie Hansen,Denmark,02:10:25
Wheelchair Women,1991,Connie Hansen,Denmark,02:04:40
Wheelchair Women,1992,Tanni Grey-Thompson,United Kingdom,02:17:23
Wheelchair Women,1993,Rose Hill,United Kingdom,02:03:05
Wheelchair Women,1994,Tanni Grey-Thompson,United Kingdom,02:08:26
Wheelchair Women,1995,Rose Hill,United Kingdom,02:17:02
Wheelchair Women,1996,Tanni Grey-Thompson,United Kingdom,02:00:10
Wheelchair Women,1997,Monica Wetterström,Sweden,01:49:09
Wheelchair Women,1998,Tanni Grey-Thompson,United Kingdom,02:02:01
Wheelchair Women,1999,Monica Wetterström,Sweden,01:57:38
Wheelchair Women,2000,Sarah Piercy,United Kingdom,02:23:30
Wheelchair Women,2001,Tanni Grey-Thompson,United Kingdom,02:13:55
Wheelchair Women,2002,Tanni Grey-Thompson,United Kingdom,02:22:51
Wheelchair Women,2003,Francesca Porcellato,Italy,02:04:21
Wheelchair Women,2004,Francesca Porcellato,Italy,02:04:58
Wheelchair Women,2005,Francesca Porcellato,Italy,01:57:00
Wheelchair Women,2006,Francesca Porcellato,Italy,01:59:57
Wheelchair Women,2007,Shelly Woods,United Kingdom,01:50:40
Wheelchair Women,2008,Sandra Graf,Switzerland,01:48:04
Wheelchair Women,2009,Amanda McGrory,United States,01:50:39
Wheelchair Women,2010,Wakako Tsuchida,Japan,01:52:33
Wheelchair Women,2011,Amanda McGrory,United States,01:46:31
Wheelchair Women,2012,Shelly Woods,United Kingdom,01:49:10
Wheelchair Women,2013,Tatyana McFadden,United States,01:46:02
Wheelchair Women,2014,Tatyana McFadden,United States,01:45:12
Wheelchair Women,2015,Tatyana McFadden,United States,01:41:14
Wheelchair Women,2016,Tatyana McFadden,United States,01:44:14
Wheelchair Women,2017,Manuela Schär,Switzerland,01:39:57
Wheelchair Women,2018,Madison de Rozario,Australia,01:42:58
Wheelchair Women,2019,Manuela Schär,Switzerland,01:44:09
Wheelchair Women,2020,Nikita den Boer,Netherlands,01:40:07
Wheelchair Women,2021,Manuela Schär,Switzerland,01:39:52
