year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket
1976,CALIFORNIA,CA,6,93,71,US HOUSE,007,GEN,FALSE,FALSE,ROBERT L VICKERS,REPUBLICAN,FALSE,TOTAL,45863,196816,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,008,GEN,FALSE,FALSE,PHILIP STILES BRECK JR,REPUBLICAN,FALSE,TOTAL,68374,196954,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,008,GEN,FALSE,FALSE,ROBERT J EVANS,PEACE AND FREEDOM,FALSE,TOTAL,6238,196954,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,008,GEN,FALSE,FALSE,RONALD V DELLUMS,DEMOCRAT,FALSE,TOTAL,122342,196954,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,009,GEN,FALSE,FALSE,ALBERT L SARGIS,PEACE AND FREEDOM,FALSE,TOTAL,3386,164391,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,009,GEN,FALSE,FALSE,"FORTNEY H ""PETE"" STARK",DEMOCRAT,FALSE,TOTAL,116398,164391,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,009,GEN,FALSE,FALSE,JAMES K MILLS,REPUBLICAN,FALSE,TOTAL,44607,164391,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,010,GEN,FALSE,FALSE,DON EDWARDS,DEMOCRAT,FALSE,TOTAL,111992,155443,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,010,GEN,FALSE,FALSE,EDMON V KAISER,AMERICAN INDEPENDENT,FALSE,TOTAL,5363,155443,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,010,GEN,FALSE,FALSE,HERB SMITH,REPUBLICAN,FALSE,TOTAL,38088,155443,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,011,GEN,FALSE,FALSE,BOB JONES,REPUBLICAN,FALSE,TOTAL,62435,176194,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,011,GEN,FALSE,FALSE,LEO J RYAN,DEMOCRAT,FALSE,TOTAL,107618,176194,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,011,GEN,FALSE,FALSE,NICHOLAS W KUDROVZEFF,AMERICAN INDEPENDENT,FALSE,TOTAL,6141,176194,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,012,GEN,FALSE,FALSE,DAVID HARRIS,DEMOCRAT,FALSE,TOTAL,61526,196857,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,012,GEN,FALSE,FALSE,JOSEPH DAVID COONEY,AMERICAN INDEPENDENT,FALSE,TOTAL,4999,196857,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,012,GEN,FALSE,FALSE,"PAUL N ""PETE"" MCCLOSKEY JR",REPUBLICAN,FALSE,TOTAL,130332,196857,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,013,GEN,FALSE,FALSE,ERNEST L KONNYU,REPUBLICAN,FALSE,TOTAL,63130,202611,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,013,GEN,FALSE,FALSE,NORMAN Y MINETA,DEMOCRAT,FALSE,TOTAL,135291,202611,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,013,GEN,FALSE,FALSE,WILLIAM P HERRELL,AMERICAN INDEPENDENT,FALSE,TOTAL,4190,202611,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,014,GEN,FALSE,FALSE,JOHN J MCFALL,DEMOCRAT,FALSE,TOTAL,123285,169959,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,014,GEN,FALSE,FALSE,ROGER A BLAIN,REPUBLICAN,FALSE,TOTAL,46674,169959,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,015,GEN,FALSE,FALSE,B F SISK,DEMOCRAT,FALSE,TOTAL,92735,128435,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,015,GEN,FALSE,FALSE,CAROL HARNER,REPUBLICAN,FALSE,TOTAL,35700,128435,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,016,GEN,FALSE,FALSE,BURT TALCOTT,REPUBLICAN,FALSE,TOTAL,91160,195705,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,016,GEN,FALSE,FALSE,LEON E PANETTA,DEMOCRAT,FALSE,TOTAL,104545,195705,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,017,GEN,FALSE,FALSE,HENRY J ANDREAS,REPUBLICAN,FALSE,TOTAL,54270,158168,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,017,GEN,FALSE,FALSE,JOHN KREBS,DEMOCRAT,FALSE,TOTAL,103898,158168,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,018,GEN,FALSE,FALSE,DEAN CLOSE,DEMOCRAT,FALSE,TOTAL,56683,158341,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,018,GEN,FALSE,FALSE,WILLIAM M KETCHUM,REPUBLICAN,FALSE,TOTAL,101658,158341,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,019,GEN,FALSE,FALSE,DAN SISSON,DEMOCRAT,FALSE,TOTAL,68722,192923,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,019,GEN,FALSE,FALSE,ROBERT J LAGOMARSINO,REPUBLICAN,FALSE,TOTAL,124201,192923,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,020,GEN,FALSE,FALSE,BARRY GOLDWATER JR,REPUBLICAN,FALSE,TOTAL,146158,217351,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,020,GEN,FALSE,FALSE,PATTI LEAR CORMAN,DEMOCRAT,FALSE,TOTAL,71193,217351,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,021,GEN,FALSE,FALSE,BILL HILL,PEACE AND FREEDOM,FALSE,TOTAL,7178,153109,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,021,GEN,FALSE,FALSE,"ERWIN ""ED"" HOGAN",REPUBLICAN,FALSE,TOTAL,44094,153109,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,021,GEN,FALSE,FALSE,JAMES C CORMAN,DEMOCRAT,FALSE,TOTAL,101837,153109,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,022,GEN,FALSE,FALSE,CARLOS J MOORHEAD,REPUBLICAN,FALSE,TOTAL,114769,183312,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,022,GEN,FALSE,FALSE,ROBERT L SALLEY,DEMOCRAT,FALSE,TOTAL,68543,183312,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,023,GEN,FALSE,FALSE,ANTHONY C BEILENSON,DEMOCRAT,FALSE,TOTAL,130619,217053,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,023,GEN,FALSE,FALSE,THOMAS F BARTMAN,REPUBLICAN,FALSE,TOTAL,86434,217053,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,024,GEN,FALSE,FALSE,DAVID IRVING SIMMONS,REPUBLICAN,FALSE,TOTAL,51478,159774,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,024,GEN,FALSE,FALSE,HENY A WAXMAN,DEMOCRAT,FALSE,TOTAL,108296,159774,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,025,GEN,FALSE,FALSE,EDWARD R ROYBAL,DEMOCRAT,FALSE,TOTAL,57966,80625,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,025,GEN,FALSE,FALSE,JIM MADRID,REPUBLICAN,FALSE,TOTAL,17737,80625,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,025,GEN,FALSE,FALSE,MARILYN SEALS,PEACE AND FREEDOM,FALSE,TOTAL,4922,80625,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,026,GEN,FALSE,FALSE,BRUCE LATTA,DEMOCRAT,FALSE,TOTAL,59093,171712,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,026,GEN,FALSE,FALSE,JOHN H ROUSSELOT,REPUBLICAN,FALSE,TOTAL,112619,171712,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,027,GEN,FALSE,FALSE,GARY FAMILIAN,DEMOCRAT,FALSE,TOTAL,94988,209611,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,027,GEN,FALSE,FALSE,ROBERT K DORNAN,REPUBLICAN,FALSE,TOTAL,114623,209611,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,028,GEN,FALSE,FALSE,EDWARD S SKINNER,REPUBLICAN,FALSE,TOTAL,28303,142915,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,028,GEN,FALSE,FALSE,YVONNE BRATHWAITE BURKE,DEMOCRAT,FALSE,TOTAL,114612,142915,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,029,GEN,FALSE,FALSE,"AUGUSTUS F ""GUS"" HAWKINS",DEMOCRAT,FALSE,TOTAL,82515,96602,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,029,GEN,FALSE,FALSE,MICHAEL D GERMONPREZ,REPUBLICAN,FALSE,TOTAL,10852,96602,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,029,GEN,FALSE,FALSE,SHEILA LEBURG,INDEPENDENT,FALSE,TOTAL,3235,96602,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,030,GEN,FALSE,FALSE,GEORG E DANIELSON,DEMOCRAT,FALSE,TOTAL,82767,111270,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,030,GEN,FALSE,FALSE,HARRY COUCH,REPUBLICAN,FALSE,TOTAL,28503,111270,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,031,GEN,FALSE,FALSE,CHARLES II WILSON,DEMOCRAT,FALSE,TOTAL,83155,83155,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,032,GEN,FALSE,FALSE,CLIFFORD O YOUNG,REPUBLICAN,FALSE,TOTAL,35394,127428,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,032,GEN,FALSE,FALSE,GLENN M ANDERSON,DEMOCRAT,FALSE,TOTAL,92034,127428,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,033,GEN,FALSE,FALSE,DEL CLAWSON,REPUBLICAN,FALSE,TOTAL,95398,173205,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,033,GEN,FALSE,FALSE,TED SNYDER,DEMOCRAT,FALSE,TOTAL,77807,173205,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,034,GEN,FALSE,FALSE,DANIEL E LUNGREN,REPUBLICAN,FALSE,TOTAL,98147,199135,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,034,GEN,FALSE,FALSE,MARK W HANNAFORD,DEMOCRAT,FALSE,TOTAL,100988,199135,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,035,GEN,FALSE,FALSE,JIM LLOYD,DEMOCRAT,FALSE,TOTAL,87472,164237,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,035,GEN,FALSE,FALSE,LOUIS BRUTOCAO,REPUBLICAN,FALSE,TOTAL,76765,164237,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,036,GEN,FALSE,FALSE,GEORGE E BROWN JR,DEMOCRAT,FALSE,TOTAL,90830,147556,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,036,GEN,FALSE,FALSE,GRANT CARNER,REPUBLICAN,FALSE,TOTAL,49368,147556,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,036,GEN,FALSE,FALSE,WILLIAM PASLEY,AMERICAN INDEPENDENT,FALSE,TOTAL,7358,147556,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,037,GEN,FALSE,FALSE,BERNARD WAHL,AMERICAN INDEPENDENT,FALSE,TOTAL,5352,188007,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,037,GEN,FALSE,FALSE,DOUGLAS C NILSON JR,DEMOCRAT,FALSE,TOTAL,49021,188007,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,037,GEN,FALSE,FALSE,SHIRLEY N PETTIS,REPUBLICAN,FALSE,TOTAL,133634,188007,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,038,GEN,FALSE,FALSE,"JAMES ""JIM"" COMBS",REPUBLICAN,FALSE,TOTAL,59092,162409,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,038,GEN,FALSE,FALSE,JERRY PATTERSON,DEMOCRAT,FALSE,TOTAL,103317,162409,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,039,GEN,FALSE,FALSE,CHARLES E WIGGINS,REPUBLICAN,FALSE,TOTAL,122657,209402,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,039,GEN,FALSE,FALSE,"WILLIAM E ""BILL"" FARRIS",DEMOCRAT,FALSE,TOTAL,86745,209402,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,040,GEN,FALSE,FALSE,ROBERT E BADHAM,REPUBLICAN,FALSE,TOTAL,148512,250644,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,040,GEN,FALSE,FALSE,VIVIAN HALL,DEMOCRAT,FALSE,TOTAL,102132,250644,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,041,GEN,FALSE,FALSE,BOB C WILSON,REPUBLICAN,FALSE,TOTAL,128784,223374,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,041,GEN,FALSE,FALSE,KING GOLDEN JR,DEMOCRAT,FALSE,TOTAL,94590,223374,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,042,GEN,FALSE,FALSE,LIONEL VAN DEERLIN,DEMOCRAT,FALSE,TOTAL,103062,135627,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,042,GEN,FALSE,FALSE,WES MARDEN,REPUBLICAN,FALSE,TOTAL,32565,135627,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,043,GEN,FALSE,FALSE,CLAIR W BURGENER,REPUBLICAN,FALSE,TOTAL,173576,267051,FALSE,20230706,FALSE
1976,CALIFORNIA,CA,6,93,71,US HOUSE,043,GEN,FALSE,FALSE,PAT KELLY,DEMOCRAT,FALSE,TOTAL,93475,267051,FALSE,20230706,FALSE
1976,COLORADO,CO,8,84,62,US HOUSE,001,GEN,FALSE,FALSE,DON FRIEDMAN,REPUBLICAN,FALSE,TOTAL,89384,193610,FALSE,20230706,FALSE
1976,COLORADO,CO,8,84,62,US HOUSE,001,GEN,FALSE,FALSE,LANN MEYERS,U.S. LABOR,FALSE,TOTAL,508,193610,FALSE,20230706,FALSE
1976,COLORADO,CO,8,84,62,US HOUSE,001,GEN,FALSE,FALSE,PATRICIA SCHROEDER,DEMOCRAT,FALSE,TOTAL,103037,193610,FALSE,20230706,FALSE
