subcategory,rank,year,name,affiliation,title
Health and Wellness,Nominee,2023,Rax Will,The New York Times,When ‘Sir’ and ‘Ma’am’ Miss the Mark: Restaurants Rethink Gender’s Role in Service
Feature Reporting,Winner,2023,Shane Mitchell Ms,The Bitter Southerner,Blood Sweat & Tears
Investigative Reporting,Nominee,2023,Meghan McCarron,Eater,"Chef's Fable; Can This Farm Fix Agriculture If It Can’t Fix Itself?; Feed the Rich, Save the Planet?"
MFK Fisher Distinguished Writing Award,Winner,2023,Shane Mitchell Ms,The Bitter Southerner,Blood Sweat & Tears
Investigative Reporting,Nominee,2023,Kimberly Kindy,The Washington Post,The fight to keep little-known bacteria out of powdered baby formula; Formula shortage adds to financial crunch for farmworker families; Whistleblower report on baby formula didn't reach top FDA food safety official
Home Cooking,Winner,2023,Lara Lee,Food & Wine,Sour Power
Jonathan Gold Local Voice Award,Winner,2023,Brooke Jackson-Glidden,Eater,"When I Feel Unmoored by Life, I Always Find My Way Back to Either/Or; At Mira's East African Cuisine, One Family's Iftar Traditions Take the Forefront; Why Isn't There an Overdose Kit Stocked Behind Every Bar in Portland?"
Jonathan Gold Local Voice Award,Nominee,2023,Cathy Chaplin,Eater,"The Doughnut Kids Are All Right; The Subtle Brilliance of Pijja Palace, Silver Lake's Indian Sports Bar; A Soul-Crushing Work of Staggering Genius"
Foodways,Winner,2023,Jamaal Lemon,Good Beer Hunting,"Come Hell or High Water, Oysters, Brewing, and How the Come Yahs & Bin Yahs Could End Sea Level Rise in Charleston"
Home Cooking,Nominee,2023,Elyse Inamine,Bon Appétit,How to Hot Pot: the Method (and the Madness) Behind Our Favorite Communal Meal
Innovative Storytelling,Nominee,2023,Gary He,The New York Times,How One New York City Restaurant Fought To Survive
Craig Claiborne Distinguished Restaurant Review,Nominee,2023,Soleil Ho,San Francisco Chronicle,"The most exciting new restaurant pop-up in Oakland is also its best-kept secret; After 33 years, an Indian food icon in Berkeley is better than ever; Stars like DJ Khaled and Steve Aoki have Bay Area restaurants now. They're all uniquely terrible"
Foodways,Nominee,2023,Jennifer Fergesen,Eater,Kimchi With a Side of Whale
Emerging Voice Award,Winner,2023,Lyndsay C. Green,Detroit Free Press,NA
MFK Fisher Distinguished Writing Award,Nominee,2023,Maram Humaid,Al Jazeera,Sardine kofta in Palestine: A love story
Personal Essay without Recipes,Nominee,2023,Cynthia Greenlee,Oxford American,Slave Food and Other Insults
Feature Reporting,Nominee,2023,David Hanson,The Bitter Southerner,The Last Oyster Tongers of Apalachicola
Foodways,Nominee,2023,Caroline Hatchett,The Bitter Southerner,The Elusive Roots of Rosin Potatoes
MFK Fisher Distinguished Writing Award,Nominee,2023,Brett Martin,Garden & Gun,Feasting on the NOLA Burbs
Beverage,Winner,2023,Mark Dredge,Good Beer Hunting,Lost in Translation — How Flavor Wheels and Tasting Tools Can Evolve to Speak with Global Beer Drinkers
Personal Essay without Recipes,Nominee,2023,Jean Barger,Los Angeles Times,How These Chinese Doughnuts Helped Save My Refugee Family
Investigative Reporting,Winner,2023,Alice Driver,Civil Eats,Animal Agriculture Is Dangerous Work. The People Who Do It Have Few Protections.; ‘I Was Coughing So Hard I Would Throw Up’; Tyson Says Its Nurses Help Workers. Critics Charge They Stymie OSHA.
Home Cooking,Nominee,2023,Jessie YuChen,Bon Appétit,How to Hot Pot: the Method (and the Madness) Behind Our Favorite Communal Meal
Innovative Storytelling,Winner,2023,rosin Thrillist Staff,Thrillist,Night Market
Beverage,Nominee,2023,Emma Janzen,Eater ,The Great Mezcal Heist
Personal Essay with Recipes,Nominee,2023,Layla Khoury-Hanold,Food52,"In My 40th Year, I Finally Made Pita Bread"
Innovative Storytelling,Nominee,2023,The Tennessean Staff,The Tennessean,Uneven Ground: Exceptional Black farmers and their fight to flourish in the South
Profile,Nominee,2023,Carolyn Kormann,The New Yorker,Tribe to Table
Home Cooking,Nominee,2023,Jenny Dorsey,Serious Eats,Chinese Scrambled Eggs With Tomato
Investigative Reporting,Winner,2023,Christina Cooke,Civil Eats,Animal Agriculture Is Dangerous Work. The People Who Do It Have Few Protections.; ‘I Was Coughing So Hard I Would Throw Up’; Tyson Says Its Nurses Help Workers. Critics Charge They Stymie OSHA.
Profile,Nominee,2023,Monica Eng,Chicago,Being Paula Camp
Health and Wellness,Nominee,2023,Anahad Oconnor,The Washington Post,Coffee vs. tea smackdown; What are ultra-processed foods? What should I eat instead?; The best foods to feed your gut microbiome
MFK Fisher Distinguished Writing Award,Nominee,2023,Brett Martin,Garden & Gun,Feasting on the NOLA Burbs
Beverage,Nominee,2023,Emma Janzen,Eater ,The Great Mezcal Heist
Personal Essay with Recipes,Nominee,2023,Layla Khoury-Hanold,Food52,"In My 40th Year, I Finally Made Pita Bread"
Jonathan Gold Local Voice Award,Winner,2023,Brooke Jackson-Glidden,Eater,"When I Feel Unmoored by Life, I Always Find My Way Back to Either/Or; At Mira's East African Cuisine, One Family's Iftar Traditions Take the Forefront; Why Isn't There an Overdose Kit Stocked Behind Every Bar in Portland?"
Investigative Reporting,Nominee,2023,Kimberly Kindy,The Washington Post,The fight to keep little-known bacteria out of powdered baby formula; Formula shortage adds to financial crunch for farmworker families; Whistleblower report on baby formula didn't reach top FDA food safety official
Home Cooking,Nominee,2023,Elyse Inamine,Bon Appétit,How to Hot Pot: the Method (and the Madness) Behind Our Favorite Communal Meal
Investigative Reporting,Nominee,2023,Meghan McCarron,Eater,"Chef's Fable; Can This Farm Fix Agriculture If It Can’t Fix Itself?; Feed the Rich, Save the Planet?"
Craig Claiborne Distinguished Restaurant Review,Nominee,2023,Karen Brooks,Portland Monthly,Vietnamese Food Goes Rogue at Portland's Berlu; Kann Is Portland Monthly's Restaurant of the Year: 2022; Michelin-Starred Chef Matthew Lightner Seeds Oregon's Next Food Revolution at Okta
Personal Essay with Recipes,Nominee,2023,Lan Samantha Chang,Food & Wine,Coming to America: How One Family Preserved Their Culinary Traditions After Moving to the Midwest in the 1960s
MFK Fisher Distinguished Writing Award,Nominee,2023,Maram Humaid,Al Jazeera,Sardine kofta in Palestine: A love story
Dining and Travel,Nominee,2023,Brett Martin,Garden & Gun,Feasting on the NOLA Suburbs
Jonathan Gold Local Voice Award,Nominee,2023,Cathy Chaplin,Eater,"The Doughnut Kids Are All Right; The Subtle Brilliance of Pijja Palace, Silver Lake's Indian Sports Bar; A Soul-Crushing Work of Staggering Genius"
Home Cooking,Winner,2023,Lara Lee,Food & Wine,Sour Power
Columns and Newsletters,Winner,2023,José Ralat,Texas Monthly,Tetelas Are the Tasty Triangles You Need to Try Right Now; Birria Is the Greatest Threat to Taco Culture—and Its Savior; Trompo Tacos Are So Much More Than Tacos al Pastor
Health and Wellness,Nominee,2023,Anahad Oconnor,The Washington Post,Coffee vs. tea smackdown; What are ultra-processed foods? What should I eat instead?; The best foods to feed your gut microbiome
Food Coverage in a General Interest Publication,Nominee,2022,The New Yorker,The New Yorker,NA
Food Coverage in a General Interest Publication,Winner,2022,The Bitter Southerner,The Bitter Southerner,NA
Dining and Travel,Winner,2022,Francis Lam,Condé Nast Traveler,Right Around the Corner
Feature Reporting,Nominee,2022,Shane Mitchell,The Bitter Southerner,Raising Cane
Feature Reporting,Nominee,2022,Jamaal Lemon,Good Beer Hunting,"Tek Cyear uh de Root, Part One — The Schützenfest, Black Endurance, and Beer Culture in Old South Charleston; Tek Cyear uh de Root, Part Two — The Deliberate Reconstruction of the Charleston Schützenfest; Tek Cyear uh de Root, Part Three — The Lost Potential of Charleston Beer"
Feature Reporting,Winner,2022,Ahmed Ali Akbar,Eater,"Inside the Secretive, Semi-Illicit, High Stakes World of WhatsApp Mango Importing"
Dining and Travel,Nominee,2022,José R. Ralat,Texas Monthly,The Ultimate Texas Tacopedia
Food Coverage in a General Interest Publication,Nominee,2022,The Washington Post,The Washington Post,NA
Home Cooking,Winner,2022,Mary-Frances Heck,Food & Wine,The Way of Clay
Home Cooking,Nominee,2022,Ben Mims,Los Angeles Times,"For Garlic Powder, a Working Seasoning Finally Gets its Turn in the Spice Limelight"
Home Cooking,Nominee,2022,Leslie Pariseau,TASTE,The Secret Society of Marmalade Makers
Investigative Reporting,Nominee,2022,Josh Dzieza,New York Magazine; The Verge,Revolt of the Delivery Workers
Dining and Travel,Nominee,2022,Ligaya Mishan,T: The New York Times Style Magazine,"Eating in Xi’an, Where Wheat and Lamb Speak to China’s Varied Palate"
Personal Essay - Long Form,Nominee,2022,Adia Victoria,The Bitter Southerner,The Creature Comfort of Aunt Jemima
Investigative Reporting,Nominee,2022,Marianne Dhenin,Life & Thyme,Palestine and the West Bank Agricultural Struggle
Columns and Newsletters,Nominee,2022,Kwame Onwuachi,Food & Wine,Tasting Home: Travels with Papa; Following the Thread; In Her Footsteps
Innovative Storytelling,Nominee,2022,Cynthia Greenlee,The New York Times,How Black Foragers Find Freedom in the Natural World
Columns and Newsletters,Nominee,2022,Mahira Rivers,Resy,"Taste Matters: Really, Is Everyone a Critic?; Stop Calling Chinese Food Cheap. It Can Be Exceptional at Every Price.; The Ingredients May Be New. The Quest For Deliciousness Is Eternal."
Craig Claiborne Distinguished Criticism Award,Winner,2022,Soleil Ho,The San Francisco Chronicle,"The Bay Area is Having a Love Affair with Smashburgers. This is the One You'll Want to Eat Again and Again; Impossible’s New Vegan Nuggets Taste Better than McNuggets. Sadly, that’s not Saying Much; S.F. Restaurant’s $72 Fried Rice Was a Runaway Hit. It Was Also the Chef's Nightmare"
Columns and Newsletters,Nominee,2022,Joshua David Stein,Food & Wine,Tasting Home: Travels with Papa; Following the Thread; In Her Footsteps
Columns and Newsletters,Winner,2022,José R. Ralat,Texas Monthly,"Tex-Mexplainer: Nixtamalization Is the 3,500-Year-Old Secret to Great Tortillas; Live a Little and Try Crunching on Chapulines, or Roasted Grasshoppers; Forget Everything You Think You Know About Mole"
Innovative Storytelling,Nominee,2022,Wulf Bradley,The New York Times,How Black Foragers Find Freedom in the Natural World
Innovative Storytelling,Winner,2022,Annelise Jolley,The Atavist Magazine,A Feast for Lost Souls
Foodways,Nominee,2022,Trisha Gopal,Eater,The American Dream in the Back of a Sunoco
Innovative Storytelling,Nominee,2022,Adraint Bereal,The New York Times,How Black Foragers Find Freedom in the Natural World
Innovative Storytelling,Winner,2022,Zahara Gómez Lucini,The Atavist Magazine,A Feast for Lost Souls
Craig Claiborne Distinguished Criticism Award,Nominee,2022,Louisa Chu,Chicago Tribune,’Constant Evolution’; Restaurant Debuts as one of the Best in the Midwest; Pizzas Out of this World
Foodways,Winner,2022,Ligaya Mishan,T: The New York Times Style Magazine,"In the Arctic, Reindeer Are Sustenance and a Sacred Presence"
Foodways,Nominee,2022,James Bennett II,Eater,‘We’re Reclaiming Beer Because It’s Ours’
Innovative Storytelling,Nominee,2022,Javier Cabral,Pop-Up Magazine,Arturo and the Rancho Zen of Washing Dishes
Investigative Reporting,Winner,2022,Claudia Irizarry Aponte,THE CITY,NYC Food Delivery Workers Band to Demand Better Treatment. Will New York Listen to Los Deliveristas Unidos?; Food Delivery Workers Toiling Through Historic Flooding Call Skimpy Wages and Tips ‘A Cruel Joke’; New York City Passes Landmark New Protections for Food Delivery Workers
Personal Essay - Short Form,Nominee,2022,Elaine Chukan Brown,Wine & Spirits,Caribou Bones and Burgundy
Personal Essay - Long Form,Winner,2022,Miguel De Leon,Punch,It's Time to Decolonize Wine
Health and Wellness,Nominee,2022,Helena Bottemiller Evich,POLITICO,Diet-Related Diseases Pose a Major Risk for Covid-19. But the U.S. Overlooks Them.
Personal Essay - Long Form,Nominee,2022,Jack Summers,Epicurious,All the Food You Can Eat and Only the Family You Can Stand
Health and Wellness,Winner,2022,Michael Behar,EatingWell,Cultivating Better Health
Health and Wellness,Nominee,2022,Adriana Velez,Endocrine Web,Deeply Rooted: An Endocrine Web Special Report on Race and Diabetes
Personal Essay - Short Form,Winner,2022,Kaylee Hammonds,Food & Wine,The Dangers of Bartending While Asian
Personal Essay - Short Form,Nominee,2022,Kiki Aranita,Food & Wine,How It Feels to Close Your Restaurant for Good
Emerging Voice Award,Winner,2022,Tammie Teclemariam,New York Magazine,NA
Jonathan Gold Local Voice Award,Nominee,2022,Cynthia Greenlee,The Counter; Oxford American,"Innovation and the Incinerated Tongue: Notes on Hot Chicken, Race, and Culinary Crossover; Two Friends Talk about Black, White, and The Grey: On Cooking and Collaboration Across the Color Line; Pimento-cracy"
M.F.K. Fisher Distinguished Writing Award,Winner,2022,Francis Lam,Condé Nast Traveler,Right Around the Corner
M.F.K. Fisher Distinguished Writing Award,Nominee,2022,Hannah Selinger,Eater,Life Was Not a Peach
Jonathan Gold Local Voice Award,Winner,2022,Carlos Frías,Miami Herald,‘Too Much to Lose.’ Why a Miami Man Moved into a Backyard Tent During Coronavirus Crisis; Salt Bae’s Restaurant Called Cops on Customer who Wouldn’t Pay for Gold-Wrapped Steaks; How to Eat Like a Local in Miami: A Local's Guide to Dining in the 305
Profile,Nominee,2022,Jane Black,HuffPost Highline,Chef José Andrés Embraces the Chaos
Profile,Winner,2022,Theresa McCulla,Good Beer Hunting,"Patsy Young — American Brewer, Fugitive From Slavery"
Jonathan Gold Local Voice Award,Nominee,2022,Mona Holmes,Eater LA,Growing Up on Los Angeles’s Black Barbecue; Downtown LA’s Once-Unstoppable Restaurant Scene Now Faces an Uncertain Future; Tonight’s Dinner Should Be Fried Chicken From an LA Grocery Store
Investigative Reporting,Winner,2022,Josefa Velasquez,THE CITY,NYC Food Delivery Workers Band to Demand Better Treatment. Will New York Listen to Los Deliveristas Unidos?; Food Delivery Workers Toiling Through Historic Flooding Call Skimpy Wages and Tips ‘A Cruel Joke’; New York City Passes Landmark New Protections for Food Delivery Workers
Profile,Nominee,2022,Kate Nelson,Esquire,The Man Who Sees a Future Where Indigenous Foods Are as Ubiquitous as Burgers
M.F.K. Fisher Distinguished Writing Award,Nominee,2022,Yasmin Khan,Vogue,The Flavors of My Grief
Craig Claiborne Distinguished Criticism Award,Nominee,2022,Bill Addison,Los Angeles Times,"In Grand Central Market, a Beloved Chef Begins a New Chapter; Jumpstart Your Day at this Taiwanese Breakfast Pop-up in Chinatown; This Atwater Village Sushi Bar is what L.A. Fine Dining is all About"
"Wine, Spirits, and Other Beverages",Nominee,2020,Ray Isle,Food & Wine,May I Help You With That Wine List?
Dining and Travel,Nominee,2020,Dylan James Ho,Taste,Interview With the Vampiro
Profile,Nominee,2020,Zoe Tennant,Granta,First Course
Foodways,Winner,2020,Cynthia Greenlee,MUNCHIES / Food by VICE,A Real Hot Mess: How Grits Got Weaponized Against Cheating Men
Foodways,Nominee,2020,Michael Snyder,Los Angeles Times,An Indigenous Community in Mexico Finds Its Voice — and Strength — in Wild Mushrooms
Investigative Reporting,Nominee,2020,Valeria Fernández,Pacific Standard,The Young Hands That Feed Us
Investigative Reporting,Nominee,2020,Karen Coates,Pacific Standard,The Young Hands That Feed Us
Investigative Reporting,Nominee,2020,Bryce Wilson Stucki,The Counter,How USDA Distorted Data to Conceal Decades of Discrimination Against Black Farmers
Personal Essay (Short Form),Winner,2020,M. Carrie Allen,The Washington Post,"For 20 Years, Happy Hour has Seen Us Through Work — and Life"
Profile,Nominee,2020,Tejal Rao,Women on Food (Abrams Press),The Fruit Saver
Investigative Reporting,Winner,2020,Amy Brittain,The Washington Post,‘The Man Who Attacked Me Works in Your Kitchen’: Victim of Serial Groper Took Justice into Her Own Hands
Feature Reporting,Winner,2020,Tad Friend,The New Yorker,Value Meal
"Wine, Spirits, and Other Beverages",Nominee,2020,Eric Asimov,The New York Times,How Climate Change Impacts Wine
M.F.K. Fisher Distinguished Writing Award,Nominee,2020,Shane Mitchell,The Bitter Southerner,An Undeserved Gift
Health and Wellness,Winner,2020,Helena Bottemiller Evich,Politico,How Washington Keeps America Sick and Fat; Meet the Silicon Valley Investor Who Wants Washington to Figure Out What You Should Eat
Innovative Storytelling,Nominee,2020,Kevin A. Alexander,Thrillist,Best New Restaurants 2019
Emerging Voice Award,Winner,2020,L.A. TACO,NA,NA
Health and Wellness,Winner,2020,Catherine Boudreau,Politico,How Washington Keeps America Sick and Fat; Meet the Silicon Valley Investor Who Wants Washington to Figure Out What You Should Eat
Dining and Travel,Winner,2020,Matthew Goulding,Airbnb Magazine,In Pursuit of the Perfect Pizza
Personal Essay (Short Form),Nominee,2020,Kevin A. Alexander,Thrillist,How the Starbucks Macchiato Ruined My Indie Coffee Shop Experiences
Craig Claiborne Distinguished Criticism Award,Nominee,2020,Ryan Patrick Sutton,Eater New York,"NYC’s Buzziest New Sushi Parlors Are Transcendent, If You Can Handle the Bros; Wall Street’s Underground Russian Spa Is a Dining Destination for the Soul; Estiatorio Milos Is One of the Last Big Restaurant Scams in New York"
Craig Claiborne Distinguished Criticism Award,Nominee,2020,Soleil Ho,San Francisco Chronicle,Le Colonial Is an Orientalist Specter; The Ultimate Chaat Truck Crawl; The Fantasy — and Reality — of Dining at Chez Panisse
Personal Essay (Short Form),Nominee,2020,Ali Rosen,Plate,"In Memoriam of Hominy Grill, the Restaurant that Defined Charleston"
Profile,Winner,2020,Brett Martin,GQ Magazine,The Provocations of Chef Tunde Wey
Home Cooking,Nominee,2020,Rick Martinez,Bon Appétit,6 Holiday Cookies That Will Win You the Cookie Swap
Craig Claiborne Distinguished Criticism Award,Winner,2020,Pete Wells,The New York Times,"Peter Luger Used to Sizzle. Now It Sputters.; The 20 Most Delicious Things at Mercado Little Spain; Benno, Proudly Out of Step With the Age"
Jonathan Gold Local Voice Award,Nominee,2020,Hanna Raskin,"The Post and Courier (Charleston, SC)","Forget Democratic Votes. Which Presidential Hopeful Will Eat 16 Iconic SC Foods First?; A James Island Meat-and-Two Secretly Switched to Carolina Gold Rice. Here’s What Happened.; In Prisons Across South Carolina, It’s Not a Birthday Without Cake Made by a Fellow Inmate"
M.F.K. Fisher Distinguished Writing Award,Nominee,2020,Rosalind Bentley,Gravy,A Mind to Stay Here
Foodways,Nominee,2020,Ligaya Mishan,T: The New York Times Style Magazine,"On Hawaii, the Fight for Taro’s Revival"
Innovative Storytelling,Nominee,2020,Nicole A. Taylor,Thrillist,Best New Restaurants 2019
M.F.K. Fisher Distinguished Writing Award,Winner,2020,John T. Edge,Oxford American,My Mother's Catfish Stew
Columns and Newsletters,Nominee,2020,Devra First,The Boston Globe,"What She's Having: Popeyes’ Fried Chicken Sandwich: A Delicious Distraction, a Cultural Lesson; Every Season Is Soup Season; Why a Somali Nook in East Boston Is One of the Country’s Best New Restaurants;"
Personal Essay (Long Form),Winner,2020,Kim Foster Ms.,Kim-Foster.com,The Dysfunction of Food
