"",,TICt  (millions,,proportion of,,,TICt  (millions,,proportion of,,,TICt  (millions,,proportion of
28 Armenia,,$336,"$5,359",0.0627,70 Kazakhstan,,"$1,344","$63,079",0.0213,112 Germany,,"$6,481","$2,683,917",0.0024
29 Kenya,,"$1,230","$19,936",0.0617,71 Hungary,,"$1,979","$99,078",0.0200,113 Malaysia,,$333,"$145,539",0.0023
30 Pakistan,,"$6,630","$110,577",0.0600,72 Peru,,"$1,580","$82,808",0.0191,114 Equatorial Guinea,,$16,"$7,436",0.0022
31 Egypt,,"$6,737","$112,654",0.0598,73 Greece,,"$4,342","$229,094",0.0190,115 United Kingdom,,"$4,005","$2,100,502",0.0019
32 Argentina,,"$13,204","$222,943",0.0592,74 Korea Republic of,,"$14,349","$759,097",0.0189,116 Trinidad and Tobago,,$29,"$15,415",0.0019
33 Belarus,,"$1,777","$30,307",0.0586,75 South Africa,,"$3,922","$210,088",0.0187,117 Luxembourg,,$65,"$36,255",0.0018
34 Niger,,$197,"$3,366",0.0586,76 Suriname,,$37,"$2,025",0.0180,118 Sweden,,$547,"$352,649",0.0016
35 Vanuatu,,$23,$401,0.0585,77 Croatia,,$756,"$43,204",0.0175,119 Ireland,,$278,"$184,655",0.0015
36 Iran,,"$11,276","$200,194",0.0563,78 Chile,,"$2,095","$120,502",0.0174,120 Norway,,$419,"$288,227",0.0015
37 Gambia,,$38,$706,0.0533,79 Colombia,,"$2,476","$150,304",0.0165,121 Italy,,"$1,447","$1,690,781",0.0009
38 Yemen,,$806,"$16,537",0.0487,80 Lithuania,,$392,"$25,817",0.0152,122 Iceland,,$5,"$13,206",0.0004
39 Sudan,,"$1,373","$29,276",0.0469,81 Mexico,,"$11,277","$812,403",0.0139,123 Qatar,,$5,"$50,556",0.0001
40 China,,"$117,290","$2,552,671",0.0459,82 Venezuela,,"$2,167","$173,339",0.0125,124 Singapore,,$1,"$125,415",0.00001
41 Georgia (Republic),,$301,"$6,670",0.0452,83 Lebanon,,$277,"$23,002",0.0120,,,,,
42 Thailand,,"$8,066","$183,583",0.0439,84 Australia,,"$7,815","$653,024",0.0120,,,,,
