year,title,series,anthology,format,number,novelization,setting,stardate_start,stardate_end,detailed_date,section,primary_entry_year,footnote
1974,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 1,NA,NA,book,NA,FALSE,secondary,NA,NA,March 13 to May 19,Ch 1-23,2270,NA
1984,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 1 1995,NA,NA,book,NA,FALSE,secondary,NA,NA,November 1 to December 3,Ch 26-30,2270,NA
1986,Star Trek 4: The Voyage Home,ST,NA,book,NA,TRUE,secondary,NA,NA,NA,Ch 5-12,2286,NA
1986,Whales Weep Not,TOS,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1986,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 1,NA,NA,book,NA,FALSE,secondary,NA,NA,July 5 to October 10,Ch 31-33,2270,NA
1989,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 1,NA,NA,book,NA,FALSE,secondary,NA,NA,November 9,Ch 34,2270,NA
1991,The Man Who Sold the Sky,NA,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,16
1992,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 2,NA,NA,book,NA,FALSE,secondary,NA,NA,June 14 to November 6,Ch 1-4,2270,NA
1993,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 2,NA,NA,book,NA,FALSE,secondary,NA,NA,March 15 to October 1,"Ch 5-6, 8-11",2270,NA
1994,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 2,NA,NA,book,NA,FALSE,secondary,NA,NA,February 7 to November 14,Ch 12-20,2270,NA
1994,The Rules of War,ST,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1995,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 2,NA,NA,book,NA,FALSE,secondary,NA,NA,March 17,Ch 21,2270,NA
1995,Ghost Ship,TNG,NA,book,1,FALSE,secondary,NA,NA,April 24,Ch 1,2364,NA
1995,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 2,NA,NA,book,NA,FALSE,secondary,NA,NA,September 7,Ch 22-23,2270,NA
1996,The Eugenics Wars: The Rise and Fall of Khan Noonien Singh Book 2,NA,NA,book,NA,FALSE,secondary,NA,NA,January 5 to February 2,Ch 24-27,2270,NA
1996,Almost... But Not Quite,VOY,SNW,book,NA,FALSE,secondary,NA,NA,NA,Section 3-5,2373,NA
1998,Research,DS9,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,17
1999,Spock Vs. Q: Armageddon Tonight,NA,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
1999,Spock Vs. Q: The Sequel,NA,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2001,Assignment: One,TOS,SNW,book,NA,FALSE,primary,NA,NA,September 10-11,NA,NA,NA
2003,Project Blue Book,TOS,SNW,story,NA,FALSE,primary,NA,NA,June 21-22,"Section 1-4; November 30, 2892-[ Section 5]",NA,18
2003,Make-Believe,TOS,CON,book,NA,FALSE,primary,NA,NA,October,NA,NA,NA
2045,Strangers from the Sky,TOS,NA,book,NA,FALSE,secondary,NA,NA,October,"Book 1: Ch 1 Section 1-6, 2 Section 1-10, 3 Section 1-5, 4 Section 1-5, 5 Section 1-12. Book 2: Ch 3-10, 11 Section 1-7",2284,NA
2053,The Sundered,TLE,NA,book,NA,FALSE,secondary,NA,NA,May 1,Ch 6,2298,NA
2053,Mestral,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2053,The Immortality Blues,ST,SNW,story,NA,FALSE,primary,NA,NA,NA,Section 1; 2056-[ Section 2]; 2058-[ Section 3]; 2063-[ Section 4],NA,NA
2056,The Immortality Blues,ST,SNW,story,NA,FALSE,secondary,NA,NA,NA,Section 2,2053,NA
2058,The Immortality Blues,ST,SNW,story,NA,FALSE,secondary,NA,NA,NA,Section 3,2053,NA
2058,The Sundered,TLE,NA,book,NA,FALSE,secondary,NA,NA,August 9 to September 2,Ch 7-8,2298,NA
2063,Star Trek: First Contact,TNG,NA,book,NA,TRUE,secondary,NA,NA,April 4-5,Ch 4-10,2373,NA
2063,The Sundered,TLE,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 12,2298,19
2063,Star Trek: First Contact,TNG,NA,book,NA,TRUE,secondary,NA,NA,NA,Ch 11-12,2373,NA
2063,A Private Victory,TNG,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,20
2063,Star Trek: First Contact,TNG,NA,book,NA,TRUE,secondary,NA,NA,NA,Ch 13-15,2373,NA
2063,The Immortality Blues,ST,SNW,story,NA,FALSE,secondary,NA,NA,NA,Section 4,2053,21
2063,Almost... But Not Quite,VOY,SNW,book,NA,FALSE,secondary,NA,NA,NA,Section 1,2373,NA
2063,Preserver,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 39,2375,NA
2065,Federation,NA,NA,book,NA,FALSE,secondary,NA,NA,March 19,Part One: Ch 1 Part Four: Ch 1,2366,22
2069,The Valiant,TNG,NA,book,NA,FALSE,secondary,NA,NA,December 30,Book 1,2333,23
2070,The Valiant,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Book 3,2333,NA
2075,First Steps,NA,TLOD,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2078,Federation,NA,NA,book,NA,FALSE,secondary,NA,NA,June 21,"Part One: Ch 4, 7, 10",2366,24
2079,Encounter At Farpoint,TNG,NA,book,NA,TRUE,secondary,NA,NA,NA,Ch 3,2364,NA
2079,All Good Things...,TNG,NA,book,NA,TRUE,secondary,NA,NA,NA,NA,2370,NA
2093,Surak's Soul,ENT,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 2 Section 4,2152,NA
2098,Surak's Soul,ENT,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 2 Section 5,2152,NA
2119,Federation,NA,NA,book,NA,FALSE,secondary,NA,NA,April,Part One: Ch 13 Part Two: Ch 1,2366,25
2121,A Girl for Every Star,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,26
2121,Broken Bow,ENT,NA,book,NA,TRUE,secondary,NA,NA,NA,Prologue,2151,NA
2135,Preconceptions,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2139,Daedalus,ENT,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 1 Section 2, 5",2153,NA
2140,Daedalus,ENT,NA,book,NA,FALSE,secondary,NA,NA,October 5,Ch 2 Section 2,2153,NA
2149,Egg Drop Soup,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Shockwave,ENT,NA,book,NA,TRUE,secondary,NA,NA,April 9,Ch 6,2152,NA
2151,Broken Bow,ENT,NA,book,NA,TRUE,primary,NA,NA,April 10-21,2121-[Prologue],NA,NA
2151,What Price Honor?,ENT,NA,book,NA,FALSE,primary,NA,NA,April 23,Prologue Section 2,NA,NA
2151,Cabin E-14,ENT,SNW,book,NA,FALSE,secondary,NA,NA,NA,Section 8-10,2152,NA
2151,Hoshi's Gift,ENT,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Fight or Flight,ENT,NA,episode,NA,FALSE,primary,NA,NA,"May 2-6, 2151",NA,NA,NA
2151,Remnant,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Strange New World,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Unexpected,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,By the Book,ENT,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Terra Nova,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,The Andorian Incident,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Discovery,ENT,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,A Time to Sow,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 1,2378,NA
2151,Breaking the Ice,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,A Time to Sow,TNG,NA,book,NA,FALSE,secondary,NA,NA,NA,Ch 2,2378,NA
2151,Civilization,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Fortunate Son,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Silent Enemy,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Cold Front,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Shockwave,ENT,NA,book,NA,TRUE,secondary,NA,NA,September 10,Ch 7,2152,27
2151,Dear Doctor,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Sleeping Dogs,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Shadows of P'jem,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Shuttlepod One,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Fusion,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Rogue Planet,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Acquisition,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,Oasis,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2151,What Price Honor?,ENT,NA,book,NA,FALSE,primary,NA,NA,"December 31, 2151 to January 5, 2152","Ch 2, 4, 6, 8; April 23, 2151-[Prologue Section 2]; 2152-[Ch 10, 12, 14, 16, 18, 20, 22, 24, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, Epilogue]",NA,28
2152,Detained,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Shockwave,ENT,NA,book,NA,TRUE,secondary,NA,NA,January,Ch 1629,2152,29
2152,Vox Sola,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Fallen Hero,ENT,NA,episode,NA,FALSE,primary,NA,NA,"February 9, 2152",NA,NA,NA
2152,Desert Crossing,ENT,NA,episode,NA,FALSE,primary,NA,NA,"February 12-13, 2152",NA,NA,NA
2152,Two Days and Two Nights,ENT,NA,episode,NA,FALSE,primary,NA,NA,"February 18-20, 2152",NA,NA,NA
2152,What Price Honor?,ENT,NA,book,NA,FALSE,secondary,NA,NA,NA,"Ch 10, 12, 14, 16, 18, 20, 22, 24, 1, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, Epilogue",2151,30
2152,Cabin E-14,ENT,SNW,book,NA,FALSE,primary,NA,NA,NA,"Section 1-7, 13-14; late April, 2151-[ Section 8-10]; unknown future-[ Section 11-12]",NA,NA
2152,Shockwave,ENT,NA,book,NA,TRUE,primary,NA,NA,NA,"Prologue, Ch 1-5, 8-11, 12 Section 1-2, 13 Section 1, 14, 15 Section 1, 16, 17 Section 1, 4-5, 18 Section 1, 3, 19-23, Epilogue; April 9, 2151-[Ch 6]; September 10, 2151-[Ch 7]; January, 2152-[Ch 16]; c.3000-[Ch 12 Section 3, 13 Section 2, 15 Section 2, 17 Section 2-3, 18 Section 2]",NA,NA
2152,Carbon Creek,ENT,NA,episode,NA,FALSE,primary,NA,NA,"April, 2152",NA,NA,NA
2152,Minefield,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Dead Stop,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,A Night in Sickbay,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,The Shoulders of Giants,ST,SNW,story,NA,FALSE,secondary,NA,NA,NA,Prologue,2465,NA
2152,Rounding a Corner Already Turned,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Marauders,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,The Seventh,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,The Communicator,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Surak's Soul,ENT,NA,book,NA,FALSE,primary,NA,NA,NA,2093-[Ch 2 Section 4]; 2098-[Ch 2 Section 5],NA,NA
2152,Singularity,ENT,NA,episode,NA,FALSE,primary,NA,NA,"August 14, 2152",NA,NA,NA
2152,Vanishing Point,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Precious Cargo,ENT,NA,episode,NA,FALSE,primary,NA,NA,"September 12, 2152",NA,NA,NA
2152,The Catwalk,ENT,NA,episode,NA,FALSE,primary,NA,NA,"September 18, 2152",NA,NA,NA
2152,Dawn,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Stigma,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Insanity,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Cease Fire,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Future Tense,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Canamar,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,The Crossing,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Savior,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,Judgment,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2152,"Have Beagle, Will Travel",NA,CT,book,NA,FALSE,primary,NA,NA,NA,NA,NA,31
2153,Horizon,ENT,NA,episode,NA,FALSE,primary,NA,NA,"January 10, 2153",NA,NA,NA
2153,Rihannsu 2: The Romulan Way,TOS,NA,book,35,FALSE,secondary,NA,NA,NA,Ch 12,2276,32
2153,The Breach,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Cogenitor,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Regeneration,ENT,NA,episode,NA,FALSE,primary,NA,NA,"March 1, 2153",NA,NA,NA
2153,First Flight,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Daedalus,ENT,NA,book,NA,FALSE,primary,NA,NA,NA,"2139-[Ch 1 Section 2, 5]; October 5, 2140-[Ch 2 Section 2]",NA,NA
2153,Daedalus's Children,ENT,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Bounty,ENT,NA,episode,NA,FALSE,primary,NA,NA,"March 21, 2153",NA,NA,NA
2153,The Expanse,ENT,NA,book,NA,TRUE,primary,NA,NA,April 24,NA,NA,33
2153,Last Full Measure,ENT,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Anomaly,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,"August 12, 2238-[Prologue, Epilogue]",NA,NA
2153,Earthquake Weather,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Extinction,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Hero,ENT,SNW,story,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Raijin,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Impulse,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Exile,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,The Shipment,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Twilight,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,North Star,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Similitude,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Carpenter Street,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Chosen Realm,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2153,Proving Ground,ENT,NA,episode,NA,FALSE,primary,NA,NA,"December 6, 2153",NA,NA,NA
2153,Stratagem,ENT,NA,episode,NA,FALSE,primary,NA,NA,"December 12, 2153",NA,NA,NA
2153,Harbinger,ENT,NA,episode,NA,FALSE,primary,NA,NA,"December 27, 2153",NA,NA,NA
2153,Doctor's Orders,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Hatchery,ENT,NA,episode,NA,FALSE,primary,NA,NA,"January 8, 2154",NA,NA,NA
2154,Azati Prime,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Damage,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,The Forgotten,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,E2,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,The Council,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Countdown,ENT,NA,episode,NA,FALSE,primary,NA,NA,"February 13, 2154",NA,NA,NA
2154,Zero Hour,ENT,NA,episode,NA,FALSE,primary,NA,NA,"February 14, 2154",NA,NA,NA
2154,Storm Front,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Storm Front Part 2,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Home,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Borderland,ENT,NA,episode,NA,FALSE,primary,NA,NA,"May 17, 2154",NA,NA,NA
2154,Cold Station 12,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,The Augments,ENT,NA,episode,NA,FALSE,primary,NA,NA,"May 27, 2154",NA,NA,NA
2154,Mother Nature's Little Reminders,ENT,SNW,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,The Forge,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Awakening,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Kir'Shara,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Daedalus,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Observer Effect,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Babel One,ENT,NA,episode,NA,FALSE,primary,NA,NA,"November 12, 2154",NA,NA,NA
2154,United,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,The Aenar,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Affliction,ENT,NA,episode,NA,FALSE,primary,NA,NA,"November 27, 2154",NA,NA,NA
2154,Divergence,ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2154,Bound,ENT,NA,episode,NA,FALSE,primary,NA,NA,"December 27, 2154",NA,NA,NA
2155,Rosetta,ENT,NA,book,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
2155,"In a Mirror, Darkly",ENT,NA,episode,NA,FALSE,primary,NA,NA,"January 13, 2155",NA,NA,NA
2155,"In a Mirror, Darkly Part 2",ENT,NA,episode,NA,FALSE,primary,NA,NA,NA,NA,NA,NA
