footnote,text
40,"Takes place six years after Part One. Spock's age is eight. The story mentions that twenty-two years have passed since ""first contact"" between the Klingons and the Federation, which is very close to The Star Trek Chronology's date of 2218, though this assumption was supplanted by Star Trek: Enterprise."
41,Takes place four years after Part Two. References which claim that ninety years have passed since the incorporation of the U.F.P. have been ignored.
42,"The story's date of 2242 for the battle at Donatu 5 was based upon an error in the first edition of The Star Trek Chronology.The battle actually takes place 23 years prior to ""The Trouble with Tribbles,"" so we have adjusted the year accordingly."
43,"The letter from George Kirk Sr. to his children, dated May 10, 2183, has been disregarded."
44,Story is set simultaneously with the Tarsus 4 incident.
45,Story is set simultaneously with the Tarsus 4 incident.
46,Story is set simultaneously with the Tarsus 4 incident.
47,Story continues throughout Sulu's sixth-grade school year.
48,Story is set before Spock joins Starfleet Academy in 2249.
49,The given year of 2249 was changed to a date about a year after Spock entered the Academy.
50,The time jump of forty years was adjusted to twenty. The presence of Spock aboard April's Enterprise can be explained if he was on a training mission as a cadet.
51,"Story is set soon before Starfleet Academy's winter break in Kirk's freshman year, 2250."
52,"April's letter claims he captained the Enterprise for nine years, which contradicts The Star Trek Chronology."
53,"Spock mentions meeting Pike a ""few years ago,"" which occurred in Starfleet Academy: Crisis on Vulcan (ST-YA #1)."
54,"Spock's somewhat lengthy service record conflicts with The Star Trek Chronology, which claims he was posted to the Enterprise while still a cadet."
55,"These scenes are set during ""The Cage"" (TOS)."
56,Story is set nine years after the launch of the Enterprise.
57,"Said to be eighteen years prior to the main story, but is actually twenty-one years."
58,"This chapter offers a differing interpretation of Kirk's ""Kobayashi Maru"" test from that found in ""A Test of Character"" (SNW 7)."
59,The time lapse of seventy-four years was changed to one hundred.
60,"Kirk is a lieutenant commander, set eighteen years before the rest of the story. This allows him to be a lieutenant during the events on the Farragut as established in ""Obsession"" (TOS), and then be promoted after that."
61,"This scene features Kirk with his infant son. However, other stories claim Kirk was unaware of David's birth at this time. As a dream sequence, this may be historically unreliable."
62,"The story claims Kirk took command of the Enterprise shortly after his thirtieth birthday, but this contradicts The Star Trek Chronology. Chekov has low watch on the bridge but is assumed to still be an Academy student. Sulu is a recent ""graduate,"" presumed to be some sort of advanced degree."
63,The story offers a brief explanation for McCoy's departure and replacement by Dr. Mark Piper following Enterprise: The First Adventure.
64,Takes place while Gary Mitchell is recovering at starbase from his poisoning on Dimorus.
65,"Occurs during ""Where No Man Has Gone Before."""
66,"Occurs during ""Where No Man Has Gone Before."""
67,"This novel describes the changes to crew postings which set up the main body of stories in the obligatory ""five-year mission,"" though some of the changes contradict Enterprise: The First Adventure. The Star Trek Chronology placed the five-year mission in the period from 2264-69, but this assumption was supplanted by ""Q2"" (VOY) which fixes the end of the mission in 2270. Note that the episode ""Where No Man Has Gone Before"" (TOS) does not include an opening monologue describing a five-year mission."
68,"Said to occur near the end of the five-year mission. However, this is incompatible with Joanna McCoy's age and her relationship to her father in Crisis on Centaurus."
69,"Story is set not long after ""Court Martial"" (TOS)."
70,"Story is set shortly after ""Tomorrow is Yesterday"" (TOS). A footnote that refers to ""All Our Yesterdays"" (TOS) contradicts the computer malfunction subplot of the story."
71,These chapters are numbered 10-16 in the paperback edition.
72,"Takes place immediately after ""Space Seed"" (TOS)."
73,"Framing story takes place during ""City on the Edge of Forever"" (TOS)."
74,"Framing story takes place immediately after ""City on the Edge of Forever"" (TOS)."
75,Takes place immediately before Chekov is assigned to the bridge crew.
76,"Framing story takes place after ""The City on the Edge of Forever"" (TOS)."
77,"Story is set immediately after ""Friday's Child"" (TOS)."
78,"Chapter three references recent events of ""Amok Time"" (TOS)."
79,"Chapter three sets the story soon after ""The Doomsday Machine"" (TOS)."
80,"Continues concurrently through ""The Trouble with Tribbles"" (TOS). The story's December date is difficult to reconcile and was disregarded."
81,"According to the author, the story is set immediately before ""The Trouble with Tribbles."" The presence of Arex and M'Ress in the lounge suggests that they were ""lower decks"" officers at this time. Gods Above (NF) suggests they came aboard sometime after ""Who Mourns for Adonais?"" (TOS)."
82,"Takes place during ""The Trouble with Tribbles"" (TOS)."
83,"This story takes place immediately after ""The Trouble with Tribbles"" (TOS)."
84,"Story is set after ""The Trouble with Tribbles"" (TOS)."
85,"Story is set sometime after ""A Taste of Armageddon"" (TOS)."
86,Story is set immediately before The IDIC Epidemic (TOS #38). The claim that Spock had not been to Vulcan in two years was disregarded.
87,"The arrival of Dr. M'Benga aboard the Enterprisesignals placement prior to ""A Private Little War"" (TOS)."
88,"Story is set just before ""Gamesters of Triskelion"" (TOS)."
89,"Story is set after ""Errand of Mercy"" (TOS). Stardate for the story is from Day of Honor #2: Armageddon Sky (DS9)."
90,Story is set immediately after The Klingon Gambit (TOS #3).
91,"Story is set after ""Private Little War"" (TOS)."
92,"Using McCoy's age for chronology is problematic, so the stardate was used."
93,"Story is set after ""The Omega Glory"" (TOS)."
94,Story is set during fourth year of Kirk's first five-year mission.
95,"Story is set after ""The Immunity Syndrome"" (TOS)."
96,"Story is set several months after ""The Enterprise Incident"" (TOS), and very shortly before ""For the World is Hollow and I Have Touched the Sky"" (TOS)."
97,"Story is set several months after ""The Enterprise Incident"" (TOS)."
98,"Story is set after ""The Omega Glory"" (TOS)."
99,"Story is set after ""I, Mudd"" (TOS)."
100,"This story suggests an alternate possibility for the first meeting with Harry Mudd since ""I, Mudd"" (TOS)."
101,"Story is set after ""Let That Be Your Last Battlefield"" (TOS)."
102,"Story continues several weeks past ""The Mark of Gideon"" (TOS)."
103,"Placement represents a compromise between the Historian's Note, which puts the story about halfway through Kirk's first five-year mission, and David's age, which is supposed to be ten. We assume that the planet ""Alpha Maluria Seven"" is not part of the system destroyed in ""The Changeling"" (TOS)."
104,"Story is set one week after ""Turnabout Intruder"" (TOS)."
105,Requires about two years of story time. Reconciling this is left to the reader.
106,Requires several months of story time and ends with the Organians depriving the Klingons of spaceflight capability for a thousand years. Reconciling this is left to the reader.
107,"Story is set after ""The Enterprise Incident"" (TOS). Chapters 2-23 occur in an alternate timeline."
108,"Story is set after ""Plato's Stepchildren"" (TOS)."
109,"Story is set two years after ""A Private Little War"" (TOS)."
110,"Story is set after ""Taste of Armageddon"" (TOS)."
111,"Story is set after ""The Lights of Zetar"" (TOS)."
112,"Prime Directive requires several months of story time, and makes a convenient transition point between the live action episodes (TOS) and the animated episodes (TAS)."
113,Takes place at Christmastime.
114,The given year of 2268 was adjusted to 2270.
115,"Story takes place after ""Day of the Dove"" (TOS) and ""Time Trap"" (TAS)."
116,Chapter nine sets the story 207 years after Cochrane's first warp flight. The opening at Starbase 23 suggests placement immediately after Tears of the Singers (TOS #19).
117,"Story is set after ""Once Upon a Planet"" (TAS)."
118,Christine Chapel begins pursuit of her doctorate.
119,"Prior to the publication of The Star Trek Chronology, many circles within fandom believed that Kirk commanded a second five-year mission prior to Star Trek: The Motion Picture. Stories set in this period typically featured promotions for the bridge crew, the return of Janice Rand, the movie-era uniforms, upgrades to the Enterprise, and so on. Black Fire marks the transition point to this era, the scope of which we have greatly reduced to fit within the final six months of the five-year mission. Reconciling the time constraints is left to the reader."
120,"Story is set years after ""Devil in the Dark"" (TOS). Kirk is said to be in his forties yet the crew ranks and uniforms are from the pre-TMP era. Chekov is temporarily in charge of security."
121,"Story is purportedly set three years after ""The Enterprise Incident,"" thus presupposing the second five-year mission prior to ST:TMP. This story introduces the character of Ingrit Tomson, who is featured in several subsequent novels."
122,"Story is set after Mindshadow (TOS #27). Spock's age is suggested to be thirty-six, which is incorrect."
123,Story is set after The Abode of Life (TOS #6).
124,Story is set after Demons (TOS #30). References to Halloween are problematic.
125,Story is set after Chain of Attack (TOS #32).
126,"Story takes place about two years after ""Whom Gods Destroy."""
127,"The span of ""two years"" since ""All Our Yesterdays"" (TOS) has been reduced to about eighteen months. Commodore Wesley has returned to Starfleet since his stint as Governor of Mantilles in 2269."
128,"The placement for the end of the Enterprise's five-year mission is drawn from ""Q2"" (VOY). We assume that this event occurred roughly in mid-to-late 2270."
129,This timeline is eliminated at the end of the story.
130,"The bulk of The Lost Years takes place in early 2271 (The Star Trek Chronology has Spock returning to Vulcan to undergo Kohlinar in 2270). Spock's age is established to be forty-one, but Kirk's age thirty-six is incorrect. References to Tomson having served with Kirk for four years and the season being autumn are problematic."
131,"Story is set ""shortly after the end of the Enterprise's five-year mission, immediately following the events chronicled in The Lost Years."" This occurs after Spock decides to pursue Kohlinar, contradicting the December 2269 date."
132,"The 2270 date in the novel has been adjusted to 2272, following the first two Lost Years novels."
133,"Story is set ""shortly before the events chronicled in Star Trek: The Motion Picture."" Since dates placing this novel during the Apollo 11 tricentenial contradict The Star Trek Chronology, we assumed the story to be centered around the tricentennial of the Apollo space program (1969-1972) instead."
134,"Story is set weeks before Star Trek: The Motion Picture. Several references to Kirk having been Chief of Operations for approximately a year, suggest a late 2272 time period for this novel, some four months after A Flag Full of Stars (TOS #54)."
135,Story is set immediately before Star Trek: The Motion Picture.
136,Spock has been pursuing the Kolinahr disciplines for 2.8 years. This establishes the event in mid-2273.
137,Reprises the end of Star Trek: The Motion Picture.
138,Story is set immediately after Star Trek: The Motion Picture.
139,"Story is set after ""More Troubles, More Tribbles"" (TAS) and ""some years"" after ""Day of the Dove"" (TOS). Despite descriptions of the colored uniforms of the first five-year mission, the story must occur after TMP, given that Chapel is a doctor, and Kang's unknown son with Mara is about five years old."
140,Story is set shortly after Star Trek: The Motion Picture.
141,Story is set shortly after Star Trek: The Motion Picture.
142,Story is set shortly after Star Trek: The Motion Picture.
143,"Takes place five years after ""Elaan of Troyius"" (TOS). Uniform details within this and the subsequent novels by L. A. Graf are inconsistent for this period."
144,"Takes place in the weeks leading up to the lunar (Asian) new year, thirty years after the Battle of Donatu V."
145,Chapter 2 establishes that Uhura and Chekov had known each other for eight years. Chapter 3 establishes that Uhura had been in Starfleet for twelve years.
146,"The severe damage incurred by the USS Kongo demands placement after Shell Game (TOS), which also features the ship. Kirk's age is said to be ""just over forty"" (i.e., perhaps forty-one)."
147,"Story is set seven years after ""Amok Time"" (TOS)."
148,"After rescuing Saavik from Hellguard, Spock takes a one-year leave to help her acclimate into Vulcan society. He will return sometime in late summer of 2275, prior to The Wounded Sky."
149,"Story is set immediately after The Wounded Sky and one ""standard year"" prior to The Romulan Way. Note that the setting originally intended for Duane's novels was a purported second five-year mission prior to Star Trek: The Motion Picture-an idea since discarded. Therefore, crew ranks and Chapel's pursuit of her doctorate are incorrect for this period. These discrepancies will be corrected in the forthcoming Rihannsu omnibus edition."
150,Story is set two years after Star Trek: The Motion Picture.
151,"Story is set eight years after ""The Enterprise Incident"" (TOS), when McCoy is age forty-nine, not fifty as stated in the text."
152,Story is set two months after The Romulan Way.
153,The 2213.5 stardate given in the book is too low since it would put the story during Kirk's first five-year mission.
154,This story marks the end of Kirk's conjectural second five-year mission following Star Trek: The Motion Picture.
155,"The year, given as 2272, has been adjusted to 2278, after Spock has assumed command of the Enterprise."
156,"The main story begins five months after departure of the Belle Terre mission, and continues through three additional months."
157,Story is set six months after New Earth #2: Belle Terre (TOS #90). Chekov is transferred to the U.S.S. Reliant.
158,"At least ten years after ""A Piece of the Action."" Spock is a ""former captain"" and has (temporarily) become a civilian, though the reason is unclear."
159,Takes place after the destruction of the Gagarin inIn the Name of Honor (2279). These chapters are numbered 19-24 in the paperback edition.
160,Story is set after Saavik enters the Academy.
161,Story is set after Saavik enters the Academy.
162,"At least twelve years after ""A Piece of the Action"" (TOS)."
163,Story is set in Saavik's second year at the Academy.
164,Time travel sections are set in an alternate future where the Federation is at war with the Gorn Hegemony.
165,Story is set 14.5 years after Yesterday's Son (TOS) and one month before Star Trek 2: The Wrath of Khan.
166,Story is set shortly before Star Trek 2: The Wrath of Khan.
167,"Story is set during Kirk's birthday, traditionally held by fandom to be in March. However, The Star Trek Chronology placesThe Voyage Home (which occurs just a few months later) in 2286."
168,Takes place during Star Trek 2: The Wrath of Khan.
169,Takes place during the final battle in Star Trek 2: The Wrath of Khan.
170,Story is set immediately after Star Trek 2: The Wrath of Khan.
171,Story is set during Star Trek 3: The Search for Spock.
172,Story is set during Star Trek 3: The Search for Spock.
173,Story is set during Star Trek 3: The Search for Spock.
174,"Takes place one month after Star Trek 4: The Voyage Home.However, the events of Star Trek 5: The Final Frontier are implied to be just one week away, which contradicts The Star Trek Chronology."
175,"The ""planetary"" years on Ceti Alpha 5 are roughly equivalent to 1.2 Earth years."
176,"Story is set after Star Trek 5: The Final Frontier yet just ""weeks"" after Star Trek 4: The Voyage Home. This is difficult to reconcile with the implied passage of time in The Star Trek Chronology."
177,Story is set two years before Captain Hikaru Sulu takes command of the Excelsior in 2290.
178,Takes place concurrently with Star Trek 6: The Undiscovered Country.
179,Takes place concurrently with the end of Star Trek 6: The Undiscovered Country. The prologue is set in an alternate timeline.
180,Takes place immediately after Star Trek 6: The Undiscovered Country. The story creates an alternate timeline.
181,Occurs as the Enterprise is returning to spacedock following Star Trek 6: The Undiscovered Country.
182,"The story begins very soon after Star Trek 6: The Undiscovered Country and ends with the Enterprise gaining a reprieve from retirement. This would explain why the Enterprise is still active for Sarek, Mind Meld andShadows on the Sun."
183,The given month of September must be ignored to allow enough time for additional stories prior to the launch of the Enterprise-B in late 2293.
184,The story takes place three months after Star Trek 6: The Undiscovered Country and ends with the Enterprise arriving back at Earth for decommissioning.
185,Story is set after the Enterprise-A has been decomissioned and features Kirk's retirement from Starfleet.
186,"The story has a retired Kirk and no Enterprise, but the claim that Kirk had been retired for six months must be disregarded. The spring 2294 date contradicts The Star Trek Chronology."
187,The 2295 date in the novel has been adjusted to a time prior to Kirk's disappearance in Generations.
188,Story is set just before the TOS-era portion of Star Trek: Generations.
189,"Some authors place the launch of the Enterprise-B in 2294 or 2295, which allows more time for stories set in this period but contradicts The Star Trek Chronology."
190,Takes place during Star Trek: Generations.
191,"Most of this section takes place in an alternate history, in which the Enterprise failed to repel the Borg invasion of Earth in 2063."
192,Story is set the same day as Kirk's presumed death.
193,"The references setting the story ""about a year after Kirk's disappearance"" are inaccurate."
194,Story is set after The Capain's Daughter (TOS #76).
195,"This is purportedly six years since Tuvok's ""graduation,"" but we are also told that that he had pursued advanced degrees, so he may have spent up to eight years at the Academy."
196,"If we suppose Gillian Taylor was the same age as actress Catherine Hicks in Star Trek 4: The Voyage Home, she was thirty-five when she arrived in the twenty-third century with Kirk and crew. In this story, she is in her fifties; hence this story's placement in 2301."
197,Story spans the period from the fall of 2322 to the fall of 2323.
198,Story starts at the beginning of Picard's freshman year at Starfleet Academy.
199,Six months after the launch of the Enterprise-C.
200,The Commander Rachel Garrett in this story apparently is not the same person who at that time was Captain of the Enterprise-C.
201,Both this story and Oblivion each tell alternate versions of Picard's first meeting with Guinan.
202,"Story is set in the Earth year 2341, when Data entered Starfleet Academy."
203,Data has been a cadet at Starfleet Academy for three weeks at the beginning of this story.
204,Data has been a cadet at Starfleet Academy for three months at the beginning of this story.
205,Story is set during Beverly (née Howard) Crusher's first year at Starfleet Academy Medical School.
206,"Concurrent with the time-travel portion of ""Yesterday's Enterprise"" (TNG)."
207,"Concurrent with the time-travel portion of ""Yesterday's Enterprise"" (TNG)."
208,"Chakotay's age is fifteen. His birthyear was established to be 2329 in ""Endgame"" (VOY)."
209,Spans about a year.
210,"The third story chronicles Klag's life, up to the time of the primary entry."
211,The timespan has been adjusted to twenty-one years to remain consistent with Pathways.
212,"The story's initial date of June 17, 2355 has been adjusted to a period one year prior to the Raven's disappearance in 2354."
213,"Story claims Annika left Earth twenty-seven years before ""Scorpion, Part 2"" (VOY), which would be in 2347. However, Annika was abducted by the Borg in 2354 at the age of six."
214,"Story is set as Janeway begins at Starfleet Academy in 2353, according to the ""Starfleet Timeline"" in this book."
215,La Forge has been a cadet at Starfleet Academy for three weeks at the beginning of this story.
216,Conversation in this story indicates it takes place in the same year as Starfleet Academy: Lifeline (VOY-YA #1).
217,La Forge is mentioned as being a first-year cadet in this story.
218,La Forge is a first-year cadet at Starfleet Academy in this story.
219,La Forge and Riker are first-year cadets at Starfleet Academy in this story.
220,"The year, given as 2356, has been adjusted to a time shortly after the Raven's disappearance."
221,Story is set during the spring semester of La Forge's first year at Starfleet Academy.
222,"Story is set during Troi's first year at Starfleet Academy in 2354, according to the ""Starfleet Timeline"" in this book."
223,Jack Crusher died one year earlier. His presence at the battle of Maxia Zeta is a hypothetical scenario created by the Traveler.
224,"The year, given as 2358, has been adjusted to a time two years after the Raven's disappearance."
225,"The destruction of Rinax in chapter 10 is fifteen years prior to the episode ""Jetrel"" (VOY), although this was later contradicted by the episode ""Mortal Coil"" (VOY)."
226,These three stories are set during Worf's first year at Starfleet Academy.
227,Phoebe's age (twenty-three) is incorrect for this period.
228,"This ""anti-time"" portion of the story is an alternate past in which the Enterprise does not go to Farpoint Station."
229,"Takes place concurrently with ""Encounter at Farpoint"" (TNG). The stardate of 42372.5 given in the book is a mismatch with the episode."
230,"This ""track"" is set in an alternate timeline where Jack Crusher is the Enterprise captain."
231,"Takes place after ""Hide and Q"" (TNG)."
232,"Takes place concurrently with the episode ""Too Short a Season"" (TNG)."
233,"Story is set immediately after ""Arsenal of Freedom"" (TNG)."
234,"Elsewhere in Pathways we learn that Torres and Paris spent at least one year at the Academy at the same time. Therefore, Torres must have entered the Academy no later than 2364."
235,"Set two weeks after ""The Arsenal of Freedom"" (TNG) and immediately before ""Skin of Evil"" (TNG)."
236,"Story is set shortly after ""Skin of Evil"" (TNG)."
237,"Takes place immediately after ""The Neutral Zone"" (TNG)."
238,"Janeway meets Tuvok on the same day as Tom Paris's accident. Tuvok is an ensign here, but earlier in Catalyst of Sorrows he was a lieutenant."
239,"Begins simultaneous with ""The Measure of a Man"" (TNG) and continues throughout Sonya Gomez's tour on the Enterprise-D."
240,Doctor Pulaski is leaving the Enterprise and Doctor Crusher is returning.
241,"Near the end of chapter 14, Janeway informs Tuvok that she will soon take command of the Intrepid-class U.S.S. Voyager,even though the events of ""Caretaker"" are still years away. One might presume that these plans were delayed substantially following the debacle at Wolf 359."
242,Data's thoughts in chapter 11 suggest that Pulaski has left the ship only recently.
243,Takes place twenty-six years after Geordi first received his VISOR; not twenty-seven as claimed in the text.
244,The May calendar date was ignored in favor of the stardate.
245,"The 42945.4 STARDATE given in the book was adjusted to fit a timeframe shortly after ""Ménage à Troi"" (TNG)."
246,"The 44261.6 stardate given in the book was adjusted to fit a timeframe shortly after ""Ménage à Troi"" (TNG)."
247,"The year, given as 2367, has been adjusted to a time during ""The Best of Both Worlds"" (TNG)."
248,"Takes place during ""The Best of Both Worlds"" Part 2."
249,"Takes place during ""The Best of Both Worlds"" Part 2."
250,"The year, given as 2368, has been adjusted to a time just after ""The Best of Both Worlds"" (TNG)."
251,"The year, given as 2368, has been adjusted to a time shortly after the Borg attack on Earth."
252,"The 45195.7 stardate given in the book was adjusted to fit a timeframe between ""Reunion"" (TNG) and ""Final Mission"" (TNG)."
253,"This story is concurrent with ""The Loss"" (TNG)."
254,"Given that Keiko's last name is now ""O'Brien,"" the 44010.2 stardate given in the book was adjusted to fit a timeframe after ""Data's Day"" (TNG)."
255,"References to O'Brien's wedding in chapter six suggest placement soon after ""Data's Day"" (TNG)."
256,"Takes place soon after ""Redemption, Part 2"" (TNG)."
257,"Story is set immediately after ""Ensign Ro"" (TNG)."
258,"This book novelizes parts 1 and 2 of the episode, and takes place concurrently with ""Dementia in D Minor."""
259,"Takes place during the episode ""Conundrum"" (TNG)."
260,"Molly is cutting her first tooth, thus we assume this occurs about six months after ""Disaster"" (TNG)."
261,"Date adjusted from February to a time shortly after ""Cause and Effect."""
262,"Story is set over a year after ""The Drumhead"" (TNG), but not long after ""New Ground"" (TNG)."
263,"The 45223.4 stardate given in the book was adjusted to fit a timeframe shortly after ""The Next Phase"" (TNG)."
264,"Story is set within Picard's vision of life as Kamin in ""The Inner Light"" (TNG)."
265,"Takes place concurrently with ""Relics"" (TNG)."
266,"The year, given in the journal as 2368, was adjusted to 2369, a few months after ""Cause and Effect"" (TNG)."
267,"The year, given in the journal as 2368, was adjusted to 2369, a few months after ""Cause and Effect"" (TNG)."
268,"The year, given in the journal as 2368, was adjusted to 2369, a few months after ""Cause and Effect"" (TNG)."
269,"The year, given in the journal as 2368, was adjusted to 2369, a few months after ""Cause and Effect"" (TNG)."
270,"The year, given in the journal as 2368, was adjusted to 2369, a few months after ""Cause and Effect"" (TNG)."
271,The timeshifts cover the period from two weeks before to two weeks after the Cardassian withdrawal in Book One.
272,"Story is set after ""First Duty"" (TNG)."
273,"Story spans about three months. The book says this portion of the story takes place six years before the framing story, which would place it in 2368. However, we placed it in 2369 after ""Chain of Command"" (TNG), when Jellico was a captain, due to the fact that Jellico is an admiral in this story."
274,"This story is set a few days after the events of ""Emissary,"" the pilot episode of Star Trek: Deep Space Nine."
275,"The year, given in the journal as 2368, was adjusted to 2369."
276,"The 45741.9 stardate given in the book was adjusted to fit the post ""Emissary"" (DS9) timeframe."
277,"The year, given in the journal as 2368, was adjusted to 2369."
278,"Takes place after the Aphasia virus outbreak in ""Babel"" (DS9) and about a month after ""A Man Alone"" (DS9). References to Molly's age (3) and the years since the O'Briens' wedding (4) are incorrect."
279,"Takes place concurrently with the episode ""Tapestry."" The year 2367 given in the story is an editing oversight."
280,"Story is set before ""Timescape"" (TNG)."
281,"Story is set before the episode ""Battle Lines"" (DS9)."
282,"These two books take place over the course of several months in the Mirror Universe of ""Mirror, Mirror"" (TOS), and ends before ""Crossover"" (DS9)."
283,"Story is set after ""Battle Lines"" (DS9) and before ""The Homecoming"" (DS9)."
284,"The 47511.3 stardate given in the book was adjusted to fit a timeframe shortly after ""Second Chances"" (TNG)."
285,The 47821.2 stardate given in the book was adjusted to fit a late 2369 timeframe prior to the departure of Ensign Ro.
286,"This book novelizes part 1 of the episode, which is set in late 2369, and part 2, which is set at the beginning of 2370."
287,Story is set between the first and second seasons of Star Trek: Deep Space Nine.
288,"Most references in this book would place it between the first and second seasons of Star Trek: Deep Space Nine. A reference to theDefiant was accidentally added during editing, since the book was published after the Defiant was introduced at the beginning of the third season."
289,"Story is set before ""Force of Nature"" (TNG)."
290,"Describes the events of ""A Matter of Time"" (TNG) as occurring ""a few years ago."" This is the final appearance of George Primmin."
291,"Story is set one year before ""Defiant"" (DS9)."
292,Chapter 2 references the poker tournament from The Big Game (DS9 #4).
293,"Story is set after ""Force of Nature"" (TNG)."
294,Story is set during the first anniversary of the discovery of the Bajoran Wormhole on stardate 46379.1.
295,An historians' note places this story in the second season of Star Trek: Deep Space Nine. The 46384.1 stardate given in the book was adjusted to fit the specified timeframe.
296,Story is set three years after the Borg attack at Wolf 359 in 2367.
297,"Additionally, this is the timeframe of the non-holodeck portions of (ENT) ""These are the Voyages..."""
298,"Worf mentions he encountered a similar type of dislocation before. Hence, the story is set some time after ""Parallels"" (TNG)."
299,"Story is set shortly after ""Thine Own Self"" (TNG)."
300,Story is set in the first or second season of Star Trek: Deep Space Nine.
301,"The 47146.2 stardate given in the book was adjusted to fit a timeframe shortly before ""Eye of the Beholder"" (TNG)."
302,"Over two years after ""Cause and Effect"" (TNG)."
303,Story is set late in the second season of Star Trek: Deep Space Nine when the runabout Mekong was in use by DS9 personnel.
304,"Story is set shortly after ""Preemptive Strike"" (TNG)."
305,"Story is set shortly after ""Crossover"" (DS9). The given date of March 15, 2368 may be an error, or may be a result of the corrupted timestream."
306,Story is set prior to Voyager's launch.
307,This book novelizes parts 1 and 2 of the episode.
308,"The Defiant is undergoing repairs, which would be consistent with the damage inflicted during ""The Search"" (DS9)."
309,A reference to Alexander as being twelve years old is inconsistent with The Star Trek Chronology.
310,"This story takes place over 100 years after ""The Devil in the Dark"" (TOS), between ""Doctors Three"" (SNW 2) and Star Trek: Generations."
311,"Story takes place on Riker's birthday (around Stardate xx286.5) but after Deanna and Worf have begun courting. Therefore, the year was adjusted to 2371."
312,The Star Trek Chronology mentions Tom Riker was on the Gandhi for about a year before joining the Maquis. Two statements in this novel that indicate that he was on the Gandhi for two years have been disregarded.
313,Story is set during Picard's eighth year of command of the Enterprise-D.
314,Picard's gray uniform on the cover is not indicative of the uniform in use in the story.
