LEAID,LEA_NAME,ST,d_Locale_Txt,SCHOOL_YEAR,AIAN,Asian,Black,Hispanic,White,Multi,Total,diverse,variance,int_group
0100300,barbour county,AL,rural-remote,2016-2017,0.354191263282172,0,81.3459268004723,11.9244391971665,6.02125147579693,0.354191263282172,847,Undiverse,NA,NA
0100330,bessemer city,AL,suburban-large,1994-1995,0.0205254515599343,0.061576354679803,90.0862068965517,0.0205254515599343,9.8111658456486,NA,4872,Extremely undiverse,NA,NA
0100330,bessemer city,AL,suburban-large,2016-2017,0.13869625520111,0.0277392510402219,89.6532593619972,8.01664355062413,1.99722607489598,0.166435506241331,3605,Undiverse,NA,NA
0100360,bibb county,AL,town-distant,1994-1995,0,0.0847697089573326,28.5673919186211,0.169539417914665,71.1782989545069,NA,3539,Diverse,0.0904824416845383,Somewhat integrated
0100360,bibb county,AL,town-distant,2016-2017,0.121543603767852,0.21270130659374,22.120935885749,2.79550288666059,73.8681251899119,0.881191127316925,3291,Diverse,0.112417348484372,Somewhat integrated
0100390,birmingham city,AL,city-midsize,1994-1995,0.0310997344561135,0.337312504485539,91.5169493552786,0.133968086887874,7.98067031889189,NA,41801,Extremely undiverse,NA,NA
0100390,birmingham city,AL,city-midsize,2016-2017,0.172726487606875,0.233180758269281,91.0743587529148,6.32610760860178,1.21340357543829,0.980222817169013,23158,Extremely undiverse,NA,NA
0100420,blount county,AL,rural-distant,1994-1995,0.14425388684084,0.192338515787786,0.400705241224555,1.81118769033499,97.4515146658118,NA,6239,Extremely undiverse,NA,NA
0100420,blount county,AL,rural-distant,2016-2017,0.41062491979982,0.179648402412421,1.30886693186193,14.8209931990248,82.7537533684075,0.52611317849352,7793,Undiverse,NA,NA
0100450,brewton city,AL,town-distant,1994-1995,0.27063599458728,0.74424898511502,41.2719891745602,0.13531799729364,57.5778078484438,NA,1478,Diverse,NA,NA
0100450,brewton city,AL,town-distant,2016-2017,0.359389038634322,0.718778077268643,34.9505840071878,1.97663971248877,61.1859838274933,0.808625336927224,1113,Diverse,NA,NA
0100480,bullock county,AL,town-distant,1994-1995,0,0,99.5436105476673,0,0.456389452332657,NA,1972,Extremely undiverse,NA,NA
0100480,bullock county,AL,town-distant,2016-2017,0,0.203252032520325,84.1463414634146,14.4308943089431,1.21951219512195,0,1476,Undiverse,NA,NA
0100510,butler county,AL,town-distant,1994-1995,0,0.186046511627907,59.1395348837209,0.0232558139534884,40.6511627906977,NA,4300,Diverse,0.0242396574291856,Highly integrated
0100510,butler county,AL,town-distant,2016-2017,0.223570744171191,0.670712232513574,62.8872564675822,1.08591504311721,33.9508144362823,1.18173107633344,3131,Diverse,0.142450629255466,Somewhat integrated
0100540,calhoun county,AL,rural-fringe,1994-1995,0.0776020952565719,0.950625666893006,10.5732854787079,0.824522262101077,87.5739644970414,NA,10309,Undiverse,NA,NA
0100540,calhoun county,AL,rural-fringe,2016-2017,0.281278127812781,0.765076507650765,14.2776777677768,4.16291629162916,79.7704770477048,0.742574257425743,8888,Undiverse,NA,NA
0100600,chambers county,AL,town-distant,1994-1995,0.0241662638956017,0,56.5732237796037,0,43.4026099565007,NA,4138,Diverse,0.304999830189709,Not integrated
0100600,chambers county,AL,town-distant,2016-2017,0.191728293618187,0.547795124623391,47.6855655984662,2.30073952341824,48.3155299917831,0.958641468090934,3651,Diverse,0.178141553709394,Somewhat integrated
0100630,cherokee county,AL,rural-distant,1994-1995,0,0.134625740441572,8.15831987075929,0.24232633279483,91.4647280560043,NA,3714,Extremely undiverse,NA,NA
0100630,cherokee county,AL,rural-distant,2016-2017,6.41631434966426,0.472519273812484,5.07336483461825,1.26834120865456,85.9487689629445,0.820691370305894,4021,Undiverse,NA,NA
0100660,chilton county,AL,rural-distant,1994-1995,0.0160565189466924,0.0802825947334618,16.0565189466924,0.433526011560694,83.4136159280668,NA,6228,Undiverse,NA,NA
0100660,chilton county,AL,rural-distant,2016-2017,0.16761217122228,0.425477050025787,11.7457452294997,14.4662197008767,71.1320268179474,2.06291903042806,7756,Diverse,0.0260415022651766,Highly integrated
0100690,choctaw county,AL,rural-remote,1994-1995,0,0.0341413451689997,64.0833048822124,0.0341413451689997,35.8484124274496,NA,2929,Diverse,0.154483788275108,Somewhat integrated
0100690,choctaw county,AL,rural-remote,2016-2017,0.141143260409315,0,66.9019054340155,0.423429781227946,32.0395201129146,0.494001411432604,1417,Diverse,NA,NA
0100720,clarke county,AL,town-remote,1994-1995,0.0985464400098546,0.0246366100024637,65.8043853165804,0.0492732200049273,34.0231584134023,NA,4059,Diverse,0.00872513204951867,Highly integrated
0100720,clarke county,AL,town-remote,2016-2017,0.297287253808993,0.520252694165738,65.1802303976217,1.04050538833148,32.1441843180974,0.817539947974731,2691,Diverse,0.00224013490837976,Highly integrated
0100750,clay county,AL,rural-distant,1994-1995,0.0764525993883792,0.0764525993883792,23.5474006116208,0.152905198776758,76.1467889908257,NA,2616,Undiverse,NA,NA
0100750,clay county,AL,rural-distant,2016-2017,0.0516528925619835,0.15495867768595,16.7871900826446,5.42355371900826,74.3285123966942,3.25413223140496,1936,Diverse,NA,NA
0100780,cleburne county,AL,rural-distant,1994-1995,0,0,6.58217497955846,0.122649223221586,93.29517579722,NA,2446,Extremely undiverse,NA,NA
0100780,cleburne county,AL,rural-distant,2016-2017,0.229533282325937,0.114766641162969,5.31752104055088,3.21346595256312,89.8622800306044,1.26243305279265,2614,Undiverse,NA,NA
0100810,coffee county,AL,rural-distant,1994-1995,0.261369576581286,0.156821745948772,10.768426555149,0.209095661265029,88.6042864610559,NA,1913,Undiverse,NA,NA
0100810,coffee county,AL,rural-distant,2016-2017,2.04841713221601,0.512104283054004,4.28305400372439,2.60707635009311,88.780260707635,1.76908752327747,2148,Undiverse,NA,NA
0100840,colbert county,AL,rural-fringe,1994-1995,0.149835181300569,0.0599340725202278,23.1045849565478,0.599340725202278,76.0863050644291,NA,3337,Undiverse,NA,NA
0100840,colbert county,AL,rural-fringe,2016-2017,0.305460099274532,0.458190148911798,12.9438717067583,3.4746086292478,80.8323787705231,1.98549064528446,2619,Undiverse,NA,NA
0100870,conecuh county,AL,rural-fringe,1994-1995,0,0.0419815281276238,70.2350965575147,0.125944584382872,29.5969773299748,NA,2382,Diverse,0.0423290217656993,Highly integrated
0100870,conecuh county,AL,rural-fringe,2016-2017,0.753498385360603,0.322927879440258,69.967707212056,1.82992465016146,26.5877287405813,0.538213132400431,1858,Diverse,0.0875822518900884,Somewhat integrated
0100900,coosa county,AL,rural-remote,1994-1995,0,0.0539083557951483,46.0916442048518,0.0539083557951483,53.800539083558,NA,1855,Diverse,NA,NA
0100900,coosa county,AL,rural-remote,2016-2017,0.102040816326531,0.102040816326531,43.265306122449,4.38775510204082,50,2.14285714285714,980,Diverse,NA,NA
0100930,covington county,AL,rural-distant,1994-1995,0.0935162094763092,0.218204488778055,11.0037406483791,0.0311720698254364,88.6533665835411,NA,3208,Undiverse,NA,NA
0100930,covington county,AL,rural-distant,2016-2017,0.320410124959949,0.801025312399872,6.11983338673502,1.21755847484781,90.2274911887216,1.31368151233579,3121,Extremely undiverse,NA,NA
0100960,crenshaw county,AL,rural-remote,1994-1995,0.0419815281276238,0.125944584382872,38.4130982367758,0.125944584382872,61.2930310663308,NA,2382,Diverse,NA,NA
0100960,crenshaw county,AL,rural-remote,2016-2017,0.174443959877889,0.56694286960314,30.7021369385085,2.13693850850414,64.9803750545137,1.43916266899259,2293,Diverse,NA,NA
0100990,cullman city,AL,town-distant,1994-1995,0,0.367917586460633,0.183958793230316,0.0367917586460633,99.411331861663,NA,2718,Extremely undiverse,NA,NA
0100990,cullman city,AL,town-distant,2016-2017,0.355526826115061,2.00387847446671,0.775694893341952,7.95087265675501,86.6192630898513,2.29476405946994,3094,Undiverse,NA,NA
0101020,cullman county,AL,rural-distant,1994-1995,0.0542947116950809,0.130307308068194,1.32479096535997,0.499511347594744,97.991095667282,NA,9209,Extremely undiverse,NA,NA
0101020,cullman county,AL,rural-distant,2016-2017,0.242692835285428,0.242692835285428,0.780837817874855,8.00886356441912,85.818296929408,4.90661601772713,9477,Undiverse,NA,NA
0101050,dale county,AL,rural-distant,1994-1995,0.0363768643142961,0.291014914514369,18.5158239359767,0.109130592942888,81.0476536922517,NA,2749,Undiverse,NA,NA
0101050,dale county,AL,rural-distant,2016-2017,0.382775119617225,0.446570972886762,16.8740031897927,3.44497607655502,76.9059011164274,1.94577352472089,3135,Undiverse,NA,NA
0101080,daleville city,AL,town-distant,1994-1995,0.452744765138653,3.79173740803622,31.748726655348,5.37634408602151,58.6304470854556,NA,1767,Diverse,NA,NA
0101080,daleville city,AL,town-distant,2016-2017,0.796812749003984,1.39442231075697,30.9760956175299,14.3426294820717,48.00796812749,4.48207171314741,1004,Diverse,NA,NA
0101110,dallas county,AL,rural-distant,1994-1995,0,0.0195656427313637,73.6059479553903,0.15652514185091,26.2179612600274,NA,5111,Diverse,0.510374666795135,Not integrated
0101110,dallas county,AL,rural-distant,2016-2017,0,0.190779014308426,76.3751987281399,0.41335453100159,22.543720190779,0.476947535771065,3145,Undiverse,NA,NA
0101140,dekalb county,AL,rural-distant,1994-1995,16.986339174831,0.20698219953084,0.883124051331585,0.979715744445978,80.9438388298606,NA,7247,Undiverse,NA,NA
0101140,dekalb county,AL,rural-distant,2016-2017,13.0776903468913,0.144076249584395,0.942037016513355,29.8348664523994,55.5358528205697,0.465477114041893,9023,Diverse,0.338896492641383,Not integrated
0101170,decatur city,AL,city-small,1994-1995,0.197858472998138,0.884543761638734,26.024208566108,1.51303538175047,71.3803538175047,NA,8592,Diverse,0.0420338013925116,Highly integrated
0101170,decatur city,AL,city-small,2016-2017,0.332950631458094,1.26291618828932,30.1836969001148,25.8668197474168,38.6222732491389,3.73134328358209,8710,Diverse,0.108827874233741,Somewhat integrated
0101200,demopolis city,AL,town-remote,1994-1995,0,0.0918273645546373,50.3213957759412,0,49.5867768595041,NA,2178,Diverse,NA,NA
0101200,demopolis city,AL,town-remote,2016-2017,0.174216027874564,1.21951219512195,50.2177700348432,3.96341463414634,43.684668989547,0.740418118466899,2296,Diverse,NA,NA
0101230,dothan city,AL,city-small,1994-1995,0.145213152162639,1.22393942537081,42.5474535836532,0.321543408360129,55.7618504304533,NA,9641,Diverse,0.00868816543038619,Highly integrated
0101230,dothan city,AL,city-small,2016-2017,0.195376098990557,1.61727993053294,55.8667100835776,5.38369694996201,35.5041788776729,1.43275805926408,9213,Diverse,0.175931116453193,Somewhat integrated
0101260,elba city,AL,rural-remote,1994-1995,0.444839857651246,0.177935943060498,34.3416370106762,0.0889679715302491,64.9466192170818,NA,1124,Diverse,NA,NA
0101260,elba city,AL,rural-remote,2016-2017,0.815660685154975,0.32626427406199,48.4502446982055,3.09951060358891,43.7194127243067,3.58890701468189,613,Diverse,NA,NA
0101290,elmore county,AL,suburban-large,1994-1995,0.0693882271307968,0.300682317566786,27.4661732392737,0.312247022088586,71.8515091939401,NA,8647,Diverse,0.053078991319239,Highly integrated
0101290,elmore county,AL,suburban-large,2016-2017,0.332836997459928,0.867127967066655,26.9860733993168,4.03783831129018,65.0258386616449,2.75028466322151,11417,Diverse,0.103534013455546,Somewhat integrated
0101320,enterprise city,AL,town-distant,1994-1995,0.355538922155689,1.66541916167665,25.2806886227545,2.69461077844311,70.0037425149701,NA,5344,Diverse,0.0063714501940613,Highly integrated
0101320,enterprise city,AL,town-distant,2016-2017,0.794100964265457,2.28304027226319,21.9370391378332,12.3085649461146,58.621667612025,4.05558706749858,7052,Diverse,0.0203987868385665,Highly integrated
0101350,escambia county,AL,town-distant,1994-1995,4.57200402819738,0.221550855991944,36.4551863041289,0.302114803625378,58.4491440080564,NA,4965,Diverse,0.179681643719985,Somewhat integrated
0101350,escambia county,AL,town-distant,2016-2017,4.69525959367946,0.18058690744921,41.2866817155756,1.94130925507901,49.9774266365689,1.91873589164786,4430,Diverse,0.373844159413671,Not integrated
0101380,etowah county,AL,suburban-small,1994-1995,0.0461467466543609,0.126903553299492,1.48823257960314,0.288417166589755,98.0502999538533,NA,8668,Extremely undiverse,NA,NA
0101380,etowah county,AL,suburban-small,2016-2017,0.308078502966682,1.14103149246919,3.32040164308535,3.46873573710634,91.1570059333638,0.604746691008672,8764,Extremely undiverse,NA,NA
0101410,eufaula city,AL,rural-fringe,1994-1995,0.269179004037685,0.100942126514132,47.9811574697174,0.336473755047106,51.3122476446837,NA,2972,Diverse,NA,NA
0101410,eufaula city,AL,rural-fringe,2016-2017,0.202582932387946,1.08888326158521,45.8850341858698,6.88781970119017,45.3785768549,0.557103064066852,3949,Diverse,NA,NA
0101440,fairfield city,AL,suburban-large,1994-1995,0,0,98.8301559792028,0.346620450606586,0.823223570190641,NA,2308,Extremely undiverse,NA,NA
0101440,fairfield city,AL,suburban-large,2016-2017,0.114942528735632,0.0574712643678161,97.4137931034483,1.83908045977011,0.402298850574713,0.172413793103448,1740,Extremely undiverse,NA,NA
0101470,fayette county,AL,rural-distant,1994-1995,0.069468565474123,0,17.7839527613755,0,82.1465786731504,NA,2879,Undiverse,NA,NA
0101470,fayette county,AL,rural-distant,2016-2017,0,0.463157894736842,14.1473684210526,1.47368421052632,81.5578947368421,2.35789473684211,2375,Undiverse,NA,NA
0101530,florence city,AL,city-small,1994-1995,0.0806776926179911,0.403388463089956,33.2593787817668,0.342880193626462,65.9136748688988,NA,4958,Diverse,0.0151056687700903,Highly integrated
0101530,florence city,AL,city-small,2016-2017,0.0894854586129754,0.805369127516779,32.8187919463087,9.53020134228188,48.6129753914989,8.14317673378076,4470,Diverse,0.0828052568956365,Somewhat integrated
0101560,fort payne city,AL,town-distant,1994-1995,4.88266464799394,0.719152157456472,7.53217259651779,0.946252838758516,85.9197577592733,NA,2642,Undiverse,NA,NA
0101560,fort payne city,AL,town-distant,2016-2017,1.14871158025458,0.931387767773983,3.53927351754114,37.9695746662527,54.2378143433716,2.17323812480596,3221,Diverse,NA,NA
0101590,franklin county,AL,rural-distant,1994-1995,0.0618429189857761,0.0618429189857761,0.556586270871985,0.618429189857761,98.7012987012987,NA,3234,Extremely undiverse,NA,NA
0101590,franklin county,AL,rural-distant,2016-2017,0.471305794288883,0.277238702522872,1.3030219018575,13.6678680343776,83.3656778486277,0.914887718325478,3607,Undiverse,NA,NA
0101620,gadsden city,AL,city-small,1994-1995,0.0509943906170321,0.39095699473058,49.3965663776985,1.03688594254632,49.1245962944076,NA,5883,Diverse,0.3497613112421,Not integrated
0101620,gadsden city,AL,city-small,2016-2017,0.290360046457607,0.909794812233837,46.9802555168409,12.9500580720093,37.5338753387534,1.33565621370499,5166,Diverse,0.177348878887943,Somewhat integrated
0101640,geneva city,AL,rural-fringe,1994-1995,0,0,16.2106703146375,0.478796169630643,83.3105335157319,NA,1462,Undiverse,NA,NA
0101640,geneva city,AL,rural-fringe,2016-2017,0.157604412923562,0.315208825847124,13.5539795114263,2.20646178092987,82.1118991331757,1.6548463356974,1269,Undiverse,NA,NA
0101660,geneva county,AL,rural-distant,1994-1995,0.034965034965035,0.034965034965035,18.4965034965035,0.979020979020979,80.4545454545455,NA,2860,Undiverse,NA,NA
0101660,geneva county,AL,rural-distant,2016-2017,0.324324324324324,0.432432432432432,12.5405405405405,8.68468468468468,75.0630630630631,2.95495495495495,2775,Undiverse,NA,NA
0101680,greene county,AL,rural-distant,1994-1995,0.089126559714795,0,99.7326203208556,0,0.17825311942959,NA,2244,Extremely undiverse,NA,NA
0101680,greene county,AL,rural-distant,2016-2017,0,1.21317157712305,97.5736568457539,0.606585788561525,0.433275563258232,0.173310225303293,1154,Extremely undiverse,NA,NA
0101690,guntersville city,AL,town-distant,1994-1995,0,0.554187192118227,11.576354679803,0.61576354679803,87.2536945812808,NA,1624,Undiverse,NA,NA
0101690,guntersville city,AL,town-distant,2016-2017,0.355329949238579,1.6751269035533,8.73096446700508,7.61421319796954,76.5482233502538,5.0761421319797,1970,Undiverse,NA,NA
0101710,hale county,AL,town-fringe,1994-1995,0,0,75.0498433494731,0.199373397892338,24.7507832526346,NA,3511,Undiverse,NA,NA
0101710,hale county,AL,town-fringe,2016-2017,0,0.0382995021064726,68.0965147453083,1.60857908847185,29.7204136346228,0.536193029490617,2611,Diverse,0.333769276132631,Not integrated
0101720,haleyville city,AL,rural-fringe,1994-1995,0,0.224340998317443,0.616937745372967,0.0560852495793606,99.1026360067302,NA,1783,Extremely undiverse,NA,NA
0101720,haleyville city,AL,rural-fringe,2016-2017,0.289687137891078,1.10081112398609,1.56431054461182,8.45886442641947,86.558516801854,2.02780996523754,1726,Undiverse,NA,NA
0101730,hartselle city,AL,suburban-small,1994-1995,0.205761316872428,0.205761316872428,5.3840877914952,0.137174211248285,94.0672153635117,NA,2916,Extremely undiverse,NA,NA
0101730,hartselle city,AL,suburban-small,2016-2017,0.654205607476636,1.09034267912773,4.14330218068536,3.30218068535826,88.5046728971963,2.30529595015576,3210,Undiverse,NA,NA
0101740,henry county,AL,town-fringe,1994-1995,0.0354233085370174,0,50.5136379737868,0.460503010981226,48.990435706695,NA,2823,Diverse,0.0716249338389371,Highly integrated
0101740,henry county,AL,town-fringe,2016-2017,0.0803535556448373,0.401767778224186,31.2173563680193,3.33467255926075,62.2740056247489,2.69184411410205,2489,Diverse,NA,NA
0101760,homewood city,AL,suburban-large,1994-1995,0.276497695852535,2.79569892473118,17.1428571428571,0.768049155145929,79.0168970814132,NA,3255,Undiverse,NA,NA
0101760,homewood city,AL,suburban-large,2016-2017,0.0959232613908873,2.44604316546763,18.8729016786571,12.5419664268585,63.6450839328537,2.39808153477218,4170,Diverse,NA,NA
0101770,houston county,AL,rural-fringe,1994-1995,0.104275286757039,0.0868960722975322,20.385818561001,0.451859575947167,78.9711505039972,NA,5754,Undiverse,NA,NA
0101770,houston county,AL,rural-fringe,2016-2017,0.205728754549771,0.316505776230416,15.8411141003323,4.96914068681753,76.9109036239911,1.75660705807881,6319,Undiverse,NA,NA
0101800,huntsville city,AL,city-midsize,1994-1995,0.418895939612625,3.25992285678736,37.1531666044544,1.17373812782547,57.9942764713201,NA,24111,Diverse,0.393001098803628,Not integrated
0101800,huntsville city,AL,city-midsize,2016-2017,0.47864813119121,2.06859235827853,40.1981187047365,12.199284108882,39.2491467576792,5.8062099392325,24026,Diverse,0.287048591671606,Not integrated
0101830,jackson county,AL,rural-distant,1994-1995,17.0674210278171,0.188590287600189,3.64607889360365,0.141442715700141,78.956467075279,NA,6363,Undiverse,NA,NA
0101830,jackson county,AL,rural-distant,2016-2017,12.7605118829982,0.292504570383912,3.05301645338208,4.55210237659963,78.0987202925046,1.24314442413163,5470,Undiverse,NA,NA
0101860,jacksonville city,AL,city-small,1994-1995,0.485731633272617,1.3357619914997,16.9398907103825,2.48937462052216,78.749241044323,NA,1647,Undiverse,NA,NA
0101860,jacksonville city,AL,city-small,2016-2017,0.251572327044025,1.44654088050314,31.6981132075472,2.89308176100629,63.2704402515723,0.440251572327044,1590,Diverse,NA,NA
0101890,jasper city,AL,town-distant,1994-1995,0.0388953714507974,0.505639828860366,21.4313496693893,0.233372228704784,77.7907429015947,NA,2571,Undiverse,NA,NA
0101890,jasper city,AL,town-distant,2016-2017,0.11037527593819,1.1037527593819,16.7034584253127,9.67623252391464,69.8675496688742,2.53863134657837,2718,Diverse,NA,NA
0101920,jefferson county,AL,suburban-large,1994-1995,0.0272614622057001,0.354399008674102,15.0755885997522,0.210656753407683,84.3320941759603,NA,40350,Undiverse,NA,NA
0101920,jefferson county,AL,suburban-large,2016-2017,0.171816544270472,0.631841485381738,48.7626437577941,8.56588610225856,41.5463488984343,0.321463211860884,36085,Diverse,0.365925065126374,Not integrated
0101950,lamar county,AL,rural-remote,1994-1995,0,0,16.3490471414243,0.100300902708124,83.5506519558676,NA,2991,Undiverse,NA,NA
0101950,lamar county,AL,rural-remote,2016-2017,0,0.126796280642434,12.1724429416737,1.69061707523246,84.6153846153846,1.39475908706678,2366,Undiverse,NA,NA
0101980,lanett city,AL,town-distant,1994-1995,0,0.0625,58.125,0.4375,41.375,NA,1600,Diverse,NA,NA
0101980,lanett city,AL,town-distant,2016-2017,0.451467268623025,0.564334085778781,79.4582392776524,8.35214446952596,9.0293453724605,2.14446952595937,886,Undiverse,NA,NA
0102010,lauderdale county,AL,rural-distant,1994-1995,0.0471142520612485,0.0588928150765607,3.80447585394582,0.223792697290931,95.8657243816254,NA,8490,Extremely undiverse,NA,NA
0102010,lauderdale county,AL,rural-distant,2016-2017,0.214056368176953,0.570816981805209,2.83030086811749,1.59353074087287,94.0539897728624,0.737305268165061,8409,Extremely undiverse,NA,NA
0102040,lawrence county,AL,town-distant,1994-1995,22.0413478756308,0.0325573823864561,19.3716425199414,0.293016441478105,58.2614357805632,NA,6143,Diverse,0.337973353936294,Not integrated
0102040,lawrence county,AL,town-distant,2016-2017,11.9269861024684,0.477079444098735,9.95644057249533,3.40178386226924,71.7485998755445,2.48911014312383,4821,Diverse,0.253204626346656,Not integrated
0102070,lee county,AL,suburban-large,1994-1995,0.0296779937676213,0.46000890339813,24.6178958302419,0.697432853539101,74.1949844190533,NA,6739,Diverse,0.234907974872343,Not integrated
0102070,lee county,AL,suburban-large,2016-2017,0.455816844504299,0.631927898062778,22.9565938050347,5.63555371387134,66.5906971925826,3.72941054594427,9653,Diverse,0.115669465286041,Somewhat integrated
0102100,limestone county,AL,rural-distant,1994-1995,0.0683620453923981,0.123051681706317,11.6078753076292,0.396499863275909,87.8042111019962,NA,7314,Undiverse,NA,NA
