rank,position,hand,player,years,total_goals,status,yr_start,season,age,team,league,season_games,goals,assists,points,plus_minus,penalty_min,goals_even,goals_power_play,goals_short_handed,goals_game_winner,headshot
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1986-87,26,EDM,NHL,79,62,121,183,69,28,42,13,7,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1987-88,27,EDM,NHL,64,40,109,149,39,24,26,9,5,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1988-89,28,LAK,NHL,78,54,114,168,15,26,38,11,5,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1989-90,29,LAK,NHL,73,40,102,142,8,42,26,10,4,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1990-91,30,LAK,NHL,78,41,122,163,30,16,33,8,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1991-92,31,LAK,NHL,74,31,90,121,-12,34,17,12,2,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1992-93,32,LAK,NHL,45,16,49,65,6,6,14,0,2,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1993-94,33,LAK,NHL,81,38,92,130,-25,20,20,14,4,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1994-95,34,LAK,NHL,48,11,37,48,-20,6,8,3,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1995-96,35,TOT,NHL,80,23,79,102,-13,34,16,6,1,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1995-96,35,LAK,NHL,62,15,66,81,-7,32,10,5,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1995-96,35,STL,NHL,18,8,13,21,-6,2,6,1,1,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1996-97,36,NYR,NHL,82,25,72,97,12,28,19,6,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1997-98,37,NYR,NHL,82,23,67,90,-11,28,17,6,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
1,C,Left,Wayne Gretzky,1979-99,894,Retired,1979,1998-99,38,NYR,NHL,70,9,53,62,-23,14,6,3,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/gretzwa01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1946-47,18,DET,NHL,58,7,15,22,NA,52,7,0,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1947-48,19,DET,NHL,60,16,28,44,NA,63,14,1,1,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1948-49,20,DET,NHL,40,12,25,37,NA,57,10,2,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1949-50,21,DET,NHL,70,35,33,68,NA,69,30,5,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1950-51,22,DET,NHL,70,43,43,86,NA,74,38,5,0,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1951-52,23,DET,NHL,70,47,39,86,NA,78,41,5,1,10,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1952-53,24,DET,NHL,70,49,46,95,NA,57,37,11,1,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1953-54,25,DET,NHL,70,33,48,81,NA,109,18,15,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1954-55,26,DET,NHL,64,29,33,62,NA,68,20,7,2,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1955-56,27,DET,NHL,70,38,41,79,NA,100,24,14,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1956-57,28,DET,NHL,70,44,45,89,NA,74,29,15,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1957-58,29,DET,NHL,64,33,44,77,NA,38,20,10,3,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1958-59,30,DET,NHL,70,32,46,78,NA,57,24,8,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1959-60,31,DET,NHL,70,28,45,73,16,46,21,5,2,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1960-61,32,DET,NHL,64,23,49,72,-5,30,15,6,2,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1961-62,33,DET,NHL,70,33,44,77,12,54,21,10,2,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1962-63,34,DET,NHL,70,38,48,86,23,100,25,13,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1963-64,35,DET,NHL,69,26,47,73,-10,70,13,12,1,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1964-65,36,DET,NHL,70,29,47,76,22,104,13,13,3,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1965-66,37,DET,NHL,70,29,46,75,19,83,22,7,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1966-67,38,DET,NHL,69,25,40,65,-3,53,16,8,1,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1967-68,39,DET,NHL,74,39,43,82,12,53,29,10,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1968-69,40,DET,NHL,76,44,59,103,45,58,35,9,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1969-70,41,DET,NHL,76,31,40,71,23,58,16,11,4,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1970-71,42,DET,NHL,63,23,29,52,-3,38,15,7,1,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1973-74,45,HSA,WHA,70,31,69,100,NA,46,19,9,3,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1974-75,46,HSA,WHA,75,34,65,99,40,84,23,8,3,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1975-76,47,HSA,WHA,78,32,70,102,14,76,19,12,1,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1976-77,48,HSA,WHA,62,24,44,68,27,57,18,5,1,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1977-78,49,NEW,WHA,76,34,62,96,46,85,18,16,0,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1978-79,50,NEW,WHA,58,19,24,43,9,51,12,7,0,NA,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
2,RW,Right,Gordie Howe,1946-80,801,Retired,1946,1979-80,51,HAR,NHL,80,15,26,41,9,42,13,2,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/howego01.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1990-91,18,PIT,NHL,80,27,30,57,-4,42,20,7,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1991-92,19,PIT,NHL,70,32,37,69,12,34,28,4,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1992-93,20,PIT,NHL,81,34,60,94,30,61,23,10,1,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1993-94,21,PIT,NHL,80,32,67,99,15,61,23,9,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1994-95,22,PIT,NHL,48,32,38,70,23,37,21,8,3,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1995-96,23,PIT,NHL,82,62,87,149,31,96,41,20,1,12,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1996-97,24,PIT,NHL,63,47,48,95,22,40,34,11,2,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1997-98,25,PIT,NHL,77,35,67,102,17,64,28,7,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1998-99,26,PIT,NHL,81,44,83,127,17,66,33,10,1,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,1999-00,27,PIT,NHL,63,42,54,96,25,50,32,10,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2000-01,28,PIT,NHL,81,52,69,121,19,42,37,14,1,10,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2001-02,29,WSH,NHL,69,31,48,79,0,30,21,10,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2002-03,30,WSH,NHL,75,36,41,77,5,38,21,13,2,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2003-04,31,TOT,NHL,77,31,43,74,-5,38,21,10,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2003-04,31,WSH,NHL,46,16,29,45,-4,26,10,6,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2003-04,31,NYR,NHL,31,15,14,29,-1,12,11,4,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2005-06,33,NYR,NHL,82,54,69,123,34,72,30,24,0,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2006-07,34,NYR,NHL,82,30,66,96,26,78,23,7,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2007-08,35,NYR,NHL,82,25,46,71,8,58,18,7,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2011-12,39,PHI,NHL,73,19,35,54,5,30,11,8,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2012-13,40,TOT,NHL,45,16,19,35,-2,22,10,6,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2012-13,40,DAL,NHL,34,14,12,26,-5,20,8,6,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2012-13,40,BOS,NHL,11,2,7,9,3,2,2,0,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2013-14,41,NJD,NHL,82,24,43,67,16,46,19,5,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2014-15,42,TOT,NHL,77,17,30,47,-3,48,13,4,0,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2014-15,42,NJD,NHL,57,11,18,29,-10,42,9,2,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2014-15,42,FLA,NHL,20,6,12,18,7,6,4,2,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2015-16,43,FLA,NHL,79,27,39,66,23,48,22,5,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2016-17,44,FLA,NHL,82,16,30,46,2,56,8,8,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
3,RW,Left,Jaromir Jagr,1990-18,766,Retired,1990,2017-18,45,CGY,NHL,22,1,6,7,6,10,1,0,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/jagrja01-2015.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1986-87,22,CGY,NHL,5,1,0,1,-1,0,1,0,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1987-88,23,TOT,NHL,65,32,32,64,14,16,26,6,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1987-88,23,CGY,NHL,52,26,24,50,10,12,22,4,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1987-88,23,STL,NHL,13,6,8,14,4,4,4,2,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1988-89,24,STL,NHL,78,41,43,84,-17,33,25,16,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1989-90,25,STL,NHL,80,72,41,113,-1,24,45,27,0,12,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1990-91,26,STL,NHL,78,86,45,131,23,22,57,29,0,11,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1991-92,27,STL,NHL,73,70,39,109,-2,48,45,20,5,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1992-93,28,STL,NHL,80,54,47,101,-27,41,25,29,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1993-94,29,STL,NHL,81,57,40,97,-3,38,29,25,3,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1994-95,30,STL,NHL,48,29,21,50,13,10,17,9,3,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1995-96,31,STL,NHL,70,43,40,83,4,30,22,16,5,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1996-97,32,STL,NHL,77,42,40,82,-9,10,28,12,2,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1997-98,33,STL,NHL,66,27,45,72,-1,26,17,10,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1998-99,34,DAL,NHL,60,32,26,58,19,30,17,15,0,11,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,1999-00,35,DAL,NHL,79,24,35,59,-21,43,13,11,0,3,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,2000-01,36,DAL,NHL,79,39,40,79,10,18,28,11,0,8,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,2001-02,37,DET,NHL,82,30,33,63,18,35,22,7,1,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,2002-03,38,DET,NHL,82,37,39,76,11,22,24,12,1,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,2003-04,39,DET,NHL,81,25,43,68,-4,12,15,10,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
4,RW,Right,Brett Hull,1986-06,741,Retired,1986,2005-06,41,PHX,NHL,5,0,1,1,-3,0,0,0,0,0,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/hullbr01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1971-72,20,DET,NHL,78,28,49,77,0,14,21,7,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1972-73,21,DET,NHL,77,40,50,90,-4,21,30,10,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1973-74,22,DET,NHL,74,24,54,78,-31,10,21,3,0,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1974-75,23,DET,NHL,80,47,74,121,-15,14,22,15,10,1,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1975-76,24,LAK,NHL,80,40,54,94,4,38,32,7,1,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1976-77,25,LAK,NHL,80,53,69,122,11,12,38,14,1,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1977-78,26,LAK,NHL,70,36,43,79,-7,37,27,9,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1978-79,27,LAK,NHL,80,59,71,130,22,30,40,19,0,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1979-80,28,LAK,NHL,80,53,84,137,34,32,36,17,0,6,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1980-81,29,LAK,NHL,80,58,77,135,54,70,31,23,4,9,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1981-82,30,LAK,NHL,78,50,67,117,-10,50,32,17,1,5,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1982-83,31,LAK,NHL,80,56,51,107,10,22,38,17,1,7,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1983-84,32,LAK,NHL,66,39,53,92,7,28,26,13,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1984-85,33,LAK,NHL,80,46,80,126,11,46,29,16,1,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1985-86,34,LAK,NHL,80,36,58,94,-22,42,25,11,0,4,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
5,C,Right,Marcel Dionne,1971-89,731,Retired,1971,1986-87,35,TOT,NHL,81,28,56,84,-17,60,17,11,0,2,https://d9kjk42l7bfqz.cloudfront.net/req/201912031/images/headshots/dionnma01.jpg
