raw_rank,player,years,total_goals,url_number,raw_link,link,active,yr_start
32,Stan Mikita,1958-80,541,32,/players/m/mikitst01.html,https://www.hockey-reference.com/players/m/mikitst01.html,Retired,1958
33,Keith Tkachuk,1991-10,538,33,/players/t/tkachke01.html,https://www.hockey-reference.com/players/t/tkachke01.html,Retired,1991
34,Frank Mahovlich,1956-74,533,34,/players/m/mahovfr01.html,https://www.hockey-reference.com/players/m/mahovfr01.html,Retired,1956
35,Marian Hossa,1997-17,525,35,/players/h/hossama01.html,https://www.hockey-reference.com/players/h/hossama01.html,Retired,1997
36,Bryan Trottier,1975-94,524,36,/players/t/trottbr01.html,https://www.hockey-reference.com/players/t/trottbr01.html,Retired,1975
37,Pat Verbeek,1982-02,522,37,/players/v/verbepa01.html,https://www.hockey-reference.com/players/v/verbepa01.html,Retired,1982
38,Dale Hawerchuk,1981-97,518,38,/players/h/hawerda01.html,https://www.hockey-reference.com/players/h/hawerda01.html,Retired,1981
39,Pierre Turgeon,1987-07,515,39,/players/t/turgepi01.html,https://www.hockey-reference.com/players/t/turgepi01.html,Retired,1987
40,Jeremy Roenick,1988-09,513,40,/players/r/roenije01.html,https://www.hockey-reference.com/players/r/roenije01.html,Retired,1988
41,Gilbert Perreault,1970-87,512,41,/players/p/perregi01.html,https://www.hockey-reference.com/players/p/perregi01.html,Retired,1970
42,Jean Beliveau,1950-71,507,42,/players/b/belivje01.html,https://www.hockey-reference.com/players/b/belivje01.html,Retired,1950
43,Peter Bondra,1990-07,503,43,/players/b/bondrpe01.html,https://www.hockey-reference.com/players/b/bondrpe01.html,Retired,1990
44,Joe Mullen,1981-97,502,44,/players/m/mullejo01.html,https://www.hockey-reference.com/players/m/mullejo01.html,Retired,1981
45,Lanny McDonald,1973-89,500,45,/players/m/mcdonla01.html,https://www.hockey-reference.com/players/m/mcdonla01.html,Retired,1973
46,Glenn Anderson,1980-96,498,46,/players/a/andergl01.html,https://www.hockey-reference.com/players/a/andergl01.html,Retired,1980
47,Jean Ratelle,1960-81,491,47,/players/r/ratelje01.html,https://www.hockey-reference.com/players/r/ratelje01.html,Retired,1960
48,Norm Ullman,1955-75,490,48,/players/u/ullmano01.html,https://www.hockey-reference.com/players/u/ullmano01.html,Retired,1955
49,Brian Bellows,1982-99,485,49,/players/b/bellobr01.html,https://www.hockey-reference.com/players/b/bellobr01.html,Retired,1982
50,Darryl Sittler,1970-85,484,50,/players/s/sittlda01.html,https://www.hockey-reference.com/players/s/sittlda01.html,Retired,1970
51,Sergei Fedorov,1990-09,483,51,/players/f/fedorse01.html,https://www.hockey-reference.com/players/f/fedorse01.html,Retired,1990
52,Bernie Nicholls,1981-99,475,52,/players/n/nichobe01.html,https://www.hockey-reference.com/players/n/nichobe01.html,Retired,1981
53,Denis Savard,1980-97,473,53,/players/s/savarde01.html,https://www.hockey-reference.com/players/s/savarde01.html,Retired,1980
NA,Alexander Mogilny,1989-06,473,54,/players/m/mogilal01.html,https://www.hockey-reference.com/players/m/mogilal01.html,Retired,1989
55,Pat LaFontaine,1983-98,468,55,/players/l/lafonpa01.html,https://www.hockey-reference.com/players/l/lafonpa01.html,Retired,1983
56,Sidney Crosby,2005-20,459,56,/players/c/crosbsi01.html,https://www.hockey-reference.com/players/c/crosbsi01.html,Active,2005
57,Alex Delvecchio,1950-74,456,57,/players/d/delveal01.html,https://www.hockey-reference.com/players/d/delveal01.html,Retired,1950
58,Theoren Fleury,1988-03,455,58,/players/f/fleurth01.html,https://www.hockey-reference.com/players/f/fleurth01.html,Retired,1988
59,Rod Brind'Amour,1989-10,452,59,/players/b/brindro01.html,https://www.hockey-reference.com/players/b/brindro01.html,Retired,1989
60,Peter Stastny,1980-95,450,60,/players/s/stastpe01.html,https://www.hockey-reference.com/players/s/stastpe01.html,Retired,1980
NA,Doug Gilmour,1983-03,450,61,/players/g/gilmodo01.html,https://www.hockey-reference.com/players/g/gilmodo01.html,Retired,1983
62,Rick Middleton,1974-88,448,62,/players/m/middlri01.html,https://www.hockey-reference.com/players/m/middlri01.html,Retired,1974
63,Daniel Alfredsson,1995-14,444,63,/players/a/alfreda01.html,https://www.hockey-reference.com/players/a/alfreda01.html,Retired,1995
64,Ilya Kovalchuk,2001-20,442,64,/players/k/kovalil01.html,https://www.hockey-reference.com/players/k/kovalil01.html,Active,2001
65,Steve Larmer,1980-95,441,65,/players/l/larmest01.html,https://www.hockey-reference.com/players/l/larmest01.html,Retired,1980
NA,Rick Vaive,1979-92,441,66,/players/v/vaiveri01.html,https://www.hockey-reference.com/players/v/vaiveri01.html,Retired,1979
67,Rick Tocchet,1984-02,440,67,/players/t/tocchri01.html,https://www.hockey-reference.com/players/t/tocchri01.html,Retired,1984
68,Gary Roberts,1986-09,438,68,/players/r/roberga01.html,https://www.hockey-reference.com/players/r/roberga01.html,Retired,1986
69,Pavel Bure,1991-03,437,69,/players/b/burepa01.html,https://www.hockey-reference.com/players/b/burepa01.html,Retired,1991
NA,Rick Nash,2002-18,437,70,/players/n/nashri01.html,https://www.hockey-reference.com/players/n/nashri01.html,Retired,2002
71,Eric Staal,2003-20,434,71,/players/s/staaler01.html,https://www.hockey-reference.com/players/s/staaler01.html,Active,2003
72,Vincent Damphousse,1986-04,432,72,/players/d/damphvi01.html,https://www.hockey-reference.com/players/d/damphvi01.html,Retired,1986
73,Dave Taylor,1977-94,431,73,/players/t/tayloda01.html,https://www.hockey-reference.com/players/t/tayloda01.html,Retired,1977
74,Alex Kovalev,1992-13,430,74,/players/k/kovalal01.html,https://www.hockey-reference.com/players/k/kovalal01.html,Retired,1992
75,Bill Guerin,1991-10,429,75,/players/g/gueribi01.html,https://www.hockey-reference.com/players/g/gueribi01.html,Retired,1991
76,Yvan Cournoyer,1963-79,428,76,/players/c/cournyv01.html,https://www.hockey-reference.com/players/c/cournyv01.html,Retired,1963
77,Brian Propp,1979-94,425,77,/players/p/proppbr01.html,https://www.hockey-reference.com/players/p/proppbr01.html,Retired,1979
78,Steve Shutt,1972-85,424,78,/players/s/shuttst01.html,https://www.hockey-reference.com/players/s/shuttst01.html,Retired,1972
79,Steven Stamkos,2008-20,422,79,/players/s/stamkst01.html,https://www.hockey-reference.com/players/s/stamkst01.html,Active,2008
NA,Owen Nolan,1990-10,422,80,/players/n/nolanow01.html,https://www.hockey-reference.com/players/n/nolanow01.html,Retired,1990
81,Vincent Lecavalier,1998-16,421,81,/players/l/lecavvi01.html,https://www.hockey-reference.com/players/l/lecavvi01.html,Retired,1998
NA,Stephane Richer,1984-02,421,82,/players/r/richest02.html,https://www.hockey-reference.com/players/r/richest02.html,Retired,1984
NA,Steve Thomas,1984-04,421,83,/players/t/thomast01.html,https://www.hockey-reference.com/players/t/thomast01.html,Retired,1984
84,Bill Barber,1972-84,420,84,/players/b/barbebi01.html,https://www.hockey-reference.com/players/b/barbebi01.html,Retired,1972
85,Jason Arnott,1993-12,417,85,/players/a/arnotja01.html,https://www.hockey-reference.com/players/a/arnotja01.html,Retired,1993
NA,Joe Thornton,1997-20,417,86,/players/t/thornjo01.html,https://www.hockey-reference.com/players/t/thornjo01.html,Active,1997
87,Tony Amonte,1991-07,416,87,/players/a/amontto01.html,https://www.hockey-reference.com/players/a/amontto01.html,Retired,1991
88,John MacLean,1983-02,413,88,/players/m/maclejo01.html,https://www.hockey-reference.com/players/m/maclejo01.html,Retired,1983
NA,Garry Unger,1967-83,413,89,/players/u/ungerga01.html,https://www.hockey-reference.com/players/u/ungerga01.html,Retired,1967
90,Evgeni Malkin,2006-20,412,90,/players/m/malkiev01.html,https://www.hockey-reference.com/players/m/malkiev01.html,Active,2006
91,Ray Bourque,1979-01,410,91,/players/b/bourqra01.html,https://www.hockey-reference.com/players/b/bourqra01.html,Retired,1979
92,Patrik Elias,1995-16,408,92,/players/e/eliaspa01.html,https://www.hockey-reference.com/players/e/eliaspa01.html,Retired,1995
NA,Ray Ferraro,1984-02,408,93,/players/f/ferrara01.html,https://www.hockey-reference.com/players/f/ferrara01.html,Retired,1984
94,Marian Gaborik,2000-18,407,94,/players/g/gaborma01.html,https://www.hockey-reference.com/players/g/gaborma01.html,Retired,2000
95,John LeClair,1990-07,406,95,/players/l/leclajo01.html,https://www.hockey-reference.com/players/l/leclajo01.html,Retired,1990
NA,Rod Gilbert,1960-78,406,96,/players/g/gilbero01.html,https://www.hockey-reference.com/players/g/gilbero01.html,Retired,1960
97,Shane Doan,1995-17,402,97,/players/d/doansh01.html,https://www.hockey-reference.com/players/d/doansh01.html,Retired,1995
NA,Paul Kariya,1994-10,402,98,/players/k/kariypa01.html,https://www.hockey-reference.com/players/k/kariypa01.html,Retired,1994
NA,John Ogrodnick,1979-93,402,99,/players/o/ogrodjo01.html,https://www.hockey-reference.com/players/o/ogrodjo01.html,Retired,1979
100,Paul Coffey,1980-01,396,100,/players/c/coffepa01.html,https://www.hockey-reference.com/players/c/coffepa01.html,Retired,1980
NA,Dave Keon,1960-82,396,101,/players/k/keonda01.html,https://www.hockey-reference.com/players/k/keonda01.html,Retired,1960
102,Markus Naslund,1993-09,395,102,/players/n/nasluma02.html,https://www.hockey-reference.com/players/n/nasluma02.html,Retired,1993
NA,Pierre Larouche,1974-88,395,103,/players/l/laroupi01.html,https://www.hockey-reference.com/players/l/laroupi01.html,Retired,1974
NA,Cam Neely,1983-96,395,104,/players/n/neelyca01.html,https://www.hockey-reference.com/players/n/neelyca01.html,Retired,1983
105,Tomas Sandstrom,1984-99,394,105,/players/s/sandsto01.html,https://www.hockey-reference.com/players/s/sandsto01.html,Retired,1984
106,Bernie Geoffrion,1950-68,393,106,/players/g/geoffbe01.html,https://www.hockey-reference.com/players/g/geoffbe01.html,Retired,1950
NA,Daniel Sedin,2000-18,393,107,/players/s/sedinda01.html,https://www.hockey-reference.com/players/s/sedinda01.html,Retired,2000
108,Martin St. Louis,1998-15,391,108,/players/s/stlouma01.html,https://www.hockey-reference.com/players/s/stlouma01.html,Retired,1998
NA,Dean Prentice,1952-74,391,109,/players/p/prentde01.html,https://www.hockey-reference.com/players/p/prentde01.html,Retired,1952
NA,Jean Pronovost,1968-82,391,110,/players/p/pronoje01.html,https://www.hockey-reference.com/players/p/pronoje01.html,Retired,1968
111,Ryan Smyth,1994-14,386,111,/players/s/smythry01.html,https://www.hockey-reference.com/players/s/smythry01.html,Retired,1994
112,Ray Whitney,1991-14,385,112,/players/w/whitnra01.html,https://www.hockey-reference.com/players/w/whitnra01.html,Retired,1991
113,Rick Martin,1971-82,384,113,/players/m/martiri01.html,https://www.hockey-reference.com/players/m/martiri01.html,Retired,1971
114,Patrick Kane,2007-20,383,114,/players/k/kanepa01.html,https://www.hockey-reference.com/players/k/kanepa01.html,Active,2007
115,Jeff Carter,2005-20,382,115,/players/c/carteje01.html,https://www.hockey-reference.com/players/c/carteje01.html,Active,2005
NA,Zach Parise,2005-20,382,116,/players/p/parisza01.html,https://www.hockey-reference.com/players/p/parisza01.html,Active,2005
117,Reggie Leach,1970-83,381,117,/players/l/leachre01.html,https://www.hockey-reference.com/players/l/leachre01.html,Retired,1970
118,Ted Lindsay,1944-65,379,118,/players/l/lindste01.html,https://www.hockey-reference.com/players/l/lindste01.html,Retired,1944
NA,Claude Lemieux,1983-09,379,119,/players/l/lemiecl01.html,https://www.hockey-reference.com/players/l/lemiecl01.html,Retired,1983
120,Corey Perry,2005-20,377,120,/players/p/perryco01.html,https://www.hockey-reference.com/players/p/perryco01.html,Active,2005
121,Milan Hejduk,1998-13,375,121,/players/h/hejdumi01.html,https://www.hockey-reference.com/players/h/hejdumi01.html,Retired,1998
NA,Butch Goring,1969-85,375,122,/players/g/gorinbu01.html,https://www.hockey-reference.com/players/g/gorinbu01.html,Retired,1969
NA,Trevor Linden,1988-08,375,123,/players/l/lindetr01.html,https://www.hockey-reference.com/players/l/lindetr01.html,Retired,1988
124,Thomas Vanek,2005-19,373,124,/players/v/vanekth01.html,https://www.hockey-reference.com/players/v/vanekth01.html,Retired,2005
125,Dany Heatley,2001-15,372,125,/players/h/heatlda01.html,https://www.hockey-reference.com/players/h/heatlda01.html,Retired,2001
NA,Eric Lindros,1992-07,372,126,/players/l/lindrer01.html,https://www.hockey-reference.com/players/l/lindrer01.html,Retired,1992
127,Rick Kehoe,1971-85,371,127,/players/k/kehoeri01.html,https://www.hockey-reference.com/players/k/kehoeri01.html,Retired,1971
128,Phil Kessel,2006-20,370,128,/players/k/kesseph01.html,https://www.hockey-reference.com/players/k/kesseph01.html,Active,2006
NA,Tim Kerr,1980-93,370,129,/players/k/kerrti01.html,https://www.hockey-reference.com/players/k/kerrti01.html,Retired,1980
130,Bernie Federko,1976-90,369,130,/players/f/federbe01.html,https://www.hockey-reference.com/players/f/federbe01.html,Retired,1976
NA,Joe Pavelski,2006-20,369,131,/players/p/paveljo01.html,https://www.hockey-reference.com/players/p/paveljo01.html,Active,2006
132,Geoff Courtnall,1983-00,367,132,/players/c/courtge01.html,https://www.hockey-reference.com/players/c/courtge01.html,Retired,1983
133,Jacques Lemaire,1967-79,366,133,/players/l/lemaija01.html,https://www.hockey-reference.com/players/l/lemaija01.html,Retired,1967
134,Scott Mellanby,1985-07,364,134,/players/m/mellasc01.html,https://www.hockey-reference.com/players/m/mellasc01.html,Retired,1985
135,Miroslav Satan,1995-10,363,135,/players/s/satanmi01.html,https://www.hockey-reference.com/players/s/satanmi01.html,Retired,1995
NA,Brent Sutter,1980-98,363,136,/players/s/suttebr02.html,https://www.hockey-reference.com/players/s/suttebr02.html,Retired,1980
NA,Peter McNab,1973-87,363,137,/players/m/mcnabpe01.html,https://www.hockey-reference.com/players/m/mcnabpe01.html,Retired,1973
138,Ivan Boldirev,1970-85,361,138,/players/b/boldiiv01.html,https://www.hockey-reference.com/players/b/boldiiv01.html,Retired,1970
139,Bobby Clarke,1969-84,358,139,/players/c/clarkbo01.html,https://www.hockey-reference.com/players/c/clarkbo01.html,Retired,1969
NA,Henri Richard,1955-75,358,140,/players/r/richahe01.html,https://www.hockey-reference.com/players/r/richahe01.html,Retired,1955
141,Kirk Muller,1984-03,357,141,/players/m/mulleki01.html,https://www.hockey-reference.com/players/m/mulleki01.html,Retired,1984
NA,Bobby Smith,1978-93,357,142,/players/s/smithbo01.html,https://www.hockey-reference.com/players/s/smithbo01.html,Retired,1978
NA,Ray Sheppard,1987-00,357,143,/players/s/sheppra01.html,https://www.hockey-reference.com/players/s/sheppra01.html,Retired,1987
144,Dennis Maruk,1975-89,356,144,/players/m/marukde01.html,https://www.hockey-reference.com/players/m/marukde01.html,Retired,1975
NA,Wilf Paiement,1974-88,356,145,/players/p/paiemwi01.html,https://www.hockey-reference.com/players/p/paiemwi01.html,Retired,1974
NA,Vyacheslav Kozlov,1991-10,356,146,/players/k/kozlovy01.html,https://www.hockey-reference.com/players/k/kozlovy01.html,Retired,1991
147,Mike Foligno,1979-94,355,147,/players/f/foligmi01.html,https://www.hockey-reference.com/players/f/foligmi01.html,Retired,1979
NA,Kevin Dineen,1984-03,355,148,/players/d/dineeke01.html,https://www.hockey-reference.com/players/d/dineeke01.html,Retired,1984
NA,Greg Adams,1984-01,355,149,/players/a/adamsgr02.html,https://www.hockey-reference.com/players/a/adamsgr02.html,Retired,1984
NA,Geoff Sanderson,1990-08,355,150,/players/s/sandege01.html,https://www.hockey-reference.com/players/s/sandege01.html,Retired,1990
151,Danny Gare,1974-87,354,151,/players/g/gareda01.html,https://www.hockey-reference.com/players/g/gareda01.html,Retired,1974
152,Patrice Bergeron,2003-20,350,152,/players/b/bergepa01.html,https://www.hockey-reference.com/players/b/bergepa01.html,Active,2003
153,Andy Bathgate,1952-71,349,153,/players/b/bathgan01.html,https://www.hockey-reference.com/players/b/bathgan01.html,Retired,1952
NA,Rick MacLeish,1970-84,349,154,/players/m/macleri01.html,https://www.hockey-reference.com/players/m/macleri01.html,Retired,1970
155,John Tavares,2009-20,343,155,/players/t/tavarjo01.html,https://www.hockey-reference.com/players/t/tavarjo01.html,Active,2009
NA,Jonathan Toews,2007-20,343,156,/players/t/toewsjo01.html,https://www.hockey-reference.com/players/t/toewsjo01.html,Active,2007
157,Charlie Simmer,1974-88,342,157,/players/s/simmech01.html,https://www.hockey-reference.com/players/s/simmech01.html,Retired,1974
NA,Scott Young,1987-06,342,158,/players/y/youngsc01.html,https://www.hockey-reference.com/players/y/youngsc01.html,Retired,1987
NA,Brian Rolston,1994-12,342,159,/players/r/rolstbr01.html,https://www.hockey-reference.com/players/r/rolstbr01.html,Retired,1994
NA,Ed Olczyk,1984-00,342,160,/players/o/olczyed01.html,https://www.hockey-reference.com/players/o/olczyed01.html,Retired,1984
161,Adam Oates,1985-04,341,161,/players/o/oatesad01.html,https://www.hockey-reference.com/players/o/oatesad01.html,Retired,1985
NA,Jason Spezza,2002-20,341,162,/players/s/spezzja01.html,https://www.hockey-reference.com/players/s/spezzja01.html,Active,2002
163,Dave Christian,1979-94,340,163,/players/c/chrisda01.html,https://www.hockey-reference.com/players/c/chrisda01.html,Retired,1979
NA,Al MacInnis,1981-04,340,164,/players/m/macinal01.html,https://www.hockey-reference.com/players/m/macinal01.html,Retired,1981
165,Phil Housley,1982-03,338,165,/players/h/houslph01.html,https://www.hockey-reference.com/players/h/houslph01.html,Retired,1982
166,Alexei Yashin,1993-07,337,166,/players/y/yashial01.html,https://www.hockey-reference.com/players/y/yashial01.html,Retired,1993
NA,Glen Murray,1991-08,337,167,/players/m/murragl01.html,https://www.hockey-reference.com/players/m/murragl01.html,Retired,1991
NA,Henrik Zetterberg,2002-18,337,168,/players/z/zettehe01.html,https://www.hockey-reference.com/players/z/zettehe01.html,Retired,2002
169,Ron Ellis,1963-81,332,169,/players/e/ellisro01.html,https://www.hockey-reference.com/players/e/ellisro01.html,Retired,1963
170,Anze Kopitar,2006-20,330,170,/players/k/kopitan01.html,https://www.hockey-reference.com/players/k/kopitan01.html,Active,2006
NA,Wendel Clark,1985-00,330,171,/players/c/clarkwe01.html,https://www.hockey-reference.com/players/c/clarkwe01.html,Retired,1985
172,Ziggy Palffy,1993-06,329,172,/players/p/palffzi01.html,https://www.hockey-reference.com/players/p/palffzi01.html,Retired,1993
NA,Mike Bullard,1980-92,329,173,/players/b/bullami01.html,https://www.hockey-reference.com/players/b/bullami01.html,Retired,1980
NA,Adam Graves,1987-03,329,174,/players/g/gravead01.html,https://www.hockey-reference.com/players/g/gravead01.html,Retired,1987
NA,Kevin Stevens,1987-02,329,175,/players/s/steveke01.html,https://www.hockey-reference.com/players/s/steveke01.html,Retired,1987
176,Ken Hodge,1964-78,328,176,/players/h/hodgeke01.html,https://www.hockey-reference.com/players/h/hodgeke01.html,Retired,1964
177,Scott Hartnell,2000-18,327,177,/players/h/hartnsc01.html,https://www.hockey-reference.com/players/h/hartnsc01.html,Retired,2000
178,Bobby Holik,1990-09,326,178,/players/h/holikbo01.html,https://www.hockey-reference.com/players/h/holikbo01.html,Retired,1990
179,John Tonelli,1978-92,325,179,/players/t/toneljo01.html,https://www.hockey-reference.com/players/t/toneljo01.html,Retired,1978
180,Paul MacLean,1980-91,324,180,/players/m/maclepa01.html,https://www.hockey-reference.com/players/m/maclepa01.html,Retired,1980
NA,Nels Stewart,1925-40,324,181,/players/s/stewane01.html,https://www.hockey-reference.com/players/s/stewane01.html,Retired,1925
NA,Pit Martin,1961-79,324,182,/players/m/martipi01.html,https://www.hockey-reference.com/players/m/martipi01.html,Retired,1961
183,Vic Hadfield,1961-77,323,183,/players/h/hadfivi01.html,https://www.hockey-reference.com/players/h/hadfivi01.html,Retired,1961
NA,Dale Hunter,1980-99,323,184,/players/h/hunteda02.html,https://www.hockey-reference.com/players/h/hunteda02.html,Retired,1980
NA,Petr Sykora,1995-12,323,185,/players/s/sykorpe01.html,https://www.hockey-reference.com/players/s/sykorpe01.html,Retired,1995
186,Olli Jokinen,1997-15,321,186,/players/j/jokinol01.html,https://www.hockey-reference.com/players/j/jokinol01.html,Retired,1997
187,Tony McKegney,1978-91,320,187,/players/m/mckegto01.html,https://www.hockey-reference.com/players/m/mckegto01.html,Retired,1978
NA,Bob Carpenter,1981-99,320,188,/players/c/carpebo01.html,https://www.hockey-reference.com/players/c/carpebo01.html,Retired,1981
189,Clark Gillies,1974-88,319,189,/players/g/gillicl01.html,https://www.hockey-reference.com/players/g/gillicl01.html,Retired,1974
190,Dave Gagner,1984-99,318,190,/players/g/gagneda01.html,https://www.hockey-reference.com/players/g/gagneda01.html,Retired,1984
191,Todd Bertuzzi,1995-14,314,191,/players/b/bertuto01.html,https://www.hockey-reference.com/players/b/bertuto01.html,Retired,1995
NA,Justin Williams,2000-20,314,192,/players/w/williju01.html,https://www.hockey-reference.com/players/w/williju01.html,Active,2000
NA,Pavel Datsyuk,2001-16,314,193,/players/d/datsypa01.html,https://www.hockey-reference.com/players/d/datsypa01.html,Retired,2001
194,Don Lever,1972-87,313,194,/players/l/leverdo01.html,https://www.hockey-reference.com/players/l/leverdo01.html,Retired,1972
NA,Petr Klima,1985-99,313,195,/players/k/klimape01.html,https://www.hockey-reference.com/players/k/klimape01.html,Retired,1985
196,Denis Potvin,1973-88,310,196,/players/p/potvide01.html,https://www.hockey-reference.com/players/p/potvide01.html,Retired,1973
NA,Petr Nedved,1990-07,310,197,/players/n/nedvepe01.html,https://www.hockey-reference.com/players/n/nedvepe01.html,Retired,1990
198,Martin Gelinas,1988-08,309,198,/players/g/gelinma01.html,https://www.hockey-reference.com/players/g/gelinma01.html,Retired,1988
199,Bob Nevin,1957-76,307,199,/players/n/nevinbo01.html,https://www.hockey-reference.com/players/n/nevinbo01.html,Retired,1957
NA,Daniel Briere,1997-15,307,200,/players/b/brierda01.html,https://www.hockey-reference.com/players/b/brierda01.html,Retired,1997
201,Cliff Ronning,1986-04,306,201,/players/r/ronnicl01.html,https://www.hockey-reference.com/players/r/ronnicl01.html,Retired,1986
202,Pavol Demitra,1993-10,304,202,/players/d/demitpa01.html,https://www.hockey-reference.com/players/d/demitpa01.html,Retired,1993
203,Brian Sutter,1976-88,303,203,/players/s/suttebr01.html,https://www.hockey-reference.com/players/s/suttebr01.html,Retired,1976
NA,Dennis Hull,1964-78,303,204,/players/h/hullde01.html,https://www.hockey-reference.com/players/h/hullde01.html,Retired,1964
205,Ulf Dahlen,1987-03,301,205,/players/d/dahleul01.html,https://www.hockey-reference.com/players/d/dahleul01.html,Retired,1987
206,Jamie Benn,2009-20,299,206,/players/b/bennja01.html,https://www.hockey-reference.com/players/b/bennja01.html,Active,2009
207,Brad Richards,2000-16,298,207,/players/r/richabr01.html,https://www.hockey-reference.com/players/r/richabr01.html,Retired,2000
208,Russ Courtnall,1983-99,297,208,/players/c/courtru01.html,https://www.hockey-reference.com/players/c/courtru01.html,Retired,1983
209,George Armstrong,1949-71,296,209,/players/a/armstge01.html,https://www.hockey-reference.com/players/a/armstge01.html,Retired,1949
210,Dustin Brown,2003-20,295,210,/players/b/browndu01.html,https://www.hockey-reference.com/players/b/browndu01.html,Active,2003
211,Mike Cammalleri,2002-18,294,211,/players/c/cammami01.html,https://www.hockey-reference.com/players/c/cammami01.html,Retired,2002
212,Jason Pominville,2003-19,293,212,/players/p/pominja01.html,https://www.hockey-reference.com/players/p/pominja01.html,Retired,2003
213,Mike Ridley,1985-97,292,213,/players/r/ridlemi01.html,https://www.hockey-reference.com/players/r/ridlemi01.html,Retired,1985
NA,Tom Lysiak,1973-86,292,214,/players/l/lysiato01.html,https://www.hockey-reference.com/players/l/lysiato01.html,Retired,1973
215,Simon Gagne,1999-15,291,215,/players/g/gagnesi01.html,https://www.hockey-reference.com/players/g/gagnesi01.html,Retired,1999
NA,Brian Gionta,2001-18,291,216,/players/g/giontbr01.html,https://www.hockey-reference.com/players/g/giontbr01.html,Retired,2001
