player,season,rank,date,game_num,age,team,at,opp,location,outcome,goals,assists,points,plus_minus,penalty_min,goals_even,goals_powerplay,goals_short,goals_gamewinner,assists_even,assists_powerplay,assists_short,shots,shot_percent
Alex Ovechkin,2006,40,2006-01-08,40,20-113,WSH,NA,FLA,Home,L-SO,0,2,2,0,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,41,2006-01-10,41,20-115,WSH,NA,CHI,Home,L-OT,1,1,2,1,0,1,0,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2006,42,2006-01-12,42,20-117,WSH,@,DAL,Away,L,1,0,1,-1,2,1,0,0,0,NA,NA,NA,8,12.5
Alex Ovechkin,2006,43,2006-01-13,43,20-118,WSH,@,MDA,Away,W,3,0,3,2,2,3,0,0,1,NA,NA,NA,4,75
Alex Ovechkin,2006,44,2006-01-16,44,20-121,WSH,@,PHX,Away,W,2,1,3,1,2,1,1,0,0,NA,NA,NA,10,20
Alex Ovechkin,2006,45,2006-01-19,45,20-124,WSH,NA,STL,Home,W,1,1,2,2,0,1,0,0,0,NA,NA,NA,5,20
Alex Ovechkin,2006,46,2006-01-21,46,20-126,WSH,NA,CAR,Home,W,0,2,2,1,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2006,47,2006-01-23,47,20-128,WSH,NA,BOS,Home,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2006,48,2006-01-25,48,20-130,WSH,@,PIT,Away,L,1,0,1,0,0,0,1,0,0,NA,NA,NA,5,20
Alex Ovechkin,2006,49,2006-01-26,49,20-131,WSH,@,BOS,Away,L,0,1,1,0,0,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2006,50,2006-01-29,50,20-134,WSH,NA,TBL,Home,W,0,1,1,0,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2006,51,2006-02-03,51,20-139,WSH,NA,TOR,Home,W,0,1,1,2,6,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2006,52,2006-02-04,52,20-140,WSH,@,TBL,Away,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2006,53,2006-02-07,53,20-143,WSH,NA,FLA,Home,L,0,0,0,-2,0,0,0,0,0,NA,NA,NA,10,0
Alex Ovechkin,2006,54,2006-02-10,54,20-146,WSH,@,PHI,Away,L,1,1,2,-1,0,0,1,0,0,NA,NA,NA,11,9.1
Alex Ovechkin,2006,55,2006-02-11,55,20-147,WSH,NA,PIT,Home,L,1,0,1,0,6,0,0,1,0,NA,NA,NA,8,12.5
Alex Ovechkin,2006,56,2006-02-28,56,20-164,WSH,@,TOR,Away,W,1,0,1,0,0,0,1,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2006,57,2006-03-02,57,20-166,WSH,@,OTT,Away,L,1,0,1,-1,0,0,0,1,0,NA,NA,NA,5,20
Alex Ovechkin,2006,58,2006-03-04,58,20-168,WSH,@,ATL,Away,L-OT,1,1,2,0,2,0,1,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2006,59,2006-03-06,59,20-170,WSH,NA,NYI,Home,W,2,1,3,1,0,2,0,0,1,NA,NA,NA,7,28.6
Alex Ovechkin,2006,60,2006-03-08,60,20-172,WSH,NA,PIT,Home,W,1,2,3,1,0,0,1,0,0,NA,NA,NA,10,10
Alex Ovechkin,2006,61,2006-03-10,61,20-174,WSH,NA,NJD,Home,L-SO,0,0,0,-2,0,0,0,0,0,NA,NA,NA,1,0
Alex Ovechkin,2006,62,2006-03-12,62,20-176,WSH,NA,OTT,Home,L,0,0,0,2,2,0,0,0,0,NA,NA,NA,1,0
Alex Ovechkin,2006,63,2006-03-14,63,20-178,WSH,NA,BUF,Home,L,1,2,3,0,0,0,1,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2006,64,2006-03-16,64,20-180,WSH,@,NYR,Away,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,65,2006-03-18,65,20-182,WSH,NA,FLA,Home,L-SO,0,2,2,1,0,0,0,0,0,NA,NA,NA,8,0
Alex Ovechkin,2006,66,2006-03-20,66,20-184,WSH,NA,MTL,Home,L,1,0,1,-1,0,0,1,0,0,NA,NA,NA,4,25
Alex Ovechkin,2006,67,2006-03-22,67,20-186,WSH,@,FLA,Away,L,0,1,1,1,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2006,68,2006-03-23,68,20-187,WSH,@,TBL,Away,L-OT,2,1,3,2,0,2,0,0,0,NA,NA,NA,13,15.4
Alex Ovechkin,2006,69,2006-03-25,69,20-189,WSH,@,CAR,Away,W,1,1,2,1,0,1,0,0,0,NA,NA,NA,4,25
Alex Ovechkin,2006,70,2006-03-29,70,20-193,WSH,@,CAR,Away,W,1,0,1,0,0,0,1,0,0,NA,NA,NA,8,12.5
Alex Ovechkin,2006,71,2006-03-30,71,20-194,WSH,@,MTL,Away,L-OT,0,2,2,-1,2,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,72,2006-04-01,72,20-196,WSH,@,OTT,Away,W,0,1,1,0,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2006,73,2006-04-03,73,20-198,WSH,@,CAR,Away,L-OT,0,1,1,-1,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2006,74,2006-04-05,74,20-200,WSH,NA,CAR,Home,L-SO,0,2,2,0,2,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2006,75,2006-04-07,75,20-202,WSH,NA,CAR,Home,L,0,1,1,-1,0,0,0,0,0,NA,NA,NA,12,0
Alex Ovechkin,2006,76,2006-04-08,76,20-203,WSH,@,NYI,Away,L,0,0,0,-1,2,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2006,77,2006-04-10,77,20-205,WSH,@,BOS,Away,W,1,0,1,1,0,1,0,0,1,NA,NA,NA,4,25
Alex Ovechkin,2006,78,2006-04-13,78,20-208,WSH,@,ATL,Away,L,1,1,2,0,0,1,0,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2006,79,2006-04-15,79,20-210,WSH,@,FLA,Away,W,1,0,1,1,0,1,0,0,0,NA,NA,NA,5,20
Alex Ovechkin,2006,80,2006-04-17,80,20-212,WSH,NA,ATL,Home,W,1,1,2,-1,0,1,0,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2006,81,2006-04-18,81,20-213,WSH,@,TBL,Away,W,0,1,1,0,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,1,2006-10-05,1,21-018,WSH,@,NYR,Away,L,0,0,0,-4,2,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,2,2006-10-07,2,21-020,WSH,NA,CAR,Home,W,2,0,2,2,0,1,1,0,1,NA,NA,NA,15,13.3
Alex Ovechkin,2007,3,2006-10-12,3,21-025,WSH,@,MIN,Away,L-SO,0,1,1,1,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2007,4,2006-10-14,4,21-027,WSH,NA,ATL,Home,L-OT,0,1,1,0,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2007,5,2006-10-18,5,21-031,WSH,NA,FLA,Home,W,0,0,0,1,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,6,2006-10-19,6,21-032,WSH,@,ATL,Away,L-SO,1,1,2,2,0,1,0,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2007,7,2006-10-21,7,21-034,WSH,NA,TBL,Home,L,1,0,1,-2,0,0,1,0,0,NA,NA,NA,5,20
Alex Ovechkin,2007,8,2006-10-25,8,21-038,WSH,@,COL,Away,W,1,0,1,-1,0,0,1,0,0,NA,NA,NA,4,25
Alex Ovechkin,2007,9,2006-10-27,9,21-040,WSH,@,VAN,Away,L-SO,1,1,2,0,2,1,0,0,0,NA,NA,NA,2,50
Alex Ovechkin,2007,10,2006-10-28,10,21-041,WSH,@,EDM,Away,L,0,0,0,-2,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,11,2006-10-30,11,21-043,WSH,@,CGY,Away,W,0,2,2,1,0,0,0,0,0,NA,NA,NA,9,0
Alex Ovechkin,2007,12,2006-11-03,12,21-047,WSH,NA,ATL,Home,L,0,2,2,-1,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,13,2006-11-04,13,21-048,WSH,@,PHI,Away,W,2,0,2,2,0,2,0,0,1,NA,NA,NA,2,100
Alex Ovechkin,2007,14,2006-11-06,14,21-050,WSH,NA,OTT,Home,W,2,0,2,0,0,1,1,0,0,NA,NA,NA,8,25
Alex Ovechkin,2007,15,2006-11-09,15,21-053,WSH,@,CAR,Away,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,16,2006-11-11,16,21-055,WSH,NA,NYR,Home,W,1,0,1,1,0,1,0,0,1,NA,NA,NA,3,33.3
Alex Ovechkin,2007,17,2006-11-13,17,21-057,WSH,@,FLA,Away,W,1,1,2,1,0,1,0,0,1,NA,NA,NA,5,20
Alex Ovechkin,2007,18,2006-11-15,18,21-059,WSH,NA,BOS,Home,L-SO,0,1,1,-1,2,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2007,19,2006-11-17,19,21-061,WSH,NA,CAR,Home,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,20,2006-11-18,20,21-062,WSH,@,BOS,Away,L-OT,1,0,1,0,2,0,1,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2007,21,2006-11-22,21,21-066,WSH,NA,ATL,Home,L,0,0,0,-2,2,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2007,22,2006-11-24,22,21-068,WSH,NA,TOR,Home,L,1,0,1,-2,0,0,1,0,0,NA,NA,NA,5,20
Alex Ovechkin,2007,23,2006-11-25,23,21-069,WSH,@,NYI,Away,L,1,0,1,-1,0,0,1,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2007,24,2006-11-28,24,21-072,WSH,@,TBL,Away,W,1,1,2,1,0,1,0,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2007,25,2006-11-30,25,21-074,WSH,NA,DAL,Home,W,0,0,0,0,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,26,2006-12-02,26,21-076,WSH,NA,BUF,Home,W,1,0,1,1,20,1,0,0,0,NA,NA,NA,2,50
Alex Ovechkin,2007,27,2006-12-06,27,21-080,WSH,NA,OTT,Home,W,0,3,3,2,0,0,0,0,0,NA,NA,NA,10,0
Alex Ovechkin,2007,28,2006-12-08,28,21-082,WSH,NA,ANA,Home,L,0,1,1,-4,2,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2007,29,2006-12-09,29,21-083,WSH,@,PHI,Away,W,1,2,3,2,2,1,0,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2007,30,2006-12-11,30,21-085,WSH,NA,PIT,Home,L-SO,0,2,2,2,0,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2007,31,2006-12-15,31,21-089,WSH,@,ATL,Away,W,3,0,3,0,0,1,2,0,1,NA,NA,NA,12,25
Alex Ovechkin,2007,32,2006-12-16,32,21-090,WSH,NA,PHI,Home,W,1,2,3,2,0,1,0,0,0,NA,NA,NA,4,25
Alex Ovechkin,2007,33,2006-12-19,33,21-093,WSH,NA,TBL,Home,L,1,1,2,2,0,1,0,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2007,34,2006-12-22,34,21-096,WSH,NA,NJD,Home,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2007,35,2006-12-23,35,21-097,WSH,@,TOR,Away,W,1,1,2,-1,0,0,1,0,0,NA,NA,NA,4,25
Alex Ovechkin,2007,36,2006-12-26,36,21-100,WSH,@,BUF,Away,L,1,0,1,-1,2,1,0,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2007,37,2006-12-27,37,21-101,WSH,NA,MTL,Home,L,0,1,1,-2,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2007,38,2006-12-29,38,21-103,WSH,@,NJD,Away,L,0,1,1,1,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,39,2006-12-30,39,21-104,WSH,@,NYR,Away,L,0,0,0,-3,0,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2007,40,2007-01-01,40,21-106,WSH,NA,PHX,Home,L,0,1,1,0,0,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2007,41,2007-01-04,41,21-109,WSH,NA,MTL,Home,W,0,3,3,2,4,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2007,42,2007-01-06,42,21-111,WSH,NA,ATL,Home,W,1,1,2,0,0,0,1,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2007,43,2007-01-09,43,21-114,WSH,NA,PHI,Home,W,2,1,3,1,0,2,0,0,1,NA,NA,NA,5,40
Alex Ovechkin,2007,44,2007-01-11,44,21-116,WSH,@,TBL,Away,L,0,2,2,-2,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2007,45,2007-01-13,45,21-118,WSH,@,FLA,Away,L,0,1,1,-2,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,46,2007-01-16,46,21-121,WSH,@,OTT,Away,L,0,1,1,0,2,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2007,47,2007-01-18,47,21-123,WSH,@,CAR,Away,W,1,0,1,2,0,1,0,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2007,48,2007-01-20,48,21-125,WSH,NA,FLA,Home,L,0,1,1,-2,2,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,49,2007-01-26,49,21-131,WSH,@,CAR,Away,L,1,0,1,-3,2,0,1,0,0,NA,NA,NA,4,25
Alex Ovechkin,2007,50,2007-01-27,50,21-132,WSH,NA,CAR,Home,W,1,1,2,-1,0,0,1,0,0,NA,NA,NA,2,50
Alex Ovechkin,2007,51,2007-01-30,51,21-135,WSH,@,OTT,Away,L,1,0,1,0,0,1,0,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2007,52,2007-02-01,52,21-137,WSH,@,FLA,Away,L,1,0,1,-1,0,1,0,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2007,53,2007-02-03,53,21-139,WSH,@,PIT,Away,L,0,0,0,-2,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,54,2007-02-04,54,21-140,WSH,NA,NYI,Home,W,0,0,0,-1,2,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,55,2007-02-06,55,21-142,WSH,NA,BOS,Home,L-SO,0,0,0,0,2,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,56,2007-02-08,56,21-144,WSH,NA,LAK,Home,W,0,1,1,3,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,57,2007-02-10,57,21-146,WSH,NA,NYR,Home,L,1,0,1,-1,0,0,1,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2007,58,2007-02-15,58,21-151,WSH,@,TBL,Away,L-SO,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2007,59,2007-02-18,59,21-154,WSH,@,PIT,Away,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2007,60,2007-02-20,60,21-156,WSH,@,MTL,Away,L,0,0,0,-2,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,61,2007-02-21,61,21-157,WSH,NA,SJS,Home,L-SO,0,0,0,1,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,62,2007-02-24,62,21-160,WSH,@,NJD,Away,W,0,1,1,-1,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,63,2007-02-25,63,21-161,WSH,NA,NJD,Home,L,1,0,1,0,0,1,0,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2007,64,2007-02-27,64,21-163,WSH,NA,FLA,Home,L-SO,2,2,4,2,0,2,0,0,0,NA,NA,NA,6,33.3
Alex Ovechkin,2007,65,2007-03-01,65,21-165,WSH,NA,TBL,Home,L-SO,1,1,2,-2,0,1,0,0,0,NA,NA,NA,5,20
Alex Ovechkin,2007,66,2007-03-03,66,21-167,WSH,NA,NYI,Home,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,67,2007-03-06,67,21-170,WSH,@,TOR,Away,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2007,68,2007-03-09,68,21-173,WSH,NA,CAR,Home,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,7,0
Alex Ovechkin,2007,69,2007-03-10,69,21-174,WSH,@,NYI,Away,L,1,0,1,0,0,1,0,0,0,NA,NA,NA,10,10
Alex Ovechkin,2007,70,2007-03-12,70,21-176,WSH,@,ATL,Away,L,2,0,2,-1,0,1,1,0,0,NA,NA,NA,3,66.7
Alex Ovechkin,2007,71,2007-03-15,71,21-179,WSH,@,BOS,Away,L-SO,0,1,1,0,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,72,2007-03-16,72,21-180,WSH,NA,TOR,Home,W,0,0,0,1,2,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2007,73,2007-03-18,73,21-182,WSH,NA,TBL,Home,W,0,0,0,1,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,74,2007-03-21,74,21-185,WSH,@,BUF,Away,L,0,0,0,-1,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,75,2007-03-22,75,21-186,WSH,@,CAR,Away,L,2,0,2,0,0,2,0,0,0,NA,NA,NA,3,66.7
Alex Ovechkin,2007,76,2007-03-24,76,21-188,WSH,@,MTL,Away,L,0,0,0,-2,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,77,2007-03-27,77,21-191,WSH,NA,PIT,Home,L,0,1,1,2,0,0,0,0,0,NA,NA,NA,4,0
Alex Ovechkin,2007,78,2007-03-30,78,21-194,WSH,@,FLA,Away,L-OT,0,2,2,1,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2007,79,2007-03-31,79,21-195,WSH,@,TBL,Away,L,0,0,0,-2,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2007,80,2007-04-03,80,21-198,WSH,NA,FLA,Home,W,1,0,1,1,0,1,0,0,1,NA,NA,NA,5,20
Alex Ovechkin,2007,81,2007-04-04,81,21-199,WSH,@,ATL,Away,W,2,0,2,-1,0,1,1,0,1,NA,NA,NA,4,50
Alex Ovechkin,2007,82,2007-04-07,82,21-202,WSH,NA,BUF,Home,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,8,0
Alex Ovechkin,2008,1,2007-10-05,1,22-018,WSH,@,ATL,Away,W,0,1,1,1,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2008,2,2007-10-06,2,22-019,WSH,NA,CAR,Home,W,1,0,1,1,0,1,0,0,1,NA,NA,NA,6,16.7
Alex Ovechkin,2008,3,2007-10-08,3,22-021,WSH,@,NYI,Away,W,0,1,1,0,0,0,0,0,0,NA,NA,NA,0,NA
Alex Ovechkin,2008,4,2007-10-12,4,22-025,WSH,@,NYR,Away,L,1,0,1,0,2,0,1,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2008,5,2007-10-13,5,22-026,WSH,@,BUF,Away,L,1,0,1,-1,0,0,1,0,0,NA,NA,NA,3,33.3
Alex Ovechkin,2008,6,2007-10-18,6,22-031,WSH,NA,NYI,Home,L,1,0,1,0,0,1,0,0,0,NA,NA,NA,7,14.3
Alex Ovechkin,2008,7,2007-10-20,7,22-033,WSH,NA,PIT,Home,L,0,0,0,0,2,0,0,0,0,NA,NA,NA,8,0
Alex Ovechkin,2008,8,2007-10-24,8,22-037,WSH,NA,TBL,Home,W,1,2,3,1,0,1,0,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2008,9,2007-10-26,9,22-039,WSH,NA,VAN,Home,L,1,1,2,0,0,0,1,0,0,NA,NA,NA,4,25
Alex Ovechkin,2008,10,2007-10-27,10,22-040,WSH,@,STL,Away,L,0,2,2,0,0,0,0,0,0,NA,NA,NA,3,0
Alex Ovechkin,2008,11,2007-10-29,11,22-042,WSH,@,TOR,Away,W,2,0,2,1,0,1,1,0,0,NA,NA,NA,7,28.6
Alex Ovechkin,2008,12,2007-11-01,12,22-045,WSH,@,NYR,Away,L,0,0,0,0,0,0,0,0,0,NA,NA,NA,6,0
Alex Ovechkin,2008,13,2007-11-02,13,22-046,WSH,NA,PHI,Home,L,1,0,1,0,0,0,1,0,0,NA,NA,NA,5,20
Alex Ovechkin,2008,14,2007-11-05,14,22-049,WSH,@,CAR,Away,L,0,0,0,0,2,0,0,0,0,NA,NA,NA,5,0
Alex Ovechkin,2008,15,2007-11-06,15,22-050,WSH,@,ATL,Away,L-OT,0,0,0,-1,0,0,0,0,0,NA,NA,NA,2,0
Alex Ovechkin,2008,16,2007-11-08,16,22-052,WSH,@,OTT,Away,W,1,1,2,2,0,1,0,0,0,NA,NA,NA,10,10
Alex Ovechkin,2008,17,2007-11-10,17,22-054,WSH,NA,TBL,Home,L,1,0,1,-1,0,1,0,0,0,NA,NA,NA,6,16.7
Alex Ovechkin,2008,18,2007-11-15,18,22-059,WSH,@,FLA,Away,L,1,0,1,0,0,1,0,0,0,NA,NA,NA,7,14.3
