name,last_name,first_name,graduation_date,rank_at_graduation,class,graduated_from,pilot_type,military_hometown_of_record,state,aerial_victory_credits,number_of_aerial_victory_credits,reported_lost,reported_lost_date,reported_lost_location,web_profile
"Bishop, Darryl C.",Bishop,Darryl C.,1943-09-30T00:00:00Z,2nd Lt,CL-43-1,TAAF,Liaison pilot,Houston,TX,NA,0,NA,NA,NA,NA
"Bizzell, George F.",Bizzell,George F.,1943-10-22T00:00:00Z,2nd Lt,CL-43-2,TAAF,Liaison pilot,Dayton,OH,NA,0,NA,NA,NA,NA
"Black, Samuel A., Jr.",Black,"Samuel A., Jr.",1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Plainfield,NJ,NA,0,NA,NA,NA,NA
"Blackwell, Hubron R.",Blackwell,Hubron R.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Blaylock, Joseph E.",Blaylock,Joseph E.,1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Albany,GA,NA,0,NA,NA,NA,NA
"Blue, Elliot H.",Blue,Elliot H.,1944-01-07T00:00:00Z,2nd Lt,TE-44-A,TAAF,Twin engine,Hampton,VA,NA,0,NA,NA,NA,https://cafriseabove.org/elliott-howard-blue/
"Bohannon, Horace A.",Bohannon,Horace A.,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Atlanta,GA,NA,0,NA,NA,NA,NA
"Bohler, Henry C.L.",Bohler,Henry C.L.,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Augusta,GA,NA,0,NA,NA,NA,NA
"Bolden, Edgar L.",Bolden,Edgar L.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,Arlington,VA,NA,0,NA,NA,NA,https://cafriseabove.org/edgar-l-bolden/
"Bolden, George C.",Bolden,George C.,1945-09-08T00:00:00Z,2nd Lt,TE-45-F,TAAF,Twin engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Bolling, George R.",Bolling,George R.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Hampton,VA,NA,0,NA,NA,NA,NA
"Bonam, Leonelle A.",Bonam,Leonelle A.,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Pascagoula,MS,NA,0,NA,NA,NA,NA
"Bonseigneur, Paul J., Jr.",Bonseigneur,"Paul J., Jr.",1944-09-08T00:00:00Z,2nd Lt,TE-44-H,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Bowman, James E.",Bowman,James E.,1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Des Moines,IA,NA,0,NA,NA,NA,https://cafriseabove.org/james-everett-bowman/
"Bowman, Leroy",Bowman,Leroy,1943-03-25T00:00:00Z,2nd Lt,SE-43-C,TAAF,Single engine,Sumter,SC,NA,0,NA,NA,NA,https://cafriseabove.org/leroy-bowman/
"Bradford, Clarence H.",Bradford,Clarence H.,1943-12-05T00:00:00Z,2nd Lt,SE-43-K,TAAF,Single engine,St. Louis,MO,NA,0,NA,NA,NA,NA
"Brantley, Charles V.",Brantley,Charles V.,1944-05-23T00:00:00Z,Flight Officer,SE-44-E,TAAF,Single engine,St. Louis,MO,"Downed 1 Me-262 on March 24, 1945",1,NA,NA,NA,NA
"Brashears, Virgil",Brashears,Virgil,1944-04-15T00:00:00Z,2nd Lt,TE-44-D,TAAF,Twin engine,Kansas City,MO,NA,0,NA,NA,NA,NA
"Braswell, Thomas P.",Braswell,Thomas P.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Buford,GA,"Downed 1 Fw-190 on March 31, 1945",1,NA,NA,NA,NA
"Bratcher, Everett A.",Bratcher,Everett A.,1943-08-30T00:00:00Z,2nd Lt,SE-43-H,TAAF,Single engine,Poplar Bluff,MO,NA,0,NA,NA,NA,NA
"Brazil, Harold E.",Brazil,Harold E.,1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Joplin,MO,NA,0,NA,NA,NA,NA
"Brewer, Fred L., Jr.",Brewer,"Fred L., Jr.",1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Charlotte,NC,NA,0,NA,NA,NA,https://cafriseabove.org/fred-l-brewer-jr/
"Brewin, Irvin O.",Brewin,Irvin O.,1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Brice, Edward W.",Brice,Edward W.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Orangeburg,SC,NA,0,NA,NA,NA,NA
"Briggs, Eugene A.",Briggs,Eugene A.,1946-03-23T00:00:00Z,Flight Officer,SE-46-A,TAAF,Single engine,Boston,MA,NA,0,NA,NA,NA,NA
"Briggs, John F.",Briggs,John F.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,St. Louis,MO,"Downed 1 Me-109 on August 24, 1944",1,NA,NA,NA,NA
"Bright, Alexander M.",Bright,Alexander M.,1943-06-30T00:00:00Z,2nd Lt,SE-43-F,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Broadnax, Samuel L.",Broadnax,Samuel L.,1945-03-11T00:00:00Z,Flight Officer,SE-45-A,TAAF,Single engine,Oroville,CA,NA,0,NA,NA,NA,NA
"Broadwater, William E.",Broadwater,William E.,1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,Bryn Mawr,PA,NA,0,NA,NA,NA,https://cafriseabove.org/william-e-broadwater/
"Brooks, Johnny Y.",Brooks,Johnny Y.,1943-12-07T00:00:00Z,2nd Lt,CL-43-3,TAAF,Liaison pilot,Calumet City,IL,NA,0,NA,NA,NA,NA
"Brooks, Milton R.",Brooks,Milton R.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Glassport,PA,"Downed 1 Me-109 on October 12, 1944",1,NA,NA,NA,https://cafriseabove.org/milton-reed-brooks/
"Brooks, Sidney P.",Brooks,Sidney P.,1942-04-29T00:00:00Z,2nd Lt,SE-42-D,TAAF,Single engine,Cleveland,OH,NA,0,NA,NA,NA,https://cafriseabove.org/sidney-p-brooks/
"Brooks, Terry H.",Brooks,Terry H.,1943-10-22T00:00:00Z,1st Lt,CL-43-2,TAAF,Liaison pilot,NA,NA,NA,0,NA,NA,NA,NA
"Brooks, Tilford U.",Brooks,Tilford U.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,East St. Louis,IL,NA,0,NA,NA,NA,NA
"Brothers, James E.",Brothers,James E.,1944-08-04T00:00:00Z,Flight Officer,TE-44-G,TAAF,Twin engine,Philadelphia,PA,NA,0,NA,NA,NA,NA
"Brothers, James E.",Brothers,James E.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Browder, Cecil L.",Browder,Cecil L.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,Wilmington,NC,NA,0,NA,NA,NA,NA
"Brown, Augustus G.",Brown,Augustus G.,1944-09-08T00:00:00Z,2nd Lt,TE-44-H,TAAF,Twin engine,Houma,LA,NA,0,NA,NA,NA,NA
"Brown, George A., Jr.",Brown,"George A., Jr.",1945-08-04T00:00:00Z,2nd Lt,TE-45-E,TAAF,Twin engine,Baltimore,MD,NA,0,NA,NA,NA,NA
"Brown, Harold Heywood",Brown,Harold Heywood,1944-05-23T00:00:00Z,2nd Lt,SE-44-E,TAAF,Single engine,Minneapolis,MN,NA,0,NA,NA,NA,NA
"Brown, Harold Howard",Brown,Harold Howard,1944-08-04T00:00:00Z,2nd Lt,TE-44-G,TAAF,Twin engine,Weeletka,OK,NA,0,NA,NA,NA,NA
"Brown, James B.",Brown,James B.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,https://cafriseabove.org/james-b-brown/
"Brown, James W.",Brown,James W.,1944-10-16T00:00:00Z,2nd Lt,TE-44-I-1,TAAF,Twin engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Brown, Lawrence A.",Brown,Lawrence A.,1944-02-01T00:00:00Z,Flight Officer,SE-44-K,TAAF,Single engine,Jamaica,NY,NA,0,NA,NA,NA,NA
"Brown, Reuben H., Jr.",Brown,"Reuben H., Jr.",1945-09-08T00:00:00Z,2nd Lt,SE-45-F,TAAF,Single engine,Kansas City,MO,NA,0,NA,NA,NA,NA
"Brown, Robert S.",Brown,Robert S.,1944-09-08T00:00:00Z,2nd Lt,TE-44-H,TAAF,Twin engine,Minneapolis,MN,NA,0,NA,NA,NA,NA
"Brown, Roger B.",Brown,Roger B.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Glencoe,IL,NA,0,NA,NA,NA,https://cafriseabove.org/roger-bartlett-brown/
"Brown, Roscoe C.",Brown,Roscoe C.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,New York,NY,"Downed 1 Me-262 on March 24, 1945; Downed 1 Fw-190 on March 31, 1945",2,NA,NA,NA,https://cafriseabove.org/roscoe-c-brown-jr/
"Brown, Walter R., Jr.",Brown,"Walter R., Jr.",1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Hampton,VA,NA,0,NA,NA,NA,NA
"Browne, Gene C.",Browne,Gene C.,1943-10-01T00:00:00Z,2nd Lt,SE-43-I,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,https://cafriseabove.org/gene-c-browne/
"Bruce, Reginald",Bruce,Reginald,1944-08-04T00:00:00Z,Flight Officer,TE-44-G,TAAF,Twin engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Bruce, Samuel M.",Bruce,Samuel M.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,Seattle,WA,NA,0,NA,NA,NA,https://cafriseabove.org/samuel-bruce-sam-martin/
"Bryant, Grady E.",Bryant,Grady E.,1945-06-27T00:00:00Z,2nd Lt,SE-45-D,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Bryant, Joseph C., Jr.",Bryant,"Joseph C., Jr.",1945-08-04T00:00:00Z,Flight Officer,TE-45-E,TAAF,Twin engine,Dowagiac,MI,NA,0,NA,NA,NA,NA
"Bryant, Leroy, Jr.",Bryant,"Leroy, Jr.",1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Houston,TX,NA,0,NA,NA,NA,NA
"Bryson, James O.",Bryson,James O.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Columbus,GA,NA,0,NA,NA,NA,NA
"Burch, John Albert III",Burch,John Albert III,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Indianapolis,IN,NA,0,NA,NA,NA,NA
"Burke, Vernon W.",Burke,Vernon W.,1948-10-12T00:00:00Z,2nd Lt,NA,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,NA
"Burns, Charles Aston",Burns,Charles Aston,1946-05-14T00:00:00Z,NA,TE-46-B,TAAF,Twin engine,NA,NA,NA,0,NA,NA,NA,NA
"Burns, Isham A., Jr.",Burns,"Isham A., Jr.",1944-12-28T00:00:00Z,2nd Lt,SE-44-J,TAAF,Single engine,Los Angeles,CA,NA,0,NA,NA,NA,NA
"Bussey, Charles M.",Bussey,Charles M.,1943-05-28T00:00:00Z,2nd Lt,SE-43-E,TAAF,Single engine,Los Angeles,CA,"Downed 1 Me-109 on June 9, 1944",1,NA,NA,NA,NA
"Butler, Jewel B.",Butler,Jewel B.,1946-03-23T00:00:00Z,2nd Lt,SE-46-A,TAAF,Single engine,Denison,TX,NA,0,NA,NA,NA,NA
"Bynum, Rolin A.",Bynum,Rolin A.,1944-01-07T00:00:00Z,2nd Lt,TE-44-A,TAAF,Twin engine,Montclair,NJ,NA,0,NA,NA,NA,NA
"Byrd, Willie L., Jr.",Byrd,"Willie L., Jr.",1943-12-05T00:00:00Z,2nd Lt,TE-43-K,TAAF,Twin engine,Fayetteville,NC,NA,0,NA,NA,NA,NA
"Cabiness, Marshall S.",Cabiness,Marshall S.,1942-10-09T00:00:00Z,2nd Lt,SE-42-I,TAAF,Single engine,Gastonia,NC,NA,0,NA,NA,NA,NA
"Cabule, Emest M., Jr.",Cabule,"Emest M., Jr.",1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Detroit,MI,NA,0,NA,NA,NA,NA
"Caesar, Richard C.",Caesar,Richard C.,1942-09-06T00:00:00Z,2nd Lt,SE-42-H,TAAF,Single engine,Lake Village,AR,NA,0,NA,NA,NA,NA
"Cain, William L.",Cain,William L.,1944-10-16T00:00:00Z,Flight Officer,TE-44-I-1,TAAF,Twin engine,London,OH,NA,0,NA,NA,NA,NA
"Calhoun, James A.",Calhoun,James A.,1944-03-12T00:00:00Z,2nd Lt,SE-44-C,TAAF,Single engine,Bridgeport,CT,NA,0,NA,NA,NA,https://cafriseabove.org/james-albert-calhoun/
"Calloway, Julius W.",Calloway,Julius W.,1944-11-20T00:00:00Z,Flight Officer,SE-44-I,TAAF,Single engine,Louisville,KY,NA,0,NA,NA,NA,NA
"Campbell, Herman A.",Campbell,Herman A.,1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,New York,NY,NA,0,NA,NA,NA,NA
"Campbell, Lawrence E.",Campbell,Lawrence E.,1948-10-12T00:00:00Z,2nd Lt,Unk,"Williams AFB, AZ",Single engine,Williams AFB,AZ,NA,0,NA,NA,NA,NA
"Campbell, Lindsey L.",Campbell,Lindsey L.,1944-12-28T00:00:00Z,Flight Officer,SE-44-J,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,NA
"Campbell, McWheeler",Campbell,McWheeler,1944-12-28T00:00:00Z,2nd Lt,SE-44-J,TAAF,Single engine,Cambria,VA,NA,0,NA,NA,NA,NA
"Campbell, Vincent O.",Campbell,Vincent O.,1945-03-11T00:00:00Z,2nd Lt,SE-45-A,TAAF,Single engine,Corona,NY,NA,0,NA,NA,NA,NA
"Campbell, William A.",Campbell,William A.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Tuskegee,AL,"Downed 1 Me-109 on March 31, 1945",1,NA,NA,NA,https://cafriseabove.org/william-a-campbell/
"Carey, Carl E.",Carey,Carl E.,1944-09-08T00:00:00Z,2nd Lt,SE-44-H,TAAF,Single engine,St. Louis,MO,"Downed 2 FW-190s on April 1, 1945",2,NA,NA,NA,NA
"Cargill, Gilbert A.",Cargill,Gilbert A.,NA,Flight Officer,45-BI-1,TAAF,Service pilot,Cleveland,OH,NA,0,NA,NA,NA,https://cafriseabove.org/gilbert-a-cargill/
"Carpenter, Russell W., Jr.",Carpenter,"Russell W., Jr.",1944-11-20T00:00:00Z,2nd Lt,SE-44-I,TAAF,Single engine,Plainfield,NJ,NA,0,NA,NA,NA,NA
"Carroll, Alfred Q., Jr.",Carroll,"Alfred Q., Jr.",1943-11-03T00:00:00Z,2nd Lt,SE-43-J,TAAF,Single engine,Washington,DC,NA,0,NA,NA,NA,https://cafriseabove.org/alfred-quaisse-carroll-jr/
"Carroll, Lawrence W.",Carroll,Lawrence W.,1945-11-20T00:00:00Z,2nd Lt,TE-45-H,TAAF,Twin engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Carter, Clarence J.",Carter,Clarence J.,1945-06-27T00:00:00Z,Flight Officer,SE-45-D,TAAF,Single engine,Chicago,IL,NA,0,NA,NA,NA,NA
"Carter, Floyd J.",Carter,Floyd J.,1946-03-23T00:00:00Z,Flight Officer,TE-46-A,TAAF,Twin engine,Norfolk,VA,NA,0,NA,NA,NA,NA
"Carter, Herbert E.",Carter,Herbert E.,1942-07-03T00:00:00Z,2nd Lt,SE-42-F,TAAF,Single engine,Amory,MS,NA,0,NA,NA,NA,https://cafriseabove.org/herbert-e-carter/
"Carter, James Y.",Carter,James Y.,1943-04-29T00:00:00Z,2nd Lt,SE-43-D,TAAF,Single engine,Winston-Salem,NC,NA,0,NA,NA,NA,NA
"Carter, Lloyd A.N.",Carter,Lloyd A.N.,1944-02-01T00:00:00Z,2nd Lt,SE-44-K,TAAF,Single engine,York,PA,NA,0,NA,NA,NA,NA
"Carter, William G.",Carter,William G.,1946-06-28T00:00:00Z,2nd Lt,SE-46-C,TAAF,Single engine,Pittsburg,PA,NA,0,NA,NA,NA,NA
"Casey, Clifton G.",Casey,Clifton G.,1945-04-15T00:00:00Z,Flight Officer,SE-45-B,TAAF,Single engine,Birmingham,AL,NA,0,NA,NA,NA,NA
"Cassagnol, Raymond",Cassagnol,Raymond,1943-07-28T00:00:00Z,NA,SE-43-G,TAAF,Single engine,Unknown,HT,NA,0,NA,NA,NA,https://cafriseabove.org/raymond-cassagnol/
"Chambers, Charles W.",Chambers,Charles W.,1946-03-23T00:00:00Z,2nd Lt,SE-46-A,TAAF,Single engine,Camden,NJ,NA,0,NA,NA,NA,NA
"Chandler, Robert C.",Chandler,Robert C.,1944-02-08T00:00:00Z,2nd Lt,SE-44-B,TAAF,Single engine,Allegan,MI,NA,0,NA,NA,NA,NA
