row_n,id,name,gender,species,birthday,personality,song,phrase,full_id,url
25,ava,Ava,female,chicken,4-28,normal,K.K. Country,beaker,villager-ava,https://villagerdb.com/images/villagers/thumb/ava.045f29d.png
26,avery,Avery,male,eagle,2-22,cranky,K.K. Condor,skree-haw,villager-avery,https://villagerdb.com/images/villagers/thumb/avery.d153359.png
27,axel,Axel,male,elephant,3-23,jock,K.K. Dixie,WHONK,villager-axel,https://villagerdb.com/images/villagers/thumb/axel.39dee06.png
29,baabara,Baabara,female,sheep,3-28,snooty,K.K. Swing,daahling,villager-baabara,https://villagerdb.com/images/villagers/thumb/baabara.65ef685.png
30,bam,Bam,male,deer,11-7,jock,DJ K.K.,boosh,villager-bam,https://villagerdb.com/images/villagers/thumb/bam.d07e2b9.png
31,bangle,Bangle,female,tiger,8-27,peppy,K.K. Soul,growf,villager-bangle,https://villagerdb.com/images/villagers/thumb/bangle.6701bed.png
32,barold,Barold,male,cub,3-2,lazy,My Place,cubby,villager-barold,https://villagerdb.com/images/villagers/thumb/barold.2eb90dc.png
33,bea,Bea,female,dog,10-15,normal,K.K. Soul,bingo,villager-bea,https://villagerdb.com/images/villagers/thumb/bea.8f6a99c.png
34,beardo,Beardo,male,bear,9-27,smug,K.K. Sonata,whiskers,villager-beardo,https://villagerdb.com/images/villagers/thumb/beardo.13376a9.png
35,beau,Beau,male,deer,4-5,lazy,Mountain Song,saltlick,villager-beau,https://villagerdb.com/images/villagers/thumb/beau.b905798.png
36,becky,Becky,female,chicken,12-9,snooty,K.K. Aria,chicklet,villager-becky,https://villagerdb.com/images/villagers/thumb/becky.06357d0.png
37,bella,Bella,female,mouse,12-28,peppy,K.K. Metal,eeks,villager-bella,https://villagerdb.com/images/villagers/thumb/bella.bc524e9.png
39,benedict,Benedict,male,chicken,10-10,lazy,I Love You,uh-hoo,villager-benedict,https://villagerdb.com/images/villagers/thumb/benedict.c5bf6e4.png
40,benjamin,Benjamin,male,dog,8-3,lazy,Wandering,alrighty,villager-benjamin,https://villagerdb.com/images/villagers/thumb/benjamin.10404ec.png
41,bertha,Bertha,female,hippo,4-25,normal,Space K.K.,bloop,villager-bertha,https://villagerdb.com/images/villagers/thumb/bertha.2ab6a08.png
43,bettina,Bettina,female,mouse,6-12,normal,K.K. Swing,eekers,villager-bettina,https://villagerdb.com/images/villagers/thumb/bettina.3dcf3e5.png
45,bianca,Bianca,female,tiger,12-13,peppy,K.K. House,glimmer,villager-bianca,https://villagerdb.com/images/villagers/thumb/bianca.4af2dd6.png
46,biff,Biff,male,hippo,3-29,jock,The K. Funk,squirt,villager-biff,https://villagerdb.com/images/villagers/thumb/biff.ab45180.png
47,big-top,Big Top,male,elephant,10-3,lazy,K.K. Metal,villain,villager-big-top,https://villagerdb.com/images/villagers/thumb/big-top.712f96b.png
48,bill,Bill,male,duck,2-1,jock,King K.K.,quacko,villager-bill,https://villagerdb.com/images/villagers/thumb/bill.8510deb.png
49,billy,Billy,male,goat,3-25,jock,K.K. Sonata,dagnaabit,villager-billy,https://villagerdb.com/images/villagers/thumb/billy.af94e28.png
50,biskit,Biskit,male,dog,5-13,lazy,K.K. Mambo,dawg,villager-biskit,https://villagerdb.com/images/villagers/thumb/biskit.d9970b1.png
51,bitty,Bitty,female,hippo,10-6,snooty,K.K. Disco,my dear,villager-bitty,https://villagerdb.com/images/villagers/thumb/bitty.8efdbe9.png
52,blaire,Blaire,female,squirrel,7-3,snooty,K.K. Island,nutlet,villager-blaire,https://villagerdb.com/images/villagers/thumb/blaire.8fd60b3.png
53,blanche,Blanche,female,ostrich,12-21,snooty,K.K. Jongara,quite so,villager-blanche,https://villagerdb.com/images/villagers/thumb/blanche.8b2f4c0.png
55,bluebear,Bluebear,female,cub,6-24,peppy,K.K. Ska,peach,villager-bluebear,https://villagerdb.com/images/villagers/thumb/bluebear.1aa8065.png
56,bob,Bob,male,cat,1-1,lazy,K.K. Ragtime,pthhhpth,villager-bob,https://villagerdb.com/images/villagers/thumb/bob.aead5ef.png
57,bonbon,Bonbon,female,rabbit,3-3,peppy,K.K. Disco,deelish,villager-bonbon,https://villagerdb.com/images/villagers/thumb/bonbon.9e6f5e4.png
58,bones,Bones,male,dog,8-4,lazy,Forest Life,yip yip,villager-bones,https://villagerdb.com/images/villagers/thumb/bones.6a1e8ee.png
59,boomer,Boomer,male,penguin,2-7,lazy,Aloha K.K.,tu-tutu,villager-boomer,https://villagerdb.com/images/villagers/thumb/boomer.78f716a.png
60,boone,Boone,male,gorilla,9-12,jock,K.K. Western,baboom,villager-boone,https://villagerdb.com/images/villagers/thumb/boone.9cf0af4.png
61,boots,Boots,male,alligator,8-7,jock,K.K. Rally,munchie,villager-boots,https://villagerdb.com/images/villagers/thumb/boots.5dd3706.png
62,boris,Boris,male,pig,11-6,cranky,K.K. House,schnort,villager-boris,https://villagerdb.com/images/villagers/thumb/boris.4c0d705.png
64,boyd,Boyd,male,gorilla,10-1,cranky,K.K. Groove,uh-oh,villager-boyd,https://villagerdb.com/images/villagers/thumb/boyd.b66164c.png
65,bree,Bree,female,mouse,7-7,snooty,Two Days Ago,cheeseball,villager-bree,https://villagerdb.com/images/villagers/thumb/bree.58b9f96.png
66,broccolo,Broccolo,male,mouse,6-30,lazy,K.K. Ragtime,eat it,villager-broccolo,https://villagerdb.com/images/villagers/thumb/broccolo.8477172.png
67,broffina,Broffina,female,chicken,10-24,snooty,K.K. Flamenco,cluckadoo,villager-broffina,https://villagerdb.com/images/villagers/thumb/broffina.48c4d13.png
68,bruce,Bruce,male,deer,5-26,cranky,K.K. Blues,gruff,villager-bruce,https://villagerdb.com/images/villagers/thumb/bruce.ca6bf01.png
69,bubbles,Bubbles,female,hippo,9-18,peppy,K.K. Stroll,hipster,villager-bubbles,https://villagerdb.com/images/villagers/thumb/bubbles.b385564.png
70,buck,Buck,male,horse,4-4,jock,My Place,pardner,villager-buck,https://villagerdb.com/images/villagers/thumb/buck.c5ea50f.png
71,bud,Bud,male,lion,8-8,jock,K.K. Ska,maaan,villager-bud,https://villagerdb.com/images/villagers/thumb/bud.5c88e55.png
72,bunnie,Bunnie,female,rabbit,5-9,peppy,K.K. Aria,tee-hee,villager-bunnie,https://villagerdb.com/images/villagers/thumb/bunnie.28160cd.png
73,butch,Butch,male,dog,11-1,cranky,K.K. Fusion,ROOOOOWF,villager-butch,https://villagerdb.com/images/villagers/thumb/butch.3f1e4c2.png
74,buzz,Buzz,male,eagle,12-7,cranky,K.K. Rally,captain,villager-buzz,https://villagerdb.com/images/villagers/thumb/buzz.a4eb5eb.png
75,cally,Cally,female,squirrel,9-4,normal,K.K. Love Song,WHEE,villager-cally,https://villagerdb.com/images/villagers/thumb/cally.2e2d4a5.png
76,camofrog,Camofrog,male,frog,6-5,cranky,K.K. Rock,ten-hut,villager-camofrog,https://villagerdb.com/images/villagers/thumb/camofrog.ca20698.png
77,canberra,Canberra,female,koala,5-14,uchi,K.K. House,nuh uh,villager-canberra,https://villagerdb.com/images/villagers/thumb/canberra.bc76454.png
78,candi,Candi,female,mouse,4-13,peppy,K.K. Ragtime,sweetie,villager-candi,https://villagerdb.com/images/villagers/thumb/candi.143024c.png
80,carmen2,Carmen,female,rabbit,1-6,peppy,K.K. Technopop,nougat,villager-carmen2,https://villagerdb.com/images/villagers/thumb/carmen2.3a5c418.png
81,caroline,Caroline,female,squirrel,7-15,normal,DJ K.K.,hulaaaa,villager-caroline,https://villagerdb.com/images/villagers/thumb/caroline.4eadcbc.png
82,carrie,Carrie,female,kangaroo,12-5,normal,K.K. Lullaby,little one,villager-carrie,https://villagerdb.com/images/villagers/thumb/carrie.528bf16.png
84,cashmere,Cashmere,female,sheep,4-2,snooty,K.K. Country,baaaby,villager-cashmere,https://villagerdb.com/images/villagers/thumb/cashmere.3f42544.png
86,celia,Celia,female,eagle,3-25,normal,K.K. Aria,feathers,villager-celia,https://villagerdb.com/images/villagers/thumb/celia.1ca8986.png
87,cesar,Cesar,male,gorilla,9-6,cranky,K.K. Lament,Highness,villager-cesar,https://villagerdb.com/images/villagers/thumb/cesar.8e3d234.png
88,chadder,Chadder,male,mouse,12-15,smug,K.K. Soul,fromage,villager-chadder,https://villagerdb.com/images/villagers/thumb/chadder.2a4db94.png
92,charlise,Charlise,female,bear,4-17,uchi,Mr. K.K.,urgh,villager-charlise,https://villagerdb.com/images/villagers/thumb/charlise.9824d46.png
94,cheri,Cheri,female,cub,3-17,peppy,K.K. Synth,tralala,villager-cheri,https://villagerdb.com/images/villagers/thumb/cheri.324dc26.png
95,cherry,Cherry,female,dog,5-11,uchi,K.K. Fusion,what what,villager-cherry,https://villagerdb.com/images/villagers/thumb/cherry.d4d77df.png
96,chester,Chester,male,cub,8-6,lazy,Imperial K.K.,rookie,villager-chester,https://villagerdb.com/images/villagers/thumb/chester.e0be47e.png
97,chevre,Chevre,female,goat,3-6,normal,K.K. Chorale,la baa,villager-chevre,https://villagerdb.com/images/villagers/thumb/chevre.1b3996a.png
99,chief,Chief,male,wolf,12-19,cranky,DJ K.K.,harrumph,villager-chief,https://villagerdb.com/images/villagers/thumb/chief.b7590e2.png
100,chops,Chops,male,pig,10-13,smug,K.K. Moody,Zoink,villager-chops,https://villagerdb.com/images/villagers/thumb/chops.a5578b5.png
101,chow,Chow,male,bear,7-22,cranky,K.K. Steppe,aiya,villager-chow,https://villagerdb.com/images/villagers/thumb/chow.71446df.png
102,chrissy,Chrissy,female,rabbit,8-28,peppy,K.K. Waltz,sparkles,villager-chrissy,https://villagerdb.com/images/villagers/thumb/chrissy.4e1c5bc.png
105,claude,Claude,male,rabbit,12-3,lazy,Pondering,hopalong,villager-claude,https://villagerdb.com/images/villagers/thumb/claude.cbcba90.png
106,claudia,Claudia,female,tiger,11-22,snooty,K.K. Synth,ooh la la,villager-claudia,https://villagerdb.com/images/villagers/thumb/claudia.139645e.png
107,clay,Clay,male,hamster,10-19,lazy,K.K. Safari,thump,villager-clay,https://villagerdb.com/images/villagers/thumb/clay.ef6377c.png
108,cleo,Cleo,female,horse,2-9,snooty,K.K. Synth,sugar,villager-cleo,https://villagerdb.com/images/villagers/thumb/cleo.1e065f3.png
109,clyde,Clyde,male,horse,5-1,lazy,K.K. Dixie,clip-clawp,villager-clyde,https://villagerdb.com/images/villagers/thumb/clyde.579e108.png
110,coach,Coach,male,bull,4-29,jock,Marine Song 2001,stubble,villager-coach,https://villagerdb.com/images/villagers/thumb/coach.ae2000b.png
111,cobb,Cobb,male,pig,10-7,jock,Pondering,hot dog,villager-cobb,https://villagerdb.com/images/villagers/thumb/cobb.5dbf962.png
112,coco,Coco,female,rabbit,3-1,normal,K.K. Dirge,doyoing,villager-coco,https://villagerdb.com/images/villagers/thumb/coco.15c2793.png
113,cole,Cole,male,rabbit,8-10,lazy,Spring Blossoms,duuude,villager-cole,https://villagerdb.com/images/villagers/thumb/cole.0b902b2.png
114,colton,Colton,male,horse,5-22,smug,Only Me,check it,villager-colton,https://villagerdb.com/images/villagers/thumb/colton.4420162.png
115,cookie,Cookie,female,dog,6-18,peppy,DJ K.K.,arfer,villager-cookie,https://villagerdb.com/images/villagers/thumb/cookie.cba9a61.png
116,cousteau,Cousteau,male,frog,12-17,jock,Imperial K.K.,oui oui,villager-cousteau,https://villagerdb.com/images/villagers/thumb/cousteau.b3e4f1a.png
117,cranston,Cranston,male,ostrich,9-23,lazy,Steep Hill,sweatband,villager-cranston,https://villagerdb.com/images/villagers/thumb/cranston.6bc9c9d.png
118,croque,Croque,male,frog,7-18,cranky,K.K. Jongara,as if,villager-croque,https://villagerdb.com/images/villagers/thumb/croque.8e96dcf.png
119,cube,Cube,male,penguin,1-29,lazy,K.K. Technopop,d-d-dude,villager-cube,https://villagerdb.com/images/villagers/thumb/cube.73bb409.png
121,curlos,Curlos,male,sheep,5-8,smug,K.K. Samba,shearly,villager-curlos,https://villagerdb.com/images/villagers/thumb/curlos.9ec1681.png
122,curly,Curly,male,pig,7-26,jock,K.K. Reggae,nyoink,villager-curly,https://villagerdb.com/images/villagers/thumb/curly.1905df0.png
123,curt,Curt,male,bear,7-1,cranky,K.K. Lament,fuzzball,villager-curt,https://villagerdb.com/images/villagers/thumb/curt.74f2089.png
124,cyd,Cyd,male,elephant,6-9,cranky,NA,rockin',villager-cyd,https://villagerdb.com/images/villagers/thumb/cyd.b0f5164.png
125,cyrano,Cyrano,male,anteater,3-9,cranky,K.K. Faire,ah-CHOO,villager-cyrano,https://villagerdb.com/images/villagers/thumb/cyrano.b6e3e44.png
126,daisy,Daisy,female,dog,11-16,normal,K.K. Soul,bow-WOW,villager-daisy,https://villagerdb.com/images/villagers/thumb/daisy.21f8556.png
127,deena,Deena,female,duck,6-27,normal,Mr. K.K.,sugarbill,villager-deena,https://villagerdb.com/images/villagers/thumb/deena.cfc6bc6.png
128,deirdre,Deirdre,female,deer,5-4,uchi,K.K. Cruisin',whatevs,villager-deirdre,https://villagerdb.com/images/villagers/thumb/deirdre.61725d1.png
129,del,Del,male,alligator,5-27,cranky,K.K. March,gronk,villager-del,https://villagerdb.com/images/villagers/thumb/del.5f28b25.png
130,deli,Deli,male,monkey,5-24,lazy,K.K. Marathon,monch,villager-deli,https://villagerdb.com/images/villagers/thumb/deli.25ac023.png
131,derwin,Derwin,male,duck,5-25,lazy,The K. Funk,derrrrr,villager-derwin,https://villagerdb.com/images/villagers/thumb/derwin.1102d1e.png
132,diana,Diana,female,deer,1-4,snooty,Stale Cupcakes,no doy,villager-diana,https://villagerdb.com/images/villagers/thumb/diana.48878b0.png
133,diva,Diva,female,frog,10-2,uchi,K.K.  Bazaar,ya know,villager-diva,https://villagerdb.com/images/villagers/thumb/diva.68bc832.png
134,dizzy,Dizzy,male,elephant,7-14,lazy,K.K. Gumbo,woo-oo,villager-dizzy,https://villagerdb.com/images/villagers/thumb/dizzy.d678c76.png
135,dobie,Dobie,male,wolf,2-17,cranky,K.K. Lament,ohmmm,villager-dobie,https://villagerdb.com/images/villagers/thumb/dobie.2baed03.png
136,doc,Doc,male,rabbit,3-16,lazy,Pondering,ol' bunny,villager-doc,https://villagerdb.com/images/villagers/thumb/doc.b0b8f78.png
137,dom,Dom,male,sheep,3-18,jock,NA,indeedaroo,villager-dom,https://villagerdb.com/images/villagers/thumb/dom.d8bbaf2.png
138,dora,Dora,female,mouse,2-18,normal,Only Me,squeaky,villager-dora,https://villagerdb.com/images/villagers/thumb/dora.c72494d.png
139,dotty,Dotty,female,rabbit,3-14,peppy,K.K. Technopop,wee one,villager-dotty,https://villagerdb.com/images/villagers/thumb/dotty.f526931.png
141,drago,Drago,male,alligator,2-12,lazy,Imperial K.K.,burrrn,villager-drago,https://villagerdb.com/images/villagers/thumb/drago.168853c.png
142,drake,Drake,male,duck,6-25,lazy,K.K. Blues,quacko,villager-drake,https://villagerdb.com/images/villagers/thumb/drake.2cec2ff.png
143,drift,Drift,male,frog,10-9,jock,K.K. Country,brah,villager-drift,https://villagerdb.com/images/villagers/thumb/drift.8959814.png
144,ed,Ed,male,horse,9-16,smug,K.K. Ballad,greenhorn,villager-ed,https://villagerdb.com/images/villagers/thumb/ed.10248fb.png
145,egbert,Egbert,male,chicken,10-14,lazy,K.K. Technopop,doodle-duh,villager-egbert,https://villagerdb.com/images/villagers/thumb/egbert.e261253.png
147,elise,Elise,female,monkey,3-21,snooty,Neapolitan,puh-lease,villager-elise,https://villagerdb.com/images/villagers/thumb/elise.aa507f1.png
148,ellie,Ellie,female,elephant,5-12,normal,Cafe K.K.,wee one,villager-ellie,https://villagerdb.com/images/villagers/thumb/ellie.5a144a6.png
149,elmer,Elmer,male,horse,10-5,lazy,K.K. Waltz,tenderfoot,villager-elmer,https://villagerdb.com/images/villagers/thumb/elmer.cc7df52.png
150,eloise,Eloise,female,elephant,12-8,snooty,K.K. Jazz,tooooot,villager-eloise,https://villagerdb.com/images/villagers/thumb/eloise.112208b.png
151,elvis,Elvis,male,lion,7-23,cranky,K.K. Casbah,unh-hunh,villager-elvis,https://villagerdb.com/images/villagers/thumb/elvis.57d4757.png
154,erik,Erik,male,deer,7-27,lazy,Neapolitan,chow down,villager-erik,https://villagerdb.com/images/villagers/thumb/erik.634470d.png
156,eugene,Eugene,male,koala,10-26,smug,K.K. Cruisin',yeah buddy,villager-eugene,https://villagerdb.com/images/villagers/thumb/eugene.bf0f034.png
157,eunice,Eunice,female,sheep,4-3,normal,K.K. Waltz,lambchop,villager-eunice,https://villagerdb.com/images/villagers/thumb/eunice.d41ea5b.png
159,fang,Fang,male,wolf,12-18,cranky,K.K. Calypso,cha-chomp,villager-fang,https://villagerdb.com/images/villagers/thumb/fang.d57ed2d.png
160,fauna,Fauna,female,deer,3-26,normal,K.K. Stroll,dearie,villager-fauna,https://villagerdb.com/images/villagers/thumb/fauna.c2822f0.png
161,felicity,Felicity,female,cat,3-30,peppy,K.K. Lullaby,mimimi,villager-felicity,https://villagerdb.com/images/villagers/thumb/felicity.3d1588b.png
163,filbert,Filbert,male,squirrel,6-3,lazy,Two Days Ago,bucko,villager-filbert,https://villagerdb.com/images/villagers/thumb/filbert.6af9047.png
166,flip,Flip,male,monkey,11-21,jock,K.K. Rally,rerack,villager-flip,https://villagerdb.com/images/villagers/thumb/flip.cea8f6a.png
167,flo,Flo,female,penguin,9-2,uchi,Space K.K.,cha,villager-flo,https://villagerdb.com/images/villagers/thumb/flo.e6f3a67.png
168,flora,Flora,female,ostrich,2-9,peppy,K.K. Flamenco,pinky,villager-flora,https://villagerdb.com/images/villagers/thumb/flora.b45e15f.png
170,flurry,Flurry,female,hamster,1-30,normal,Hypno K.K.,powderpuff,villager-flurry,https://villagerdb.com/images/villagers/thumb/flurry.51964e7.png
171,francine,Francine,female,rabbit,1-22,snooty,I Love You,karat,villager-francine,https://villagerdb.com/images/villagers/thumb/francine.5987d9c.png
172,frank,Frank,male,eagle,7-30,cranky,K.K. Casbah,crushy,villager-frank,https://villagerdb.com/images/villagers/thumb/frank.7bf1286.png
173,freckles,Freckles,female,duck,2-19,peppy,K.K. Song,ducky,villager-freckles,https://villagerdb.com/images/villagers/thumb/freckles.75c6f56.png
174,freya,Freya,female,wolf,12-14,snooty,Rockin' K.K.,uff da,villager-freya,https://villagerdb.com/images/villagers/thumb/freya.7664fac.png
175,friga,Friga,female,penguin,10-16,snooty,K.K. Tango,brrmph,villager-friga,https://villagerdb.com/images/villagers/thumb/friga.cefe559.png
176,frita,Frita,female,sheep,7-16,uchi,K.K. Rockabilly,oh ewe,villager-frita,https://villagerdb.com/images/villagers/thumb/frita.2aeae4c.png
177,frobert,Frobert,male,frog,2-8,jock,My Place,fribbit,villager-frobert,https://villagerdb.com/images/villagers/thumb/frobert.8f7ac2b.png
179,fuchsia,Fuchsia,female,deer,9-19,uchi,K.K. Rock,girlfriend,villager-fuchsia,https://villagerdb.com/images/villagers/thumb/fuchsia.49018bf.png
180,gabi,Gabi,female,rabbit,12-16,peppy,K.K. Love Song,honeybun,villager-gabi,https://villagerdb.com/images/villagers/thumb/gabi.d051104.png
181,gala,Gala,female,pig,3-5,normal,Two Days Ago,snortie,villager-gala,https://villagerdb.com/images/villagers/thumb/gala.210a5e4.png
183,gaston,Gaston,male,rabbit,10-28,cranky,K.K. Dirge,mon chou,villager-gaston,https://villagerdb.com/images/villagers/thumb/gaston.180e0ab.png
184,gayle,Gayle,female,alligator,5-17,normal,Bubblegum K.K.,snacky,villager-gayle,https://villagerdb.com/images/villagers/thumb/gayle.1e71dc2.png
186,genji,Genji,male,rabbit,1-21,jock,King K.K.,otaku,villager-genji,https://villagerdb.com/images/villagers/thumb/genji.2238f1d.png
187,gigi,Gigi,female,frog,8-11,snooty,Only Me,ribette,villager-gigi,https://villagerdb.com/images/villagers/thumb/gigi.d3e4caf.png
188,gladys,Gladys,female,ostrich,1-15,normal,K.K. Folk,stretch,villager-gladys,https://villagerdb.com/images/villagers/thumb/gladys.0306b19.png
189,gloria,Gloria,female,duck,8-12,snooty,K.K. Milonga,quacker,villager-gloria,https://villagerdb.com/images/villagers/thumb/gloria.dea9ef2.png
190,goldie,Goldie,female,dog,12-27,normal,K.K. Bossa,woof,villager-goldie,https://villagerdb.com/images/villagers/thumb/goldie.c53a01b.png
191,gonzo,Gonzo,male,koala,10-13,cranky,K.K. D & B,mate,villager-gonzo,https://villagerdb.com/images/villagers/thumb/gonzo.e10c457.png
192,goose,Goose,male,chicken,10-4,jock,K.K. Country,buh-kay,villager-goose,https://villagerdb.com/images/villagers/thumb/goose.2871e8a.png
193,graham,Graham,male,hamster,6-20,smug,Bubblegum K.K.,Indeed,villager-graham,https://villagerdb.com/images/villagers/thumb/graham.f4b3a2e.png
194,greta,Greta,female,mouse,9-5,snooty,K.K. Jongara,yelp,villager-greta,https://villagerdb.com/images/villagers/thumb/greta.ab98e06.png
195,grizzly,Grizzly,male,bear,7-31,cranky,K.K. Dirge,grrr,villager-grizzly,https://villagerdb.com/images/villagers/thumb/grizzly.daf5928.png
196,groucho,Groucho,male,bear,10-23,cranky,K.K. Metal,grumble,villager-groucho,https://villagerdb.com/images/villagers/thumb/groucho.4178052.png
197,gruff,Gruff,male,goat,8-29,cranky,K.K. Rockabilly,bleh eh eh,villager-gruff,https://villagerdb.com/images/villagers/thumb/gruff.0ae77c0.png
198,gwen,Gwen,female,penguin,1-23,snooty,Drivin',h-h-hon,villager-gwen,https://villagerdb.com/images/villagers/thumb/gwen.5368258.png
200,hamlet,Hamlet,male,hamster,5-30,jock,K.K. Reggae,hammie,villager-hamlet,https://villagerdb.com/images/villagers/thumb/hamlet.9f3e819.png
201,hamphrey,Hamphrey,male,hamster,2-25,cranky,K.K. Rally,snort,villager-hamphrey,https://villagerdb.com/images/villagers/thumb/hamphrey.744a3e2.png
203,hans,Hans,male,gorilla,12-5,smug,K.K. D & B,groovy,villager-hans,https://villagerdb.com/images/villagers/thumb/hans.d5d5d34.png
204,harry,Harry,male,hippo,1-7,cranky,K.K. Calypso,beach bum,villager-harry,https://villagerdb.com/images/villagers/thumb/harry.886f4e0.png
206,hazel2,Hazel,female,squirrel,8-30,uchi,K.K. Disco,uni-wow,villager-hazel2,https://villagerdb.com/images/villagers/thumb/hazel2.576d6ec.png
208,henry,Henry,male,frog,9-21,smug,K.K. Soul,snoozit,villager-henry,https://villagerdb.com/images/villagers/thumb/henry.7b8f297.png
209,hippeux,Hippeux,male,hippo,10-15,smug,K.K. Moody,Natch,villager-hippeux,https://villagerdb.com/images/villagers/thumb/hippeux.5deabda.png
211,hopkins,Hopkins,male,rabbit,3-11,lazy,I Love You,thumper,villager-hopkins,https://villagerdb.com/images/villagers/thumb/hopkins.5cefcea.png
212,hopper,Hopper,male,penguin,4-6,cranky,Lucky K.K.,slushie,villager-hopper,https://villagerdb.com/images/villagers/thumb/hopper.07bc6e4.png
213,hornsby,Hornsby,male,rhino,3-20,lazy,K.K. Lament,schnozzle,villager-hornsby,https://villagerdb.com/images/villagers/thumb/hornsby.fa9963e.png
214,huck,Huck,male,frog,7-9,smug,I Love You,hopper,villager-huck,https://villagerdb.com/images/villagers/thumb/huck.94c3b04.png
216,hugh,Hugh,male,pig,12-30,lazy,K.K. Mambo,snortle,villager-hugh,https://villagerdb.com/images/villagers/thumb/hugh.ff4a1b5.png
217,iggly,Iggly,male,penguin,11-2,jock,K.K. March,waddler,villager-iggly,https://villagerdb.com/images/villagers/thumb/iggly.a20a7ec.png
219,ike,Ike,male,bear,5-16,cranky,K.K. Rock,bowes,villager-ike,https://villagerdb.com/images/villagers/thumb/ike.ca79022.png
221,jacob,Jacob,male,bird,8-24,lazy,K.K. Song,Chuuuuurp,villager-jacob,https://villagerdb.com/images/villagers/thumb/jacob.bca60b9.png
222,jacques,Jacques,male,bird,6-22,smug,K.K. House,zut alors,villager-jacques,https://villagerdb.com/images/villagers/thumb/jacques.5cead74.png
223,jambette,Jambette,female,frog,10-27,normal,K.K. Country,croak-kay,villager-jambette,https://villagerdb.com/images/villagers/thumb/jambette.9aa374a.png
225,jay,Jay,male,bird,7-17,jock,K.K. Waltz,heeeeeyy,villager-jay,https://villagerdb.com/images/villagers/thumb/jay.67eb780.png
226,jeremiah,Jeremiah,male,frog,7-8,lazy,K.K. Mambo,nee-deep,villager-jeremiah,https://villagerdb.com/images/villagers/thumb/jeremiah.72ea500.png
227,jitters,Jitters,male,bird,2-2,jock,K.K. Samba,bzzert,villager-jitters,https://villagerdb.com/images/villagers/thumb/jitters.2c93771.png
