county_fips_code,county_name,state_name,state_abbreviation
8121,Washington County,Colorado,CO
8123,Weld County,Colorado,CO
8125,Yuma County,Colorado,CO
9001,Fairfield County,Connecticut,CT
9003,Hartford County,Connecticut,CT
9005,Litchfield County,Connecticut,CT
9007,Middlesex County,Connecticut,CT
9009,New Haven County,Connecticut,CT
9011,New London County,Connecticut,CT
9013,Tolland County,Connecticut,CT
9015,Windham County,Connecticut,CT
10001,Kent County,Delaware,DE
10003,New Castle County,Delaware,DE
10005,Sussex County,Delaware,DE
11001,District of Columbia,District of Columbia,DC
12001,Alachua County,Florida,FL
12003,Baker County,Florida,FL
12005,Bay County,Florida,FL
12007,Bradford County,Florida,FL
12009,Brevard County,Florida,FL
12011,Broward County,Florida,FL
12013,Calhoun County,Florida,FL
12015,Charlotte County,Florida,FL
12017,Citrus County,Florida,FL
12019,Clay County,Florida,FL
12021,Collier County,Florida,FL
12023,Columbia County,Florida,FL
12027,DeSoto County,Florida,FL
12029,Dixie County,Florida,FL
12031,Duval County,Florida,FL
12033,Escambia County,Florida,FL
12035,Flagler County,Florida,FL
12037,Franklin County,Florida,FL
12039,Gadsden County,Florida,FL
12041,Gilchrist County,Florida,FL
12043,Glades County,Florida,FL
12045,Gulf County,Florida,FL
12047,Hamilton County,Florida,FL
12049,Hardee County,Florida,FL
12051,Hendry County,Florida,FL
12053,Hernando County,Florida,FL
12055,Highlands County,Florida,FL
12057,Hillsborough County,Florida,FL
12059,Holmes County,Florida,FL
12061,Indian River County,Florida,FL
12063,Jackson County,Florida,FL
12065,Jefferson County,Florida,FL
12067,Lafayette County,Florida,FL
12069,Lake County,Florida,FL
12071,Lee County,Florida,FL
12073,Leon County,Florida,FL
12075,Levy County,Florida,FL
12077,Liberty County,Florida,FL
12079,Madison County,Florida,FL
12081,Manatee County,Florida,FL
12083,Marion County,Florida,FL
12085,Martin County,Florida,FL
12086,Miami-Dade County,Florida,FL
12087,Monroe County,Florida,FL
12089,Nassau County,Florida,FL
12091,Okaloosa County,Florida,FL
12093,Okeechobee County,Florida,FL
12095,Orange County,Florida,FL
12097,Osceola County,Florida,FL
12099,Palm Beach County,Florida,FL
12101,Pasco County,Florida,FL
12103,Pinellas County,Florida,FL
12105,Polk County,Florida,FL
12107,Putnam County,Florida,FL
12109,St. Johns County,Florida,FL
12111,St. Lucie County,Florida,FL
12113,Santa Rosa County,Florida,FL
12115,Sarasota County,Florida,FL
12117,Seminole County,Florida,FL
12119,Sumter County,Florida,FL
12121,Suwannee County,Florida,FL
12123,Taylor County,Florida,FL
12125,Union County,Florida,FL
12127,Volusia County,Florida,FL
12129,Wakulla County,Florida,FL
12131,Walton County,Florida,FL
12133,Washington County,Florida,FL
13001,Appling County,Georgia,GA
13003,Atkinson County,Georgia,GA
13005,Bacon County,Georgia,GA
13007,Baker County,Georgia,GA
13009,Baldwin County,Georgia,GA
13011,Banks County,Georgia,GA
13013,Barrow County,Georgia,GA
13015,Bartow County,Georgia,GA
13017,Ben Hill County,Georgia,GA
13019,Berrien County,Georgia,GA
13021,Bibb County,Georgia,GA
13023,Bleckley County,Georgia,GA
13025,Brantley County,Georgia,GA
13027,Brooks County,Georgia,GA
13029,Bryan County,Georgia,GA
13031,Bulloch County,Georgia,GA
13033,Burke County,Georgia,GA
13035,Butts County,Georgia,GA
13037,Calhoun County,Georgia,GA
13039,Camden County,Georgia,GA
13043,Candler County,Georgia,GA
13045,Carroll County,Georgia,GA
13047,Catoosa County,Georgia,GA
13049,Charlton County,Georgia,GA
13051,Chatham County,Georgia,GA
13053,Chattahoochee County,Georgia,GA
13055,Chattooga County,Georgia,GA
13057,Cherokee County,Georgia,GA
13059,Clarke County,Georgia,GA
13061,Clay County,Georgia,GA
13063,Clayton County,Georgia,GA
13065,Clinch County,Georgia,GA
13067,Cobb County,Georgia,GA
13069,Coffee County,Georgia,GA
13071,Colquitt County,Georgia,GA
13073,Columbia County,Georgia,GA
13075,Cook County,Georgia,GA
13077,Coweta County,Georgia,GA
13079,Crawford County,Georgia,GA
13081,Crisp County,Georgia,GA
13083,Dade County,Georgia,GA
13085,Dawson County,Georgia,GA
13087,Decatur County,Georgia,GA
13089,DeKalb County,Georgia,GA
13091,Dodge County,Georgia,GA
13093,Dooly County,Georgia,GA
13095,Dougherty County,Georgia,GA
13097,Douglas County,Georgia,GA
13099,Early County,Georgia,GA
13101,Echols County,Georgia,GA
13103,Effingham County,Georgia,GA
13105,Elbert County,Georgia,GA
13107,Emanuel County,Georgia,GA
13109,Evans County,Georgia,GA
13111,Fannin County,Georgia,GA
13113,Fayette County,Georgia,GA
13115,Floyd County,Georgia,GA
13117,Forsyth County,Georgia,GA
13119,Franklin County,Georgia,GA
13121,Fulton County,Georgia,GA
13123,Gilmer County,Georgia,GA
13125,Glascock County,Georgia,GA
13127,Glynn County,Georgia,GA
13129,Gordon County,Georgia,GA
13131,Grady County,Georgia,GA
13133,Greene County,Georgia,GA
13135,Gwinnett County,Georgia,GA
13137,Habersham County,Georgia,GA
13139,Hall County,Georgia,GA
13141,Hancock County,Georgia,GA
13143,Haralson County,Georgia,GA
13145,Harris County,Georgia,GA
13147,Hart County,Georgia,GA
13149,Heard County,Georgia,GA
13151,Henry County,Georgia,GA
13153,Houston County,Georgia,GA
13155,Irwin County,Georgia,GA
13157,Jackson County,Georgia,GA
13159,Jasper County,Georgia,GA
13161,Jeff Davis County,Georgia,GA
13163,Jefferson County,Georgia,GA
13165,Jenkins County,Georgia,GA
13167,Johnson County,Georgia,GA
13169,Jones County,Georgia,GA
13171,Lamar County,Georgia,GA
13173,Lanier County,Georgia,GA
13175,Laurens County,Georgia,GA
13177,Lee County,Georgia,GA
13179,Liberty County,Georgia,GA
13181,Lincoln County,Georgia,GA
13183,Long County,Georgia,GA
13185,Lowndes County,Georgia,GA
13187,Lumpkin County,Georgia,GA
13189,McDuffie County,Georgia,GA
13191,McIntosh County,Georgia,GA
13193,Macon County,Georgia,GA
13195,Madison County,Georgia,GA
13197,Marion County,Georgia,GA
13199,Meriwether County,Georgia,GA
13201,Miller County,Georgia,GA
13205,Mitchell County,Georgia,GA
13207,Monroe County,Georgia,GA
13209,Montgomery County,Georgia,GA
13211,Morgan County,Georgia,GA
13213,Murray County,Georgia,GA
13215,Muscogee County,Georgia,GA
13217,Newton County,Georgia,GA
13219,Oconee County,Georgia,GA
13221,Oglethorpe County,Georgia,GA
13223,Paulding County,Georgia,GA
13225,Peach County,Georgia,GA
13227,Pickens County,Georgia,GA
13229,Pierce County,Georgia,GA
13231,Pike County,Georgia,GA
13233,Polk County,Georgia,GA
13235,Pulaski County,Georgia,GA
13237,Putnam County,Georgia,GA
13239,Quitman County,Georgia,GA
13241,Rabun County,Georgia,GA
13243,Randolph County,Georgia,GA
13245,Richmond County,Georgia,GA
13247,Rockdale County,Georgia,GA
13249,Schley County,Georgia,GA
13251,Screven County,Georgia,GA
13253,Seminole County,Georgia,GA
13255,Spalding County,Georgia,GA
13257,Stephens County,Georgia,GA
13259,Stewart County,Georgia,GA
13261,Sumter County,Georgia,GA
13263,Talbot County,Georgia,GA
13265,Taliaferro County,Georgia,GA
13267,Tattnall County,Georgia,GA
13269,Taylor County,Georgia,GA
13271,Telfair County,Georgia,GA
13273,Terrell County,Georgia,GA
13275,Thomas County,Georgia,GA
13277,Tift County,Georgia,GA
13279,Toombs County,Georgia,GA
13281,Towns County,Georgia,GA
13283,Treutlen County,Georgia,GA
13285,Troup County,Georgia,GA
13287,Turner County,Georgia,GA
13289,Twiggs County,Georgia,GA
13291,Union County,Georgia,GA
13293,Upson County,Georgia,GA
13295,Walker County,Georgia,GA
13297,Walton County,Georgia,GA
13299,Ware County,Georgia,GA
13301,Warren County,Georgia,GA
13303,Washington County,Georgia,GA
13305,Wayne County,Georgia,GA
13307,Webster County,Georgia,GA
13309,Wheeler County,Georgia,GA
13311,White County,Georgia,GA
13313,Whitfield County,Georgia,GA
13315,Wilcox County,Georgia,GA
13317,Wilkes County,Georgia,GA
13319,Wilkinson County,Georgia,GA
13321,Worth County,Georgia,GA
15001,Hawaii County,Hawaii,HI
15003,Honolulu County,Hawaii,HI
15005,Kalawao County,Hawaii,HI
15007,Kauai County,Hawaii,HI
15009,Maui County,Hawaii,HI
16001,Ada County,Idaho,ID
16003,Adams County,Idaho,ID
16005,Bannock County,Idaho,ID
16007,Bear Lake County,Idaho,ID
16009,Benewah County,Idaho,ID
16011,Bingham County,Idaho,ID
16013,Blaine County,Idaho,ID
16015,Boise County,Idaho,ID
16017,Bonner County,Idaho,ID
16019,Bonneville County,Idaho,ID
16021,Boundary County,Idaho,ID
16023,Butte County,Idaho,ID
16025,Camas County,Idaho,ID
16027,Canyon County,Idaho,ID
16029,Caribou County,Idaho,ID
16031,Cassia County,Idaho,ID
16033,Clark County,Idaho,ID
16035,Clearwater County,Idaho,ID
16037,Custer County,Idaho,ID
16039,Elmore County,Idaho,ID
16041,Franklin County,Idaho,ID
16043,Fremont County,Idaho,ID
16045,Gem County,Idaho,ID
16047,Gooding County,Idaho,ID
16049,Idaho County,Idaho,ID
16051,Jefferson County,Idaho,ID
16053,Jerome County,Idaho,ID
16055,Kootenai County,Idaho,ID
16057,Latah County,Idaho,ID
16059,Lemhi County,Idaho,ID
16061,Lewis County,Idaho,ID
16063,Lincoln County,Idaho,ID
16065,Madison County,Idaho,ID
16067,Minidoka County,Idaho,ID
16069,Nez Perce County,Idaho,ID
16071,Oneida County,Idaho,ID
16073,Owyhee County,Idaho,ID
16075,Payette County,Idaho,ID
16077,Power County,Idaho,ID
16079,Shoshone County,Idaho,ID
16081,Teton County,Idaho,ID
16083,Twin Falls County,Idaho,ID
16085,Valley County,Idaho,ID
16087,Washington County,Idaho,ID
17001,Adams County,Illinois,IL
17003,Alexander County,Illinois,IL
17005,Bond County,Illinois,IL
17007,Boone County,Illinois,IL
17009,Brown County,Illinois,IL
17011,Bureau County,Illinois,IL
17013,Calhoun County,Illinois,IL
17015,Carroll County,Illinois,IL
17017,Cass County,Illinois,IL
17019,Champaign County,Illinois,IL
17021,Christian County,Illinois,IL
17023,Clark County,Illinois,IL
17025,Clay County,Illinois,IL
17027,Clinton County,Illinois,IL
17029,Coles County,Illinois,IL
17031,Cook County,Illinois,IL
17033,Crawford County,Illinois,IL
17035,Cumberland County,Illinois,IL
17037,DeKalb County,Illinois,IL
17039,De Witt County,Illinois,IL
17041,Douglas County,Illinois,IL
17043,DuPage County,Illinois,IL
17045,Edgar County,Illinois,IL
17047,Edwards County,Illinois,IL
17049,Effingham County,Illinois,IL
17051,Fayette County,Illinois,IL
17053,Ford County,Illinois,IL
17055,Franklin County,Illinois,IL
17057,Fulton County,Illinois,IL
17059,Gallatin County,Illinois,IL
17061,Greene County,Illinois,IL
17063,Grundy County,Illinois,IL
17065,Hamilton County,Illinois,IL
17067,Hancock County,Illinois,IL
17069,Hardin County,Illinois,IL
17071,Henderson County,Illinois,IL
17073,Henry County,Illinois,IL
17075,Iroquois County,Illinois,IL
17077,Jackson County,Illinois,IL
17079,Jasper County,Illinois,IL
17081,Jefferson County,Illinois,IL
17083,Jersey County,Illinois,IL
17085,Jo Daviess County,Illinois,IL
17087,Johnson County,Illinois,IL
17089,Kane County,Illinois,IL
17091,Kankakee County,Illinois,IL
17093,Kendall County,Illinois,IL
17095,Knox County,Illinois,IL
17097,Lake County,Illinois,IL
17099,LaSalle County,Illinois,IL
17101,Lawrence County,Illinois,IL
17103,Lee County,Illinois,IL
17105,Livingston County,Illinois,IL
17107,Logan County,Illinois,IL
17109,McDonough County,Illinois,IL
17111,McHenry County,Illinois,IL
17113,McLean County,Illinois,IL
17115,Macon County,Illinois,IL
17117,Macoupin County,Illinois,IL
17119,Madison County,Illinois,IL
17121,Marion County,Illinois,IL
17123,Marshall County,Illinois,IL
17125,Mason County,Illinois,IL
17127,Massac County,Illinois,IL
17129,Menard County,Illinois,IL
17131,Mercer County,Illinois,IL
17133,Monroe County,Illinois,IL
17135,Montgomery County,Illinois,IL
17137,Morgan County,Illinois,IL
17139,Moultrie County,Illinois,IL
17141,Ogle County,Illinois,IL
17143,Peoria County,Illinois,IL
17145,Perry County,Illinois,IL
17147,Piatt County,Illinois,IL
17149,Pike County,Illinois,IL
17151,Pope County,Illinois,IL
17153,Pulaski County,Illinois,IL
17155,Putnam County,Illinois,IL
17157,Randolph County,Illinois,IL
17159,Richland County,Illinois,IL
17161,Rock Island County,Illinois,IL
17163,St. Clair County,Illinois,IL
17165,Saline County,Illinois,IL
17167,Sangamon County,Illinois,IL
17169,Schuyler County,Illinois,IL
17171,Scott County,Illinois,IL
17173,Shelby County,Illinois,IL
17175,Stark County,Illinois,IL
17177,Stephenson County,Illinois,IL
17179,Tazewell County,Illinois,IL
17181,Union County,Illinois,IL
17183,Vermilion County,Illinois,IL
17185,Wabash County,Illinois,IL
17187,Warren County,Illinois,IL
17189,Washington County,Illinois,IL
17191,Wayne County,Illinois,IL
17193,White County,Illinois,IL
17195,Whiteside County,Illinois,IL
17197,Will County,Illinois,IL
17199,Williamson County,Illinois,IL
17201,Winnebago County,Illinois,IL
17203,Woodford County,Illinois,IL
18001,Adams County,Indiana,IN
18003,Allen County,Indiana,IN
18005,Bartholomew County,Indiana,IN
18007,Benton County,Indiana,IN
18009,Blackford County,Indiana,IN
18011,Boone County,Indiana,IN
18013,Brown County,Indiana,IN
18015,Carroll County,Indiana,IN
18017,Cass County,Indiana,IN
18019,Clark County,Indiana,IN
18021,Clay County,Indiana,IN
18023,Clinton County,Indiana,IN
18025,Crawford County,Indiana,IN
18027,Daviess County,Indiana,IN
18029,Dearborn County,Indiana,IN
18031,Decatur County,Indiana,IN
18033,DeKalb County,Indiana,IN
18035,Delaware County,Indiana,IN
18037,Dubois County,Indiana,IN
18039,Elkhart County,Indiana,IN
18041,Fayette County,Indiana,IN
18043,Floyd County,Indiana,IN
18045,Fountain County,Indiana,IN
18047,Franklin County,Indiana,IN
18049,Fulton County,Indiana,IN
18051,Gibson County,Indiana,IN
18053,Grant County,Indiana,IN
18055,Greene County,Indiana,IN
18057,Hamilton County,Indiana,IN
18059,Hancock County,Indiana,IN
18061,Harrison County,Indiana,IN
18063,Hendricks County,Indiana,IN
18065,Henry County,Indiana,IN
18067,Howard County,Indiana,IN
18069,Huntington County,Indiana,IN
18071,Jackson County,Indiana,IN
18073,Jasper County,Indiana,IN
18075,Jay County,Indiana,IN
18077,Jefferson County,Indiana,IN
18079,Jennings County,Indiana,IN
18081,Johnson County,Indiana,IN
18083,Knox County,Indiana,IN
18085,Kosciusko County,Indiana,IN
18087,LaGrange County,Indiana,IN
18089,Lake County,Indiana,IN
18091,LaPorte County,Indiana,IN
18093,Lawrence County,Indiana,IN
18095,Madison County,Indiana,IN
18097,Marion County,Indiana,IN
18099,Marshall County,Indiana,IN
18101,Martin County,Indiana,IN
18103,Miami County,Indiana,IN
18105,Monroe County,Indiana,IN
18107,Montgomery County,Indiana,IN
18109,Morgan County,Indiana,IN
18111,Newton County,Indiana,IN
18113,Noble County,Indiana,IN
18115,Ohio County,Indiana,IN
18117,Orange County,Indiana,IN
18119,Owen County,Indiana,IN
18121,Parke County,Indiana,IN
18123,Perry County,Indiana,IN
18125,Pike County,Indiana,IN
18127,Porter County,Indiana,IN
18129,Posey County,Indiana,IN
18131,Pulaski County,Indiana,IN
18133,Putnam County,Indiana,IN
18135,Randolph County,Indiana,IN
18137,Ripley County,Indiana,IN
18139,Rush County,Indiana,IN
18141,St. Joseph County,Indiana,IN
18143,Scott County,Indiana,IN
18145,Shelby County,Indiana,IN
18147,Spencer County,Indiana,IN
18149,Starke County,Indiana,IN
18151,Steuben County,Indiana,IN
18153,Sullivan County,Indiana,IN
18155,Switzerland County,Indiana,IN
18157,Tippecanoe County,Indiana,IN
18159,Tipton County,Indiana,IN
18161,Union County,Indiana,IN
18163,Vanderburgh County,Indiana,IN
18165,Vermillion County,Indiana,IN
18167,Vigo County,Indiana,IN
18169,Wabash County,Indiana,IN
18171,Warren County,Indiana,IN
18173,Warrick County,Indiana,IN
18175,Washington County,Indiana,IN
18177,Wayne County,Indiana,IN
18179,Wells County,Indiana,IN
18181,White County,Indiana,IN
18183,Whitley County,Indiana,IN
19001,Adair County,Iowa,IA
19003,Adams County,Iowa,IA
19005,Allamakee County,Iowa,IA
19007,Appanoose County,Iowa,IA
19009,Audubon County,Iowa,IA
19011,Benton County,Iowa,IA
19013,Black Hawk County,Iowa,IA
19015,Boone County,Iowa,IA
19017,Bremer County,Iowa,IA
19019,Buchanan County,Iowa,IA
19021,Buena Vista County,Iowa,IA
19023,Butler County,Iowa,IA
19025,Calhoun County,Iowa,IA
19027,Carroll County,Iowa,IA
19029,Cass County,Iowa,IA
19031,Cedar County,Iowa,IA
19033,Cerro Gordo County,Iowa,IA
19035,Cherokee County,Iowa,IA
19037,Chickasaw County,Iowa,IA
19039,Clarke County,Iowa,IA
19041,Clay County,Iowa,IA
19043,Clayton County,Iowa,IA
19045,Clinton County,Iowa,IA
19047,Crawford County,Iowa,IA
19049,Dallas County,Iowa,IA
19051,Davis County,Iowa,IA
19053,Decatur County,Iowa,IA
