id,name,macroarea,latitude,longitude,iso639p3code,countries,is_isolate,family_id
pume1238,Pumé,NA,7.10677,-67.5996,yae,CO;VE,TRUE,NA
zuni1245,Zuni,NA,35.0056,-108.782,zun,US,TRUE,NA
puqu1242,Puquina,NA,-15.8992,-69.9611,puq,BO,TRUE,NA
guat1253,Guató,NA,-17.8696,-57.2897,gta,BR,TRUE,NA
sape1238,Sapé,NA,4.0735661,-62.9666521,spc,VE,TRUE,NA
waor1240,Waorani,NA,-1.12312,-76.683,auc,EC,TRUE,NA
mata1275,Matanawí,NA,-8.84331,-61.41594,NA,BR,TRUE,NA
vile1241,Vilela,NA,-24.9161,-62.52232,vil,AR,TRUE,NA
come1251,Comecrudan,North America,26.1333,-98.4667,xcm,MX,TRUE,NA
tana1288,Tanahmerah,NA,-2.5523,133.18,tcm,ID,TRUE,NA
wara1303,Warao,South America,7.50851,-59.3528,wba,GY;SR;VE,TRUE,NA
omur1241,Omurano,NA,-4.09028,-76.01,omu,PE,TRUE,NA
atac1235,Atacame,NA,0.834931,-79.778137,NA,EC,TRUE,NA
sali1253,Salinan,North America,36.18753,-121.05221,sln,US,TRUE,NA
bilu1245,Bilua,NA,-7.92388,156.663,blb,PG;SB,TRUE,NA
yama1264,Yámana,South America,-55.2748,-68.2648,yag,CL,TRUE,NA
tuni1252,Tunica,NA,30.9888,-92.5403,tun,US,TRUE,NA
etru1241,Etruscan,NA,41.9,12.4833,ett,IT,TRUE,NA
chit1248,Chitimacha,NA,30.3386,-90.9123,ctm,US,TRUE,NA
kehu1238,Kehu,NA,-3.19328,136.14,khh,ID,TRUE,NA
wiru1244,Wiru,NA,-6.35863,144.214,wiu,PG,TRUE,NA
kimk1238,Kimki,NA,-4.2742000000000004,140.884,sbt,ID,TRUE,NA
abun1252,Abun,Papunesia,-0.57073,132.416,kgr,ID,TRUE,NA
pira1253,Pirahã,South America,-6.77713,-61.8167,myp,BR,TRUE,NA
tabo1241,Tabo,Papunesia,-8.09387,143.305,knv,PG,TRUE,NA
umbu1235,Umbugarla,NA,-12.9325,131.825,umr,AU,TRUE,NA
cayu1241,Cayuse,NA,46.1136,-117.94,xcy,US,TRUE,NA
kara1497,Karami,NA,-7.13333,143.117,xar,PG,TRUE,NA
bang1363,Bangime,NA,14.8116,-3.77092,dba,ML,TRUE,NA
maku1246,Máku,NA,3.969231,-64.235892,xak,BR,TRUE,NA
rama1271,Ramanos,NA,-14.3019482,-67.3590894,NA,BO,TRUE,NA
xuku1239,Xukurú,South America,-8.6606156,-37.0869089,xoo,BR,TRUE,NA
mimi1240,Mimi-Gaudefroy,NA,13.827507,21.11324,NA,TD,TRUE,NA
anda1286,Andaqui,NA,2.74999,-76,ana,CO,TRUE,NA
boga1247,Bogaya,NA,-5.54487,142.255,boq,PG,TRUE,NA
wadj1254,Wadjiginy,Australia,-12.8596,130.737,wdj,AU,TRUE,NA
morb1239,Mor (Bomberai Peninsula),NA,-2.85747,132.845,moq,ID,TRUE,NA
burm1264,Burmeso,NA,-2.47582,138.203,bzu,ID,TRUE,NA
kusu1250,Kusunda,NA,28.33,82.6,kgg,NP,TRUE,NA
klam1254,Klamath-Modoc,NA,42.5861,-121.704,kla,US,TRUE,NA
aika1237,Aikanã,South America,-12.6695,-60.5353,tba,BR,TRUE,NA
kuja1239,Kujarge,NA,11.7473,22.1956,vkj,TD,TRUE,NA
fuyu1242,Fuyug,Papunesia,-8.6371,147.312,fuy,PG,TRUE,NA
kuot1243,Kuot,NA,-3.06952,151.537,kto,PG,TRUE,NA
kara1289,Karankawa,NA,28.9082,-96.4856,zkk,US,TRUE,NA
karo1304,Karuk,NA,41.8228,-123.315,kyh,US,TRUE,NA
guam1236,Guamo,South America,8.2351027,-67.4018753,NA,VE,TRUE,NA
kapo1250,Kapori,NA,-3.52696,139.766,khp,ID,TRUE,NA
pank1250,Pankararú,NA,-8.99999,-37.0167,paz,BR,TRUE,NA
taia1239,Taiap,NA,-4.05047,144.506,gpn,PG,TRUE,NA
tonk1249,Tonkawa,NA,30.25,-96.75,tqw,US,TRUE,NA
suar1238,Asabano,NA,-4.95072,141.978,seo,PG,TRUE,NA
muni1258,Muniche,NA,-5.7441796,-76.426712,myr,PE,TRUE,NA
chim1301,Chimariko,NA,41,-123,cid,US,TRUE,NA
yuch1247,Yuchi,NA,35.75,-86.75,yuc,US,TRUE,NA
papi1255,Papi,NA,-4.4725,142.011,ppe,PG,TRUE,NA
kute1249,Kutenai,NA,48.7892,-115.065,kut,CA;US,TRUE,NA
iber1250,Iberian,NA,40.624,0.212401,xib,ES,TRUE,NA
yuru1243,Yurumanguí,NA,3.436864,-76.522636,NA,CO,TRUE,NA
taru1236,Taruma,NA,1.666,-58.653,tdm,BR;GY,TRUE,NA
otii1244,Oti,NA,-24.3153231,-50.5580261,oti,BR,TRUE,NA
yale1246,Yale,NA,-3.79762,141.566,nce,PG,TRUE,NA
cayu1262,Cayubaba,NA,-13.2482,-65.4822,cyb,BO,TRUE,NA
demm1245,Dem,NA,-3.72183,137.632,dem,ID,TRUE,NA
usku1243,Usku,NA,-3.63853,140.502,ulf,ID,TRUE,NA
iton1250,Itonama,NA,-12.80431,-64.35748,ito,BO,TRUE,NA
abis1238,Aewa,NA,-1.284096,-75.084405,ash,PE,TRUE,NA
pele1245,Pele-Ata,Papunesia,-5.58045,151.05,ata,PG,TRUE,NA
basq1248,Basque,Eurasia,43.2787,-1.31622,eus,ES;FR,TRUE,NA
wage1238,Wageman,NA,-13.8627,131.893,waq,AU,TRUE,NA
tamb1257,Tambora,NA,-8.25,118,xxt,ID,TRUE,NA
tini1245,Tinigua,South America,2.716,-73.768,tit,CO,TRUE,NA
beot1247,Beothuk,NA,48,-57,bue,CA,TRUE,NA
duna1248,Duna,NA,-5.41439,142.475,duc,PG,TRUE,NA
elam1244,Elamite,NA,31.1833,48.2333,elx,IR,TRUE,NA
bert1248,Berta,Africa,10.6474,34.7042,wti,ET;SD,TRUE,NA
kunz1244,Kunza,NA,-23,-69,kuz,CL,TRUE,NA
movi1243,Movima,NA,-13.8115,-65.6348,mzp,BO,TRUE,NA
nara1262,Nara,Africa,15.3251,37.499,nrb,ER,TRUE,NA
fuln1247,Fulniô,South America,-9.02591,-37.1402,fun,BR,TRUE,NA
mato1253,Mato Grosso Arára,NA,-9.172609,-60.628867,axg,BR,TRUE,NA
kano1245,Kanoê,NA,-12.1789,-64.5812,kxo,BR,TRUE,NA
coto1248,Cotoname,NA,25.9116,-97.3956,xcn,MX,TRUE,NA
paez1247,Páez,South America,2.61516,-76.31254,pbb,CO,TRUE,NA
seri1257,Seri,NA,28.9877,-112.384,sei,MX,TRUE,NA
molo1262,Molof,NA,-3.41946,140.557,msl,ID,TRUE,NA
kolp1236,Kol (Papua New Guinea),Papunesia,-5.21042,151.583,kol,PG,TRUE,NA
urar1246,Urarina,NA,-4.44006,-75.4211,ura,PE,TRUE,NA
esse1238,Esselen,NA,36.5473,-121.867,esq,US,TRUE,NA
abin1243,Abinomn,NA,-2.92281,138.891,bsa,ID,TRUE,NA
timo1237,Timote-Cuica,South America,8.848165,-70.975342,NA,VE,TRUE,NA
hatt1246,Hattic,NA,40.4,34.6,xht,TR,TRUE,NA
iran1263,Irántxe-Münkü,South America,-12.7178,-57.9806,irn,BR,TRUE,NA
cull1235,Culli,NA,-7.878618,-78.116456,NA,PE,TRUE,NA
trum1247,Trumai,NA,-11.8119,-53.5717,tpy,BR,TRUE,NA
shab1252,Shabo,NA,7.64407,35.223,sbf,ET,TRUE,NA
yana1271,Yana,North America,39.2769,-121.608,ynn,US,TRUE,NA
odia1239,Odiai,NA,-3.82276,141.336,bhf,PG,TRUE,NA
chon1248,Chono,NA,-44.298692,-73.879395,NA,CL,TRUE,NA
sius1254,Siuslaw,NA,42.5111,-124.379,sis,US,TRUE,NA
pura1257,Purari,Papunesia,-7.59133,145.036,iar,PG,TRUE,NA
mure1235,Mure,NA,-13.636709,-62.2020909,NA,BO,TRUE,NA
niha1238,Nihali,NA,21.1886,76.3318,nll,IN,TRUE,NA
guai1237,Guaicurian,NA,24.1666666667,-110.3,NA,MX,TRUE,NA
mawe1251,Mawes,NA,-2.36944,139.752,mgk,ID,TRUE,NA
yuwa1244,Hoti,NA,5.63879,-65.4267,yau,VE,TRUE,NA
gaga1251,Gaagudju,NA,-12.5176,132.643,gbu,AU,TRUE,NA
mero1237,Meroitic,NA,16.9333,33.7333,xmr,SD,TRUE,NA
lara1258,Laragia,NA,-12.4111,130.922,lrg,AU,TRUE,NA
yera1243,Yerakai,NA,-4.28828,142.947,yra,PG,TRUE,NA
gule1241,Gule,NA,11.8336,33.6929,gly,SD,TRUE,NA
pawa1255,Pawaia,Papunesia,-6.88021,145.081,pwa,PG,TRUE,NA
natc1249,Natchez,NA,31.75,-91.33,ncz,US,TRUE,NA
moro1289,Marori,NA,-8.5692,140.688,mok,ID,TRUE,NA
ubyk1235,Ubykh,Eurasia,43.67,39.67,uby,TR,FALSE,abkh1242
maja1242,Majang,Africa,7.71,34.97,mpe,ET,FALSE,surm1244
mara1396,Mararit,Africa,14.087,21.6408,mgb,TD,FALSE,tama1329
lila1246,Lilau,Papunesia,-4.35479,144.99,lll,PG,FALSE,monu1249
nucl1458,Monumbo,Papunesia,-4.2717,144.95,mxk,PG,FALSE,monu1249
dadi1250,Dadibi,Papunesia,-6.65765,144.511,mps,PG,FALSE,tebe1251
folo1238,Folopa,Papunesia,-6.86321,144.458,ppo,PG,FALSE,tebe1251
sali1298,Sáliba,South America,5.30115,-69.3843,slc,CO;VE,FALSE,sali1297
chol1284,Cholón,South America,-9.23129,-75.9621,cht,PE,FALSE,hibi1242
hibi1243,Hibito,South America,-6.58333,-77.7,hib,PE,FALSE,hibi1242
wabo1241,Waboda,Papunesia,-8.41651,143.501,kmx,PG,FALSE,kiwa1251
sout2949,Southern Kiwai,Papunesia,-8.64889,143.244,kjd,PG,FALSE,kiwa1251
bamu1257,Bamu,Papunesia,-7.93818,143.545,bcf,PG,FALSE,kiwa1251
nort2930,Northeast Kiwai,Papunesia,-7.39215,144.667,kiw,PG,FALSE,kiwa1251
idii1243,Idi-Taeme,Papunesia,-8.75976,142.301,idi,PG,FALSE,paho1240
agob1244,Agob-Ende-Kawam,Papunesia,-9.08521,142.532,kit,PG,FALSE,paho1240
arua1263,Arawá (Amazonas State),South America,-5.5,-67.98,aru,BR,FALSE,araw1282
suru1263,Suruahá,South America,-6.82525,-66.3146,swx,BR,FALSE,araw1282
paum1247,Paumari,South America,-5.78403,-64.2803,pad,BR,FALSE,araw1282
turu1250,Turumsa,Papunesia,-7.93238,142.568,tqm,PG,FALSE,doso1238
doso1239,Doso,Papunesia,-7.85806,142.656,dol,PG,FALSE,doso1238
milu1241,Miluk,North America,43.3215,-124.258,iml,US,FALSE,coos1248
coos1249,Hanis,North America,43.4413,-124.16,csz,US,FALSE,coos1248
chip1262,Chipaya,South America,-18.73951,-67.89633,cap,BO,FALSE,uruc1242
uruu1244,Uru,South America,-16.72547,-68.971190000000007,ure,BO,FALSE,uruc1242
mani1235,Sougb,Papunesia,-1.49611,133.95,mnx,ID,FALSE,east1459
nisa1239,Nisa-Anasi,Papunesia,-1.95386,137.6,njs,ID,FALSE,geel1240
tefa1238,Tefaro,Papunesia,-2.35042,136.753,tfo,ID,FALSE,geel1240
demi1242,Demisa,Papunesia,-2.54564,136.694,dei,ID,FALSE,geel1240
wori1246,Woria,Papunesia,-2.37997,136.519,wor,ID,FALSE,geel1240
bauz1241,Bauzi,Papunesia,-2.44717,137.629,bvz,ID,FALSE,geel1240
mang1382,Mangerr,Australia,-12.2391,132.973,zme,AU,FALSE,giim1238
agua1253,Aguaruna,South America,-5.30044,-77.9218,agr,PE,FALSE,jiva1245
mans1260,Mansim,Papunesia,-0.915054,134.011116,NA,ID,FALSE,hata1242
hata1243,Hatam,Papunesia,-1.13531,134.037,had,ID,FALSE,hata1242
keig1242,Keiga,Africa,11.2064,29.3889,kec,SD,FALSE,kadu1256
dime1235,Dime,Africa,6.20951,36.3329,dim,ET,FALSE,sout2845
kita1247,Kitan,Eurasia,44.3773,115.986,zkt,CN,FALSE,mong1349
mang1381,Mangarrayi,Australia,-14.8,133.5,mpc,AU,FALSE,mang1423
wany1247,Wanyi,Australia,-18.6529,137.608,wny,AU,FALSE,garr1260
gara1269,Garrwa,Australia,-17.4504,137.72014,wrk,AU,FALSE,garr1260
nucl1633,Nimboran,Papunesia,-2.5803,140.179,nir,ID,FALSE,nimb1257
yuki1243,Northern Yukian,North America,39.8389,-123.296,yuk,US,FALSE,yuki1242
wapp1239,Wappo,North America,38.25,-122.5,wao,US,FALSE,yuki1242
hurr1240,Hurrian,Eurasia,40.7339,43.3154,xhu,TR,FALSE,hurr1239
urar1245,Urartian,Eurasia,38.5,43.3425,xur,AM,FALSE,hurr1239
nort2967,Northeastern Russian River Pomo,North America,39.2894,-122.509,pef,US,FALSE,pomo1273
sout2982,Southeastern Pomo,North America,38.9354,-122.599,pom,US,FALSE,pomo1273
tima1241,Tima,Africa,11.7176,29.1632,tms,SD,FALSE,katl1246
woun1238,Woun Meu,South America,8.5,-78,noa,CO;PA,FALSE,choc1280
atoh1238,Atohwaim,Papunesia,-6.27123,138.666,aqm,ID,FALSE,kaya1327
gong1251,Gongduk,Eurasia,27.066,91.1686,goe,BT,FALSE,sino1245
olek1239,Olekha,Eurasia,27.2079,90.5546,ole,BT,FALSE,sino1245
yaha1248,Yahadian,Papunesia,-1.94317,132.096,ner,ID,FALSE,kond1302
kond1303,Yaben (Konda),Papunesia,-1.82635,132.06,knd,ID,FALSE,kond1302
onge1236,Önge,Eurasia,10.6926,92.4707,oon,IN,FALSE,jara1244
jara1245,Jarawa (India),Eurasia,11.6089,92.658,anq,IN,FALSE,jara1244
west2631,Western Highland Purepecha,North America,19.5392,-102.154,pua,MX;US,FALSE,tara1323
pure1242,Purepecha,North America,19.2467,-101.631,tsz,MX;US,FALSE,tara1323
orya1242,Orya,Papunesia,-2.76483,139.89,ury,ID,FALSE,toro1256
pech1241,Pech,North America,15.8033,-85.558,pay,HN,FALSE,chib1249
kamu1260,Kamula,Papunesia,-7.28798,142.639,xla,PG,FALSE,kamu1264
kono1241,Konomihu,North America,41.263356,-123.310776,NA,US,FALSE,shas1238
kana1291,Katukína-Kanamarí,South America,-6.45399,-68.7678,knm,BR,FALSE,katu1274
kata1270,Katawixi,South America,-7.25015,-64.8319,xat,BR,FALSE,katu1274
west2632,Western Keres,North America,34.9733,-107.517,kjq,US,FALSE,kere1287
east1472,Eastern Keres,North America,35.5216,-106.453,kee,US,FALSE,kere1287
tlin1245,Tlingit,North America,59.4447,-135.29,tli,CA;US,FALSE,atha1245
ajas1235,Aja (South Sudan),Africa,8.58003,25.6122,aja,SD;SS,FALSE,kres1240
ofay1240,Ofayé,South America,-22.278,-53.7227,opy,BR,FALSE,nucl1710
kara1500,Karajá,South America,-11.1881,-50.3492,kpj,BR,FALSE,nucl1710
rikb1245,Rikbaktsa,South America,-11.1887,-58.1942,rkb,BR,FALSE,nucl1710
patw1250,Patwin,North America,39.2143,-122.0094,pwi,US,FALSE,wint1258
wint1259,Wintu,North America,39.7176,-122.445,wit,US,FALSE,wint1258
womp1235,Wom (Papua New Guinea),Papunesia,-3.5332,142.87,wmo,PG,FALSE,nucl1708
urim1252,Urim,Papunesia,-3.58018,142.653,uri,PG,FALSE,nucl1708
beli1258,Beli (Papua New Guinea),Papunesia,-3.67881,142.34,bey,PG,FALSE,nucl1708
laek1243,Laeko-Libuat,Papunesia,-3.69618,142.237,lkl,PG,FALSE,nucl1708
bayo1260,Bayono,Papunesia,-5.21728,139.617,byl,ID,FALSE,bayo1259
awbo1238,Awbono,Papunesia,-5.05875,139.724,awh,ID,FALSE,bayo1259
paya1237,Payaya,North America,NA,NA,NA,US,FALSE,uncl1493
kari1255,Karirí-Xocó,South America,-9.84999,-36.3333,kzw,BR,FALSE,uncl1493
kapi1248,Kapinawá,South America,-8.49999,-38.3333,xpn,BR,FALSE,uncl1493
tanp1235,Tanpachoa,North America,31.75917,-106.48861,NA,MX,FALSE,uncl1493
mehe1242,Meherrin,North America,36.66342,-77.57783,NA,US,FALSE,uncl1493
imba1237,Imbabura,South America,NA,NA,NA,EC,FALSE,uncl1493
pola1249,Polari,Eurasia,51.7866,-1.39091,pld,GB,FALSE,uncl1493
trav1235,Traveller Scottish,Eurasia,55.9829,-4.38593,trl,AU;GB;US,FALSE,uncl1493
guac1240,Guachipas,South America,NA,NA,NA,AR,FALSE,uncl1493
sanf1266,San Francisco Solano,North America,NA,NA,xso,MX,FALSE,uncl1493
kamb1239,Kambiwá,South America,-8.6093993,-36.5993292,xbw,BR,FALSE,uncl1493
envu1234,Envuelto,South America,-0.0355621,-70.944973,NA,CO,FALSE,uncl1493
bida1238,Bidai,North America,NA,NA,NA,US,FALSE,uncl1493
bazi1237,Bazigar,Eurasia,25.2977,77.2213,bfr,IN,FALSE,uncl1493
xion1234,Xiong-Nu,Eurasia,44.61,103.39,NA,MN,FALSE,uncl1493
calc1235,Calchaqui,South America,NA,NA,NA,AR,FALSE,uncl1493
ambe1246,Ambermo,Papunesia,-1.763355,137.903651,NA,ID,FALSE,uncl1493
cabi1242,Cabixi-Natterer,South America,NA,NA,NA,BR,FALSE,uncl1493
quer1237,Querandi,South America,NA,NA,NA,UY,FALSE,uncl1493
mali1242,Malibu,South America,NA,NA,NA,CO,FALSE,uncl1493
bagu1249,Bagua,South America,NA,NA,NA,BR,FALSE,uncl1493
calu1239,Calusa,North America,NA,NA,NA,US,FALSE,uncl1493
sica1234,Sicana,Eurasia,37.53147,13.51352,sxc,IT,FALSE,uncl1493
conc1237,Concho,North America,NA,NA,NA,MX,FALSE,uncl1493
elym1237,Elymian,Eurasia,37.94139,12.83222,xly,IT,FALSE,uncl1493
kant1247,Kantarure,South America,NA,NA,NA,BR,FALSE,uncl1493
muzo1235,Muzo,South America,NA,NA,NA,CO,FALSE,uncl1493
puru1267,Puruguay,South America,NA,NA,NA,EC,FALSE,uncl1493
lemn1237,Lemnian,Eurasia,NA,NA,xle,GR,FALSE,uncl1493
dima1246,Dima-Bottego,Africa,NA,NA,NA,ET,FALSE,uncl1493
hait1241,Haitian Vodoun Culture Language,North America,18.911,-72.394,hvc,HT,FALSE,uncl1493
komt1237,Komta,Africa,NA,NA,NA,NG,FALSE,uncl1493
paek1234,Paekche,Eurasia,NA,NA,pkc,KR,FALSE,uncl1493
unai1234,Unainuman,South America,-2.99955208,-69.2247924,NA,BR,FALSE,uncl1493
kara1506,Kara,South America,NA,NA,NA,EC,FALSE,uncl1493
guai1246,Guaicaro,South America,NA,NA,NA,AR,FALSE,uncl1493
saca1239,Sacata,South America,NA,NA,NA,PE,FALSE,uncl1493
cusa1237,Cusabo,North America,NA,NA,NA,US,FALSE,uncl1493
camu1235,Camunic,Eurasia,NA,NA,xcc,IT,FALSE,uncl1493
taba1269,Tabancal,South America,NA,NA,NA,PE,FALSE,uncl1493
guti1235,Gutian,Eurasia,NA,NA,NA,IR,FALSE,uncl1493
kass1244,Kassite,Eurasia,NA,NA,NA,IQ,FALSE,uncl1493
kata1268,Katabaga,Papunesia,17.9509,121.544,ktq,PH,FALSE,uncl1493
pata1255,Patagon,South America,NA,NA,NA,PE,FALSE,uncl1493
baen1237,Baenan,South America,-15.352491,-39.5552237,NA,BR,FALSE,uncl1493
paca1243,Pacahuaras-Castillo,South America,NA,NA,NA,BO,FALSE,uncl1493
natu1248,Natú,South America,-10.1856656,-36.8493409,NA,BR,FALSE,uncl1493
temb1278,Tembey,South America,-26.4819663,-55.1291115,NA,BR,FALSE,uncl1493
arac1235,Aracaju,South America,NA,NA,NA,BR,FALSE,uncl1493
eteo1240,Eteocypriot,Eurasia,34.72103,33.1189,ecy,CY,FALSE,uncl1493
erie1238,Erie,North America,42.158,-79.64,NA,US,FALSE,uncl1493
wenr1236,Wenro,North America,43.14,-78.475563,NA,US,FALSE,uncl1493
poya1239,Poya,South America,NA,NA,NA,AR,FALSE,uncl1493
naol1234,Naolan,North America,NA,NA,NA,MX,FALSE,uncl1493
monq1236,Monqui,North America,NA,NA,NA,MX,FALSE,uncl1493
dege1245,Degere,Africa,NA,NA,NA,KE,FALSE,uncl1493
sere1258,Serengeti Dorobo,Africa,NA,NA,NA,TZ,FALSE,uncl1493
amot1239,Amotomanco,North America,NA,NA,NA,MX,FALSE,uncl1493
sans1265,Sansimoniano,South America,NA,NA,NA,BO,FALSE,uncl1493
cuev1238,Cueva,North America,8.268235,-78.184569,NA,PA,FALSE,uncl1493
jeni1237,Jenipapo-Kanindé,South America,NA,NA,NA,BR,FALSE,uncl1493
sout2466,South-Arabian-Unknown-k,Eurasia,NA,NA,NA,SA,FALSE,uncl1493
past1243,Pasto,South America,NA,NA,NA,EC,FALSE,uncl1493
quin1252,Quinigua,North America,NA,NA,NA,MX,FALSE,uncl1493
urup1235,Uru-Pa-In,South America,-11.2946,-62.7226,urp,BR,FALSE,uncl1493
panc1242,Panche,South America,NA,NA,NA,CO,FALSE,uncl1493
anci1248,Ancient Ligurian,Eurasia,NA,NA,xlg,IT,FALSE,uncl1493
uruc1243,Urucucús,South America,NA,NA,NA,BR,FALSE,uncl1493
panz1235,Panzaleo,South America,NA,NA,NA,BR,FALSE,uncl1493
sill1240,Silla,Eurasia,NA,NA,NA,KR,FALSE,uncl1493
quil1251,Quillacinga,South America,NA,NA,NA,CO,FALSE,uncl1493
fayj1234,Fayjatases,South America,NA,NA,NA,CL,FALSE,uncl1493
coli1235,Colima,South America,NA,NA,NA,CO,FALSE,uncl1493
pija1235,Pijao,South America,0.49999,-75.3333,pij,CO,FALSE,uncl1493
quin1236,Quinqui,Eurasia,40.2638,-3.68704,quq,ES,FALSE,uncl1493
mang1422,Mangree,Africa,NA,NA,NA,CI,FALSE,uncl1493
tara1303,Tarairiu,South America,-5.6988166,-36.1576346,NA,BR,FALSE,uncl1493
pamu1240,Pamunkey,North America,NA,NA,NA,US,FALSE,uncl1493
sicu1234,Sicula,Eurasia,37.533968,14.84133,scx,IT,FALSE,uncl1493
chac1253,Chacha,South America,NA,NA,NA,PE,FALSE,uncl1493
game1240,Gamela of Viana,South America,-3.2913381,-45.1835185,NA,BR,FALSE,uncl1493
