id,family
otom1276,Otomaco-Taparita
waka1280,Wakashan
pano1259,Pano-Tacanan
buna1274,Bunaban
west2604,West Bomberai
nort2933,North Bougainville
mayb1237,Maybratic
mair1253,Mairasic
boro1281,Bororoan
kwer1242,Greater Kwerba
lake1255,Lakes Plain
momb1255,Mombum-Koneraw
yang1287,Yangmanic
bora1262,Boran
heib1242,Heibanic
grea1241,Great Andamanese
sent1261,Sentanic
daga1274,Dagan
east2503,Eastern Trans-Fly
maid1262,Maiduan
sena1264,Senagi
puri1261,Puri-Coroado
gumu1250,Gumuz
nucl1709,Nuclear Trans New Guinea
sout1293,South-Eastern Tasmanian
maya1287,Mayan
taul1250,Taulil-Butam
eski1264,Eskimo-Aleut
zamu1243,Zamucoan
koia1260,Koiarian
yoku1255,Yokutsan
ayma1253,Aymaran
nilo1247,Nilotic
cahu1265,Cahuapanan
atla1278,Atlantic-Congo
mirn1241,Mirndi
zapa1251,Zaparoan
kama1371,Kamakanan
kala1402,Kalapuyan
pama1250,Pama-Nyungan
araw1281,Arawakan
worr1236,Worrorran
lowe1423,Lower Sepik
amto1249,Amto-Musan
kuni1270,Kunimaipan
east2433,East Strickland
east2374,Eastern Daly
nort2923,North Halmahera
dogo1299,Dogon
maoo1243,Blue Nile Mao
indo1319,Indo-European
quec1387,Quechuan
kwom1263,Kwomtari-Nai
piaw1238,Piawi
nort1547,Northern Daly
nivk1234,Nivkh
nduu1242,Ndu
chum1262,Chumashan
kuli1252,Kuliak
chon1288,Chonan
dizo1235,Dizoid
kiow1265,Kiowa-Tanoan
soma1242,Somahai
teme1251,Temeinic
iwai1246,Iwaidjan Proper
lenc1239,Lencan
kawe1237,Kawesqar
kxaa1236,Kxa
hara1260,Harakmbut
ticu1244,Ticuna-Yuri
araf1243,Arafundi
anga1289,Angan
sali1255,Salishan
limi1242,Limilngan-Wulna
sout3418,South Bird's Head
afro1255,Afro-Asiatic
rash1249,Rashad
cadd1255,Caddoan
east2386,Eastern Jebel
unat1236,Unattested
yeni1252,Yeniseian
tuuu1241,Tuu
mand1469,Mande
namb1299,Nambiquaran
skoo1245,Sko
saha1256,Saharan
yawa1259,Yawa-Saweru
mani1293,Maningrida
tsim1258,Tsimshian
tung1282,Tungusic
peba1241,Peba-Yagua
nakh1245,Nakh-Daghestanian
arti1236,Artificial Language
west1503,Western Tasmanian
chap1271,Chapacuran
nort1442,North-Eastern Tasmanian
chuk1271,Chukotko-Kamchatkan
ijoi1239,Ijoid
koma1264,Koman
algi1248,Algic
anim1240,Anim
maba1274,Maban
tequ1244,Tequistlatecan
taik1256,Tai-Kadai
khoe1240,Khoe-Kwadi
ainu1252,Ainu
wali1264,Walioic
spee1234,Speech Register
suki1244,Suki-Gogodala
bain1263,Baining
nyim1244,Nyimang
kart1248,Kartvelian
cari1283,Cariban
chin1490,Chinookan
marr1257,Marrku-Wurrugu
aust1307,Austronesian
gong1255,Ta-Ne-Omotic
arau1255,Araucanian
haid1248,Haida
nada1235,Naduhup
kolo1268,Kolopom
east2499,East Kutubu
saha1239,Sahaptian
bula1259,Bulaka River
naml1239,Namla-Tofanma
japo1237,Japonic
kaur1274,Kaure-Kosare
yuka1259,Yukaghir
huar1251,Huarpean
hmon1336,Hmong-Mien
left1242,Left May
chiq1253,Chiquitano
mixe1284,Mixe-Zoque
fura1235,Furan
jica1245,Jicaquean
pauw1244,Pauwasi
lepk1239,Lepki-Murkim-Kembra
kwal1257,Kwalean
timo1261,Timor-Alor-Pantar
yuat1252,Yuat
ramu1234,Ramu
sout2772,Southern Daly
tura1263,Turama-Kikori
yano1268,Yanomamic
guai1249,Guaicuruan
chim1311,Chimakuan
sepi1257,Sepik
huit1251,Huitotoan
tege1244,Tegem
nubi1251,Nubian
jarr1235,Jarrakan
manu1261,Manubaran
coch1271,Cochimi-Yuman
circ1239,Circassian
abkh1243,Abkhaz-Abaza
sout2836,South Surmic
tama1330,Tama-Sungor-Miisiirii
dori1247,Doriri-Abia
yare1251,Yareba-Bariji-Nawaru
maco1238,Maco-Piaroa
tura1266,Turama-Kerewo
madi1262,Madi-Madiha
lend1246,Lenduic
moru1252,Moru-Madi
sara1341,Sara-Bongo-Bagirmi
mang1393,Mangbetu-Asua
memb1239,Membi-Mangbutu-Efe
east2557,Eastern Otomanguean
west2783,Western Otomanguean
coco1262,Coconucan
unun9945,Unclassified Barbacoan
awas1234,Awa-Southern Barbacoan
meax1236,Meax
germ1288,German-Yiddish-Romani-Rotwelsch
guri1251,Gurindji-Kriol
span1267,Spanish-Quechua
warl1257,Warlpiri-Kriol
pers1247,Persian-Indic
miwo1275,Miwokan
cost1250,Costanoan
nort2953,Northern Uto-Aztecan
sout3136,Southern Uto-Aztecan
brin1245,Bringen
waga1259,Maranunggu-Ame-Manda
bara1399,Barapasi-Sauri-Kofei
bura1294,Burate-Wate
basq1268,Basque-based pidgin
onin1246,Onin-based pidgin
mini1258,Minigir-based pidgin
mana1302,Manambu-based pidgin
roma1335,Romance-based pidgin
swah1255,Swahili-based pidgin
kaur1273,Kaurna-based pidgin
russ1269,Russian-based pidgin
enga1255,Enga-based pidgin
motu1248,Motu-based pidgin
fiji1244,Fijian-based pidgin
ngar1294,Ngarluma-based pidgin
span1268,Spanish-based pidgin
chin1492,Chinook-based pidgin
sepi1259,Sepik Iwam-based pidgin
port1294,Portuguese-based pidgin
dutc1258,Dutch-based pidgin
boba1251,Bobangi-based pidgin
eski1267,Eskimo-based pidgin
otta1243,Ottawa-based pidgin
delw1234,Delaware-based pidgin
tahi1243,Tahitian-based pidgin
hawa1248,Hawaiian-based pidgin
ihab1242,Iha-based pidgin
meke1244,Mekeo-based pidgin
zulu1250,Zulu-based pidgin
arab1397,Arabic-based pidgin
tobi1240,Tobi-based pidgin
duvl1243,Duvle-based pidgin
trio1239,Trio-based pidgin
gali1266,Galibi-based pidgin
mala1547,Malay-based pidgin
hama1242,Hamar-based pidgin
engl1287,English-based pidgin
fren1279,French-based pidgin
tuka1250,Tukang Besi-based pidgin
japa1257,Japanese-based pidgin
icel1249,Icelandic-based pidgin
choc1282,Choctaw-based pidgin
assa1271,Assamese-based pidgin
swed1256,Swedish-based pidgin
chin1495,Chinese-based pidgin
germ1289,German-based pidgin
yima1247,Yimas-based pidgin
ewon1242,Ewondo-based pidgin
haus1258,Hausa-based pidgin
hind1272,Hindustani-based pidgin
urni1238,Urninganggic
etor1234,Etoro-Bedamini
bosa1246,Bosavi Watershed
shua1256,Shuaric
sanf1267,San Francisco-Santa María Huave
sand1283,San Dionisio-San Mateo Huave
cent2229,Central-Western Kadugli-Krongo
ahkk1235,AHK
mong1329,Mongolic
mara1414,Maran
east2852,Eastern Enlhet-Enenlhet
leng1262,Lengua
west2501,Western Dajuic
east2428,Eastern Dajuic
cent2227,Central Dravidian
unun9890,Unclassified Dravidian
sout3133,South Dravidian
nort2698,North Dravidian
oute1261,Outer Nimboranic
east2698,Eastern Tucanoan
west2784,Western Tucanoan
buin1247,Buinic
nasi1247,Nasioiic
russ1265,Russian River and Eastern
katl1236,Katla-Julud
embe1258,Embera
unun9901,Unclassified Chocoan
kayg1237,Kaygir-Tamagario
raji1239,Raji-Raute
mish1241,Digarish
macr1268,Macro-Tani
gema1234,Kman-Meyor
nung1293,Nungish
dhim1247,Dhimal-Lhokpu-Toto
sini1245,Sinitic
unun9951,Unclassified Sino-Tibetan
kuki1245,Kuki-Chin-Naga
kare1337,Karenic
khob1235,Kho-Bwa
macr1275,Macro-Bai
burm1265,Burmo-Qiangic
miji1239,Miji
bodi1256,Bodic
mrui1235,Mruic
hima1249,Himalayish
brah1260,Brahmaputran
grea1300,Greater Western Kru
east2415,Eastern Kru
more1256,Morehead-Maro
kanu1280,Kanum
nort2822,Northwest Songhay
east2431,Eastern Songhay
sout1499,South West Bird's Head
sege1236,Seget-Moi
deaf1237,L1 Sign Language
auxi1235,Auxiliary Sign Systems
pidg1253,Pidgin Sign Language
lumu1240,Lumun-Torona
bura1298,Buram-Saraf
tora1268,Tor
core1252,Core Chibchan
mong1343,Ulmapo
east2864,East Keram
awin1249,Elevala
nucl1814,Nuclear Shastan
uncl1531,Unclassified Shastan
bolg1249,Bolgar
comm1245,Common Turkic
nico1262,Nicobaric
asli1243,Aslian
moni1258,Monic
viet1250,Vietic
pear1246,Pearic
mang1377,Mangic
katu1271,Katuic
khme1253,Khmeric
bahn1264,Bahnaric
mund1335,Mundaic
khmu1236,Khmuic
khas1273,Khasi-Palaung
west2573,Western Eleman
east2494,Eastern Eleman
atha1246,Athabaskan-Eyak
kres1241,Kreshic
jeee1236,Je
uncl1544,Unclassified Nuclear Macro-Je
jabu1249,Jabuti
maxa1249,Maxakali-Borum
wape1249,Wapei-Palei
nucl1590,Nuclear Maimai
west2580,West Wapei
komb1276,Kombio-Arapesh-Urat
unun9969,Unclassified Nuclear Torricelli
mari1433,Marienberg
jala1236,Jala
east2701,Eastern Gunwinyguan
west2432,Western Gunwinyguan
suma1272,Sumalpan
sout2758,Southern Tangkic
west2614,Western Muskogean
alab1247,Alabaman-Koasati
pend1244,Pending Report Release
mata1291,Mataguayo II
mata1290,Mataguayo I
xinc1244,Xinca Shared Grammatical Traits
yupi1268,Yupiltepequic
samo1298,Samoyedic
mari1278,Mari
saam1281,Saami
mord1256,Mordvin
mans1269,Mansic
hung1287,Hungaric
khan1279,Khantyic
finn1317,Finnic
perm1256,Permian
nucl1828,Nuclear Guahiboan
arik1267,Arikem-Tupari
puru1268,Purubora-Ramarama
east2909,Eastern Tupian
mond1266,Monde
nort2947,Northern Iroquoian
west2872,Western Nyulnyulan
east2381,Eastern Nyulnyulan
bina1273,Binaharic
bauw1241,Bauwakic
taik1254,Taikat-Awyi
wari1265,Warisic
bewa1242,Bewani
tepe1243,Tepehua
toto1252,Totonac
cata1285,Catawban
miss1252,Missouri River Siouan
ohio1234,Ohio Valley Siouan
miss1254,Mississippi Valley
sout2981,Southern Wakashan
nort2964,Northern Wakashan
taca1255,Tacanan
pano1256,Panoan
nucl1641,Nuclear West Bomberai
roto1248,Rotokas-Askopan
boro1285,Bororo-Otuke
kwer1240,Kwerba-Samarokena
tari1255,Tariku
east2500,East Lakes Plain
farw1236,Far West Lakes Plain
west2502,West-Central Heibanic
east2429,Eastern Heibanic
sout2683,South Great Andamanese
nort3276,North Andamanese-Akakede
midd1323,Middle Great Andamanese
nucl1631,Nuclear Sentanic
cent2401,Central Dagan
sout3380,Southeast Dagan
nucl1843,Nuclear Gumuz
bina1276,Greater Binanderean
fini1244,Finisterre-Huon
kain1273,Kainantu-Goroka
cent2116,Asmat-Awyu-Ok
cent2120,Chimbu-Wahgi
dani1287,Dani
enga1254,Enga-Kewa-Huli
mekk1240,Mek
pani1259,Paniai Lakes
mada1298,Madang
core1254,Core Mayan
huas1241,Huastecan Mayan
eski1265,Eskimo
aleu1261,Aleutic
zamu1244,Zamuco-Ayoreo
koia1261,Koiaric
bara1376,Baraic
gene1243,General Yokuts
nucl1667,Central-Southern Aymara
tupe1234,Tupe
west2493,Western Nilotic
sout2830,Southern Nilotic
east2418,Eastern Nilotic
cang1245,Cangin
mela1257,Mel
volt1241,Volta-Congo
limb1267,Limba
nort3146,North-Central Atlantic
djam1254,Yirram
guda1245,Ngurlun
iqui1244,Iquito-Arabela
zapa1252,Zaparo-Abishira
nucl1661,Nuclear Kamakanan
macl1239,Macleay-New England
aran1266,Arandic-Thura-Yura
yarl1237,Yarli-Baagandji
nyaw1248,Nyawaygic
yuul1239,Yuulngu
unun9964,Unclassified Pama-Nyungan
sout3134,South-West Pama-Nyungan
grea1282,Greater Maric
sout3135,Southeastern Pama-Nyungan
karn1253,Karnic
pama1251,Paman
rock1234,Rockhampton-Gladstone
dese1234,Desert Nyungic
east2770,East Queensland Border Pama Nyungan
galg1238,Kalkatungic
ngar1290,Ngarna
yimi1234,Yimidhirr-Yalanji-Yidinic
gana1279,Ganaic
negr1239,Negro-Roraima
cari1281,Caribbean Arawakan
alto1250,Medio Rio Negro
alto1249,Alto Orinoco
cent2413,Central-Eastern Maipuran
japu1236,Japura-Colombia
sout3131,Southern Maipuran
nort2751,Northern Worrorran
west2435,Western Worrorran
kara1498,Karawarian
norr1244,Nor
weri1254,Weric
kubo1241,Kubo-Samo-Bibo
nort2924,Northern North Halmahera
plai1257,Plains Dogon
west2779,West Dogon
esca1235,Escarpment Dogon
nort2824,North Plateau Dogon
nang1263,Nangan Dogon
west2445,West Mao
uncl1527,Unclassified Indo-European
anat1257,Anatolian
clas1257,Classical Indo-European
colo1257,Colombia-Ecuador Quechua
quec1389,Southern Quechua
caja1240,Cajamarca-Lambayeque Quechua
sanm1306,San Martin-Amazonas Quechua
quec1386,Quechua I
nucl1642,Nuclear Ndu
sout3132,Southern Chumashan
ngan1305,Ngangea-So
insu1253,Insular Chonan
cont1245,Continental Chonan
tewa1261,Tewa
tiwa1254,Tiwa-Piro
cent2228,Central Iwaidjic
nort1506,North Central Alacufan
juku1256,Ju-Kung
uncl1510,Unclassified Arafundi
nucl1763,Nuclear Angan
inte1241,Interior Salish
coas1325,Coast Salish
sout1516,Nuclear South Bird's Head
inan1242,Inanwatanic
chad1250,Chadic
berb1260,Berber
cush1243,Cushitic
semi1276,Semitic
egyp1245,Egyptian
nort2950,Northern Caddoan
akak1254,Aka-Kelo-Molo
worr1238,Worrorran (Unattested)
aust1312,Austronesian (Unattested)
cari1285,Cariban (Unattested)
pama1255,Pama-Nyungan (Unattested)
drav1252,Dravidian (Unattested)
tupi1286,Tupian (Unattested)
araw1289,Arawan (Unattested)
barb1268,Barbacoan (Unattested)
atla1280,Atlantic-Congo (Unattested)
indo1329,Indo-European (Unattested)
iwai1249,Iwaidjan Proper (Unattested)
toro1259,Tor-Orya (Unattested)
pano1260,Pano-Tacanan (Unattested)
choc1284,Chocoan (Unattested)
araw1288,Arawakan (Unattested)
umbu1259,Umbugarla (Unattested)
mang1435,Mangarrayi-Maran (Unattested)
namb1301,Nambiquaran (Unattested)
nort2746,Northern Yeniseian
huaa1247,Hua
kwii1241,!Ui
west2780,Western Mande
east2697,Eastern Mande
namb1300,Nambikwara Complex
skou1238,Skou-Serra-Piore
east2432,Eastern Saharan
west2505,Western Saharan
bure1238,Bureran
nakk1234,Nakkara-Ndjebbana
nish1242,Nishga-Gitxsan
nort3417,Northeastern Tungusic
orok1264,Central-Western Tungusic
manc1250,Manchu-Jurchen
peba1242,Peba-Yameo
dagh1238,Daghestanian
nakh1246,Nakh
espe1236,Esperantic
efat1240,Efate-group-based Artificial Language
west2205,Western Coastal Tasmanian
more1263,Moreic-Waric
unun9892,Unclassified Chapakura
tapa1264,Tapakuric
kamc1243,Kamchatkan
chuk1272,Chukotian
ijoo1239,Ijo
opuu1238,Central Koman
algo1256,Algonquian-Blackfoot
inla1262,Inland Gulf of Papua
tiri1259,Tirio
mari1437,Marind-Boazi-Yaqai
maba1275,Mabang
east2878,Eastern Tequistlatecan
hlai1238,Hlaic
kamt1241,Kam-Tai
kada1291,Kadaic
khoe1241,Khoe
hokk1250,Hokkaido-Kuril Ainu
pais1239,Pai-Sinen-Walio
atla1282,Atlantic-Congo Speech Register
iris1254,Irish-English
basq1267,Basque-Romani
zulu1249,Zulu-Sotho
quec1390,Quechua-Puquina
indo1335,Indo-European Speech Register
gogo1264,Gogodalic
sout3426,Southern Baining
unun9989,Unclassified Baining
geor1252,Georgian-Zan
paru1239,Parukotoan
yawa1262,Yawaperi
vene1261,Venezuelan Cariban
peko1235,Pekodian
guia1242,Guianan
kuik1245,Kuikuroan
yukp1242,Opon-Yukpan
lowe1438,Lower Chinookan
nort2899,Northwest Formosan
west2572,Western Plains Austronesian
tsou1250,Tsouic
east2493,East Formosan
atay1246,Atayalic
mala1545,Malayo-Polynesian
omet1238,Ometo
gong1256,Kefoid
east2549,Eastern Naduhup
kima1245,Kimaama-Riantana
saha1240,Sahaptin
jelm1234,Jelmek
ryuk1243,Ryukyuan
japa1256,Japanesic
koly1247,Kolymic
hmon1337,Hmongic
mien1242,Mienic
nucl1244,Western Left May
mixe1286,Mixe
zoqu1261,Zoque
west2611,Western Pauwasi
east2530,Eastern Pauwasi
hume1245,Humene-Kwale
east2520,East Timor
alor1249,Alor-Pantar
miya1267,Miyak-Bun-Biwat
agoa1234,Agoan
aian1241,Aian
lowe1439,Lower Ramu
goam1234,Goam
tura1264,Turama-Omatian
nina1239,Ninam-Yanomam-Yaroame
uncl1519,Unclassified Yanomamic
guai1250,Guaicuru del Sur
ramm1241,Ram
nuku1256,Nukuma
iwam1259,Iwam-Wogamus
yell1247,Yellow River
sepi1258,Sepik Hill
sepi1256,Sepik Tama
nonu1240,Nonuya-Ocaina
nucl1659,Nuclear Witotoan
unun9983,Unclassified Huitotoan
nile1239,Nile Nubian
cent2232,Central Nubian
miri1274,Miriwunic
yuma1250,Yuman
coch1276,Cochimic
sout2838,Southwest Surmic
sout2837,Southeast Surmic
tama1368,Tama-Sungor
madi1263,Madiha
bale1255,Bale
cent2043,Central Moru-Madi
sout2827,Southern Moru-Madi
sbbo1237,SBB Occidental
moro1282,Baka-Beli
mang1424,Mangbetuic
uncl1501,Unclassified Membi-Mangbutu-Efe
mang1425,Mangbutu-Efe
amuz1253,Amuzgo-Mixtecan
popo1292,Popoloca-Zapotecan
mang1426,Manguean
otop1241,Otopame-Chinantecan
subt1249,Subtiaba-Tlapanec
caya1244,Cayapa-Colorado
east2546,Eastern Miwokan
west2633,Western Miwokan
sout2986,Southern Costanoan
numi1242,Numic
unun9948,Unclassified Northern Uto-Aztecan
taki1254,Takic
opat1247,Opata-Eudeve
tepi1240,Tepiman
cora1261,Corachol-Aztecan
tara1326,Tarahumara-Guarijio
unun9947,Unclassified Southern Uto-Aztecan
cahi1243,Cahitan
mari1418,Maringarr-Matige
mari1420,Marithielic
amem1235,Ame-Manda
saur1250,Sauri-Kofei
upco1238,Upcountry Swahili
slav1256,Slavey-French-based pidgin
kalu1249,Kaluli-Sunia
huam1251,Huambisa-Shuar
katc1251,Katcha-Kadugli-Miri-Kanga
east2424,Krongo-Tumtum
aari1238,Aari-Gayil
hame1241,Hamer-Karo
oira1260,Eastern Mongolic
sout2705,Southern Periphery Mongolic
nyal1252,Nyala Dajuic
parj1243,Parji-Ollari-Gadaba
kola1242,Kolami-Naiki
sout3138,South Dravidian I
sout3139,South Dravidian II
kuru1300,Kurux-Malto
mlap1239,Mlap-Gresi-Kemtuik
sout3144,South Eastern Tucanoan
east2702,Eastern Eastern Tucanoan
west2789,Western Eastern Tucanoan
napo1243,Napo Tucanoan
kore1286,Koreguaje-Tama
buin1248,Buin
nasi1248,Nasioi
russ1266,Russian River
sanj1278,San Juan
atra1235,Atrato
raut1240,Raute-Rawat
koro1317,Koro-Holon
tani1259,Tani
guno1235,Gunong
minn1248,Min
clas1255,Classical-Middle-Modern Sinitic
zeme1241,Zemeic
anga1312,Angami-Ao
karb1240,Karbic
tang1335,Tangkhul-Maring
kuki1246,Kuki-Chin
cent1999,Central Karen
peri1254,Peripheral Karen
sout1554,Southern Karen
nort2703,Northern Karen
meyi1234,Western Kho-Bwa
puro1234,Puroikic
baic1239,Baic
tali1265,Ta-Li
lolo1265,Lolo-Burmese
naqi1236,Na-Qiangic
tuji1244,Tujia
tibe1275,West Himalayish
tsha1247,Tshanglic
kaik1248,Kaike-Ghale-Tamangic
bodi1257,Bodish
maha1306,Mahakiranti
kony1246,Patkaian
bodo1279,Bodo-Garo
unun9960,Unclassified Brahmaputran
jing1259,Jingpho-Luish
west2485,Western Kru
dida1244,Neyo-Dida
bete1265,Beteic
unun9909,Unclassified Eastern Kru
bakw1242,Bakwe-Wane
namb1292,Nambu
tond1250,Tonda
ngkr1234,Ngkrn-Ngkantr
nort2823,Northern Songhay
zarm1240,Zarma-Kaado-Dendi
indo1331,Indo-Pakistani-Nepalese Sign
swed1257,Swedish Sign
lsfi1234,LSFic
unun9986,Unclassified L1 Sign Language
span1269,Spanish Sign
dgsi1234,DGSic
jsli1234,JSLic
viet1253,Vietnamese Sign
oldc1250,Old Chiangmai-Bangkok Sign
meem1234,Meemul-Tziij
russ1270,RSLic
oksl1234,OKSLic
arab1398,Arab Sign
bsli1234,BSLic
myan1234,Myanmar Sign
prov1248,Providencia-Cayman Sign
nucl1761,CSLic
ache1247,Acheron-Tocho
ndin1246,Nding-Tasomi
ngil1241,Buram Hill Chain
coas1312,Coastal Tor
isth1243,Isthmic Chibchan
magd1236,Magdalenic
unun9943,Unclassified Chibchan
voti1248,Votic Chibchan
mwak1234,Mwakai-Pondi
oghu1243,Oghuz
sout2693,South Siberian Turkic
kipc1240,Kipchak-Turkestan
nort2688,Sakha-Dolgan
nucl1758,Nuclear Nicobaric
cent1987,Central-Northern Aslian
sout2686,South Aslian
cuoi1242,Cuoi
chut1252,Chutic
viet1251,Viet-Muong
west2394,Western Pearic
boly1240,Pakanic
katu1272,Katu
taoi1247,Ta'oihic
west1492,West Katuic
nort3150,North Bahnaric
west2399,West Bahnaric
guto1244,Gutob-Remo
sora1255,Sora-Juray-Gorum
nort3151,North Munda
khmu1255,Khmu'
phay1242,Phay-Pram
pala1352,Palaungic
khas1268,Khasian
atha1247,Athabaskan
jeme1246,Southern Je
cerr1237,Cerrado
maxa1246,Maxakalian
west2788,West Palai
cent2407,Central Torricelli
heyo1241,Heyo-Yahang
onee1245,One
arap1279,Arapesh
komb1271,Kombio-Yambes
elep1241,Elepi-Kamasau-Marienberg
mand1470,Mandi-Muniwara
wubu1239,Wubuy-Anindilyakwa
warr1259,Warrayic
mata1287,Matagalpan
sumu1234,Sumuic
kaya1318,Kayardild-Yangkaal
wich1261,Wichi
chor1274,Chorote
enet1251,Enets-Nenets
kama1376,Kamas-Selkup
east2324,Eastern Saami
west2390,Western Saami
nort3271,North-Central Mansi
nort3264,Northern Khanty
east2774,East Khanty
coas1319,Coastal Finnic
komi1267,Komi
guah1253,Central Guahibo
arik1263,Arikemic
tupa1251,Tuparic
rama1257,Ramarama
yuru1262,Jurunic
mawe1252,Maweti-Guarani
mund1329,Mundurukuic
gavi1250,Gavianic
tusc1256,Tuscarora-Nottoway
lake1264,Lake Iroquoian
nyul1250,Nyulnyulic
bard1254,Bardic
yawu1243,Yawuric
unun9988,Unclassified Eastern Nyulnyulan
nyik1244,Nyikinic
nucl1773,Nuclear Warisic
pagi1245,Pagi-Kilmeri
cent1397,Central Totonacan
sout2988,Southeastern Siouan
winn1245,Winnebago-Chiwere
dheg1241,Dhegiha
dako1257,Dakotan
maka1326,Makah-Nitinat
kwak1268,Kwakiutlan
taka1267,Takanik-Chamik
unun9984,Unclassified Tacanan
main1279,Mainline Pano
mayo1277,Mayoruna Branch
kwer1262,Kwerbaic
west1486,Samarokena-Airoran
east2502,East Tariku
west2582,West Tariku
cent2110,Central Tariku
rasa1242,Rasawa-Saponi
cent2049,Central Heibanic
west2503,Western Heibanic
nort2678,Northern Great Andamanese
okol1242,Okol-Opucikwar
sent1262,Sentani-Nafri
sout3381,Southwest Dagan
bina1279,Binanderean
huon1246,Huon
fini1245,Finisterre-Saruwaged
kain1274,Kainantu
goro1272,Goroka
unun9974,Unclassified Kainantu-Goroka
awyu1265,Awyu-Ok
asma1256,Asmat-Kamoro
jimi1245,Jimi
hage1248,Hagen
simb1258,Simbu
wahg1249,Wahgic
ngal1299,Ngalik-Nduga
cent2233,Central Dani
kewa1249,Kewa-Huli
enga1251,Engan
west2585,Western Mek
east2504,Eastern Mek
auye1239,Auye-Dao
meew1234,Mee-Wodani
raic1241,Rai Coast
croi1234,Croisilles
kala1403,Kalamic-South Adelbert
west2865,Western Mayan
yuca1252,Yucatecan
quic1274,Quichean-Mamean
inui1246,Inuit
yupi1267,Yupik
biag1235,Biage-Mountain Koiali
koit1243,Koita-Koiari
bara1377,Barai-Namiae
nimy1236,Nim Yokuts
buru1328,Burun
lwoo1234,Lwoo
dink1261,Dinka-Nuer
tato1241,Tatoga-Omotik
kale1246,Kalenjin
teso1247,Teso-Lotuxo-Maa
bari1283,Barian
saaf1239,Saafi-Noon-Lehar
palo1244,Palor-Ndut
temn1245,Northern Mel
bull1245,Southern Mel
nort3149,North Volta-Congo
kwav1236,Kwa Volta-Congo
benu1247,Benue-Congo
unun9902,Unclassified Volta-Congo
jaad1234,Jaad
tend1239,Tenda
nalu1241,Naluic
peul1234,Fula-Sereer
cent2230,Central Atlantic
wolo1248,Wolof-BKK
arab1396,Arabela-Andoa
cahu1267,Cahuarano-Iquito
aran1267,Arandic
thur1253,Thura-Yura
west2440,Western-Inland Yolngu
sout3142,Southern Yolngu
mirn1243,Mirning
pilb1234,Pilbara
kart1249,Kartu-Nhanda
unun9965,Unclassified Greater Maric
guwa1245,Guwa-Maric
vict1234,Victorian Pama-Nyungan
nort3154,North Coast Pama-Nyungan
wira1261,Wiradhuric
news1235,New South Wales Pama-Nyungan
cent2016,Central Karnic
badj1246,Badjiri-Eastern Karnic
palk1239,Palku
pirr1239,Pirriya-Kungkari
fina1240,Finasleigh Pama
alay1234,Alaya-Athima
norm1247,Norman Pama
lama1273,Lamalamic
sout3141,Southwest Pama
maya1279,Mayabic
nort2758,Northern Pama
comp1236,Compromise Middle Pama
marr1265,Marrngu
ngum1251,Ngumpin-Yapa
wati1241,Wati
yuga1242,Yugambalic
sout2766,Southern Ngarna
yala1261,Yalandyic
yidi1249,Yidinic
mapi1253,Pidjanan
