incident_date,state,airport_id,airport,operator,atype,type_eng,species_id,species,damage,num_engs,incident_month,incident_year,time_of_day,time,height,speed,phase_of_flt,sky,precip,cost_repairs_infl_adj
2018-12-02T00:00:00Z,PA,KPHL,PHILADELPHIA INTL,AMERICAN AIRLINES,A-321,D,1C2101,Eastern red bat,N,2,12,2018,Day,1731,0,150,Take-off run,NA,NA,NA
2018-12-02T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,Y9031,Tropical kingbird,N,2,12,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-12-02T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,B-737-800,D,YH004,Horned lark,N,2,12,2018,NA,NA,200,150,Approach,NA,NA,NA
2018-12-01T00:00:00Z,PA,KPHL,PHILADELPHIA INTL,AMERICAN AIRLINES,A-321,D,UNKB,Unknown bird,NA,2,12,2018,Dusk,1733,NA,NA,Departure,NA,NA,NA
2018-12-01T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-319,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,945,0,NA,Landing Roll,NA,NA,NA
2018-12-01T00:00:00Z,N/A,MRLB,DANIEL ODUBER QUIROS INTL,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,1435,300,140,Approach,No Cloud,None,NA
2018-12-01T00:00:00Z,N/A,MROC,JUAN SANTAMARIA INTL,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,12,2018,Day,1319,8,144,Approach,Some Cloud,None,NA
2018-11-29T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,UNKNOWN,NA,ZX002,Lapland longspur,N,NA,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-29T00:00:00Z,MO,KSTL,LAMBERT-ST LOUIS INTL,AMERICAN AIRLINES,B-737-800,D,J2142,Bufflehead,N,2,11,2018,Night,2220,500,145,Approach,Overcast,None,NA
2018-11-29T00:00:00Z,FL,KMIA,MIAMI INTL,AMERICAN AIRLINES,A-321,D,UNKB,Unknown bird,N,2,11,2018,Day,1430,NA,NA,Arrival,NA,NA,NA
2018-11-28T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-320,D,ZX004,Dark-eyed junco,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-28T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,UNKB,Unknown bird,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-27T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-319,D,ZC204,American pipit,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-27T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-700,D,Z6007,American robin,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-27T00:00:00Z,CA,KSMF,SACRAMENTO INTL,AMERICAN AIRLINES,EMB-170,D,J2104,Northern pintail,M?,2,11,2018,Day,830,2000,180,Approach,Overcast,Fog,NA
2018-11-27T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,B-737-800,D,YI005,Barn swallow,N,2,11,2018,Dusk,1610,400,NA,Approach,NA,NA,NA
2018-11-26T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,A-321,D,O2215,White-winged dove,N,2,11,2018,Day,804,100,NA,Approach,NA,NA,NA
2018-11-26T00:00:00Z,MA,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,AMERICAN AIRLINES,A-321,D,NE101,Herring gull,N,2,11,2018,Day,1451,20,135,Approach,Overcast,None,NA
2018-11-26T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-321,D,Z6007,American robin,N,2,11,2018,Night,2120,4000,170,Approach,No Cloud,None,NA
2018-11-26T00:00:00Z,CA,KLAX,LOS ANGELES INTL,AMERICAN AIRLINES,A-319,D,ZC204,American pipit,N,2,11,2018,Day,825,500,140,Approach,No Cloud,None,NA
2018-11-25T00:00:00Z,N/A,TNCC,HATO INTL ARPT,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,11,2018,Day,1610,20,145,Approach,No Cloud,None,NA
2018-11-25T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2,11,2018,Night,2020,2300,180,Approach,No Cloud,None,NA
2018-11-25T00:00:00Z,FL,KJAX,JACKSONVILLE INTL,AMERICAN AIRLINES,EMB-170,D,ZX313,Chipping sparrow,N,2,11,2018,Night,2240,NA,NA,Approach,Some Cloud,None,NA
2018-11-24T00:00:00Z,MO,KMCI,KANSAS CITY INTL,AMERICAN AIRLINES,B-737-800,D,ZX004,Dark-eyed junco,N,2,11,2018,Night,2245,200,151,Approach,Overcast,None,NA
2018-11-24T00:00:00Z,MA,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,AMERICAN AIRLINES,B-737-800,D,J2137,American black duck,M?,2,11,2018,Day,735,NA,NA,Climb,No Cloud,None,NA
2018-11-24T00:00:00Z,IL,KPIA,PEORIA INTL ARPT,AMERICAN AIRLINES,CRJ100/200,D,O2205,Mourning dove,NA,2,11,2018,Day,1330,700,NA,Climb,No Cloud,None,NA
2018-11-23T00:00:00Z,VI,TISX,HENRY E ROHLSEN ARPT,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,11,2018,Night,2144,50,150,Approach,No Cloud,None,NA
2018-11-23T00:00:00Z,CA,KLAX,LOS ANGELES INTL,AMERICAN AIRLINES,A-319,D,F1002,Western grebe,N,2,11,2018,Night,1820,1500,160,Approach,No Cloud,None,NA
2018-11-21T00:00:00Z,NY,KJFK,JOHN F KENNEDY INTL,AMERICAN AIRLINES,B-777-200,D,UNKBL,Unknown bird - large,M?,2,11,2018,Night,2218,4000,230,Climb,No Cloud,None,NA
2018-11-21T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,Z6007,American robin,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-21T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,ZX303,Savannah sparrow,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-21T00:00:00Z,MA,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,AMERICAN AIRLINES,A-321,D,YH004,Horned lark,N,2,11,2018,Day,1105,0,120,Take-off run,Some Cloud,None,NA
2018-11-20T00:00:00Z,FL,KJAX,JACKSONVILLE INTL,AMERICAN AIRLINES,A-319,D,UNKB,Unknown bird,N,2,11,2018,Day,1100,NA,NA,Climb,NA,NA,NA
2018-11-20T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,B-737-800,D,UNKB,Unknown bird,NA,2,11,2018,Day,1648,NA,NA,Approach,NA,NA,NA
2018-11-20T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-319,D,UNKB,Unknown bird,N,2,11,2018,Day,1147,500,150,Approach,No Cloud,None,NA
2018-11-19T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,CRJ700,D,N5111,Killdeer,NA,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-19T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,MD-83,D,UNKBS,Unknown bird - small,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-19T00:00:00Z,N/A,RJAA,NARITA INTL ARPT,AMERICAN AIRLINES,B-787-8,D,UNKBS,Unknown bird - small,N,2,11,2018,Dusk,1615,100,135,Approach,No Cloud,None,NA
2018-11-18T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,B-737-800,D,ZD102,Cedar waxwing,M?,2,11,2018,Night,1930,3000,180,Approach,No Cloud,None,NA
2018-11-17T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-321,D,ZX017,American goldfinch,N,2,11,2018,Day,1025,200,150,Approach,No Cloud,None,NA
2018-11-17T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,Z6007,American robin,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-17T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-330,D,UNKB,Unknown bird,N,2,11,2018,Night,2110,3750,250,Climb,No Cloud,None,NA
2018-11-17T00:00:00Z,FL,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,AMERICAN AIRLINES,B-737-800,D,K1001,Black vulture,N,2,11,2018,Day,1130,NA,NA,Approach,Overcast,None,NA
2018-11-16T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-320,D,Z6007,American robin,N,2,11,2018,Night,2326,NA,NA,Approach,No Cloud,None,NA
2018-11-16T00:00:00Z,FL,KMCO,ORLANDO INTL,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2,11,2018,Day,1500,3000,190,Approach,No Cloud,None,NA
2018-11-15T00:00:00Z,N/A,MDPC,PUNTA CANA INTL,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,11,2018,Day,1521,100,151,Approach,No Cloud,None,NA
2018-11-15T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,J2109,Mallard,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-15T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,UNKB,Unknown bird,N,2,11,2018,Day,NA,NA,NA,NA,NA,NA,NA
2018-11-14T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,B-737-800,D,ZS013,Orange-crowned warbler,N,2,11,2018,Night,1845,300,145,Approach,No Cloud,None,NA
2018-11-14T00:00:00Z,PA,KPHL,PHILADELPHIA INTL,AMERICAN AIRLINES,A-330,D,UNKBM,Unknown bird - medium,N,2,11,2018,Night,1729,4000,180,Approach,No Cloud,None,NA
2018-11-14T00:00:00Z,PA,KPHL,PHILADELPHIA INTL,AMERICAN AIRLINES,A-321,D,UNKBS,Unknown bird - small,N,2,11,2018,Night,1745,2000,180,Approach,No Cloud,None,NA
2018-11-13T00:00:00Z,IL,KORD,CHICAGO O'HARE INTL ARPT,AMERICAN AIRLINES,B-737-800,D,J2204,Canada goose,M?,2,11,2018,Day,1045,3400,250,Climb,No Cloud,None,NA
2018-11-13T00:00:00Z,FL,KJAX,JACKSONVILLE INTL,AMERICAN AIRLINES,EMB-190,D,1C2201,Brazilian free-tailed bat,N,2,11,2018,Night,2316,100,135,Approach,Some Cloud,NA,NA
2018-11-13T00:00:00Z,TX,KSAT,SAN ANTONIO INTL,AMERICAN AIRLINES,B-737-800,D,ZT001,Eastern meadowlark,N,2,11,2018,Day,1505,NA,NA,Departure,NA,NA,NA
2018-11-12T00:00:00Z,TX,KSAT,SAN ANTONIO INTL,AMERICAN AIRLINES,A-321,D,ZT002,Western meadowlark,N,2,11,2018,Day,910,0,120,Landing Roll,Overcast,Rain,NA
2018-11-11T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-319,D,ZS009,Yellow-rumped warbler,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-10T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,A-319,D,Z6007,American robin,N,2,11,2018,Night,2028,7000,NA,Approach,No Cloud,None,NA
2018-11-10T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,ZD102,Cedar waxwing,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-10T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,X6102,Yellow-bellied sapsucker,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-10T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,ZD102,Cedar waxwing,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-10T00:00:00Z,NC,KCLT,CHARLOTTE/DOUGLAS INTL ARPT,AMERICAN AIRLINES,B-737-800,D,Z6007,American robin,N,2,11,2018,Dusk,1814,3700,NA,Approach,Some Cloud,None,NA
2018-11-10T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-320,D,Z6007,American robin,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-10T00:00:00Z,OK,KOKC,WILL ROGERS WORLD ARPT,AMERICAN AIRLINES,MD-83,D,ZT101,Red-winged blackbird,N,2,11,2018,Day,1430,0,NA,Landing Roll,NA,NA,NA
2018-11-09T00:00:00Z,MA,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,AMERICAN AIRLINES,EMB-190,D,UNKBL,Unknown bird - large,M?,2,11,2018,Night,2113,50,150,Climb,Overcast,Rain,NA
2018-11-09T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,B-737-800,D,UNKBM,Unknown bird - medium,N,2,11,2018,Day,930,1000,157,Approach,Some Cloud,None,NA
2018-11-09T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,J2104,Northern pintail,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-09T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-319,D,Z6007,American robin,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-08T00:00:00Z,CA,KSFO,SAN FRANCISCO INTL ARPT,AMERICAN AIRLINES,B-787-8,D,ZC204,American pipit,N,2,11,2018,Day,941,100,130,Approach,No Cloud,None,NA
2018-11-08T00:00:00Z,PA,KPHL,PHILADELPHIA INTL,AMERICAN AIRLINES,A-321,D,UNKBL,Unknown bird - large,N,2,11,2018,Dusk,1758,4000,190,Approach,No Cloud,NA,NA
2018-11-08T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,ZT002,Western meadowlark,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-08T00:00:00Z,TX,KAUS,AUSTIN-BERGSTROM INTL,AMERICAN AIRLINES,A-320,D,UNKBS,Unknown bird - small,N,2,11,2018,Night,2000,300,140,Approach,Overcast,Fog,NA
2018-11-08T00:00:00Z,TX,KAUS,AUSTIN-BERGSTROM INTL,AMERICAN AIRLINES,A-321,D,O2205,Mourning dove,NA,2,11,2018,Dawn,630,0,NA,Take-off run,Overcast,None,NA
2018-11-08T00:00:00Z,PA,KPHL,PHILADELPHIA INTL,AMERICAN AIRLINES,A-321,D,UNKBL,Unknown bird - large,M?,2,11,2018,Night,1853,4000,190,Approach,No Cloud,None,NA
2018-11-08T00:00:00Z,FL,KMIA,MIAMI INTL,AMERICAN AIRLINES,B-737-800,D,K5114,American kestrel,N,2,11,2018,Day,714,250,200,Climb,Some Cloud,None,NA
2018-11-07T00:00:00Z,CA,KSFO,SAN FRANCISCO INTL ARPT,AMERICAN AIRLINES,A-321,D,ZC204,American pipit,N,2,11,2018,Day,1445,200,NA,Approach,NA,NA,NA
2018-11-07T00:00:00Z,TX,KDFW,DALLAS/FORT WORTH INTL ARPT,AMERICAN AIRLINES,B-737-800,D,ZC204,American pipit,N,2,11,2018,Dusk,1708,100,130,Approach,No Cloud,None,NA
2018-11-07T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,ZS009,Yellow-rumped warbler,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-06T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-319,D,1C21,Vesper bats,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-06T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-787-8,D,ZX314,Lincoln's sparrow,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-06T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,EMB-190,D,ZX303,Savannah sparrow,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-06T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-757-200,D,ZX315,Song sparrow,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-06T00:00:00Z,IN,KEVV,EVANSVILLE REGIONAL,AMERICAN AIRLINES,EMB-145,D,ZX305,White-throated sparrow,N,2,11,2018,Night,2315,500,185,Approach,Some Cloud,None,NA
2018-11-05T00:00:00Z,CA,KSMF,SACRAMENTO INTL,AMERICAN AIRLINES,A-321,D,Z6007,American robin,N,2,11,2018,Dusk,1700,9000,210,Descent,No Cloud,None,NA
2018-11-05T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,ZS009,Yellow-rumped warbler,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-05T00:00:00Z,MA,KBOS,GENERAL EDWARD LAWRENCE LOGAN INTL ARPT,AMERICAN AIRLINES,B-737-800,D,N6013,Dunlin,N,2,11,2018,Night,110,150,154,Approach,No Cloud,None,NA
2018-11-05T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,A-321,D,ZS019,Nashville warbler,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-05T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,ZX024,Lesser goldfinch,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-05T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,EMB-135,D,ZX302,Swamp sparrow,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-05T00:00:00Z,N/A,ZZZZ,UNKNOWN,AMERICAN AIRLINES,B-737-800,D,1C2101,Eastern red bat,N,2,11,2018,NA,NA,NA,NA,NA,NA,NA,NA
2018-11-04T00:00:00Z,N/A,TKPK,ROBT L BRADSHAW INTL,AMERICAN AIRLINES,B-737-800,D,UNKBS,Unknown bird - small,N,2,11,2018,Day,800,100,165,Climb,Some Cloud,None,NA
