category,meta_cat,group_num,year,gross_inv_chain
Total social infrastructure,Total infrastructure,1,1973,89882.361
Total social infrastructure,Total infrastructure,1,1974,87969.74900000001
Total social infrastructure,Total infrastructure,1,1975,82846.96800000001
Total social infrastructure,Total infrastructure,1,1976,81440.97700000001
Total social infrastructure,Total infrastructure,1,1977,73179.281
Total social infrastructure,Total infrastructure,1,1978,74003.714
Total social infrastructure,Total infrastructure,1,1979,74398.97899999999
Total social infrastructure,Total infrastructure,1,1980,78046.62599999999
Total social infrastructure,Total infrastructure,1,1981,76974.131
Total social infrastructure,Total infrastructure,1,1982,82650.829
Total social infrastructure,Total infrastructure,1,1983,83091.628
Total social infrastructure,Total infrastructure,1,1984,87280.62900000002
Total social infrastructure,Total infrastructure,1,1985,89429.505
Total social infrastructure,Total infrastructure,1,1986,93626.379
Total social infrastructure,Total infrastructure,1,1987,99086.164
Total social infrastructure,Total infrastructure,1,1988,103315.957
Total social infrastructure,Total infrastructure,1,1989,108087.399
Total social infrastructure,Total infrastructure,1,1990,115807.949
Total social infrastructure,Total infrastructure,1,1991,120673.21800000001
Total social infrastructure,Total infrastructure,1,1992,125714.84
Total social infrastructure,Total infrastructure,1,1993,124761.15
Total social infrastructure,Total infrastructure,1,1994,122663.19
Total social infrastructure,Total infrastructure,1,1995,130902.94999999998
Total social infrastructure,Total infrastructure,1,1996,139991.001
Total social infrastructure,Total infrastructure,1,1997,154985.597
Total social infrastructure,Total infrastructure,1,1998,164226.289
Total social infrastructure,Total infrastructure,1,1999,169000.092
Total social infrastructure,Total infrastructure,1,2000,178822.196
Total social infrastructure,Total infrastructure,1,2001,188160.301
Total social infrastructure,Total infrastructure,1,2002,197698.747
Total social infrastructure,Total infrastructure,1,2003,204524.869
Total social infrastructure,Total infrastructure,1,2004,206784.85
Total social infrastructure,Total infrastructure,1,2005,212726.626
Total social infrastructure,Total infrastructure,1,2006,221183.88299999997
Total social infrastructure,Total infrastructure,1,2007,232880.311
Total social infrastructure,Total infrastructure,1,2008,238499.15500000003
Total social infrastructure,Total infrastructure,1,2009,223397.735
Total social infrastructure,Total infrastructure,1,2010,213253.21000000002
Total social infrastructure,Total infrastructure,1,2011,210692.54100000003
Total social infrastructure,Total infrastructure,1,2012,213631.093
Total social infrastructure,Total infrastructure,1,2013,213384.755
Total social infrastructure,Total infrastructure,1,2014,210088.009
Total social infrastructure,Total infrastructure,1,2015,219922.343
Total social infrastructure,Total infrastructure,1,2016,231330.07299999997
Total social infrastructure,Total infrastructure,1,2017,247348.38700000002
Total digital infrastructure,Total infrastructure,1,1947,4815
Total digital infrastructure,Total infrastructure,1,1948,6273
Total digital infrastructure,Total infrastructure,1,1949,4647
Total digital infrastructure,Total infrastructure,1,1950,3904
Total digital infrastructure,Total infrastructure,1,1951,3952
Total digital infrastructure,Total infrastructure,1,1952,4658
Total digital infrastructure,Total infrastructure,1,1953,4935
Total digital infrastructure,Total infrastructure,1,1954,5082
Total digital infrastructure,Total infrastructure,1,1955,5677
Total digital infrastructure,Total infrastructure,1,1956,7866
Total digital infrastructure,Total infrastructure,1,1957,7624
Total digital infrastructure,Total infrastructure,1,1958,6509
Total digital infrastructure,Total infrastructure,1,1959,6731
Total digital infrastructure,Total infrastructure,1,1960,7762
Total digital infrastructure,Total infrastructure,1,1961,7184
Total digital infrastructure,Total infrastructure,1,1962,7711
Total digital infrastructure,Total infrastructure,1,1963,8356
Total digital infrastructure,Total infrastructure,1,1964,9365
Total digital infrastructure,Total infrastructure,1,1965,10367
Total digital infrastructure,Total infrastructure,1,1966,11008
Total digital infrastructure,Total infrastructure,1,1967,10846
Total digital infrastructure,Total infrastructure,1,1968,11147
Total digital infrastructure,Total infrastructure,1,1969,13519
Total digital infrastructure,Total infrastructure,1,1970,16111
Total digital infrastructure,Total infrastructure,1,1971,16173
Total digital infrastructure,Total infrastructure,1,1972,16807
Total digital infrastructure,Total infrastructure,1,1973,19030
Total digital infrastructure,Total infrastructure,1,1974,18036
Total digital infrastructure,Total infrastructure,1,1975,15691
Total digital infrastructure,Total infrastructure,1,1976,15890
Total digital infrastructure,Total infrastructure,1,1977,17928
Total digital infrastructure,Total infrastructure,1,1978,20279
Total digital infrastructure,Total infrastructure,1,1979,22084
Total digital infrastructure,Total infrastructure,1,1980,22650
Total digital infrastructure,Total infrastructure,1,1981,23329
Total digital infrastructure,Total infrastructure,1,1982,23561
Total digital infrastructure,Total infrastructure,1,1983,21925
Total digital infrastructure,Total infrastructure,1,1984,23354
Total digital infrastructure,Total infrastructure,1,1985,23747
Total digital infrastructure,Total infrastructure,1,1986,26295
Total digital infrastructure,Total infrastructure,1,1987,26995
Total digital infrastructure,Total infrastructure,1,1988,28290
Total digital infrastructure,Total infrastructure,1,1989,26768
Total digital infrastructure,Total infrastructure,1,1990,26895
Total digital infrastructure,Total infrastructure,1,1991,25100
Total digital infrastructure,Total infrastructure,1,1992,26564
Total digital infrastructure,Total infrastructure,1,1993,28507
Total digital infrastructure,Total infrastructure,1,1994,30943
Total digital infrastructure,Total infrastructure,1,1995,33178
Total digital infrastructure,Total infrastructure,1,1996,36511
Total digital infrastructure,Total infrastructure,1,1997,40855
Total digital infrastructure,Total infrastructure,1,1998,46552
Total digital infrastructure,Total infrastructure,1,1999,66463
Total digital infrastructure,Total infrastructure,1,2000,81909
Total digital infrastructure,Total infrastructure,1,2001,80418
Total digital infrastructure,Total infrastructure,1,2002,66152
Total digital infrastructure,Total infrastructure,1,2003,60051
Total digital infrastructure,Total infrastructure,1,2004,66100
Total digital infrastructure,Total infrastructure,1,2005,71730
Total digital infrastructure,Total infrastructure,1,2006,84807
Total digital infrastructure,Total infrastructure,1,2007,98321
Total digital infrastructure,Total infrastructure,1,2008,98427
Total digital infrastructure,Total infrastructure,1,2009,90831
Total digital infrastructure,Total infrastructure,1,2010,111831
Total digital infrastructure,Total infrastructure,1,2011,116208
Total digital infrastructure,Total infrastructure,1,2012,124585
Total digital infrastructure,Total infrastructure,1,2013,144240
Total digital infrastructure,Total infrastructure,1,2014,160814
Total digital infrastructure,Total infrastructure,1,2015,181097
Total digital infrastructure,Total infrastructure,1,2016,211011
Total digital infrastructure,Total infrastructure,1,2017,245817
Private,Total infrastructure,2,1947,50831
Private,Total infrastructure,2,1948,57295
Private,Total infrastructure,2,1949,61234
Private,Total infrastructure,2,1950,64418
Private,Total infrastructure,2,1951,65184
Private,Total infrastructure,2,1952,68257
Private,Total infrastructure,2,1953,72384
Private,Total infrastructure,2,1954,69891
Private,Total infrastructure,2,1955,66281
Private,Total infrastructure,2,1956,72252
Private,Total infrastructure,2,1957,76313
Private,Total infrastructure,2,1958,73615
Private,Total infrastructure,2,1959,70465
Private,Total infrastructure,2,1960,72997
Private,Total infrastructure,2,1961,71973
Private,Total infrastructure,2,1962,75181
Private,Total infrastructure,2,1963,76553
Private,Total infrastructure,2,1964,84415
Private,Total infrastructure,2,1965,92256
Private,Total infrastructure,2,1966,100723
Private,Total infrastructure,2,1967,108789
Private,Total infrastructure,2,1968,117967
Private,Total infrastructure,2,1969,121507
Private,Total infrastructure,2,1970,125205
Private,Total infrastructure,2,1971,127144
Private,Total infrastructure,2,1972,133653
Private,Total infrastructure,2,1973,138745
Private,Total infrastructure,2,1974,129494
Private,Total infrastructure,2,1975,121840
Private,Total infrastructure,2,1976,125889
Private,Total infrastructure,2,1977,125046
Private,Total infrastructure,2,1978,127281
Private,Total infrastructure,2,1979,130908
Private,Total infrastructure,2,1980,133532
Private,Total infrastructure,2,1981,137287
Private,Total infrastructure,2,1982,139077
Private,Total infrastructure,2,1983,133053
Private,Total infrastructure,2,1984,147515
Private,Total infrastructure,2,1985,162933
Private,Total infrastructure,2,1986,157563
Private,Total infrastructure,2,1987,165269
Private,Total infrastructure,2,1988,154300
Private,Total infrastructure,2,1989,156311
Private,Total infrastructure,2,1990,164779
Private,Total infrastructure,2,1991,160934
Private,Total infrastructure,2,1992,164657
Private,Total infrastructure,2,1993,173375
Private,Total infrastructure,2,1994,162581
Private,Total infrastructure,2,1995,173518
Private,Total infrastructure,2,1996,180258
Private,Total infrastructure,2,1997,189133
Private,Total infrastructure,2,1998,211110
Private,Total infrastructure,2,1999,230423
Private,Total infrastructure,2,2000,268055
Private,Total infrastructure,2,2001,271370
Private,Total infrastructure,2,2002,259049
Private,Total infrastructure,2,2003,258642
Private,Total infrastructure,2,2004,252392
Private,Total infrastructure,2,2005,268116
Private,Total infrastructure,2,2006,297364
Private,Total infrastructure,2,2007,351304
Private,Total infrastructure,2,2008,364852
Private,Total infrastructure,2,2009,347122
Private,Total infrastructure,2,2010,351096
Private,Total infrastructure,2,2011,356645
Private,Total infrastructure,2,2012,397104
Private,Total infrastructure,2,2013,416992
Private,Total infrastructure,2,2014,448884
Private,Total infrastructure,2,2015,468155
Private,Total infrastructure,2,2016,505708
Private,Total infrastructure,2,2017,553909
Federal,Total infrastructure,2,1947,6022.223
Federal,Total infrastructure,2,1948,8373.119999999999
Federal,Total infrastructure,2,1949,11082.085
Federal,Total infrastructure,2,1950,11561.247
Federal,Total infrastructure,2,1951,10691.437
Federal,Total infrastructure,2,1952,10513.588
Federal,Total infrastructure,2,1953,9801.191
Federal,Total infrastructure,2,1954,8748.714
Federal,Total infrastructure,2,1955,7431.9130000000005
Federal,Total infrastructure,2,1956,7891.9580000000005
Federal,Total infrastructure,2,1957,8788.203000000001
Federal,Total infrastructure,2,1958,9620.510999999999
Federal,Total infrastructure,2,1959,11032.997
Federal,Total infrastructure,2,1960,12129.847
Federal,Total infrastructure,2,1961,13725.764
Federal,Total infrastructure,2,1962,14645.496
Federal,Total infrastructure,2,1963,15150.820999999998
Federal,Total infrastructure,2,1964,15565.988000000001
Federal,Total infrastructure,2,1965,16380.353
Federal,Total infrastructure,2,1966,16775.795
Federal,Total infrastructure,2,1967,13871.34
Federal,Total infrastructure,2,1968,12932.989
Federal,Total infrastructure,2,1969,11049.071
Federal,Total infrastructure,2,1970,11530.823
Federal,Total infrastructure,2,1971,12581.559000000001
Federal,Total infrastructure,2,1972,12711.076000000001
Federal,Total infrastructure,2,1973,13137.380000000001
Federal,Total infrastructure,2,1974,13296.048
Federal,Total infrastructure,2,1975,14277.25
Federal,Total infrastructure,2,1976,14559.074
Federal,Total infrastructure,2,1977,15598.039
Federal,Total infrastructure,2,1978,18119.041999999998
Federal,Total infrastructure,2,1979,17130.405
Federal,Total infrastructure,2,1980,16795.501000000004
Federal,Total infrastructure,2,1981,16418.256
Federal,Total infrastructure,2,1982,14088.526
Federal,Total infrastructure,2,1983,13420.004
Federal,Total infrastructure,2,1984,13397.072
Federal,Total infrastructure,2,1985,12744.195
Federal,Total infrastructure,2,1986,12110.229
Federal,Total infrastructure,2,1987,13088.734
Federal,Total infrastructure,2,1988,11640.087
Federal,Total infrastructure,2,1989,11221.906
Federal,Total infrastructure,2,1990,11556.344000000001
Federal,Total infrastructure,2,1991,12364.21
Federal,Total infrastructure,2,1992,14495.809
Federal,Total infrastructure,2,1993,15072.919
Federal,Total infrastructure,2,1994,14236.594000000001
Federal,Total infrastructure,2,1995,13861.314
Federal,Total infrastructure,2,1996,12755.695000000002
Federal,Total infrastructure,2,1997,10935.892
Federal,Total infrastructure,2,1998,10018.105
Federal,Total infrastructure,2,1999,9619.815999999999
Federal,Total infrastructure,2,2000,9253.856
Federal,Total infrastructure,2,2001,9136.654
Federal,Total infrastructure,2,2002,10580.971
Federal,Total infrastructure,2,2003,9916.455
Federal,Total infrastructure,2,2004,9133.226
Federal,Total infrastructure,2,2005,7246.392
Federal,Total infrastructure,2,2006,7194.168
Federal,Total infrastructure,2,2007,7269.455
Federal,Total infrastructure,2,2008,7165.231000000001
Federal,Total infrastructure,2,2009,8917.366
Federal,Total infrastructure,2,2010,11114.812
Federal,Total infrastructure,2,2011,11862.189
Federal,Total infrastructure,2,2012,9659
Federal,Total infrastructure,2,2013,8595.637999999999
Federal,Total infrastructure,2,2014,8598.409
Federal,Total infrastructure,2,2015,9333.525000000001
Federal,Total infrastructure,2,2016,8997.112000000001
Federal,Total infrastructure,2,2017,8208.726
S&L,Total infrastructure,2,1947,33289.217000000004
S&L,Total infrastructure,2,1948,44110.43
S&L,Total infrastructure,2,1949,59012.893
S&L,Total infrastructure,2,1950,68653.998
S&L,Total infrastructure,2,1951,68909.45
S&L,Total infrastructure,2,1952,70974.342
S&L,Total infrastructure,2,1953,78726.063
S&L,Total infrastructure,2,1954,98468.136
S&L,Total infrastructure,2,1955,108517.59699999998
S&L,Total infrastructure,2,1956,110201.95300000001
S&L,Total infrastructure,2,1957,116136.15900000001
S&L,Total infrastructure,2,1958,127865.569
S&L,Total infrastructure,2,1959,131233.451
S&L,Total infrastructure,2,1960,131815.527
S&L,Total infrastructure,2,1961,142574.321
S&L,Total infrastructure,2,1962,144930.56299999997
S&L,Total infrastructure,2,1963,159889.10300000003
S&L,Total infrastructure,2,1964,169345.945
S&L,Total infrastructure,2,1965,180557.623
S&L,Total infrastructure,2,1966,193014.47400000002
S&L,Total infrastructure,2,1967,201238.61800000002
S&L,Total infrastructure,2,1968,209137.38199999998
S&L,Total infrastructure,2,1969,192474.11999999997
S&L,Total infrastructure,2,1970,179282.87399999998
S&L,Total infrastructure,2,1971,172882.02899999998
S&L,Total infrastructure,2,1972,167124.592
S&L,Total infrastructure,2,1973,163795.845
S&L,Total infrastructure,2,1974,160392.928
S&L,Total infrastructure,2,1975,154254.043
S&L,Total infrastructure,2,1976,152221.494
S&L,Total infrastructure,2,1977,142803.72699999998
S&L,Total infrastructure,2,1978,158510.776
S&L,Total infrastructure,2,1979,167356.81999999998
S&L,Total infrastructure,2,1980,165178.981
S&L,Total infrastructure,2,1981,146040.578
S&L,Total infrastructure,2,1982,133285.353
S&L,Total infrastructure,2,1983,132512.777
S&L,Total infrastructure,2,1984,151185.67500000002
S&L,Total infrastructure,2,1985,166631.408
S&L,Total infrastructure,2,1986,175738.067
S&L,Total infrastructure,2,1987,178724.843
S&L,Total infrastructure,2,1988,187609.93099999998
S&L,Total infrastructure,2,1989,190344.056
S&L,Total infrastructure,2,1990,203416.24
S&L,Total infrastructure,2,1991,209850.428
S&L,Total infrastructure,2,1992,211516.106
S&L,Total infrastructure,2,1993,208990.896
S&L,Total infrastructure,2,1994,212563.195
S&L,Total infrastructure,2,1995,215572.322
S&L,Total infrastructure,2,1996,222397.849
S&L,Total infrastructure,2,1997,232215.88400000002
S&L,Total infrastructure,2,1998,241514.394
S&L,Total infrastructure,2,1999,255153.89299999998
S&L,Total infrastructure,2,2000,267012.592
S&L,Total infrastructure,2,2001,284809.783
S&L,Total infrastructure,2,2002,291246.935
S&L,Total infrastructure,2,2003,295135.787
S&L,Total infrastructure,2,2004,290847.329
S&L,Total infrastructure,2,2005,280689.957
S&L,Total infrastructure,2,2006,282861.387
S&L,Total infrastructure,2,2007,276287.106
S&L,Total infrastructure,2,2008,273611.831
S&L,Total infrastructure,2,2009,270831.18200000003
S&L,Total infrastructure,2,2010,261303.36800000002
S&L,Total infrastructure,2,2011,247060.37400000004
S&L,Total infrastructure,2,2012,231847.393
S&L,Total infrastructure,2,2013,223031.85199999996
S&L,Total infrastructure,2,2014,224439.81
S&L,Total infrastructure,2,2015,234259.37099999998
S&L,Total infrastructure,2,2016,240296.326
S&L,Total infrastructure,2,2017,237085.91999999998
Private,Total basic infrastructure,3,1947,40660
Private,Total basic infrastructure,3,1948,44547
Private,Total basic infrastructure,3,1949,49005
Private,Total basic infrastructure,3,1950,50740
Private,Total basic infrastructure,3,1951,50975
Private,Total basic infrastructure,3,1952,53917
Private,Total basic infrastructure,3,1953,57348
Private,Total basic infrastructure,3,1954,52677
Private,Total basic infrastructure,3,1955,48978
Private,Total basic infrastructure,3,1956,51937
Private,Total basic infrastructure,3,1957,55620
Private,Total basic infrastructure,3,1958,52457
Private,Total basic infrastructure,3,1959,49469
Private,Total basic infrastructure,3,1960,49806
Private,Total basic infrastructure,3,1961,47001
Private,Total basic infrastructure,3,1962,46854
Private,Total basic infrastructure,3,1963,47332
Private,Total basic infrastructure,3,1964,51141
Private,Total basic infrastructure,3,1965,56528
Private,Total basic infrastructure,3,1966,62681
Private,Total basic infrastructure,3,1967,71098
Private,Total basic infrastructure,3,1968,78289
Private,Total basic infrastructure,3,1969,76442
Private,Total basic infrastructure,3,1970,76985
Private,Total basic infrastructure,3,1971,76675
Private,Total basic infrastructure,3,1972,81766
Private,Total basic infrastructure,3,1973,85728
Private,Total basic infrastructure,3,1974,80473
Private,Total basic infrastructure,3,1975,77974
Private,Total basic infrastructure,3,1976,80388
Private,Total basic infrastructure,3,1977,78560
Private,Total basic infrastructure,3,1978,77435
Private,Total basic infrastructure,3,1979,78059
Private,Total basic infrastructure,3,1980,76779
Private,Total basic infrastructure,3,1981,76057
Private,Total basic infrastructure,3,1982,68694
Private,Total basic infrastructure,3,1983,61930
Private,Total basic infrastructure,3,1984,74235
Private,Total basic infrastructure,3,1985,88973
Private,Total basic infrastructure,3,1986,81645
Private,Total basic infrastructure,3,1987,83936
Private,Total basic infrastructure,3,1988,70541
Private,Total basic infrastructure,3,1989,73542
Private,Total basic infrastructure,3,1990,78508
Private,Total basic infrastructure,3,1991,78586
Private,Total basic infrastructure,3,1992,78867
Private,Total basic infrastructure,3,1993,82411
Private,Total basic infrastructure,3,1994,71310
Private,Total basic infrastructure,3,1995,81117
Private,Total basic infrastructure,3,1996,79584
Private,Total basic infrastructure,3,1997,74494
Private,Total basic infrastructure,3,1998,85596
Private,Total basic infrastructure,3,1999,85116
Private,Total basic infrastructure,3,2000,101277
Private,Total basic infrastructure,3,2001,103821
Private,Total basic infrastructure,3,2002,98729
Private,Total basic infrastructure,3,2003,98753
Private,Total basic infrastructure,3,2004,83380
Private,Total basic infrastructure,3,2005,86217
Private,Total basic infrastructure,3,2006,97289
Private,Total basic infrastructure,3,2007,126058
Private,Total basic infrastructure,3,2008,134904
Private,Total basic infrastructure,3,2009,132460
Private,Total basic infrastructure,3,2010,119891
Private,Total basic infrastructure,3,2011,119175
Private,Total basic infrastructure,3,2012,141552
Private,Total basic infrastructure,3,2013,137741
Private,Total basic infrastructure,3,2014,154631
Private,Total basic infrastructure,3,2015,147589
Private,Total basic infrastructure,3,2016,148766
Private,Total basic infrastructure,3,2017,148064
Federal,Total basic infrastructure,3,1947,4006.219
Federal,Total basic infrastructure,3,1948,5495.503
Federal,Total basic infrastructure,3,1949,6168.085
Federal,Total basic infrastructure,3,1950,6729.276
Federal,Total basic infrastructure,3,1951,7712.066000000001
Federal,Total basic infrastructure,3,1952,7943.66
Federal,Total basic infrastructure,3,1953,7752.888000000001
Federal,Total basic infrastructure,3,1954,6824.801
Federal,Total basic infrastructure,3,1955,5796.274
Federal,Total basic infrastructure,3,1956,6185.607
Federal,Total basic infrastructure,3,1957,6982.421
Federal,Total basic infrastructure,3,1958,7968.504999999999
Federal,Total basic infrastructure,3,1959,8399.65
Federal,Total basic infrastructure,3,1960,9104.991
Federal,Total basic infrastructure,3,1961,10261.534
Federal,Total basic infrastructure,3,1962,10970.618999999999
Federal,Total basic infrastructure,3,1963,11136.715999999999
Federal,Total basic infrastructure,3,1964,11598.004
Federal,Total basic infrastructure,3,1965,12065.146
Federal,Total basic infrastructure,3,1966,12418.794999999998
Federal,Total basic infrastructure,3,1967,10118.838
Federal,Total basic infrastructure,3,1968,9156.551
Federal,Total basic infrastructure,3,1969,7788.51
Federal,Total basic infrastructure,3,1970,7858.311
Federal,Total basic infrastructure,3,1971,8620.403
Federal,Total basic infrastructure,3,1972,8770.463
Federal,Total basic infrastructure,3,1973,9016.983
Federal,Total basic infrastructure,3,1974,8776.595000000001
Federal,Total basic infrastructure,3,1975,8917.264
Federal,Total basic infrastructure,3,1976,9102.960000000001
Federal,Total basic infrastructure,3,1977,9505.720000000001
Federal,Total basic infrastructure,3,1978,11091.564999999999
Federal,Total basic infrastructure,3,1979,10620.135
Federal,Total basic infrastructure,3,1980,10177.490000000002
Federal,Total basic infrastructure,3,1981,9842.328
Federal,Total basic infrastructure,3,1982,8330.974
Federal,Total basic infrastructure,3,1983,8096.676000000001
Federal,Total basic infrastructure,3,1984,6909.787
Federal,Total basic infrastructure,3,1985,7969.303
Federal,Total basic infrastructure,3,1986,6440.901
Federal,Total basic infrastructure,3,1987,7152.968
Federal,Total basic infrastructure,3,1988,7442.829
Federal,Total basic infrastructure,3,1989,7176.610000000001
Federal,Total basic infrastructure,3,1990,6440.624
Federal,Total basic infrastructure,3,1991,6909.164999999999
Federal,Total basic infrastructure,3,1992,7964.2119999999995
Federal,Total basic infrastructure,3,1993,7865.375
Federal,Total basic infrastructure,3,1994,7667.486000000001
Federal,Total basic infrastructure,3,1995,7454.046
Federal,Total basic infrastructure,3,1996,6072.388000000001
Federal,Total basic infrastructure,3,1997,5013.025
Federal,Total basic infrastructure,3,1998,4881.675
Federal,Total basic infrastructure,3,1999,5176.061
Federal,Total basic infrastructure,3,2000,5288.540999999999
Federal,Total basic infrastructure,3,2001,5721.9710000000005
Federal,Total basic infrastructure,3,2002,6528.871
Federal,Total basic infrastructure,3,2003,6954.401
Federal,Total basic infrastructure,3,2004,6682.263
Federal,Total basic infrastructure,3,2005,5735.588
Federal,Total basic infrastructure,3,2006,5826.723999999999
Federal,Total basic infrastructure,3,2007,5355.221
Federal,Total basic infrastructure,3,2008,5340.963000000001
Federal,Total basic infrastructure,3,2009,6286.898
Federal,Total basic infrastructure,3,2010,8084.219
Federal,Total basic infrastructure,3,2011,7968.144
Federal,Total basic infrastructure,3,2012,6016
Federal,Total basic infrastructure,3,2013,5289.369
Federal,Total basic infrastructure,3,2014,5737.522
Federal,Total basic infrastructure,3,2015,6714.593000000001
Federal,Total basic infrastructure,3,2016,6469.336
Federal,Total basic infrastructure,3,2017,5667.173000000001
S&L,Total basic infrastructure,3,1947,28612.399
S&L,Total basic infrastructure,3,1948,33175.748
S&L,Total basic infrastructure,3,1949,40586.916
S&L,Total basic infrastructure,3,1950,46173.125
S&L,Total basic infrastructure,3,1951,43577.32400000001
S&L,Total basic infrastructure,3,1952,45416.978
