speaker_name,speaker_affiliation,session_type,session_title,block_track_title,session_date,session_start,session_length,session_abstract
Davis Vaughan,Posit,lightning,dplyr 1.1.0 Features You Can't Live Without,Lightning talks,2023-09-19,2023-09-19T15:40:00Z,6,"Did you enjoy my clickbait title? Did it work? Either way, welcome!

The dplyr 1.1.0 release included a number of new features, such as:

- Per-operation grouping with `.by`
- An overhaul to joins, including new inequality and rolling joins
- New `consecutive_id()` and `case_match()` helpers
- Significant performance improvements in `arrange()`

Join me as we take a tour of this exciting dplyr update, and learn how to use these new features in your own work!"
Daniel Falbel,"Posit, PBC",lightning,What's new in the Torch ecosystem,Lightning talks,2023-09-19,2023-09-19T15:46:00Z,6,"torch is an R port of PyTorch, a scientific computing library that enables fast and easy creation and training of deep learning models. In this talk, you will learn about the latest features and developments in torch, such as luz, a higher level interface that simplifies your model training code, and vetiver, a new integration that allows you to deploy your torch models with just a few lines of code. You will also see how torch works well with other R packages and tools to enhance your data science workflow. Whether you are new to torch or already an experienced user, this talk will show you how torch can help you tackle your data science challenges and inspire you to build your own models."
Daren Eiri,Director of Data Science,lightning,Plumber APIs in Production: How To Get Notified When Your API Fails,Lightning talks,2023-09-19,2023-09-19T15:52:00Z,6,"You’ve deployed an API to production, but how do you know when non-zero exit codes occur? 
Our team has 10 APIs in production used in our organization. They are hosted in Posit Connect, but we also have APIs running in Docker containers deployed on Azure. As of today, Posit Connect is limited in its ability to notify when an API encounters an unexpected error. 

We’ve introduced into our Plumber-based APIs {log4r} and append our logs to syslog, which are routinely captured by Azure Monitor and made available in the cloud. By setting up alerts, we now get notified by email -- and text messages for urgent issues – for non-zero exit codes with descriptive error messages. 

With this solution, we have more visibility into the health of our APIs"
JP Flores,University of North Carolina at Chapel Hill,lightning,the people of posit: bringing personality to R packages,Lightning talks,2023-09-19,2023-09-19T15:58:00Z,6,"The R programming language offers versatility to perform statistical analyses, create publication ready plots, and render high quality reports and presentations. Despite having this environment of indispensable tools, it can be daunting for a beginner-level programmer to get started. Luckily, the posit community is one of a kind and values inclusivity, collaboration, and empathy. By putting a face to the R packages we use on a daily basis, we hope to make every programmer feel included and capable. We want to inspire attendees to create their own projects or packages, connect with others inside and outside of their field of expertise, and challenge themselves to learn something new, knowing the community is right there to support them."
Trevor Nederlof,Posit,lightning,"CI/CD Pipelines - Oh, the Places You'll Go!",Lightning talks,2023-09-19,2023-09-19T16:04:00Z,6,"Data scientists are creating incredibly useful data products at an accelerating rate. These products are consumed by others who expect them to be accurate reliable and timely, often promises unfulfilled. In this talk we will explore how to use common CI/CD pipeline tools already within reach of attendees to automatically test and deploy their apps, APIs and reports."
Libby Heeren,"Freelance Data Scientist, Data Humans Podcast",lightning,Making Community Magic: why you should stop networking and start making friends,Lightning talks,2023-09-19,2023-09-19T16:10:00Z,6,"When we think about making connections, we think about networking. I’d like you to forget about networking and start thinking about making friends. I’ll share my perspective as a community builder and host of the Data Humans podcast on how and why to cultivate a community of practice for yourself and how to become a force multiplier who increases engagement. 

You’ll learn the benefits of making genuine human connections, the practical steps to making data friends, the power of vulnerability, and why we all benefit when we show up as our whole selves. If you’ve ever wondered how some people seem to know so many people while you feel lost, and how some communities seem to thrive so effortlessly while others stagnate, this talk is for you."
Camila Saez Cabezas,"Dow, Inc.",lightning,Coding tools for Industry R&D – Development lessons from an Analytical lab,Lightning talks,2023-09-19,2023-09-19T16:16:00Z,6,"Are you considering or curious about developing code-based tools for scientists? Whether you are an experienced developer or a fellow Posit Academy graduate who might be stepping into this role for the first time, the aim of my story is to inspire you and help you navigate this process. While developing custom R functions, packages, and Shiny apps for diverse analytical capabilities and users in R&D, I learned why it’s important to collect certain information at the start before writing any tidying, analysis, visualization, and web application code. In this talk, I will share the essential technical questions that help me define and plan for success."
Kaitlin Bustos,SharpestMinds,lightning,What I Wish I Knew Before Becoming a Data Scientist,Lightning talks,2023-09-19,2023-09-19T16:22:00Z,6,"In this conference talk I’m sharing my personal journey as a Data Scientist and the key lessons learned along the way. I’ll emphasize the importance of finding a positive community of like minded-allies, persevering through setbacks as success is not linear, and exploration by embracing the broad nature of the Data Science field. By sharing my experiences and acknowledging the challenges I've faced attendees will gain a fresh perspective on what it takes to succeed in a Data Science career and inspire them to pursue their passions in the field. Overall, this talk aims to provide a glimpse into the reality of a Data Science career. Attendees will take away a sense of motivation and empowerment to find their own unique path to success."
Greg Swinehart,"Posit, PBC",lightning,Quickly get your Quarto HTML theme in order,Lightning talks,2023-09-19,2023-09-19T16:28:00Z,6,"A 5 minute talk to discuss how I’ve used bootstrap variables to quickly make Shiny’s new website look as it should. 

The user I have in mind is a Quarto user at a big organization or company, where they need to keep branding guidelines in check on all their projects.

1. Setup your theme:
_quarto.yml theme options, specifically the power of a single scss file.

2. Quick overview of the power of some of Quarto’s HTML variables, and then Bootstrap’s (1400?) sass variables

3. Show a side-by-side of variables changed to create a branded webpage with the world’s biggest brands.   Maybe Pepsi, Adidas, Johnson & Johnson, Dow Chemical, Nike, etc.? The thing to show is how much change can be created with just a handful of variables."
Laura DeCicco,USGS,lightning,USGS R-package development: 10-year reflections,Lightning talks,2023-09-19,2023-09-19T16:34:00Z,6,"Ten years ago, the first set of git commits were submitted to a new R software package repository “dataRetrieval” with the goal to provide an easy way for R users to retrieve U.S Geological Survey (USGS) water data. At that time, the perception within the USGS was the use of R was exclusive to an elite group of “very serious scientists”. Fast forward, we now find many newer USGS hires having a solid grasp of the language from the start along with the use of R in a wide variety of applications. In this presentation, I’ll discuss my experiences maintaining the dataRetrieval package, how it’s shaped my career, impacted USGS R usage, and why data providers should consider sponsoring their own R packages wrapping their data API services."
Ryszard Szymański,Appsilon,lightning,Speeding Up Plots in R/Shiny,Lightning talks,2023-09-19,2023-09-19T16:40:00Z,6,"Slow dashboards lead to a poor user experience and cause users to lose interest, or even become frustrated. A common culprit of this situation is a slowly rendering plot. 

During the talk, we will dive deeper into how plots are rendered in Shiny, identify common bottlenecks that can occur during the rendering process, and learn various techniques for improving the speed of plots in R/Shiny dashboards. 

These techniques will range from more efficient data processing to library-specific optimisations at the browser level."
Vedha Viyash,Appsilon,lightning,Shiny Developer Secrets: Insights from over 1200 applicants and what you MUST know to shine ✨,Lightning talks,2023-09-19,2023-09-19T16:46:00Z,6,"Over 1200 candidates applied for the Shiny developer role at Appsilon in the last year, and I will be sharing some insights that we have gained from going through the qualitative and quantitative feedback collected from every round of the interview process. We want to share some of the interesting insights from this data that would help you focus on things that will make you a better shiny developer.
One insight is that over 60% of the candidates who make it to the final round do not have a deeper understanding of reactivity in Shiny,
The first half of the talk will focus on the insights and learnings from the interview process and the second half will focus on how to overcome some of the gaps mentioned in the first half."
Matt Dzugan,Muck Rack,lightning,Optimizing Layouts for Small-Multiples Viz,Lightning talks,2023-09-19,2023-09-19T16:52:00Z,6,"Using Small-Multiples (faceted graphs) is an effective way to compare patterns across many dimensions.  In this talk, I'll walk you through some ways to layout your individual facets according to the underlying data. For example, maybe each facet represents a city or point on a 2D plane - we'll explore ways to organize facets in a grid that mimics the data itself - unlocking your ability to explore patterns in 4+ dimensions.  Other solutions to this problem rely on manually-curated lists that map common layouts to a grid, but in this talk we'll explore solutions that work on EVERYTHING.  I'll show you how to incorporate this technique into your viz, & how I built the libraries, since there are some interesting Data Science concepts at play."
Mine Cetinkaya-Rundel,Posit,regular,Reproducible Manuscripts with Quarto,Quarto (1),2023-09-19,2023-09-19T15:40:00Z,20,"In this talk, we present new capability in Quarto that provides a straightforward and user-friendly approach to creating truly reproducible manuscripts that are publication-ready for submission to popular journals. This new feature, Quarto manuscripts, includes the ability to produce a bundled output containing a standardized journal format, source documents, source computations, referenced resources, and execution information into a single bundle that be ingested into journal review and production processes. In this talk we'll demo how Quarto manuscripts work and how you can incorporate them into your current manuscript development process as well as touch on pain points in your current workflow that Quarto manuscripts help alleviate."
Brian Tarran,Royal Statistical Society,regular,From journalist to coder: Creating a web publication with Quarto,Quarto (1),2023-09-19,2023-09-19T16:00:00Z,20,"In March 2022, I was tasked by the Royal Statistical Society with creating a new online publication: a data science website for data science professionals. I've been a print journalist for 20 years and have worked on websites in that time, but my coding ability began and ended with wrapping ""<a href="" tags around text and images. That is, until I discovered Quarto. In this talk, I'll describe how I explored, learned and fell in love with the Quarto publishing system, and how I used it to build a website -- Real World Data Science -- from the ground-up. I'll also make the case for why journalists and others with an interest in science communication should discover what Quarto can do -- and what they can do with it!"
Charlotte Wickham,Posit,regular,What's New in Quarto?,Quarto (1),2023-09-19,2023-09-19T16:20:00Z,20,"It’s been over a year since Quarto 1.0, an open-source scientific and technical publishing system, was announced at rstudio::conf(2022). In this talk, I’ll highlight some of the improvements to Quarto since then. You'll learn about new formats, options, tools, and ways to supercharge your content. And, if you haven’t used Quarto yet, come to see some reasons to try it out."
James Balamuta,University of Illinois Urbana-Champaign,regular,Dynamic Interactions: Empowering Educators and Researchers with Interactive Quarto Documents using webR,Quarto (1),2023-09-19,2023-09-19T16:40:00Z,20,"Traditional Quarto documents often lack interactivity, limiting the ability of students and researchers to fully explore and engage with the presented topic. In this paper, we propose a novel approach that utilizes webR, a WebAssembly-powered version of R, to seamlessly embed R code directly within the browser without the need for a server. We demonstrate how this approach can transform static Quarto documents into dynamic examples by leveraging webR's capabilities through standard quarto code cells, enabling real-time execution of R code and dynamic display of results. Our approach empowers educators and researchers alike to harness the power of interactivity and reproducibility for enhanced learning and research experiences."
Tiger Tang,CARFAX,regular,From Concept to Impact: Building and Launching Shiny Apps in the Workplace,Bridging the gap between data scientists and decision makers,2023-09-19,2023-09-19T18:30:00Z,20,"Do you find shiny apps powerful but wonder what use cases might fit in your organization? Have you had a shiny app idea and got stuck at where to start? Have you ever built a shiny app but received much smaller traction than expected?
If you are experiencing any of these like I did, you are at the right talk.

At CARFAX, we began utilizing Shiny apps for internal use a couple of years ago. The shiny apps I implemented have handled over 160,000 internal requests. In this talk, I will introduce an implementation mindmap for Shiny that may help you find a use case, make it robust, and better connect with your users at your workplace."
Natalie O'Shea,BetterUp,regular,"Building a flexible, scaleable self-serve reporting system with Shiny",Bridging the gap between data scientists and decision makers,2023-09-19,2023-09-19T18:50:00Z,20,"Working in the high-touch world of consulting, our team needed to develop a reporting system that was flexible enough to be tailored to the specific needs of any given partner while still reducing the highly manual nature of populating slide decks with various metrics and data visualizations. In this talk I will share my approach to flexible, scalable self-serve reporting using the rhino framework for Shiny and the reticulate, R6, and gargoyle packages. I hope attendees will walk away with new ideas about how to combine various frameworks and design strategies to get the best of both parameterized reporting and customizable Google Slide decks."
Carl Vogel,Babylist,regular,How Data Scientists Broke A/B Testing (And How We Can Fix It),Bridging the gap between data scientists and decision makers,2023-09-19,2023-09-19T19:10:00Z,20,"As data scientists, we care about making valid statistical inferences from experiments. And we've adapted well-established and well-understood statistical methods to help us do so in our A/B tests. Our stakeholders, though, care about making good product decisions efficiently. I'll describe how the way we design A/B tests can put these goals in tension and why that often causes misalignment between how A/B tests are intended to be used and how they are actually used. I'll also talk about how I've used R to implement alternative experimental approaches—including non-inferiority designs and value-of-information analyses—that have helped bridge the gap between data scientists and stakeholders."
Joe Powers,Intuit,regular,How to Win Friends and Influence People (with Data),Bridging the gap between data scientists and decision makers,2023-09-19,2023-09-19T19:30:00Z,20,"Too many great data science products never go into production. To persuade leaders & colleagues to adopt your data science offering, you must translate your insights into terms that are relevant and accessible to them. Attempts to persuade these audiences with proofs and model performance stats will often fall flat because the audience is left feeling overwhelmed. This talk will demonstrate the data simulation, visualization, and story-telling techniques that I use to influence leadership and the community-building techniques I use to earn the trust and support of fellow analysts. These efforts were successful in persuading Intuit to adopt advanced analytic methods like sequential analysis that cut the duration of our AB tests by over 60%."
Becca Krouse,GSK,regular,{slushy}: A Bridge to the Future,Managing packages,2023-09-19,2023-09-19T18:30:00Z,20,"Scaling the use of R can present complications for environment management, especially in regulated industries with a focus on traceability.  One solution is controlled (aka “frozen”) environments, which are carefully curated and tested by tech teams. However, the speed of R development means the environments quickly become outdated and users are unable to benefit from the latest advances. Enter {slushy}: a team-friendly tool powered by {renv} and Posit Package Manager. Users can quickly mimic a controlled environment, with the easy ability to time travel between snapshot dates. Attendees will learn how {slushy} bolstered our R adoption efforts, and how this strategy enables tech teams and users to work in parallel towards a common future."
Joe Roberts,Posit,regular,How I Learned to Stop Worrying and Love Public Packages,Managing packages,2023-09-19,2023-09-19T18:50:00Z,20,"The popularity of R and Python for Data Science is in no small part attributable to the vast collection of extension packages available for everything from common tasks like data cleaning to highly-specialized domain-specific functions. However, with that ease of sharing packages comes a larger target for bad actors trying to exploit them. We'll explore these security risks along with approaches you can take to mitigate them using Posit Package Manager."
Athanasia Monika Mowinckel,"LCBC, University of Oslo, Norway",regular,CRAN-ial Expansion: Taking Your R Package Development to New Frontiers with R-Universe,Managing packages,2023-09-19,2023-09-19T19:10:00Z,20,"Say goodbye to installation headaches and hello to a universe of possibilities with R-Universe! Take your R package development to new frontiers by organising and sharing packages beyond the bounds of CRAN. R-Universe's reliable package building process strengthens installation and usage instructions, resulting in fewer support requests and an easy installation experience for users. With webpages and an API for exploring packages, R-Universe creates a streamlined and tidy ecosystem for R-package constellations. Also, you can build a custom toolchain for your users, relieving your workload and empowering users to help themselves. Join me to learn how to explore the vastness of R-Universe and expand your package development possibilities!"
Tyler Finethy,"Posit, PBC",regular,Package Management for Data Scientists,Managing packages,2023-09-19,2023-09-19T19:30:00Z,20,"As a former data scientist, I remember the problems I faced when I tried to install scikit-learn for the first time. Encountering an issue early on like this brought the learning process to a halt and made it extremely difficult to progress. Even seasoned professionals struggle with these errors, which can be esoteric and hard to comprehend.

In my talk, ""Package Management for Data Scientists,"" I will delve into the workings of software dependencies for R and Python, the difficulties involved in making package installations run smoothly, and what can be done to improve accessibility for newcomers to the field of data science."
Ryan Timpe,The LEGO Group,regular,tidymodels: Adventures in rewriting a modeling pipeline,Tidy up your models,2023-09-19,2023-09-19T18:30:00Z,20,"Data science sure has changed over the past few years! Everyone’s talking about production. RStudio is now Posit. Models are now tidy.

This talk is about embracing that change and updating existing models using the tidymodels framework. I recently completed this change, letting go of our in-production code and revisioning it with tidymodels. My team ended up with a faster, more scalable pipeline that enabled us to better automate our workflow and increase our scale while improving our stakeholders’ experiences.

I’ll share tips & tricks for adopting the tidymodels framework in existing products, best practices for learning and upskilling teams, and advice for using tidymodel packages to  build more accessible data science tools."
Julia Silge,Posit PBC,regular,Reliable maintenance of machine learning models,Tidy up your models,2023-09-19,2023-09-19T18:50:00Z,20,"Maintaining machine learning models in production can be quite different from maintaining general software engineering projects, each with different challenges and common failure modes. In this talk, learn about model drift, the different ways the word “performance” is used with models, what you can monitor about a model, how feedback loops impact models, and how you can use vetiver to set yourself up for success with model maintenance. This talk will help practitioners who are already deploying models, but this is also useful knowledge for practitioners earlier in their MLOps journey because decisions made along the way can make the difference between resilient models that are easier to maintain and disappointing or misleading models."
Tomasz Kalinowski,"Posit Software, PBC",regular,Tracking ML Experiments with Guild AI,Tidy up your models,2023-09-19,2023-09-19T19:10:00Z,20,"Machine learning is an empirical practice, and keeping track of what worked, and what didn't, is crucial for progress.

This talk introduces Guild AI, an experiment tracker tailored for ML. The presentation will provide a high-level overview of Guild AI's key features, benefits, and real-world applications, demonstrating how it can simplify your ML projects and help you maximize project outcomes.

Topics covered:

-   Running and viewing experiment runs
-   Hyperparameter optimization
-   Model comparison tools
-   Using guild with popular packages like keras, tidymodels, and torch
-   Using guild with custom frameworks/models/metrics.
-   Annotating runs with tags, labels, comments
-   Sharing and publishing run results."
Max Kuhn,posit,regular,Conformal Inference with tidymodels,Tidy up your models,2023-09-19,2023-09-19T19:30:00Z,20,"Conformal inference theory enables any model to produce probabilistic predictions, such as prediction intervals. We'll demonstrate how these analytical methods can be used with tidymodels. Simulations will show that the results have good coverage (i.e., a 90% interval should include the real point 90% of the time)."
Marcos Huerta,Carmax,regular,Making a (Python) Web App is easy!,The future is Shiny,2023-09-19,2023-09-19T18:30:00Z,20,"Creating and deploying an interactive web application that demonstrates the capabilities of software you have written, or datasets you have found is easier than ever. I plan to talk about several (mostly python) based web application frameworks, how I have used them, their strengths and weaknesses, and how data scientists / analysts / etc. can easily turn a class, function, or data set visualization they already have written into an interactive web page to share with the world.

Often talks focus on one specific tool, but I plan to discuss Dash, Streamlit, and Shiny (for R and Python), how I have used these, how I have taken a journey from R for Shiny, to Dash, to Streamlit, and back to Shiny for Python."
Chelsea Parlett-Pelleriti,Chapman University,regular,"Shiny for Python Machine Learning Apps with pandas, scikit-learn and TensorFlow",The future is Shiny,2023-09-19,2023-09-19T18:50:00Z,20,"With the introduction of Shiny for Python in 2022, users can now use the power of reactivity with their favorite python packages. Shiny can be used to build interactive reports, dashboards, and web apps, that make sharing insights and results both simple, and dynamic. This includes apps to display and explore popular Machine Learning models built with staple python packages like pandas, scikit-learn, and TensorFlow. This talk will demonstrate how to build simple Shiny for Python apps that interface with these packages, and discuss some of the benefits of using Shiny for Python to build your web apps."
Joe Kirincic,Medical Mutual of Ohio,regular,Shiny new tools for scaling your Shiny apps,The future is Shiny,2023-09-19,2023-09-19T19:10:00Z,20,"So you have a Shiny app your org loves, but as adoption grows, performance starts getting sluggish. Profiling reveals your cool interactive plots are the culprit. What can you do to make things snappy again? We can increase the number of app instances, sure, but suppose that isn't an option for us. Another approach is to shift the plotting work from the server onto the client. In this talk, we'll learn how to leverage two Javascript projects, DuckDB-WASM and Observable's Plot.js, in our Shiny app to create fast, flexible interactive visualizations in the browser without burdening our app's server function. The end result is an app that can scale to more users without needing to increase compute resources."
Andrew Patterson,Infrastructure Lead @ Jumping Rivers,regular,10 solutions for Shiny in Production,The future is Shiny,2023-09-19,2023-09-19T19:30:00Z,20,"We’re often helping developers to assess, fix and improve their shiny apps, and often the first thing we do is see if we can deploy the app. If you can’t deploy your shiny app, it's a waste of time. If you can deploy it successfully, then at the very least it runs, so we’ve got something to work with. 

There’s a bunch of reasons why apps fail to deploy. They can be easy to fix, like Hardcoded secrets, fonts or missing libraries. Or they can be intractable and super frustrating to deal with, like manifest mismatches, resource starvation and missing libraries.  

At the end of this talk I want you to know how to identify, investigate and proactively prevent shiny app deployment failures from happening.

See you there!"
Reiko Okamoto,National Research Council Canada,regular,What an early 2000s reality show taught me about file management,Getting %$!@ done: productive workflows for data science,2023-09-19,2023-09-19T20:00:00Z,20,"Ideas from home organization shows are surprisingly applicable to file management. Using a room divider to establish dedicated zones for different activities in a studio apartment is analogous to creating self-contained projects in RStudio. Likewise, swapping mismatched hangers with matching ones to tidy a closet resembles the adoption of a file naming convention to make a directory easier to navigate. In this talk, I will share good practices in file management through the lens of home organization. We all know that clutter, whether it is in our physical space or on our machine, destroys our ability to focus. These practices will help R users of all levels create a serene, relaxing environment where they feel inspired to work with data."
Colin Gillespie,Jumping Rivers,regular,Getting the most out of Git,Getting %$!@ done: productive workflows for data science,2023-09-19,2023-09-19T20:20:00Z,20,"Did you believe that Git will solve all of your data science worries? Instead, you’ve been plunged HEAD~1 first into merging (or is that rebasing?) chaos. Issues are ignored, branches are everywhere, main never works, and no one really knows who owns the repository. 

Don’t worry! There are ways to escape this pit of despair. Over the last few years, we’ve worked with many data science teams. During this time, we’ve spotted common patterns and also common pitfalls. While one size does not fit all, there are golden rules that should be followed. At the end of this talk, you’ll understand the processes other data science teams implement to make Git work for them."
Julia Stewart Lowndes,Openscapes and UC Santa Barbara,regular,Documenting things: openly for future us,Getting %$!@ done: productive workflows for data science,2023-09-19,2023-09-19T20:40:00Z,20,"RMarkdown and Quarto are shifting the paradigm for how professionals learn to code, write documentation, and teach others. I'll showcase the style I first experienced by Jenny Bryan (Stat545, Happy Git With R, What They Forgot): narrative and code together, shared openly as a website, that builds trust with learners and provides a resource to consult during and outside of live-teaching. This mode shifts culture in a powerful way, since we can fork this idea, repeat it in our own work. I’ll share examples of how professional researchers are using this style to write open documentation, from technical workflows to community onboarding. I’ll also highlight design elements for writing open documentation, and tips for doing so with Quarto."
Sean Nguyen,S2G Ventures,regular,How You Get Value as a 1-Person Connect Team,Getting %$!@ done: productive workflows for data science,2023-09-19,2023-09-19T21:00:00Z,20,"Sean, a sole Posit Connect developer, shares his experience in delivering business impact. He narrates his transition from crafting one-off reports to developing and deploying robust data science web applications using Python and R with Posit Connect. Despite its common association with large enterprise teams, Sean demonstrates how Posit Connect can be effectively utilized in smaller settings. He presents his work on creating and deploying end-to-end machine learning pipelines in Python, hosting them as APIs, and seamlessly integrating with Shiny apps via Posit Connect. This talk imparts practical strategies and techniques to foster user and executive adoption of Posit Connect within lean (and large) organizations."
Aleksander Dietrichson,Universidad de San Martin,regular,Teaching Data Science in Adverse Circumstances: Posit Cloud and Quarto to the Rescue.,Teaching data science,2023-09-19,2023-09-19T20:00:00Z,20,"The focus of this presentation is on the challenges faced by teachers of data-science whose students are not quantitatively inclined and in addition may face some adversity in terms of technology resources available to them and potential language barriers. I identify three main areas of challenges and show how at Universidad Nacional de San Martín (Argentina) we addressed each of the areas through a combination of original curriculum redesign, production of course materials appropriate for the students in question; and the use of OS, and some Posit products, i.e.:posit.cloud and quarto. I show how these technologies can be used as a pedagogical tool to overcome the challenges mentioned, even on a shoestring budget."
Jill MacKay,University of Edinburgh,regular,You Can Lead a Horse to Water . . . Changing the Data Science Culture for Veterinary Scientists,Teaching data science,2023-09-19,2023-09-19T20:20:00Z,20,"In education research, knowledge recall is often considered the easiest aspects of learning, and creation of new knowledge the most challenging. Skill development therefore often requires learners to consistently ‘do’ the skill and receive feedback from experts to allow them to fully enter a new culture of practice. This is particularly challenging for those who are interdisciplinary & have limited control over their workload, such as medics and field scientists. In this talk, an educational scientist describes the previous 10 years of supporting veterinary scientists to adopt Open Science practices surrounding Data Science.  What worked, what failed miserably, and reflections on why it can be so hard to get a horse to drink."
