rank,name,birth_date,death_date,age,place_of_death_or_residence,gender,still_alive
64,Eva Morris,1885-11-08,2000-11-02,114.981519507187,United Kingdom,female,deceased
65,Kama Chinen,1895-05-10,2010-05-02,114.976043805613,Japan,female,deceased
66,Mary Bidwell,1881-05-09,1996-04-25,114.95961670089,United States,female,deceased
66,Inah Canabarro Lucas,1908-06-08,NA,114.95961670089,Brazil,female,alive
68,Sofia Rojas,1907-08-13,2022-07-30,114.962354551677,Colombia,female,deceased
69,Maria Gomes Valentim,1896-07-09,2011-06-21,114.945927446954,Brazil,female,deceased
70,Hazel Plummer,1908-06-19,NA,114.929500342231,United States,female,alive
71,Ophelia Burks,1903-10-25,2018-09-27,114.924024640657,United States,female,deceased
72,Kahoru Furuya,1908-02-18,2022-12-25,114.850102669405,Japan,female,deceased
73,Mary Josephine Ray,1895-05-17,2010-03-07,114.803559206023,United States,female,deceased
74,Goldie Steinberg,1900-10-30,2015-08-16,114.792607802875,United States,female,deceased
75,Kiyoko Ishiguro,1901-03-04,2015-12-05,114.754277891855,Japan,female,deceased
76,Maria do Couto Maia-Lopes,1890-10-24,2005-07-25,114.748802190281,Portugal,female,deceased
76,Eudoxie Baboul,1901-10-01,2016-07-01,114.748802190281,France (French Guiana),female,deceased
78,Ramona Trinidad Iglesias-Jordan,1889-08-31,2004-05-29,114.740588637919,Puerto Rico,female,deceased
79,Yukie Hino,1902-04-17,2017-01-13,114.743326488706,Japan,female,deceased
80,Delphine Gibson,1903-08-17,2018-05-09,114.726899383984,United States,female,deceased
81,Eugénie Blanchard,1896-02-16,2010-11-04,114.713210130048,France (Saint Barthélemy),female,deceased
82,Venere Pizzinato,1896-11-23,2011-08-02,114.685831622177,Italy,female,deceased
83,Neva Morris,1895-08-03,2010-04-06,114.672142368241,United States,female,deceased
84,Hide Ohira,1880-09-15,1995-05-09,114.642026009582,Japan,female,deceased
85,Blanche Cobb,1900-09-08,2015-05-01,114.642026009582,United States,female,deceased
86,Ethel Lang,1900-05-27,2015-01-15,114.636550308008,United Kingdom,female,deceased
87,Mila Mangold,1907-11-14,2022-07-02,114.631074606434,United States,female,deceased
88,Yone Minagawa,1893-01-04,2007-08-13,114.600958247776,Japan,female,deceased
89,María Antonia Castro,1881-06-10,1996-01-16,114.598220396988,Spain,female,deceased
90,Carrie Lazenby,1882-02-09,1996-09-14,114.592744695414,United States,female,deceased
90,Ura Koyama,1890-08-30,2005-04-05,114.595482546201,Japan,female,deceased
92,Myrtle Dorsey,1885-11-22,2000-06-25,114.58726899384,United States,female,deceased
93,Yoshi Baba,1907-06-03,2022-01-04,114.590006844627,Japan,female,deceased
94,Iso Nakamura,1903-04-23,2017-11-23,114.58726899384,Japan,female,deceased
95,Faustina Sarmiento-Pupo,1905-02-15,2019-09-16,114.581793292266,Cuba,female,deceased
96,Cecile Klein,1907-06-15,2022-01-13,114.581793292266,Canada,female,deceased
97,Anna Eliza Williams,1873-06-02,1987-12-27,114.565366187543,United Kingdom,female,deceased
98,Eleonora Camargo Veiga,1901-08-14,2016-03-07,114.562628336756,Brazil,female,deceased
99,Eunice Sanborn,1896-07-20,2011-01-31,114.52977412731,United States,female,deceased
100,Grace Clawson,1887-11-15,2002-05-28,114.52977412731,United States,female,deceased
1,Jiroemon Kimura,1897-04-19,2013-06-12,116.145106091718,Japan,male,deceased
2,Christian Mortensen,1882-08-16,1998-04-25,115.687885010267,United States,male,deceased
3,Emiliano Mercado del Toro,1891-08-21,2007-01-24,115.425051334702,Puerto Rico,male,deceased
4,Horacio Celi Mendoza,1897-01-03,2011-09-25,114.721423682409,Peru,male,deceased
5,Walter Breuning,1896-09-21,2011-04-14,114.557152635181,United States,male,deceased
6,Yukichi Chuganji,1889-03-23,2003-09-28,114.513347022587,Japan,male,deceased
7,Tomás Pinales Figuereo,1906-03-31,2020-09-24,114.485968514716,Dominican Republic,male,deceased
8,Joan Riudavets-Moll,1889-12-15,2004-03-05,114.217659137577,Spain,male,deceased
9,Gustav Gerneth,1905-10-15,2019-10-21,114.015058179329,Germany,male,deceased
10,Juan Vicente Pérez,1909-05-27,NA,113.993155373032,Venezuela,male,alive
11,"Fred Harold Hale, Sr.",1890-12-01,2004-11-19,113.965776865161,United States,male,deceased
12,Yisrael Kristal,1903-09-15,2017-08-11,113.905544147844,Israel,male,deceased
13,Johnson Parks,1884-10-15,1998-07-17,113.749486652977,United States,male,deceased
14,Tomoji Tanabe,1895-09-18,2009-06-19,113.749486652977,Japan,male,deceased
15,John Ingram McMorran,1889-06-19,2003-02-24,113.681040383299,United States,male,deceased
16,Masazō Nonaka,1905-07-25,2019-01-20,113.4893908282,Japan,male,deceased
17,Frederick Frazier,1880-01-27,1993-06-14,113.377138945927,United States,male,deceased
18,James Sisnett,1900-02-22,2013-05-23,113.245722108145,Barbados,male,deceased
18,Wenceslao Leyva González,1903-09-28,2016-12-27,113.248459958932,Mexico,male,deceased
20,Eusebio Quintero López,1910-03-06,NA,113.218343600274,Colombia,male,alive
21,Domingo Villa Avisencio,1906-08-26,2019-11-03,113.188227241615,Mexico,male,deceased
22,Efraín Antonio Ríos García,1910-04-04,NA,113.138945927447,Colombia,male,alive
23,Walter Richardson,1885-11-07,1998-12-25,113.127994524298,United States,male,deceased
24,Francisco Núñez Olivera,1904-12-13,2018-01-29,113.127994524298,Spain,male,deceased
25,Henry Allingham,1896-06-06,2009-07-18,113.111567419576,United Kingdom,male,deceased
26,Emilio Flores Márquez,1908-08-08,2021-08-12,113.010266940452,Puerto Rico,male,deceased
27,Chitetsu Watanabe,1907-03-05,2020-02-23,112.971937029432,Japan,male,deceased
28,Antonio Todde,1889-01-22,2002-01-03,112.944558521561,Italy,male,deceased
29,Saturnino de la Fuente García,1909-02-11,2022-01-18,112.933607118412,Spain,male,deceased
30,Moses Hardy,1894-01-06,2006-12-07,112.914442162902,United States,male,deceased
31,Yasutaro Koide,1903-03-13,2016-01-19,112.854209445585,Japan,male,deceased
32,John Evans,1877-08-19,1990-06-10,112.804928131417,United Kingdom,male,deceased
33,Richard Arvin Overton,1906-05-11,2018-12-27,112.62970568104,United States,male,deceased
34,Delio Venturotti,1909-10-25,2022-06-01,112.599589322382,Brazil,male,deceased
35,George Francis,1896-06-06,2008-12-27,112.555783709788,United States,male,deceased
36,Denzo Ishizaki,1886-10-20,1999-04-29,112.520191649555,Japan,male,deceased
37,Josep Armengol,1881-07-23,1994-01-20,112.492813141684,Spain,male,deceased
38,Giovanni Frau,1890-12-29,2003-06-19,112.4681724846,Italy,male,deceased
39,Jules Théobald,1909-04-17,2021-10-05,112.4681724846,France (Martinique),male,deceased
40,Yang Longsheng,1910-12-13,NA,112.446269678303,China,male,alive
41,John Painter,1888-09-20,2001-03-01,112.440793976728,United States,male,deceased
42,Marcel Meys,1909-07-12,2021-12-15,112.427104722793,France,male,deceased
43,Masamitsu Yoshida,1904-05-30,2016-10-29,112.416153319644,Japan,male,deceased
44,Sakari Momoi,1903-02-05,2015-07-05,112.41067761807,Japan,male,deceased
45,Alphaeus Philemon Cole,1876-07-12,1988-11-25,112.369609856263,United States,male,deceased
46,Augusto Moreira,1896-10-06,2009-02-13,112.35318275154,Portugal,male,deceased
47,George Johnson,1894-05-01,2006-08-30,112.328542094456,United States,male,deceased
47,Mikizō Ueda,1910-05-11,2022-09-09,112.331279945243,Japan,male,deceased
49,Lawrence Brooks,1909-09-12,2022-01-05,112.31485284052,United States,male,deceased
50,Salustiano Sanchez,1901-06-08,2013-09-13,112.265571526352,United States,male,deceased
51,CP Crawford,1907-08-25,2019-11-23,112.246406570842,United States,male,deceased
52,Jorge Duran Coral,1909-04-23,2021-07-21,112.243668720055,Mexico,male,deceased
53,Yoshikazu Yamashita,1907-04-10,2019-07-07,112.240930869268,Japan,male,deceased
54,Gengan Tonaki,1884-10-30,1997-01-24,112.232717316906,Japan,male,deceased
55,Robert Weighton,1908-03-29,2020-05-28,112.164271047228,United Kingdom,male,deceased
56,Tadanosuke Hashimoto,1891-04-27,2003-05-31,112.090349075975,Japan,male,deceased
57,Kumekichi Tani,1891-04-20,2003-05-12,112.05749486653,Japan,male,deceased
58,James Wiggins,1879-10-15,1991-10-16,112,United States,male,deceased
59,George Feldman,1906-12-02,2018-12-02,112,United States,male,deceased
60,Tsunahei Ogawa,1907-01-09,2019-01-04,111.986310746064,Japan,male,deceased
61,Arturo Licata,1902-05-02,2014-04-24,111.978097193703,Italy,male,deceased
62,Stanisław Kowalski,1910-04-14,2022-04-05,111.975359342916,Poland,male,deceased
63,Walter H. Seward,1896-10-13,2008-09-14,111.917864476386,United States,male,deceased
64,Maurice Floquet,1894-12-25,2006-11-10,111.874058863792,France,male,deceased
65,Valerio Piroddi,1905-11-13,2017-09-18,111.846680355921,Italy,male,deceased
66,Shigeru Nakamura,1911-01-11,2022-11-15,111.843942505133,Japan,male,deceased
67,James McCoubrey,1901-09-13,2013-07-05,111.808350444901,United States,male,deceased
67,Shivakumara Swami,1907-04-01,2019-01-21,111.808350444901,India,male,deceased
69,Ezra Hill,1910-12-19,2022-10-04,111.791923340178,United States,male,deceased
70,Melvin Campbell,1910-03-22,2021-12-31,111.778234086242,United States,male,deceased
71,John Mosley Turner,1856-06-15,1968-03-21,111.76180698152,United Kingdom,male,deceased
72,Hermann Dörnemann,1893-05-27,2005-03-02,111.76180698152,Germany,male,deceased
73,Antonio Urrea,1888-02-18,1999-11-15,111.737166324435,Spain,male,deceased
74,Choki Miyagi,1904-11-15,2016-08-07,111.726214921287,Japan,male,deceased
75,Arthur Carter,1889-10-05,2001-06-11,111.679671457906,United States,male,deceased
76,Santos Hildebrando Rivas García,1911-08-17,2023-04-17,111.66598220397,El Salvador,male,deceased
77,Jan Machiel Reyskens,1878-05-11,1990-01-07,111.657768651609,Netherlands,male,deceased
78,Jesús Mosteo,1908-01-01,2019-08-28,111.655030800821,Spain,male,deceased
79,Dumitru Comănescu,1908-11-08,2020-06-27,111.633127994524,Romania,male,deceased
80,Henry Tseng,1907-07-12,2019-02-27,111.630390143737,United States,male,deceased
81,Joe Thomas,1875-05-01,1986-12-14,111.619438740589,United States,male,deceased
82,André Boite,1910-12-06,2022-07-15,111.605749486653,France,male,deceased
83,James Zackry,1881-08-15,1993-03-14,111.575633127995,United States,male,deceased
84,Tanekichi Onishi,1900-02-15,2011-09-11,111.567419575633,Japan,male,deceased
85,Roger Auvin,1908-03-20,2019-10-13,111.564681724846,France,male,deceased
86,Kiyoshi Igarashi,1897-08-02,2009-02-23,111.559206023272,Japan,male,deceased
86,Lester Townsend,1908-03-31,2019-10-22,111.559206023272,United States,male,deceased
88,Herman Smith-Johannsen,1875-06-15,1987-01-05,111.556468172485,Norway,male,deceased
89,Gisaburo Sonobe,1911-11-06,NA,111.548254620123,Japan,male,alive
90,Ernest Pusey,1895-05-05,2006-11-19,111.540041067762,United States,male,deceased
91,Albano Andrade,1909-12-14,2021-06-29,111.540041067762,Portugal,male,deceased
92,Dexter Kruger,1910-01-13,2021-07-20,111.515400410678,Australia,male,deceased
93,"Thomas Nelson, Sr.",1895-07-08,2007-01-09,111.504449007529,United States,male,deceased
94,Jokichi Ikarashi,1902-01-26,2013-07-23,111.488021902806,Japan,male,deceased
95,Earl Brush,1893-07-17,2005-01-10,111.482546201232,United States,male,deceased
95,Qin Hanzhang,1908-02-19,2019-08-15,111.485284052019,China,male,deceased
95,Manuel Benavente Sanhueza,1909-09-25,2021-03-21,111.485284052019,Chile,male,deceased
98,Reuben Sinclair,1911-12-05,NA,111.468856947296,Canada,male,alive
99,Francisco Juárez Iglesias,1911-05-08,2022-10-25,111.466119096509,Mexico,male,deceased
100,Antonio de Castro,1898-01-06,2009-06-22,111.455167693361,Portugal,male,deceased
