animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,outcome_is_dead,was_outcome_alive,geopoint
A697044,cinnamon,dog,brown,black,Spayed,2022-06-02,2024-01-03,normal,owner surrender,otc,NA,2024-01-06,00 BLK WELCOME LANE SEAL BEACH CA 90740,Out Of Area,rescue,NA,33.747547,-118.1110343,FALSE,TRUE,"33.747547, -118.1110343"
A706435,lorelei,cat,brown  tabby,NA,Spayed,2021-09-07,2023-09-07,ill mild,stray,otc,NA,2023-12-10,"00 BLOCK E MARKET ST, LONG BEACH CA",Long Beach,adoption,NA,33.8542837,-118.1964921,FALSE,TRUE,"33.8542837, -118.1964921"
A727457,aphrodite,guinea pig,black,calico,Female,2024-06-25,2024-08-30,normal,owner surrender,otc,NA,2024-09-05,"00 BLOCK VIRGIL WALK,,LONG BEACH CA",Long Beach,adoption,pfe/pawshp,33.751838000000014,-118.1227473,FALSE,TRUE,"33.75183800000001, -118.1227473"
A727456,venus,guinea pig,white,calico,Female,2024-06-25,2024-08-30,normal,owner surrender,otc,NA,2024-09-05,"00 BLOCK VIRGIL WALK,,LONG BEACH CA",Long Beach,adoption,pfe/pawshp,33.751838000000014,-118.1227473,FALSE,TRUE,"33.75183800000001, -118.1227473"
A721324,calvin,cat,gray,white,Neutered,2018-09-01,2024-05-26,normal,owner surrender,otc,NA,2024-06-08,"00 BLOCK W 47TH ST, LONG BEACH CA",Long Beach,adoption,web,33.8430309,-118.192467,FALSE,TRUE,"33.8430309, -118.192467"
A718171,*hanley,dog,white,gray,Neutered,2023-04-06,2024-04-06,normal,stray,otc,NA,2024-04-12,"00 BLOCK W 51ST ST, LONG BEACH CA",Long Beach,adoption,web,33.8487953,-118.1946447,FALSE,TRUE,"33.8487953, -118.1946447"
A694732,twin 1,dog,white,tan,Male,2022-12-01,2023-03-16,normal,owner surrender,field,NA,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",Long Beach,transfer,spcala,33.846061,-118.1936055,FALSE,TRUE,"33.846061, -118.1936055"
A694734,wolfie,dog,tricolor,NA,Male,2023-01-16,2023-03-16,normal,owner surrender,field,NA,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",Long Beach,transfer,spcala,33.846061,-118.1936055,FALSE,TRUE,"33.846061, -118.1936055"
A694739,miracle,dog,brown,white,Male,2022-12-01,2023-03-16,normal,owner surrender,field,NA,2023-03-16,"00 BLOCK W PLEASANT ST, LONG BEACH CA",Long Beach,transfer,spcala,33.846061,-118.1936055,FALSE,TRUE,"33.846061, -118.1936055"
A621018,NA,wild,gray,NA,Unknown,2016-01-29,2019-01-29,injured  severe,wildlife,field,NA,2019-01-29,"00 E MOUNTAIN VIEW ST, LONG BEACH, CA 90805",Long Beach,euthanasia,inj severe,33.8517366,-118.1956021,TRUE,FALSE,"33.8517366, -118.1956021"
A677353,NA,bird,black,NA,Unknown,NA,2022-06-10,injured  mild,wildlife,field,NA,2022-06-11,"1 BLK 39TH PL, LONG BEACH, CA 90803",Long Beach,rescue,wardsmtn,33.760205,-118.1477682,FALSE,TRUE,"33.760205, -118.1477682"
A604330,NA,cat,brown,NA,Unknown,NA,2018-03-01,ill severe,stray,field,NA,2018-03-01,"1 BLK E 53RD ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill severe,33.8523843,-118.195835,TRUE,FALSE,"33.8523843, -118.195835"
A609136,NA,bird,white,black,Unknown,NA,2018-06-04,injured  severe,wildlife,field,NA,2018-06-04,"1 BLK SURFSIDE AVE, SEAL BEACH, CA 90743",Seal Beach,transfer,other resc,33.7240266,-118.0788756,FALSE,TRUE,"33.7240266, -118.0788756"
A592440,NA,cat,brown  tabby,NA,Unknown,2017-05-25,2017-06-25,under age/weight,stray,field,NA,2017-06-25,"1 BLK W TRAFFORD ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill severe,33.8685157,-118.2012518,TRUE,FALSE,"33.8685157, -118.2012518"
A602180,NA,cat,brown  tabby,white,Male,2014-01-11,2018-01-11,injured  severe,stray,field,NA,2018-01-11,"1 BLK W ZANE ST, LONG BEACH, CA 90805",Long Beach,died,enroute,33.8495009,-118.1949053,TRUE,FALSE,"33.8495009, -118.1949053"
A675624,NA,bird,white,gray,Unknown,2021-05-24,2022-05-24,injured  mild,stray,field,NA,2022-05-26,"1 JUPINERO AVE, LONG BEACH, CA 90803",Long Beach,adoption,social med,33.764574,-118.1666584,FALSE,TRUE,"33.764574, -118.1666584"
A600006,NA,bird,gray,black,Unknown,NA,2017-11-11,injured  moderate,stray,otc,NA,2017-11-11,"1 WORLD WAY, LONG BEACH, CA 90045",La City,euthanasia,inj modera,33.9460203,-118.4010335,TRUE,FALSE,"33.9460203, -118.4010335"
A653212,NA,bird,white,gray,Unknown,2020-01-15,2021-01-15,normal,stray,field,NA,2021-01-22,"10 69TH PL, LONG BEACH, CA 90803",Long Beach,rescue,other resc,33.7461607,-118.1189419,FALSE,TRUE,"33.7461607, -118.1189419"
A490165,bobette,cat,gray,white,Spayed,2010-03-06,2019-07-02,normal,safe keep,owner died,NA,2019-07-10,"10 BLK 58TH PL, LONG BEACH, CA 90803",Long Beach,return to owner,walkin,33.7493316,-118.1252406,FALSE,TRUE,"33.7493316, -118.1252406"
A732521,NA,bird,white,gray,Unknown,2023-11-14,2024-11-14,injured  severe,wildlife,field,NA,2024-11-14,"10 BLK E 39TH PL, LONG BEACH, CA",Long Beach,transfer,wetlands,33.76009010000001,-118.1478104,FALSE,TRUE,"33.76009010000001, -118.1478104"
A664040,*cupcake,dog,gray,white,Spayed,2020-09-18,2021-09-18,normal,stray,field,NA,2021-10-02,"10 BLK E 55TH ST, LONG BEACH, CA 90805",Long Beach,adoption,web,33.8557475,-118.1969063,FALSE,TRUE,"33.8557475, -118.1969063"
A587568,NA,cat,black,NA,Female,2014-03-25,2017-03-25,ill mild,stray,otc,NA,2017-03-25,"10 BLK NIETO AVE, LONG BEACH, CA 90803",Long Beach,euthanasia,ill severe,33.7562364,-118.1377058,TRUE,FALSE,"33.7562364, -118.1377058"
A610591,NA,cat,calico dilute,NA,Female,2018-06-13,2018-07-03,under age/weight,stray,field,NA,2018-07-04,"10 BLK W 49TH ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8448425,-118.1933829,TRUE,FALSE,"33.8448425, -118.1933829"
A591429,NA,cat,brown  tabby,white,Unknown,2017-05-13,2017-06-06,under age/weight,stray,field,NA,2017-06-06,"10 BLK W 52ND ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8502723,-118.1956561,TRUE,FALSE,"33.8502723, -118.1956561"
A595336,NA,bird,gray,white,Unknown,NA,2017-08-14,injured  severe,wildlife,field,NA,2017-08-14,"10 BLK W 5ND ST, LONG BEACH, CA 90805",Long Beach,euthanasia,inj severe,33.7726741,-118.1927737,TRUE,FALSE,"33.7726741, -118.1927737"
A603548,NA,dog,tan,white,Male,2014-02-08,2018-02-08,normal,stray,field,NA,2018-02-14,"10 BLK W BORT ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.8703458,-118.2020155,FALSE,TRUE,"33.8703458, -118.2020155"
A677069,*lito,dog,brown,black,Neutered,NA,2022-06-08,normal,stray,otc,NA,2022-06-16,"10 BLK W BORT ST, LONG BEACH, CA 90805",Long Beach,adoption,NA,33.8703458,-118.2020155,FALSE,TRUE,"33.8703458, -118.2020155"
A596942,*mr mittens,cat,black,white,Neutered,2014-09-12,2017-09-12,feral,stray,field,NA,2018-01-24,"10 E 53RD ST, LONG BEACH, CA 90805",Long Beach,rescue,fndanifoun,33.8523859,-118.1955218,FALSE,TRUE,"33.8523859, -118.1955218"
A635097,NA,cat,brown  tabby,NA,Neutered,NA,2019-10-17,ill moderatete,stray,field,NA,2019-10-18,"10 POMONA AVE, LONG BEACH, CA 90803",Long Beach,euthanasia,ill severe,33.7551064,-118.1345301,TRUE,FALSE,"33.7551064, -118.1345301"
A615606,NA,cat,orange tabby,NA,Unknown,2015-10-04,2018-10-04,injured  severe,stray,field,NA,2018-10-04,"10 W MOUNTAIN VIEW ST, LONG BEACH, CA 90805",Long Beach,euthanasia,ill modera,33.8515302,-118.1962352,TRUE,FALSE,"33.8515302, -118.1962352"
A638369,a638369,cat,white,gray,Neutered,2017-01-09,2020-01-09,fractious,stray,field,NA,2020-01-14,"10 W PLESANT ST, LONG BEACH, CA 90805",Long Beach,"shelter, neuter, return",straycatal,33.8460665,-118.1940513,FALSE,TRUE,"33.8460665, -118.1940513"
A599028,NA,dog,white,tan,Male,2015-10-20,2017-10-20,normal,stray,field,NA,2017-10-27,"10 W ZANE ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.849502,-118.1953004,FALSE,TRUE,"33.849502, -118.1953004"
A603717,NA,other,brown,NA,Unknown,2017-02-11,2018-02-11,injured  severe,wildlife,field,NA,2018-02-11,"10 XIMENO AVE, LONG BEACH, CA 90803",Long Beach,euthanasia,inj severe,33.7584892,-118.1434117,TRUE,FALSE,"33.7584892, -118.1434117"
A661532,harley,dog,gray,black,Female,2019-08-09,2021-08-08,normal,stray,field,NA,2021-08-11,"100 AQUARIUM WAY, LB, CA 90802",Long Beach,return to owner,walkin,33.7621679,-118.196966,FALSE,TRUE,"33.7621679, -118.196966"
A612538,NA,dog,black,white,Female,2018-05-08,2018-08-08,normal,stray,otc,NA,2018-08-15,"100 AQUARIUM WAY, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7621679,-118.196966,FALSE,TRUE,"33.7621679, -118.196966"
A622223,NA,reptile,green,yellow,Unknown,NA,2019-02-20,normal,stray,field,NA,2019-02-25,"100 AQUARIUM WAY, LONG BEACH, CA 90802",Long Beach,rescue,sc reptile,33.7621679,-118.196966,FALSE,TRUE,"33.7621679, -118.196966"
A708530,*max,dog,black,tan,Neutered,2021-10-10,2023-10-08,normal,stray,field,NA,2024-03-10,"100 AQUARIUM WAY, LONG BEACH, CA 90802",Long Beach,adoption,web,33.7621679,-118.196966,FALSE,TRUE,"33.7621679, -118.196966"
A593462,*plum,cat,black,NA,Female,2017-04-13,2017-07-13,normal,stray,otc,NA,2017-07-25,"100 ATLANTIC AVE, LONG BEACH, CA 90802",Long Beach,rescue,catpaws,33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501"
A593461,*fig,cat,brown  tabby,NA,Female,2017-04-13,2017-07-13,normal,stray,otc,NA,2017-07-25,"100 ATLANTIC AVE, LONG BEACH, CA 90802",Long Beach,rescue,catpaws,33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501"
A700210,NA,cat,brown  tabby,NA,Male,2023-05-15,2023-06-04,under age/weight,stray,otc,NA,2023-06-05,100 BLK 29TH ST LONG BEACH 90806,Long Beach,euthanasia,undrage/wt,33.8099414,-118.190922,TRUE,FALSE,"33.8099414, -118.190922"
A700208,*lil guy,cat,brown  tabby,white,Male,2023-05-15,2023-06-04,under age/weight,stray,otc,NA,2023-07-13,100 BLK 29TH ST LONG BEACH 90806,Long Beach,adoption,NA,33.8099414,-118.190922,FALSE,TRUE,"33.8099414, -118.190922"
A700205,*rhombus,cat,gray tabby,white,Male,2023-05-15,2023-06-04,under age/weight,stray,otc,NA,2023-06-14,100 BLK 29TH ST LONG BEACH 90806,Long Beach,rescue,littlelion,33.8099414,-118.190922,FALSE,TRUE,"33.8099414, -118.190922"
A611649,NA,reptile,brown,black,Unknown,NA,2018-07-26,normal,stray,otc,NA,2018-08-01,"100 BLK 39TH PL, LONG BEACH, CA 90803",Long Beach,rescue,other resc,33.7597082,-118.1479522,FALSE,TRUE,"33.7597082, -118.1479522"
A617524,pickle,cat,brown  tabby,NA,Female,2016-11-14,2021-12-12,normal,confiscate,owner died,NA,2021-12-14,"100 BLK 4TH ST, SEAL BEACH, CA 90740",Seal Beach,return to rescue,zazzycat,33.7420707,-118.1102942,FALSE,TRUE,"33.7420707, -118.1102942"
A539869,jimini,dog,brown,white,Neutered,2012-03-01,2020-03-01,behavior  severe,owner surrender,otc,bites,2020-04-21,"100 BLK 5TH ST, SEAL BEACH, CA 90740",Seal Beach,rescue,livelove,33.7417054,-118.1092321,FALSE,TRUE,"33.7417054, -118.1092321"
A647453,NA,cat,white,NA,Male,2020-05-22,2020-08-22,normal,stray,otc,NA,2020-08-29,"100 BLK 68TH ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.8775178,-118.2025528,FALSE,TRUE,"33.8775178, -118.2025528"
A680169,*ophelia,dog,gray,white,Spayed,2017-07-18,2022-07-18,aged,stray,field,NA,2023-04-08,"100 BLK 68TH ST, LONG BEACH, CA 90805",Long Beach,adoption,remote evt,33.8775178,-118.2025528,FALSE,TRUE,"33.8775178, -118.2025528"
A602014,NA,reptile,brown,black,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602041,NA,reptile,gray,NA,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602019,NA,reptile,yellow,black,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602015,NA,reptile,yellow,brown,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602028,NA,other,blue,red,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602044,NA,reptile,gray,NA,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602025,NA,reptile,yellow,purple,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602033,NA,reptile,yellow,white,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602047,NA,reptile,gray,NA,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602016,NA,reptile,brown,yellow,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602040,NA,reptile,gray,NA,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602018,NA,reptile,yellow,black,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602024,NA,reptile,brown,yellow,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602055,NA,reptile,orange,NA,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602037,NA,reptile,gray,NA,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602054,NA,reptile,yellow,brown,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A602026,NA,other,blue,red,Unknown,NA,2018-01-09,normal,safe keep,owner died,NA,2018-01-11,"100 BLK ALAMITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,other resc,33.7677623,-118.1825071,FALSE,TRUE,"33.7677623, -118.1825071"
A606962,NA,bird,black,white,Unknown,2017-05-01,2018-05-01,ill severe,stray,field,NA,2018-05-08,"100 BLK ATLANTIC AVE, LONG BEACH, CA 90802",Long Beach,adoption,NA,33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501"
A669321,oliver,cat,black,NA,Male,2021-06-13,2022-01-13,normal,welfare seized,hospital,NA,2022-01-29,"100 BLK ATLANTIC AVE, LONG BEACH, CA 90802",Long Beach,return to owner,phone,33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501"
A651197,*espresso,dog,black,white,Spayed,2018-11-08,2020-11-08,normal,stray,field,NA,2020-11-30,"100 BLK ATLANTIC AVE, LONG BEACH, CA 90802",Long Beach,transport,other shel,33.7684106,-118.1846501,FALSE,TRUE,"33.7684106, -118.1846501"
A699277,dixie,cat,gray,white,Spayed,2023-03-30,2023-05-24,ill mild,stray,otc,NA,2023-05-27,100 BLK BARCLAY ST LB 90805,Long Beach,adoption,web,33.8661015,-118.2027924,FALSE,TRUE,"33.8661015, -118.2027924"
A633462,a633462*haygar,cat,gray,white,Male,2017-09-12,2019-09-12,fractious,stray,otc,NA,2019-09-26,"100 BLK BONITO AVE, LONG BEACH, CA 90802",Long Beach,euthanasia,ill severe,33.7672385,-118.1807414,TRUE,FALSE,"33.7672385, -118.1807414"
A627332,tawny,cat,tortie,NA,Spayed,2014-05-30,2019-05-30,normal,owner surrender,field,NA,2019-06-02,"100 BLK BONITO AVE, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7672385,-118.1807414,FALSE,TRUE,"33.7672385, -118.1807414"
A586184,NA,cat,black,NA,Female,2017-02-06,2017-02-23,under age/weight,owner surrender,otc,too many,2017-02-23,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864"
A586185,NA,cat,white,NA,Male,2017-02-06,2017-02-23,under age/weight,owner surrender,otc,too many,2017-02-23,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864"
A586196,NA,cat,gray tabby,white,Male,2017-01-30,2017-02-23,under age/weight,owner surrender,otc,too many,2017-02-24,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,fndanifoun,33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864"
A593134,*tucker,dog,blue,NA,Male,2015-07-08,2017-07-08,normal,stray,field,NA,2017-09-01,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,euthanasia,beh modera,33.7672612,-118.1786864,TRUE,FALSE,"33.7672612, -118.1786864"
A586176,*sally,cat,calico,black,Female,2016-10-23,2017-02-23,normal,owner surrender,otc,too many,2017-02-23,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864"
A591812,NA,cat,tortie,NA,Female,2017-05-13,2017-06-13,under age/weight,stray,field,NA,2017-06-15,"100 BLK CERRITOS AVE, LONG BEACH, CA 90802",Long Beach,rescue,fndanifoun,33.7672612,-118.1786864,FALSE,TRUE,"33.7672612, -118.1786864"
A605399,happy,dog,tan,NA,Neutered,2007-03-27,2018-03-27,injured  mild,stray,aban field,NA,2018-03-31,"100 BLK CHERRY AVE, LONG BEACH, CA 90802",Long Beach,euthanasia,ill severe,33.7652208,-118.1675969,TRUE,FALSE,"33.7652208, -118.1675969"
A688625,floyd,dog,brown brindle,NA,Neutered,2021-12-12,2022-11-12,normal,stray,otc,NA,2022-11-30,"100 BLK CHERRY AVE, LONG BEACH, CA 90802",Long Beach,adoption,NA,33.7652208,-118.1675969,FALSE,TRUE,"33.7652208, -118.1675969"
A690554,*,dog,black,brown,Male,2020-12-15,2022-12-15,normal,stray,otc,NA,2022-12-15,"100 BLK CHERRY AVE. LONG BEACH, CA 90802",Long Beach,transfer,spcala,33.7652208,-118.1675969,FALSE,TRUE,"33.7652208, -118.1675969"
A537868,sierra-crystal,dog,white,NA,Female,2011-12-10,2018-12-19,normal,stray,field,NA,2018-12-20,"100 BLK COVINA AVE, LONG BEACH, CA 90802",Long Beach,return to owner,walkin,33.7568894,-118.1358057,FALSE,TRUE,"33.7568894, -118.1358057"
A724263,molly,dog,white,NA,Female,2016-07-09,2024-07-09,ill severe,stray,field,NA,2024-07-10,"100 BLK DEL AMO BLVD, LONG BEACH, CA 90805",Long Beach,return to owner,from vet,33.8465824,-118.1980555,FALSE,TRUE,"33.8465824, -118.1980555"
A563460,loki,dog,white,tricolor,Neutered,2013-12-21,2019-08-04,normal,owner surrender,otc,NA,2019-08-17,"100 BLK E 16TH ST, LONG BEACH, CA 90813",Long Beach,adoption,walkin,33.7871311,-118.1923855,FALSE,TRUE,"33.7871311, -118.1923855"
A638627,mewali,dog,brown brindle,NA,Neutered,2015-01-16,2020-01-16,ill severe,stray,otc,NA,2020-01-25,"100 BLK E 28TH ST, LONG BEACH CA 90802",Long Beach,adoption,walkin,33.808011,-118.1923877,FALSE,TRUE,"33.808011, -118.1923877"
A712291,puppy 1,dog,tricolor,NA,Male,2023-12-26,2023-12-26,normal,stray,otc,NA,2023-12-29,"100 BLK E 28TH ST, LONG BEACH, CA 90806",Long Beach,rescue,NA,33.808011,-118.1923877,FALSE,TRUE,"33.808011, -118.1923877"
