fiscal_year,month_grouping,month_abbv,land_border_region,state,demographic,citizenship,title_of_authority,encounter_count
2020,FYTD,APR,Other,DC,Single Adults,VENEZUELA,Title 8,1
2020,FYTD,APR,Other,DC,UC / Single Minors,CANADA,Title 8,3
2020,FYTD,APR,Other,DE,Single Adults,INDIA,Title 8,5
2020,FYTD,APR,Other,DE,Single Adults,PHILIPPINES,Title 8,11
2020,FYTD,APR,Other,DE,Single Adults,RUSSIA,Title 8,4
2020,FYTD,APR,Other,DE,Single Adults,TURKEY,Title 8,5
2020,FYTD,APR,Other,FL,Single Adults,BRAZIL,Title 8,5
2020,FYTD,APR,Other,FL,Single Adults,CANADA,Title 8,1
2020,FYTD,APR,Other,FL,Single Adults,COLOMBIA,Title 8,13
2020,FYTD,APR,Other,FL,Single Adults,CUBA,Title 8,17
2020,FYTD,APR,Other,FL,Single Adults,ECUADOR,Title 8,23
2020,FYTD,APR,Other,FL,Single Adults,EL SALVADOR,Title 8,5
2020,FYTD,APR,Other,FL,Single Adults,GUATEMALA,Title 8,15
2020,FYTD,APR,Other,FL,Single Adults,HAITI,Title 8,6
2020,FYTD,APR,Other,FL,Single Adults,HONDURAS,Title 8,72
2020,FYTD,APR,Other,FL,Single Adults,INDIA,Title 8,22
2020,FYTD,APR,Other,FL,Single Adults,MEXICO,Title 8,10
2020,FYTD,APR,Other,FL,Single Adults,NICARAGUA,Title 8,21
2020,FYTD,APR,Other,FL,Single Adults,OTHER,Title 8,174
2020,FYTD,APR,Other,FL,Single Adults,PERU,Title 8,33
2020,FYTD,APR,Other,FL,Single Adults,PHILIPPINES,Title 8,332
2020,FYTD,APR,Other,FL,Single Adults,ROMANIA,Title 8,3
2020,FYTD,APR,Other,FL,Single Adults,RUSSIA,Title 8,18
2020,FYTD,APR,Other,FL,Single Adults,TURKEY,Title 8,1
2020,FYTD,APR,Other,FL,Single Adults,UKRAINE,Title 8,131
2020,FYTD,APR,Other,FL,Single Adults,VENEZUELA,Title 8,11
2020,FYTD,APR,Other,FL,UC / Single Minors,COLOMBIA,Title 8,1
2020,FYTD,APR,Other,GA,Single Adults,BRAZIL,Title 8,1
2020,FYTD,APR,Other,GA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,16
2020,FYTD,APR,Other,GA,Single Adults,HAITI,Title 8,1
2020,FYTD,APR,Other,GA,Single Adults,MEXICO,Title 8,3
2020,FYTD,APR,Other,GA,Single Adults,MYANMAR (BURMA),Title 8,4
2020,FYTD,APR,Other,GA,Single Adults,OTHER,Title 8,7
2020,FYTD,APR,Other,GA,Single Adults,PHILIPPINES,Title 8,19
2020,FYTD,APR,Other,GA,Single Adults,ROMANIA,Title 8,2
2020,FYTD,APR,Other,GA,Single Adults,RUSSIA,Title 8,4
2020,FYTD,APR,Other,GA,Single Adults,UKRAINE,Title 8,1
2020,FYTD,APR,Other,GU,Single Adults,MYANMAR (BURMA),Title 8,1
2020,FYTD,APR,Other,GU,Single Adults,PHILIPPINES,Title 8,13
2020,FYTD,APR,Other,GU,Single Adults,ROMANIA,Title 8,1
2020,FYTD,APR,Other,HI,Single Adults,OTHER,Title 8,1
2020,FYTD,APR,Other,IL,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,4
2020,FYTD,APR,Other,IL,FMUA,MEXICO,Title 8,7
2020,FYTD,APR,Other,IL,Single Adults,CANADA,Title 8,21
2020,FYTD,APR,Other,IL,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,2
2020,FYTD,APR,Other,IL,Single Adults,INDIA,Title 8,1
2020,FYTD,APR,Other,IL,Single Adults,MEXICO,Title 8,19
2020,FYTD,APR,Other,IL,Single Adults,OTHER,Title 8,9
2020,FYTD,APR,Other,IL,Single Adults,TURKEY,Title 8,1
2020,FYTD,APR,Other,IL,Single Adults,UKRAINE,Title 8,16
2020,FYTD,APR,Other,IL,UC / Single Minors,OTHER,Title 8,1
2020,FYTD,APR,Other,LA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,16
2020,FYTD,APR,Other,LA,Single Adults,INDIA,Title 8,1
2020,FYTD,APR,Other,LA,Single Adults,MEXICO,Title 8,19
2020,FYTD,APR,Other,LA,Single Adults,MYANMAR (BURMA),Title 8,16
2020,FYTD,APR,Other,LA,Single Adults,OTHER,Title 8,16
2020,FYTD,APR,Other,LA,Single Adults,PERU,Title 8,1
2020,FYTD,APR,Other,LA,Single Adults,PHILIPPINES,Title 8,61
2020,FYTD,APR,Other,LA,Single Adults,RUSSIA,Title 8,16
2020,FYTD,APR,Other,LA,Single Adults,TURKEY,Title 8,2
2020,FYTD,APR,Other,LA,Single Adults,UKRAINE,Title 8,9
2020,FYTD,APR,Other,MA,FMUA,BRAZIL,Title 8,3
2020,FYTD,APR,Other,MA,Single Adults,BRAZIL,Title 8,10
2020,FYTD,APR,Other,MA,Single Adults,INDIA,Title 8,3
2020,FYTD,APR,Other,MA,Single Adults,OTHER,Title 8,1
2020,FYTD,APR,Other,MA,Single Adults,PHILIPPINES,Title 8,12
2020,FYTD,APR,Other,MD,Single Adults,OTHER,Title 8,2
2020,FYTD,APR,Other,MD,Single Adults,RUSSIA,Title 8,1
2020,FYTD,APR,Other,MD,Single Adults,UKRAINE,Title 8,2
2020,FYTD,APR,Other,MI,Single Adults,CANADA,Title 8,2
2020,FYTD,APR,Other,MI,Single Adults,CUBA,Title 8,1
2020,FYTD,APR,Other,MI,Single Adults,OTHER,Title 8,4
2020,FYTD,APR,Other,MI,Single Adults,PHILIPPINES,Title 8,1
2020,FYTD,APR,Other,MN,Single Adults,CANADA,Title 8,1
2020,FYTD,APR,Other,MN,Single Adults,INDIA,Title 8,1
2020,FYTD,APR,Other,MN,Single Adults,MYANMAR (BURMA),Title 8,7
2020,FYTD,APR,Other,MN,Single Adults,OTHER,Title 8,2
2020,FYTD,APR,Other,MN,Single Adults,PHILIPPINES,Title 8,14
2020,FYTD,APR,Other,MN,Single Adults,ROMANIA,Title 8,2
2020,FYTD,APR,Other,MN,Single Adults,RUSSIA,Title 8,2
2020,FYTD,APR,Other,MN,Single Adults,UKRAINE,Title 8,5
2020,FYTD,APR,Other,MP,Single Adults,PHILIPPINES,Title 8,4
2020,FYTD,APR,Other,MS,Single Adults,INDIA,Title 8,1
2020,FYTD,APR,Other,MS,Single Adults,OTHER,Title 8,1
2020,FYTD,APR,Other,MS,Single Adults,PHILIPPINES,Title 8,14
2020,FYTD,APR,Other,MS,Single Adults,RUSSIA,Title 8,1
2020,FYTD,APR,Other,MS,Single Adults,TURKEY,Title 8,1
2020,FYTD,APR,Other,NC,Single Adults,INDIA,Title 8,1
2020,FYTD,APR,Other,NC,Single Adults,OTHER,Title 8,4
2020,FYTD,APR,Other,NC,Single Adults,PHILIPPINES,Title 8,1
2020,FYTD,APR,Other,NC,Single Adults,TURKEY,Title 8,13
2020,FYTD,APR,Other,NJ,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,28
2020,FYTD,APR,Other,NJ,Single Adults,INDIA,Title 8,3
2020,FYTD,APR,Other,NJ,Single Adults,MEXICO,Title 8,1
2020,FYTD,APR,Other,NJ,Single Adults,NICARAGUA,Title 8,1
2020,FYTD,APR,Other,NJ,Single Adults,OTHER,Title 8,3
2020,FYTD,APR,Other,NJ,Single Adults,PHILIPPINES,Title 8,63
2020,FYTD,APR,Other,NJ,Single Adults,ROMANIA,Title 8,2
2020,FYTD,APR,Other,NJ,Single Adults,RUSSIA,Title 8,3
2020,FYTD,APR,Other,NJ,Single Adults,TURKEY,Title 8,10
2020,FYTD,APR,Other,NY,Single Adults,COLOMBIA,Title 8,1
2020,FYTD,APR,Other,NY,Single Adults,OTHER,Title 8,3
2020,FYTD,APR,Other,NY,Single Adults,UKRAINE,Title 8,9
2020,FYTD,APR,Other,PA,Single Adults,MYANMAR (BURMA),Title 8,1
2020,FYTD,APR,Other,PA,Single Adults,PHILIPPINES,Title 8,34
2020,FYTD,APR,Other,PA,Single Adults,RUSSIA,Title 8,2
2020,FYTD,APR,Other,PA,Single Adults,UKRAINE,Title 8,14
2020,FYTD,APR,Other,PR,FMUA,OTHER,Title 8,2
2020,FYTD,APR,Other,PR,Single Adults,HONDURAS,Title 8,1
2020,FYTD,APR,Other,PR,Single Adults,INDIA,Title 8,1
2020,FYTD,APR,Other,PR,Single Adults,MEXICO,Title 8,1
2020,FYTD,APR,Other,PR,Single Adults,NICARAGUA,Title 8,4
2020,FYTD,APR,Other,PR,Single Adults,OTHER,Title 8,43
2020,FYTD,APR,Other,PR,Single Adults,PERU,Title 8,1
2020,FYTD,APR,Other,PR,Single Adults,PHILIPPINES,Title 8,40
2020,FYTD,APR,Other,PR,Single Adults,RUSSIA,Title 8,2
2020,FYTD,APR,Other,PR,Single Adults,UKRAINE,Title 8,1
2020,FYTD,APR,Other,PR,Single Adults,VENEZUELA,Title 8,1
2020,FYTD,APR,Other,RI,Single Adults,INDIA,Title 8,8
2020,FYTD,APR,Other,SC,Single Adults,INDIA,Title 8,5
2020,FYTD,APR,Other,SC,Single Adults,OTHER,Title 8,71
2020,FYTD,APR,Other,SC,Single Adults,PHILIPPINES,Title 8,40
2020,FYTD,APR,Other,SC,Single Adults,ROMANIA,Title 8,11
2020,FYTD,APR,Other,SC,Single Adults,RUSSIA,Title 8,6
2020,FYTD,APR,Other,SC,Single Adults,TURKEY,Title 8,6
2020,FYTD,APR,Other,SC,Single Adults,UKRAINE,Title 8,23
2020,FYTD,APR,Other,TX,FMUA,MEXICO,Title 8,2
2020,FYTD,APR,Other,TX,Single Adults,BRAZIL,Title 8,14
2020,FYTD,APR,Other,TX,Single Adults,CANADA,Title 8,19
2020,FYTD,APR,Other,TX,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,281
2020,FYTD,APR,Other,TX,Single Adults,COLOMBIA,Title 8,6
2020,FYTD,APR,Other,TX,Single Adults,EL SALVADOR,Title 8,8
2020,FYTD,APR,Other,TX,Single Adults,GUATEMALA,Title 8,1
2020,FYTD,APR,Other,TX,Single Adults,HONDURAS,Title 8,19
2020,FYTD,APR,Other,TX,Single Adults,INDIA,Title 8,1223
2020,FYTD,APR,Other,TX,Single Adults,MEXICO,Title 8,275
2020,FYTD,APR,Other,TX,Single Adults,MYANMAR (BURMA),Title 8,94
2020,FYTD,APR,Other,TX,Single Adults,OTHER,Title 8,1023
2020,FYTD,APR,Other,TX,Single Adults,PERU,Title 8,15
2020,FYTD,APR,Other,TX,Single Adults,PHILIPPINES,Title 8,2775
2020,FYTD,APR,Other,TX,Single Adults,ROMANIA,Title 8,71
2020,FYTD,APR,Other,TX,Single Adults,RUSSIA,Title 8,397
2020,FYTD,APR,Other,TX,Single Adults,TURKEY,Title 8,86
2020,FYTD,APR,Other,TX,Single Adults,UKRAINE,Title 8,480
2020,FYTD,APR,Other,TX,Single Adults,VENEZUELA,Title 8,8
2020,FYTD,APR,Other,VA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,92
2020,FYTD,APR,Other,VA,Single Adults,INDIA,Title 8,32
2020,FYTD,APR,Other,VA,Single Adults,MYANMAR (BURMA),Title 8,33
2020,FYTD,APR,Other,VA,Single Adults,OTHER,Title 8,62
2020,FYTD,APR,Other,VA,Single Adults,PHILIPPINES,Title 8,463
2020,FYTD,APR,Other,VA,Single Adults,ROMANIA,Title 8,4
2020,FYTD,APR,Other,VA,Single Adults,RUSSIA,Title 8,22
2020,FYTD,APR,Other,VA,Single Adults,TURKEY,Title 8,23
2020,FYTD,APR,Other,VA,Single Adults,UKRAINE,Title 8,66
2020,FYTD,APR,Other,VA,Single Adults,VENEZUELA,Title 8,1
2020,FYTD,APR,Other,VI,Single Adults,HAITI,Title 8,15
2020,FYTD,APR,Other,VI,Single Adults,HONDURAS,Title 8,3
2020,FYTD,APR,Other,VI,Single Adults,NICARAGUA,Title 8,5
2020,FYTD,APR,Other,VI,Single Adults,OTHER,Title 8,7
2020,FYTD,APR,Other,VI,Single Adults,PHILIPPINES,Title 8,22
2020,FYTD,APR,Other,VI,Single Adults,UKRAINE,Title 8,1
2020,FYTD,APR,Other,VI,Single Adults,VENEZUELA,Title 8,5
2020,FYTD,APR,Other,WA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,144
2020,FYTD,APR,Other,WA,Single Adults,INDIA,Title 8,20
2020,FYTD,APR,Other,WA,Single Adults,MEXICO,Title 8,1
2020,FYTD,APR,Other,WA,Single Adults,MYANMAR (BURMA),Title 8,20
2020,FYTD,APR,Other,WA,Single Adults,OTHER,Title 8,54
2020,FYTD,APR,Other,WA,Single Adults,PHILIPPINES,Title 8,170
2020,FYTD,APR,Other,WA,Single Adults,ROMANIA,Title 8,10
2020,FYTD,APR,Other,WA,Single Adults,RUSSIA,Title 8,2
2020,FYTD,APR,Other,WA,Single Adults,TURKEY,Title 8,1
2020,FYTD,APR,Other,WA,Single Adults,UKRAINE,Title 8,5
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,CANADA,Title 8,4
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,CUBA,Title 8,7
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,ECUADOR,Title 42,2
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,EL SALVADOR,Title 42,3
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,GUATEMALA,Title 42,30
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,HONDURAS,Title 42,17
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,MEXICO,Title 42,66
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,MEXICO,Title 8,13
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,OTHER,Title 8,5
2020,FYTD,APR,Southwest Land Border,AZ,FMUA,VENEZUELA,Title 8,5
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,BRAZIL,Title 42,2
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,BRAZIL,Title 8,2
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,CUBA,Title 42,5
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,CUBA,Title 8,13
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,ECUADOR,Title 42,41
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,ECUADOR,Title 8,20
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,EL SALVADOR,Title 42,41
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,EL SALVADOR,Title 8,6
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,GUATEMALA,Title 42,265
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,GUATEMALA,Title 8,14
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,HONDURAS,Title 42,175
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,HONDURAS,Title 8,8
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,INDIA,Title 8,4
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,MEXICO,Title 42,1882
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,MEXICO,Title 8,178
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,NICARAGUA,Title 42,2
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,NICARAGUA,Title 8,1
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,OTHER,Title 42,3
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,OTHER,Title 8,20
2020,FYTD,APR,Southwest Land Border,AZ,Single Adults,VENEZUELA,Title 8,2
2020,FYTD,APR,Southwest Land Border,AZ,UC / Single Minors,ECUADOR,Title 42,2
2020,FYTD,APR,Southwest Land Border,AZ,UC / Single Minors,EL SALVADOR,Title 42,1
2020,FYTD,APR,Southwest Land Border,AZ,UC / Single Minors,GUATEMALA,Title 42,14
2020,FYTD,APR,Southwest Land Border,AZ,UC / Single Minors,GUATEMALA,Title 8,10
2020,FYTD,APR,Southwest Land Border,AZ,UC / Single Minors,HONDURAS,Title 42,6
2020,FYTD,APR,Southwest Land Border,AZ,UC / Single Minors,MEXICO,Title 42,120
2020,FYTD,APR,Southwest Land Border,AZ,UC / Single Minors,MEXICO,Title 8,2
2020,FYTD,APR,Southwest Land Border,CA,Accompanied Minors,MEXICO,Title 42,2
2020,FYTD,APR,Southwest Land Border,CA,Accompanied Minors,MEXICO,Title 8,1
2020,FYTD,APR,Southwest Land Border,CA,FMUA,"CHINA, PEOPLES REPUBLIC OF",Title 8,3
2020,FYTD,APR,Southwest Land Border,CA,FMUA,EL SALVADOR,Title 42,4
2020,FYTD,APR,Southwest Land Border,CA,FMUA,GUATEMALA,Title 42,5
2020,FYTD,APR,Southwest Land Border,CA,FMUA,HAITI,Title 42,2
2020,FYTD,APR,Southwest Land Border,CA,FMUA,HAITI,Title 8,3
2020,FYTD,APR,Southwest Land Border,CA,FMUA,HONDURAS,Title 42,3
2020,FYTD,APR,Southwest Land Border,CA,FMUA,INDIA,Title 8,8
2020,FYTD,APR,Southwest Land Border,CA,FMUA,MEXICO,Title 42,38
2020,FYTD,APR,Southwest Land Border,CA,FMUA,OTHER,Title 42,1
2020,FYTD,APR,Southwest Land Border,CA,FMUA,OTHER,Title 8,4
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,BRAZIL,Title 42,1
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,BRAZIL,Title 8,1
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,5
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,COLOMBIA,Title 8,1
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,CUBA,Title 8,3
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,ECUADOR,Title 8,1
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,EL SALVADOR,Title 42,33
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,EL SALVADOR,Title 8,2
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,GUATEMALA,Title 42,51
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,GUATEMALA,Title 8,6
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,HONDURAS,Title 42,67
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,HONDURAS,Title 8,1
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,INDIA,Title 8,9
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,MEXICO,Title 42,3347
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,MEXICO,Title 8,148
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,NICARAGUA,Title 42,5
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,NICARAGUA,Title 8,2
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,OTHER,Title 42,3
2020,FYTD,APR,Southwest Land Border,CA,Single Adults,OTHER,Title 8,96
2020,FYTD,APR,Southwest Land Border,CA,UC / Single Minors,EL SALVADOR,Title 8,2
2020,FYTD,APR,Southwest Land Border,CA,UC / Single Minors,GUATEMALA,Title 42,2
2020,FYTD,APR,Southwest Land Border,CA,UC / Single Minors,HONDURAS,Title 42,1
2020,FYTD,APR,Southwest Land Border,CA,UC / Single Minors,INDIA,Title 8,8
2020,FYTD,APR,Southwest Land Border,CA,UC / Single Minors,MEXICO,Title 42,76
2020,FYTD,APR,Southwest Land Border,CA,UC / Single Minors,MEXICO,Title 8,9
2020,FYTD,APR,Southwest Land Border,CA,UC / Single Minors,OTHER,Title 8,3
2020,FYTD,APR,Southwest Land Border,NM,FMUA,ECUADOR,Title 42,5
2020,FYTD,APR,Southwest Land Border,NM,FMUA,ECUADOR,Title 8,4
2020,FYTD,APR,Southwest Land Border,NM,FMUA,GUATEMALA,Title 42,6
