fiscal_year,month_grouping,month_abbv,component,land_border_region,area_of_responsibility,aor_abbv,demographic,citizenship,title_of_authority,encounter_type,encounter_count
2020,FYTD,APR,Office of Field Operations,Other,Miami Field Office,Miami,Single Adults,VENEZUELA,Title 8,Inadmissibles,11
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,71
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,INDIA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,MEXICO,Title 8,Inadmissibles,19
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,24
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,OTHER,Title 8,Inadmissibles,34
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,PERU,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,PHILIPPINES,Title 8,Inadmissibles,124
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,RUSSIA,Title 8,Inadmissibles,31
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,TURKEY,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,New Orleans Field Office,New Orleans,Single Adults,UKRAINE,Title 8,Inadmissibles,14
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,28
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,COLOMBIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,INDIA,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,MEXICO,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,NICARAGUA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,OTHER,Title 8,Inadmissibles,6
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,PHILIPPINES,Title 8,Inadmissibles,63
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,ROMANIA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,RUSSIA,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,New York Field Office,New York,Single Adults,TURKEY,Title 8,Inadmissibles,10
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,INDIA,Title 8,Inadmissibles,15
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,MEXICO,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,34
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,OTHER,Title 8,Inadmissibles,52
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,PHILIPPINES,Title 8,Inadmissibles,53
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,RUSSIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,TURKEY,Title 8,Inadmissibles,20
2020,FYTD,APR,Office of Field Operations,Other,Portland Field Office,Portland,Single Adults,UKRAINE,Title 8,Inadmissibles,8
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,FMUA,CANADA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,BRAZIL,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,CANADA,Title 8,Inadmissibles,153
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,11
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,HONDURAS,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,INDIA,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,MEXICO,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,OTHER,Title 8,Inadmissibles,26
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,PHILIPPINES,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,TURKEY,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,Single Adults,VENEZUELA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,Preclearance Field Office,Preclearance,UC / Single Minors,CANADA,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,COLOMBIA,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,HONDURAS,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,INDIA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,MEXICO,Title 8,Inadmissibles,31
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,OTHER,Title 8,Inadmissibles,12
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,PERU,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,PHILIPPINES,Title 8,Inadmissibles,23
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,ROMANIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,San Diego Field Office,San Diego,Single Adults,UKRAINE,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,88
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,EL SALVADOR,Title 8,Inadmissibles,3
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,HONDURAS,Title 8,Inadmissibles,6
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,INDIA,Title 8,Inadmissibles,357
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,MEXICO,Title 8,Inadmissibles,7
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,MYANMAR (BURMA),Title 8,Inadmissibles,27
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,OTHER,Title 8,Inadmissibles,244
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,PHILIPPINES,Title 8,Inadmissibles,604
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,ROMANIA,Title 8,Inadmissibles,15
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,RUSSIA,Title 8,Inadmissibles,55
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,TURKEY,Title 8,Inadmissibles,29
2020,FYTD,APR,Office of Field Operations,Other,San Francisco Field Office,San Francisco,Single Adults,UKRAINE,Title 8,Inadmissibles,145
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,FMUA,OTHER,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,HAITI,Title 8,Inadmissibles,15
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,HONDURAS,Title 8,Inadmissibles,4
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,INDIA,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,MEXICO,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,NICARAGUA,Title 8,Inadmissibles,9
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,OTHER,Title 8,Inadmissibles,50
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,PERU,Title 8,Inadmissibles,1
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,PHILIPPINES,Title 8,Inadmissibles,62
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,RUSSIA,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,UKRAINE,Title 8,Inadmissibles,2
2020,FYTD,APR,Office of Field Operations,Other,San Juan Field Office,San Juan,Single Adults,VENEZUELA,Title 8,Inadmissibles,6
2020,FYTD,APR,Office of Field Operations,Other,Seattle Field Office,Seattle,Single Adults,"CHINA, PEOPLES REPUBLIC OF",Title 8,Inadmissibles,144
2020,FYTD,APR,Office of Field Operations,Other,Seattle Field Office,Seattle,Single Adults,INDIA,Title 8,Inadmissibles,20
