squad_no,country,pos,player,dob,age,caps,goals,club
7,Sweden,FW,Madelen Janogy,1995-11-12T00:00:00Z,23,3,0,Piteå
8,Sweden,MF,Lina Hurtig,1995-09-15T00:00:00Z,23,17,3,Linköping
9,Sweden,MF,Kosovare Asllani,1989-07-29T00:00:00Z,29,126,32,Linköping
10,Sweden,FW,Sofia Jakobsson,1990-04-23T00:00:00Z,29,100,17,Montpellier
11,Sweden,FW,Stina Blackstenius,1996-02-05T00:00:00Z,23,43,10,Linköping
12,Sweden,GK,Jennifer Falk,1993-04-26T00:00:00Z,26,0,0,Kopparbergs/Göteborg
13,Sweden,DF,Amanda Ilestedt,1993-01-17T00:00:00Z,26,25,2,Turbine Potsdam
14,Sweden,MF,Julia Roddar,1992-02-16T00:00:00Z,27,6,0,Kopparbergs/Göteborg
15,Sweden,DF,Nathalie Björn,1997-05-04T00:00:00Z,22,8,2,Rosengård
16,Sweden,FW,Julia Zigiotti Olme,1997-12-24T00:00:00Z,21,6,0,Kopparbergs/Göteborg
17,Sweden,MF,Caroline Seger,1985-03-19T00:00:00Z,34,193,27,Rosengård
18,Sweden,FW,Fridolina Rolfö,1993-11-24T00:00:00Z,25,34,8,Bayern Munich
19,Sweden,MF,Anna Anvegård,1997-05-10T00:00:00Z,22,8,1,Växjö
20,Sweden,FW,Mimmi Larsson,1994-04-09T00:00:00Z,25,20,6,Linköping
21,Sweden,GK,Zećira Mušović,1996-05-26T00:00:00Z,23,2,0,Rosengård
22,Sweden,FW,Olivia Schough,1991-03-11T00:00:00Z,28,72,9,Djurgården
23,Sweden,MF,Elin Rubensson,1993-05-11T00:00:00Z,26,62,2,Kopparbergs/Göteborg
1,Chile,GK,Christiane Endler,1991-07-23T00:00:00Z,27,20,0,Paris Saint-Germain
2,Chile,DF,Rocío Soto,1993-09-21T00:00:00Z,25,13,1,Zaragoza
3,Chile,DF,Carla Guerrero,1987-12-23T00:00:00Z,31,14,4,Rayo Vallecano
4,Chile,MF,Francisca Lara,1990-07-29T00:00:00Z,28,22,9,Sevilla
5,Chile,DF,Valentina Díaz,2001-03-30T00:00:00Z,18,2,0,Colo-Colo
6,Chile,MF,Claudia Soto,1993-07-06T00:00:00Z,25,15,0,Santos
7,Chile,FW,María José Rojas,1987-12-17T00:00:00Z,31,20,12,Slavia Praha
8,Chile,MF,Karen Araya,1990-10-16T00:00:00Z,28,20,6,Sevilla
9,Chile,FW,María José Urrutia,1993-12-17T00:00:00Z,25,6,0,3B da Amazônia [pt]
10,Chile,FW,Yanara Aedo,1993-08-05T00:00:00Z,25,19,9,Valencia
11,Chile,MF,Yessenia López,1990-10-20T00:00:00Z,28,20,3,Sporting Huelva
12,Chile,GK,Natalia Campos,1992-01-12T00:00:00Z,27,3,0,Universidad Católica
13,Chile,FW,Javiera Grez,2000-07-11T00:00:00Z,18,9,1,Curicó Unido
14,Chile,MF,Daniela Pardo,1988-09-05T00:00:00Z,30,5,0,Santiago Morning
15,Chile,DF,Su Helen Galaz,1991-05-27T00:00:00Z,28,10,0,Zaragoza
16,Chile,MF,Ana Gutiérrez,1996-06-20T00:00:00Z,22,4,0,Cáceres
17,Chile,DF,Javiera Toro,1998-04-22T00:00:00Z,21,3,0,Santiago Morning
18,Chile,DF,Camila Sáez,1994-10-17T00:00:00Z,24,20,3,Rayo Vallecano
19,Chile,FW,Yessenia Huenteo,1992-10-30T00:00:00Z,26,15,1,Cáceres
20,Chile,FW,Daniela Zamora,1990-11-13T00:00:00Z,28,10,0,Universidad de Chile
21,Chile,FW,Rosario Balmaceda,1999-03-23T00:00:00Z,20,3,0,Colo-Colo
22,Chile,MF,Elisa Durán ,2002-01-16T00:00:00Z,17,0,0,Colo-Colo
23,Chile,GK,Ryann Torrero ,1990-09-01T00:00:00Z,28,0,0,Unattached
1,New Zealand,GK,Erin Nayler,1992-04-17T00:00:00Z,27,61,0,Bordeaux
2,New Zealand,MF,Ria Percival,1989-12-07T00:00:00Z,29,139,14,West Ham United
3,New Zealand,DF,Anna Green,1990-08-20T00:00:00Z,28,72,7,Miramar Rangers
4,New Zealand,DF,CJ Bott,1995-04-22T00:00:00Z,24,16,1,Vittsjö
5,New Zealand,DF,Meikayla Moore,1996-06-04T00:00:00Z,23,35,3,MSV Duisburg
6,New Zealand,DF,Rebekah Stott,1993-06-17T00:00:00Z,25,71,4,Avaldsnes
7,New Zealand,DF,Ali Riley,1987-10-30T00:00:00Z,31,123,1,Chelsea
8,New Zealand,DF,Abby Erceg,1989-11-20T00:00:00Z,29,135,6,North Carolina Courage
9,New Zealand,FW,Emma Kete,1987-09-01T00:00:00Z,31,50,3,Unattached
10,New Zealand,MF,Annalie Longo,1991-07-01T00:00:00Z,27,113,15,Unattached
11,New Zealand,FW,Sarah Gregorius,1987-08-06T00:00:00Z,31,91,33,Miramar Rangers
12,New Zealand,MF,Betsy Hassett,1990-08-04T00:00:00Z,28,111,13,KR Reykjavik
13,New Zealand,FW,Rosie White,1993-06-06T00:00:00Z,26,99,24,Unattached
14,New Zealand,MF,Katie Bowen,1994-04-15T00:00:00Z,25,59,3,Utah Royals
15,New Zealand,DF,Sarah Morton,1998-08-28T00:00:00Z,20,6,1,Western Springs
16,New Zealand,MF,Katie Duncan,1988-02-01T00:00:00Z,31,122,1,Onehunga Sports
17,New Zealand,FW,Hannah Wilkinson,1992-05-28T00:00:00Z,27,87,25,Unattached
18,New Zealand,DF,Stephanie Skilton,1994-10-27T00:00:00Z,24,9,0,Papakura City
19,New Zealand,FW,Paige Satchell,1998-04-13T00:00:00Z,21,11,1,Three Kings United
20,New Zealand,MF,Daisy Cleverley,1997-04-30T00:00:00Z,22,8,2,California Golden Bears
21,New Zealand,GK,Victoria Esson,1991-03-06T00:00:00Z,28,3,0,Avaldsnes
22,New Zealand,MF,Olivia Chance,1993-10-05T00:00:00Z,25,11,0,Everton
23,New Zealand,GK,Nadia Olla,2000-02-07T00:00:00Z,19,1,0,Western Springs
1,Netherlands,GK,Sari van Veenendaal,1990-04-03T00:00:00Z,29,52,0,Arsenal
2,Netherlands,DF,Desiree van Lunteren,1992-12-30T00:00:00Z,26,70,0,SC Freiburg
3,Netherlands,DF,Stefanie van der Gragt,1992-08-16T00:00:00Z,26,55,7,Barcelona
4,Netherlands,DF,Merel van Dongen,1993-02-11T00:00:00Z,26,26,1,Real Betis
5,Netherlands,DF,Kika van Es,1991-10-11T00:00:00Z,27,57,0,Ajax
6,Netherlands,DF,Anouk Dekker,1986-11-15T00:00:00Z,32,77,6,Montpellier
7,Netherlands,FW,Shanice van de Sanden,1992-10-02T00:00:00Z,26,63,15,Lyon
8,Netherlands,MF,Sherida Spitse,1990-05-29T00:00:00Z,29,161,30,Vålerenga
9,Netherlands,FW,Vivianne Miedema,1996-07-15T00:00:00Z,22,74,57,Arsenal
10,Netherlands,MF,Daniëlle van de Donk,1991-08-05T00:00:00Z,27,88,16,Arsenal
11,Netherlands,FW,Lieke Martens,1992-12-16T00:00:00Z,26,102,42,Barcelona
12,Netherlands,MF,Victoria Pelova ,1999-06-03T00:00:00Z,20,3,0,ADO Den Haag
13,Netherlands,FW,Renate Jansen,1990-12-07T00:00:00Z,28,35,3,Twente
14,Netherlands,MF,Jackie Groenen,1994-12-17T00:00:00Z,24,45,2,1. FFC Frankfurt
15,Netherlands,MF,Inessa Kaagman,1996-04-17T00:00:00Z,23,2,0,Everton
16,Netherlands,GK,Lize Kop ,1998-03-17T00:00:00Z,21,1,0,Ajax
17,Netherlands,FW,Ellen Jansen,1992-10-06T00:00:00Z,26,14,1,Ajax
18,Netherlands,DF,Danique Kerkdijk,1996-05-01T00:00:00Z,23,18,0,Bristol City
19,Netherlands,MF,Jill Roord,1997-04-22T00:00:00Z,22,40,3,Bayern Munich
20,Netherlands,DF,Dominique Bloodworth,1995-01-17T00:00:00Z,24,46,0,Arsenal
21,Netherlands,FW,Lineth Beerensteyn,1996-10-11T00:00:00Z,22,39,9,Bayern Munich
22,Netherlands,DF,Liza van der Most,1993-10-08T00:00:00Z,25,13,0,Ajax
23,Netherlands,GK,Loes Geurts,1986-01-12T00:00:00Z,33,123,0,Kopparbergs/Göteborg
1,Canada,GK,Stephanie Labbé,1986-10-10T00:00:00Z,32,61,0,North Carolina Courage
2,Canada,DF,Allysha Chapman,1989-01-25T00:00:00Z,30,64,1,Houston Dash
3,Canada,DF,Kadeisha Buchanan,1995-11-05T00:00:00Z,23,88,3,Lyon
4,Canada,DF,Shelina Zadorsky,1992-08-24T00:00:00Z,26,52,1,Orlando Pride
5,Canada,DF,Rebecca Quinn,1995-08-11T00:00:00Z,23,48,5,Paris FC
6,Canada,FW,Deanne Rose,1999-03-03T00:00:00Z,20,40,8,Florida Gators
7,Canada,MF,Julia Grosso,2000-08-29T00:00:00Z,18,16,0,Texas Longhorns
8,Canada,DF,Jayde Riviere,2001-01-22T00:00:00Z,18,5,0,Vancouver Whitecaps
9,Canada,FW,Jordyn Huitema,2001-05-08T00:00:00Z,18,21,6,Vancouver Whitecaps
10,Canada,DF,Ashley Lawrence,1995-06-11T00:00:00Z,23,76,5,Paris Saint-Germain
11,Canada,MF,Desiree Scott,1987-07-31T00:00:00Z,31,143,0,Utah Royals
12,Canada,FW,Christine Sinclair,1983-06-12T00:00:00Z,35,282,181,Portland Thorns
13,Canada,MF,Sophie Schmidt,1988-06-28T00:00:00Z,30,184,19,Houston Dash
14,Canada,MF,Gabrielle Carle,1998-10-12T00:00:00Z,20,13,1,Florida State Seminoles
15,Canada,FW,Nichelle Prince,1995-02-19T00:00:00Z,24,50,10,Houston Dash
16,Canada,FW,Janine Beckie,1994-08-20T00:00:00Z,24,56,25,Manchester City
17,Canada,MF,Jessie Fleming,1998-03-11T00:00:00Z,21,65,8,UCLA Bruins
18,Canada,GK,Kailen Sheridan,1995-07-16T00:00:00Z,23,7,0,Sky Blue FC
19,Canada,FW,Adriana Leon,1992-10-02T00:00:00Z,26,57,15,West Ham United
20,Canada,DF,Shannon Woeller,1990-01-31T00:00:00Z,29,20,0,Eskilstuna United
21,Canada,GK,Sabrina D'Angelo,1993-05-11T00:00:00Z,26,6,0,Vittsjö
22,Canada,DF,Lindsay Agnew,1995-03-31T00:00:00Z,24,11,0,Houston Dash
23,Canada,DF,Jenna Hellstrom,1995-04-02T00:00:00Z,24,4,0,KIF Örebro
1,Cameroon,GK,Annette Ngo Ndom,1985-06-03T00:00:00Z,34,50,0,Amazone FAP
2,Cameroon,DF,Christine Manie,1984-05-04T00:00:00Z,35,63,10,Nancy
3,Cameroon,FW,Ajara Nchout,1993-01-12T00:00:00Z,26,49,5,Vålerenga
4,Cameroon,DF,Yvonne Leuko,1991-11-20T00:00:00Z,27,29,0,Strasbourg
5,Cameroon,DF,Augustine Ejangue,1989-01-19T00:00:00Z,30,62,0,Arna-Bjørnar
6,Cameroon,DF,Estelle Johnson,1988-07-21T00:00:00Z,30,NA,NA,Sky Blue FC
7,Cameroon,FW,Gabrielle Aboudi Onguéné,1989-02-25T00:00:00Z,30,58,17,CSKA Moscow
8,Cameroon,MF,Raissa Feudjio,1995-09-29T00:00:00Z,23,60,1,Granadilla
9,Cameroon,FW,Madeleine Ngono Mani,1983-10-16T00:00:00Z,35,128,49,Ambilly [fr]
10,Cameroon,MF,Jeannette Yango,1993-06-12T00:00:00Z,25,38,1,Saint-Malo
11,Cameroon,DF,Aurelle Awona,1993-02-02T00:00:00Z,26,4,0,Dijon
12,Cameroon,DF,Claudine Meffometou,1990-07-01T00:00:00Z,28,31,1,Guingamp
13,Cameroon,MF,Charlène Menene ,1998-11-19T00:00:00Z,20,NA,NA,Louves Miniproff [de]
14,Cameroon,MF,Ninon Abena,1994-09-05T00:00:00Z,24,NA,NA,Louves Miniproff [de]
15,Cameroon,DF,Ysis Sonkeng,1989-09-20T00:00:00Z,29,NA,NA,Amazone FAP
16,Cameroon,GK,Isabelle Mambingo,1991-04-10T00:00:00Z,28,NA,NA,Sunshine Queens
17,Cameroon,FW,Gaëlle Enganamouit,1992-06-09T00:00:00Z,26,43,5,Unattached
18,Cameroon,FW,Henriette Akaba,1992-06-07T00:00:00Z,27,38,0,Beşiktaş
19,Cameroon,MF,Marlyse Ngo Ndoumbouk,1985-01-03T00:00:00Z,34,NA,NA,Nancy
20,Cameroon,MF,Genevieve Ngo Mbeleck,1993-03-10T00:00:00Z,26,14,1,Amazone FAP
21,Cameroon,FW,Alexanda Takounda,2000-07-07T00:00:00Z,18,NA,NA,Eclair
22,Cameroon,FW,Michaela Abam,1997-06-13T00:00:00Z,21,NA,NA,Paris FC
23,Cameroon,GK,Marthe Ongmahan,1992-06-12T00:00:00Z,26,0,0,AWA Yaoundé
1,Scotland,GK,Lee Alexander,1991-09-23T00:00:00Z,27,16,0,Glasgow City
2,Scotland,DF,Kirsty Smith,1994-01-06T00:00:00Z,25,34,0,Manchester United
3,Scotland,DF,Nicola Docherty,1992-08-23T00:00:00Z,26,18,0,Glasgow City
4,Scotland,DF,Rachel Corsie,1989-08-17T00:00:00Z,29,108,16,Utah Royals
5,Scotland,DF,Jennifer Beattie,1991-05-13T00:00:00Z,28,123,22,Manchester City
6,Scotland,MF,Joanne Love,1985-12-06T00:00:00Z,33,191,13,Glasgow City
7,Scotland,DF,Hayley Lauder,1990-06-04T00:00:00Z,29,98,9,Glasgow City
8,Scotland,MF,Kim Little,1990-06-29T00:00:00Z,28,132,53,Arsenal
9,Scotland,MF,Caroline Weir,1995-06-20T00:00:00Z,23,62,7,Manchester City
10,Scotland,MF,Leanne Crichton,1987-08-06T00:00:00Z,31,63,3,Glasgow City
11,Scotland,FW,Lisa Evans,1992-05-21T00:00:00Z,27,77,17,Arsenal
12,Scotland,GK,Shannon Lynn,1985-10-22T00:00:00Z,33,30,0,Vittsjö
13,Scotland,FW,Jane Ross,1989-09-18T00:00:00Z,29,126,58,West Ham United
14,Scotland,DF,Chloe Arthur,1995-01-21T00:00:00Z,24,19,0,Birmingham City
15,Scotland,DF,Sophie Howard,1993-09-17T00:00:00Z,25,13,0,Reading
16,Scotland,MF,Christie Murray,1990-05-03T00:00:00Z,29,60,4,Liverpool
17,Scotland,DF,Joelle Murray,1986-11-07T00:00:00Z,32,48,1,Hibernian
18,Scotland,FW,Claire Emslie,1994-03-08T00:00:00Z,25,20,3,Manchester City
19,Scotland,FW,Lana Clelland,1993-01-26T00:00:00Z,26,24,3,Fiorentina
20,Scotland,FW,Fiona Brown,1995-03-31T00:00:00Z,24,37,2,Rosengård
21,Scotland,GK,Jenna Fife,1995-12-01T00:00:00Z,23,4,0,Hibernian
22,Scotland,FW,Erin Cuthbert,1998-07-19T00:00:00Z,20,29,9,Chelsea
23,Scotland,MF,Lizzie Arnot,1996-03-01T00:00:00Z,23,25,2,Manchester United
1,Japan,GK,Sakiko Ikeda,1992-09-08T00:00:00Z,26,14,0,Urawa Red Diamonds
2,Japan,DF,Rumi Utsugi,1988-12-05T00:00:00Z,30,112,6,Reign FC
3,Japan,DF,Aya Sameshima,1987-06-16T00:00:00Z,31,108,5,INAC Kobe Leonessa
4,Japan,DF,Saki Kumagai,1990-10-17T00:00:00Z,28,103,0,Lyon
5,Japan,DF,Nana Ichise,1997-08-04T00:00:00Z,21,15,0,Vegalta Sendai
6,Japan,MF,Hina Sugita,1997-01-31T00:00:00Z,22,6,0,INAC Kobe Leonessa
7,Japan,MF,Emi Nakajima,1990-09-27T00:00:00Z,28,69,14,INAC Kobe Leonessa
8,Japan,FW,Mana Iwabuchi,1993-03-18T00:00:00Z,26,61,20,INAC Kobe Leonessa
9,Japan,FW,Yuika Sugasawa,1990-10-05T00:00:00Z,28,62,17,Urawa Red Diamonds
10,Japan,MF,Mizuho Sakaguchi,1987-10-15T00:00:00Z,31,124,29,Nippon TV Beleza
11,Japan,FW,Rikako Kobayashi,1997-07-21T00:00:00Z,21,5,2,Nippon TV Beleza
12,Japan,DF,Moeka Minami,1998-12-07T00:00:00Z,20,4,0,Urawa Red Diamonds
13,Japan,FW,Riko Ueki,1999-07-30T00:00:00Z,19,2,0,Nippon TV Beleza
14,Japan,MF,Yui Hasegawa,1997-01-29T00:00:00Z,22,35,6,Nippon TV Beleza
15,Japan,MF,Yuka Momiki,1996-04-09T00:00:00Z,23,24,8,Nippon TV Beleza
16,Japan,DF,Asato Miyagawa,1998-02-24T00:00:00Z,21,4,0,Nippon TV Beleza
17,Japan,MF,Narumi Miura,1997-07-03T00:00:00Z,21,8,0,Nippon TV Beleza
18,Japan,GK,Ayaka Yamashita,1995-09-29T00:00:00Z,23,26,0,Nippon TV Beleza
19,Japan,FW,Jun Endo,2000-05-24T00:00:00Z,19,4,0,Nippon TV Beleza
20,Japan,FW,Kumi Yokoyama,1993-08-13T00:00:00Z,25,40,17,AC Nagano Parceiro
21,Japan,GK,Chika Hirao,1996-12-31T00:00:00Z,22,2,0,Albirex Niigata
22,Japan,DF,Risa Shimizu,1996-06-15T00:00:00Z,22,23,0,Nippon TV Beleza
23,Japan,DF,Shiori Miyake,1995-10-13T00:00:00Z,23,17,0,INAC Kobe Leonessa
1,England,GK,Karen Bardsley,1984-10-14T00:00:00Z,34,75,0,Manchester City
2,England,DF,Lucy Bronze,1991-10-28T00:00:00Z,27,66,7,Lyon
3,England,DF,Alex Greenwood,1993-09-07T00:00:00Z,25,35,2,Manchester United
4,England,MF,Keira Walsh,1997-04-08T00:00:00Z,22,14,0,Manchester City
5,England,DF,Steph Houghton,1988-04-23T00:00:00Z,31,104,12,Manchester City
6,England,DF,Millie Bright,1993-08-21T00:00:00Z,25,26,0,Chelsea
7,England,FW,Nikita Parris,1994-03-10T00:00:00Z,25,32,11,Manchester City
8,England,MF,Jill Scott,1987-02-02T00:00:00Z,32,134,22,Manchester City
9,England,FW,Jodie Taylor,1986-05-17T00:00:00Z,33,39,17,Reign FC
10,England,FW,Fran Kirby,1993-06-29T00:00:00Z,25,37,12,Chelsea
11,England,FW,Toni Duggan,1991-07-25T00:00:00Z,27,71,22,Barcelona
12,England,DF,Demi Stokes,1991-12-12T00:00:00Z,27,49,1,Manchester City
13,England,GK,Carly Telford,1987-07-07T00:00:00Z,31,16,0,Chelsea
14,England,DF,Leah Williamson,1997-03-29T00:00:00Z,22,6,0,Arsenal
15,England,DF,Abbie McManus,1993-01-14T00:00:00Z,26,12,0,Manchester City
16,England,MF,Jade Moore,1990-10-22T00:00:00Z,28,45,1,Reading
17,England,DF,Rachel Daly,1991-12-06T00:00:00Z,27,21,3,Houston Dash
18,England,FW,Ellen White,1989-05-09T00:00:00Z,30,80,28,Birmingham City
19,England,MF,Georgia Stanway,1999-01-03T00:00:00Z,20,6,1,Manchester City
20,England,MF,Karen Carney,1987-08-01T00:00:00Z,31,138,32,Chelsea
21,England,GK,Mary Earps,1993-03-07T00:00:00Z,26,5,0,VfL Wolfsburg
22,England,FW,Beth Mead,1995-05-09T00:00:00Z,24,12,5,Arsenal
23,England,MF,Lucy Staniforth,1992-10-02T00:00:00Z,26,8,2,Birmingham City
1,Argentina,GK,Vanina Correa,1983-08-14T00:00:00Z,35,31,0,Rosario Central
2,Argentina,DF,Agustina Barroso,1993-05-20T00:00:00Z,26,36,0,Madrid CFF
3,Argentina,DF,Eliana Stábile,1993-11-26T00:00:00Z,25,13,2,Boca Juniors
4,Argentina,DF,Adriana Sachs,1993-12-25T00:00:00Z,25,24,0,UAI Urquiza
5,Argentina,MF,Vanesa Santana,1990-09-03T00:00:00Z,28,31,0,Logroño
6,Argentina,DF,Aldana Cometti,1996-03-03T00:00:00Z,23,32,3,Sevilla
7,Argentina,FW,Yael Oviedo,1992-05-22T00:00:00Z,27,24,2,Rayo Vallecano
8,Argentina,MF,Ruth Bravo,1992-03-06T00:00:00Z,27,18,1,Tacón
9,Argentina,FW,Sole Jaimes,1989-01-20T00:00:00Z,30,21,5,Lyon
10,Argentina,MF,Estefanía Banini,1990-06-21T00:00:00Z,28,32,9,Levante
11,Argentina,MF,Florencia Bonsegundo,1993-07-14T00:00:00Z,25,34,10,Sporting Huelva
12,Argentina,GK,Gabriela Garton ,1990-05-27T00:00:00Z,29,2,0,Unattached
13,Argentina,DF,Virginia Gómez,1991-02-26T00:00:00Z,28,8,0,Rosario Central
14,Argentina,MF,Miriam Mayorga,1989-11-20T00:00:00Z,29,9,0,UAI Urquiza
15,Argentina,FW,Belén Potassa,1988-12-12T00:00:00Z,30,28,7,UAI Urquiza
16,Argentina,MF,Lorena Benítez,1998-12-03T00:00:00Z,20,2,0,Boca Juniors
17,Argentina,MF,Mariela Coronel,1981-06-20T00:00:00Z,37,34,2,Granada
18,Argentina,DF,Gabriela Chávez,1989-04-09T00:00:00Z,30,18,0,River Plate
19,Argentina,MF,Mariana Larroquette,1992-10-24T00:00:00Z,26,36,8,UAI Urquiza
20,Argentina,MF,Dalila Ippólito,2002-03-24T00:00:00Z,17,1,0,River Plate
21,Argentina,DF,Natalie Juncos,1990-12-28T00:00:00Z,28,6,0,Unattached
22,Argentina,FW,Milagros Menéndez ,1997-03-23T00:00:00Z,22,3,0,UAI Urquiza
23,Argentina,GK,Solana Pereyra,1999-04-05T00:00:00Z,20,0,0,UAI Urquiza
1,Jamaica,GK,Sydney Schneider,1999-08-31T00:00:00Z,19,10,0,UNC Wilmington Seahawks
2,Jamaica,DF,Lauren Silver,1993-03-22T00:00:00Z,26,19,1,Trondheims-Ørn
3,Jamaica,MF,Chanel Hudson-Marks,1997-09-14T00:00:00Z,21,4,0,Memphis Tigers
4,Jamaica,DF,Chantelle Swaby,1998-08-06T00:00:00Z,20,9,0,Rutgers Scarlet Knights
5,Jamaica,DF,Konya Plummer,1997-08-02T00:00:00Z,21,16,1,UCF Knights
6,Jamaica,MF,Havana Solaun,1993-03-23T00:00:00Z,26,1,0,Klepp
7,Jamaica,MF,Chinyelu Asher,1993-05-20T00:00:00Z,26,22,3,Stabæk
8,Jamaica,MF,Ashleigh Shim,1993-11-11T00:00:00Z,25,6,1,Unattached
9,Jamaica,MF,Marlo Sweatman,1994-12-01T00:00:00Z,24,13,3,Szent Mihály
10,Jamaica,FW,Jody Brown,2002-04-16T00:00:00Z,17,12,8,Montverde Academy
11,Jamaica,FW,Khadija Shaw,1997-01-31T00:00:00Z,22,21,28,Tennessee Volunteers
12,Jamaica,MF,Sashana Campbell,1991-03-02T00:00:00Z,28,8,2,Maccabi Kishronot Hadera
13,Jamaica,GK,Nicole McClure,1989-11-16T00:00:00Z,29,9,0,Sion Swifts
14,Jamaica,DF,Deneisha Blackwood,1997-03-07T00:00:00Z,22,13,2,West Florida Argonauts
15,Jamaica,FW,Tiffany Cameron,1991-10-16T00:00:00Z,27,2,0,Stabæk
16,Jamaica,DF,Dominique Bond-Flasza,1996-09-11T00:00:00Z,22,16,2,PSV
