Genus,Species,Date,Locality
Passerculus,sandwichensis,1996-04-25,MP
Passerculus,sandwichensis,1996-04-25,MP
Passerculus,sandwichensis,1996-04-26,MP
Passerculus,sandwichensis,1996-05-18,MP
Passerculus,sandwichensis,1996-05-18,MP
Passerculus,sandwichensis,1996-05-18,MP
Passerculus,sandwichensis,1996-05-18,MP
Passerculus,sandwichensis,1996-05-19,MP
Passerculus,sandwichensis,1996-05-19,MP
Passerculus,sandwichensis,1996-05-20,MP
Passerculus,sandwichensis,1996-09-17,CHI
Passerculus,sandwichensis,1996-09-18,MP
Passerculus,sandwichensis,1996-09-30,MP
Passerculus,sandwichensis,1996-09-30,MP
Passerculus,sandwichensis,1996-10-08,MP
Passerculus,sandwichensis,1996-10-09,MP
Passerculus,sandwichensis,1996-10-24,MP
Passerculus,sandwichensis,1996-10-25,MP
Passerculus,sandwichensis,1996-10-26,MP
Passerculus,sandwichensis,1996-10-28,MP
Passerculus,sandwichensis,1996-10-31,MP
Passerculus,sandwichensis,1997-05-01,MP
Passerculus,sandwichensis,1997-09-15,MP
Passerculus,sandwichensis,1998-03-26,MP
Passerculus,sandwichensis,1998-03-28,MP
Passerculus,sandwichensis,1998-10-20,MP
Passerculus,sandwichensis,1999-04-01,MP
Passerculus,sandwichensis,1999-04-01,MP
Passerculus,sandwichensis,1999-04-02,MP
Passerculus,sandwichensis,1999-09-07,MP
Passerculus,sandwichensis,1999-09-07,MP
Passerculus,sandwichensis,2000-05-01,MP
Passerculus,sandwichensis,2000-05-01,MP
Passerculus,sandwichensis,2000-05-01,MP
Passerculus,sandwichensis,2000-05-04,MP
Passerculus,sandwichensis,2000-05-12,MP
Passerculus,sandwichensis,2000-05-14,MP
Passerculus,sandwichensis,2000-09-24,MP
Passerculus,sandwichensis,2000-10-07,MP
Passerculus,sandwichensis,2000-10-07,MP
Passerculus,sandwichensis,2000-10-07,MP
Passerculus,sandwichensis,2000-10-07,MP
Passerculus,sandwichensis,2000-10-07,MP
Passerculus,sandwichensis,2000-10-08,MP
Passerculus,sandwichensis,2000-10-08,MP
Passerculus,sandwichensis,2000-10-08,MP
Passerculus,sandwichensis,2000-10-15,MP
Passerculus,sandwichensis,2000-10-15,MP
Passerculus,sandwichensis,2000-11-15,MP
Passerculus,sandwichensis,2001-04-23,MP
Passerculus,sandwichensis,2001-05-07,MP
Passerculus,sandwichensis,2001-10-13,MP
Passerculus,sandwichensis,2001-10-25,MP
Passerculus,sandwichensis,2001-10-25,MP
Passerculus,sandwichensis,2001-10-26,MP
Passerculus,sandwichensis,2001-10-26,MP
Passerculus,sandwichensis,2001-10-26,MP
Passerculus,sandwichensis,2002-04-11,MP
Passerculus,sandwichensis,2002-04-16,MP
Passerculus,sandwichensis,2002-04-19,MP
Passerculus,sandwichensis,2002-05-06,MP
Passerculus,sandwichensis,2002-05-16,MP
Passerculus,sandwichensis,2002-10-06,MP
Passerculus,sandwichensis,2002-10-07,CHI
Passerculus,sandwichensis,2002-11-05,MP
Passerculus,sandwichensis,2003-05-11,MP
Passerculus,sandwichensis,2003-05-11,MP
Passerculus,sandwichensis,2003-05-12,MP
Passerculus,sandwichensis,2003-09-04,MP
Passerculus,sandwichensis,2003-10-11,MP
Passerculus,sandwichensis,2004-04-29,MP
Passerculus,sandwichensis,2004-04-29,MP
Passerculus,sandwichensis,2005-03-30,CHI
Passerculus,sandwichensis,2005-04-06,MP
Passerculus,sandwichensis,2006-05-01,MP
Passerculus,sandwichensis,2006-09-07,MP
Passerculus,sandwichensis,2006-09-15,MP
Passerculus,sandwichensis,2006-09-17,MP
Passerculus,sandwichensis,2006-09-25,MP
Passerculus,sandwichensis,2006-10-21,MP
Passerculus,sandwichensis,2006-10-22,CHI
Passerculus,sandwichensis,2007-05-15,MP
Passerculus,sandwichensis,2007-05-19,CHI
Passerculus,sandwichensis,2007-09-21,MP
Passerculus,sandwichensis,2007-09-23,MP
Passerculus,sandwichensis,2007-10-05,MP
Passerculus,sandwichensis,2007-10-08,MP
Passerculus,sandwichensis,2007-10-10,CHI
Passerculus,sandwichensis,2008-04-12,CHI
Passerculus,sandwichensis,2008-04-12,CHI
Passerculus,sandwichensis,2008-04-12,CHI
Passerculus,sandwichensis,2008-04-17,MP
Passerculus,sandwichensis,2008-04-25,MP
Passerculus,sandwichensis,2008-04-26,MP
Passerculus,sandwichensis,2008-09-21,MP
Passerculus,sandwichensis,2008-09-22,MP
Passerculus,sandwichensis,2008-09-22,MP
Passerculus,sandwichensis,2008-10-03,MP
Passerculus,sandwichensis,2008-10-03,MP
Passerculus,sandwichensis,2008-10-26,MP
Passerculus,sandwichensis,2008-10-26,MP
Passerculus,sandwichensis,2009-04-27,CHI
Passerculus,sandwichensis,2009-05-06,CHI
Passerculus,sandwichensis,2009-05-09,MP
Passerculus,sandwichensis,2009-10-10,MP
Passerculus,sandwichensis,2009-10-31,CHI
Passerculus,sandwichensis,2009-11-03,CHI
Passerculus,sandwichensis,2010-09-22,MP
Passerculus,sandwichensis,2010-10-02,MP
Passerculus,sandwichensis,2010-10-27,MP
Passerculus,sandwichensis,2010-10-28,MP
Passerculus,sandwichensis,2010-10-28,MP
Passerculus,sandwichensis,2010-10-28,CHI
Passerculus,sandwichensis,2011-05-01,CHI
Passerculus,sandwichensis,2011-05-10,CHI
Passerculus,sandwichensis,2011-05-22,CHI
Passerculus,sandwichensis,2011-09-24,MP
Passerculus,sandwichensis,2011-09-25,CHI
Passerculus,sandwichensis,2011-10-01,CHI
Passerculus,sandwichensis,2011-10-15,MP
Passerculus,sandwichensis,2013-05-13,CHI
Passerculus,sandwichensis,2013-09-25,CHI
Passerculus,sandwichensis,2013-09-30,CHI
Passerculus,sandwichensis,2013-10-05,CHI
Passerculus,sandwichensis,2013-11-01,MP
Passerculus,sandwichensis,2013-11-01,MP
Passerculus,sandwichensis,2014-10-17,MP
Passerculus,sandwichensis,2015-10-02,CHI
Passerculus,sandwichensis,2016-03-07,MP
Passerculus,sandwichensis,2016-05-24,MP
Passerculus,sandwichensis,2016-09-05,MP
Passerculus,sandwichensis,2016-09-24,MP
Ammodramus,savannarum,1979-05-09,MP
Ammodramus,savannarum,1979-05-17,MP
Ammodramus,savannarum,1981-05-08,MP
Ammodramus,savannarum,1982-05-03,MP
Ammodramus,savannarum,1982-05-14,MP
Ammodramus,savannarum,1983-04-26,MP
Ammodramus,savannarum,1983-05-02,MP
Ammodramus,savannarum,1983-05-03,MP
Ammodramus,savannarum,1983-05-29,MP
Ammodramus,savannarum,1984-04-27,MP
Ammodramus,savannarum,1984-05-23,MP
Ammodramus,savannarum,1985-04-19,MP
Ammodramus,savannarum,1985-05-20,CHI
Ammodramus,savannarum,1985-05-31,MP
Ammodramus,savannarum,1986-04-25,MP
Ammodramus,savannarum,1986-04-26,MP
Ammodramus,savannarum,1986-04-26,MP
Ammodramus,savannarum,1986-04-27,MP
Ammodramus,savannarum,1986-05-24,MP
Ammodramus,savannarum,1987-04-21,MP
Ammodramus,savannarum,1987-04-29,MP
Ammodramus,savannarum,1987-05-10,MP
Ammodramus,savannarum,1988-05-08,MP
Ammodramus,savannarum,1988-05-08,MP
Ammodramus,savannarum,1988-05-08,MP
Ammodramus,savannarum,1988-05-10,MP
Ammodramus,savannarum,1988-05-10,MP
Ammodramus,savannarum,1988-05-16,MP
Ammodramus,savannarum,1988-05-30,MP
Ammodramus,savannarum,1989-04-25,MP
Ammodramus,savannarum,1989-05-18,MP
Ammodramus,savannarum,1990-04-24,MP
Ammodramus,savannarum,1990-04-25,MP
Ammodramus,savannarum,1990-04-26,MP
Ammodramus,savannarum,1990-04-26,MP
Ammodramus,savannarum,1990-04-27,MP
Ammodramus,savannarum,1990-05-07,MP
Ammodramus,savannarum,1990-05-09,MP
Ammodramus,savannarum,1990-05-09,MP
Ammodramus,savannarum,1990-05-09,MP
Ammodramus,savannarum,1990-05-09,MP
Ammodramus,savannarum,1990-05-09,MP
Ammodramus,savannarum,1990-05-15,MP
Ammodramus,savannarum,1990-05-17,MP
Ammodramus,savannarum,1991-04-28,MP
Ammodramus,savannarum,1991-05-26,MP
Ammodramus,savannarum,1992-04-29,MP
Ammodramus,savannarum,1992-05-03,MP
Ammodramus,savannarum,1992-05-11,MP
Ammodramus,savannarum,1992-05-12,MP
Ammodramus,savannarum,1992-05-17,MP
Ammodramus,savannarum,1993-04-21,MP
Ammodramus,savannarum,1993-05-23,MP
Ammodramus,savannarum,1993-05-28,MP
Ammodramus,savannarum,1993-05-30,MP
Ammodramus,savannarum,1994-04-15,MP
Ammodramus,savannarum,1994-04-27,MP
Ammodramus,savannarum,1994-05-09,MP
Ammodramus,savannarum,1994-05-15,MP
Ammodramus,savannarum,1995-05-10,MP
Ammodramus,savannarum,1995-05-14,MP
Ammodramus,savannarum,1995-05-29,MP
Ammodramus,savannarum,1995-05-30,MP
Ammodramus,savannarum,1995-10-07,MP
Ammodramus,savannarum,1996-04-26,MP
Ammodramus,savannarum,1996-05-18,MP
Ammodramus,savannarum,1996-05-19,MP
Ammodramus,savannarum,1996-05-20,MP
Ammodramus,savannarum,1997-04-30,MP
Ammodramus,savannarum,1998-05-17,MP
Ammodramus,savannarum,1998-11-16,MP
Ammodramus,savannarum,1999-10-03,MP
Ammodramus,savannarum,2000-05-01,MP
Ammodramus,savannarum,2001-04-23,MP
Ammodramus,savannarum,2001-10-13,MP
Ammodramus,savannarum,2002-05-06,MP
Ammodramus,savannarum,2003-05-06,CHI
Ammodramus,savannarum,2003-05-12,MP
Ammodramus,savannarum,2004-04-29,MP
Ammodramus,savannarum,2004-05-04,MP
Ammodramus,savannarum,2006-04-14,MP
Ammodramus,savannarum,2006-10-20,CHI
Ammodramus,savannarum,2007-04-22,CHI
Ammodramus,savannarum,2008-04-24,CHI
Ammodramus,savannarum,2008-04-25,MP
Ammodramus,savannarum,2008-05-06,CHI
Ammodramus,savannarum,2009-05-29,CHI
Ammodramus,savannarum,2010-10-27,MP
Ammodramus,savannarum,2010-11-18,CHI
Ammodramus,savannarum,2011-05-01,CHI
Ammodramus,savannarum,2011-05-01,CHI
Ammodramus,savannarum,2011-05-01,CHI
Ammodramus,savannarum,2011-05-02,CHI
Ammodramus,savannarum,2011-05-11,CHI
Ammodramus,savannarum,2011-05-13,CHI
Ammodramus,savannarum,2011-09-02,CHI
Ammodramus,savannarum,2011-10-04,CHI
Ammodramus,savannarum,2011-11-06,CHI
Ammodramus,savannarum,2013-04-27,CHI
Ammodramus,savannarum,2014-05-13,MP
Ammodramus,savannarum,2014-05-19,MP
Ammodramus,savannarum,2014-05-21,CHI
Ammodramus,savannarum,2014-10-28,CHI
Ammodramus,savannarum,2015-11-05,CHI
Ammodramus,savannarum,2016-09-24,CHI
Catharus,fuscescens,1979-05-07,MP
Catharus,fuscescens,1979-05-08,MP
Catharus,fuscescens,1979-05-08,MP
Catharus,fuscescens,1979-05-08,MP
Catharus,fuscescens,1979-05-08,MP
Catharus,fuscescens,1979-05-08,MP
Catharus,fuscescens,1979-05-08,MP
Catharus,fuscescens,1979-05-09,MP
Catharus,fuscescens,1979-05-09,MP
Catharus,fuscescens,1979-05-10,MP
Catharus,fuscescens,1979-05-10,MP
Catharus,fuscescens,1979-05-11,MP
Catharus,fuscescens,1979-05-11,MP
Catharus,fuscescens,1979-05-18,MP
Catharus,fuscescens,1979-05-18,MP
Catharus,fuscescens,1979-05-18,MP
Catharus,fuscescens,1979-08-30,MP
Catharus,fuscescens,1979-08-31,MP
Catharus,fuscescens,1979-09-06,MP
Catharus,fuscescens,1979-09-07,MP
Catharus,fuscescens,1979-09-12,MP
Catharus,fuscescens,1980-05-15,MP
Catharus,fuscescens,1980-05-19,MP
Catharus,fuscescens,1980-05-21,MP
Catharus,fuscescens,1980-05-23,MP
Catharus,fuscescens,1980-09-02,MP
Catharus,fuscescens,1980-09-09,MP
Catharus,fuscescens,1980-09-19,MP
Catharus,fuscescens,1981-05-23,MP
Catharus,fuscescens,1981-05-23,MP
Catharus,fuscescens,1981-05-23,MP
Catharus,fuscescens,1981-05-29,MP
Catharus,fuscescens,1982-05-05,MP
Catharus,fuscescens,1982-05-05,MP
Catharus,fuscescens,1982-05-06,MP
Catharus,fuscescens,1982-05-06,MP
Catharus,fuscescens,1982-05-06,MP
Catharus,fuscescens,1982-05-06,MP
Catharus,fuscescens,1982-05-07,MP
Catharus,fuscescens,1982-05-07,MP
Catharus,fuscescens,1982-05-10,MP
Catharus,fuscescens,1982-05-13,MP
Catharus,fuscescens,1982-05-15,MP
Catharus,fuscescens,1982-05-17,CHI
Catharus,fuscescens,1982-05-19,MP
Catharus,fuscescens,1982-05-20,MP
Catharus,fuscescens,1982-05-20,MP
Catharus,fuscescens,1982-05-24,MP
Catharus,fuscescens,1982-05-25,MP
Catharus,fuscescens,1982-08-23,MP
Catharus,fuscescens,1982-08-30,MP
Catharus,fuscescens,1982-09-02,MP
Catharus,fuscescens,1982-09-02,MP
Catharus,fuscescens,1982-09-03,MP
Catharus,fuscescens,1982-09-03,MP
Catharus,fuscescens,1982-09-03,MP
Catharus,fuscescens,1983-05-02,MP
Catharus,fuscescens,1983-05-07,MP
Catharus,fuscescens,1983-05-07,MP
Catharus,fuscescens,1983-05-07,MP
Catharus,fuscescens,1983-05-07,MP
Catharus,fuscescens,1983-05-07,MP
Catharus,fuscescens,1983-05-07,MP
Catharus,fuscescens,1983-05-18,MP
Catharus,fuscescens,1983-05-20,MP
Catharus,fuscescens,1983-05-21,MP
Catharus,fuscescens,1983-05-23,MP
Catharus,fuscescens,1983-05-23,CHI
Catharus,fuscescens,1983-05-25,MP
Catharus,fuscescens,1983-05-25,MP
Catharus,fuscescens,1983-05-25,MP
Catharus,fuscescens,1983-09-09,MP
Catharus,fuscescens,1983-09-21,MP
Catharus,fuscescens,1983-09-22,MP
Catharus,fuscescens,1983-10-06,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-11,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-18,MP
Catharus,fuscescens,1984-05-19,MP
Catharus,fuscescens,1984-05-25,MP
Catharus,fuscescens,1984-05-25,MP
Catharus,fuscescens,1984-05-25,MP
Catharus,fuscescens,1984-08-29,MP
Catharus,fuscescens,1984-08-30,MP
Catharus,fuscescens,1984-09-04,MP
Catharus,fuscescens,1984-09-06,MP
Catharus,fuscescens,1984-09-09,MP
Catharus,fuscescens,1984-09-10,MP
Catharus,fuscescens,1984-09-10,MP
Catharus,fuscescens,1984-09-14,MP
Catharus,fuscescens,1985-05-05,MP
Catharus,fuscescens,1985-05-05,MP
Catharus,fuscescens,1985-05-05,MP
Catharus,fuscescens,1985-05-05,MP
Catharus,fuscescens,1985-05-07,MP
Catharus,fuscescens,1985-05-09,MP
Catharus,fuscescens,1985-05-10,MP
Catharus,fuscescens,1985-05-10,MP
Catharus,fuscescens,1985-05-11,MP
Catharus,fuscescens,1985-05-12,MP
Catharus,fuscescens,1985-05-12,MP
Catharus,fuscescens,1985-05-12,MP
Catharus,fuscescens,1985-05-13,MP
Catharus,fuscescens,1985-05-15,MP
Catharus,fuscescens,1985-05-16,MP
Catharus,fuscescens,1985-05-17,MP
Catharus,fuscescens,1985-05-19,MP
Catharus,fuscescens,1985-05-19,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-20,MP
Catharus,fuscescens,1985-05-22,MP
Catharus,fuscescens,1985-05-23,MP
Catharus,fuscescens,1985-05-23,MP
Catharus,fuscescens,1985-05-23,MP
Catharus,fuscescens,1985-05-31,MP
Catharus,fuscescens,1985-05-31,MP
Catharus,fuscescens,1985-08-29,MP
Catharus,fuscescens,1985-08-31,MP
Catharus,fuscescens,1985-09-06,MP
Catharus,fuscescens,1985-09-06,MP
Catharus,fuscescens,1985-09-07,MP
Catharus,fuscescens,1985-09-08,MP
Catharus,fuscescens,1986-04-27,MP
Catharus,fuscescens,1986-04-30,MP
Catharus,fuscescens,1986-05-05,MP
Catharus,fuscescens,1986-05-05,MP
Catharus,fuscescens,1986-05-05,MP
Catharus,fuscescens,1986-05-06,MP
