state,date_named,language,words_in_original,meaning
Minnesota,1821-04-21,Dakota,mní sóta,"'Cloudy water', referring to the Minnesota River."
Mississippi,1800-03-09,Ojibwe via French,ᒥᓯᓰᐱ (misi-ziibi),"'Great river', after the Mississippi River."
Missouri,1805-09-07,Miami-Illinois via French,wimihsoorita,"'Dugout canoe'. The Missouri tribe was noteworthy among the Illinois for their dugout canoes, and so was referred to as the wimihsoorita, 'one who has a wood boat [dugout canoe]'."
Montana,1860-11-01,Spanish,montaña,'Mountain'.
Nebraska,1847-06-22,Chiwere,ñįbraske,"'Flattened water', after the Platte River, which used to be known as the Nebraska River. Due to the flatness of the plains, flooding of the river would inundate the region with a flat expanse of water."
Nevada,1845-02-09,Spanish,nevada,"'Snow-covered', after the Sierra Nevada ('snow-covered mountains')."
New Hampshire,1692-08-27,English (ultimately from Old English),Hampshire,"After the county of Hampshire in England, whose name is derived from the original name for its largest city, Southampton, that being Hamtun, which is an Old English word that roughly translates to 'Village-Town'."
New Jersey,1669-04-02,English (ultimately from Old Norse),Jersey,"After Jersey, the largest of the British Channel Islands and the birthplace of one of the colony's two co-founders, Sir George Carteret. The Latin name Caesarea was also applied to the colony of New Jersey as Nova Caesarea, because the Roman name of the island was thought to have been Caesarea. The name ""Jersey"" most likely comes from the Norse name Geirrsey, meaning 'Geirr's Island'."
New Mexico,1859-11-01,Nahuatl via Spanish,Mēxihco via Nuevo México,"From Spanish Nuevo México. The name Mexico comes from Nahuatl Mēxihca (pronounced [meːˈʃiʔko]), which referred to the Aztec people who founded the city of Tenochtitlan. Its literal meaning is unknown, though many possibilities have been proposed, such as that the name comes from the god Metztli."
New York,1680-10-15,English,York,"After the then-Duke of York (later King James II of England). Named by then-King Charles II of England, James II's brother. The name ""York"" is derived from its Latin name Eboracum (via Old English Eoforwic and then Old Norse Jórvík), apparently borrowed from Brythonic Celtic *eborakon, which probably meant 'Yew-Tree Estate'.See also: York § Origin of the name"
North Carolina,1686-06-30,Latin via English (ultimately from Frankish),Carolus via Carolana,"After King Charles I of England. The name Charles itself is derived from Frankish karl, 'man, husband'."
North Dakota,1867-11-02,Sioux/Dakota,dakhóta,"'Ally' or 'friend', after the Dakota tribe."
Ohio,1785-04-19,Seneca via French,ohi:yo’,"'Large creek', originally the name of both the Ohio River and Allegheny River. Often incorrectly translated as 'beautiful river', due to a French mistranslation."
Oklahoma,1842-09-05,Choctaw,okla + homa,"Devised as a rough translation of 'Indian Territory'. In Choctaw, okla means 'people', 'tribe', or 'nation', and homa- means 'red', thus 'red people'."
Oregon,1860-07-20,Unknown,Disputed,Disputed meaning. First named by Major Robert Rogers in a petition to King George III.Further information: Etymology of Oregon
Pennsylvania,1650-03-08,Welsh and Latin,Penn + silvania,"'Penn's woods', after Admiral William Penn, the father of its founder William Penn. Pennsylvania is the only state that shares part of its name with its founder. The name ""Penn"" comes from the Welsh word for 'head'."
Rhode Island,1680-02-03,Dutch,roodt eylandt,"'Red island', referring to Aquidneck Island. The Modern Dutch form of the phrase is 'rood eiland'."
Rhode Island,1680-02-03,Greek,Ρόδος (Ródos),For a resemblance to the island of Rhodes in the Aegean Sea.
South Carolina,1687-11-12,Latin via English (ultimately from Frankish),Carolus via Carolana,"After King Charles I of England. The name Charles itself is derived from Frankish karl, 'man, husband'."
South Dakota,1867-11-02,Sioux/Dakota,dakhóta,"'Ally' or 'friend', after the Dakota tribe."
Tennessee,1747-05-24,Cherokee,ᏔᎾᏏ (tanasi),Tanasi (in Cherokee: ᏔᎾᏏ) was the name of a Cherokee village; the meaning is unknown.
Texas,1827-06-30,Caddo via Spanish,táyshaʔ via Tejas,"'Friend', used by the Caddo to refer the larger Caddo nation (in opposition to enemy tribes). The name was borrowed into Spanish as texa, plural texas, and was used to refer to the Nabedache people (and later to the Caddo Nation in general). When the Spanish decided to convert the Nabedache to Catholicism, they constructed La Misión de San Francisco de los Texas, which later came to be used in naming the Viceroyalty of New Spain’s province."
Utah,1877-12-20,Apache via Spanish,yúdah via yuta,"From the Spanish designation for the Ute people, yuta, in turn perhaps a borrowing from Western Apache yúdah, meaning 'high', sometimes incorrectly translated as 'people of the mountains'."
Utah,1877-12-20,Ute via Spanish,noochee via yuta,"From the Ute's self-designation [nutʃi̥], plural [nuːtʃiu], as suggested by J. P. Harrington, though this etymology is disputed."
Vermont,1721-09-27,French,vert + mont,"'Green mount' or 'green mountain'; vert in French means 'green', and mont means 'mount' or 'mountain'. However, in French, 'green mountain' would actually be written mont vert."
Virginia,1652-03-21,Latin,Virginia,"'Country of the Virgin', after Elizabeth I of England, who was known as the ""Virgin Queen"" because she never married."
Washington,1872-02-22,English,Washington,"After George Washington, whose surname was in turn derived from the town of Washington in historic County Durham, England. The etymology of the town's name is disputed, but agreed to be ultimately Old English."
West Virginia,1831-09-01,Latin,Virginia,"The western, transmontane counties of Virginia, which separated from Virginia during the American Civil War. See Virginia, above."
Wisconsin,1822-02-05,Miami-Illinois via French,Meeskohsinki via Ouisconsin(k),"Originally spelled Mescousing by the French, and later corrupted to Ouisconsin. It likely derives from a Miami-Illinois word Meskonsing, meaning 'it lies red' or 'river running through a red place'. It may also come from the Ojibwe term miskwasiniing, 'red-stone place'."
Wyoming,1877-08-14,Munsee/Delaware,xwé:wamənk,'At the big river flat'; the name was transplanted westward from the Wyoming Valley in Pennsylvania.
