Entity,Code,Year,Total population (Gapminder),Continent,"GDP per capita, PPP (constant 2011 international $)",Mobile cellular subscriptions (per 100 people)
Afghanistan,AFG,2011,32358260,,1660.73985617959,46.4440581664588
Afghanistan,AFG,2012,33397058,,1839.27357927778,49.9727530004765
Afghanistan,AFG,2013,34499915,,1848.70002621394,52.9664731356239
Afghanistan,AFG,2014,,,1838.96024371997,56.1913326873846
Afghanistan,AFG,2015,,Asia,1809.01648837218,58.420528226792
Afghanistan,AFG,2016,,,1802.69556548499,62.3354168186364
Afghanistan,AFG,2017,,,1803.98748708124,67.3505726035356
Akrotiri and Dhekelia,OWID_AKD,2015,,Asia,,
Albania,ALB,1700,300000,,,
Albania,ALB,1800,410445,,,
Albania,ALB,1820,437000,,,
Albania,ALB,1850,500000,,,
Albania,ALB,1870,603000,,,
Albania,ALB,1890,726000,,,
Albania,ALB,1900,800000,,,
Albania,ALB,1910,874000,,,
Albania,ALB,1913,898000,,,
Albania,ALB,1920,932000,,,
Albania,ALB,1921,937000,,,
Albania,ALB,1922,942000,,,
Albania,ALB,1923,947000,,,
Albania,ALB,1924,952000,,,
Albania,ALB,1925,956000,,,
Albania,ALB,1926,962000,,,
Albania,ALB,1927,967000,,,
Albania,ALB,1928,972000,,,
Albania,ALB,1929,977000,,,
Albania,ALB,1930,982000,,,
Albania,ALB,1931,988000,,,
Albania,ALB,1932,993000,,,
Albania,ALB,1933,998000,,,
Albania,ALB,1934,1003000,,,
Albania,ALB,1935,1009000,,,
Albania,ALB,1936,1014000,,,
Albania,ALB,1937,1030000,,,
Albania,ALB,1938,1040000,,,
Albania,ALB,1939,1070000,,,
Albania,ALB,1940,1088000,,,
Albania,ALB,1941,1100000,,,
Albania,ALB,1942,1117000,,,
Albania,ALB,1943,1119000,,,
Albania,ALB,1944,1122000,,,
Albania,ALB,1945,1138000,,,
Albania,ALB,1946,1154000,,,
Albania,ALB,1947,1175000,,,
Albania,ALB,1948,1192000,,,
Albania,ALB,1949,1209000,,,
Albania,ALB,1950,1215002,,,
Albania,ALB,1951,1239971,,,
Albania,ALB,1952,1269302,,,
Albania,ALB,1953,1302536,,,
Albania,ALB,1954,1339240,,,
Albania,ALB,1955,1378998,,,
Albania,ALB,1956,1421417,,,
Albania,ALB,1957,1466124,,,
Albania,ALB,1958,1512765,,,
Albania,ALB,1959,1561012,,,
Albania,ALB,1960,1610565,,,0
Albania,ALB,1961,1661158,,,
Albania,ALB,1962,1712563,,,
Albania,ALB,1963,1764593,,,
Albania,ALB,1964,1817098,,,
Albania,ALB,1965,1869942,,,0
Albania,ALB,1966,1922993,,,
Albania,ALB,1967,1976140,,,
Albania,ALB,1968,2029314,,,
Albania,ALB,1969,2082474,,,
Albania,ALB,1970,2135599,,,0
Albania,ALB,1971,2188650,,,
Albania,ALB,1972,2241623,,,
Albania,ALB,1973,2294578,,,
Albania,ALB,1974,2347607,,,
Albania,ALB,1975,2400801,,,0
Albania,ALB,1976,2454255,,,0
Albania,ALB,1977,2508026,,,0
Albania,ALB,1978,2562121,,,0
Albania,ALB,1979,2616530,,,0
Albania,ALB,1980,2671300,,,0
Albania,ALB,1981,2725029,,,0
Albania,ALB,1982,2777592,,,0
Albania,ALB,1983,2831682,,,0
Albania,ALB,1984,2891004,,,0
Albania,ALB,1985,2957390,,,0
Albania,ALB,1986,3033393,,,0
Albania,ALB,1987,3116009,,,0
Albania,ALB,1988,3194854,,,0
Albania,ALB,1989,3255859,,,0
Albania,ALB,1990,3289483,,4722.83816576759,0
Albania,ALB,1991,3291695,,3345.50404927247,0
Albania,ALB,1992,3266983,,3123.51250298198,0
Albania,ALB,1993,3224901,,3444.32179181322,0
Albania,ALB,1994,3179442,,3753.16990379019,0
Albania,ALB,1995,3141102,,4278.68966272931,0
Albania,ALB,1996,3112597,,4697.15323281589,0.0743800263111258
Albania,ALB,1997,3091902,,4214.35815259863,0.106691117253215
Albania,ALB,1998,3079037,,4623.02640073499,0.180426379754356
Albania,ALB,1999,3072725,,5280.52786659886,0.353321504594977
Albania,ALB,2000,3071856,,5668.57477726735,0.954237228416673
Albania,ALB,2001,3077378,,6176.37067804796,12.5752303991022
Albania,ALB,2002,3089778,,6457.0500213448,27.2841323373396
Albania,ALB,2003,3106701,,6855.44887574892,35.3583488293976
Albania,ALB,2004,3124861,,7277.21490788601,40.6614872034417
Albania,ALB,2005,3141800,,7733.006932655,49.6964937731778
Albania,ALB,2006,3156607,,8204.5882455338,62.530387178076
Albania,ALB,2007,3169665,,8754.56951284933,76.8024942566025
Albania,ALB,2008,3181397,,9153.78820562203,62.1607266355601
Albania,ALB,2009,3192723,,9524.64930321377,83.1604635738118
Albania,ALB,2010,3204284,,9927.18184117512,91.5609287457172
Albania,ALB,2011,3215988,,10207.7646993323,105.922828727228
Albania,ALB,2012,3227373,,10369.8233819184,119.861412809897
Albania,ALB,2013,3238316,,10492.8062825121,126.2764912925
Albania,ALB,2014,,,10701.1207857986,115.02611464423
Albania,ALB,2015,,Europe,10970.4522447693,116.337512554082
Albania,ALB,2016,,,11356.3413288171,115.152264870754
Albania,ALB,2017,,,11803.4305936025,119.376340144844
Algeria,DZA,1700,1750000,,,
Algeria,DZA,1800,2503218,,,
Algeria,DZA,1820,2689000,,,
Algeria,DZA,1870,3776000,,,
Algeria,DZA,1913,5497000,,,
Algeria,DZA,1950,8752997,,,
Algeria,DZA,1951,8953373,,,
Algeria,DZA,1952,9140990,,,
Algeria,DZA,1953,9326099,,,
Algeria,DZA,1954,9515990,,,
Algeria,DZA,1955,9715002,,,
Algeria,DZA,1956,9924347,,,
Algeria,DZA,1957,10142284,,,
Algeria,DZA,1958,10364614,,,
Algeria,DZA,1959,10585506,,,
Algeria,DZA,1960,10799997,,,0
Algeria,DZA,1961,11006643,,,
Algeria,DZA,1962,11209845,,,
Algeria,DZA,1963,11420845,,,
Algeria,DZA,1964,11654905,,,
Algeria,DZA,1965,11923002,,,0
Algeria,DZA,1966,12229853,,,
Algeria,DZA,1967,12572629,,,
Algeria,DZA,1968,12945462,,,
Algeria,DZA,1969,13338918,,,
Algeria,DZA,1970,13746185,,,0
Algeria,DZA,1971,14165889,,,
Algeria,DZA,1972,14600659,,,
Algeria,DZA,1973,15052371,,,
Algeria,DZA,1974,15524137,,,
Algeria,DZA,1975,16018195,,,0
Algeria,DZA,1976,16533323,,,0
Algeria,DZA,1977,17068212,,,0
Algeria,DZA,1978,17624756,,,0
Algeria,DZA,1979,18205468,,,0
Algeria,DZA,1980,18811199,,,0
Algeria,DZA,1981,19442423,,,0
Algeria,DZA,1982,20095648,,,0
Algeria,DZA,1983,20762767,,,0
Algeria,DZA,1984,21433070,,,0
Algeria,DZA,1985,22098298,,,0
Algeria,DZA,1986,22753511,,,0
Algeria,DZA,1987,23398470,,,0
Algeria,DZA,1988,24035237,,,0
Algeria,DZA,1989,24668100,,,0
Algeria,DZA,1990,25299182,,10236.840658348,0.00181380573993877
Algeria,DZA,1991,25930560,,9869.48837022995,0.0180045972918389
Algeria,DZA,1992,26557969,,9815.46382267098,0.0175894318308159
Algeria,DZA,1993,27169903,,9400.05442441546,0.0172063464894644
Algeria,DZA,1994,27751086,,9126.2716238864,0.00475279590799786
Algeria,DZA,1995,28291591,,9295.42011356466,0.0162294202751439
Algeria,DZA,1996,28786855,,9509.68765695727,0.0397804729898239
Algeria,DZA,1997,29242917,,9461.35511679608,0.0582196062956006
Algeria,DZA,1998,29673694,,9796.73993556183,0.0593359672349426
Algeria,DZA,1999,30099010,,9968.96771197831,0.234027516370306
Algeria,DZA,2000,30533827,,10211.0018566908,0.275785459436128
Algeria,DZA,2001,30982214,,10382.1868362393,0.316534298881118
Algeria,DZA,2002,31441848,,10826.4876450259,1.40723035684962
Algeria,DZA,2003,31913462,,11459.8935602271,4.46533977765498
Algeria,DZA,2004,32396048,,11797.1848486236,14.8713098094563
Algeria,DZA,2005,32888449,,12322.4842607049,41.0393404772955
Algeria,DZA,2006,33391954,,12348.4812120361,62.164742850469
Algeria,DZA,2007,33906605,,12570.6547026998,80.3576091201664
Algeria,DZA,2008,34428028,,12660.4032440006,77.541358517747
Algeria,DZA,2009,34950168,,12647.5403044562,92.2856975291098
Algeria,DZA,2010,35468208,,12870.6026985154,90.7594397717658
Algeria,DZA,2011,35980193,,12990.345016498,96.7309982374042
Algeria,DZA,2012,36485828,,13161.9616734309,99.8984609610959
Algeria,DZA,2013,36983924,,13253.6154761387,103.073884200456
Algeria,DZA,2014,,,13483.3378622219,110.699326339346
Algeria,DZA,2015,,Africa,13724.723852895,108.417322255621
Algeria,DZA,2016,,,13921.1800218255,115.848053881229
Algeria,DZA,2017,,,13913.8393634819,120.705788270925
American Samoa,ASM,1700,7427,,,
American Samoa,ASM,1800,8170,,,
American Samoa,ASM,1850,8100,,,
American Samoa,ASM,1900,5700,,,
American Samoa,ASM,1912,7300,,,
American Samoa,ASM,1920,8100,,,
American Samoa,ASM,1930,10000,,,
American Samoa,ASM,1940,13000,,,
American Samoa,ASM,1950,18937,,,
American Samoa,ASM,1951,19287,,,
American Samoa,ASM,1952,19525,,,
American Samoa,ASM,1953,19659,,,
American Samoa,ASM,1954,19706,,,
American Samoa,ASM,1955,19688,,,
American Samoa,ASM,1956,19640,,,
American Samoa,ASM,1957,19603,,,
American Samoa,ASM,1958,19624,,,
American Samoa,ASM,1959,19757,,,
American Samoa,ASM,1960,20041,,,0
American Samoa,ASM,1961,20500,,,
American Samoa,ASM,1962,21124,,,
American Samoa,ASM,1963,21870,,,
American Samoa,ASM,1964,22672,,,
American Samoa,ASM,1965,23480,,,0
American Samoa,ASM,1966,24283,,,
American Samoa,ASM,1967,25087,,,
American Samoa,ASM,1968,25869,,,
American Samoa,ASM,1969,26608,,,
American Samoa,ASM,1970,27288,,,0
American Samoa,ASM,1971,27907,,,
American Samoa,ASM,1972,28470,,,
American Samoa,ASM,1973,28983,,,
American Samoa,ASM,1974,29453,,,
American Samoa,ASM,1975,29897,,,0
American Samoa,ASM,1976,30305,,,0
American Samoa,ASM,1977,30696,,,0
American Samoa,ASM,1978,31139,,,0
American Samoa,ASM,1979,31727,,,0
American Samoa,ASM,1980,32526,,,0
American Samoa,ASM,1981,33557,,,0
American Samoa,ASM,1982,34797,,,0
American Samoa,ASM,1983,36203,,,0
American Samoa,ASM,1984,37706,,,0
American Samoa,ASM,1985,39253,,,0
American Samoa,ASM,1986,40834,,,0
American Samoa,ASM,1987,42446,,,
American Samoa,ASM,1988,44048,,,
American Samoa,ASM,1989,45595,,,
American Samoa,ASM,1990,47052,,,0
American Samoa,ASM,1991,48402,,,0
American Samoa,ASM,1992,49648,,,1.41148952473131
American Samoa,ASM,1993,50801,,,1.77444794952681
American Samoa,ASM,1994,51885,,,2.31646815821478
American Samoa,ASM,1995,52919,,,2.36437920859499
American Samoa,ASM,1996,53901,,,2.41057686958779
American Samoa,ASM,1997,54834,,,2.54818805627855
American Samoa,ASM,1998,55745,,,2.68331514641956
American Samoa,ASM,1999,56667,,,3.17068874405496
American Samoa,ASM,2000,57625,,,3.46308304793032
American Samoa,ASM,2001,58633,,,3.70605930382467
American Samoa,ASM,2002,59687,,,3.46665304524016
American Samoa,ASM,2003,60774,,,3.55227768662145
American Samoa,ASM,2004,61871,,,3.79657127429806
American Samoa,ASM,2005,62962,,,
American Samoa,ASM,2006,64045,,,
American Samoa,ASM,2007,65130,,,
American Samoa,ASM,2008,66217,,,
American Samoa,ASM,2009,67312,,,
American Samoa,ASM,2010,68420,,,
American Samoa,ASM,2011,69543,,,
American Samoa,ASM,2012,70680,,,
American Samoa,ASM,2013,71834,,,
American Samoa,ASM,2015,,Oceania,,
Andorra,AND,1800,2654,,,
Andorra,AND,1820,2654,,,
Andorra,AND,1950,6197,,,
Andorra,AND,1951,6692,,,
Andorra,AND,1952,7247,,,
Andorra,AND,1953,7856,,,
Andorra,AND,1954,8514,,,
Andorra,AND,1955,9217,,,
Andorra,AND,1956,9964,,,
Andorra,AND,1957,10754,,,
Andorra,AND,1958,11585,,,
Andorra,AND,1959,12460,,,
Andorra,AND,1960,13377,,,0
Andorra,AND,1961,14337,,,
Andorra,AND,1962,15337,,,
Andorra,AND,1963,16373,,,
Andorra,AND,1964,17438,,,
Andorra,AND,1965,18529,,,0
Andorra,AND,1966,19640,,,
Andorra,AND,1967,20772,,,
Andorra,AND,1968,21931,,,
Andorra,AND,1969,23127,,,
Andorra,AND,1970,24364,,,0
Andorra,AND,1971,25656,,,
Andorra,AND,1972,26997,,,
Andorra,AND,1973,28357,,,
Andorra,AND,1974,29688,,,
Andorra,AND,1975,30967,,,0
Andorra,AND,1976,32156,,,0
Andorra,AND,1977,33279,,,0
Andorra,AND,1978,34432,,,0
Andorra,AND,1979,35753,,,0
Andorra,AND,1980,37328,,,0
Andorra,AND,1981,39226,,,0
Andorra,AND,1982,41390,,,0
Andorra,AND,1983,43636,,,0
Andorra,AND,1984,45702,,,0
Andorra,AND,1985,47414,,,0
Andorra,AND,1986,48653,,,0
Andorra,AND,1987,49504,,,0
Andorra,AND,1988,50236,,,0
Andorra,AND,1989,51241,,,0
Andorra,AND,1990,52773,,,0
Andorra,AND,1991,54996,,,0
Andorra,AND,1992,57767,,,1.30756690667029
Andorra,AND,1993,60670,,,1.27929671483164
Andorra,AND,1994,63111,,,1.25085757135791
Andorra,AND,1995,64699,,,4.42443226311668
Andorra,AND,1996,65227,,,8.52703542573027
Andorra,AND,1997,64905,,,13.3971738150388
Andorra,AND,1998,64246,,,22.0089800754576
Andorra,AND,1999,63985,,,32.0024856299518
Andorra,AND,2000,64634,,,36.0039761431412
Andorra,AND,2001,66390,,,43.7014597347827
Andorra,AND,2002,69043,,,46.8100900798013
Andorra,AND,2003,72203,,,70.90951326829
Andorra,AND,2004,75292,,,76.5515975027543
Andorra,AND,2005,77888,,,81.8593328007912
Andorra,AND,2006,79874,,,85.1995900779099
Andorra,AND,2007,81390,,,76.8029703808522
Andorra,AND,2008,82577,,,76.5576370422485
Andorra,AND,2009,83677,,,76.4237171745874
Andorra,AND,2010,84864,,,77.555684495968
Andorra,AND,2011,86165,,,77.6635502859667
Andorra,AND,2012,87518,,,77.4769200907426
Andorra,AND,2013,88909,,,79.1342773679259
Andorra,AND,2014,,,,83.61334460952
Andorra,AND,2015,,Europe,,91.4399979490861
Andorra,AND,2016,,,,98.5132179966615
Andorra,AND,2017,,,,104.38121223933
Angola,AGO,1800,1567028,,,
Angola,AGO,1820,1567028,,,
Angola,AGO,1940,3738000,,,
Angola,AGO,1950,4147509,,,
Angola,AGO,1951,4219332,,,
Angola,AGO,1952,4296534,,,
Angola,AGO,1953,4376947,,,
Angola,AGO,1954,4458962,,,
Angola,AGO,1955,4541519,,,
Angola,AGO,1956,4624143,,,
Angola,AGO,1957,4706909,,,
Angola,AGO,1958,4790376,,,
Angola,AGO,1959,4875462,,,
Angola,AGO,1960,4963068,,,0
Angola,AGO,1961,5053693,,,
Angola,AGO,1962,5147083,,,
Angola,AGO,1963,5242084,,,
Angola,AGO,1964,5337063,,,
Angola,AGO,1965,5431135,,,0
Angola,AGO,1966,5524090,,,
Angola,AGO,1967,5617242,,,
Angola,AGO,1968,5713156,,,
Angola,AGO,1969,5815282,,,
Angola,AGO,1970,5926333,,,0
Angola,AGO,1971,6047736,,,
Angola,AGO,1972,6179685,,,
Angola,AGO,1973,6322194,,,
Angola,AGO,1974,6474796,,,
Angola,AGO,1975,6637419,,,0
Angola,AGO,1976,6808850,,,0
Angola,AGO,1977,6989988,,,0
Angola,AGO,1978,7185188,,,0
Angola,AGO,1979,7400231,,,0
Angola,AGO,1980,7638420,,,0
Angola,AGO,1981,7903368,,,0
Angola,AGO,1982,8191774,,,0
Angola,AGO,1983,8491682,,,0
Angola,AGO,1984,8786652,,,0
Angola,AGO,1985,9065562,,,0
Angola,AGO,1986,9322550,,,0
Angola,AGO,1987,9562796,,,0
Angola,AGO,1988,9799680,,,0
Angola,AGO,1989,10052567,,,0
Angola,AGO,1990,10335052,,3430.79842677176,0
Angola,AGO,1991,10653515,,3359.37479433897,0
Angola,AGO,1992,11002910,,3062.04269585648,0
Angola,AGO,1993,11371750,,2252.0516075095,0.00820666838061692
Angola,AGO,1994,11742960,,2210.06678623968,0.0131779519858718
Angola,AGO,1995,12105105,,2465.39661937211,0.0139743558655922
Angola,AGO,1996,12452725,,2720.52132873595,0.0224624452162892
Angola,AGO,1997,12792237,,2839.75871738723,0.0467360917215019
Angola,AGO,1998,13138265,,2893.33447211675,0.0633371941932564
Angola,AGO,1999,13511575,,2873.88392356747,0.1504724269936
Angola,AGO,2000,13926373,,2873.19300963682,0.156961980968953
Angola,AGO,2001,14388244,,2898.42809473305,0.441611171844096
Angola,AGO,2002,14890474,,3184.02073557526,0.796692632966151
Angola,AGO,2003,15419943,,3213.67665424078,1.92272100840235
Angola,AGO,2004,15957460,,3418.3252910714,3.92245913168628
Angola,AGO,2005,16489021,,3987.81493621439,8.2399413846036
Angola,AGO,2006,17010366,,4578.82771829926,15.0753126517744
Angola,AGO,2007,17525367,,5443.11793253444,23.6289644664196
Angola,AGO,2008,18037964,,5978.32324902683,31.1283848558463
Angola,AGO,2009,18555115,,5908.04224811631,35.9626780972584
Angola,AGO,2010,19081912,,5897.68284059848,40.2384025319555
Angola,AGO,2011,19618432,,5911.25409210655,49.8510873786287
Angola,AGO,2012,20162517,,5999.90210602209,50.9445034397706
Angola,AGO,2013,20714494,,6188.0037558835,51.1001779344374
Angola,AGO,2014,,,6257.15287433489,52.2002776623555
Angola,AGO,2015,,Africa,6227.664689061,49.8380415448268
Angola,AGO,2016,,,5972.451512997,45.121698839185
Angola,AGO,2017,,,5819.49497145261,44.7349773754152
Anguilla,AIA,1800,2025,,,
Anguilla,AIA,1820,2025,,,
Anguilla,AIA,1950,5121,,,
Anguilla,AIA,1951,5297,,,
Anguilla,AIA,1952,5438,,,
Anguilla,AIA,1953,5549,,,
Anguilla,AIA,1954,5635,,,
Anguilla,AIA,1955,5697,,,
Anguilla,AIA,1956,5743,,,
Anguilla,AIA,1957,5777,,,
Anguilla,AIA,1958,5805,,,
Anguilla,AIA,1959,5831,,,
Anguilla,AIA,1960,5863,,,
Anguilla,AIA,1961,5901,,,
Anguilla,AIA,1962,5948,,,
Anguilla,AIA,1963,6001,,,
Anguilla,AIA,1964,6057,,,
Anguilla,AIA,1965,6114,,,
Anguilla,AIA,1966,6171,,,
Anguilla,AIA,1967,6228,,,
Anguilla,AIA,1968,6287,,,
Anguilla,AIA,1969,6344,,,
Anguilla,AIA,1970,6400,,,
Anguilla,AIA,1971,6454,,,
Anguilla,AIA,1972,6506,,,
Anguilla,AIA,1973,6554,,,
Anguilla,AIA,1974,6596,,,
Anguilla,AIA,1975,6630,,,
Anguilla,AIA,1976,6662,,,
Anguilla,AIA,1977,6691,,,
Anguilla,AIA,1978,6713,,,
Anguilla,AIA,1979,6716,,,
Anguilla,AIA,1980,6698,,,
Anguilla,AIA,1981,6651,,,
Anguilla,AIA,1982,6586,,,
Anguilla,AIA,1983,6536,,,
Anguilla,AIA,1984,6551,,,
Anguilla,AIA,1985,6661,,,
Anguilla,AIA,1986,6881,,,
Anguilla,AIA,1987,7197,,,
Anguilla,AIA,1988,7575,,,
Anguilla,AIA,1989,7964,,,
Anguilla,AIA,1990,8332,,,
Anguilla,AIA,1991,8669,,,
Anguilla,AIA,1992,8985,,,
Anguilla,AIA,1993,9277,,,
Anguilla,AIA,1994,9549,,,
Anguilla,AIA,1995,9805,,,
Anguilla,AIA,1996,10036,,,
Anguilla,AIA,1997,10244,,,
Anguilla,AIA,1998,10461,,,
Anguilla,AIA,1999,10727,,,
Anguilla,AIA,2000,11068,,,
Anguilla,AIA,2001,11498,,,
Anguilla,AIA,2002,12003,,,
Anguilla,AIA,2003,12548,,,
Anguilla,AIA,2004,13083,,,
Anguilla,AIA,2005,13574,,,
Anguilla,AIA,2006,14008,,,
Anguilla,AIA,2007,14393,,,
Anguilla,AIA,2008,14737,,,
Anguilla,AIA,2009,15055,,,
Anguilla,AIA,2010,15358,,,
Anguilla,AIA,2011,15645,,,
Anguilla,AIA,2012,15911,,,
Anguilla,AIA,2013,16158,,,
Anguilla,AIA,2015,,North America,,
Antarctica,ATA,2015,,Antarctica,,
Antigua and Barbuda,ATG,1800,37000,,,
Antigua and Barbuda,ATG,1851,37000,,,
Antigua and Barbuda,ATG,1861,37000,,,
Antigua and Barbuda,ATG,1871,35000,,,
Antigua and Barbuda,ATG,1881,35000,,,
Antigua and Barbuda,ATG,1891,37000,,,
Antigua and Barbuda,ATG,1901,35000,,,
Antigua and Barbuda,ATG,1911,32000,,,
Antigua and Barbuda,ATG,1921,30000,,,
Antigua and Barbuda,ATG,1946,42000,,,
Antigua and Barbuda,ATG,1950,46301,,,
Antigua and Barbuda,ATG,1951,48316,,,
Antigua and Barbuda,ATG,1952,49906,,,
Antigua and Barbuda,ATG,1953,51117,,,
Antigua and Barbuda,ATG,1954,52002,,,
Antigua and Barbuda,ATG,1955,52625,,,
Antigua and Barbuda,ATG,1956,53061,,,
Antigua and Barbuda,ATG,1957,53393,,,
Antigua and Barbuda,ATG,1958,53711,,,
Antigua and Barbuda,ATG,1959,54107,,,
Antigua and Barbuda,ATG,1960,54657,,,0
Antigua and Barbuda,ATG,1961,55408,,,
Antigua and Barbuda,ATG,1962,56362,,,
Antigua and Barbuda,ATG,1963,57472,,,
Antigua and Barbuda,ATG,1964,58653,,,
Antigua and Barbuda,ATG,1965,59844,,,0
Antigua and Barbuda,ATG,1966,61032,,,
Antigua and Barbuda,ATG,1967,62226,,,
Antigua and Barbuda,ATG,1968,63401,,,
Antigua and Barbuda,ATG,1969,64528,,,
Antigua and Barbuda,ATG,1970,65587,,,0
Antigua and Barbuda,ATG,1971,66554,,,
Antigua and Barbuda,ATG,1972,67419,,,
Antigua and Barbuda,ATG,1973,68182,,,
Antigua and Barbuda,ATG,1974,68848,,,
Antigua and Barbuda,ATG,1975,69420,,,0
Antigua and Barbuda,ATG,1976,69910,,,0
Antigua and Barbuda,ATG,1977,70301,,,0
Antigua and Barbuda,ATG,1978,70533,,,0
Antigua and Barbuda,ATG,1979,70525,,,0
Antigua and Barbuda,ATG,1980,70228,,,0
Antigua and Barbuda,ATG,1981,69639,,,0
Antigua and Barbuda,ATG,1982,68803,,,0
Antigua and Barbuda,ATG,1983,67792,,,0
Antigua and Barbuda,ATG,1984,66701,,,0
Antigua and Barbuda,ATG,1985,65614,,,0
Antigua and Barbuda,ATG,1986,64539,,,0
Antigua and Barbuda,ATG,1987,63510,,,0
Antigua and Barbuda,ATG,1988,62669,,,0
Antigua and Barbuda,ATG,1989,62192,,,
Antigua and Barbuda,ATG,1990,62202,,16381.018356894,0
Antigua and Barbuda,ATG,1991,62754,,16585.6715162132,
Antigua and Barbuda,ATG,1992,63802,,16503.1720979053,
Antigua and Barbuda,ATG,1993,65238,,16999.1768058194,
Antigua and Barbuda,ATG,1994,66895,,17683.7510162052,
Antigua and Barbuda,ATG,1995,68642,,16476.3332796269,
Antigua and Barbuda,ATG,1996,70450,,17097.9758766223,1.71894007510446
Antigua and Barbuda,ATG,1997,72322,,17543.7315286641,1.80089787622686
Antigua and Barbuda,ATG,1998,74190,,17887.8075742041,1.87849870383589
Antigua and Barbuda,ATG,1999,75985,,18102.2030900696,10.3872615512459
Antigua and Barbuda,ATG,2000,77656,,18908.4943497905,26.3208269525268
Antigua and Barbuda,ATG,2001,79165,,17660.5222059553,29.3920547397627
Antigua and Barbuda,ATG,2002,80507,,17591.3404932158,44.2874365335126
Antigua and Barbuda,ATG,2003,81716,,18437.5085744652,52.8106491929479
Antigua and Barbuda,ATG,2004,82838,,19282.2300777704,61.1849485026683
Antigua and Barbuda,ATG,2005,83916,,20289.710866338,96.3553045835994
Antigua and Barbuda,ATG,2006,84952,,22606.8409092144,122.010830444846
Antigua and Barbuda,ATG,2007,85935,,24408.1815224456,122.980707149189
Antigua and Barbuda,ATG,2008,86881,,24111.3770844998,147.702156188499
Antigua and Barbuda,ATG,2009,87802,,20942.3011801149,144.179908314722
Antigua and Barbuda,ATG,2010,88710,,19212.7201307541,177.443720222689
Antigua and Barbuda,ATG,2011,89612,,18605.3167543472,183.879898452763
Antigua and Barbuda,ATG,2012,90510,,19047.2002426242,131.623216260062
Antigua and Barbuda,ATG,2013,91404,,18823.754452753,116.901782793588
Antigua and Barbuda,ATG,2014,,,19573.8341184873,121.406826801517
Antigua and Barbuda,ATG,2015,,North America,20154.9474879241,176.135624430812
