id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
635,"Ajmone, Giuseppe",Male,1923–2005,1923,2005,"Carpignano Sesia, Italia",NA,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
14744,"Aksel, Erdag",Male,born 1953,1953,NA,"Izmir, Türkiye",NA,http://www.tate.org.uk/art/artists/erdag-aksel-14744
7794,"Al-Ani, Jananne",Female,born 1966,1966,NA,"Kirkuk, Al-‘Iraq",NA,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
3067,"Albers, Anni",Female,1899–1994,1899,1994,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
636,"Albers, Josef",Male,1888–1976,1888,1976,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
637,"Albright, Ivan",Male,1897–1983,1897,1983,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
638,"Aldridge, John",Male,1905–1983,1905,1983,"Greenwich, United Kingdom",NA,http://www.tate.org.uk/art/artists/john-aldridge-638
639,"Alechinsky, Pierre",Male,born 1927,1927,NA,"Bruxelles, België",NA,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
640,"Alexander, Edwin",Male,1870–1926,1870,1926,"Edinburgh, United Kingdom","Musselburgh, United Kingdom",http://www.tate.org.uk/art/artists/edwin-alexander-640
2470,"Alexander, William",Male,1767–1816,1767,1816,"Maidstone, United Kingdom","Maidstone, United Kingdom",http://www.tate.org.uk/art/artists/william-alexander-2470
11315,"Alimpiev, Victor",Male,born 1973,1973,NA,"Moskva, Rossiya",NA,http://www.tate.org.uk/art/artists/victor-alimpiev-11315
2472,Alken Family,Male,1756 –1894,1756,1894,NA,NA,http://www.tate.org.uk/art/artists/alken-family-2472
3,"Alken, Henry Thomas",Male,1785–1851,1785,1851,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/henry-thomas-alken-3
2471,"Alken, Samuel, Senior",Male,1756–1815,1756,1815,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-alken-senior-2471
2473,"Allan, David",Male,1744–1796,1744,1796,"Alloa, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/david-allan-2473
641,"Allan, Julian Phelps",Female,1892–1996,1892,1996,"Southampton, United Kingdom",NA,http://www.tate.org.uk/art/artists/julian-phelps-allan-641
4,"Allan, Sir William",Male,1782–1850,1782,1850,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/sir-william-allan-4
2304,"Allen, George Warner",Male,1916–1988,1916,1988,"Paris, France","Wallingford, United Kingdom",http://www.tate.org.uk/art/artists/george-warner-allen-2304
5,"Allen, Joseph William",Male,1803–1852,1803,1852,"Lambeth, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/joseph-william-allen-5
12153,"Allen, Phillip",Male,born 1967,1967,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/phillip-allen-12153
12520,"Allen, Richard",Male,1933–1999,1933,1999,"Worcestershire, United Kingdom",NA,http://www.tate.org.uk/art/artists/richard-allen-12520
642,"Alley, Anthea",Female,1927–1993,1927,1993,"Seremban, Malaysia",NA,http://www.tate.org.uk/art/artists/anthea-alley-642
643,"Allington, Edward",Male,born 1951,1951,NA,"Cumbria, United Kingdom",NA,http://www.tate.org.uk/art/artists/edward-allington-643
644,"Allinson, Adrian",Male,1890–1959,1890,1959,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/adrian-allinson-644
2273,"Allom, Thomas",Male,1804–1872,1804,1872,"London, United Kingdom","Barnes, United Kingdom",http://www.tate.org.uk/art/artists/thomas-allom-2273
6259,"Allora, Jennifer",Female,born 1974,1974,NA,"Philadelphia, United States",NA,http://www.tate.org.uk/art/artists/jennifer-allora-6259
6,"Alma-Tadema, Sir Lawrence",Male,1836–1912,1836,1912,"Dronrijp, Nederland","Wiesbaden, Deutschland",http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6
12989,"Almeida, Helena",Female,born 1934,1934,NA,"Lisboa, Portugal",NA,http://www.tate.org.uk/art/artists/helena-almeida-12989
2657,"Almond, Darren",Male,born 1971,1971,NA,"Wigan, United Kingdom",NA,http://www.tate.org.uk/art/artists/darren-almond-2657
7620,"Althamer, Pawel",Male,born 1967,1967,NA,"Warszawa, Polska",NA,http://www.tate.org.uk/art/artists/pawel-althamer-7620
645,"Altoon, John",Male,1925–1969,1925,1969,"Los Angeles, United States",Los Angeles,http://www.tate.org.uk/art/artists/john-altoon-645
4427,"Alÿs, Francis",Male,born 1959,1959,NA,"Antwerpen, België",NA,http://www.tate.org.uk/art/artists/francis-alys-4427
7,"Amiconi, Giacomo",Male,1682–1752,1682,1752,"Napoli, Italia","Madrid, España",http://www.tate.org.uk/art/artists/giacomo-amiconi-7
646,"Amiet, Cuno",Male,1868–1961,1868,1961,Solothurn,Schweiz,http://www.tate.org.uk/art/artists/cuno-amiet-646
7533,"Amorales, Carlos",Male,born 1970,1970,NA,"Ciudad de México, México",NA,http://www.tate.org.uk/art/artists/carlos-amorales-7533
647,"Amuchastegui, Axel",Male,1921–2002,1921,2002,"Córdoba, España",NA,http://www.tate.org.uk/art/artists/axel-amuchastegui-647
14647,"Amzalag, Michael",Male,born 1967,1967,NA,"Paris, France",NA,http://www.tate.org.uk/art/artists/michael-amzalag-14647
12583,"Anderson, Hurvin",Male,born 1965,1965,NA,"Birmingham, United Kingdom",NA,http://www.tate.org.uk/art/artists/hurvin-anderson-12583
8,"Anderton, Henry",Male,c.1630–1665,1630,1665,NA,NA,http://www.tate.org.uk/art/artists/henry-anderton-8
8961,"Andrade Tudela, Armando",Male,born 1975,1975,NA,"Lima, Perú",NA,http://www.tate.org.uk/art/artists/armando-andrade-tudela-8961
15587,"Andrade, Jonathas de",Male,born 1982,1982,NA,"Maceió, Brasil",NA,http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587
648,"Andre, Carl",Male,born 1935,1935,NA,"Quincy, United States",NA,http://www.tate.org.uk/art/artists/carl-andre-648
2704,"Andreenko, Michel",Male,1894 –1982,1894,1982,"Odessa, Ukrayina","Paris, France",http://www.tate.org.uk/art/artists/michel-andreenko-mikhail-fedorovich-andriicenko-nechytailo-2704
649,"Andrews, Michael",Male,1928–1995,1928,1995,"Norwich, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/michael-andrews-649
9,"Angellis, Peter",Male,1685–1734,1685,1734,"Dunkerque, France","Rennes, France",http://www.tate.org.uk/art/artists/peter-angellis-9
650,"Annesley, David",Male,born 1936,1936,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/david-annesley-650
5221,Anonymous,NA,NA,NA,NA,NA,NA,http://www.tate.org.uk/art/artists/anonymous-5221
651,"Anquetin, Louis",Male,1861–1932,1861,1932,"Eure, France","Paris, France",http://www.tate.org.uk/art/artists/louis-anquetin-651
652,"Anrep, Boris",Male,1883–1969,1883,1969,"Sankt-Peterburg, Rossiya",NA,http://www.tate.org.uk/art/artists/boris-anrep-652
13677,"Ansarinia, Nazgol",Female,born 1979,1979,NA,"Tehran, Îran",NA,http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677
10,"Ansdell, Richard",Male,1815–1885,1815,1885,"Liverpool, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/richard-ansdell-10
12475,"Anselmo, Giovanni",Male,born 1934,1934,NA,"Piemonte, Italia",NA,http://www.tate.org.uk/art/artists/giovanni-anselmo-12475
15135,"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)",Male,NA,NA,NA,NA,NA,http://www.tate.org.uk/art/artists/ant-farm-chip-lord-born-1944-doug-michels-1943-2003-curtis-schreier-born-1944-15135
11604,"Antin, Eleanor",Female,born 1935,1935,NA,"New York, United States",NA,http://www.tate.org.uk/art/artists/eleanor-antin-11604
653,"Anuszkiewicz, Richard",Male,born 1930,1930,NA,"Erie, United States",NA,http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653
10241,"Apóstol, Alexander",Male,born 1969,1969,NA,"Barquisimeto, Venezuela",NA,http://www.tate.org.uk/art/artists/alexander-apostol-10241
654,"Appel, Karel",Male,1921–2006,1921,2006,"Amsterdam, Nederland","Zürich, Schweiz",http://www.tate.org.uk/art/artists/karel-appel-654
655,"Appelbee, Leonard",Male,1914–2000,1914,2000,"Fulham, United Kingdom",NA,http://www.tate.org.uk/art/artists/leonard-appelbee-655
656,"Appleyard, Fred",Male,1874–1963,1874,1963,"Middlesbrough, United Kingdom","Hampshire, United Kingdom",http://www.tate.org.uk/art/artists/fred-appleyard-656
2364,"Araeen, Rasheed",Male,born 1935,1935,NA,"Karachi, Pakistan",NA,http://www.tate.org.uk/art/artists/rasheed-araeen-2364
657,"Arakawa, Shusaku",NA,1936–2010,1936,2010,"Nagoya, Nihon","New York, United States",http://www.tate.org.uk/art/artists/shusaku-arakawa-657
2752,"Araki, Nobuyoshi",Male,born 1940,1940,NA,"Tokyo, Nihon",NA,http://www.tate.org.uk/art/artists/nobuyoshi-araki-2752
10494,"Araujo, Juan",Male,born 1971,1971,NA,"Caracas, Venezuela",NA,http://www.tate.org.uk/art/artists/juan-araujo-10494
5271,"Arbus, Diane",Female,1923–1971,1923,1971,"New York, United States","New York, United States",http://www.tate.org.uk/art/artists/diane-arbus-5271
12604,"Arcangel, Cory",Male,born 1978,1978,NA,"Buffalo, United States",NA,http://www.tate.org.uk/art/artists/cory-arcangel-12604
658,"Archipenko, Alexander",Male,1887–1964,1887,1964,"Kiyev, Ukrayina","New York, United States",http://www.tate.org.uk/art/artists/alexander-archipenko-658
659,"Ardizzone, Edward",Male,1900–1979,1900,1979,"Hai Phìng, Viet Nam","Kent, United Kingdom",http://www.tate.org.uk/art/artists/edward-ardizzone-659
660,"Ardon, Mordecai",Male,1896–1992,1896,1992,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el",http://www.tate.org.uk/art/artists/mordecai-ardon-660
661,"Arikha, Avigdor",Male,1929–2010,1929,2010,"Radauti, România","Paris, France",http://www.tate.org.uk/art/artists/avigdor-arikha-661
662,Arman,Male,1928–2005,1928,2005,"Nice, France",NA,http://www.tate.org.uk/art/artists/arman-armand-fernandez-662
663,"Armfield, Maxwell Ashby",Male,1881–1972,1881,1972,"Ringwood, United Kingdom",NA,http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663
11,"Armitage, Edward",Male,1817–1896,1817,1896,"London, United Kingdom","Royal Tunbridge Wells, United Kingdom",http://www.tate.org.uk/art/artists/edward-armitage-11
664,"Armitage, Kenneth",Male,1916–2002,1916,2002,"Leeds, United Kingdom",NA,http://www.tate.org.uk/art/artists/kenneth-armitage-664
12,"Armstead, Henry Hugh",Male,1828–1905,1828,1905,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/henry-hugh-armstead-12
665,"Armstrong, John",Male,1893–1973,1893,1973,"Hastings, United Kingdom",NA,http://www.tate.org.uk/art/artists/john-armstrong-665
13,"Arnald, George",Male,1763–1841,1763,1841,"Berkshire, United Kingdom",NA,http://www.tate.org.uk/art/artists/george-arnald-13
666,"Arnatt, Keith",Male,1930–2008,1930,2008,"Oxford, United Kingdom",NA,http://www.tate.org.uk/art/artists/keith-arnatt-666
667,"Arp, Jean",Male,1886–1966,1886,1966,"Strasburg, Deutschland","Basel, Schweiz",http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667
16245,Art & Language (Harold Hurrell),Male,born 1940,1940,NA,NA,NA,http://www.tate.org.uk/art/artists/art-language-harold-hurrell-16245
16236,Art & Language (Ian Burn),Male,1939–1993,1939,1993,"Geelong, Australia",NA,http://www.tate.org.uk/art/artists/art-language-ian-burn-16236
16838,Art & Language (Michael Baldwin),Male,born 1945,1945,NA,"Chipping Norton, United Kingdom",NA,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-16838
2202,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)",NA,NA,1944,NA,NA,NA,http://www.tate.org.uk/art/artists/art-language-michael-baldwin-born-1945-mel-ramsden-born-1944-2202
17138,"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born",NA,established 1967/1968,1967,NA,NA,NA,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-david-bainbridge-born-1941-michael-baldwin-born-1945-17138
668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)",NA,NA,1939,NA,NA,NA,http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-michael-baldwin-born-1945-668
2474,"Artaud, William",Male,1763–1823,1763,1823,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-artaud-2474
669,"Artschwager, Richard",Male,1923 – 2013,1923,2013,"Washington, United States",NA,http://www.tate.org.uk/art/artists/richard-artschwager-669
670,"Askew, Victor",Male,1909–1974,1909,1974,"Rotherham, United Kingdom","Hertfordshire, United Kingdom",http://www.tate.org.uk/art/artists/victor-askew-670
5229,"Ataman, Kutlug",Male,born 1961,1961,NA,"Istanbul, Türkiye",NA,http://www.tate.org.uk/art/artists/kutlug-ataman-5229
6630,"Atay, Fikret",Male,born 1974,1974,NA,"Batman, Türkiye",NA,http://www.tate.org.uk/art/artists/fikret-atay-6630
15601,"Atkins, Ed",Male,born 1982,1982,NA,United Kingdom,NA,http://www.tate.org.uk/art/artists/ed-atkins-15601
14,"Atkins, Samuel",Male,active 1787–1808,1787,1808,NA,NA,http://www.tate.org.uk/art/artists/samuel-atkins-14
671,"Atkinson, Conrad",Male,born 1940,1940,NA,"Cumbria, United Kingdom",NA,http://www.tate.org.uk/art/artists/conrad-atkinson-671
2412,"Atkinson, John Augustus",Male,1775–1830,1775,1830,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/john-augustus-atkinson-2412
672,"Atkinson, Lawrence",Male,1873–1931,1873,1931,NA,NA,http://www.tate.org.uk/art/artists/lawrence-atkinson-672
11829,"Atkinson, Terry",Male,born 1939,1939,NA,"Barnsley, United Kingdom",NA,http://www.tate.org.uk/art/artists/terry-atkinson-11829
673,"Atlan, Jean-Michel",Male,1913–1960,1913,1960,"Qacentina, Al-Jaza'ir","Paris, France",http://www.tate.org.uk/art/artists/jean-michel-atlan-673
7639,Atlas Group,NA,established 1999,1999,NA,NA,NA,http://www.tate.org.uk/art/artists/atlas-group-7639
15557,"Atlas, Charles",Male,born 1958,1958,NA,"Saint Louis City, United States",NA,http://www.tate.org.uk/art/artists/charles-atlas-15557
13674,"Attia, Kader",Male,born 1970,1970,NA,"Dugny, France",NA,http://www.tate.org.uk/art/artists/kader-attia-13674
674,"Atwood, Clare",Female,1866–1962,1866,1962,"Richmond, United Kingdom","Tenterden, United Kingdom",http://www.tate.org.uk/art/artists/clare-atwood-674
675,"Auerbach, Arnold",Male,1898–1978,1898,1978,"Liverpool, United Kingdom",NA,http://www.tate.org.uk/art/artists/arnold-auerbach-675
676,"Auerbach, Frank",Male,born 1931,1931,NA,"Berlin, Deutschland",NA,http://www.tate.org.uk/art/artists/frank-auerbach-676
14648,"Augustyniak, Mathias",Male,born 1968,1968,NA,"Cavaillon, France",NA,http://www.tate.org.uk/art/artists/mathias-augustyniak-14648
15,"Aumonier, James",Male,1832–1911,1832,1911,NA,NA,http://www.tate.org.uk/art/artists/james-aumonier-15
2398,"Austen, David",Male,born 1960,1960,NA,"Harlow, United Kingdom",NA,http://www.tate.org.uk/art/artists/david-austen-2398
677,"Austin, Robert",Male,1895–1973,1895,1973,"Leicester, United Kingdom",NA,http://www.tate.org.uk/art/artists/robert-austin-677
5711,"Avedon, Richard",Male,1923–2004,1923,2004,"New York, United States","San Antonio, United States",http://www.tate.org.uk/art/artists/richard-avedon-5711
10764,"Avery, Charles",Male,born 1973,1973,NA,"Oban, United Kingdom",NA,http://www.tate.org.uk/art/artists/charles-avery-10764
678,"Avery, Milton",Male,1893–1965,1893,1965,"Altmar, United States","New York, United States",http://www.tate.org.uk/art/artists/milton-avery-678
2714,"Aviline, François Antoine",Male,1727–1780,1727,1780,NA,NA,http://www.tate.org.uk/art/artists/francois-antoine-aviline-2714
2479,"Aylesford, Heneage Finch, Fifth Earl of",Male,1786–1859,1786,1859,NA,NA,http://www.tate.org.uk/art/artists/heneage-finch-fifth-earl-of-aylesford-2479
2480,"Aylesford, Heneage Finch, Fourth Earl of",Male,1751–1812,1751,1812,NA,NA,http://www.tate.org.uk/art/artists/heneage-finch-fourth-earl-of-aylesford-2480
679,"Ayot, Pierre",Male,born 1943,1943,NA,"Québec, Canada","Québec, Canada",http://www.tate.org.uk/art/artists/pierre-ayot-679
680,"Ayres, OBE Gillian",Female,born 1930,1930,NA,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/gillian-ayres-obe-680
681,"Ayrton, Michael",Male,1921–1975,1921,1975,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/michael-ayrton-681
14743,"Baalbaki, Ayman",Male,born 1975,1975,NA,"Marj ‘Uyun, Al-Lubnan",NA,http://www.tate.org.uk/art/artists/ayman-baalbaki-14743
13866,"Bäckström, Miriam",Female,born 1967,1967,NA,"Stockholm, Sverige",NA,http://www.tate.org.uk/art/artists/miriam-backstrom-13866
682,"Bacon, Francis",Male,1909–1992,1909,1992,"Dublin, Éire","Madrid, España",http://www.tate.org.uk/art/artists/francis-bacon-682
18070,"Bacon, John",NA,1740–1799,1740,1799,NA,NA,http://www.tate.org.uk/art/artists/john-bacon-18070
683,"Bacon, John Henry F.",Male,1868–1915,1868,1915,"London, United Kingdom",NA,http://www.tate.org.uk/art/artists/john-henry-f-bacon-683
2370,"Bacon, Sir Nathaniel",Male,1585–1627,1585,1627,NA,NA,http://www.tate.org.uk/art/artists/sir-nathaniel-bacon-2370
12918,"Baehnisch, Ruth",NA,1910–1997,1910,1997,NA,NA,http://www.tate.org.uk/art/artists/ruth-baehnisch-12918
684,"Baer, Jo",Female,born 1929,1929,NA,"Seattle, United States",NA,http://www.tate.org.uk/art/artists/jo-baer-684
685,"Baertling, Olle",Male,1911–1981,1911,1981,"Halmstad, Sverige","Stockholm, Sverige",http://www.tate.org.uk/art/artists/olle-baertling-685
16,"Baily, Edward Hodges",Male,1788–1867,1788,1867,"Bristol, United Kingdom","Islington, United Kingdom",http://www.tate.org.uk/art/artists/edward-hodges-baily-16
686,"Baj, Enrico",Male,1924–2003,1924,2003,"Milano, Italia",NA,http://www.tate.org.uk/art/artists/enrico-baj-686
13678,"Bakhshi Moakhar, Mahmoud",Male,born 1977,1977,NA,"Tehran, Îran",NA,http://www.tate.org.uk/art/artists/mahmoud-bakhshi-moakhar-13678
687,"Baldessari, John",Male,born 1931,1931,NA,"National City, United States",NA,http://www.tate.org.uk/art/artists/john-baldessari-687
2360,"Balka, Miroslaw",Male,born 1958,1958,NA,"Warszawa, Polska",NA,http://www.tate.org.uk/art/artists/miroslaw-balka-2360
688,"Balla, Giacomo",Male,1871–1958,1871,1958,"Torino, Italia","Roma, Italia",http://www.tate.org.uk/art/artists/giacomo-balla-688
12038,"Ballen, Roger",Male,born 1950,1950,NA,"New York, United States",NA,http://www.tate.org.uk/art/artists/roger-ballen-12038
5373,"Baltz, Lewis",Male,born 1945,1945,NA,"Newport Beach, United States",NA,http://www.tate.org.uk/art/artists/lewis-baltz-5373
690,"Banc, Jef",Male,born 1930,1930,NA,"Paris, France",NA,http://www.tate.org.uk/art/artists/jef-banc-690
2687,"Banner, Fiona",Female,born 1966,1966,NA,"England, United Kingdom",NA,http://www.tate.org.uk/art/artists/fiona-banner-2687
691,"Banting, John",Male,1902–1971,1902,1971,"Chelsea, United Kingdom","Hastings, United Kingdom",http://www.tate.org.uk/art/artists/john-banting-691
692,"Baran, Stefan",Male,born 1922,1922,NA,"Dormans, France",NA,http://www.tate.org.uk/art/artists/stefan-baran-692
4731,"Barclay, Claire",Female,born 1968,1968,NA,"Paisley, United Kingdom",NA,http://www.tate.org.uk/art/artists/claire-barclay-4731
18,"Barenger, James",Male,1780–1831,1780,1831,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barenger-18
12686,"Barham, Anna",Female,born 1974,1974,NA,"Sutton Coldfield, United Kingdom",NA,http://www.tate.org.uk/art/artists/anna-barham-12686
693,"Barker, Clive",Male,born 1940,1940,NA,"Luton, United Kingdom",NA,http://www.tate.org.uk/art/artists/clive-barker-693
694,"Barker, Margaret",Female,born 1907,1907,NA,"Sydenham, United Kingdom",NA,http://www.tate.org.uk/art/artists/margaret-barker-694
19,"Barker, Thomas, of Bath",Male,1769–1847,1769,1847,"Pontypool, United Kingdom","Bath, United Kingdom",http://www.tate.org.uk/art/artists/thomas-barker-of-bath-19
695,"Barlach, Ernst",Male,1870–1938,1870,1938,"Wedel, Deutschland","Rostock, Deutschland",http://www.tate.org.uk/art/artists/ernst-barlach-695
20,"Barlow, Francis",Male,?1626–1704,1626,1704,NA,"London, United Kingdom",http://www.tate.org.uk/art/artists/francis-barlow-20
10908,"Barlow, Phyllida",Female,born 1944,1944,NA,"Newcastle upon Tyne, United Kingdom",NA,http://www.tate.org.uk/art/artists/phyllida-barlow-10908
2476,"Barnard, Rev. William Henry",Male,1767 or 9–1818,1767,1818,NA,NA,http://www.tate.org.uk/art/artists/rev-william-henry-barnard-2476
2362,"Barney, Matthew",Male,born 1967,1967,NA,"San Francisco, United States",NA,http://www.tate.org.uk/art/artists/matthew-barney-2362
696,"Barni, Roberto",Male,born 1939,1939,NA,"Pistoia, Italia",NA,http://www.tate.org.uk/art/artists/roberto-barni-696
697,"Barns-Graham, Wilhelmina",Female,1912–2004,1912,2004,"Saint Andrews, United Kingdom",NA,http://www.tate.org.uk/art/artists/wilhelmina-barns-graham-697
14953,"Barrada, Yto",Female,born 1971,1971,NA,"Paris, France",NA,http://www.tate.org.uk/art/artists/yto-barrada-14953
22,"Barret, George, Junior",Male,1767–1842,1767,1842,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-junior-22
21,"Barret, George, Senior",Male,1728 or 32–1784,1728,1784,"Dublin, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/george-barret-senior-21
10168,"Barriball, Anna",Female,born 1972,1972,NA,"Plymouth, United Kingdom",NA,http://www.tate.org.uk/art/artists/anna-barriball-10168
23,"Barron, Hugh",Male,1747–1791,1747,1791,NA,NA,http://www.tate.org.uk/art/artists/hugh-barron-23
14311,"Barros, Geraldo de",Male,1923–1998,1923,1998,NA,NA,http://www.tate.org.uk/art/artists/geraldo-de-barros-14311
2477,"Barrow, Joseph Charles",Male,active 1789–1802,1789,1802,NA,NA,http://www.tate.org.uk/art/artists/joseph-charles-barrow-2477
24,"Barry, James",Male,1741–1806,1741,1806,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/james-barry-24
6882,"Bartana, Yael",Female,born 1970,1970,NA,"‘Afula, Yisra'el",NA,http://www.tate.org.uk/art/artists/yael-bartana-6882
2678,"Barth, Uta",Female,born 1958,1958,NA,"Berlin, Deutschland",NA,http://www.tate.org.uk/art/artists/uta-barth-2678
698,"Bartlett, Jennifer",Female,born 1941,1941,NA,"Long Beach, United States",NA,http://www.tate.org.uk/art/artists/jennifer-bartlett-698
2478,"Bartolozzi, Francesco",Male,1727–1815,1727,1815,"Firenze, Italia","Lisboa, Portugal",http://www.tate.org.uk/art/artists/francesco-bartolozzi-2478
6217,"Basbaum, Ricardo",Male,born 1961,1961,NA,"São Paulo, Brasil",NA,http://www.tate.org.uk/art/artists/ricardo-basbaum-6217
699,"Baselitz, Georg",Male,born 1938,1938,NA,"Sachsen, Deutschland",NA,http://www.tate.org.uk/art/artists/georg-baselitz-699
700,"Baskin, Leonard",Male,1922–2000,1922,2000,"New Brunswick, United States","Northampton, United States",http://www.tate.org.uk/art/artists/leonard-baskin-700
4915,"Batchelor, David",Male,born 1955,1955,NA,"Dundee, United Kingdom",NA,http://www.tate.org.uk/art/artists/david-batchelor-4915
