region,division,year,total,white,black,black_free,black_slaves
South,West South Central,1860,1747667,1102490,644553,19146,625407
South,West South Central,1850,940251,571714,368537,18467,350070
South,West South Central,1840,449985,235631,214354,25967,188387
South,West South Central,1830,246127,115112,131015,16851,114164
South,West South Central,1820,167680,86464,81216,10535,70681
South,West South Central,1810,77618,35235,42383,7587,34796
West,Mountain,1870,315385,301848,1555,1555,0
West,Mountain,1860,174923,164092,235,206,29
West,Mountain,1850,72927,72855,72,46,26
West,Pacific,1870,675125,608548,4825,4825,0
West,Pacific,1860,444053,386475,4244,4244,0
West,Pacific,1850,105891,104722,1169,1169,0
