year_ended_june,measure,value,value_unit,value_label
1944,Wheat (area sown),94610,number,Hectares
1944,Wheat (yield),196183,number,Tonnes
1944,Oats (yield),33281,number,Tonnes
1944,Barley (yield),18888,number,Tonnes
1944,Maize (yield),7521,number,Tonnes
1945,Number of Farm Holdings,86247,number,Number of farm holdings
1945,Total Area of Farms,17404000,number,Hectares
1945,Breeding Ewes 2 Tooth and Over put to Ram,20865900,number,Number of sheep
1945,Total Sheep,33975000,number,Number of sheep
1945,Total Lambs Marked and/or Tailed,19453000,number,Number of sheep
1945,Wheat (area sown),74416,number,Hectares
1945,Wheat (yield),190296,number,Tonnes
1945,Oats (yield),76368,number,Tonnes
1945,Barley (yield),31411,number,Tonnes
1945,Maize (yield),11258,number,Tonnes
1946,Number of Farm Holdings,86239,number,Number of farm holdings
1946,Total Area of Farms,17433900,number,Hectares
1946,Rising 1 Year Old Dairy Heifers and Heifer Calves,358600,number,Number of cattle
1946,Total Sheep,30476000,number,Number of sheep
1946,Total Lambs Marked and/or Tailed,19561000,number,Number of sheep
1946,Wheat (area sown),65174,number,Hectares
1946,Wheat (yield),148025,number,Tonnes
1946,Oats (yield),50746,number,Tonnes
1946,Barley (yield),42463,number,Tonnes
1946,Maize (yield),8895,number,Tonnes
1947,Number of Farm Holdings,86483,number,Number of farm holdings
1947,Total Area of Farms,17441900,number,Hectares
1947,Rising 1 Year Old Dairy Heifers and Heifer Calves,365400,number,Number of cattle
1947,Breeding Ewes 2 Tooth and Over put to Ram,20743800,number,Number of sheep
1947,Total Sheep,32682000,number,Number of sheep
1947,Total Lambs Marked and/or Tailed,18642000,number,Number of sheep
1947,Wheat (area sown),57225,number,Hectares
1947,Wheat (yield),146095,number,Tonnes
1947,Oats (yield),48738,number,Tonnes
1947,Barley (yield),45967,number,Tonnes
1947,Maize (yield),10074,number,Tonnes
1948,Number of Farm Holdings,86985,number,Number of farm holdings
1948,Total Area of Farms,17317400,number,Hectares
1948,Rising 1 Year Old Dairy Heifers and Heifer Calves,369300,number,Number of cattle
1948,Breeding Ewes 2 Tooth and Over put to Ram,21055500,number,Number of sheep
1948,Total Sheep,32483000,number,Number of sheep
1948,Total Lambs Marked and/or Tailed,19835000,number,Number of sheep
1948,Wheat (area sown),50080,number,Hectares
1948,Wheat (yield),123531,number,Tonnes
1948,Oats (yield),51773,number,Tonnes
1948,Barley (yield),47353,number,Tonnes
1948,Maize (yield),9607,number,Tonnes
1949,Number of Farm Holdings,87076,number,Number of farm holdings
1949,Total Area of Farms,17287200,number,Hectares
1949,Rising 1 Year Old Dairy Heifers and Heifer Calves,373400,number,Number of cattle
1949,Breeding Ewes 2 Tooth and Over put to Ram,21499700,number,Number of sheep
1949,Total Sheep,32845000,number,Number of sheep
1949,Total Lambs Marked and/or Tailed,19806000,number,Number of sheep
1949,Wheat (area sown),59370,number,Hectares
1949,Wheat (yield),162150,number,Tonnes
1949,Oats (yield),67469,number,Tonnes
1949,Barley (yield),51174,number,Tonnes
1949,Maize (yield),9076,number,Tonnes
1950,Number of Farm Holdings,90290,number,Number of farm holdings
1950,Total Area of Farms,17465600,number,Hectares
1950,Rising 1 Year Old Dairy Heifers and Heifer Calves,409900,number,Number of cattle
1950,Breeding Ewes 2 Tooth and Over put to Ram,21881500,number,Number of sheep
1950,Total Sheep,33857000,number,Number of sheep
1950,Total Lambs Marked and/or Tailed,21170000,number,Number of sheep
1950,Wheat (area sown),50650,number,Hectares
1950,Wheat (yield),133348,number,Tonnes
1950,Oats (yield),47542,number,Tonnes
1950,Barley (yield),55198,number,Tonnes
1950,Maize (yield),11756,number,Tonnes
1951,Number of Farm Holdings,90230,number,Number of farm holdings
1951,Total Area of Farms,17464700,number,Hectares
1951,Rising 1 Year Old Dairy Heifers and Heifer Calves,406800,number,Number of cattle
1951,Breeding Ewes 2 Tooth and Over put to Ram,22638500,number,Number of sheep
1951,Total Sheep,34786000,number,Number of sheep
1951,Total Lambs Marked and/or Tailed,21238000,number,Number of sheep
1951,Wheat (area sown),58584,number,Hectares
1951,Wheat (yield),170693,number,Tonnes
1951,Oats (yield),33167,number,Tonnes
1951,Barley (yield),43146,number,Tonnes
1951,Maize (yield),9208,number,Tonnes
1952,Number of Farm Holdings,90288,number,Number of farm holdings
1952,Total Area of Farms,17490400,number,Hectares
1952,Rising 1 Year Old Dairy Heifers and Heifer Calves,381000,number,Number of cattle
1952,Breeding Ewes 2 Tooth and Over put to Ram,22963300,number,Number of sheep
1952,Total Sheep,35384000,number,Number of sheep
1952,Total Lambs Marked and/or Tailed,21814000,number,Number of sheep
1952,Wheat (area sown),36404,number,Hectares
1952,Wheat (yield),105874,number,Tonnes
1952,Oats (yield),44806,number,Tonnes
1952,Barley (yield),49491,number,Tonnes
1952,Maize (yield),9698,number,Tonnes
1953,Number of Farm Holdings,90529,number,Number of farm holdings
1953,Total Area of Farms,17531600,number,Hectares
1953,Rising 1 Year Old Dairy Heifers and Heifer Calves,428300,number,Number of cattle
1953,Breeding Ewes 2 Tooth and Over put to Ram,23781400,number,Number of sheep
1953,Total Sheep,36193000,number,Number of sheep
1953,Total Lambs Marked and/or Tailed,22162000,number,Number of sheep
1953,Wheat (area sown),51486,number,Hectares
1953,Wheat (yield),123158,number,Tonnes
1953,Oats (yield),43274,number,Tonnes
1953,Barley (yield),48532,number,Tonnes
1953,Maize (yield),8870,number,Tonnes
1954,Number of Farm Holdings,91695,number,Number of farm holdings
1954,Total Area of Farms,17508100,number,Hectares
1954,Rising 1 Year Old Dairy Heifers and Heifer Calves,482500,number,Number of cattle
1954,Breeding Ewes 2 Tooth and Over put to Ram,24850500,number,Number of sheep
1954,Total Sheep,38011000,number,Number of sheep
1954,Total Lambs Marked and/or Tailed,23595000,number,Number of sheep
1954,Wheat (area sown),46059,number,Hectares
1954,Oats (area sown),8308,number,Hectares
1954,Barley (area sown),27712,number,Hectares
1954,Wheat (yield),130177,number,Tonnes
1954,Oats (yield),17153,number,Tonnes
1954,Barley (yield),75645,number,Tonnes
1954,Maize (yield),6584,number,Tonnes
1955,Number of Farm Holdings,92395,number,Number of farm holdings
1955,Total Area of Farms,17545500,number,Hectares
1955,Rising 1 Year Old Dairy Heifers and Heifer Calves,439300,number,Number of cattle
1955,Breeding Ewes 2 Tooth and Over put to Ram,26186400,number,Number of sheep
1955,Total Sheep,39117000,number,Number of sheep
1955,Total Lambs Marked and/or Tailed,24239000,number,Number of sheep
1955,Wheat (area sown),42083,number,Hectares
1955,Oats (area sown),12612,number,Hectares
1955,Barley (area sown),16865,number,Hectares
1955,Wheat (yield),111948,number,Tonnes
1955,Oats (yield),29068,number,Tonnes
1955,Barley (yield),45175,number,Tonnes
1955,Maize (yield),5128,number,Tonnes
1956,Number of Farm Holdings,84705,number,Number of farm holdings
1956,Total Area of Farms,17195300,number,Hectares
1956,Rising 1 Year Old Dairy Heifers and Heifer Calves,381700,number,Number of cattle
1956,Breeding Ewes 2 Tooth and Over put to Ram,27015600,number,Number of sheep
1956,Total Sheep,40255000,number,Number of sheep
1956,Total Lambs Marked and/or Tailed,24921000,number,Number of sheep
1956,Wheat (area sown),27712,number,Hectares
1956,Oats (area sown),17065,number,Hectares
1956,Barley (area sown),19909,number,Hectares
1956,Wheat (yield),72350,number,Tonnes
1956,Oats (yield),35333,number,Tonnes
1956,Barley (yield),46074,number,Tonnes
1957,Number of Farm Holdings,84604,number,Number of farm holdings
1957,Total Area of Farms,17220000,number,Hectares
1957,Rising 1 Year Old Dairy Heifers and Heifer Calves,391300,number,Number of cattle
1957,Breeding Ewes 2 Tooth and Over put to Ram,28899500,number,Number of sheep
1957,Total Sheep,42382000,number,Number of sheep
1957,Total Lambs Marked and/or Tailed,25496000,number,Number of sheep
1957,Wheat (area sown),26605,number,Hectares
1957,Oats (area sown),22863,number,Hectares
1957,Barley (area sown),24191,number,Hectares
1957,Maize (area sown),2220,number,Hectares
1957,Wheat (yield),80294,number,Tonnes
1957,Oats (yield),52404,number,Tonnes
1957,Barley (yield),64741,number,Tonnes
1957,Maize (yield),7963,number,Tonnes
1957,Total All Fertilisers,1265500,number,Tonnes
1958,Number of Farm Holdings,83025,number,Number of farm holdings
1958,Total Area of Farms,17268000,number,Hectares
1958,Rising 1 Year Old Dairy Heifers and Heifer Calves,423900,number,Number of cattle
1958,Breeding Ewes 2 Tooth and Over put to Ram,30875700,number,Number of sheep
1958,Total Sheep,46026000,number,Number of sheep
1958,Total Lambs Marked and/or Tailed,27799000,number,Number of sheep
1958,Wheat (area sown),33968,number,Hectares
1958,Oats (area sown),12133,number,Hectares
1958,Barley (area sown),26661,number,Hectares
1958,Maize (area sown),2568,number,Hectares
1958,Wheat (yield),101435,number,Tonnes
1958,Oats (yield),26492,number,Tonnes
1958,Barley (yield),80562,number,Tonnes
1958,Maize (yield),7686,number,Tonnes
1958,Total All Fertilisers,1467000,number,Tonnes
1959,Number of Farm Holdings,83350,number,Number of farm holdings
1959,Total Area of Farms,17257100,number,Hectares
1959,Rising 1 Year Old Dairy Heifers and Heifer Calves,455700,number,Number of cattle
1959,Breeding Ewes 2 Tooth and Over put to Ram,31186100,number,Number of sheep
1959,Total Sheep,46876000,number,Number of sheep
1959,Total Lambs Marked and/or Tailed,30575000,number,Number of sheep
1959,Wheat (area sown),53788,number,Hectares
1959,Oats (area sown),13764,number,Hectares
1959,Barley (area sown),21699,number,Hectares
1959,Maize (area sown),2676,number,Hectares
1959,Wheat (yield),164349,number,Tonnes
1959,Oats (yield),28591,number,Tonnes
1959,Barley (yield),60353,number,Tonnes
1959,Maize (yield),9624,number,Tonnes
1959,Total All Fertilisers,1325000,number,Tonnes
1960,Number of Farm Holdings,76928,number,Number of farm holdings
1960,Total Area of Farms,17813800,number,Hectares
1960,Rising 1 Year Old Dairy Heifers and Heifer Calves,477100,number,Number of cattle
1960,Breeding Ewes 2 Tooth and Over put to Ram,32632800,number,Number of sheep
1960,Total Sheep,47134000,number,Number of sheep
1960,Total Lambs Marked and/or Tailed,31117000,number,Number of sheep
1960,Wheat (area sown),66028,number,Hectares
1960,Oats (area sown),13567,number,Hectares
1960,Barley (area sown),25292,number,Hectares
1960,Maize (area sown),3374,number,Hectares
1960,Wheat (yield),236780,number,Tonnes
1960,Oats (yield),33114,number,Tonnes
1960,Barley (yield),71141,number,Tonnes
1960,Maize (yield),17849,number,Tonnes
1961,Number of Farm Holdings,73166,number,Number of farm holdings
1961,Total Area of Farms,17671300,number,Hectares
1961,Rising 1 Year Old Dairy Heifers and Heifer Calves,520100,number,Number of cattle
1961,Breeding Ewes 2 Tooth and Over put to Ram,33590000,number,Number of sheep
1961,Total Sheep,48462000,number,Number of sheep
1961,Total Lambs Marked and/or Tailed,31991000,number,Number of sheep
1961,Wheat (area sown),75590,number,Hectares
1961,Oats (area sown),17588,number,Hectares
1961,Barley (area sown),26544,number,Hectares
1961,Maize (area sown),2655,number,Hectares
1961,Wheat (yield),253352,number,Tonnes
1961,Oats (yield),42627,number,Tonnes
1961,Barley (yield),77467,number,Tonnes
1961,Maize (yield),10254,number,Tonnes
1961,Total All Fertilisers,1362300,number,Tonnes
1962,Number of Farm Holdings,72755,number,Number of farm holdings
1962,Total Area of Farms,17688500,number,Hectares
1962,Rising 1 Year Old Dairy Heifers and Heifer Calves,495900,number,Number of cattle
1962,Breeding Ewes 2 Tooth and Over put to Ram,33944800,number,Number of sheep
1962,Total Sheep,48988000,number,Number of sheep
1962,Total Lambs Marked and/or Tailed,33589000,number,Number of sheep
1962,Wheat (area sown),75388,number,Hectares
1962,Oats (area sown),14035,number,Hectares
1962,Barley (area sown),31208,number,Hectares
1962,Maize (area sown),2972,number,Hectares
1962,Wheat (yield),213244,number,Tonnes
1962,Oats (yield),34221,number,Tonnes
1962,Barley (yield),80753,number,Tonnes
1962,Maize (yield),13836,number,Tonnes
1962,Total All Fertilisers,1410800,number,Tonnes
1963,Number of Farm Holdings,72293,number,Number of farm holdings
1963,Total Area of Farms,17688800,number,Hectares
1963,Rising 1 Year Old Dairy Heifers and Heifer Calves,483500,number,Number of cattle
1963,Breeding Ewes 2 Tooth and Over put to Ram,34997300,number,Number of sheep
1963,Total Sheep,50190000,number,Number of sheep
1963,Total Lambs Marked and/or Tailed,33696000,number,Number of sheep
1963,Wheat (area sown),91357,number,Hectares
1963,Oats (area sown),8449,number,Hectares
1963,Barley (area sown),35383,number,Hectares
1963,Maize (area sown),3196,number,Hectares
1963,Wheat (yield),249193,number,Tonnes
1963,Oats (yield),18663,number,Tonnes
1963,Barley (yield),95293,number,Tonnes
1963,Maize (yield),15469,number,Tonnes
1963,Total All Fertilisers,1344300,number,Tonnes
1964,Number of Farm Holdings,71695,number,Number of farm holdings
1964,Total Area of Farms,17680000,number,Hectares
1964,Rising 1 Year Old Dairy Heifers and Heifer Calves,476100,number,Number of cattle
1964,Breeding Ewes 2 Tooth and Over put to Ram,35702000,number,Number of sheep
1964,Total Sheep,51292000,number,Number of sheep
1964,Total Lambs Marked and/or Tailed,34752000,number,Number of sheep
1964,Wheat (area sown),82540,number,Hectares
1964,Oats (area sown),10754,number,Hectares
1964,Barley (area sown),38032,number,Hectares
1964,Maize (area sown),3904,number,Hectares
1964,Wheat (yield),273992,number,Tonnes
1964,Oats (yield),28079,number,Tonnes
1964,Barley (yield),130993,number,Tonnes
1964,Maize (yield),18898,number,Tonnes
1964,Total All Fertilisers,1621400,number,Tonnes
1965,Number of Farm Holdings,70472,number,Number of farm holdings
1965,Total Area of Farms,17602900,number,Hectares
1965,Rising 1 Year Old Dairy Heifers and Heifer Calves,501800,number,Number of cattle
1965,Breeding Ewes 2 Tooth and Over put to Ram,37178100,number,Number of sheep
1965,Total Sheep,53748000,number,Number of sheep
1965,Total Lambs Marked and/or Tailed,34792000,number,Number of sheep
1965,Wheat (area sown),74450,number,Hectares
1965,Oats (area sown),15690,number,Hectares
1965,Barley (area sown),35222,number,Hectares
1965,Maize (area sown),3919,number,Hectares
1965,Wheat (yield),250293,number,Tonnes
1965,Oats (yield),45249,number,Tonnes
1965,Barley (yield),105904,number,Tonnes
1965,Maize (yield),23537,number,Tonnes
1965,Total All Fertilisers,1888500,number,Tonnes
1966,Number of Farm Holdings,69896,number,Number of farm holdings
1966,Total Area of Farms,17526500,number,Hectares
1966,Rising 1 Year Old Dairy Heifers and Heifer Calves,581400,number,Number of cattle
1966,Breeding Ewes 2 Tooth and Over put to Ram,39667700,number,Number of sheep
1966,Total Sheep,57343000,number,Number of sheep
1966,Total Lambs Marked and/or Tailed,36990000,number,Number of sheep
1966,Wheat (area sown),80745,number,Hectares
1966,Oats (area sown),15663,number,Hectares
1966,Barley (area sown),33987,number,Hectares
1966,Maize (area sown),3265,number,Hectares
1966,Wheat (yield),291777,number,Tonnes
1966,Oats (yield),43519,number,Tonnes
1966,Barley (yield),114074,number,Tonnes
1966,Maize (yield),19348,number,Tonnes
1966,Total All Fertilisers,1869900,number,Tonnes
1967,Number of Farm Holdings,68179,number,Number of farm holdings
1967,Total Area of Farms,17358400,number,Hectares
1967,Rising 1 Year Old Dairy Heifers and Heifer Calves,617700,number,Number of cattle
1967,Breeding Ewes 2 Tooth and Over put to Ram,41407700,number,Number of sheep
1967,Total Sheep,60030000,number,Number of sheep
1967,Total Lambs Marked and/or Tailed,39362000,number,Number of sheep
1967,Wheat (area sown),93305,number,Hectares
1967,Oats (area sown),9311,number,Hectares
1967,Barley (area sown),37221,number,Hectares
1967,Maize (area sown),3061,number,Hectares
1967,Wheat (yield),347751,number,Tonnes
1967,Oats (yield),28181,number,Tonnes
1967,Barley (yield),134011,number,Tonnes
1967,Maize (yield),18489,number,Tonnes
1967,Total All Fertilisers,1864800,number,Tonnes
1968,Number of Farm Holdings,66866,number,Number of farm holdings
1968,Total Area of Farms,17268000,number,Hectares
1968,Rising 1 Year Old Dairy Heifers and Heifer Calves,653500,number,Number of cattle
1968,Breeding Ewes 2 Tooth and Over put to Ram,42650900,number,Number of sheep
1968,Total Sheep,60474000,number,Number of sheep
1968,Total Lambs Marked and/or Tailed,40921000,number,Number of sheep
1968,Wheat (area sown),126650,number,Hectares
1968,Oats (area sown),13955,number,Hectares
1968,Barley (area sown),62776,number,Hectares
1968,Maize (area sown),5873,number,Hectares
1968,Wheat (yield),442330,number,Tonnes
1968,Oats (yield),44753,number,Tonnes
1968,Barley (yield),219395,number,Tonnes
1968,Maize (yield),35882,number,Tonnes
1968,Total All Fertilisers,1682600,number,Tonnes
1969,Number of Farm Holdings,66380,number,Number of farm holdings
1969,Total Area of Farms,17350200,number,Hectares
1969,Rising 1 Year Old Dairy Heifers and Heifer Calves,646100,number,Number of cattle
1969,Breeding Ewes 2 Tooth and Over put to Ram,43384700,number,Number of sheep
1969,Total Sheep,59937000,number,Number of sheep
1969,Total Lambs Marked and/or Tailed,40416000,number,Number of sheep
1969,Wheat (area sown),129975,number,Hectares
1969,Oats (area sown),15906,number,Hectares
1969,Barley (area sown),63537,number,Hectares
1969,Field peas (area sown),20286,number,Hectares
1969,Maize (area sown),7138,number,Hectares
1969,Wheat (yield),456648,number,Tonnes
1969,Oats (yield),52147,number,Tonnes
1969,Barley (yield),232565,number,Tonnes
1969,Seed/field peas (yield),56168,number,Tonnes
1969,Maize (yield),51148,number,Tonnes
1969,Total All Fertilisers,1755300,number,Tonnes
1970,Number of Farm Holdings,65331,number,Number of farm holdings
1970,Total Area of Farms,17432100,number,Hectares
1970,Rising 1 Year Old Dairy Heifers and Heifer Calves,582800,number,Number of cattle
1970,Breeding Ewes 2 Tooth and Over put to Ram,42911600,number,Number of sheep
1970,Total Sheep,60276000,number,Number of sheep
1970,Total Lambs Marked and/or Tailed,42078000,number,Number of sheep
1970,Wheat (area sown),108393,number,Hectares
1970,Oats (area sown),21008,number,Hectares
1970,Barley (area sown),56080,number,Hectares
1970,Field peas (area sown),24501,number,Hectares
1970,Maize (area sown),8089,number,Hectares
1970,Wheat (yield),287212,number,Tonnes
1970,Oats (yield),57711,number,Tonnes
1970,Barley (yield),174442,number,Tonnes
1970,Seed/field peas (yield),49207,number,Tonnes
1970,Maize (yield),58623,number,Tonnes
1970,Total All Fertilisers,2003800,number,Tonnes
1971,Number of Farm Holdings,64882,number,Number of farm holdings
1971,Total Area of Farms,17422800,number,Hectares
1971,Total Dairy Cattle (including Bobby Calves),3198000,number,Number of cattle
1971,Rising 1 Year Old Dairy Heifers and Heifer Calves,551300,number,Number of cattle
1971,"Beef Cows and Heifers, Bred from",1689000,number,Number of cattle
1971,Total Beef Cattle,4796000,number,Number of cattle
1971,Total Cattle,7995000,number,Number of cattle
1971,Total Pigs,552000,number,Number of pigs
1971,Breeding Ewes 2 Tooth and Over put to Ram,43016700,number,Number of sheep
1971,Total Sheep,58912000,number,Number of sheep
1971,Total Lambs Marked and/or Tailed,39961000,number,Number of sheep
1971,Wheat (area sown),97528,number,Hectares
1971,Oats (area sown),22141,number,Hectares
1971,Barley (area sown),81378,number,Hectares
1971,Field peas (area sown),22534,number,Hectares
1971,Maize (area sown),11982,number,Hectares
1971,Wheat (yield),325646,number,Tonnes
1971,Oats (yield),59751,number,Tonnes
1971,Barley (yield),259314,number,Tonnes
1971,Seed/field peas (yield),51444,number,Tonnes
1971,Maize (yield),101178,number,Tonnes
1971,Total All Fertilisers,2218900,number,Tonnes
1972,Number of Farm Holdings,62789,number,Number of farm holdings
1972,Total Area of Farms,19030400,number,Hectares
1972,Total Dairy Cattle (including Bobby Calves),3288000,number,Number of cattle
1972,Rising 1 Year Old Dairy Heifers and Heifer Calves,469100,number,Number of cattle
1972,"Beef Cows and Heifers, Bred from",1907000,number,Number of cattle
1972,Total Beef Cattle,5344000,number,Number of cattle
1972,Total Cattle,8632000,number,Number of cattle
1972,Total Pigs,477000,number,Number of pigs
1972,Breeding Ewes 2 Tooth and Over put to Ram,44152000,number,Number of sheep
1972,Total Sheep,60883000,number,Number of sheep
1972,Total Lambs Marked and/or Tailed,40610000,number,Number of sheep
1972,Wheat (area sown),106596,number,Hectares
1972,Oats (area sown),16374,number,Hectares
1972,Barley (area sown),96263,number,Hectares
1972,Field peas (area sown),22454,number,Hectares
1972,Maize (area sown),14806,number,Hectares
1972,Wheat (yield),383663,number,Tonnes
1972,Oats (yield),49456,number,Tonnes
1972,Barley (yield),335484,number,Tonnes
1972,Seed/field peas (yield),57518,number,Tonnes
1972,Maize (yield),116226,number,Tonnes
1972,Total All Fertilisers,2189600,number,Tonnes
1973,Number of Farm Holdings,63196,number,Number of farm holdings
1973,Total Area of Farms,20667400,number,Hectares
1973,Total Dairy Cattle (including Bobby Calves),3159000,number,Number of cattle
1973,Rising 1 Year Old Dairy Heifers and Heifer Calves,463200,number,Number of cattle
1973,"Beef Cows and Heifers, Bred from",1982000,number,Number of cattle
1973,Total Beef Cattle,5765000,number,Number of cattle
1973,Total Cattle,8924000,number,Number of cattle
1973,Total Pigs,476000,number,Number of pigs
1973,Breeding Ewes 2 Tooth and Over put to Ram,41016700,number,Number of sheep
1973,Total Sheep,56684000,number,Number of sheep
1973,Total Lambs Marked and/or Tailed,40613000,number,Number of sheep
1973,Wheat (area sown),107690,number,Hectares
1973,Oats (area sown),15079,number,Hectares
1973,Barley (area sown),73800,number,Hectares
1973,Field peas (area sown),21390,number,Hectares
1973,Maize (area sown),12858,number,Hectares
1973,Wheat (yield),376111,number,Tonnes
1973,Oats (yield),44965,number,Tonnes
1973,Barley (yield),258261,number,Tonnes
1973,Seed/field peas (yield),59733,number,Tonnes
1973,Maize (yield),117506,number,Tonnes
1974,Number of Farm Holdings,63455,number,Number of farm holdings
1974,Total Area of Farms,20722000,number,Hectares
1974,Total Dairy Cattle (including Bobby Calves),3074000,number,Number of cattle
1974,Rising 1 Year Old Dairy Heifers and Heifer Calves,423500,number,Number of cattle
1974,"Beef Cows and Heifers, Bred from",2064000,number,Number of cattle
1974,Total Beef Cattle,6237000,number,Number of cattle
1974,Total Cattle,9311000,number,Number of cattle
1974,Total Pigs,462000,number,Number of pigs
1974,Breeding Ewes 2 Tooth and Over put to Ram,40366300,number,Number of sheep
1974,Total Sheep,55883000,number,Number of sheep
1974,Total Lambs Marked and/or Tailed,37304000,number,Number of sheep
1974,Wheat (area sown),67414,number,Hectares
1974,Oats (area sown),21451,number,Hectares
1974,Barley (area sown),87143,number,Hectares
1974,Field peas (area sown),20357,number,Hectares
1974,Maize (area sown),12516,number,Hectares
1974,Wheat (yield),214582,number,Tonnes
1974,Oats (yield),63226,number,Tonnes
1974,Barley (yield),241569,number,Tonnes
1974,Seed/field peas (yield),52892,number,Tonnes
1974,Maize (yield),88305,number,Tonnes
1975,Number of Farm Holdings,67063,number,Number of farm holdings
1975,Total Area of Farms,20937800,number,Hectares
1975,Total Dairy Cattle (including Bobby Calves),2998000,number,Number of cattle
1975,Rising 1 Year Old Dairy Heifers and Heifer Calves,374300,number,Number of cattle
1975,"Beef Cows and Heifers, Bred from",2311000,number,Number of cattle
1975,Total Beef Cattle,6294000,number,Number of cattle
1975,Total Cattle,9292000,number,Number of cattle
1975,Total Pigs,422000,number,Number of pigs
1975,Breeding Ewes 2 Tooth and Over put to Ram,41107600,number,Number of sheep
1975,Total Sheep,55320000,number,Number of sheep
1975,Total Lambs Marked and/or Tailed,37411000,number,Number of sheep
1975,Wheat (area sown),57656,number,Hectares
1975,Oats (area sown),19036,number,Hectares
