text,speaker,season,episode,scene,utterance
Fine! Be murky!,Phoebe Buffay,1,1,1,32
"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",Ross Geller,1,1,1,33
No you don't.,Monica Geller,1,1,1,34
"No I don't, to hell with her, she left me!",Ross Geller,1,1,1,35
And you never knew she was a lesbian...,Joey Tribbiani,1,1,1,36
"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",Ross Geller,1,1,1,37
Sometimes I wish I was a lesbian... Did I say that out loud?,Chandler Bing,1,1,1,38
"I told mom and dad last night, they seemed to take it pretty well.",Ross Geller,1,1,1,39
"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?",Monica Geller,1,1,1,40
Sorry.,Ross Geller,1,1,1,41
"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",Joey Tribbiani,1,1,1,42
(Ross gestures his consent.),Scene Directions,1,1,1,43
"Strip joint! C'mon, you're single! Have some hormones!",Joey Tribbiani,1,1,1,44
"I don't want to be single, okay? I just... I just- I just wanna be married again!",Ross Geller,1,1,1,45
(Rachel enters in a wet wedding dress and starts to search the room.),Scene Directions,1,1,1,46
And I just want a million dollars!,Chandler Bing,1,1,1,47
Rachel?!,Monica Geller,1,1,1,48
"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",Rachel Green,1,1,1,49
Can I get you some coffee?,Waitress,1,1,1,50
"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",Monica Geller,1,1,1,51
"Hi, sure!",Rachel Green,1,1,1,52
Hi.,Ross Geller,1,1,1,53
(They go to hug but Ross's umbrella opens. He sits back down defeated again. A moment of silence follows as Rachel sits and the others expect her to explain.),Scene Directions,1,1,1,54
"So you wanna tell us now, or are we waiting for four wet bridesmaids?",Monica Geller,1,1,1,55
"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",Rachel Green,1,1,1,56
Who wasn't invited to the wedding.,Monica Geller,1,1,1,57
"Ooh, I was kinda hoping that wouldn't be an issue...",Rachel Green,1,1,1,58
"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",Monica Geller,1,1,2,1
Tuna or egg salad? Decide!,Chandler Bing,1,1,2,2
I'll have whatever Christine is having.,Ross Geller,1,1,2,3
"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",Rachel Green,1,1,2,4
"(The scene on TV has changed to show two women, one is holding her hair.)",Scene Directions,1,1,2,5
"If I let go of my hair, my head will fall off.",Phoebe Buffay,1,1,2,6
"Ooh, she should not be wearing those pants.",Chandler Bing,1,1,2,7
I say push her down the stairs.,Joey Tribbiani,1,1,2,8
Push her down the stairs! Push her down the stairs! Push her down the stairs!,NA,1,1,2,9
(She is pushed down the stairs and everyone cheers.),Scene Directions,1,1,2,10
"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",Rachel Green,1,1,2,11
You can see where he'd have trouble.,Ross Geller,1,1,2,12
"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",Rachel Green,1,1,2,13
"Well, I guess we've established who's staying here with Monica...",Monica Geller,1,1,2,14
"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",Rachel Green,1,1,2,15
"[Time Lapse, Rachel is breating into a paper bag.]",Scene Directions,1,1,2,16
"Just breathe, breathe.. that's it. Just try to think of nice calm things...",Monica Geller,1,1,2,17
"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...",Phoebe Buffay,1,1,2,18
I'm all better now.,Rachel Green,1,1,2,19
I helped!,Phoebe Buffay,1,1,2,20
"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",Monica Geller,1,1,2,21
"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",Joey Tribbiani,1,1,2,22
"Joey, stop hitting on her! It's her wedding day!",Monica Geller,1,1,2,23
"What, like there's a rule or something?",Joey Tribbiani,1,1,2,24
(The door buzzer sounds and Chandler gets it.),Scene Directions,1,1,2,25
"Please don't do that again, it's a horrible sound.",Chandler Bing,1,1,2,26
"It's, uh, it's Paul.",Paul the Wine Guy,1,1,2,27
"Oh God, is it 6:30? Buzz him in!",Monica Geller,1,1,2,28
Who's Paul?,Joey Tribbiani,1,1,2,29
"Paul the Wine Guy, Paul?",Ross Geller,1,1,2,30
Maybe. Joey: Wait. Your 'not a real date' tonight is with Paul the Wine Guy?,Monica Geller,1,1,2,31
He finally asked you out?,Ross Geller,1,1,2,32
Yes!,Monica Geller,1,1,2,33
"Ooh, this is a Dear Diary moment.",Chandler Bing,1,1,2,34
"Rach, wait, I can cancel...",Monica Geller,1,1,2,35
"Please, no, go, that'd be fine!",Rachel Green,1,1,2,36
"Are, are you okay? I mean, do you want me to stay?",Monica Geller,1,1,2,37
That'd be good...,Ross Geller,1,1,2,38
Really?,Monica Geller,1,1,2,39
"No, go on! It's Paul the Wine Guy!",Ross Geller,1,1,2,40
"What does that mean? Does he sell it, drink it, or just complain a lot?",Phoebe Buffay,1,1,2,41
(There's a knock on the door and it's Paul.),Scene Directions,1,1,2,42
"Hi, come in! Paul, this is.. ... everybody, everybody, this is Paul.",Monica Geller,1,1,2,43
Hey! Paul! Hi! The Wine Guy! Hey!,#ALL#,1,1,2,44
"I'm sorry, I didn't catch your name. Paul, was it?",Chandler Bing,1,1,2,45
"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",Monica Geller,1,1,2,46
A wandering?,Ross Geller,1,1,2,47
"Change! Okay, sit down. Two seconds.",Monica Geller,1,1,2,48
"Ooh, I just pulled out four eyelashes. That can't be good.",Phoebe Buffay,1,1,2,49
(Monica goes to change.),Scene Directions,1,1,2,50
"Hey, Paul!",Joey Tribbiani,1,1,2,51
Yeah?,Paul the Wine Guy,1,1,2,52
"Here's a little tip, she really likes it when you rub her neck in the same spot over and over and over again until it starts to get a little red.",Joey Tribbiani,1,1,2,53
"Shut up, Joey!",Monica Geller,1,1,2,54
"So Rachel, what're you, uh... what're you up to tonight?",Ross Geller,1,1,2,55
"Well, I was kinda supposed to be headed for Aruba on my honeymoon, so nothing!",Rachel Green,1,1,2,56
"Right, you're not even getting your honeymoon, God.. No, no, although, Aruba, this time of year... talk about your- -big lizards... Anyway, if you don't feel like being alone tonight, Joey and Chandler are coming over to help me put together my new furniture.",Ross Geller,1,1,2,57
"Yes, and we're very excited about it.",Chandler Bing,1,1,2,58
"Well actually thanks, but I think I'm just gonna hang out here tonight. It's been kinda a long day.",Rachel Green,1,1,2,59
"Okay, sure.",Ross Geller,1,1,2,60
"Hey Pheebs, you wanna help?",Joey Tribbiani,1,1,2,61
"Oh, I wish I could, but I don't want to.",Phoebe Buffay,1,1,2,62
"Love is sweet as summer showers, love is a wondrous work of art, but your love oh your love, your love...is like a giant pigeon...crapping on my heart. La-la-la-la-la- Thank you. La-la-la-la...ohhh!",Phoebe Buffay,1,1,3,1
"I'm supposed to attach a brackety thing to the side things, using a bunch of these little worm guys. I have no brackety thing, I see no whim guys whatsoever and- I cannot feel my legs.",Ross Geller,1,1,4,1
(Joey and Chandler are finishing assembling the bookcase.),Scene Directions,1,1,4,2
I'm thinking we've got a bookcase here.,Joey Tribbiani,1,1,4,3
It's a beautiful thing.,Chandler Bing,1,1,4,4
What's this?,Joey Tribbiani,1,1,4,5
I would have to say that is an 'L'-shaped bracket.,Chandler Bing,1,1,4,6
Which goes where?,Joey Tribbiani,1,1,4,7
I have no idea.,Chandler Bing,1,1,4,8
(Joey checks that Ross is not looking and dumps it in a plant.),Scene Directions,1,1,4,9
Done with the bookcase!,Joey Tribbiani,1,1,4,10
All finished!,Chandler Bing,1,1,4,11
"This was Carol's favorite beer. She always drank it out of the can, I should have known.",Ross Geller,1,1,4,12
"Hey-hey-hey-hey, if you're gonna start with that stuff we're outta here.",Joey Tribbiani,1,1,4,13
"Yes, please don't spoil all this fun.",Chandler Bing,1,1,4,14
"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",Joey Tribbiani,1,1,4,15
You guys.,Ross Geller,1,1,4,16
"Oh, God.",Chandler Bing,1,1,4,17
You got screwed.,Joey Tribbiani,1,1,4,18
Oh my God!,Chandler Bing,1,1,4,19
Oh my God!,Monica Geller,1,1,5,1
"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",Paul the Wine Guy,1,1,5,2
"My brother's going through that right now, he's such a mess. How did you get through it?",Monica Geller,1,1,5,3
"Well, you might try accidentally breaking something valuable of hers, say her-",Paul the Wine Guy,1,1,5,4
-leg?,Monica Geller,1,1,5,5
"That's one way! Me, I- I went for the watch.",Paul the Wine Guy,1,1,5,6
"You actually broke her watch? Wow! The worst thing I ever did was, I-I shredded by boyfriend's favorite bath towel.",Monica Geller,1,1,5,7
"Ooh, steer clear of you.",Paul the Wine Guy,1,1,5,8
That's right.,Monica Geller,1,1,5,9
"Barry, I'm sorry... I am so sorry... I know you probably think that this is all about what I said the other day about you making love with your socks on, but it isn't... it isn't, it's about me, and I ju- Hi, machine cut me off again... anyway...look, look, I know that some girl is going to be incredibly lucky to become Mrs. Barry Finkel, but it isn't me, it's not me. And not that I have any idea who me is right now, but you just have to give me a chance too...",Rachel Green,1,1,6,1
I'm divorced! I'm only 26 and I'm divorced!,Ross Geller,1,1,7,1
Shut up!,Joey Tribbiani,1,1,7,2
You must stop!,Chandler Bing,1,1,7,3
That only took me an hour.,Ross Geller,1,1,7,4
"Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!",Chandler Bing,1,1,7,5
"You know what the scariest part is? What if there's only one woman for everybody, y'know? I mean what if you get one woman- and that's it? Unfortunately in my case, there was only one woman- for her...",Ross Geller,1,1,7,6
"What are you talking about? 'One woman'? That's like saying there's only one flavor of ice cream for you. Lemme tell you something, Ross. There's lots of flavors out there. There's Rocky Road, and Cookie Dough, and Bing! Cherry Vanilla. You could get 'em with Jimmies, or nuts, or whipped cream! This is the best thing that ever happened to you! You got married, you were, like, what, eight? Welcome back to the world! Grab a spoon!",Joey Tribbiani,1,1,7,7
I honestly don't know if I'm hungry or horny.,Ross Geller,1,1,7,8
Stay out of my freezer!,Chandler Bing,1,1,7,9
"Ever since she walked out on me, I, uh...",Paul the Wine Guy,1,1,8,1
"What?..... What, you wanna spell it out with noodles?",Monica Geller,1,1,8,2
"No, it's, it's more of a fifth date kinda revelation.",Paul the Wine Guy,1,1,8,3
"Oh, so there is gonna be a fifth date?",Monica Geller,1,1,8,4
Isn't there?,Paul the Wine Guy,1,1,8,5
"Yeah... yeah, I think there is. -What were you gonna say?",Monica Geller,1,1,8,6
"Well, ever-ev-... ever since she left me, um, I haven't been able to, uh, perform. ...Sexually.",Paul the Wine Guy,1,1,8,7
"Oh God, oh God, I am sorry... I am so sorry...",Monica Geller,1,1,8,8
It's okay...,Paul the Wine Guy,1,1,8,9
I know being spit on is probably not what you need right now. Um... how long?,Monica Geller,1,1,8,10
Two years.,Paul the Wine Guy,1,1,8,11
Wow! I'm-I'm-I'm glad you smashed her watch!,Monica Geller,1,1,8,12
"So you still think you, um... might want that fifth date?",Paul the Wine Guy,1,1,8,13
"...Yeah. Yeah, I do.",Monica Geller,1,1,8,14
"We are gathered here today to join Joanne Louise Cunningham and Charles, Chachi-Chachi-Chachi, Arcola in the bound of holy matrimony.",Priest On Tv,1,1,9,1
Oh...see... but Joanne loved Chachi! That's the difference!,Rachel Green,1,1,9,2
"Grab a spoon. Do you know how long it's been since I've grabbed a spoon? Do the words 'Billy, don't be a hero' mean anything to you?",Ross Geller,1,1,10,1
"Great story! But, I uh, I gotta go, I got a date with Andrea--Angela--Andrea... Oh man,",Joey Tribbiani,1,1,10,2
"Angela's the screamer, Andrea has cats.",Chandler Bing,1,1,10,3
Right. Thanks. It's June. I'm outta here.,Joey Tribbiani,1,1,10,4
"Y'know, here's the thing. Even if I could get it together enough to- to ask a woman out,... who am I gonna ask?",Ross Geller,1,1,10,5
[Cut to Rachel staring out of her window.],Scene Directions,1,1,10,6
"Isn't this amazing? I mean, I have never made coffee before in my entire life.",Rachel Green,1,1,11,1
That is amazing.,Chandler Bing,1,1,11,2
Congratulations.,Joey Tribbiani,1,1,11,3
"Y'know, I figure if I can make coffee, there isn't anything I can't do.",Rachel Green,1,1,11,4
"If can invade Poland, there isn't anything I can't do.",Chandler Bing,1,1,11,5
"Listen, while you're on a roll, if you feel like you gotta make like a Western omelet or something... Although actually I'm really not that hungry...",Joey Tribbiani,1,1,11,6
"Oh good, Lenny and Squigy are here.",Monica Geller,1,1,11,7
Morning. Good morning.,#ALL#,1,1,11,8
Morning.,Paul the Wine Guy,1,1,11,9
"Morning, Paul.",Joey Tribbiani,1,1,11,10
"Hello, Paul.",Rachel Green,1,1,11,11
"Hi, Paul, is it?",Chandler Bing,1,1,11,12
(Monica and Paul walk to the door and talk in a low voice so the others can't hear. The others move Monica's table closer to the door so that they can.),Scene Directions,1,1,11,13
Thank you! Thank you so much!,Paul the Wine Guy,1,1,11,14
Stop!,Monica Geller,1,1,11,15
"No, I'm telling you last night was like umm, all my birthdays, both graduations, plus the barn raising scene in Witness.",Paul the Wine Guy,1,1,11,16
We'll talk later.,Monica Geller,1,1,11,17
Yeah. Thank you.,Paul the Wine Guy,1,1,11,18
That wasn't a real date?! What the hell do you do on a real date?,Joey Tribbiani,1,1,11,19
"Shut up, and put my table back.",Monica Geller,1,1,11,20
Okayyy!,#ALL#,1,1,11,21
"All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...",Chandler Bing,1,1,11,22
"So, like, you guys all have jobs?",Rachel Green,1,1,11,23
"Yeah, we all have jobs. See, that's how we buy stuff.",Monica Geller,1,1,11,24
"Yeah, I'm an actor.",Joey Tribbiani,1,1,11,25
Wow! Would I have seen you in anything?,Rachel Green,1,1,11,26
I doubt it. Mostly regional work.,Joey Tribbiani,1,1,11,27
"Oh wait, wait, unless you happened to catch the Reruns' production of Pinocchio, at the little theater in the park.",Monica Geller,1,1,11,28
"Look, it was a job all right?",Joey Tribbiani,1,1,11,29
"'Look, Gippetto, I'm a real live boy.'",Chandler Bing,1,1,11,30
I will not take this abuse.,Joey Tribbiani,1,1,11,31
"You're right, I'm sorry. ""Once I was a wooden boy, a little wooden boy...""",Chandler Bing,1,1,11,32
"You should both know, that he's a dead man. Oh, Chandler?",Joey Tribbiani,1,1,11,33
So how you doing today? Did you sleep okay? Talk to Barry? I can't stop smiling.,Monica Geller,1,1,11,34
I can see that. You look like you slept with a hanger in your mouth.,Rachel Green,1,1,11,35
"I know, he's just so, so... Do you remember you and Tony DeMarco?",Monica Geller,1,1,11,36
"Oh, yeah.",Rachel Green,1,1,11,37
"Well, it's like that. With feelings.",Monica Geller,1,1,11,38
Oh wow. Are you in trouble.,Rachel Green,1,1,11,39
Big time!,Monica Geller,1,1,11,40
Want a wedding dress? Hardly used.,Rachel Green,1,1,11,41
"I think we are getting a little ahead of selves here. Okay. Okay. I am just going to get up, go to work and not think about him all day. Or else I'm just gonna get up and go to work.",Monica Geller,1,1,11,42
"Oh, look, wish me luck!",Rachel Green,1,1,11,43
What for?,Monica Geller,1,1,11,44
I'm gonna go get one of those job things.,Rachel Green,1,1,11,45
(Monica exits.),Scene Directions,1,1,11,46
"Hey, Monica!",Franny,1,1,12,1
"Hey Frannie, welcome back! How was Florida?",Monica Geller,1,1,12,2
"You had sex, didn't you?",Franny,1,1,12,3
How do you do that?,Monica Geller,1,1,12,4
"Oh, I hate you, I'm pushing my Aunt Roz through Parrot Jungle and you're having sex! So? Who?",Franny,1,1,12,5
You know Paul?,Monica Geller,1,1,12,6
"Paul the Wine Guy? Oh yeah, I know Paul.",Franny,1,1,12,7
You mean you know Paul like I know Paul?,Monica Geller,1,1,12,8
"Are you kidding? I take credit for Paul. Y'know before me, there was no snap in his turtle for two years.",Franny,1,1,12,9
Of course it was a line!,Joey Tribbiani,1,1,13,1
"Why?! Why? Why, why would anybody do something like that?",Monica Geller,1,1,13,2
I assume we're looking for an answer more sophisticated than 'to get you into bed'.,Ross Geller,1,1,13,3
I hate men! I hate men!,Monica Geller,1,1,13,4
"Oh no, don't hate, you don't want to put that out into the universe.",Phoebe Buffay,1,1,13,5
Is it me? Is it like I have some sort of beacon that only dogs and men with severe emotional problems can hear?,Monica Geller,1,1,13,6
"All right, c'mere, gimme your feet.",Phoebe Buffay,1,1,13,7
"I just thought he was nice, y'know?",Monica Geller,1,1,13,8
I can't believe you didn't know it was a line!,Joey Tribbiani,1,1,13,9
(Monica pushes him off of the sofa as Rachel enters with a shopping bag.),Scene Directions,1,1,13,10
Guess what?,Rachel Green,1,1,13,11
You got a job?,Ross Geller,1,1,13,12
Are you kidding? I'm trained for nothing! I was laughed out of twelve interviews today.,Rachel Green,1,1,13,13
And yet you're surprisingly upbeat.,Chandler Bing,1,1,13,14
"You would be too if you found John and David boots on sale, fifty percent off!",Rachel Green,1,1,13,15
"Oh, how well you know me...",Chandler Bing,1,1,13,16
"They're my new 'I don't need a job, I don't need my parents, I've got great boots' boots!",Rachel Green,1,1,13,17
How'd you pay for them?,Monica Geller,1,1,13,18
"Uh, credit card.",Rachel Green,1,1,13,19
And who pays for that?,Monica Geller,1,1,13,20
Um... my... father.,Rachel Green,1,1,13,21
"Oh God, come on you guys, is this really necessary? I mean, I can stop charging anytime I want.",Rachel Green,1,1,14,1
"C'mon, you can't live off your parents your whole life.",Monica Geller,1,1,14,2
I know that. That's why I was getting married.,Rachel Green,1,1,14,3
"Give her a break, it's hard being on your own for the first time.",Phoebe Buffay,1,1,14,4
Thank you.,Rachel Green,1,1,14,5
"You're welcome. I remember when I first came to this city. I was fourteen. My mom had just killed herself and my step-dad was back in prison, and I got here, and I didn't know anybody. And I ended up living with this albino guy who was, like, cleaning windshields outside port authority, and then he killed himself, and then I found aromatherapy. So believe me, I know exactly how you feel.",Phoebe Buffay,1,1,14,6
(Pause),Scene Directions,1,1,14,7
The word you're looking for is 'Anyway'...,Ross Geller,1,1,14,8
"All right, you ready?",Monica Geller,1,1,14,9
"No. No, no, I'm not ready! How can I be ready? ""Hey, Rach! You ready to jump out the airplane without your parachute?"" Come on, I can't do this!",Rachel Green,1,1,14,10
"You can, I know you can!",Monica Geller,1,1,14,11
I don't think so.,Rachel Green,1,1,14,12
"Come on, you made coffee! You can do anything!",Ross Geller,1,1,14,13
"C'mon, cut. Cut, cut, cut,...",Ross Geller,1,1,14,14
"Cut, cut, cut, cut, cut, cut, cut...",#ALL#,1,1,14,15
Y'know what? I think we can just leave it at that. It's kinda like a symbolic gesture...,Rachel Green,1,1,14,16
Rachel! That was a library card!,Monica Geller,1,1,14,17
"Cut, cut, cut, cut, cut, cut, cut..",#ALL#,1,1,14,18
"Y'know, if you listen closely, you can hear a thousand retailers scream.",Chandler Bing,1,1,14,19
(She finishes cutting them up and they all cheer.),Scene Directions,1,1,14,20
Welcome to the real world! It sucks. You're gonna love it!,Monica Geller,1,1,14,21
"[Time Lapse, Rachel and Ross are watching a TV channel finishes it's broadcast day by playing the national anthem.]",Scene Directions,1,1,14,22
"Well, that's it You gonna crash on the couch?",Monica Geller,1,1,14,23
"No. No, I gotta go home sometime.",Ross Geller,1,1,14,24
You be okay?,Monica Geller,1,1,14,25
Yeah.,Ross Geller,1,1,14,26
"Hey Mon, look what I just found on the floor. What?",Rachel Green,1,1,14,27
"That's Paul's watch. You just put it back where you found it. Oh boy. Alright. Goodnight, everybody.",Monica Geller,1,1,14,28
Goodnight.,NA,1,1,14,29
(Monica stomps on Paul's watch and goes into her room.),Scene Directions,1,1,14,30
"Mmm. Oh, no-",Ross Geller,1,1,14,31
Sorry-,Rachel Green,1,1,14,32
"No no no, go-",Ross Geller,1,1,14,33
"No, you have it, really, I don't want it-",Rachel Green,1,1,14,34
Split it?,Ross Geller,1,1,14,35
Okay.,Rachel Green,1,1,14,36
"Okay. You know you probably didn't know this, but back in high school, I had a, um, major crush on you.",Ross Geller,1,1,14,37
I knew.,Rachel Green,1,1,14,38
You did! Oh.... I always figured you just thought I was Monica's geeky older brother.,Ross Geller,1,1,14,39
I did.,Rachel Green,1,1,14,40
"Oh. Listen, do you think- and try not to let my intense vulnerability become any kind of a factor here- but do you think it would be okay if I asked you out? Sometime? Maybe?",Ross Geller,1,1,14,41
"Yeah, maybe...",Rachel Green,1,1,14,42
"Okay... okay, maybe I will...",Ross Geller,1,1,14,43
Goodnight.,Rachel Green,1,1,14,44
Goodnight.,Ross Geller,1,1,14,45
(Rachel goes into her room and Monica enters the living room as Ross is leaving.),Scene Directions,1,1,14,46
"See ya.... Waitwait, what's with you?",Monica Geller,1,1,14,47
I just grabbed a spoon.,Ross Geller,1,1,14,48
I can't believe what I'm hearing here.,Joey Tribbiani,1,1,15,1
I can't believe what I'm hearing here...,Phoebe Buffay,1,1,15,2
What? I-I said you had a-,Monica Geller,1,1,15,3
What I said you had...,Phoebe Buffay,1,1,15,4
Would you stop?,Monica Geller,1,1,15,5
"Oh, was I doing it again?",Phoebe Buffay,1,1,15,6
Yes!,#ALL#,1,1,15,7
"I said that you had a nice butt, it's just not a great butt.",Monica Geller,1,1,15,8
"Oh, you wouldn't know a great butt if it came up and bit ya.",Joey Tribbiani,1,1,15,9
There's an image.,Ross Geller,1,1,15,10
Would anybody like more coffee?,Rachel Green,1,1,15,11
"Did you make it, or are you just serving it?",Chandler Bing,1,1,15,12
I'm just serving it.,Rachel Green,1,1,15,13
"Yeah. Yeah, I'll have a cup of coffee.",#ALL#,1,1,15,14
"Kids, new dream... I'm in Las Vegas.",Chandler Bing,1,1,15,15
"Ahh, miss? More coffee?",Customer,1,1,15,16
"Ugh. Excuse me, could you give this to that guy over there? Go ahead. Thank you. Sorry. Okay, Las Vegas.",Rachel Green,1,1,15,17
"Okay, so, I'm in Las Vegas... I'm Liza Minelli-",Chandler Bing,1,1,15,18
"What you guys don't understand is, for us, kissing is as important as any part of it.",Monica Geller,1,2,1,1
"Yeah, right!.......Y'serious?",Joey Tribbiani,1,2,1,2
"Oh, yeah!",Phoebe Buffay,1,2,1,3
Everything you need to know is in that first kiss.,Rachel Green,1,2,1,4
Absolutely.,Monica Geller,1,2,1,5
"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",Chandler Bing,1,2,1,6
"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",Ross Geller,1,2,1,7
"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",Chandler Bing,1,2,1,8
"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",Rachel Green,1,2,1,9
....Are we still talking about sex?,Joey Tribbiani,1,2,1,10
"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",Ross Geller,1,2,2,1
"Well, she has issues.",Marsha,1,2,2,2
Does she.,Ross Geller,1,2,2,3
"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",Marsha,1,2,2,4
"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",Ross Geller,1,2,2,5
"Speaking of issues, isn't that your ex-wife?",Marsha,1,2,2,6
"(Carol, Ross's ex-wife, has entered behind them and is standing outstide the exhibit.)",Scene Directions,1,2,2,7
No. No.,Ross Geller,1,2,2,8
"Yes, it is. Carol! Hi!",Marsha,1,2,2,9
"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",Ross Geller,1,2,2,10
(Marsha extis and Ross waves Carol into the exhibit.),Scene Directions,1,2,2,11
Hi.,Ross Geller,1,2,2,12
So.,Carol Willick,1,2,2,13
"You look great. I, uh... I hate that.",Ross Geller,1,2,2,14
Sorry. You look good too.,Carol Willick,1,2,2,15
"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",Ross Geller,1,2,2,16
A lesbian?,Carol Willick,1,2,2,17
"Well... you never know. How's, um.. how's the family?",Ross Geller,1,2,2,18
"Marty's still totally paranoid. Oh, and, uh-",Carol Willick,1,2,2,19
"Why- why are you here, Carol?",Ross Geller,1,2,2,20
I'm pregnant.,Carol Willick,1,2,2,21
Pregnant?!,Ross Geller,1,2,2,22
"Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.",Chandler Bing,1,2,3,1
...Then I've already seen this one!,Phoebe Buffay,1,2,3,2
Are you through with that?,Monica Geller,1,2,3,3
