season,episode,scene,utterance,emotion
1,3,1,1,Joyful
1,3,1,2,Joyful
1,3,1,3,Joyful
1,3,1,4,Sad
1,3,1,5,Sad
1,3,1,6,Neutral
1,3,1,7,Neutral
1,3,1,8,Neutral
1,3,1,9,Neutral
1,3,1,10,Neutral
1,3,1,11,Mad
1,3,1,12,Neutral
1,3,1,13,Neutral
1,3,1,14,Neutral
1,3,1,15,Neutral
1,3,1,16,Neutral
1,3,1,17,Scared
1,3,2,1,Neutral
1,3,2,2,Peaceful
1,3,2,3,Joyful
1,3,2,4,Powerful
1,3,2,5,Neutral
1,3,2,6,Neutral
1,3,2,7,Neutral
1,3,2,9,Neutral
1,3,2,10,Scared
1,3,2,11,Powerful
1,3,2,13,Powerful
1,3,2,14,Scared
1,3,2,15,Powerful
1,3,2,16,Powerful
1,3,2,17,Neutral
1,3,2,19,Neutral
1,3,2,20,Neutral
1,3,2,21,Powerful
1,3,2,23,Powerful
1,3,2,24,Neutral
1,3,2,25,Scared
1,3,6,1,Neutral
1,3,6,2,Neutral
1,3,6,3,Joyful
1,3,6,4,Joyful
1,3,6,5,Neutral
1,3,6,6,Joyful
1,3,6,7,Sad
1,3,6,8,Joyful
1,3,6,9,Scared
1,3,6,10,Neutral
1,3,6,11,Neutral
1,3,6,12,Mad
1,3,6,13,Joyful
1,3,6,14,Joyful
1,3,7,1,Neutral
1,3,7,2,Neutral
1,3,7,3,Neutral
1,3,7,4,Neutral
1,3,7,5,Neutral
1,3,7,6,Neutral
1,3,7,7,Neutral
1,3,7,8,Joyful
1,3,7,9,Neutral
1,3,7,10,Neutral
1,3,7,11,Neutral
1,3,7,12,Neutral
1,3,7,13,Neutral
1,3,7,14,Joyful
1,3,7,15,Neutral
1,3,7,16,Neutral
1,3,7,17,Neutral
1,3,7,18,Neutral
1,3,7,19,Neutral
1,3,9,1,Neutral
1,3,9,3,Scared
1,3,9,4,Mad
1,3,9,5,Neutral
1,3,9,6,Neutral
1,3,9,7,Scared
1,3,9,9,Scared
1,3,9,10,Scared
1,3,9,11,Neutral
1,3,9,12,Neutral
1,3,9,13,Scared
1,3,9,15,Sad
1,3,9,16,Neutral
1,3,9,17,Neutral
1,3,9,19,Joyful
1,3,9,20,Joyful
1,3,9,22,Neutral
1,3,9,23,Neutral
1,3,9,24,Neutral
1,3,9,25,Mad
1,3,10,1,Neutral
1,3,10,2,Neutral
1,3,10,3,Peaceful
1,3,10,4,Joyful
1,3,10,5,Scared
1,3,10,6,Powerful
1,3,10,7,Sad
1,3,10,8,Powerful
1,3,10,9,Sad
1,3,11,1,Neutral
1,3,11,2,Mad
1,3,11,3,Mad
1,3,11,4,Neutral
1,3,11,5,Joyful
1,3,11,6,Peaceful
1,3,11,7,Sad
1,3,11,8,Neutral
1,3,13,1,Joyful
1,3,13,2,Sad
1,3,13,3,Peaceful
1,3,13,4,Neutral
1,3,13,5,Mad
1,3,14,1,Peaceful
1,3,14,2,Powerful
1,3,14,3,Neutral
1,3,14,4,Peaceful
1,3,14,5,Neutral
1,3,14,6,Sad
1,3,14,7,Scared
1,3,14,8,Sad
1,3,14,9,Peaceful
1,3,14,10,Powerful
1,3,14,11,Mad
1,3,14,12,Scared
1,3,14,13,Powerful
1,3,14,14,Neutral
1,4,1,1,Neutral
1,4,1,2,Joyful
1,4,1,3,Joyful
1,4,1,4,Joyful
1,4,1,5,Joyful
1,4,1,6,Joyful
1,4,1,7,Neutral
1,4,1,8,Neutral
1,4,1,9,Neutral
1,4,1,10,Sad
1,4,1,11,Neutral
1,4,1,12,Sad
1,4,3,1,Joyful
1,4,3,2,Joyful
1,4,3,3,Neutral
1,4,3,4,Neutral
1,4,3,6,Neutral
1,4,3,7,Neutral
1,4,3,8,Joyful
1,4,3,9,Neutral
1,4,3,10,Joyful
1,4,3,11,Joyful
1,4,3,12,Joyful
1,4,3,13,Neutral
1,4,3,14,Joyful
1,4,4,1,Joyful
1,4,4,2,Joyful
1,4,4,3,Neutral
1,4,4,4,Neutral
1,4,4,5,Neutral
1,4,4,6,Mad
1,4,4,7,Neutral
1,4,4,8,Mad
1,4,4,9,Neutral
1,4,4,10,Neutral
1,4,4,11,Neutral
1,4,5,1,Joyful
1,4,5,2,Neutral
1,4,5,3,Neutral
1,4,5,4,Neutral
1,4,5,5,Joyful
1,4,5,6,Joyful
1,4,5,7,Neutral
1,4,5,8,Scared
1,4,5,9,Neutral
1,4,5,10,Scared
1,4,5,11,Joyful
1,4,5,12,Mad
1,4,5,13,Neutral
1,4,5,14,Sad
1,4,7,1,Joyful
1,4,7,2,Sad
1,4,7,3,Neutral
1,4,7,4,Neutral
1,4,7,5,Neutral
1,4,7,6,Neutral
1,4,7,7,Joyful
1,4,7,8,Neutral
1,4,7,9,Neutral
1,4,7,10,Neutral
1,4,7,11,Neutral
1,4,7,12,Neutral
1,4,7,13,Neutral
1,4,7,14,Neutral
1,4,7,15,Scared
1,4,7,16,Neutral
1,4,7,17,Neutral
1,4,7,18,Neutral
1,4,8,1,Mad
1,4,8,2,Neutral
1,4,8,3,Powerful
1,4,8,4,Joyful
1,4,8,5,Joyful
1,4,8,7,Joyful
1,4,9,1,Neutral
1,4,9,2,Mad
1,4,9,3,Mad
1,4,9,4,Mad
1,4,9,5,Mad
1,4,9,6,Mad
1,4,9,7,Neutral
1,4,9,8,Mad
1,4,9,9,Mad
1,4,12,1,Neutral
1,4,12,2,Neutral
1,4,12,3,Neutral
1,4,12,4,Joyful
1,4,12,5,Mad
1,4,12,6,Neutral
1,4,12,7,Neutral
1,4,12,8,Neutral
1,4,12,9,Neutral
1,4,13,1,Peaceful
1,4,13,2,Mad
1,4,13,3,Neutral
1,4,13,4,Scared
1,4,13,5,Joyful
1,4,13,6,Mad
1,4,13,7,Neutral
1,4,13,8,Scared
1,4,13,9,Neutral
1,4,13,10,Sad
1,4,13,11,Neutral
1,4,13,12,Neutral
1,4,13,13,Joyful
1,4,14,1,Joyful
1,4,14,2,Neutral
1,4,14,3,Joyful
1,4,14,4,Mad
1,4,14,5,Mad
1,4,14,6,Neutral
1,4,14,7,Neutral
1,4,14,8,Neutral
1,4,14,9,Mad
1,4,14,10,Powerful
1,4,14,11,Mad
1,4,14,12,Joyful
1,4,14,13,Mad
1,4,14,14,Mad
1,4,14,15,Joyful
1,4,14,16,Neutral
1,4,14,17,Joyful
1,4,14,18,Joyful
1,4,14,19,Joyful
1,4,14,20,Joyful
1,4,15,1,Joyful
1,4,15,2,Neutral
1,4,15,3,Scared
1,4,15,4,Powerful
1,4,15,5,Neutral
1,4,15,6,Mad
1,4,15,7,Joyful
1,4,15,8,Joyful
1,4,15,9,Mad
1,4,15,10,Neutral
1,4,15,11,Mad
1,4,15,12,Powerful
1,4,15,13,Powerful
1,4,15,14,Powerful
1,4,15,15,Powerful
1,4,15,16,Mad
1,4,15,17,Mad
1,4,15,18,Mad
1,4,15,19,Mad
1,4,15,20,Joyful
1,4,16,1,Joyful
1,4,16,2,Joyful
1,4,16,4,Neutral
1,4,16,5,Joyful
1,4,16,7,Neutral
1,4,16,8,Neutral
1,4,16,9,Neutral
1,4,16,10,Neutral
1,4,16,11,Neutral
1,4,16,12,Neutral
1,4,16,13,Joyful
1,4,16,14,Neutral
1,5,1,1,Mad
1,5,1,2,Mad
1,5,1,3,Mad
1,5,1,4,Peaceful
1,5,1,5,Neutral
1,5,1,6,Mad
1,5,1,8,Neutral
1,5,3,1,Joyful
1,5,3,2,Mad
1,5,3,3,Joyful
1,5,3,4,Scared
1,5,3,5,Neutral
1,5,3,6,Mad
1,5,3,7,Sad
1,5,3,8,Neutral
1,5,3,9,Sad
1,5,4,1,Neutral
1,5,4,2,Neutral
1,5,4,3,Neutral
1,5,4,4,Joyful
1,5,4,5,Neutral
1,5,4,6,Neutral
1,5,4,7,Scared
1,5,4,8,Joyful
1,5,4,9,Neutral
1,5,4,10,Neutral
1,5,4,11,Peaceful
1,5,4,12,Peaceful
1,5,5,1,Joyful
1,5,5,2,Neutral
1,5,5,3,Neutral
1,5,5,4,Neutral
1,5,5,5,Mad
1,5,5,6,Neutral
1,5,5,7,Scared
1,5,5,9,Neutral
1,5,5,10,Sad
1,5,6,1,Scared
1,5,6,2,Joyful
1,5,6,3,Joyful
1,5,6,4,Mad
1,5,6,6,Neutral
1,5,6,7,Neutral
1,5,6,8,Neutral
1,5,6,9,Sad
1,5,6,10,Neutral
1,5,6,11,Neutral
1,5,6,13,Neutral
1,5,6,14,Neutral
1,5,6,15,Neutral
1,5,6,16,Neutral
1,5,6,17,Joyful
1,5,6,18,Neutral
1,5,6,19,Joyful
1,5,6,21,Neutral
1,5,6,22,Neutral
1,5,6,24,Neutral
1,5,6,25,Neutral
1,5,6,26,Neutral
1,5,6,27,Neutral
1,5,8,1,Joyful
1,5,8,2,Neutral
1,5,8,3,Neutral
1,5,8,4,Neutral
1,5,8,5,Scared
1,5,8,6,Neutral
1,5,8,7,Scared
1,5,9,1,Joyful
1,5,9,2,Joyful
1,5,9,3,Joyful
1,5,9,4,Neutral
1,5,9,5,Joyful
1,5,9,6,Joyful
1,5,9,7,Joyful
1,5,10,1,Joyful
1,5,10,2,Neutral
1,5,10,3,Joyful
1,5,10,4,Joyful
1,5,10,5,Joyful
1,5,10,6,Neutral
1,5,12,1,Powerful
1,5,12,2,Scared
1,5,12,3,Scared
1,5,12,4,Scared
1,5,12,5,Scared
1,5,12,6,Mad
1,5,12,7,Scared
1,5,12,8,Sad
1,5,12,9,Sad
1,5,12,10,Sad
1,5,12,11,Sad
1,5,13,1,Scared
1,5,13,3,Scared
1,5,13,4,Neutral
1,5,13,5,Neutral
1,5,13,6,Neutral
1,5,13,7,Powerful
1,5,13,8,Peaceful
1,5,13,9,Sad
1,5,13,10,Neutral
1,5,13,11,Mad
1,5,13,12,Neutral
1,5,13,13,Neutral
1,5,13,14,Joyful
1,5,13,15,Neutral
1,5,13,16,Neutral
1,5,13,17,Neutral
1,5,13,18,Peaceful
1,5,13,20,Scared
1,5,13,22,Neutral
1,5,14,1,Joyful
1,5,14,2,Sad
1,5,14,3,Scared
1,5,14,4,Mad
1,5,14,6,Joyful
1,5,14,7,Scared
1,5,14,8,Scared
1,5,14,9,Joyful
1,5,14,10,Neutral
1,5,14,11,Neutral
1,5,14,13,Scared
1,5,14,14,Neutral
1,5,14,16,Scared
1,5,14,17,Joyful
1,5,14,18,Joyful
1,5,14,19,Joyful
1,5,15,1,Neutral
1,5,15,2,Neutral
1,5,15,4,Mad
1,5,15,5,Mad
1,5,15,7,Mad
1,5,15,8,Mad
1,5,15,9,Mad
1,5,15,10,Mad
1,5,15,12,Mad
1,5,15,14,Joyful
1,5,15,15,Joyful
1,5,15,16,Joyful
1,5,15,18,Peaceful
1,5,15,19,Neutral
1,5,15,20,Mad
1,5,16,1,Neutral
1,5,16,2,Neutral
1,5,16,3,Scared
1,5,16,4,Joyful
1,5,16,5,Joyful
1,5,16,7,Neutral
1,5,16,8,Neutral
1,5,16,9,Joyful
1,5,16,10,Neutral
1,5,16,11,Mad
1,5,16,12,Sad
1,5,16,13,Neutral
1,5,16,14,Neutral
1,5,16,16,Joyful
1,5,16,17,Neutral
1,6,1,1,Joyful
1,6,1,2,Neutral
1,6,1,3,Joyful
1,6,1,5,Peaceful
1,6,1,7,Neutral
1,6,1,8,Joyful
1,6,5,1,Neutral
1,6,5,3,Neutral
1,6,5,4,Neutral
1,6,5,5,Joyful
1,6,5,6,Scared
1,6,5,7,Joyful
1,6,5,9,Neutral
1,6,5,10,Joyful
1,6,5,11,Scared
1,6,5,12,Neutral
1,6,5,14,Mad
1,6,5,15,Neutral
1,6,5,16,Neutral
1,6,5,17,Neutral
1,6,5,18,Neutral
1,6,5,19,Neutral
1,6,5,20,Neutral
1,6,6,1,Powerful
1,6,6,2,Scared
1,6,6,3,Powerful
1,6,6,4,Scared
1,6,6,5,Powerful
1,6,6,6,Scared
1,6,6,7,Powerful
1,6,6,9,Mad
1,6,6,10,Scared
1,6,6,11,Mad
1,6,6,12,Scared
1,6,6,13,Mad
1,6,6,14,Mad
1,7,3,1,Joyful
1,7,3,2,Scared
1,7,3,3,Joyful
1,7,3,4,Mad
1,7,3,5,Scared
1,7,3,7,Neutral
1,7,4,1,Joyful
1,7,4,2,Neutral
1,7,4,3,Scared
1,7,4,4,Neutral
1,7,4,5,Neutral
1,7,4,6,Neutral
1,7,4,7,Joyful
1,7,5,1,Neutral
1,7,5,2,Neutral
1,7,5,3,Joyful
1,7,5,4,Mad
1,7,5,6,Sad
1,7,6,1,Joyful
1,7,6,3,Joyful
1,7,6,5,Scared
1,7,6,6,Joyful
1,7,6,7,Joyful
1,7,7,1,Neutral
1,7,7,2,Neutral
1,7,7,3,Scared
1,7,7,4,Sad
1,7,7,5,Scared
1,7,7,6,Scared
1,7,7,7,Scared
1,7,7,8,Mad
1,7,7,9,Neutral
1,7,7,10,Scared
1,7,7,11,Joyful
1,7,7,12,Peaceful
1,7,11,1,Joyful
1,7,11,2,Joyful
1,7,11,3,Neutral
1,7,11,4,Neutral
1,7,11,5,Joyful
1,7,11,6,Neutral
1,7,11,7,Peaceful
1,7,11,8,Scared
1,7,11,10,Powerful
1,7,12,1,Peaceful
1,7,12,3,Neutral
1,7,12,4,Scared
1,7,12,5,Neutral
1,7,12,6,Scared
1,7,12,7,Neutral
1,7,14,1,Scared
1,7,14,2,Powerful
1,7,14,3,Mad
1,7,14,4,Mad
1,7,14,5,Mad
1,7,14,6,Mad
1,7,14,7,Scared
1,7,14,8,Powerful
1,7,14,9,Peaceful
1,7,14,10,Mad
1,7,14,11,Mad
1,7,16,1,Joyful
1,7,16,2,Joyful
1,7,16,3,Joyful
1,7,16,4,Joyful
1,7,16,5,Joyful
1,7,16,6,Joyful
1,7,16,7,Joyful
1,7,16,9,Neutral
1,7,16,10,Joyful
1,7,16,11,Joyful
1,7,16,12,Joyful
1,7,16,13,Joyful
1,7,16,14,Joyful
1,7,16,15,Sad
1,7,16,16,Joyful
1,7,16,18,Powerful
1,7,16,19,Neutral
1,7,16,20,Neutral
1,7,16,21,Neutral
1,7,16,23,Joyful
1,7,17,1,Peaceful
1,7,17,3,Joyful
1,7,17,4,Scared
1,7,17,6,Scared
1,7,17,8,Powerful
1,7,17,9,Neutral
1,7,17,10,Neutral
1,7,20,1,Scared
1,7,20,2,Neutral
1,7,20,3,Joyful
1,7,20,4,Scared
1,7,20,5,Joyful
1,7,20,7,Joyful
1,7,20,9,Joyful
1,7,20,10,Joyful
1,8,1,1,Joyful
1,8,1,2,Joyful
1,8,1,3,Sad
1,8,1,4,Powerful
1,8,1,5,Joyful
1,8,1,6,Peaceful
1,8,1,7,Mad
1,8,1,8,Scared
1,8,2,1,Mad
1,8,2,2,Neutral
1,8,2,3,Neutral
1,8,2,4,Mad
1,8,2,5,Neutral
1,8,2,6,Neutral
1,8,2,7,Neutral
1,8,2,8,Neutral
1,8,2,9,Scared
1,8,2,10,Neutral
1,8,2,11,Neutral
1,8,2,13,Neutral
1,8,2,14,Peaceful
1,8,2,15,Neutral
1,8,2,16,Neutral
1,8,2,17,Mad
1,8,2,18,Neutral
1,8,2,19,Peaceful
1,8,2,20,Mad
1,8,2,22,Neutral
1,8,2,23,Neutral
1,8,2,24,Neutral
1,8,2,25,Neutral
1,8,2,26,Neutral
1,8,4,1,Neutral
1,8,4,2,Mad
1,8,4,3,Neutral
1,8,4,5,Neutral
1,8,4,6,Neutral
1,8,4,7,Neutral
1,8,4,8,Sad
1,8,4,9,Neutral
1,8,4,10,Neutral
1,8,4,11,Neutral
1,8,4,12,Neutral
1,8,4,13,Neutral
1,8,4,14,Sad
1,8,4,15,Peaceful
1,8,4,16,Joyful
1,8,4,17,Neutral
1,8,4,18,Neutral
1,8,4,19,Neutral
1,8,5,1,Neutral
1,8,5,2,Joyful
1,8,5,4,Neutral
1,8,5,5,Mad
1,8,5,7,Joyful
1,8,6,1,Neutral
1,8,6,2,Scared
1,8,6,3,Neutral
1,8,6,4,Scared
1,8,6,5,Joyful
1,8,6,6,Neutral
1,8,6,7,Joyful
1,8,6,8,Scared
1,8,6,9,Joyful
1,8,6,10,Neutral
1,8,6,11,Neutral
1,8,7,1,Joyful
1,8,7,2,Neutral
1,8,7,3,Joyful
1,8,7,4,Joyful
1,8,7,5,Neutral
1,8,7,6,Neutral
1,8,7,7,Joyful
1,8,7,8,Neutral
1,8,7,9,Neutral
1,8,7,10,Joyful
1,8,7,11,Joyful
1,8,7,12,Neutral
1,8,7,13,Neutral
1,8,7,14,Neutral
1,8,7,15,Neutral
1,8,8,1,Neutral
1,8,8,2,Neutral
1,8,8,3,Joyful
1,8,8,4,Joyful
1,8,8,5,Neutral
1,8,8,6,Powerful
1,8,8,7,Powerful
1,8,8,9,Scared
1,8,8,10,Neutral
1,8,8,11,Neutral
1,8,8,12,Neutral
1,8,8,13,Neutral
1,8,8,14,Joyful
1,8,8,15,Neutral
1,8,8,16,Neutral
1,8,8,18,Mad
1,8,8,19,Scared
1,8,8,20,Neutral
1,8,9,1,Joyful
1,8,9,2,Mad
1,8,9,3,Neutral
1,8,9,4,Neutral
1,8,9,5,Scared
1,8,9,6,Neutral
1,8,9,7,Neutral
1,8,9,8,Neutral
1,8,9,9,Powerful
1,8,9,10,Powerful
1,8,9,11,Peaceful
1,8,9,12,Neutral
1,8,10,1,Joyful
1,8,10,2,Neutral
1,8,10,4,Neutral
1,8,10,5,Neutral
1,8,10,6,Neutral
1,8,10,7,Neutral
1,8,10,8,Neutral
1,8,10,9,Scared
1,8,10,11,Mad
1,8,10,12,Neutral
1,8,10,13,Joyful
1,8,10,14,Sad
1,8,10,15,Mad
1,8,10,16,Neutral
1,8,12,1,Scared
1,8,12,2,Mad
1,8,12,3,Joyful
1,8,12,4,Joyful
1,8,12,5,Scared
1,8,12,6,Neutral
1,8,12,7,Joyful
1,8,12,8,Scared
1,8,12,9,Neutral
1,8,12,10,Joyful
1,8,12,11,Joyful
1,8,12,12,Mad
1,8,13,1,Neutral
1,8,13,2,Neutral
1,8,13,3,Neutral
1,8,13,4,Neutral
1,8,13,5,Neutral
1,8,13,6,Neutral
1,8,13,7,Neutral
1,8,13,8,Neutral
1,8,13,9,Neutral
1,8,13,10,Neutral
1,8,13,11,Neutral
1,8,13,12,Neutral
1,8,13,13,Neutral
1,8,13,14,Neutral
1,8,13,15,Mad
1,9,1,1,Peaceful
1,9,1,2,Neutral
1,9,1,3,Neutral
1,9,1,4,Mad
1,9,1,5,Powerful
1,9,3,1,Neutral
1,9,3,2,Neutral
1,9,3,3,Neutral
1,9,3,4,Neutral
1,9,3,5,Neutral
1,9,3,6,Neutral
1,9,3,7,Neutral
1,9,3,8,Neutral
1,9,3,9,Joyful
1,9,3,10,Joyful
1,9,3,11,Neutral
1,9,3,12,Scared
1,9,3,13,Neutral
1,9,3,14,Scared
1,9,3,15,Neutral
1,9,3,16,Neutral
1,9,3,17,Neutral
1,9,3,18,Neutral
1,9,3,19,Neutral
1,9,4,1,Neutral
1,9,4,2,Neutral
1,9,4,3,Joyful
1,9,4,5,Neutral
1,9,4,6,Sad
1,9,4,7,Neutral
1,9,4,8,Neutral
1,9,4,9,Powerful
1,9,4,10,Neutral
1,9,4,11,Powerful
1,9,4,13,Joyful
1,9,4,14,Joyful
1,9,4,15,Neutral
1,9,4,16,Neutral
1,9,4,17,Joyful
1,9,4,18,Neutral
1,9,4,19,Neutral
1,9,4,20,Neutral
1,9,4,21,Mad
1,9,4,22,Sad
1,9,4,23,Sad
1,9,4,24,Sad
1,9,5,1,Scared
1,9,5,2,Scared
1,9,5,3,Neutral
1,9,5,4,Peaceful
1,9,5,5,Joyful
1,9,5,6,Mad
1,9,5,7,Joyful
1,9,5,8,Powerful
1,9,5,9,Powerful
1,9,5,10,Joyful
1,9,5,11,Joyful
1,9,5,12,Neutral
1,9,5,13,Scared
1,9,5,14,Scared
1,9,5,15,Scared
1,9,5,16,Mad
1,9,5,17,Mad
1,9,9,1,Neutral
1,9,9,2,Joyful
1,9,9,3,Neutral
1,9,9,4,Scared
1,9,9,5,Powerful
1,9,9,6,Neutral
1,9,10,1,Joyful
1,9,10,2,Mad
1,9,10,3,Neutral
1,9,10,4,Neutral
1,9,10,5,Neutral
1,9,10,6,Neutral
1,9,10,7,Mad
1,9,10,8,Mad
1,9,10,9,Neutral
1,9,10,10,Scared
1,9,10,11,Scared
1,9,10,12,Scared
1,9,10,13,Mad
1,9,10,14,Neutral
1,9,10,15,Mad
1,9,10,16,Neutral
1,9,11,1,Neutral
1,9,11,2,Neutral
1,9,11,3,Neutral
1,9,11,5,Neutral
1,9,11,6,Joyful
1,9,11,7,Neutral
1,9,11,8,Neutral
1,9,11,9,Joyful
1,9,11,10,Joyful
1,9,11,11,Joyful
1,9,11,12,Joyful
1,9,11,13,Joyful
1,10,1,1,Neutral
1,10,1,3,Joyful
1,10,1,4,Scared
1,10,1,5,Joyful
1,10,1,6,Scared
1,10,1,7,Joyful
1,10,1,8,Neutral
1,10,1,9,Neutral
1,10,1,10,Joyful
1,10,1,11,Neutral
1,10,1,12,Neutral
1,10,1,13,Neutral
1,10,1,14,Sad
1,10,4,1,Powerful
1,10,4,2,Neutral
1,10,4,3,Neutral
1,10,4,4,Neutral
1,10,4,5,Joyful
1,10,4,6,Neutral
1,10,4,7,Scared
1,10,4,8,Joyful
1,10,4,9,Neutral
1,10,4,10,Joyful
1,10,4,11,Scared
1,10,4,12,Powerful
1,10,4,13,Neutral
1,10,4,14,Neutral
1,10,4,15,Joyful
1,10,4,16,Joyful
1,10,6,1,Scared
1,10,6,2,Joyful
1,10,6,3,Neutral
1,10,6,4,Joyful
1,10,6,5,Joyful
1,10,6,6,Sad
1,10,6,7,Joyful
1,10,6,8,Mad
1,10,6,9,Peaceful
1,10,6,10,Neutral
1,10,6,11,Neutral
1,10,6,12,Scared
1,10,6,13,Neutral
