Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Office: Responsible Office
Animal,Attack,,KENMORE HILLS,Enforcement Animal Attack
Animal,Attack,,DARRA,Enforcement Animal Attack
Animal,Dog,Fencing Issues,ELLEN GROVE,City Safety (Animal Management)
Animal,Attack,,FOREST LAKE,Enforcement Animal Attack
Animal,Attack,,HEMMANT,Enforcement Animal Attack
Animal,Dog,Wandering,NEWSTEAD,City Safety (Animal Management)
Animal,Dog,Fencing Issues,MOUNT CROSBY,Rapid Response Group
Animal,Other Animal,,WAVELL HEIGHTS,City Safety (Animal Management)
Animal,Cat,,CARINDALE,City Safety (Animal Management)
Animal,Cat Trapping,,SUNNYBANK HILLS,Environmental Management Team
Animal,Dog,,WAVELL HEIGHTS,City Safety (Animal Management)
Animal,Attack,,FOREST LAKE,Enforcement Animal Attack
Animal,Cat,,THE GAP,City Safety Assessments Team
Animal,Dog,Fencing Issues,BANYO,Rapid Response Group
Animal,Dog,Fencing Issues,STAFFORD HEIGHTS,City Safety (Animal Management)
Animal,Attack,,BARDON,Enforcement Animal Attack
Animal,Attack,,CHERMSIDE WEST,Enforcement Animal Attack
Animal,Dog,Wandering,INDOOROOPILLY,City Safety (Animal Management)
Animal,Dog,Wandering,KARANA DOWNS,City Safety (Animal Management)
Animal,Cat Trapping,,DURACK,Environmental Management Team
Animal,Dog,Wandering,MILTON,City Safety (Animal Management)
Animal,Dog,Wandering,YERONGA,Scheduling and Dispatch
Animal,Dog,,NUDGEE,Rapid Response Group
Animal,Attack,,BRACKEN RIDGE,Enforcement Animal Attack
Animal,Attack,,CAMP HILL,Enforcement Animal Attack
Animal,Attack,,MOUNT OMMANEY,Enforcement Animal Attack
Animal,Attack,,DURACK,Rapid Response Group
Animal,Other Animal,,WILSTON,Scheduling and Dispatch
Animal,Other Animal,Deer,PULLENVALE,Environmental Management Team
Animal,Attack,,CARINA,Enforcement Animal Attack
Animal,Dog,Unregistered,INALA,City Safety (Animal Management)
Animal,Dog,,MITCHELTON,City Safety (Animal Management)
Animal,Other Animal,,WILSTON,Scheduling and Dispatch
Animal,Other Animal,Nuisance Animal,NUNDAH,Scheduling and Dispatch
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD,Environmental Management Team
Animal,Other Animal,Nuisance Animal,KELVIN GROVE,Rapid Response Group
Animal,Attack,Not An Attack,WISHART,Rapid Response Group
Animal,Dog,Wandering,FIG TREE POCKET,Rapid Response Group
Animal,Other Animal,Fox,THE GAP,Environmental Management Team
Animal,Attack,Attack On An Animal,HAWTHORNE,Enforcement Animal Attack
Animal,Cat Trapping,,ASHGROVE,Environmental Management Team
Animal,Dog,Fencing Issues,BRACKEN RIDGE,City Safety (Animal Management)
Animal,Cat Trapping,,MOUNT GRAVATT EAST,Environmental Management Team
Animal,Dog,,FIG TREE POCKET,City Safety (Animal Management)
Animal,Dog,Unregistered,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Dog,Wandering,WYNNUM,City Safety (Animal Management)
Animal,Attack,,ANNERLEY,Enforcement Animal Attack
Animal,Dog,Wandering,NEWMARKET,City Safety (Animal Management)
Animal,Dog,Fencing Issues,EVERTON PARK,Rapid Response Group
Animal,Attack,Attack On An Animal,WEST END,Rapid Response Group
Animal,Attack,,WEST END,Rapid Response Group
Animal,Cat Trapping,,WYNNUM WEST,Environmental Management Team
Animal,Cat Trapping,,GEEBUNG,Environmental Management Team
Animal,Dog,Fencing Issues,PINJARRA HILLS,City Safety (Animal Management)
Animal,Dog,,GRACEVILLE,Rapid Response Group
Animal,Other Animal,Deer,UPPER BROOKFIELD,Environmental Management Team
Animal,Dog,,HIGHGATE HILL,Scheduling and Dispatch
Animal,Attack,Attack On A Person,MORNINGSIDE,Enforcement Animal Attack
Animal,Dog,,WEST END,City Safety (Animal Management)
Animal,Dog,Wandering,TINGALPA,City Safety (Animal Management)
Animal,Cat Trapping,,ALBION,Scheduling and Dispatch
Animal,Other Animal,,RIVERHILLS,Scheduling and Dispatch
Animal,Dog,,NATHAN,Rapid Response Group
Animal,Dog,Fencing Issues,DARRA,City Safety (Animal Management)
Animal,Other Animal,Fox,FIG TREE POCKET,Environmental Management Team
Animal,Attack,,ASHGROVE,Enforcement Animal Attack
Animal,Cat Trapping,,NUNDAH,Environmental Management Team
Animal,Cat,Wandering,NORTHGATE,City Safety (Animal Management)
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Cat Trapping,,SANDGATE,Environmental Management Team
Animal,Attack,Attack On A Person,ASPLEY,Enforcement Animal Attack
Animal,Dog,Fencing Issues,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Dog,Fencing Issues,PULLENVALE,City Safety (Animal Management)
Animal,Dog,Wandering,MCDOWALL,City Safety (Animal Management)
Animal,Dog,Fencing Issues,INALA,Rapid Response Group
Animal,Attack,,NEWMARKET,Enforcement Animal Attack
Animal,Dog,Fencing Issues,HENDRA,City Safety (Animal Management)
Animal,Dog,Wandering,FOREST LAKE,City Safety (Animal Management)
Animal,Other Animal,Wild Dog,PULLENVALE,Environmental Management Team
Animal,Dog,Wandering,WAVELL HEIGHTS,City Safety (Animal Management)
Animal,Attack,,KEPERRA,Enforcement Animal Attack
Animal,Dog,Fencing Issues,FOREST LAKE,Rapid Response Group
Animal,Other Animal,Fox,BELMONT,Environmental Management Team
Animal,Dog,Wandering,MOUNT GRAVATT EAST,City Safety (Animal Management)
Animal,Dog,Wandering,MOUNT GRAVATT EAST,City Safety (Animal Management)
Animal,Dog,Wandering,UPPER KEDRON,City Safety (Animal Management)
Animal,Dog,Odour,ROCHEDALE,City Safety Assessments Team
Animal,Dog,Odour,ROCHEDALE,City Safety (Animal Management)
Animal,Dog,Wandering,WAVELL HEIGHTS,City Safety (Animal Management)
Animal,Attack,,ENOGGERA,Enforcement Animal Attack
Animal,Cat,Wandering,EAST BRISBANE,City Safety (Animal Management)
Animal,Attack,,FERNY GROVE,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,MORNINGSIDE,Enforcement Animal Attack
Animal,Dog,Unregistered,ROCHEDALE,City Safety (Animal Management)
Animal,Dog,Wandering,ASCOT,City Safety (Animal Management)
Animal,Cat Trapping,,INDOOROOPILLY,Environmental Management Team
Animal,Attack,,FITZGIBBON,Enforcement Animal Attack
Animal,Other Animal,Fencing Issues,KEPERRA,Rapid Response Group
Animal,Attack,,BROOKFIELD,Enforcement Animal Attack
Animal,Cat Trapping,,INALA,Environmental Management Team
Animal,Attack,,TENERIFFE,Enforcement Animal Attack
Animal,Dog,Odour,ZILLMERE,City Safety Assessments Team
Animal,Cat,Wandering,CAMP HILL,City Safety Assessments Team
Animal,Attack,Menacing,CAMP HILL,Enforcement Animal Attack
Animal,Dog,Fencing Issues,BRIGHTON,Rapid Response Group
Animal,Dog,Wandering,CARINA,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,SANDGATE,Rapid Response Group
Animal,Attack,,MOUNT CROSBY,Enforcement Animal Attack
Animal,Dog,Odour,FITZGIBBON,City Safety Assessments Team
Animal,Cat Trapping,,CHERMSIDE,Environmental Management Team
Animal,Attack,Attack On An Animal,ROCHEDALE,Enforcement Animal Attack
Animal,Cat Trapping,,MANSFIELD,Environmental Management Team
Animal,Attack,Attack On An Animal,BOONDALL,City Safety (Animal Management)
Animal,Cat Trapping,,HIGHGATE HILL,Environmental Management Team
Animal,Other Animal,Fox,KEDRON,Environmental Management Team
Animal,Other Animal,Nuisance Animal,KEDRON,Rapid Response Group
Animal,Dog,Too Many Animals,KEDRON,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,KEDRON,Rapid Response Group
Animal,Cat,Wandering,CHERMSIDE,City Safety Assessments Team
Animal,Attack,Attack On A Person,ZILLMERE,Enforcement Animal Attack
Animal,Dog,Wandering,WILSTON,City Safety (Animal Management)
Animal,Cat Trapping,,ELLEN GROVE,Environmental Management Team
Animal,Dog,Wandering,ASHGROVE,City Safety (Animal Management)
Animal,Cat,Wandering,PARKINSON,City Safety Assessments Team
Animal,Dog,Wandering,THE GAP,City Safety (Animal Management)
Animal,Cat Trapping,,FOREST LAKE,Environmental Management Team
Animal,Dog,Unregistered,ALGESTER,City Safety (Animal Management)
Animal,Dog,Wandering,WISHART,City Safety (Animal Management)
Animal,Dog,Fencing Issues,RED HILL,City Safety (Animal Management)
Animal,Dog,Fencing Issues,MITCHELTON,City Safety (Animal Management)
Animal,Other Animal,Fox,SINNAMON PARK,Environmental Management Team
Animal,Dog,Wandering,BRIGHTON,City Safety (Animal Management)
Animal,Dog,Too Many Animals,ALBION,City Safety (Animal Management)
Animal,Other Animal,Fox,ROCHEDALE,Environmental Management Team
Animal,Attack,,WINDSOR,Enforcement Animal Attack
Animal,Dog,Fencing Issues,MANLY WEST,City Safety (Animal Management)
Animal,Dog,Defecating In Public,HAMILTON,City Safety (Animal Management)
Animal,Cat Trapping,,CHAPEL HILL,Environmental Management Team
Animal,Cat,Wandering,WYNNUM,City Safety Assessments Team
Animal,Other Animal,Fox,SEVENTEEN MILE ROCKS,Environmental Management Team
Animal,Attack,,THE GAP,Enforcement Animal Attack
Animal,Attack,,TINGALPA,Enforcement Animal Attack
Animal,Attack,,HEMMANT,Enforcement Animal Attack
Animal,Attack,,MURARRIE,Enforcement Animal Attack
Animal,Attack,Attack On A Person,UPPER BROOKFIELD,Enforcement Animal Attack
Animal,Dog,Wandering,MANLY,City Safety (Animal Management)
Animal,Dog,Wandering,MANLY,City Safety (Animal Management)
Animal,Dog,Too Many Animals,OXLEY,City Safety (Animal Management)
Animal,Dog,Wandering,VIRGINIA,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,MANSFIELD,Enforcement Animal Attack
Animal,Attack,,UPPER KEDRON,Enforcement Animal Attack
Animal,Other Animal,Nuisance Animal,WISHART,Rapid Response Group
Animal,Cat,Wandering,NORTHGATE,City Safety (Animal Management)
Animal,Dog,Wandering,BRISBANE CITY,City Safety (Animal Management)
Animal,Dog,Fencing Issues,BOONDALL,City Safety (Animal Management)
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Attack,Not An Attack,SUNNYBANK,Enforcement Animal Attack
Animal,Dog,Fencing Issues,CARINA,Rapid Response Group
Animal,Dog,Wandering,TOOWONG,City Safety (Animal Management)
Animal,Cat Trapping,,HOLLAND PARK,Environmental Management Team
Animal,Dog,Wandering,MILTON,City Safety (Animal Management)
Animal,Dog,Too Many Animals,WYNNUM,City Safety (Animal Management)
Animal,Other Animal,Fox,KALINGA,Environmental Management Team
Animal,Attack,Attack On An Animal,BANYO,Enforcement Animal Attack
Animal,Cat Trapping,,CALAMVALE,Environmental Management Team
Animal,Cat Trapping,,ALGESTER,Environmental Management Team
Animal,Cat Trapping,,NEWSTEAD,Environmental Management Team
Animal,Cat Trapping,,CLAYFIELD,City Safety (Animal Management)
Animal,Attack,Not An Attack,ASCOT,Enforcement Animal Attack
Animal,Cat,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Cat Trapping,,ASPLEY,Environmental Management Team
Animal,Dog,Wandering,WAKERLEY,City Safety (Animal Management)
Animal,Cat Trapping,,GORDON PARK,Environmental Management Team
Animal,Dog,Odour,TOOWONG,City Safety (Animal Management)
Animal,Dog,Wandering,CHAPEL HILL,City Safety (Animal Management)
Animal,Cat Trapping,,COOPERS PLAINS,Environmental Management Team
Animal,Dog,Wandering,BULIMBA,Scheduling and Dispatch
Animal,Attack,Attack On A Person,ENOGGERA,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,MURARRIE,Enforcement Animal Attack
Animal,Dog,Wandering,BULIMBA,City Safety (Animal Management)
Animal,Attack,Menacing,CARINA,Enforcement Animal Attack
Animal,Dog,Fencing Issues,MITCHELTON,City Safety (Animal Management)
Animal,Dog,Wandering,ST LUCIA,City Safety (Animal Management)
Animal,Dog,Wandering,ROCKLEA,City Safety (Animal Management)
Animal,Attack,Attack On A Person,WYNNUM,Enforcement Animal Attack
Animal,Cat,Wandering,MOGGILL,Scheduling and Dispatch
Animal,Dog,Wandering,STAFFORD HEIGHTS,City Safety (Animal Management)
Animal,Attack,Not An Attack,SEVEN HILLS,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,HAMILTON,Enforcement Animal Attack
Animal,Cat,Wandering,INALA,City Safety Assessments Team
Animal,Dog,Fencing Issues,MANLY WEST,Enforcement Animal Attack
Animal,Attack,Not An Attack,ACACIA RIDGE,Enforcement Animal Attack
Animal,Dog,Odour,MOOROOKA,City Safety Assessments Team
Animal,Dog,Fencing Issues,WYNNUM WEST,Rapid Response Group
Animal,Attack,Attack On An Animal,DURACK,Enforcement Animal Attack
Animal,Attack,,RIVERHILLS,Enforcement Animal Attack
Animal,Dog,Odour,FOREST LAKE,City Safety Assessments Team
Animal,Other Animal,Insufficient Space,CARINA,City Safety (Animal Management)
Animal,Other Animal,Fox,SUMNER,Environmental Management Team
Animal,Cat,Wandering,BULIMBA,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,GORDON PARK,Enforcement Animal Attack
Animal,Dog,Too Many Animals,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Dog,Wandering,EVERTON PARK,City Safety (Animal Management)
Animal,Attack,,BRIDGEMAN DOWNS,Enforcement Animal Attack
Animal,Dog,Unregistered,THE GAP,City Safety (Animal Management)
Animal,Cat Trapping,,BALD HILLS,Environmental Management Team
Animal,Attack,Attack On A Person,MORNINGSIDE,Enforcement Animal Attack
Animal,Dog,Fencing Issues,PINKENBA,City Safety (Animal Management)
Animal,Attack,Not An Attack,SUNNYBANK HILLS,Scheduling and Dispatch
Animal,Dog,Defecating In Public,GRANGE,City Safety (Animal Management)
Animal,Cat Trapping,,INALA,Environmental Management Team
Animal,Attack,Attack On An Animal,BOONDALL,City Safety (Animal Management)
Animal,Attack,Menacing,NUNDAH,Enforcement Animal Attack
Animal,Attack,,EIGHT MILE PLAINS,Enforcement Animal Attack
Animal,Other Animal,Wild Dog,UPPER BROOKFIELD,Environmental Management Team
Animal,Other Animal,Fencing Issues,BANYO,City Safety (Animal Management)
Animal,Cat Trapping,,NEW FARM,Environmental Management Team
Animal,Dog,Unregistered,CHAPEL HILL,City Safety (Animal Management)
Animal,Cat Trapping,,DOOLANDELLA,Environmental Management Team
Animal,Dog,Wandering,SEVEN HILLS,City Safety (Animal Management)
Animal,Dog,Wandering,INALA,Scheduling and Dispatch
Animal,Dog,Fencing Issues,MOOROOKA,Rapid Response Group
Animal,Attack,Menacing,COORPAROO,Enforcement Animal Attack
Animal,Dog,Wandering,MCDOWALL,City Safety (Animal Management)
Animal,Cat,Wandering,CHERMSIDE,City Safety Assessments Team
Animal,Dog,Wandering,MANSFIELD,City Safety (Animal Management)
Animal,Dog,Surrender,INALA,Rapid Response Group
Animal,Dog,Wandering,GORDON PARK,City Safety (Animal Management)
Animal,Cat,Wandering,CARSELDINE,City Safety (Animal Management)
Animal,Attack,,BULIMBA,Enforcement Animal Attack
Animal,Dog,Unregistered,CARINA,Enforcement Animal Attack
Animal,Dog,Wandering,ZILLMERE,City Safety (Animal Management)
Animal,Dog,Fencing Issues,YERONGA,Rapid Response Group
Animal,Attack,Menacing,INALA,Enforcement Animal Attack
Animal,Dog,Defecating In Public,CAMP HILL,Rapid Response Group
Animal,Dog,Fencing Issues,HAWTHORNE,City Safety (Animal Management)
Animal,Dog,Wandering,TINGALPA,Rapid Response Group
Animal,Dog,Odour,BANYO,City Safety Assessments Team
Animal,Dog,Too Many Animals,PINKENBA,City Safety (Animal Management)
Animal,Cat Trapping,,ACACIA RIDGE,Environmental Management Team
Animal,Dog,Wandering,CAMP HILL,City Safety (Animal Management)
Animal,Dog,Wandering,HAWTHORNE,Rapid Response Group
Animal,Attack,Attack On A Person,CANNON HILL,Enforcement Animal Attack
Animal,Cat,Wandering,PADDINGTON,City Safety (Animal Management)
Animal,Cat Trapping,,FIG TREE POCKET,Environmental Management Team
Animal,Dog,Too Many Animals,INDOOROOPILLY,City Safety (Animal Management)
Animal,Other Animal,Too Many Animals,WINDSOR,City Safety (Animal Management)
Animal,Dog,Odour,RUNCORN,City Safety Assessments Team
Animal,Cat Trapping,,BOONDALL,Environmental Management Team
Animal,Other Animal,Nuisance Animal,MCDOWALL,Rapid Response Group
Animal,Dog,Wandering,BRISBANE CITY,City Safety (Animal Management)
Animal,Cat Trapping,,ANNERLEY,Environmental Management Team
Animal,Dog,Fencing Issues,MIDDLE PARK,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,TENERIFFE,Scheduling and Dispatch
Animal,Dog,Wandering,WOOLOOWIN,City Safety (Animal Management)
Animal,Dog,Fencing Issues,WYNNUM WEST,Rapid Response Group
Animal,Other Animal,Fox,LOTA,Environmental Management Team
Animal,Attack,Attack On A Person,SHERWOOD,Enforcement Animal Attack
Animal,Dog,Fencing Issues,ACACIA RIDGE,City Safety (Animal Management)
Animal,Cat Trapping,,ALGESTER,Environmental Management Team
Animal,Cat,Wandering,SANDGATE,City Safety (Animal Management)
Animal,Dog,,MANSFIELD,City Safety (Animal Management)
Animal,Cat Trapping,,ELLEN GROVE,Environmental Management Team
Animal,Other Animal,Nuisance Animal,ELLEN GROVE,Rapid Response Group
Animal,Dog,Fencing Issues,FITZGIBBON,City Safety (Animal Management)
Animal,Dog,Wandering,FITZGIBBON,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,CALAMVALE,City Safety (Animal Management)
Animal,Dog,Wandering,FITZGIBBON,City Safety (Animal Management)
Animal,Dog,Wandering,SINNAMON PARK,City Safety (Animal Management)
Animal,Other Animal,Deer,PULLENVALE,Environmental Management Team
Animal,Other Animal,Wild Dog,HOLLAND PARK WEST,Environmental Management Team
Animal,Attack,Menacing,FAIRFIELD,Enforcement Animal Attack
Animal,Attack,Menacing,ROBERTSON,Enforcement Animal Attack
Animal,Dog,Wandering,CHAPEL HILL,City Safety (Animal Management)
Animal,Dog,Wandering,SUNNYBANK,City Safety (Animal Management)
Animal,Other Animal,Unregistered,HEATHWOOD,City Safety (Animal Management)
Animal,Attack,,MILTON,Enforcement Animal Attack
Animal,Attack,Attack On A Person,SANDGATE,Enforcement Animal Attack
Animal,Dog,Fencing Issues,VIRGINIA,City Safety (Animal Management)
Animal,Dog,Wandering,KEDRON,City Safety (Animal Management)
Animal,Dog,Wandering,ASPLEY,City Safety (Animal Management)
Animal,Other Animal,Deer,PULLENVALE,Environmental Management Team
Animal,Other Animal,Deer,PULLENVALE,Environmental Management Team
Animal,Dog,Fencing Issues,ENOGGERA,City Safety (Animal Management)
Animal,Cat,Wandering,BULIMBA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,NEW FARM,Rapid Response Group
Animal,Dog,Wandering,NEWSTEAD,City Safety (Animal Management)
Animal,Other Animal,Fencing Issues,HOLLAND PARK,City Safety (Animal Management)
Animal,Cat Trapping,,NUNDAH,Environmental Management Team
Animal,Attack,Attack On An Animal,TARRAGINDI,Enforcement Animal Attack
Animal,Dog,Wandering,HAWTHORNE,City Safety (Animal Management)
Animal,Other Animal,Fox,HOLLAND PARK WEST,Environmental Management Team
Animal,Cat Trapping,,TARRAGINDI,Environmental Management Team
Animal,Attack,,WAVELL HEIGHTS,Enforcement Animal Attack
Animal,Dog,Fencing Issues,HENDRA,Rapid Response Group
Animal,Dog,Fencing Issues,FOREST LAKE,Rapid Response Group
Animal,Other Animal,Nuisance Animal,NORTHGATE,City Safety (Animal Management)
Animal,Dog,Defecating In Public,SEVEN HILLS,City Safety (Animal Management)
Animal,Attack,Menacing,BELLBOWRIE,Enforcement Animal Attack
Animal,Dog,Fencing Issues,ELLEN GROVE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,MOOROOKA,Rapid Response Group
Animal,Attack,Not An Attack,INALA,Enforcement Animal Attack
Animal,Other Animal,Pest / Feral Animal,BRIDGEMAN DOWNS,Environmental Management Team
Animal,Attack,,COOPERS PLAINS,Enforcement Animal Attack
Animal,Dog,Odour,MANLY WEST,City Safety Assessments Team
Animal,Dog,Fencing Issues,INALA,City Safety (Animal Management)
Animal,Attack,Attack On A Person,EVERTON PARK,Scheduling and Dispatch
Animal,Dog,Fencing Issues,CARINA,Rapid Response Group
Animal,Dog,Unregistered,KEPERRA,City Safety (Animal Management)
Animal,Attack,Menacing,COORPAROO,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,MANLY WEST,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,HENDRA,Enforcement Animal Attack
Animal,Attack,Not An Attack,WACOL,Enforcement Animal Attack
Animal,Attack,,CALAMVALE,Enforcement Animal Attack
Animal,Dog,Wandering,BARDON,City Safety (Animal Management)
Animal,Dog,Wandering,SANDGATE,City Safety (Animal Management)
Animal,Dog,Wandering,NEWSTEAD,City Safety (Animal Management)
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety (Animal Management)
Animal,Attack,,RIVERHILLS,Enforcement Animal Attack
Animal,Dog,Unregistered,ELLEN GROVE,City Safety (Animal Management)
Animal,Dog,Wandering,KEDRON,City Safety (Animal Management)
Animal,Attack,Menacing,MOUNT GRAVATT EAST,Enforcement Animal Attack
Animal,Attack,Menacing,STONES CORNER,Enforcement Animal Attack
