Category: Nature,Category: Type,Category: Reporting Level,Location: Suburb,Office: Responsible Office
Animal,Attack,Menacing,CARINDALE,Enforcement Animal Attack
Animal,Other Animal,Fox,ROCHEDALE,Environmental Management Team
Animal,Attack,Attack On An Animal,GRACEVILLE,Scheduling and Dispatch
Animal,Dog,Defecating In Public,MCDOWALL,City Safety (Animal Management)
Animal,Other Animal,,FOREST LAKE,City Safety (Animal Management)
Animal,Cat Trapping,,WYNNUM WEST,Environmental Management Team
Animal,Attack,Attack On An Animal,WESTLAKE,Enforcement Animal Attack
Animal,Other Animal,,RICHLANDS,Environmental Management Team
Animal,Cat Trapping,,RUNCORN,Environmental Management Team
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,KARAWATHA,Enforcement Animal Attack
Animal,Dog,Wandering,PARKINSON,City Safety (Animal Management)
Animal,Dog,Fencing Issues,ZILLMERE,City Safety (Animal Management)
Animal,Attack,Not An Attack,UPPER MOUNT GRAVATT,City Safety (Animal Management)
Animal,Dog,Fencing Issues,SEVEN HILLS,Rapid Response Group
Animal,Other Animal,Fox,BOONDALL,Environmental Management Team
Animal,Dog,Wandering,STRETTON,City Safety (Animal Management)
Animal,Attack,Attack On A Person,GORDON PARK,Enforcement Animal Attack
Animal,Cat Trapping,,TARINGA,Environmental Management Team
Animal,Attack,Attack On An Animal,GREENSLOPES,Enforcement Animal Attack
Animal,Cat,Wandering,BELLBOWRIE,City Safety (Animal Management)
Animal,Attack,Menacing,WYNNUM WEST,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,NUNDAH,Enforcement Animal Attack
Animal,Attack,Attack On A Person,WYNNUM,Enforcement Animal Attack
Animal,Other Animal,Pest / Feral Animal,SALISBURY,City Safety (Animal Management)
Animal,Dog,Fencing Issues,GRACEVILLE,Rapid Response Group
Animal,Cat,Wandering,GRACEVILLE,City Safety Assessments Team
Animal,Other Animal,Fox,WYNNUM WEST,Environmental Management Team
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety Assessments Team
Animal,Attack,Menacing,EVERTON PARK,Enforcement Animal Attack
Animal,Attack,Attack On A Person,STAFFORD,Enforcement Animal Attack
Animal,Attack,Not An Attack,ASCOT,City Safety (Animal Management)
Animal,Other Animal,Odour,CLAYFIELD,City Safety (Animal Management)
Animal,Cat Trapping,,ANNERLEY,Environmental Management Team
Animal,Other Animal,Deer,KENMORE HILLS,Environmental Management Team
Animal,Dog,Wandering,WYNNUM,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,BRACKEN RIDGE,Enforcement Animal Attack
Animal,Attack,Attack On A Person,BRACKEN RIDGE,Enforcement Animal Attack
Animal,Dog,Wandering,CANNON HILL,City Safety (Animal Management)
Animal,Dog,Fencing Issues,STAFFORD,Enforcement Animal Attack
Animal,Dog,Wandering,THE GAP,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,EVERTON PARK,Rapid Response Group
Animal,Attack,,ASPLEY,Enforcement Animal Attack
Animal,Dog,Wandering,COORPAROO,City Safety (Animal Management)
Animal,Dog,Fencing Issues,TOOWONG,Rapid Response Group
Animal,Attack,Not An Attack,BELMONT,City Safety (Animal Management)
Animal,Dog,Wandering,ELLEN GROVE,Rapid Response Group
Animal,Dog,Odour,HEATHWOOD,City Safety (Animal Management)
Animal,Other Animal,Fox,MORNINGSIDE,Environmental Management Team
Animal,Cat Trapping,,ACACIA RIDGE,Environmental Management Team
Animal,Other Animal,Fox,MOUNT GRAVATT,Environmental Management Team
Animal,Attack,Attack On An Animal,MURARRIE,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,COORPAROO,Enforcement Animal Attack
Animal,Cat Trapping,,MOOROOKA,Environmental Management Team
Animal,Dog,Wandering,HAMILTON,Rapid Response Group
Animal,Attack,Attack On An Animal,MORNINGSIDE,Enforcement Animal Attack
Animal,Dog,Fencing Issues,ELLEN GROVE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,KALINGA,Enforcement Animal Attack
Animal,Cat,Wandering,FERNY GROVE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,ALDERLEY,Enforcement Animal Attack
Animal,Attack,,WAVELL HEIGHTS,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,SHORNCLIFFE,Rapid Response Group
Animal,Dog,Fencing Issues,NORTHGATE,Rapid Response Group
Animal,Attack,Attack On An Animal,INALA,Enforcement Animal Attack
Animal,Dog,Too Many Animals,MURARRIE,City Safety (Animal Management)
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Cat,Wandering,MANLY WEST,City Safety Assessments Team
Animal,Dog,Fencing Issues,ELLEN GROVE,City Safety (Animal Management)
Animal,Cat Trapping,,CHAPEL HILL,Environmental Management Team
Animal,Cat,Wandering,PADDINGTON,City Safety Assessments Team
Animal,Dog,Defecating In Public,CANNON HILL,Rapid Response Group
Animal,Other Animal,Wandering,CHERMSIDE WEST,Rapid Response Group
Animal,Attack,Attack On A Person,WYNNUM,Enforcement Animal Attack
Animal,Attack,,MORNINGSIDE,Enforcement Animal Attack
Animal,Dog,Fencing Issues,GRACEVILLE,Rapid Response Group
Animal,Dog,Fencing Issues,GRACEVILLE,Scheduling and Dispatch
Animal,Attack,Attack On An Animal,DEAGON,Enforcement Animal Attack
Animal,Other Animal,Fox,SHORNCLIFFE,Environmental Management Team
Animal,Attack,Menacing,OXLEY,Enforcement Animal Attack
Animal,Cat,Wandering,BOONDALL,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,NUDGEE BEACH,City Safety (Animal Management)
Animal,Attack,Attack On A Person,THE GAP,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,EVERTON PARK,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,SUNNYBANK HILLS,City Safety (Animal Management)
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety Assessments Team
Animal,Dog,Wandering,WYNNUM,City Safety (Animal Management)
Animal,Dog,Fencing Issues,INALA,City Safety (Animal Management)
Animal,Dog,Wandering,KANGAROO POINT,City Safety (Animal Management)
Animal,Dog,Unregistered,HOLLAND PARK WEST,City Safety (Animal Management)
Animal,Attack,Attack On A Person,OXLEY,Enforcement Animal Attack
Animal,Cat,Wandering,CARINDALE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,ALDERLEY,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,SUNNYBANK HILLS,Enforcement Animal Attack
Animal,Cat,Wandering,BOONDALL,City Safety Assessments Team
Animal,Cat,Wandering,BOONDALL,City Safety Assessments Team
Animal,Dog,Fencing Issues,EVERTON PARK,City Safety (Animal Management)
Animal,Dog,Unregistered,CARSELDINE,City Safety (Animal Management)
Animal,Attack,,ACACIA RIDGE,Rapid Response Group
Animal,Dog,Too Many Animals,EVERTON PARK,City Safety (Animal Management)
Animal,Dog,Too Many Animals,EVERTON PARK,City Safety (Animal Management)
Animal,Attack,Not An Attack,ASPLEY,Enforcement Animal Attack
Animal,Attack,Attack On A Person,BELMONT,Enforcement Animal Attack
Animal,Other Animal,Fox,TARRAGINDI,Environmental Management Team
Animal,Cat,Wandering,CAMP HILL,City Safety Assessments Team
Animal,Attack,Not An Attack,KEPERRA,Enforcement Animal Attack
Animal,Cat,Wandering,NUNDAH,City Safety Assessments Team
Animal,Attack,Attack On A Person,CALAMVALE,Enforcement Animal Attack
Animal,Dog,Wandering,ANSTEAD,City Safety (Animal Management)
Animal,Dog,Fencing Issues,PARKINSON,Rapid Response Group
Animal,Other Animal,Fox,ROCKLEA,Environmental Management Team
Animal,Attack,Attack On An Animal,THE GAP,Enforcement Animal Attack
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety (Animal Management)
Animal,Cat,Wandering,FITZGIBBON,City Safety (Animal Management)
Animal,Dog,Fencing Issues,MANLY WEST,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,CHERMSIDE,Enforcement Animal Attack
Animal,Cat,Wandering,WYNNUM WEST,City Safety (Animal Management)
Animal,Dog,Fencing Issues,THE GAP,City Safety (Animal Management)
Animal,Dog,Wandering,VIRGINIA,City Safety (Animal Management)
Animal,Cat Trapping,,WISHART,Environmental Management Team
Animal,Other Animal,Pest / Feral Animal,BRISBANE AIRPORT,Environmental Management Team
Animal,Attack,Attack On A Person,MOOROOKA,Enforcement Animal Attack
Animal,Cat Trapping,,HOLLAND PARK,Environmental Management Team
Animal,Dog,Too Many Animals,EVERTON PARK,City Safety (Animal Management)
Animal,Other Animal,Fox,WAKERLEY,Environmental Management Team
Animal,Cat Trapping,,CHERMSIDE WEST,Environmental Management Team
Animal,Attack,Menacing,ASPLEY,Enforcement Animal Attack
Animal,Cat Trapping,,ROBERTSON,Environmental Management Team
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Dog,Fencing Issues,HAWTHORNE,Rapid Response Group
Animal,Dog,Fencing Issues,ZILLMERE,Rapid Response Group
Animal,Other Animal,Fox,BROOKFIELD,Environmental Management Team
Animal,Dog,Too Many Animals,MURARRIE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,WACOL,Enforcement Animal Attack
Animal,Attack,Attack On A Person,FOREST LAKE,Enforcement Animal Attack
Animal,Other Animal,Fox,MOGGILL,Environmental Management Team
Animal,Dog,Fencing Issues,MITCHELTON,City Safety (Animal Management)
Animal,Dog,Fencing Issues,STAFFORD,Enforcement Animal Attack
Animal,Dog,Insufficient Space,STAFFORD,Scheduling and Dispatch
Animal,Other Animal,Odour,EIGHT MILE PLAINS,City Safety (Animal Management)
Animal,Attack,Attack On A Person,OXLEY,Rapid Response Group
Animal,Other Animal,Odour,PETRIE TERRACE,City Safety (Animal Management)
Animal,Other Animal,Deer,JINDALEE,Environmental Management Team
Animal,Dog,Fencing Issues,WAVELL HEIGHTS,Scheduling and Dispatch
Animal,Cat Trapping,,CLAYFIELD,Environmental Management Team
Animal,Attack,Attack On A Person,CHERMSIDE,Rapid Response Group
Animal,Attack,Attack On A Person,WYNNUM,Enforcement Animal Attack
Animal,Attack,Attack On A Person,MURARRIE,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,GRACEVILLE,Enforcement Animal Attack
Animal,Cat Trapping,,THE GAP,Environmental Management Team
Animal,Attack,,STAFFORD HEIGHTS,Enforcement Animal Attack
Animal,Dog,Wandering,KARAWATHA,City Safety (Animal Management)
Animal,Cat Trapping,,LOTA,Environmental Management Team
Animal,Dog,Wandering,BARDON,City Safety (Animal Management)
Animal,Dog,Wandering,ELLEN GROVE,Scheduling and Dispatch
Animal,Dog,Wandering,ASPLEY,Rapid Response Group
Animal,Cat Trapping,,WYNNUM,Environmental Management Team
Animal,Attack,Attack On A Person,DEAGON,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,TAIGUM,Enforcement Animal Attack
Animal,Attack,Attack On A Person,HENDRA,Rapid Response Group
Animal,Dog,Fencing Issues,WYNNUM WEST,Rapid Response Group
Animal,Cat Trapping,,FIG TREE POCKET,Environmental Management Team
Animal,Dog,Defecating In Public,NEW FARM,City Safety (Animal Management)
Animal,Attack,Attack On A Person,KEPERRA,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,SALISBURY,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,TINGALPA,Enforcement Animal Attack
Animal,Cat Trapping,,ACACIA RIDGE,Environmental Management Team
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety Assessments Team
Animal,Attack,Attack On An Animal,KENMORE,Scheduling and Dispatch
Animal,Other Animal,,GUMDALE,Environmental Management Team
Animal,Attack,Attack On An Animal,ZILLMERE,Enforcement Animal Attack
Animal,Other Animal,,RICHLANDS,Environmental Management Team
Animal,Dog,Odour,LOTA,City Safety Assessments Team
Animal,Attack,Menacing,FIG TREE POCKET,Enforcement Animal Attack
Animal,Attack,Attack On A Person,CAMP HILL,Enforcement Animal Attack
Animal,Cat Trapping,,DURACK,Environmental Management Team
Animal,Cat,Wandering,SUNNYBANK HILLS,City Safety Assessments Team
Animal,Other Animal,Fencing Issues,INALA,City Safety (Animal Management)
Animal,Dog,Fencing Issues,SALISBURY,City Safety (Animal Management)
Animal,Attack,Menacing,COOPERS PLAINS,Enforcement Animal Attack
Animal,Attack,Not An Attack,ACACIA RIDGE,Enforcement Animal Attack
Animal,Dog,Wandering,BRIGHTON,City Safety (Animal Management)
Animal,Other Animal,Fox,CARINA HEIGHTS,Environmental Management Team
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,THE GAP,Scheduling and Dispatch
Animal,Attack,Attack On An Animal,ELLEN GROVE,Rapid Response Group
Animal,Attack,Attack On An Animal,KARANA DOWNS,Enforcement Animal Attack
Animal,Dog,Wandering,HERSTON,City Safety (Animal Management)
Animal,Dog,Wandering,WAKERLEY,City Safety (Animal Management)
Animal,Cat,Wandering,ACACIA RIDGE,City Safety Assessments Team
Animal,Attack,Attack On A Person,CAMP HILL,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,ALDERLEY,Enforcement Animal Attack
Animal,Cat Trapping,,RICHLANDS,Environmental Management Team
Animal,Dog,Wandering,CARINDALE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,NORTHGATE,Enforcement Animal Attack
Animal,Attack,Menacing,ANNERLEY,Rapid Response Group
Animal,Cat,Wandering,GRANGE,City Safety (Animal Management)
Animal,Cat,Wandering,ASHGROVE,City Safety (Animal Management)
Animal,Attack,Menacing,ELLEN GROVE,Enforcement Animal Attack
Animal,Dog,Wandering,INALA,Scheduling and Dispatch
Animal,Dog,Too Many Animals,CARINA HEIGHTS,City Safety (Animal Management)
Animal,Attack,Not An Attack,TOOWONG,Enforcement Animal Attack
Animal,Attack,Attack On A Person,WINDSOR,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,COORPAROO,Enforcement Animal Attack
Animal,Dog,Fencing Issues,ZILLMERE,City Safety (Animal Management)
Animal,Attack,Not An Attack,WOOLLOONGABBA,City Safety (Animal Management)
Animal,Dog,Wandering,HENDRA,Rapid Response Group
Animal,Dog,Fencing Issues,SALISBURY,Rapid Response Group
Animal,Other Animal,Fox,SALISBURY,Environmental Management Team
Animal,Dog,Wandering,INALA,Rapid Response Group
Animal,Cat Trapping,,HOLLAND PARK WEST,Environmental Management Team
Animal,Dog,Odour,ROBERTSON,City Safety (Animal Management)
Animal,Dog,Wandering,MURARRIE,Enforcement Animal Attack
Animal,Dog,Wandering,STAFFORD,City Safety (Animal Management)
Animal,Dog,Unregistered,DOOLANDELLA,City Safety (Animal Management)
Animal,Attack,Not An Attack,WINDSOR,Enforcement Animal Attack
Animal,Dog,Wandering,CARINA,City Safety (Animal Management)
Animal,Dog,Too Many Animals,MANLY WEST,City Safety (Animal Management)
Animal,Cat Trapping,,ZILLMERE,City Safety (Animal Management)
Animal,Dog,Fencing Issues,DOOLANDELLA,Scheduling and Dispatch
Animal,Dog,Fencing Issues,CHERMSIDE,Rapid Response Group
Animal,Dog,Wandering,HAMILTON,Rapid Response Group
Animal,Dog,Wandering,HAMILTON,City Safety (Animal Management)
Animal,Dog,Wandering,SEVENTEEN MILE ROCKS,City Safety (Animal Management)
Animal,Cat Trapping,,WYNNUM,Environmental Management Team
Animal,Cat Trapping,,KEDRON,Environmental Management Team
Animal,Dog,Fencing Issues,ASPLEY,Rapid Response Group
Animal,Cat,Wandering,MOUNT GRAVATT EAST,City Safety (Animal Management)
Animal,Other Animal,Nuisance Animal,MANLY,Scheduling and Dispatch
Animal,Attack,Attack On An Animal,ELLEN GROVE,Enforcement Animal Attack
Animal,Dog,Defecating In Public,OXLEY,City Safety (Animal Management)
Animal,Attack,Menacing,STAFFORD,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,MANLY WEST,Enforcement Animal Attack
Animal,Attack,Attack On A Person,EVERTON PARK,Enforcement Animal Attack
Animal,Dog,Wandering,MOGGILL,City Safety (Animal Management)
Animal,Attack,,CAMP HILL,Enforcement Animal Attack
Animal,Other Animal,Fox,BOONDALL,Environmental Management Team
Animal,Cat,Wandering,KEPERRA,City Safety (Animal Management)
Animal,Cat,Wandering,HEMMANT,City Safety Assessments Team
Animal,Cat,Wandering,STAFFORD HEIGHTS,City Safety Assessments Team
Animal,Cat Trapping,,MOGGILL,Environmental Management Team
Animal,Dog,Wandering,MOOROOKA,City Safety (Animal Management)
Animal,Dog,Wandering,NEWMARKET,City Safety (Animal Management)
Animal,Cat,Wandering,PINKENBA,City Safety (Animal Management)
Animal,Cat,Wandering,KELVIN GROVE,City Safety (Animal Management)
Animal,Dog,Fencing Issues,HAWTHORNE,City Safety (Animal Management)
Animal,Dog,Wandering,NEWSTEAD,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,STRETTON,Enforcement Animal Attack
Animal,Dog,Wandering,OXLEY,Rapid Response Group
Animal,Other Animal,,GUMDALE,Environmental Management Team
Animal,Attack,Attack On A Person,ACACIA RIDGE,Enforcement Animal Attack
Animal,Other Animal,Nuisance Animal,WINDSOR,Environmental Management Team
Animal,Dog,Wandering,ALDERLEY,Rapid Response Group
Animal,Attack,,ELLEN GROVE,Enforcement Animal Attack
Animal,Dog,Wandering,NUDGEE BEACH,City Safety (Animal Management)
Animal,Cat,,MURARRIE,City Safety (Animal Management)
Animal,Attack,Menacing,WEST END,Enforcement Animal Attack
Animal,Cat,Wandering,BRACKEN RIDGE,Scheduling and Dispatch
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Other Animal,Fox,KARANA DOWNS,Environmental Management Team
Animal,Dog,Wandering,CARINA,City Safety (Animal Management)
Animal,Attack,Menacing,THE GAP,Enforcement Animal Attack
Animal,Dog,Wandering,MANLY,Rapid Response Group
Animal,Dog,Wandering,MANLY,Scheduling and Dispatch
Animal,Dog,Wandering,MANLY,Scheduling and Dispatch
Animal,Dog,Wandering,MANLY,Scheduling and Dispatch
Animal,Cat,Wandering,MANLY WEST,City Safety (Animal Management)
Animal,Attack,Menacing,THE GAP,Enforcement Animal Attack
Animal,Cat Trapping,,SHERWOOD,Environmental Management Team
Animal,Cat,Wandering,CHERMSIDE WEST,City Safety Assessments Team
Animal,Other Animal,Fox,KARANA DOWNS,Environmental Management Team
Animal,Other Animal,Nuisance Animal,JINDALEE,Rapid Response Group
Animal,Dog,Unregistered,CARSELDINE,Scheduling and Dispatch
Animal,Attack,Not An Attack,MANLY,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,WYNNUM WEST,Enforcement Animal Attack
Animal,Dog,Unregistered,MIDDLE PARK,City Safety (Animal Management)
Animal,Cat Trapping,,FOREST LAKE,Environmental Management Team
Animal,Dog,,CARINDALE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,SUNNYBANK HILLS,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,BALD HILLS,Enforcement Animal Attack
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety Assessments Team
Animal,Other Animal,Deer,MOUNT OMMANEY,Environmental Management Team
Animal,Dog,Fencing Issues,TARRAGINDI,Rapid Response Group
Animal,Cat Trapping,,MOOROOKA,Environmental Management Team
Animal,Cat Trapping,,BRACKEN RIDGE,Environmental Management Team
Animal,Dog,Wandering,MANLY WEST,City Safety (Animal Management)
Animal,Attack,Menacing,ROCKLEA,Enforcement Animal Attack
Animal,Dog,Wandering,ZILLMERE,City Safety (Animal Management)
Animal,Dog,Wandering,NATHAN,City Safety (Animal Management)
Animal,Attack,Not An Attack,LOTA,Enforcement Animal Attack
Animal,Dog,,KEDRON,City Safety (Animal Management)
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety (Animal Management)
Animal,Cat,Wandering,MCDOWALL,City Safety Assessments Team
Animal,Dog,Wandering,MCDOWALL,City Safety (Animal Management)
Animal,Dog,Wandering,UPPER KEDRON,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,MOOROOKA,Rapid Response Group
Animal,Dog,Wandering,FOREST LAKE,City Safety (Animal Management)
Animal,Attack,Menacing,DURACK,Enforcement Animal Attack
Animal,Cat Trapping,,EAST BRISBANE,Environmental Management Team
Animal,Other Animal,Nuisance Animal,BRACKEN RIDGE,Scheduling and Dispatch
Animal,Attack,Attack On A Person,ELLEN GROVE,Enforcement Animal Attack
Animal,Cat Trapping,,SUNNYBANK,Environmental Management Team
Animal,Cat Trapping,,FOREST LAKE,Environmental Management Team
Animal,Dog,Wandering,EAST BRISBANE,City Safety (Animal Management)
Animal,Other Animal,Fox,SALISBURY,Environmental Management Team
Animal,Attack,Menacing,STAFFORD HEIGHTS,Enforcement Animal Attack
Animal,Dog,Too Many Animals,WYNNUM WEST,City Safety (Animal Management)
Animal,Other Animal,Deer,BROOKFIELD,Environmental Management Team
Animal,Attack,Attack On A Person,TARRAGINDI,Enforcement Animal Attack
Animal,Dog,,ZILLMERE,City Safety (Animal Management)
Animal,Cat,Wandering,MOGGILL,City Safety (Animal Management)
Animal,Attack,,STAFFORD,Enforcement Animal Attack
Animal,Attack,Attack On A Person,INALA,Enforcement Animal Attack
Animal,Dog,Too Many Animals,MOUNT GRAVATT EAST,City Safety (Animal Management)
Animal,Cat Trapping,,SANDGATE,Environmental Management Team
Animal,Dog,Wandering,MANLY,City Safety (Animal Management)
Animal,Dog,Fencing Issues,JINDALEE,Rapid Response Group
Animal,Cat Trapping,,GREENSLOPES,Environmental Management Team
Animal,Dog,Wandering,SUNNYBANK,Rapid Response Group
Animal,Attack,Attack On An Animal,CHERMSIDE,Enforcement Animal Attack
Animal,Dog,Wandering,MOOROOKA,City Safety Assessments Team
Animal,Dog,Too Many Animals,BRIDGEMAN DOWNS,City Safety (Animal Management)
Animal,Attack,Attack On A Person,ELLEN GROVE,Enforcement Animal Attack
Animal,Attack,Not An Attack,HOLLAND PARK WEST,Rapid Response Group
Animal,Dog,Wandering,LOTA,City Safety (Animal Management)
Animal,Dog,Wandering,ASHGROVE,City Safety (Animal Management)
Animal,Cat Trapping,,KELVIN GROVE,Environmental Management Team
Animal,Attack,Attack On An Animal,PINKENBA,Enforcement Animal Attack
Animal,Cat Trapping,,ACACIA RIDGE,Environmental Management Team
Animal,Cat,Wandering,BRACKEN RIDGE,Scheduling and Dispatch
Animal,Other Animal,Pest / Feral Animal,ARCHERFIELD,Environmental Management Team
Animal,Dog,Wandering,WINDSOR,City Safety (Animal Management)
Animal,Cat Trapping,,NEW FARM,Environmental Management Team
Animal,Dog,Wandering,HAMILTON,City Safety (Animal Management)
Animal,Attack,Not An Attack,SUNNYBANK,Enforcement Animal Attack
Animal,Attack,Not An Attack,NEWSTEAD,Rapid Response Group
Animal,Dog,Odour,KEDRON,City Safety (Animal Management)
Animal,Dog,Fencing Issues,DOOLANDELLA,Rapid Response Group
Animal,Cat,Wandering,MACGREGOR,City Safety (Animal Management)
Animal,Dog,Wandering,DURACK,City Safety (Animal Management)
Animal,Attack,Attack On A Person,WEST END,Enforcement Animal Attack
Animal,Other Animal,Feral Pig,SANDGATE,Environmental Management Team
Animal,Dog,Wandering,CHERMSIDE,City Safety (Animal Management)
Animal,Cat Trapping,,SHORNCLIFFE,Environmental Management Team
Animal,Dog,Wandering,ASCOT,City Safety (Animal Management)
Animal,Dog,Wandering,HAMILTON,Scheduling and Dispatch
Animal,Dog,Fencing Issues,INALA,Rapid Response Group
Animal,Dog,Wandering,LOTA,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,BOONDALL,Enforcement Animal Attack
Animal,Dog,Wandering,FOREST LAKE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,WAVELL HEIGHTS,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,CHERMSIDE,Enforcement Animal Attack
Animal,Dog,Fencing Issues,CHERMSIDE,Rapid Response Group
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety Assessments Team
Animal,Dog,Wandering,WEST END,City Safety (Animal Management)
Animal,Cat Trapping,,CLAYFIELD,Environmental Management Team
Animal,Cat,Wandering,MACKENZIE,City Safety Assessments Team
Animal,Other Animal,Fox,NATHAN,Environmental Management Team
Animal,Other Animal,Fox,BOONDALL,Environmental Management Team
Animal,Other Animal,Feral Pig,SANDGATE,Environmental Management Team
Animal,Dog,Wandering,BULIMBA,City Safety (Animal Management)
Animal,Attack,Attack On A Person,PALLARA,Enforcement Animal Attack
Animal,Other Animal,,INALA,City Safety (Animal Management)
Animal,Other Animal,Fox,ROBERTSON,Environmental Management Team
Animal,Dog,Fencing Issues,WEST END,Scheduling and Dispatch
Animal,Cat,Wandering,BRACKEN RIDGE,City Safety (Animal Management)
Animal,Other Animal,Pest / Feral Animal,CARINDALE,Rapid Response Group
Animal,Other Animal,Pest / Feral Animal,CARINA HEIGHTS,Rapid Response Group
Animal,Attack,,GREENSLOPES,Enforcement Animal Attack
Animal,Cat Trapping,,ACACIA RIDGE,Environmental Management Team
Animal,Dog,Wandering,KENMORE HILLS,City Safety (Animal Management)
Animal,Attack,Attack On A Person,INALA,Rapid Response Group
Animal,Attack,Attack On A Person,INALA,Scheduling and Dispatch
Animal,Attack,Attack On An Animal,CALAMVALE,Enforcement Animal Attack
Animal,Dog,Too Many Animals,ZILLMERE,City Safety (Animal Management)
Animal,Attack,Attack On A Person,FIG TREE POCKET,Enforcement Animal Attack
Animal,Cat,Wandering,FERNY GROVE,City Safety (Animal Management)
Animal,Attack,Attack On An Animal,TINGALPA,Enforcement Animal Attack
Animal,Attack,Attack On An Animal,HEMMANT,Enforcement Animal Attack
Animal,Attack,Not An Attack,SUNNYBANK HILLS,Rapid Response Group
Animal,Other Animal,Wandering,DARRA,City Safety (Animal Management)
