crl.tot,dollar,bang,money,n000,make,yesno
240,0.186,0.28,0.53,0.53,2.12,y
96,0,0.135,0,0,0,y
51,0,0,0,0.56,0,y
164,0.069,0.83,1.32,0,0,y
101,0,1.192,0,0,0,y
979,0.046,0.585,0,0,0,y
574,0.013,0.095,0.08,0.34,0.17,y
63,0.147,0.294,0,0,0,y
181,0.252,1.18,0,1.62,0.54,y
574,0.013,0.108,0.08,0.34,0.17,y
180,0.253,1.183,0,1.61,0.53,y
91,0,0.067,0,0,0.51,y
212,0.321,1.045,0,0,0,y
255,0.184,0.985,0,0.38,0,y
256,0.186,0.869,0,0.39,0,y
144,0,0.915,1.29,0,0.43,y
363,0.112,0.187,0,1.6,0.45,y
137,0,0.615,0,0,0,y
121,0,0.893,0,0,0,y
165,0.068,0.816,1.31,0,0,y
81,0,0.353,0,0,0,y
1733,0.15,0.563,0.44,0.44,0.22,y
537,0.223,0.287,0.34,0.34,0.34,y
61,0,0,0,0,0,y
233,1.417,0.202,0,0,0,y
180,0.253,1.182,0,1.62,0.54,y
57,0,0.08,0,0,0,y
94,0.165,0.165,0,0,0,y
965,0.022,0,0.02,0.37,0.07,y
965,0.022,0,0.02,0.37,0.07,y
1329,0.185,0.212,0.08,0.89,0.17,y
242,0.267,0.468,0,0.96,0,y
102,0.816,0.081,0,1.38,0.46,y
91,0.061,0.366,0.34,0.34,1.03,y
841,0.063,0.633,0.54,0,0,y
476,0.021,0.779,0.39,0.13,0.26,y
143,0.157,0,0.32,0,0,y
143,0.159,0,0.32,0,0,y
305,0.032,0.258,0.19,0,0.19,y
354,0.112,0.188,0,1.61,0.46,y
95,0,1.094,0,0,0,y
156,0.171,0,0,0,0,y
1087,0.752,0.884,0,0,0,y
145,0,0.683,0,0,0,y
955,0.08,0.773,0,0,0.16,y
88,0,0,0,0,0,y
519,0.278,1.113,0.84,0,0.84,y
32,0,0,0,0,0,y
32,0,0,0,0,0,y
1140,0.013,0.088,0.08,0.34,0.17,y
377,0,0.471,0,0,0,y
294,0.082,0,0,0,0,y
75,0,1.806,0,0,0,y
617,0.193,0.129,0.22,0.22,0,y
385,0,0.479,0,0,0,y
39,0,0.814,0,1.12,0,y
139,0.158,0,0.32,0,0,y
214,0,0.937,0,0,0,y
385,0,0.479,0,0,0,y
62,0.437,0.145,0,0,0,y
255,0.263,0.461,0,0.95,0,y
1128,0.707,0.862,0,0,0,y
130,0,0,0,0,0,y
157,0.829,2.766,0,0,0,y
1561,0.097,0.39,0.16,0.08,0.08,y
966,0.305,0.75,0.69,0.06,0.48,y
966,0.305,0.75,0.69,0.06,0.48,y
54,0,2.453,0,0,0,y
217,0,0.931,0,0,0,y
125,0.347,1.62,0,0.8,0.8,y
202,0.162,0,0.33,0,0,y
802,0.159,0.159,0.14,0,0.07,y
202,0.161,0,0.33,0,0,y
1128,0.707,0.862,0,0,0,y
155,0,0.043,0,0.31,0,y
963,0.083,0.665,0,0,0,y
114,0.135,0.271,0,0,0,y
400,0.127,0.204,0.44,0,0.14,y
91,0,0.784,0,0,0,y
129,0.203,0.203,0.25,0,0,y
75,0.09,0.09,0,0,0.58,y
400,0.127,0.204,0.44,0,0.14,y
400,0.127,0.204,0.44,0,0.14,y
86,0,0.829,0,0,0,y
210,0.124,0.041,0,0,0.25,y
66,0,0,0,0,0,y
373,0,0.487,0,0,0,y
417,0.057,0.085,0,0.35,0,y
256,0.267,0.401,0,0.95,0,y
373,0,0.487,0,0,0,y
942,0,0.315,0,0,0,y
373,0,0.487,0,0,0,y
163,0.18,0.54,0,0,0,y
1200,0.784,0.764,0,0,0,y
869,0.03,0.632,0,0,0,y
513,0.129,1.453,0.6,0.2,0.4,y
87,0,0.531,0,0,0,y
1128,0.753,0.732,0,0,0,y
131,0,0.867,0,0,0,y
117,0,1.117,0,0,0,y
442,0.167,0.01,0.06,0.84,0.18,y
817,0.065,0.785,0.2,0,0.1,y
347,0.21,0.841,0,0,0,y
599,0.057,1.158,0.35,0,0.17,y
1456,0.103,0.348,0.17,0.08,0.08,y
285,0.036,0.841,0.23,0,0,y
240,0.032,0,0,0,0,y
266,0.263,0.702,0.52,1.58,0,y
139,0.157,0,0.32,0,0,y
129,0.318,0.715,0,0.54,0.54,y
36,0.253,0.759,0,0,1.63,y
244,0.107,0.242,0.18,0,0,y
213,0,0.411,0,0,0.35,y
68,0,0,0,0,0.34,y
239,0.107,0.295,0.18,0,0,y
119,0.459,0.551,0,0.64,0.64,y
139,0.159,0,0.32,0,0,y
119,0.369,0.554,0,0.64,0.64,y
191,0.07,0.07,0,0.18,0,y
87,0,0.532,0,0,0,y
56,0,0.309,0,0,0,y
116,0,0.129,0,0,0,y
114,0,1.133,0,0,0,y
264,0,0.718,0,0,0,y
1116,0.663,0.906,0,0,0,y
442,0.167,0.01,0.06,0.85,0.18,y
389,0.094,0.322,0,0.11,0,y
19,0,1.284,0,0,0,y
87,0.269,0.672,0,0,0,y
53,0.199,0,1.31,0,0,y
251,0.107,0.268,0.18,0,0,y
244,0.107,0.241,0.18,0,0,y
139,0.157,0,0.32,0,0,y
217,0,0.511,0,0,0,y
349,0,1.152,0,0,0,y
19,0,0,0,0,0,y
217,0,0.511,0,0,0,y
19,0,0,0,0,0,y
967,0.681,0.754,0,0,0,y
33,0.137,0.275,1,1,0,y
107,0.175,0.351,0,0,0,y
1030,0.67,0.693,0,0,0,y
127,0,1.434,0,0,0,y
54,0.201,0,1.31,0,0,y
72,0.23,0.23,0,0,0,y
77,0,0.217,0,0,0,y
211,0.209,0.209,0.76,0.25,0.25,y
356,0.181,0.604,0,0.36,0,y
122,0.37,0.462,0,0.64,0.64,y
65,0.062,0.31,0,0,0,y
72,0.23,0.23,0,0,0,y
38,0,0,0,0,0,y
139,0.159,0,0.32,0,0,y
55,0.198,0,1.29,0,0,y
72,0.23,0.23,0,0,0,y
118,0.3,0.501,0,0.63,0.63,y
122,0.463,0.834,0,0.65,0.65,y
2043,1.121,0,0,0,0.19,y
65,0.062,0.31,0,0,0,y
1254,0.038,0.406,0,0,0.08,y
122,0.37,0.462,0,0.64,0.64,y
65,0.062,0.31,0,0,0,y
356,0.181,0.604,0,0.36,0,y
51,0,0,0,0,0,y
72,0.23,0.23,0,0,0,y
139,0.158,0,0.32,0,0,y
441,0.167,0.01,0.06,0.85,0.18,y
54,0.201,0,1.31,0,0,y
161,0.127,0.063,0,0.45,0,y
21,0,0,0,0,0,y
19,0,0,0,0,0,y
3271,0.017,0.107,0,0,0,y
2,0,5,0,0,0,y
81,0,2.443,0,0,0.48,y
543,0.036,1.018,0,0,0,y
139,0.158,0,0.32,0,0,y
6,0,0,0,0,0,y
543,0.036,1.018,0,0,0,y
89,0,0.11,0,0,0,y
660,0.259,0.102,0.05,0.23,0.05,y
139,0.157,0,0.32,0,0,y
132,0.11,0.332,0,0,0,y
3271,0.017,0.107,0,0,0,y
139,0.114,0.802,0,0,0,y
2205,0.338,0.831,0.4,0,0.2,y
178,0.103,0.517,0,0,0,y
61,0,0.108,0,0,0,y
136,0,0.153,0,0,0,y
2218,0.479,0.319,0.46,0.46,0.35,y
183,0,0.397,0,0,0,y
31,0,0,0,0,0,y
53,0.199,0,1.31,0,0,y
479,0.202,0.101,0.96,0.72,0.6,y
37,0,0,0,0.44,0,y
1402,0.114,0.42,0.08,0.85,0.08,y
120,0,0.663,0,0,0,y
1315,0.745,0.826,0,0,0,y
444,0.169,0.01,0.06,0.85,0.18,y
451,0.169,0.01,0.06,0.85,0.18,y
1059,0.236,0.429,0.76,0.44,0.76,y
1277,0.109,0.369,0.17,0.08,0.08,y
1834,0.101,0.356,0.08,1.1,0.08,y
95,0,0.163,0,0,0,y
19,0,0,0,0,0,y
72,0.42,0.105,0,1.78,0,y
74,0.304,0.101,0.6,0,0.6,y
1070,0.235,0.428,0.76,0.44,0.76,y
78,0.326,0.163,0,0,0,y
141,0,0.537,0,0,0,y
189,0,0.286,0.67,0,0,y
655,0.134,0.23,0.46,0.46,0.11,y
115,0,0,0,0,0,y
13,0,0.616,0,0,0,y
94,0.061,0.367,0.35,0.35,1.05,y
75,0,0.524,0,0,0,y
113,0,0,0,0,0.29,y
105,0,0.52,0,0,0,y
1278,0.109,0.369,0.17,0.08,0.08,y
102,0.082,0.165,0.58,0,0,y
3550,0.019,0.034,0,0,0.1,y
301,0.683,2.636,0,0,0,y
153,0,0.354,0,0,0.25,y
1407,0.114,0.394,0.08,0.85,0.08,y
1234,0,0.34,0,0,0,y
320,0.216,0.577,0,0.43,0,y
368,0.153,0.153,0.44,0,0.14,y
1222,0.08,0.269,0,0.14,0,y
121,0.273,0.456,0,0.62,0.62,y
621,0.054,1.118,0.33,0,0.16,y
1229,0.072,0.241,0,0.14,0,y
1216,0.076,0.255,0,0.15,0,y
2333,0.51,0.443,0.54,0.51,0.51,y
228,0.519,1.143,0,0,0,y
389,0.193,0.367,0.22,0,0.33,y
225,0.165,0.497,0,0,0,y
52,0,3.571,0,0,0,y
3210,0.847,0.382,0.51,1.03,0.49,y
389,0.193,0.367,0.22,0,0.33,y
34,0,0.7,0,0,0,y
35,0,0.146,0,0,0,y
353,0,0.801,0,0,0,y
126,0,0,0,0,0,y
249,0.412,0.412,0,0.76,0,y
21,0,0.277,0,0,0,y
249,0.412,0.412,0,0.76,0,y
261,0,1.257,0,0,0,y
9,0,0,0,0,0,y
483,0.222,0.101,0.96,0.72,0.6,y
229,0,0.935,0,0,0,y
389,0.094,0.056,0,0,0,y
36,0,1.007,0,0,0,y
38,0.21,0.421,3.61,0,0,y
72,0.38,0.19,0,1.07,0,y
23,0,1.336,0,0,0,y
2541,0.133,0.334,0.99,1.39,0.59,y
41,3.125,0,0,0,0,y
144,0,0,0,0,0.27,y
278,0,0.777,0,0,0,y
1078,0,0.369,0,0,0,y
389,0.196,0.373,0.22,0,0.33,y
254,0.041,0.041,0,0,0.12,y
254,0.041,0.041,0,0,0.12,y
421,0.046,0.89,0.31,0,0.31,y
100,0.177,0.8,0.51,0,0,y
80,0.336,0.084,0,1.44,0,y
2,0,0,0,0,0,y
144,0,0,0,0,0,y
229,0.171,0.057,0,0.35,0,y
91,0.251,0.251,0,0,0,y
84,0.186,0.186,0,0,0,y
493,0,0.187,0,0,0,y
477,0,0.203,0,0,0,y
94,0,0.176,0,0,0,y
180,0,1.385,0,0,0,y
36,0,0,0,0,0,y
72,0.389,0,0,1.08,0,y
59,0,0.486,0,0,0,y
1016,3.305,0.141,1.47,0.31,0.21,y
189,0.04,0,0,0.23,0,y
1171,0.085,0.341,0.36,0,0.09,y
23,0,0.546,0,0,0,y
15,0,2.631,0,0,0,y
15,0,5.844,0,0,0,y
23,0,1.081,0,0,0,y
105,0,0.574,0,0,0,y
65,0,0.536,0,0,0,y
157,0.156,0,0.32,0,0,y
79,0.383,0.191,0,1.08,0,y
24,0,3.448,0,0,0,y
79,0.383,0.191,0,1.08,0,y
910,0.053,0,0,0.05,0,y
58,0,0.291,0,0,0,y
301,0.065,0.816,0.2,0,0,y
2,0,4.347,0,0,0,y
329,0.065,0.016,0,0.75,0.1,y
595,0.225,0.902,0.49,0,0.65,y
1458,0.151,0.318,0.19,0.39,0.09,y
26,0,0.396,0,0,0,y
1428,0.156,0.297,0.2,0.4,0.1,y
289,0,1.096,0,0,0,y
1407,0.114,0.394,0.08,0.85,0.08,y
287,0.173,0.26,0,2.05,0.25,y
41,0.171,0.171,0,2.1,0,y
1890,0.162,0.518,0.1,0.51,0,y
1428,0.156,0.297,0.2,0.4,0.1,y
474,0,0.19,0,0,0,y
702,0.264,0.611,1.04,0.1,0,y
61,0.634,0.422,0,0,0,y
26,0,0,0,0,0,y
92,0.111,0.111,0.62,0,0,y
1460,0.338,0.492,0.29,0.47,0.23,y
2340,0.509,0.478,0.58,0.51,0.51,y
33,0,0,0,0,0,y
82,0.408,0.408,0,1.12,0,y
165,0.761,0.084,0,3.38,0,y
1410,0.114,0.394,0.08,0.85,0.08,y
381,0,0.264,0,0,0,y
140,0.233,0.233,0,1.42,0,y
279,0.173,0.13,0,0.31,0,y
1045,0.151,1.06,0.26,0.53,0.4,y
364,0.129,0.843,0,0,0,y
71,0.367,0.919,0,1.85,0,y
1991,0.493,0.507,0.53,0.45,0.32,y
117,0.151,0,0.87,0,0,y
131,0.466,0.093,0,1.59,0,y
3116,0.069,0.556,0.7,0.61,0.35,y
660,1.961,0.387,1.36,0.68,0.51,y
43,0,0.311,0,0,0.53,y
1280,0.101,0.101,0.06,0.06,0.26,y
61,0.626,0.208,0,0,0,y
120,0,0.291,0,1.05,0,y
110,0,0.057,0,0,0.31,y
63,0.111,1.116,0,0,0,y
64,0.11,1.103,0,0,0,y
259,4.017,0.378,0,0.62,0,y
1509,0.191,0.42,0.11,0.59,0,y
535,0.031,0.249,0.09,0.36,0.09,y
137,0.41,0.082,0,1.41,0,y
368,0.128,0.153,0.44,0,0.14,y
151,0,0.125,0,0,0,y
368,0.128,0.153,0.44,0,0.14,y
2220,0.5,0.456,0.6,0.37,0.5,y
490,0.223,0.382,0,0.61,0,y
116,0.74,0.211,0,2.85,0.57,y
114,0.763,0.109,0,2.95,0.59,y
261,0.121,0.121,0.4,0.6,0,y
113,0.216,0.185,0,0.19,0.19,y
60,0.632,0.21,0,0,0,y
62,0.61,0.203,0,0,0,y
381,0.065,0.016,0,0.74,0,y
64,0,0.537,0.9,0,0.9,y
25,0.17,0,0,0,0,y
555,0,0.153,0,0,0,y
126,0.5,0.142,0,0.46,0,y
250,0.118,0.094,0.42,0.14,0.28,y
46,0,0,0,0,0,y
108,0.353,0.088,0.55,0,0,y
2,0,0,12.5,0,0,y
151,0,0.121,0,0,0,y
21,0,0,1.47,0,0,y
339,0,0.324,0.26,0,0.26,y
59,0.048,0,0,0,0.33,y
118,0,0.11,0,0,0,y
565,0.132,1.689,0.61,0.2,0.41,y
18,0,0.774,0,0,0,y
32,0,0.111,0,0,0,y
2426,0.505,0.439,0.54,0.5,0.5,y
386,0.042,1.289,0.84,0.28,0.56,y
441,0.113,0.213,0.66,0,0.33,y
328,0,0.215,0.34,0,0,y
981,0.299,1.082,1.03,0.12,0.64,y
222,0.092,0,0.78,0,0,y
549,0,0.616,0,0,0,y
96,0.232,0.232,0.68,0.68,0,y
149,0.156,0,0.32,0,0,y
158,0,0.368,0,0,0,y
134,0,0.225,0,0,0,y
134,0,0.223,0,0,0,y
44,0,0,0,0,2.43,y
62,0,0,0,0,0,y
400,0,0,0,0,0,y
2771,0.535,0.363,0.52,0.63,0.52,y
94,0,0.649,0,0,0,y
81,0.189,0.189,0,0,0,y
92,0,0.699,0,0,0,y
231,0.034,0.375,0,0,0.5,y
83,0.176,0.176,0.51,0,1.03,y
632,0.308,0.745,1.38,0,1.18,y
632,0.31,0.749,1.38,0,1.18,y
632,0.306,0.741,1.38,0,1.18,y
62,0,0,0,0,0,y
85,0.338,0,0,0,0,y
757,0.177,1.316,0.55,0.13,0.13,y
2761,0.023,0.095,0,0.46,0,y
542,0.03,0.242,0.09,0.36,0.09,y
726,0.182,1.294,0.55,0.13,0.13,y
632,0.31,0.749,1.38,0,1.18,y
1319,0,0,0,0,0,y
94,0,0.125,0,0,0,y
178,0.108,0.072,0.47,0,0,y
48,0,0.277,0,0,2.32,y
36,0,0,0,0,0,y
53,0,0.334,0,0,0,y
385,0.134,0.574,0.22,0.11,0.45,y
124,0,1.255,0,0,0,y
302,0.12,0.034,0,0.55,0,y
309,0,0.274,0,0,0,y
1592,0.236,0.388,1.14,1.82,0.68,y
30,0,0,0,0,0,y
111,0.17,0.085,0,0,0,y
74,0,3.333,0,0,0,y
62,0,0.546,0.9,0,0.9,y
3269,0.626,0.322,0.35,1.09,0.49,y
75,0.183,0.612,0.79,1.18,0.39,y
58,0,0.192,0,0,0,y
621,0.055,1.718,0.34,0,0.17,y
358,0.403,0.359,0.25,0.77,0.51,y
150,0.107,0.321,0,0.62,0,y
87,0,0,0,0,0,y
125,0,0.519,0,0.84,0,y
72,0,0.132,0.71,0,0,y
528,0.03,0.246,0.09,0.36,0.09,y
666,0.132,0.265,0.45,0.45,0.11,y
133,0.361,0.433,0,2.2,0.44,y
1351,0.152,0.474,0.1,0.6,0.1,y
666,0.132,0.265,0.45,0.45,0.11,y
2184,0.585,0.438,0.46,0.38,0.42,y
114,0.07,2.115,0,0.45,0,y
391,0.176,0.392,0.22,0,0.33,y
30,0,0,0,0,0,y
69,0.109,1.096,0,0,0,y
53,0,0.218,0,2.24,0,y
261,0,0.125,0,1.36,0,y
54,0,0.218,0,0,0,y
36,0,0,0,0,0,y
870,0.224,0.404,0.29,0.09,0.19,y
50,0,0.113,0,0,0,y
365,0.247,0.19,0.49,0.39,0.79,y
270,0.309,0.206,0,0,0,y
106,0,0,0,0,0,y
177,0.888,0.414,0,1.47,0,y
134,0,0.77,0,0,0,y
1043,0.384,0.928,0.3,0,0.1,y
13,0,0,0,0,0,y
2184,0.528,0.452,0.63,0.38,0.52,y
35,0,0,0,0,0,y
956,0.027,0.167,0,0,0,y
291,0,1.065,0,0,0,y
386,0.043,1.294,0.84,0.28,0.56,y
334,0,0.531,0,0,0,y
1107,0.182,0.127,0.34,0.17,0.34,y
157,0.089,0.983,0,0,0,y
137,0.358,0.43,0,2.2,0.44,y
108,0.472,0.472,0.42,0,1.26,y
280,0.141,0.425,0,0,0,y
293,0.289,0.072,0,0,0,y
84,0,1.344,0,0,0.89,y
46,0,0.257,2.04,0,0,y
277,0.142,0.427,0,0,0,y
91,0,1.149,0,0,0,y
1235,0,0.366,0,0,0.13,y
94,0.13,0.52,1.94,0,0,y
159,0.063,0,0,0,0,y
165,0.297,0.669,0,0.44,0,y
312,0,0.477,0,0,0,y
238,0,1.336,0,0,0,y
513,0.464,0.406,0,0.66,0.33,y
36,1.305,0.163,0.94,0,0,y
300,0.062,0.435,1.1,0.36,0.73,y
161,0.159,0.372,0,0,0,y
1057,0.02,0.352,0,0,0,y
70,0.099,0.396,0.57,0,0.57,y
160,0.062,0.621,0,0,0,y
3,0,0,0,0,0,y
991,0,0.583,0,0,0,y
3243,0.672,0.308,0.36,1.09,0.51,y
262,0,0.23,1.05,0,0.7,y
243,0.182,0.728,0,1.23,0.3,y
118,0,0.046,0,0,0,y
350,0,0.897,0,0,0,y
606,0.054,0.337,0.32,0,0.56,y
1096,0.022,0.022,0.26,0.13,0,y
125,0,1.098,0,2.59,0,y
640,0.894,0.246,0,0,0.09,y
1328,0.106,0.902,0,0,0.34,y
81,0,0.269,0,0,0,y
31,0,1.111,0,0,0,y
9088,0,0.03,0.04,0,0,y
189,0.114,0.513,0,0.41,0.82,y
111,0.161,0.644,0,0.42,0,y
1044,0.39,0.991,0.3,0,0.1,y
9090,0,0.034,0.04,0,0,y
3498,0.166,0.64,0.84,0.34,0.87,y
67,0,0.061,0,0,0.43,y
156,0.063,0.158,0.2,0,0,y
518,0,0.671,0.77,0,2.32,y
1481,0.202,0.233,0.72,0.4,0.08,y
707,0.077,1.132,0.31,0.55,0.07,y
2207,0.543,0.453,0.63,0.38,0.52,y
1613,0.141,0.337,0.76,0.29,0.4,y
24,0.439,0,0,0,0,y
86,0,0.323,0,0.31,0,y
86,0,0,0,0,0,y
86,0,0.109,0,0,0,y
125,0,1.098,0,2.59,0,y
199,0,3.851,0,0.86,0,y
127,0.105,0.052,0,0,0,y
1351,0.158,0.49,0.1,0.6,0.1,y
727,0.049,0.248,0.33,0.49,0,y
1112,0.217,0.593,0.93,0.8,0.4,y
1351,0.158,0.49,0.1,0.6,0.1,y
1589,0.388,0.406,0.31,0.52,0.15,y
1028,0.396,0.974,0.3,0,0.1,y
472,0,0,0,0,0,y
105,0,0.128,0,0,0,y
640,0.674,0.179,0,0,0,y
1046,0.397,0.977,0.3,0,0.1,y
49,0,0,0,0,0,y
977,0.39,0.244,0,3.38,0,y
509,0.107,0.287,0,0,0.11,y
93,0.223,0.223,0.74,0,0,y
499,0.077,0.847,0.49,0,0.24,y
1621,0.141,0.343,0.76,0.29,0.4,y
723,0.452,0.169,0.47,0,0.95,y
292,0.206,0.206,0,0.31,0,y
194,0.145,0.145,0,0,0,y
640,0.673,0.179,0,0,0,y
191,0.288,0.144,0,0,0,y
45,0,0.334,1.96,0,0,y
576,0.037,1.362,0.23,0,0,y
104,0,0.122,0.38,0,0,y
1349,0.101,0.859,0,0,0.33,y
1349,0.101,0.858,0,0,0.32,y
247,0.034,0.238,0,0,0,y
1351,0.158,0.49,0.1,0.6,0.1,y
1339,0.224,0.25,0.16,0.91,0.16,y
1339,0.224,0.25,0.16,0.91,0.16,y
38,0.171,0.343,0,0,0.93,y
228,0.83,0.276,0,1.3,0,y
97,0,0.124,0.39,0,0,y
38,0,0,0,0,0,y
264,0.061,0.367,0,0.36,0,y
141,0,0.328,0,0,0,y
