ParentCoFinal,EMPTY,HDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Bananko,0,0,1,0,0,0,1,6,327
Gummi 2 Love,0,0,1,0,0,0,1,6,327
Dymatize,0,0,1,0,0,0,1,6,327
Felsenau,0,0,1,0,0,0,1,6,327
Chopfab,0,0,1,0,0,0,1,6,327
Beef Sticks,0,0,1,0,0,0,1,6,327
Blue Double,0,0,1,0,0,0,1,6,327
Bischoffzell,0,0,1,0,0,0,1,6,327
Anna's best,0,0,1,0,0,0,1,6,327
AriZona Beverages,0,0,0,0,1,0,1,6,327
Hans Schlatter,0,0,1,0,0,0,1,6,327
Citerio,0,0,1,0,0,0,1,6,327
Clio,0,0,1,0,0,0,1,6,327
Daim,0,0,1,0,0,0,1,6,327
Jean Pielle,0,0,1,0,0,0,1,6,327
Cardinal,0,0,1,0,0,0,1,6,327
Jack Beefjerky,0,0,1,0,0,0,1,6,327
Canlar,0,0,1,0,0,0,1,6,327
SchÃ¼tzengarten,0,0,0,0,0,0,0,6,327
Striker,0,0,0,0,0,0,0,6,327
Cechetto,0,0,0,0,0,0,0,6,327
Bluseco,0,0,0,0,0,0,0,6,327
Sternenbier,0,0,0,0,0,0,0,6,327
Captain Morgan,0,0,0,0,0,0,0,6,327
Starbucks,0,0,0,0,0,0,0,6,327
Savitos,0,0,0,0,0,0,0,6,327
Schweps,0,0,0,0,0,0,0,6,327
Sprint,0,0,0,0,0,0,0,6,327
Sony,0,0,0,0,0,0,0,6,327
Schokko Bons,0,0,0,0,0,0,0,6,327
Solero Exotic,0,0,0,0,0,0,0,6,327
Société Bic,0,0,0,0,0,0,0,6,327
CIRC Scooter,0,0,0,0,0,0,0,6,327
Snikers,0,0,0,0,0,0,0,6,327
Bird Scooter,0,0,0,0,0,0,0,6,327
Slushpuppy,0,0,0,0,0,0,0,6,327
CHOPF AB,0,0,0,0,0,0,0,6,327
Schwarten Magen,0,0,0,0,0,0,0,6,327
Sexergy,0,0,0,0,0,0,0,6,327
Superbock,0,0,0,0,0,0,0,6,327
Titanium Gordon,0,0,0,0,0,0,0,6,327
Big,0,0,0,0,0,0,0,6,327
Switcher,0,0,0,0,0,0,0,6,327
Ã–ttingen,0,0,0,0,0,0,0,6,327
Ãœltje,0,0,0,0,0,0,0,6,327
swiss beverage,0,0,0,0,0,0,0,6,327
Absolut,0,0,0,0,0,0,0,6,327
Air China,0,0,0,0,0,0,0,6,327
Allegra,0,0,0,0,0,0,0,6,327
ZÃ¼ri,0,0,0,0,0,0,0,6,327
ZÃ¶pfli,0,0,0,0,0,0,0,6,327
Zweifel Chips,0,0,0,0,0,0,0,6,327
Alo Aloe Vera,0,0,0,0,0,0,0,6,327
XTC Guarana,0,0,0,0,0,0,0,6,327
Andros,0,0,0,0,0,0,0,6,327
Volg,0,0,0,0,0,0,0,6,327
VogelnÃ¤stli,0,0,0,0,0,0,0,6,327
Appenzell still water,0,0,0,0,0,0,0,6,327
Aquina Water,0,0,0,0,0,0,0,6,327
Victoria,0,0,0,0,0,0,0,6,327
BIC (lighter),0,0,0,0,0,0,0,6,327
Bachmann,0,0,0,0,0,0,0,6,327
Balisto,0,0,0,0,0,0,0,6,327
Twister,0,0,0,0,0,0,0,6,327
Tuborg,0,0,0,0,0,0,0,6,327
Troyka,0,0,0,0,0,0,0,6,327
Trojkan,0,0,0,0,0,0,0,6,327
Trink Obst,0,0,0,0,0,0,0,6,327
Biber,0,0,0,0,0,0,0,6,327
Bierbrauerei Ãœetliberg,0,0,0,0,0,0,0,6,327
Tell,0,0,0,0,0,0,0,6,327
Bifidus,0,0,0,0,0,0,0,6,327
Chocko Smoki,0,0,0,0,0,0,0,6,327
CreditSuisse,0,0,0,0,0,0,0,6,327
Rudolf Wild & Co.,0,0,0,0,0,0,0,6,327
Gralsberg,0,0,0,0,0,0,0,6,327
FeldschlÃ¶ssli,0,0,0,0,0,0,0,6,327
Monster Energy,0,0,0,0,0,0,0,6,327
Fishermans Friend,0,0,0,0,0,0,0,6,327
Fishermens Friends,0,0,0,0,0,0,0,6,327
Flying Row,0,0,0,0,0,0,0,6,327
Fosters,0,0,0,0,0,0,0,6,327
Freedea,0,0,0,0,0,0,0,6,327
Michel,0,0,0,0,0,0,0,6,327
Mentos Gum,0,0,0,0,0,0,0,6,327
Menthos,0,0,0,0,0,0,0,6,327
McDonaldâ€™s,0,0,0,0,0,0,0,6,327
Mc Donald's,0,0,0,0,0,0,0,6,327
Maxi King,0,0,0,0,0,0,0,6,327
Martini,0,0,0,0,0,0,0,6,327
GuaranÃ,0,0,0,0,0,0,0,6,327
Feigling,0,0,0,0,0,0,0,6,327
Malboro,0,0,0,0,0,0,0,6,327
MOM,0,0,0,0,0,0,0,6,327
HIPP,0,0,0,0,0,0,0,6,327
LÃ¶wenbrÃ¤u,0,0,0,0,0,0,0,6,327
Haldengut,0,0,0,0,0,0,0,6,327
Lowenbrau,0,0,0,0,0,0,0,6,327
Lolipop,0,0,0,0,0,0,0,6,327
Halter,0,0,0,0,0,0,0,6,327
Ice Tea,0,0,0,0,0,0,0,6,327
Lacrinorm,0,0,0,0,0,0,0,6,327
Kraft Heinz Company,0,0,0,0,0,0,0,6,327
Knoppers,0,0,0,0,0,0,0,6,327
Knopers,0,0,0,0,0,0,0,6,327
Kinderschokolade,0,0,0,0,0,0,0,6,327
FeldschlÃ¶ssen,0,0,0,0,0,0,0,6,327
Nici Stofftier,0,0,0,0,0,0,0,6,327
Romeo,0,0,0,0,0,0,0,6,327
Prix Garantie,0,0,0,0,0,0,0,6,327
Clarins,0,0,0,0,0,0,0,6,327
Constellation,0,0,0,0,0,0,0,6,327
Coop Trockenfleisch,0,0,0,0,0,0,0,6,327
Jim Beam,0,0,0,0,0,0,0,6,327
Refresco Benelux,0,0,0,0,0,0,0,6,327
Crunchy,0,0,0,0,0,0,0,6,327
Red Label Whisky,0,0,0,0,0,0,0,6,327
David Energy Drinks,0,0,0,0,0,0,0,6,327
RayBan,0,0,0,0,0,0,0,6,327
Desperado,0,0,0,0,0,0,0,6,327
Ramseier,0,0,0,0,0,0,0,6,327
Dextro Energen,0,0,0,0,0,0,0,6,327
Domino Pizza,0,0,0,0,0,0,0,6,327
Pueblo,0,0,0,0,0,0,0,6,327
Potato chip,0,0,0,0,0,0,0,6,327
Nike,0,0,0,0,0,0,0,6,327
Pickup,0,0,0,0,0,0,0,6,327
Donic SchildkrÃ¶t,0,0,0,0,0,0,0,6,327
Dr Pepper Snapple Group,0,0,0,0,0,0,0,6,327
Duplo,0,0,0,0,0,0,0,6,327
Pasta Salad,0,0,0,0,0,0,0,6,327
Passaia,0,0,0,0,0,0,0,6,327
Party Honey Nuts,0,0,0,0,0,0,0,6,327
ESSO,0,0,0,0,0,0,0,6,327
Eagle Energy Drink,0,0,0,0,0,0,0,6,327
Ottarkinger,0,0,0,0,0,0,0,6,327
Eichhof,0,0,0,0,0,0,0,6,327
Einsiedel,0,0,0,0,0,0,0,6,327
Elmer Citro,0,0,0,0,0,0,0,6,327
OK (Valora),0,0,0,0,0,0,0,6,327
664,0,0,0,0,0,0,0,6,327
