ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,pp,ps,Grand Total,number of events,number of volunteers
Mega Market,0,0,0,4,2,0,0,0,0,0,6,4,400
Mexico,0,0,0,6,0,0,0,0,0,0,6,4,400
Pham Nguyen Company,0,0,0,6,0,0,0,0,0,0,6,4,400
Cty Nabati Vn,0,0,0,6,0,0,0,0,0,0,6,4,400
Nha May Kem Thu Do,0,0,0,6,0,0,0,0,0,0,6,4,400
New Toyo Pulppy,0,0,0,0,6,0,0,0,0,0,6,4,400
Cong Ty Tnhh Sx Tm Giay Bao Bao,0,0,6,0,0,0,0,0,0,0,6,4,400
Mondelez International,0,0,0,6,0,0,0,0,0,0,6,4,400
Friesland Campina,0,0,0,6,0,0,0,0,0,0,6,4,400
San Xuat Tai Da Lat,0,0,0,6,0,0,0,0,0,0,6,4,400
"Sp Cua Tuy Hoa, Phu Yen",0,0,0,6,0,0,0,0,0,0,6,4,400
Betagen,0,0,0,0,0,0,4,0,2,0,6,4,400
Cong Ty Tnhh New Toyo Pulppy,0,0,6,0,0,0,0,0,0,0,6,4,400
Kidofood,0,0,0,6,0,0,0,0,0,0,6,4,400
Cai Lan,0,0,0,6,0,0,0,0,0,0,6,4,400
Khai Ha,0,0,0,6,0,0,0,0,0,0,6,4,400
Baka,0,0,0,6,0,0,0,0,0,0,6,4,400
Biscafun,0,0,0,3,0,2,0,0,0,0,5,4,400
Bien Hoa Sugar Company,0,0,0,0,5,0,0,0,0,0,5,4,400
Kfood,0,0,0,4,0,0,1,0,0,0,5,4,400
Cameda,0,0,0,0,5,0,0,0,0,0,5,4,400
Omachi,0,0,0,5,0,0,0,0,0,0,5,4,400
Cong Ty Cp Nooc Khoang Khanh Hoa,0,0,0,0,5,0,0,0,0,0,5,4,400
Phuc Long,0,0,0,5,0,0,0,0,0,0,5,4,400
Phuong Nam,0,0,0,0,5,0,0,0,0,0,5,4,400
Cong Ty Cp Thuc Pham 19 Thang 8,0,0,0,5,0,0,0,0,0,0,5,4,400
Fromageries Bel,0,0,0,5,0,0,0,0,0,0,5,4,400
Asia Food,0,0,0,0,0,5,0,0,0,0,5,4,400
Cong Ty Tan Binh Thai,0,0,0,0,5,0,0,0,0,0,5,4,400
Lif,0,0,0,5,0,0,0,0,0,0,5,4,400
Lap Hung,0,0,0,0,0,0,0,5,0,0,5,4,400
Kraft Heinz Company,0,0,0,5,0,0,0,0,0,0,5,4,400
Nhat Phu,0,0,0,0,0,0,0,5,0,0,5,4,400
Fest Viet Nam,0,0,0,5,0,0,0,0,0,0,5,4,400
Dai Loan,0,0,0,5,0,0,0,0,0,0,5,4,400
Da Lat Flower,0,0,0,4,0,0,0,0,0,0,4,4,400
Abbott Laboratories,0,0,0,3,0,1,0,0,0,0,4,4,400
Young Star Cigarettes,0,0,0,4,0,0,0,0,0,0,4,4,400
Hùng Linh,0,0,0,4,0,0,0,0,0,0,4,4,400
Interfood Shareholding Company,0,0,0,4,0,0,0,0,0,0,4,4,400
Cty Tnhh Tra Thien Phu,0,0,0,4,0,0,0,0,0,0,4,4,400
Miwon,0,0,0,3,1,0,0,0,0,0,4,4,400
Vinacafe Bien Hoa,0,0,0,4,0,0,0,0,0,0,4,4,400
Hùng Phat,0,0,0,4,0,0,0,0,0,0,4,4,400
Ba Hung,0,0,3,1,0,0,0,0,0,0,4,4,400
Trang Tien,0,0,0,4,0,0,0,0,0,0,4,4,400
Cong Ty Tnhh San Xuat Thoong Mai Xuat Nhap Khau Vinh Thuan,0,0,0,4,0,0,0,0,0,0,4,4,400
Frieslandcampina Viet Nam,0,0,0,4,0,0,0,0,0,0,4,4,400
Cty Cp Diem Thong Nhat,0,0,0,4,0,0,0,0,0,0,4,4,400
Sp Cua Binh Dinh,0,0,0,4,0,0,0,0,0,0,4,4,400
Cong Ty Tnhh Che Bien Nooc Cham Mekong,0,0,0,0,4,0,0,0,0,0,4,4,400
Cong Ty Thuoc La Ben Thanh,0,0,0,4,0,0,0,0,0,0,4,4,400
London Food Factory (Hong Kong),0,0,0,4,0,0,0,0,0,0,4,4,400
Tan Thinh,0,0,0,4,0,0,0,0,0,0,4,4,400
Cong Ty Nuberone Chu Lai,0,0,0,0,4,0,0,0,0,0,4,4,400
Cty San Xuat Banh Keo My Ngoc,0,0,0,4,0,0,0,0,0,0,4,4,400
Cong Ty Cp One One Mien Trung,0,0,0,4,0,0,0,0,0,0,4,4,400
Dong Tan,0,0,0,4,0,0,0,0,0,0,4,4,400
Cong Ty Cp Muoi & Thoong Mai Mien Trung,0,0,0,4,0,0,0,0,0,0,4,4,400
Cty Cp Sinh Thai,0,0,0,4,0,0,0,0,0,0,4,4,400
Saigon Ve Wong Company,0,0,0,0,4,0,0,0,0,0,4,4,400
Gong Cha,0,0,0,0,2,2,0,0,0,0,4,4,400
Thao Dooc Viet,0,0,0,4,0,0,0,0,0,0,4,4,400
Thuc Pham Cau Tre,0,0,0,4,0,0,0,0,0,0,4,4,400
Gia Loc - Hai Doong,0,0,0,4,0,0,0,0,0,0,4,4,400
My Hao,0,3,0,0,0,0,0,0,0,0,3,4,400
Korea,0,0,0,3,0,0,0,0,0,0,3,4,400
Jolibee,0,0,0,3,0,0,0,0,0,0,3,4,400
Hang Thai Lan,0,0,0,3,0,0,0,0,0,0,3,4,400
Huu Phong,0,0,0,0,0,3,0,0,0,0,3,4,400
Lan Hoong,0,0,0,3,0,0,0,0,0,0,3,4,400
Huu Nghi Food,0,0,0,3,0,0,0,0,0,0,3,4,400
Diana,0,0,0,3,0,0,0,0,0,0,3,4,400
Huong Copany,0,0,0,3,0,0,0,0,0,0,3,4,400
Le Minh,0,0,0,3,0,0,0,0,0,0,3,4,400
Libra Viet Nam,0,0,0,3,0,0,0,0,0,0,3,4,400
Hung Phat,0,0,0,3,0,0,0,0,0,0,3,4,400
Mia Doong 1,0,0,0,3,0,0,0,0,0,0,3,4,400
Hong Linh,0,0,0,3,0,0,0,0,0,0,3,4,400
Cty Co Phan San Pham Sinh Thai,0,0,0,3,0,0,0,0,0,0,3,4,400
Cong Ty Hai Dang,0,0,0,0,3,0,0,0,0,0,3,4,400
Cong Ty Tnhh Orion Vina,0,0,0,3,0,0,0,0,0,0,3,4,400
Simply - Thuc Vat Cai Lan,0,0,0,0,3,0,0,0,0,0,3,4,400
Topcake,0,0,0,2,0,1,0,0,0,0,3,4,400
Cong Ty Tnhh Thoong Mai – Dich Vụ Tan Hiep Phat,0,0,0,0,3,0,0,0,0,0,3,4,400
Cong Ty Thuc Pham Chau A,0,0,0,0,3,0,0,0,0,0,3,4,400
Thanh Trieu,0,0,0,3,0,0,0,0,0,0,3,4,400
Reckitt Benckiser,0,0,0,3,0,0,0,0,0,0,3,4,400
Cp,0,0,0,3,0,0,0,0,0,0,3,4,400
Vietnamairlines,0,0,0,3,0,0,0,0,0,0,3,4,400
Cong Ty Hang Gia Dụng Quoc Te Icp,0,2,0,1,0,0,0,0,0,0,3,4,400
Asiafood,0,0,0,0,0,3,0,0,0,0,3,4,400
Cso Da Lat,0,0,0,3,0,0,0,0,0,0,3,4,400
Vinh Thuan,0,0,0,3,0,0,0,0,0,0,3,4,400
Trung Quoc,0,0,0,3,0,0,0,0,0,0,3,4,400
Cty Cp Nooc Khoang Khanh Hoa,0,0,0,3,0,0,0,0,0,0,3,4,400
Nam Phuc,0,0,0,0,0,3,0,0,0,0,3,4,400
Cong Ty Cp Liwwayw Viet Nam,0,0,0,3,0,0,0,0,0,0,3,4,400
Yen Sao Khanh Hoa,0,0,0,3,0,0,0,0,0,0,3,4,400
Cty Tnhh An Troong Vinh,0,0,0,3,0,0,0,0,0,0,3,4,400
Cong Ty Cp Continental,0,0,0,0,3,0,0,0,0,0,3,4,400
Thai Binh,0,0,0,3,0,0,0,0,0,0,3,4,400
Cty Tnhh Son Loc,0,0,0,3,0,0,0,0,0,0,3,4,400
Natuza Vn,0,0,0,3,0,0,0,0,0,0,3,4,400
Okifood Viet Nam,0,0,0,3,0,0,0,0,0,0,3,4,400
Thanh Dao,0,0,0,3,0,0,0,0,0,0,3,4,400
Thuy Vinh,0,0,0,2,0,0,0,0,0,0,2,4,400
Thanh Phan,0,0,0,0,2,0,0,0,0,0,2,4,400
Thien Huong,0,0,0,1,1,0,0,0,0,0,2,4,400
Thuan Phat,0,0,0,0,2,0,0,0,0,0,2,4,400
Traphaco,0,0,0,0,0,0,2,0,0,0,2,4,400
Khanh Hoa ( Vicoza),0,0,0,0,2,0,0,0,0,0,2,4,400
Mtv Nhang Loc Thanh Company,0,0,0,0,2,0,0,0,0,0,2,4,400
Viet Anh,0,0,0,2,0,0,0,0,0,0,2,4,400
Urc Ha Noi,0,0,0,2,0,0,0,0,0,0,2,4,400
Us Pharma Company,0,0,0,0,0,0,2,0,0,0,2,4,400
V - Safe Food,0,0,0,0,2,0,0,0,0,0,2,4,400
Van Mieu,0,0,0,2,0,0,0,0,0,0,2,4,400
Vedan Vn,0,0,0,2,0,0,0,0,0,0,2,4,400
Thanh Hoa,0,0,0,0,0,2,0,0,0,0,2,4,400
Viet Le,0,0,0,2,0,0,0,0,0,0,2,4,400
Vina Paper Company,0,0,0,0,2,0,0,0,0,0,2,4,400
Welyo,0,0,0,0,2,0,0,0,0,0,2,4,400
Xay Lua Mi Viet Nam,0,0,0,2,0,0,0,0,0,0,2,4,400
Xuan An,0,0,0,2,0,0,0,0,0,0,2,4,400
Yuchun Biology Science,0,0,0,2,0,0,0,0,0,0,2,4,400
Htt,0,0,0,2,0,0,0,0,0,0,2,4,400
Zott (Germany),0,0,0,2,0,0,0,0,0,0,2,4,400
Hoong Nguyen,0,0,0,2,0,0,0,0,0,0,2,4,400
Kido Foods,0,0,0,0,2,0,0,0,0,0,2,4,400
Tap Doan Lotte,0,0,0,2,0,0,0,0,0,0,2,4,400
Kieu Thien Phat,0,0,0,2,0,0,0,0,0,0,2,4,400
Kimberly-Clark,0,0,0,2,0,0,0,0,0,0,2,4,400
Ngoc Duy Tea Company,0,0,0,0,2,0,0,0,0,0,2,4,400
"Nha May Lo 11, Doong So 5, Da Nẵng",0,0,0,2,0,0,0,0,0,0,2,4,400
Paldo Vina Company,0,0,0,0,2,0,0,0,0,0,2,4,400
Military Academy,0,0,0,2,0,0,0,0,0,0,2,4,400
Perfette,0,0,0,2,0,0,0,0,0,0,2,4,400
Pham Nguyen,0,0,0,2,0,0,0,0,0,0,2,4,400
Pharmastic,0,0,0,2,0,0,0,0,0,0,2,4,400
Meadow Fresh,0,0,0,2,0,0,0,0,0,0,2,4,400
Masan Food,0,0,0,2,0,0,0,0,0,0,2,4,400
Marico South East Asia,0,0,0,2,0,0,0,0,0,0,2,4,400
Made In Korea,0,0,0,2,0,0,0,0,0,0,2,4,400
Pt Modlez Indonesia,0,0,0,2,0,0,0,0,0,0,2,4,400
Local Brand,0,0,1,0,1,0,0,0,0,0,2,4,400
Rice Seed,0,0,0,2,0,0,0,0,0,0,2,4,400
Hoang Mai,0,0,0,2,0,0,0,0,0,0,2,4,400
Rubia Industries,0,0,0,0,2,0,0,0,0,0,2,4,400
Safa - Vedic,0,0,0,2,0,0,0,0,0,0,2,4,400
Saigon Food,0,0,0,2,0,0,0,0,0,0,2,4,400
Samjin,0,0,0,2,0,0,0,0,0,0,2,4,400
San Miguel Purefoods,0,0,0,0,2,0,0,0,0,0,2,4,400
Sananapoin Marketing,0,0,0,2,0,0,0,0,0,0,2,4,400
Song Ma,0,0,0,2,0,0,0,0,0,0,2,4,400
Ky Nghe Suc San,0,0,0,2,0,0,0,0,0,0,2,4,400
Tai Ky,0,0,0,2,0,0,0,0,0,0,2,4,400
Tan Viet Nhat,0,0,0,2,0,0,0,0,0,0,2,4,400
Nabati Viet Nam,0,0,0,2,0,0,0,0,0,0,2,4,400
Korean Brand,0,0,1,0,1,0,0,0,0,0,2,4,400
Richeese,0,0,0,2,0,0,0,0,0,0,2,4,400
3M,0,0,0,2,0,0,0,0,0,0,2,4,400
Domesco,0,0,0,1,0,0,1,0,0,0,2,4,400
Duoc Pham Sinh Hoc Y Te,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Cp One One Vn,0,0,0,2,0,0,0,0,0,0,2,4,400
Company Life,0,0,0,2,0,0,0,0,0,0,2,4,400
Cong Ty Tnhh Muoi Khanh Toong,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Cp Sao Thai Doong,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Cp Tan Tan,0,0,0,2,0,0,0,0,0,0,2,4,400
Dau Khi Thai Binh,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Tnhh 3A Vn,0,0,0,2,0,0,0,0,0,0,2,4,400
Danaphar,0,0,0,2,0,0,0,0,0,0,2,4,400
Dai Viet Hoong,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Tnhh Hong Hanh,0,0,0,2,0,0,0,0,0,0,2,4,400
Hai San Tuan,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Tnhh Number 1 Ha Nam,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Tnhh San Xuat Va Thoong Mai Giay Lụa,0,0,0,2,0,0,0,0,0,0,2,4,400
Gia Phu Company,0,0,0,2,0,0,0,0,0,0,2,4,400
Ene Sis Vietnam Company,0,2,0,0,0,0,0,0,0,0,2,4,400
Gerber Product Company,0,0,0,0,2,0,0,0,0,0,2,4,400
China Company,0,0,0,2,0,0,0,0,0,0,2,4,400
Bien Hoa Dong Nai,0,0,0,2,0,0,0,0,0,0,2,4,400
Curam,0,0,0,0,0,0,2,0,0,0,2,4,400
France,0,0,0,2,0,0,0,0,0,0,2,4,400
Ddia Phoong,0,0,0,2,0,0,0,0,0,0,2,4,400
Campina Vn,0,0,0,0,2,0,0,0,0,0,2,4,400
Heneiken,0,0,0,2,0,0,0,0,0,0,2,4,400
Cong Ty Tnhh Super Cosseemix Viet Nam,0,0,0,2,0,0,0,0,0,0,2,4,400
Co So Hiep Long,0,0,0,2,0,0,0,0,0,0,2,4,400
Cp Viet Nam,0,0,0,2,0,0,0,0,0,0,2,4,400
Co So Tra Hiep Thanh,0,0,0,2,0,0,0,0,0,0,2,4,400
Cty Co Phan Thuc Pham Huu Nghi,0,0,0,2,0,0,0,0,0,0,2,4,400
Dong Dooc Phuc Hong,0,0,0,2,0,0,0,0,0,0,2,4,400
Cong Ty Tnhh Wiprocinza Viet Nam,0,0,0,2,0,0,0,0,0,0,2,4,400
Alova Viet Nam,0,0,0,2,0,0,0,0,0,0,2,4,400
Hoang Gia,0,0,0,0,2,0,0,0,0,0,2,4,400
Cong Ty Tnhh Thoong Mai San Xuat Van Thinh,0,0,0,2,0,0,0,0,0,0,2,4,400
Hoa Linh Company,0,0,0,2,0,0,0,0,0,0,2,4,400
Tbx Pty Ltd,0,0,0,0,0,1,0,0,0,0,1,4,400
Tcl Food Industries,0,0,0,0,1,0,0,0,0,0,1,4,400
Thanh Hoa Cigarette,0,0,0,1,0,0,0,0,0,0,1,4,400
Tayas,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Co Phan San Xuat Thoong Mai Yen Ngoc,0,0,0,0,1,0,0,0,0,0,1,4,400
The Gioi Di Dong,0,0,1,0,0,0,0,0,0,0,1,4,400
Thh,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Cp Ky Nghe Thuc Pham Viet Nam 1,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Cp Marico,0,0,0,1,0,0,0,0,0,0,1,4,400
Tatua,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Cp Giay Sai Gon,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Co Phan Dau To Va Thoong Mai Satori,0,0,0,0,1,0,0,0,0,0,1,4,400
Cocoland Industry,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Banh Trung Thu Nho Lan.,0,0,0,0,1,0,0,0,0,0,1,4,400
Thanh Loc Tho,0,0,0,1,0,0,0,0,0,0,1,4,400
Thanh Hai,0,0,0,1,0,0,0,0,0,0,1,4,400
Thanh Dat Phat,0,0,0,0,1,0,0,0,0,0,1,4,400
Thanh Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Duoc Pham Ha Tay,0,0,0,1,0,0,0,0,0,0,1,4,400
Comart,0,0,0,0,1,0,0,0,0,0,1,4,400
Thailand Brand,0,0,0,0,1,0,0,0,0,0,1,4,400
Cong Ty Co Phan Ky Nghe Thuc Pham Phu Yen,0,0,0,0,1,0,0,0,0,0,1,4,400
Colusa - Miliket Company,0,0,0,0,1,0,0,0,0,0,1,4,400
Thai Hung,0,0,0,1,0,0,0,0,0,0,1,4,400
Thanh Viet,0,0,0,1,0,0,0,0,0,0,1,4,400
Thai Hong,0,0,0,1,0,0,0,0,0,0,1,4,400
Colusa,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Co Phan Esse Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Au Lac,0,0,0,1,0,0,0,0,0,0,1,4,400
Quang Nam,0,0,0,0,1,0,0,0,0,0,1,4,400
"Tap Doan My Pham Lg Vina, Han Quoc",0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Tnhh Thanh Long - Lang Son,0,0,0,1,0,0,0,0,0,0,1,4,400
Sang Ngoc,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Tnhh Nooc Giai Khat Bluesea,0,0,0,0,1,0,0,0,0,0,1,4,400
Cong Ty Tnhh Ntpm Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
San Bay Tan San Nhat,0,0,0,1,0,0,0,0,0,0,1,4,400
Samyang,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Tnhh San Xuat Nooc Uong Dóng Binh An Nhien,0,0,0,0,1,0,0,0,0,0,1,4,400
Sajo (Korea),0,0,0,0,1,0,0,0,0,0,1,4,400
Cong Ty Tnhh San Xuat Thoong Mai Lien Tam,0,0,0,1,0,0,0,0,0,0,1,4,400
Sai Gon Cigarette Company,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Tnhh Mtv Vina Paper,0,0,0,1,0,0,0,0,0,0,1,4,400
Safoco,0,0,0,0,1,0,0,0,0,0,1,4,400
Cong Ty Tnhh Tm – Dv Tan Hiep Phat,0,0,0,0,1,0,0,0,0,0,1,4,400
S&B Food Tnc,0,0,0,1,0,0,0,0,0,0,1,4,400
Cong Ty Tnhh Urc Viet Nam,0,0,0,1,0,0,0,0,0,0,1,4,400
Rohto-Mintholatum,0,0,0,0,1,0,0,0,0,0,1,4,400
Cong Ty Tnhh White Glove,0,0,0,1,0,0,0,0,0,0,1,4,400
