ParentCoFinal,EMPTY,HDPE,O,PVC,Grand Total,number of events,number of volunteers
Friendship Beach Resort and Spa,0,0,0,0,0,5,374
Foremost,0,0,0,0,0,5,374
Fisho,0,0,0,0,0,5,374
Euro,0,0,0,0,0,5,374
Dutchmilk,0,0,0,0,0,5,374
Dutchie,0,0,0,0,0,5,374
Dutch Mill,0,0,0,0,0,5,374
Dna (Dutch Mill),0,0,0,0,0,5,374
Dewberry,0,0,0,0,0,5,374
Datissin,0,0,0,0,0,5,374
Danone,0,0,0,0,0,5,374
Crystal Thai water,0,0,0,0,0,5,374
Crystal,0,0,0,0,0,5,374
Conne',0,0,0,0,0,5,374
Colgate-Palmolive,0,0,0,0,0,5,374
Clean & clear,0,0,0,0,0,5,374
Chang (ThaiBev),0,0,0,0,0,5,374
Chang,0,0,0,0,0,5,374
Bissin,0,0,0,0,0,5,374
Big C,0,0,0,0,0,5,374
Betago,0,0,0,0,0,5,374
Betagen,0,0,0,0,0,5,374
Bento,0,0,0,0,0,5,374
Beiersdorf Global AG,0,0,0,0,0,5,374
Attack Easy,0,0,0,0,0,5,374
Arrow,0,0,0,0,0,5,374
Amazon / Whole Foods,0,0,0,0,0,5,374
Acne,0,0,0,0,0,5,374
7 11 water bottle,0,0,0,0,0,5,374
GM,0,0,0,0,0,5,374
"Green Spot Co., Ltd.",0,0,0,0,0,5,374
7 11 plastic bags,0,0,0,0,0,5,374
Homey,0,0,0,0,0,5,374
Ovaltine,0,0,0,0,0,5,374
Nikorn marine,0,0,0,0,0,5,374
Nestlé,0,0,0,0,0,5,374
Nesle,0,0,0,0,0,5,374
NAMTHIP,0,0,0,0,0,5,374
Monde M.Y. San Corporation,0,0,0,0,0,5,374
Minere,0,0,0,0,0,5,374
Meji,0,0,0,0,0,5,374
Magic Farm,0,0,0,0,0,5,374
MAMA,0,0,0,0,0,5,374
M 150,0,0,0,0,0,5,374
Lotte Bub-up,0,0,0,0,0,5,374
Liwayway Holdings Company Limited,0,0,0,0,0,5,374
Lipo Vitan-D,0,0,0,0,0,5,374
Lion Corp. Japan,0,0,0,0,0,5,374
Leo,0,0,0,0,0,5,374
Lay,0,0,0,0,0,5,374
Lactasoy Co. Ltd.,0,0,0,0,0,5,374
L'Oreal,0,0,0,0,0,5,374
Khao Shong Coffee,0,0,0,0,0,5,374
Keluarga water,0,0,0,0,0,5,374
Kato,0,0,0,0,0,5,374
Julie's,0,0,0,0,0,5,374
Johnson & Johnson,0,0,0,0,0,5,374
Jele,0,0,0,0,0,5,374
Ichitan,0,0,0,0,0,5,374
ICHITAN,0,0,0,0,0,5,374
Hua Hin,0,0,0,0,0,5,374
Hong Thong,0,0,0,0,0,5,374
PP Drinking water,0,0,0,0,0,5,374
