ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Molfix,0,0,60,0,0,0,0,60,10,387
Mayor,0,0,0,60,0,0,0,60,10,387
Citabac,0,0,58,0,0,0,0,58,10,387
Nexttel,0,57,0,0,0,0,0,57,10,387
Dura Pack,56,0,0,0,0,0,0,56,10,387
Oran,0,55,0,0,0,0,0,55,10,387
Perfetti van Melle,0,52,0,0,0,0,0,52,10,387
Ochoco,0,52,0,0,0,0,0,52,10,387
Dely'S,0,47,0,0,0,0,0,47,10,387
P&G,0,28,19,0,0,0,0,47,10,387
Brasserie Du Cameroon,0,0,0,42,0,0,0,42,10,387
New Food,0,41,0,0,0,0,0,41,10,387
Nido,0,29,9,0,0,0,0,38,10,387
Kiss Sweet,0,38,0,0,0,0,0,38,10,387
Broli,5,21,4,7,0,0,0,37,10,387
Joylinks,0,34,0,0,0,0,0,34,10,387
Bonbon Kola,0,34,0,0,0,0,0,34,10,387
Ok.Food,0,34,0,0,0,0,0,34,10,387
Colgate-Palmolive,15,0,0,0,19,0,0,34,10,387
Ozil,0,34,0,0,0,0,0,34,10,387
Biopharma,33,0,0,0,0,0,0,33,10,387
CWAY Group,0,0,0,32,0,0,0,32,10,387
Tartina,29,0,0,0,3,0,0,32,10,387
Naya,0,27,0,0,0,0,0,27,10,387
Pure Bliss,0,27,0,0,0,0,0,27,10,387
Sitabac,0,0,26,0,0,0,0,26,10,387
Kiss,0,13,12,0,0,0,0,25,10,387
La Pasta,0,24,0,0,0,0,0,24,10,387
Soticam,14,0,0,0,0,10,0,24,10,387
Reaktor,0,0,0,23,0,0,0,23,10,387
Cicam,0,0,23,0,0,0,0,23,10,387
Sardine,0,0,22,0,0,0,0,22,10,387
Sodicam,0,0,0,0,21,0,0,21,10,387
Uninope,0,0,21,0,0,0,0,21,10,387
Tino,0,20,0,0,0,0,0,20,10,387
Faytex,0,0,19,0,0,0,0,19,10,387
L And B Menthol,0,0,18,0,0,0,0,18,10,387
Mer Du Sud,0,0,18,0,0,0,0,18,10,387
Extra Power,0,0,18,0,0,0,0,18,10,387
Heineken International,0,0,17,0,0,0,0,17,10,387
Panzani,0,16,0,0,0,0,0,16,10,387
Curry Powder,0,16,0,0,0,0,0,16,10,387
Bril,0,16,0,0,0,0,0,16,10,387
Mada,0,15,0,0,0,0,0,15,10,387
Malta Guiness,0,0,14,0,0,0,0,14,10,387
Big Gum,0,14,0,0,0,0,0,14,10,387
Martinal,0,13,0,0,0,0,0,13,10,387
Pampers Diapers,0,0,12,0,0,0,0,12,10,387
"Mars, Incorporated",10,2,0,0,0,0,0,12,10,387
vhuobtc,0,0,0,12,0,0,0,12,10,387
Unilever,0,10,2,0,0,0,0,12,10,387
Beiersdorf Global AG,11,0,0,0,0,0,0,11,10,387
Benson,0,0,11,0,0,0,0,11,10,387
Vitale,0,3,0,8,0,0,0,11,10,387
Sivoderme,11,0,0,0,0,0,0,11,10,387
Paracetamol,0,0,0,0,11,0,0,11,10,387
Tnejr,0,0,0,10,0,0,0,10,10,387
Splash,0,5,5,0,0,0,0,10,10,387
Marda,0,10,0,0,0,0,0,10,10,387
Mayo,0,10,0,0,0,0,0,10,10,387
Azur,0,4,0,5,0,0,0,9,10,387
Oridel,0,9,0,0,0,0,0,9,10,387
Oilio,0,0,0,9,0,0,0,9,10,387
Anna Super,0,0,8,0,0,0,0,8,10,387
Jsltqr China Hb,0,0,8,0,0,0,0,8,10,387
Nigerian Breweries Plc,0,0,8,0,0,0,0,8,10,387
Tiger Brands,0,7,0,0,0,0,0,7,10,387
Signale,5,0,0,0,2,0,0,7,10,387
Tomtom,0,6,0,0,0,0,0,6,10,387
Every Month,0,0,6,0,0,0,0,6,10,387
Reckitt Benckiser,0,6,0,0,0,0,0,6,10,387
Malta,0,0,6,0,0,0,0,6,10,387
Sano,0,0,0,6,0,0,0,6,10,387
Martina,0,6,0,0,0,0,0,6,10,387
Ucb,0,0,0,5,0,0,0,5,10,387
Ami,0,0,5,0,0,0,0,5,10,387
Gino,0,5,0,0,0,0,0,5,10,387
Parfic Derma,5,0,0,0,0,0,0,5,10,387
Forment Cam,0,0,5,0,0,0,0,5,10,387
Oridelle,0,0,4,0,0,0,0,4,10,387
Prudence Plus,0,4,0,0,0,0,0,4,10,387
Girlfriend,4,0,0,0,0,0,0,4,10,387
Honig,0,4,0,0,0,0,0,4,10,387
Sivoderm,4,0,0,0,0,0,0,4,10,387
Cimencam,0,0,3,0,0,0,0,3,10,387
Ferrero Group,3,0,0,0,0,0,0,3,10,387
Super Star,0,0,3,0,0,0,0,3,10,387
Maya,0,3,0,0,0,0,0,3,10,387
Elena Tomato,0,3,0,0,0,0,0,3,10,387
Raolfix,0,0,3,0,0,0,0,3,10,387
Camlait,0,0,0,0,3,0,0,3,10,387
Bridel,3,0,0,0,0,0,0,3,10,387
Pazani,0,3,0,0,0,0,0,3,10,387
Atur,0,0,0,3,0,0,0,3,10,387
Schweppps,0,0,0,3,0,0,0,3,10,387
Pipes,0,0,0,0,0,0,3,3,10,387
FrieslandCampina,0,0,3,0,0,0,0,3,10,387
Water Pipe,0,0,0,0,0,0,2,2,10,387
Toys,0,0,0,0,0,0,2,2,10,387
Manyan,0,2,0,0,0,0,0,2,10,387
Sacks And Motors,0,0,2,0,0,0,0,2,10,387
Nan,0,0,2,0,0,0,0,2,10,387
Oragina,0,0,0,2,0,0,0,2,10,387
Sosucam,0,0,2,0,0,0,0,2,10,387
Pafic Derma,2,0,0,0,0,0,0,2,10,387
Pasta,0,2,0,0,0,0,0,2,10,387
Pipe,0,0,0,0,0,0,2,2,10,387
Mor Fixe,0,0,2,0,0,0,0,2,10,387
Total Clair,1,0,0,0,0,0,0,1,10,387
Toyota,0,0,1,0,0,0,0,1,10,387
Tamica,0,0,0,1,0,0,0,1,10,387
Eezzee,0,0,0,1,0,0,0,1,10,387
Bomkar,0,1,0,0,0,0,0,1,10,387
