ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Tao Di,0,0,0,0,5,0,0,5,7,67
Kao,0,0,0,4,1,0,0,5,7,67
Jin Wei,0,5,0,0,0,0,0,5,7,67
P&G,0,3,0,1,1,0,0,5,7,67
Cup Noodle,0,0,0,3,0,0,2,5,7,67
Mai Dong,0,0,0,1,4,0,0,5,7,67
WATT Energy Drink LLC,0,0,0,0,5,0,0,5,7,67
Ri Kang,0,2,0,1,1,1,0,5,7,67
Gan Bi,0,0,0,0,5,0,0,5,7,67
Da He Soy Milk,0,0,0,0,4,0,0,4,7,67
Yue Shi,0,0,0,0,4,0,0,4,7,67
Yin Lu,0,0,0,1,3,0,0,4,7,67
Yili,0,0,0,3,1,0,0,4,7,67
Philip Morris,0,0,0,4,0,0,0,4,7,67
Four Seasons,0,0,0,3,0,1,0,4,7,67
Yeung Kwong,0,0,0,4,0,0,0,4,7,67
Wang Lao Ji,0,0,0,1,3,0,0,4,7,67
Jinzhu Spring,0,0,0,0,4,0,0,4,7,67
La Fang China Co. Ltd.,0,0,0,1,3,0,0,4,7,67
Lotte,0,0,0,2,2,0,0,4,7,67
Snowdrop,0,0,0,0,4,0,0,4,7,67
Ito En Ltd,0,0,0,0,4,0,0,4,7,67
123,0,0,0,3,1,0,0,4,7,67
Carlsberg,0,0,0,3,0,1,0,4,7,67
Vinda Tissue,0,0,0,3,0,0,0,3,7,67
Baibi Spring,0,0,0,0,3,0,0,3,7,67
Guo Tian,0,0,0,3,0,0,0,3,7,67
Pao Ba,0,0,0,3,0,0,0,3,7,67
Brown Coffee,0,0,0,0,3,0,0,3,7,67
Kimberly-Clark,0,0,2,1,0,0,0,3,7,67
Yunnan Baiyao Group Co,0,0,0,3,0,0,0,3,7,67
Sau Tao Food,0,0,0,3,0,0,0,3,7,67
Sensacools,0,0,0,0,3,0,0,3,7,67
Mentholatum,0,0,0,3,0,0,0,3,7,67
Xu Fu Ji,0,0,0,3,0,0,0,3,7,67
Pacific,0,0,0,3,0,0,0,3,7,67
Shui Jing Ling,0,0,0,0,3,0,0,3,7,67
Sunray Cave Group,0,0,0,0,3,0,0,3,7,67
Ka Le C,0,3,0,0,0,0,0,3,7,67
Da Li,0,0,0,3,0,0,0,3,7,67
Zhong Hua,0,0,0,3,0,0,0,3,7,67
Da Fa,0,0,0,3,0,0,0,3,7,67
Ying You,0,0,0,1,2,0,0,3,7,67
Wei Dong Li,0,3,0,0,0,0,0,3,7,67
Bai Fu,0,0,0,0,0,3,0,3,7,67
Café De Coral Holdings,0,0,0,1,0,2,0,3,7,67
Aqva Pour,0,0,0,0,3,0,0,3,7,67
Yuan Shen Tai,0,0,0,0,3,0,0,3,7,67
Xiao Yang Ren,0,0,0,0,2,0,0,2,7,67
Xiao Ao Ban,0,0,0,2,0,0,0,2,7,67
Haitai,0,0,0,2,0,0,0,2,7,67
Vidal Sassoon,0,1,0,1,0,0,0,2,7,67
"Guangdong OPPO Mobile Telecommunications Corp., Ltd",0,1,0,0,1,0,0,2,7,67
Xin Bai Shi,0,0,0,1,1,0,0,2,7,67
Best Buy,0,0,0,0,0,2,0,2,7,67
He Qi Zheng,0,0,0,0,2,0,0,2,7,67
Lu Jing,0,0,0,2,0,0,0,2,7,67
Yakult,0,0,0,0,0,0,2,2,7,67
Golden Bell,0,0,0,2,0,0,0,2,7,67
Yan Tang,0,0,0,2,0,0,0,2,7,67
Calbee Inc.,0,0,0,2,0,0,0,2,7,67
Xiang Piao Piao,0,0,0,2,0,0,0,2,7,67
Shuang Kou Jia,0,0,0,2,0,0,0,2,7,67
Shi Lang,0,0,0,2,0,0,0,2,7,67
Vitamin C C&C,0,1,0,0,1,0,0,2,7,67
Jin Zhu,0,0,0,2,0,0,0,2,7,67
Tian Mei,0,0,0,2,0,0,0,2,7,67
Tang Ji Bao Dian,0,0,0,2,0,0,0,2,7,67
Aquanyna,0,0,0,0,1,1,0,2,7,67
Jin Lin,0,0,0,2,0,0,0,2,7,67
Jin Dian,0,0,0,2,0,0,0,2,7,67
Sze Hing Loong,0,0,0,2,0,0,0,2,7,67
Jia Bao,0,0,0,2,0,0,0,2,7,67
Khongdo,0,0,0,0,2,0,0,2,7,67
Hong Shuang Xi,0,0,0,2,0,0,0,2,7,67
Indofood,0,0,0,2,0,0,0,2,7,67
Korean Snack,0,0,0,2,0,0,0,2,7,67
Shuang Xi,0,0,0,2,0,0,0,2,7,67
Bei Na Song,0,0,0,2,0,0,0,2,7,67
Airways,0,0,0,2,0,0,0,2,7,67
Wantwant,0,0,0,2,0,0,0,2,7,67
Ladybird,0,0,0,2,0,0,0,2,7,67
Hua Yuan,0,0,0,2,0,0,0,2,7,67
Gao Bang Condom,0,0,0,2,0,0,0,2,7,67
Tempo,0,0,0,2,0,0,0,2,7,67
Gang Rong,0,0,0,2,0,0,0,2,7,67
Crocs,0,0,0,2,0,0,0,2,7,67
Chun Yue,0,0,0,0,2,0,0,2,7,67
Dr Pepper Snapple Group,0,0,0,0,2,0,0,2,7,67
Gan Xiang Yuan,0,0,2,0,0,0,0,2,7,67
Yoshinoya,0,0,0,2,0,0,0,2,7,67
Dutch Lady,0,0,0,2,0,0,0,2,7,67
Bawang Group,0,0,0,2,0,0,0,2,7,67
Pentene,0,0,0,1,1,0,0,2,7,67
759,0,0,0,2,0,0,0,2,7,67
Cc Lemon,0,0,0,0,2,0,0,2,7,67
You Yi,0,0,0,0,2,0,0,2,7,67
Qi Liang Shan,0,0,0,0,2,0,0,2,7,67
Mc Donald'S,0,0,0,1,1,0,0,2,7,67
Qiang Ren,0,0,0,0,2,0,0,2,7,67
Chu Bang,0,0,1,1,0,0,0,2,7,67
No Frills,0,0,0,1,1,0,0,2,7,67
Cool,0,0,0,2,0,0,0,2,7,67
Zui Xiang Yuan,0,0,0,2,0,0,0,2,7,67
Fuchs,0,2,0,0,0,0,0,2,7,67
Okiami,0,0,0,2,0,0,0,2,7,67
Craker,0,0,0,2,0,0,0,2,7,67
Yi Pin Grass Jelly,0,0,0,2,0,0,0,2,7,67
Bai Sui Shan,0,0,0,0,1,0,0,1,7,67
Tao Yuan,0,0,0,0,0,1,0,1,7,67
Shuang Qing,0,0,0,1,0,0,0,1,7,67
Bai Tian,0,0,0,1,0,0,0,1,7,67
Pan Pan,0,0,0,1,0,0,0,1,7,67
Ou Chong Wan,0,0,0,1,0,0,0,1,7,67
Tao Li,0,0,0,1,0,0,0,1,7,67
Shuang Zui Zai,0,0,0,1,0,0,0,1,7,67
Associated Wholesale Grocers,0,0,0,1,0,0,0,1,7,67
Tao Heung,0,0,0,1,0,0,0,1,7,67
Pang Shi,0,0,0,1,0,0,0,1,7,67
Pan Xiang Ji,0,0,0,1,0,0,0,1,7,67
Tai Qi,0,0,0,1,0,0,0,1,7,67
Pak Fook Tofu,0,0,0,0,0,1,0,1,7,67
Pan Gao Shou,0,0,0,1,0,0,0,1,7,67
Autochem,0,0,0,0,1,0,0,1,7,67
P-Life,0,0,0,1,0,0,0,1,7,67
Bai Cai Flour,0,0,0,1,0,0,0,1,7,67
Baby Star Snack Noodle,0,0,0,1,0,0,0,1,7,67
Splash Manufacturing Corporation,0,0,0,0,1,0,0,1,7,67
Steamatic,0,1,0,0,0,0,0,1,7,67
Success 洗髮露,0,1,0,0,0,0,0,1,7,67
Sunplay,0,1,0,0,0,0,0,1,7,67
Ovaltime,0,0,0,1,0,0,0,1,7,67
Ou Li,0,0,0,1,0,0,0,1,7,67
Ba Que,0,0,0,1,0,0,0,1,7,67
Taiwan World,0,0,0,1,0,0,0,1,7,67
Swanson Cooking,0,0,0,1,0,0,0,1,7,67
Ba Bi Xiong,0,0,0,1,0,0,0,1,7,67
Shuang Hui,0,0,0,1,0,0,0,1,7,67
Shi Zai Niu,0,0,0,1,0,0,0,1,7,67
Pia,0,0,0,1,0,0,0,1,7,67
Ryohin Keikaku Ltd,0,0,0,1,0,0,0,1,7,67
Qi Si Tang,0,0,0,1,0,0,0,1,7,67
Qi Xiang Pai,0,0,0,1,0,0,0,1,7,67
Sao Tao,0,0,0,1,0,0,0,1,7,67
San Benedetto,0,0,0,0,1,0,0,1,7,67
Arnold,0,0,0,1,0,0,0,1,7,67
Qie Yang Shi,0,0,0,1,0,0,0,1,7,67
S93,0,0,0,0,1,0,0,1,7,67
Qing Hao Yuan,0,0,0,1,0,0,0,1,7,67
Qing Sha Jiang,0,0,0,0,0,1,0,1,7,67
Select Green Tea,0,0,0,1,0,0,0,1,7,67
Qing Wa Wang Zi,0,0,0,1,0,0,0,1,7,67
Rong Jiang,0,0,0,1,0,0,0,1,7,67
Qing Wei,0,0,0,0,1,0,0,1,7,67
Ren Ren,0,0,0,1,0,0,0,1,7,67
Bai Jia,0,0,0,1,0,0,0,1,7,67
Qing Zi Lao Jiu,0,0,0,0,1,0,0,1,7,67
RBC,0,0,0,1,0,0,0,1,7,67
Bai Le,0,0,0,1,0,0,0,1,7,67
Season 5,0,0,0,0,0,1,0,1,7,67
Qi Du Du,0,0,0,1,0,0,0,1,7,67
Pokka (Fff) Malaysia,0,0,0,0,1,0,0,1,7,67
Sheng Huo,0,0,0,0,1,0,0,1,7,67
Shu Zhong,0,0,0,1,0,0,0,1,7,67
Shu Pao,0,0,0,1,0,0,0,1,7,67
Shi Men Shan,0,0,0,1,0,0,0,1,7,67
Shi Li Jia,0,0,0,1,0,0,0,1,7,67
Shi Jia Farm Chemical,0,1,0,0,0,0,0,1,7,67
Shenzhen Wt,0,0,0,0,1,0,0,1,7,67
Bai Da Hang,0,0,0,1,0,0,0,1,7,67
Sheng Mei Shi,0,0,0,1,0,0,0,1,7,67
Prete,0,0,0,1,0,0,0,1,7,67
Shan Jiao,0,0,0,1,0,0,0,1,7,67
Sheng Hua,0,0,0,1,0,0,0,1,7,67
Shen Feng,0,0,0,0,1,0,0,1,7,67
Shell Gadus Grease,0,0,0,1,0,0,0,1,7,67
Shang Pin,0,0,0,1,0,0,0,1,7,67
Shan Shui Tofu,0,0,0,1,0,0,0,1,7,67
Princess Gloves,0,0,0,1,0,0,0,1,7,67
Q,0,0,0,0,1,0,0,1,7,67
Q8 Scooter 機油,0,1,0,0,0,0,0,1,7,67
Saint Honor Bakery,0,0,1,0,0,0,0,1,7,67
Chun Lei Glvoe,0,0,0,1,0,0,0,1,7,67
Texas Snack,0,0,0,1,0,0,0,1,7,67
Thai Elephane Rice,0,0,0,1,0,0,0,1,7,67
999,0,0,0,1,0,0,0,1,7,67
Yilida,0,0,0,1,0,0,0,1,7,67
Agraria,0,0,0,0,1,0,0,1,7,67
Yi Zhen Jing,0,0,0,1,0,0,0,1,7,67
Yi Wen Xing,0,0,0,1,0,0,0,1,7,67
Yi Shou,0,0,0,1,0,0,0,1,7,67
Yi Pin Xian,0,0,0,1,0,0,0,1,7,67
Yi Li Qing,0,0,0,1,0,0,0,1,7,67
Yi Kou Gan Quan,0,0,0,0,1,0,0,1,7,67
Yi Jing Zhen,0,0,0,1,0,0,0,1,7,67
Yi Chun,0,0,0,1,0,0,0,1,7,67
Yeung'S,0,0,0,1,0,0,0,1,7,67
Ai Si,0,0,0,0,1,0,0,1,7,67
Ye Zhan Fishing Tool,0,0,0,1,0,0,0,1,7,67
Ye Shu,0,0,0,0,1,0,0,1,7,67
Ybc,0,0,0,1,0,0,0,1,7,67
Yao Yang Lu,0,0,0,1,0,0,0,1,7,67
Yanhua,0,0,0,1,0,0,0,1,7,67
Yan Dian,0,0,0,0,1,0,0,1,7,67
Ya Dai,0,0,0,1,0,0,0,1,7,67
Xue Fang Cake,0,0,0,1,0,0,0,1,7,67
Xing Tian Food,0,0,0,1,0,0,0,1,7,67
Xin Yi Lang Bakery,0,0,0,1,0,0,0,1,7,67
Ying Bin Wan,0,0,0,0,0,1,0,1,7,67
Yong Hui,0,0,0,1,0,0,0,1,7,67
Yong Ji Li,0,0,0,1,0,0,0,1,7,67
Zai Lai Dian,0,0,0,1,0,0,0,1,7,67
Zhu Yuan Zhang,0,0,0,1,0,0,0,1,7,67
Zhu Jiang Bridge,0,0,0,1,0,0,0,1,7,67
Zhou Ji,0,0,0,1,0,0,0,1,7,67
Zhi Su You,0,0,0,0,1,0,0,1,7,67
Zheng Xiang,0,0,0,1,0,0,0,1,7,67
Zheng Shan Tea,0,0,0,1,0,0,0,1,7,67
Zheng,0,0,0,1,0,0,0,1,7,67
Zhen Zhi Wei,0,0,0,1,0,0,0,1,7,67
Zhen Fu Bakery,0,0,0,1,0,0,0,1,7,67
Zemlac,0,0,0,1,0,0,0,1,7,67
Yunnan Herbal,0,0,0,1,0,0,0,1,7,67
Yong Kong,0,0,0,0,1,0,0,1,7,67
Yun Lian,0,0,0,0,1,0,0,1,7,67
Yue Qin Nhua,0,0,0,1,0,0,0,1,7,67
Yuan Zhi Wei,0,0,0,0,1,0,0,1,7,67
Yuan Bao,0,0,0,1,0,0,0,1,7,67
Yu Xi,0,0,0,1,0,0,0,1,7,67
Yu Pin Huang,0,0,0,1,0,0,0,1,7,67
Yu Mi Zhou,0,0,0,0,0,1,0,1,7,67
Yu Guan Cheng,0,0,0,1,0,0,0,1,7,67
You Qing,0,0,0,1,0,0,0,1,7,67
You Le Duo,0,0,0,0,1,0,0,1,7,67
Xin Xin Xiang Yin,0,0,0,1,0,0,0,1,7,67
Xin Wei,0,0,0,1,0,0,0,1,7,67
Xin He,0,0,0,1,0,0,0,1,7,67
Unidentified Chemical,0,0,0,1,0,0,0,1,7,67
Ake,0,0,0,0,0,1,0,1,7,67
Vivi010,0,0,0,0,1,0,0,1,7,67
Amoy,0,0,0,1,0,0,0,1,7,67
Vietnam Dairy Products JSC,0,0,0,0,1,0,0,1,7,67
Oreal,0,0,0,0,1,0,0,1,7,67
Verb,0,0,0,1,0,0,0,1,7,67
Veneto,0,0,0,0,1,0,0,1,7,67
Vcrown,0,0,0,1,0,0,0,1,7,67
Universal Robina Corporation,0,0,0,1,0,0,0,1,7,67
An Mu Xi,0,0,0,1,0,0,0,1,7,67
Anlene,0,0,0,1,0,0,0,1,7,67
Wang Cheng,0,0,0,1,0,0,0,1,7,67
Ao Ke,0,0,0,1,0,0,0,1,7,67
Ucc,0,1,0,0,0,0,0,1,7,67
Tuo Feng,0,0,0,1,0,0,0,1,7,67
Tsuriman,0,0,0,1,0,0,0,1,7,67
"Trilini International, Ltd.",0,0,0,1,0,0,0,1,7,67
Tong Gardon,0,0,0,1,0,0,0,1,7,67
Tibet 5100,0,0,0,0,1,0,0,1,7,67
Tian Yi,0,0,0,1,0,0,0,1,7,67
Tian Xia Shui Fang,0,0,0,1,0,0,0,1,7,67
Tian Oh Tea,0,0,0,0,1,0,0,1,7,67
Wan De Fu,0,0,0,1,0,0,0,1,7,67
Wang Jia,0,0,0,1,0,0,0,1,7,67
Xin Chang Shan,0,0,0,1,0,0,0,1,7,67
Xi He,0,0,0,1,0,0,0,1,7,67
Xiao Wan Xiong,0,0,0,1,0,0,0,1,7,67
Xiao Mai Malt,0,0,0,1,0,0,0,1,7,67
Xiao Diao Yu Li,0,0,0,1,0,0,0,1,7,67
Xiao Ban Zhang,0,0,0,1,0,0,0,1,7,67
Xiang Zhi Mei,0,0,0,1,0,0,0,1,7,67
Xiang Zhi Lin,0,0,0,1,0,0,0,1,7,67
Xiang Mai Bakery,0,0,0,1,0,0,0,1,7,67
Xian Ren Zhang,0,0,0,0,1,0,0,1,7,67
Xi Zhi Lang,0,0,0,1,0,0,0,1,7,67
Xi Shi,0,0,0,0,1,0,0,1,7,67
Wu Yi Shan,0,0,0,1,0,0,0,1,7,67
Wang Jia Po,0,0,0,1,0,0,0,1,7,67
Wu Qiong,0,0,0,1,0,0,0,1,7,67
Wu Jiang Pai,0,0,0,1,0,0,0,1,7,67
Wonderfarm,0,0,0,1,0,0,0,1,7,67
White Cat,0,1,0,0,0,0,0,1,7,67
Wet Look,0,0,0,1,0,0,0,1,7,67
Wei Mei Xin,0,0,0,1,0,0,0,1,7,67
Wei Mei,0,0,0,1,0,0,0,1,7,67
Wei Long,0,0,0,1,0,0,0,1,7,67
Ai Zhi Ji,0,0,0,1,0,0,0,1,7,67
Wang Zai,0,0,0,1,0,0,0,1,7,67
Baked Donut,0,0,0,0,0,1,0,1,7,67
Mh,0,0,0,0,1,0,0,1,7,67
Opal 澳寶,0,1,0,0,0,0,0,1,7,67
Haagen-Dazs,0,0,0,1,0,0,0,1,7,67
Heng Jian,0,0,0,1,0,0,0,1,7,67
Heng Da,0,0,0,1,0,0,0,1,7,67
Hei Song,0,0,0,0,1,0,0,1,7,67
Hawley & Hazel Chemical Company,0,0,0,1,0,0,0,1,7,67
Hao Yi Duo,0,0,0,0,1,0,0,1,7,67
Hao Shuang,0,0,0,1,0,0,0,1,7,67
Hao Li You,0,0,0,1,0,0,0,1,7,67
Hao Di,0,1,0,0,0,0,0,1,7,67
Hao Ba,0,0,0,1,0,0,0,1,7,67
Hai Tian,0,0,0,1,0,0,0,1,7,67
Cai Si,0,0,0,1,0,0,0,1,7,67
Ha Xin,0,0,0,1,0,0,0,1,7,67
Hikari,0,0,0,1,0,0,0,1,7,67
Guo Zhi Wei,0,0,0,1,0,0,0,1,7,67
Gui Hua,0,0,0,1,0,0,0,1,7,67
Guang Xiang,0,0,0,1,0,0,0,1,7,67
Guan Xiong,0,0,0,1,0,0,0,1,7,67
Guan Ji Yuan,0,0,0,1,0,0,0,1,7,67
Guan Hua,0,0,0,1,0,0,0,1,7,67
Gua Xuan,0,0,0,1,0,0,0,1,7,67
Gua Ge,0,0,0,1,0,0,0,1,7,67
Gu Ben Tang,0,0,0,1,0,0,0,1,7,67
Green Bean Congee,0,0,0,1,0,0,0,1,7,67
Golden Resources,0,0,0,1,0,0,0,1,7,67
Heng Xing,0,0,0,0,1,0,0,1,7,67
Honey And Fruit Bun,0,0,0,1,0,0,0,1,7,67
Golden Elephant Rice,0,0,0,1,0,0,0,1,7,67
Ikea,0,0,0,0,0,1,0,1,7,67
Jian Jiao,0,0,0,0,1,0,0,1,7,67
Jia Yi,0,0,0,1,0,0,0,1,7,67
Jia Le,0,0,0,1,0,0,0,1,7,67
Jia Hua Waffle,0,0,0,1,0,0,0,1,7,67
Jia Duo Bao,0,1,0,0,0,0,0,1,7,67
Jia Di,0,0,0,1,0,0,0,1,7,67
Jia De Dao,0,0,0,0,1,0,0,1,7,67
Jia,0,0,0,0,1,0,0,1,7,67
Ji Yi,0,0,0,0,1,0,0,1,7,67
Jenny'S,0,0,0,1,0,0,0,1,7,67
Jack Will,0,0,0,1,0,0,0,1,7,67
If,0,0,0,0,1,0,0,1,7,67
Hong Wang,0,0,0,1,0,0,0,1,7,67
Huo Li Wu Qiong,0,0,0,1,0,0,0,1,7,67
Bu Yi Udon,0,0,0,1,0,0,0,1,7,67
Hui Yuan,0,0,0,1,0,0,0,1,7,67
Hui Yi,0,0,0,0,1,0,0,1,7,67
Hui Shi,0,0,0,0,1,0,0,1,7,67
Hui Qiao,0,0,0,1,0,0,0,1,7,67
Butterfly,0,0,0,1,0,0,0,1,7,67
Hua Yuan Food,0,0,0,1,0,0,0,1,7,67
Hua Sheng Salt,0,0,0,1,0,0,0,1,7,67
C&S Tissue,0,0,0,1,0,0,0,1,7,67
Hong Xin,0,0,0,1,0,0,0,1,7,67
Golden Girl,0,0,0,1,0,0,0,1,7,67
GlaxoSmithKline,0,0,0,1,0,0,0,1,7,67
Jian Li Bao,0,0,0,0,1,0,0,1,7,67
De Yi,0,0,0,0,0,1,0,1,7,67
Dou Dou,0,0,0,1,0,0,0,1,7,67
Cha Li Wang,0,0,0,0,1,0,0,1,7,67
Dong Gu,0,0,0,1,0,0,0,1,7,67
Doh Vinu,0,0,0,1,0,0,0,1,7,67
Disney Pixar,0,0,0,1,0,0,0,1,7,67
Diao Zui Ba,0,0,0,1,0,0,0,1,7,67
Diao Ka Duo,0,0,0,1,0,0,0,1,7,67
Diao Brand,0,0,0,1,0,0,0,1,7,67
Dextro Candy,0,0,0,1,0,0,0,1,7,67
Denka,0,0,0,1,0,0,0,1,7,67
Deng Lao,0,0,0,1,0,0,0,1,7,67
De Shi,0,0,0,1,0,0,0,1,7,67
Dow Corning Corporation,0,0,0,1,0,0,0,1,7,67
De Nong Feng,0,0,0,1,0,0,0,1,7,67
Chang Sheng,0,0,0,1,0,0,0,1,7,67
Daniel,0,0,0,1,0,0,0,1,7,67
Dan Huang Pai,0,0,0,1,0,0,0,1,7,67
Da Yang Chang,0,0,0,1,0,0,0,1,7,67
Chang Yi 100%,0,0,0,0,1,0,0,1,7,67
Chen Pi Te Yin,0,0,0,0,1,0,0,1,7,67
Chuang Kang,0,1,0,0,0,0,0,1,7,67
Chui Hua,0,0,0,1,0,0,0,1,7,67
Chun Lei,0,0,0,1,0,0,0,1,7,67
Circle K Convenice Store,0,0,0,1,0,0,0,1,7,67
Dou Wu Bai,0,0,0,1,0,0,0,1,7,67
Dr Lee,0,0,0,1,0,0,0,1,7,67
Cai Yuan,0,0,0,1,0,0,0,1,7,67
Frog,0,0,0,1,0,0,0,1,7,67
General Mills,0,0,0,1,0,0,0,1,7,67
General Electric,0,0,0,1,0,0,0,1,7,67
Garden Waffle,0,0,0,1,0,0,0,1,7,67
Gao Shan Cha,0,0,0,1,0,0,0,1,7,67
Gao Li Jie,0,0,0,1,0,0,0,1,7,67
Gang Xin,0,1,0,0,0,0,0,1,7,67
Caltrate,0,0,0,1,0,0,0,1,7,67
Fuk Brand,0,0,0,1,0,0,0,1,7,67
Fu Yun,0,0,0,1,0,0,0,1,7,67
Fu Li,0,1,0,0,0,0,0,1,7,67
Fu Kang,0,0,0,1,0,0,0,1,7,67
Fried Noodle King,0,0,0,1,0,0,0,1,7,67
Du Du Siang,0,0,0,1,0,0,0,1,7,67
Casino,0,0,0,1,0,0,0,1,7,67
Four Seas Seaweed,0,0,0,1,0,0,0,1,7,67
Four Seas Biscuit Sticks,0,0,0,1,0,0,0,1,7,67
Fortune Noodle,0,0,0,1,0,0,0,1,7,67
Flower Rband,0,0,0,1,0,0,0,1,7,67
Feng Wei Jue Jia,0,0,0,1,0,0,0,1,7,67
Extrawhite Gum,0,0,0,1,0,0,0,1,7,67
Etude House,0,0,0,0,0,1,0,1,7,67
Espa,0,0,0,1,0,0,0,1,7,67
Esd,0,0,0,1,0,0,0,1,7,67
Eat East Hk,0,0,0,0,0,1,0,1,7,67
Old Street Coffee,0,0,0,1,0,0,0,1,7,67
Jian Kang Ri Zhi Zhi,0,0,0,1,0,0,0,1,7,67
Jin Bi,0,0,0,1,0,0,0,1,7,67
Matsu Yama,0,0,0,1,0,0,0,1,7,67
Bayer,0,0,0,0,1,0,0,1,7,67
Mannings Tissue,0,0,0,0,0,1,0,1,7,67
Mannings,0,0,0,1,0,0,0,1,7,67
Maltese,0,0,0,1,0,0,0,1,7,67
Mai De Hao,0,0,0,1,0,0,0,1,7,67
Magic-Twin,0,0,0,1,0,0,0,1,7,67
Magic Clean,0,0,0,1,0,0,0,1,7,67
Ma Bai Liang,0,0,0,1,0,0,0,1,7,67
Luo Nong,0,1,0,0,0,0,0,1,7,67
Lun Mai,0,0,0,0,1,0,0,1,7,67
Lu Zi,0,0,0,1,0,0,0,1,7,67
Lu Bao,0,0,0,0,1,0,0,1,7,67
Long Zhi Tang,0,0,0,1,0,0,0,1,7,67
Long Gu,0,0,0,1,0,0,0,1,7,67
3M,0,0,0,1,0,0,0,1,7,67
Liu Shen,0,0,0,1,0,0,0,1,7,67
Liu Dian Ban,0,0,0,1,0,0,0,1,7,67
Liu De Fa,0,0,0,1,0,0,0,1,7,67
Little Magic,0,0,0,1,0,0,0,1,7,67
Lime,0,0,0,1,0,0,0,1,7,67
Life 1,0,0,0,1,0,0,0,1,7,67
Best Buy Rice,0,0,0,1,0,0,0,1,7,67
Jin Che Coffee,0,0,0,0,1,0,0,1,7,67
Master Shuang,0,0,0,0,0,1,0,1,7,67
Maxim,0,0,0,1,0,0,0,1,7,67
Li Xiang,0,0,0,1,0,0,0,1,7,67
Maxim Food,0,0,0,1,0,0,0,1,7,67
Ola,0,0,0,1,0,0,0,1,7,67
Nutrient Express,0,0,0,0,1,0,0,1,7,67
Balocco,0,0,0,1,0,0,0,1,7,67
Nlan Shuang Long,0,0,0,1,0,0,0,1,7,67
Niao Chong,0,0,0,1,0,0,0,1,7,67
National Grape Cooperative Association,0,0,0,0,1,0,0,1,7,67
Nan Bei,0,0,0,1,0,0,0,1,7,67
Nability,0,0,0,1,0,0,0,1,7,67
Mu Ai,0,0,0,1,0,0,0,1,7,67
Mr. Juicy,0,1,0,0,0,0,0,1,7,67
Mou Lin Food,0,0,1,0,0,0,0,1,7,67
Bao Li,0,0,0,1,0,0,0,1,7,67
Midi,0,0,0,1,0,0,0,1,7,67
Mi Tiao Xiong,0,0,0,1,0,0,0,1,7,67
Meng Niu,0,0,0,0,1,0,0,1,7,67
Meiji,0,0,0,1,0,0,0,1,7,67
Mei Zhi Yuan,0,0,0,0,1,0,0,1,7,67
