ParentCoFinal,EMPTY,O,PET,PP,Grand Total,number of events,number of volunteers
blues,0,0,0,0,0,9,175
beltÃ¨,0,0,0,0,0,9,175
barnes,0,0,0,0,0,9,175
auchan,0,0,0,0,0,9,175
Yoga,0,0,0,0,0,9,175
Yakult,0,0,0,0,0,9,175
Vimprom Yambol wine,0,0,0,0,0,9,175
Vera NestlÃ¨,0,0,0,0,0,9,175
Vera,0,0,0,0,0,9,175
vipiteno,0,0,0,0,0,9,175
Nestlé,0,0,0,0,0,9,175
Noberasco,0,0,0,0,0,9,175
22 carats - MKB Ltd.,0,0,0,0,0,9,175
Acqua Lete,0,0,0,0,0,9,175
Esselunga,0,0,0,0,0,9,175
Consorziari dias,0,0,0,0,0,9,175
Danone,0,0,0,0,0,9,175
DecÃ²,0,0,0,0,0,9,175
Deep beer - Lidl,0,0,0,0,0,9,175
Doria,0,0,0,0,0,9,175
Energade,0,0,0,0,0,9,175
"EstathÃ¨, San benedetto",0,0,0,0,0,9,175
Colgate-Palmolive,0,0,0,0,0,9,175
Eurospin,0,0,0,0,0,9,175
Eurovast,0,0,0,0,0,9,175
Fabia,0,0,0,0,0,9,175
Famy,0,0,0,0,0,9,175
Ferrarelle,0,0,0,0,0,9,175
Ferrero Group,0,0,0,0,0,9,175
Conad,0,0,0,0,0,9,175
Cognac Slanchev bryag,0,0,0,0,0,9,175
Nelsen,0,0,0,0,0,9,175
Beiersdorf Global AG,0,0,0,0,0,9,175
Alisea,0,0,0,0,0,9,175
Alpen,0,0,0,0,0,9,175
Amica chips,0,0,0,0,0,9,175
Argus beer- Lidl,0,0,0,0,0,9,175
Auchan,0,0,0,0,0,9,175
Barilla Group,0,0,0,0,0,9,175
BeltÃ¨ NeslÃ¨,0,0,0,0,0,9,175
Clivia,0,0,0,0,0,9,175
Bernardo,0,0,0,0,0,9,175
Biffi,0,0,0,0,0,9,175
Blues,0,0,0,0,0,9,175
"Borovets waffles ""Day&Night""Ltd.",0,0,0,0,0,9,175
Carioca,0,0,0,0,0,9,175
Claudia,0,0,0,0,0,9,175
Fiorentini,0,0,0,0,0,9,175
Fonte Azzurrina,0,0,0,0,0,9,175
Free way,0,0,0,0,0,9,175
Medastea,0,0,0,0,0,9,175
Maniva,0,0,0,0,0,9,175
"Mars, Incorporated",0,0,0,0,0,9,175
Maspex Romania,0,0,0,0,0,9,175
Mastika Vinprom Peshtera,0,0,0,0,0,9,175
McDonald's Corporation,0,0,0,0,0,9,175
Meda,0,0,0,0,0,9,175
Merivo,0,0,0,0,0,9,175
Freeway,0,0,0,0,0,9,175
Misia,0,0,0,0,0,9,175
Mondelez International,0,0,0,0,0,9,175
Monte bianco,0,0,0,0,0,9,175
Moreni waffle - Mondelez Iternational,0,0,0,0,0,9,175
Muller,0,0,0,0,0,9,175
Natia,0,0,0,0,0,9,175
Locatelli,0,0,0,0,0,9,175
Lines,0,0,0,0,0,9,175
Lilia,0,0,0,0,0,9,175
Lidl,0,0,0,0,0,9,175
Lavazza,0,0,0,0,0,9,175
L'Oreal,0,0,0,0,0,9,175
Kinder Ferrero,0,0,0,0,0,9,175
Kinde,0,0,0,0,0,9,175
Kimberly-Clark,0,0,0,0,0,9,175
Imperial Brands,0,0,0,0,0,9,175
Hosta,0,0,0,0,0,9,175
Heineken International,0,0,0,0,0,9,175
Haribo,0,0,0,0,0,9,175
Granarolo,0,0,0,0,0,9,175
Gran Finale,0,0,0,0,0,9,175
Gaia,0,0,0,0,0,9,175
GTT,0,0,0,0,0,9,175
NestlÃ¨,0,0,0,0,0,9,175
