ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Aroma,0,1,1,0,0,0,0,0,2,4,88
Abi Fresh,0,0,0,0,2,0,0,0,2,4,88
Manama,0,0,0,1,0,0,0,0,1,4,88
Meenaie,0,0,0,1,0,0,0,0,1,4,88
Manforce,0,0,0,1,0,0,0,0,1,4,88
Namazco Food & Beverage,0,0,0,0,1,0,0,0,1,4,88
Maroma Auroville,0,0,0,0,1,0,0,0,1,4,88
Rose,0,0,0,0,0,1,0,0,1,4,88
Pepe Silko Milko,0,0,0,1,0,0,0,0,1,4,88
Sumeru,0,0,0,1,0,0,0,0,1,4,88
Vsn,0,0,0,1,0,0,0,0,1,4,88
Vitaaz,0,0,0,1,0,0,0,0,1,4,88
Vijay,0,0,1,0,0,0,0,0,1,4,88
Vigora,0,0,0,1,0,0,0,0,1,4,88
Veeba,0,0,0,1,0,0,0,0,1,4,88
Vanitha,0,0,1,0,0,0,0,0,1,4,88
Trayaji,0,0,0,1,0,0,0,0,1,4,88
Total,0,0,0,1,0,0,0,0,1,4,88
Thumbs Up,0,0,0,1,0,0,0,0,1,4,88
Swiss Fresh,0,0,0,0,1,0,0,0,1,4,88
Svs,0,0,0,0,0,1,0,0,1,4,88
Sunlite,0,0,1,0,0,0,0,0,1,4,88
Sun Aqua,0,0,0,0,1,0,0,0,1,4,88
Sukhti,0,0,0,1,0,0,0,0,1,4,88
Philip Morris,0,0,0,1,0,0,0,0,1,4,88
Sri Ganesh,0,0,1,0,0,0,0,0,1,4,88
Silko Milko,0,0,0,1,0,0,0,0,1,4,88
Scissors,0,0,0,1,0,0,0,0,1,4,88
Sabols,0,0,0,0,1,0,0,0,1,4,88
Loin Dal,0,0,0,1,0,0,0,0,1,4,88
Richie,0,0,0,0,1,0,0,0,1,4,88
Regalia,0,0,0,1,0,0,0,0,1,4,88
Real Fruit,0,0,0,1,0,0,0,0,1,4,88
Rathnas,0,0,1,0,0,0,0,0,1,4,88
RBC,0,0,0,1,0,0,0,0,1,4,88
Prega New,0,0,0,1,0,0,0,0,1,4,88
Port Wine,0,0,0,1,0,0,0,0,1,4,88
Ponlait,0,0,0,0,0,1,0,0,1,4,88
Lotte,0,0,0,1,0,0,0,0,1,4,88
137,0,0,0,1,0,0,0,0,1,4,88
Lavian,0,0,0,1,0,0,0,0,1,4,88
Joker,0,0,0,1,0,0,0,0,1,4,88
Chelsea,0,0,0,1,0,0,0,0,1,4,88
Ashwin,0,0,0,0,1,0,0,0,1,4,88
Avandraj,0,0,1,0,0,0,0,0,1,4,88
Biscare,0,0,0,0,1,0,0,0,1,4,88
HMD Healthcare,0,0,1,0,0,0,0,0,1,4,88
Gold Fresh,0,0,0,0,1,0,0,0,1,4,88
Boronto,0,0,0,0,1,0,0,0,1,4,88
Gazza,0,0,0,1,0,0,0,0,1,4,88
Fresh Home Food,0,0,1,0,0,0,0,0,1,4,88
CBL Munchee,0,0,0,1,0,0,0,0,1,4,88
Flubbers,0,0,0,1,0,0,0,0,1,4,88
Everydrink,0,0,0,0,1,0,0,0,1,4,88
Everdrink,0,0,0,0,1,0,0,0,1,4,88
Eurori,0,0,1,0,0,0,0,0,1,4,88
E Byte,0,0,0,1,0,0,0,0,1,4,88
Dabur,0,0,0,1,0,0,0,0,1,4,88
Cool Lip,0,0,0,1,0,0,0,0,1,4,88
Coffee Toffee,0,0,0,1,0,0,0,0,1,4,88
Clairs,0,0,1,0,0,0,0,0,1,4,88
Jinthaa,0,0,0,0,1,0,0,0,1,4,88
Invigra,0,0,0,1,0,0,0,0,1,4,88
Amazon / Whole Foods,0,0,0,1,0,0,0,0,1,4,88
Anchor,0,0,0,1,0,0,0,0,1,4,88
Jpack,0,0,1,0,0,0,0,0,1,4,88
Ananda Bhavan,0,0,1,0,0,0,0,0,1,4,88
4700 Bc,0,0,0,1,0,0,0,0,1,4,88
Anandam Supari,0,0,0,1,0,0,0,0,1,4,88
Lehar,0,0,0,0,1,0,0,0,1,4,88
Anil,0,0,0,1,0,0,0,0,1,4,88
A2B,0,0,0,1,0,0,0,0,1,4,88
Allwin,0,0,0,1,0,0,0,0,1,4,88
Whitefield diary pvt ltd,0,0,0,0,0,0,0,0,0,4,88
Shaantigiri Ltd,0,0,0,0,0,0,0,0,0,4,88
Sprinkle Salt,0,0,0,0,0,0,0,0,0,4,88
Scorlit,0,0,0,0,0,0,0,0,0,4,88
Shameer Ice Fruits,0,0,0,0,0,0,0,0,0,4,88
ATC,0,0,0,0,0,0,0,0,0,4,88
Aifu Food Product,0,0,0,0,0,0,0,0,0,4,88
Ajmi,0,0,0,0,0,0,0,0,0,4,88
Candia,0,0,0,0,0,0,0,0,0,4,88
Yashiguh Udayog,0,0,0,0,0,0,0,0,0,4,88
Aradhana Food Product,0,0,0,0,0,0,0,0,0,4,88
Cadbary,0,0,0,0,0,0,0,0,0,4,88
Almarai Company,0,0,0,0,0,0,0,0,0,4,88
Amritacook,0,0,0,0,0,0,0,0,0,4,88
Britania,0,0,0,0,0,0,0,0,0,4,88
VKC,0,0,0,0,0,0,0,0,0,4,88
Unicare India Ltd,0,0,0,0,0,0,0,0,0,4,88
Uncle john ice cream,0,0,0,0,0,0,0,0,0,4,88
Sunfeast,0,0,0,0,0,0,0,0,0,4,88
Bio-Ind,0,0,0,0,0,0,0,0,0,4,88
Supplyco,0,0,0,0,0,0,0,0,0,4,88
Aroma Food Product,0,0,0,0,0,0,0,0,0,4,88
Tatranske Micko,0,0,0,0,0,0,0,0,0,4,88
Appollo Tyres,0,0,0,0,0,0,0,0,0,4,88
Aradhana Foods,0,0,0,0,0,0,0,0,0,4,88
Cavincare,0,0,0,0,0,0,0,0,0,4,88
Loreal Pvt Ltd,0,0,0,0,0,0,0,0,0,4,88
Schreiber Dynamics Diaries,0,0,0,0,0,0,0,0,0,4,88
Cipla Ltd,0,0,0,0,0,0,0,0,0,4,88
KP Namboodiri,0,0,0,0,0,0,0,0,0,4,88
Kaleeshwari Refineries Pvt ltd,0,0,0,0,0,0,0,0,0,4,88
Kamco,0,0,0,0,0,0,0,0,0,4,88
Kayar Distilleries,0,0,0,0,0,0,0,0,0,4,88
Kidos,0,0,0,0,0,0,0,0,0,4,88
Meriboy,0,0,0,0,0,0,0,0,0,4,88
Kingfisher,0,0,0,0,0,0,0,0,0,4,88
LG and Co,0,0,0,0,0,0,0,0,0,4,88
Mayora Indah Tbk,0,0,0,0,0,0,0,0,0,4,88
Labs Indus Ltd,0,0,0,0,0,0,0,0,0,4,88
Mars International,0,0,0,0,0,0,0,0,0,4,88
Mars Incorporated,0,0,0,0,0,0,0,0,0,4,88
Lassa Ice creams,0,0,0,0,0,0,0,0,0,4,88
Marico Ltd,0,0,0,0,0,0,0,0,0,4,88
Lemak Healthcare,0,0,0,0,0,0,0,0,0,4,88
MIlma,0,0,0,0,0,0,0,0,0,4,88
Lulu,0,0,0,0,0,0,0,0,0,4,88
Jyothi Laboratories,0,0,0,0,0,0,0,0,0,4,88
Nanjil Integrated Diary,0,0,0,0,0,0,0,0,0,4,88
Johnson and Johnson,0,0,0,0,0,0,0,0,0,4,88
Glanmark,0,0,0,0,0,0,0,0,0,4,88
SS Food Product,0,0,0,0,0,0,0,0,0,4,88
Cousins group,0,0,0,0,0,0,0,0,0,4,88
Local Brands,0,0,0,0,0,0,0,0,0,4,88
Ferrero Group,0,0,0,0,0,0,0,0,0,4,88
Fortune Gems Gold,0,0,0,0,0,0,0,0,0,4,88
Prayag Nutri Products,0,0,0,0,0,0,0,0,0,4,88
Fourrts,0,0,0,0,0,0,0,0,0,4,88
Perfelle Van Melle,0,0,0,0,0,0,0,0,0,4,88
Nirapara,0,0,0,0,0,0,0,0,0,4,88
Parle Agro India,0,0,0,0,0,0,0,0,0,4,88
Haldirams,0,0,0,0,0,0,0,0,0,4,88
Paras Food Product,0,0,0,0,0,0,0,0,0,4,88
Himalaya Drug company,0,0,0,0,0,0,0,0,0,4,88
Indira Dairy,0,0,0,0,0,0,0,0,0,4,88
Insulin,0,0,0,0,0,0,0,0,0,4,88
Jacks UK,0,0,0,0,0,0,0,0,0,4,88
Elite,0,0,0,0,0,0,0,0,0,4,88
