ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Candy Makers Inc,0,0,47,0,0,0,0,0,47,20,3751
UNILEVER,0,0,0,44,0,0,0,0,44,20,3751
Chunkee,0,0,0,44,0,0,0,0,44,20,3751
Pt Torabika Eka Semesta,0,0,0,43,0,0,0,0,43,20,3751
Beng Beng,0,0,2,40,0,0,0,0,42,20,3751
Life Water Industries Sdn.Bhd,0,0,0,0,41,0,0,0,41,20,3751
IFP Manufacturing Corporation,0,0,2,39,0,0,0,0,41,20,3751
PMFTC,0,0,0,40,0,0,0,0,40,20,3751
Multi-Rich,0,0,0,40,0,0,0,0,40,20,3751
Japan Tobacco International,0,0,0,38,0,0,0,0,38,20,3751
IFP,0,0,3,34,0,0,0,0,37,20,3751
"Mars, Incorporated",0,0,3,31,0,0,0,0,34,20,3751
Ksk Food Products,0,0,0,0,34,0,0,0,34,20,3751
Chiharon Ni Mang Juan,0,0,0,33,0,0,0,0,33,20,3751
McDonald's Corporation,0,0,1,31,0,0,0,0,32,20,3751
Pri Foods,0,0,0,32,0,0,0,0,32,20,3751
Mayora Nutririon,0,0,0,0,32,0,0,0,32,20,3751
Ding Dong,0,0,0,31,0,0,0,0,31,20,3751
Snackwell Food Corp,0,0,0,30,0,0,0,0,30,20,3751
Brownie Bites,0,0,0,30,0,0,0,0,30,20,3751
Choo Choo Cake Bites,0,0,0,29,0,0,0,0,29,20,3751
Emperador (Bottle Cap),0,0,0,0,0,29,0,0,29,20,3751
ITC,0,0,1,27,0,0,0,0,28,20,3751
Jbc Food Corp.,0,0,0,28,0,0,0,0,28,20,3751
Keiko Jammin' Milkee Paste,0,0,0,26,0,0,0,0,26,20,3751
Fry & Pop Food,0,0,21,5,0,0,0,0,26,20,3751
Pt. Mayora Indah Tbk,0,0,0,0,26,0,0,0,26,20,3751
Reynolds Consumer Products,0,0,0,25,0,0,0,0,25,20,3751
Barnutts,0,0,0,24,0,0,0,0,24,20,3751
Prifood Corporation,0,0,5,17,0,0,2,0,24,20,3751
CandyMan Inc.,0,0,1,21,0,0,0,0,22,20,3751
Pt Torabika Semesta,0,0,0,22,0,0,0,0,22,20,3751
Ecossential Food Corp.,0,0,0,21,0,0,0,0,21,20,3751
Dewberry,0,0,1,20,0,0,0,0,21,20,3751
Keiko Foods,0,0,0,20,0,0,0,0,20,20,3751
Del Monte Pacific Limited,0,0,7,12,1,0,0,0,20,20,3751
NutriSnack,0,0,3,16,0,0,0,0,19,20,3751
Leslie Corp,0,0,2,17,0,0,0,0,19,20,3751
Snow Bear,0,0,14,5,0,0,0,0,19,20,3751
Absolute Manufacturing,0,0,0,4,2,12,0,0,18,20,3751
Annie Candy Manufacturing,0,4,0,13,0,1,0,0,18,20,3751
Izummi Snacks Industries Corporation,0,0,0,18,0,0,0,0,18,20,3751
J. Y. Campus Centre,0,0,18,0,0,0,0,0,18,20,3751
Nutriasia,0,0,0,0,17,0,0,0,17,20,3751
JFI,0,0,0,15,0,2,0,0,17,20,3751
White Rabbit,0,0,4,13,0,0,0,0,17,20,3751
Vital Drinking Water,0,0,0,0,17,0,0,0,17,20,3751
Prifood Corp.,0,0,3,14,0,0,0,0,17,20,3751
Aji Frozen USA Corporation,0,0,8,9,0,0,0,0,17,20,3751
Suncrest,0,0,0,15,0,0,0,0,15,20,3751
Kellogg Company,0,0,0,14,0,1,0,0,15,20,3751
First Pgmc Enterprises Inc.,0,0,0,15,0,0,0,0,15,20,3751
Fres Candy,0,0,15,0,0,0,0,0,15,20,3751
Jackers Food Industries,0,0,0,14,0,0,0,0,14,20,3751
Yakult,0,0,0,2,12,0,0,0,14,20,3751
Peerless Products,0,0,14,0,0,0,0,0,14,20,3751
Monde Nissin Corp,0,0,6,8,0,0,0,0,14,20,3751
KSK Food Products,0,0,1,13,0,0,0,0,14,20,3751
SPI,0,0,0,13,0,0,0,0,13,20,3751
Jbc Food Corp,0,0,0,13,0,0,0,0,13,20,3751
Rebisco Creams,0,0,0,13,0,0,0,0,13,20,3751
Cheepee Corn Chips,0,0,0,13,0,0,0,0,13,20,3751
Cream O,0,0,0,13,0,0,0,0,13,20,3751
Gentle Supreme Phil. Inc.,0,0,13,0,0,0,0,0,13,20,3751
Suncrest Foods Inc.,0,0,0,13,0,0,0,0,13,20,3751
Nutritive Snack Food Corporation,0,0,0,11,0,1,0,0,12,20,3751
Potao Fries,0,0,0,12,0,0,0,0,12,20,3751
Comfoods Commonwealth Food Inc.,0,0,0,11,0,0,0,0,11,20,3751
Delfi Foods,0,0,1,7,3,0,0,0,11,20,3751
Absolute Asia,0,0,0,11,0,0,0,0,11,20,3751
Vitamix Labs,0,0,0,11,0,0,0,0,11,20,3751
RFM Corporation,0,0,4,6,0,1,0,0,11,20,3751
Pure Snacks,0,0,0,11,0,0,0,0,11,20,3751
Aqualife Company,0,0,0,0,0,0,11,0,11,20,3751
Splash,0,0,0,9,0,1,0,0,10,20,3751
Royal Mary Tamarind,0,0,0,10,0,0,0,0,10,20,3751
Mellow Marshmallow,0,0,0,10,0,0,0,0,10,20,3751
18,0,0,0,10,0,0,0,0,10,20,3751
Big,0,0,0,10,0,0,0,0,10,20,3751
Best Tiwi Food Product,0,0,1,8,0,0,0,0,9,20,3751
Safari,0,0,0,9,0,0,0,0,9,20,3751
Philippine Spring Water,0,0,0,0,9,0,0,0,9,20,3751
Peerless Products Manufactoring Inc,0,0,3,6,0,0,0,0,9,20,3751
Jbc Corp.,0,0,0,8,0,0,0,0,8,20,3751
Regal Int. Snack Food Corp,0,0,3,5,0,0,0,0,8,20,3751
Columbia,0,0,8,0,0,0,0,0,8,20,3751
Pmp Inc.,0,0,8,0,0,0,0,0,8,20,3751
Judge Candy,0,0,0,8,0,0,0,0,8,20,3751
Jocker's Foods Industries,0,0,0,8,0,0,0,0,8,20,3751
Multirich Foods Corporation,0,0,8,0,0,0,0,0,8,20,3751
Alaska Corporation,0,0,0,8,0,0,0,0,8,20,3751
Nutri Snack Food Corporation,0,0,0,0,8,0,0,0,8,20,3751
Flexstick,0,0,0,7,0,0,0,0,7,20,3751
Silka,0,0,1,6,0,0,0,0,7,20,3751
New Unity Sweets Manufacturing Corporation,0,0,0,0,7,0,0,0,7,20,3751
Lemon Square Cup Cakes,0,0,0,7,0,0,0,0,7,20,3751
Jungle Bites,0,0,0,7,0,0,0,0,7,20,3751
Gsm (Bottle Cap),0,0,0,0,0,7,0,0,7,20,3751
Johnson & Johnson,0,4,1,0,2,0,0,0,7,20,3751
Diamond Instant Food Trade,0,0,0,6,0,0,0,0,6,20,3751
Quick & Clean,0,0,0,6,0,0,0,0,6,20,3751
Reset Food Corp.,0,0,1,5,0,0,0,0,6,20,3751
State Line Snack Food Corporation,0,0,0,6,0,0,0,0,6,20,3751
Harvey Philippines,0,0,0,6,0,0,0,0,6,20,3751
Lemon Square Choo Choo,0,0,0,6,0,0,0,0,6,20,3751
Nutri Snack Corp.,0,0,0,6,0,0,0,0,6,20,3751
Mighty Cigarrete,0,0,0,6,0,0,0,0,6,20,3751
Nabati,0,0,0,6,0,0,0,0,6,20,3751
Metro Pacific Corp,0,0,0,0,6,0,0,0,6,20,3751
Milkita Lollipop,0,0,0,5,0,0,0,0,5,20,3751
Nagaraya,0,0,0,5,0,0,0,0,5,20,3751
The Candy Maker Corp,0,0,5,0,0,0,0,0,5,20,3751
Harman Foods Phils. Inc.,0,0,0,5,0,0,0,0,5,20,3751
Suncrest Food Inc.,0,0,1,4,0,0,0,0,5,20,3751
"Suncrest Foods, Inc",0,0,0,5,0,0,0,0,5,20,3751
Carmel Frozen Delights,0,0,0,5,0,0,0,0,5,20,3751
Tempura,0,0,0,5,0,0,0,0,5,20,3751
Extreme,0,0,0,5,0,0,0,0,5,20,3751
R. J. Reynolds Tobacco Company,0,0,0,5,0,0,0,0,5,20,3751
Red Ribbon,0,0,0,5,0,0,0,0,5,20,3751
Columbia Food Products International,0,0,5,0,0,0,0,0,5,20,3751
Standard Food Industries,0,0,0,5,0,0,0,0,5,20,3751
Prifood Corp,0,0,0,5,0,0,0,0,5,20,3751
Alliance Global Group,0,0,0,5,0,0,0,0,5,20,3751
Nice Food Corporation,0,0,0,5,0,0,0,0,5,20,3751
Cup Keyk,0,0,0,5,0,0,0,0,5,20,3751
Peanut Kisses,0,0,0,5,0,0,0,0,5,20,3751
Monde M Y Corp.,0,0,5,0,0,0,0,0,5,20,3751
"Int'L Pharmaceuticals, Inc.",0,3,0,2,0,0,0,0,5,20,3751
Urc_Nova,0,0,0,5,0,0,0,0,5,20,3751
Doh,0,0,0,5,0,0,0,0,5,20,3751
Wl Foods,0,0,2,3,0,0,0,0,5,20,3751
"Candy Line Food Manufacturing, Corporation",0,0,0,5,0,0,0,0,5,20,3751
Jamaica,0,0,0,5,0,0,0,0,5,20,3751
Pri Food Corp.,0,0,0,5,0,0,0,0,5,20,3751
Hershey'S Milk Chocolate,0,0,0,5,0,0,0,0,5,20,3751
Zestar,0,0,0,5,0,0,0,0,5,20,3751
Nutritive,0,0,0,4,0,0,0,0,4,20,3751
Associated Anglo American,0,0,0,4,0,0,0,0,4,20,3751
Mega Soft Hygienic Products,0,0,4,0,0,0,0,0,4,20,3751
Jbc Foods Corp,0,0,0,4,0,0,0,0,4,20,3751
Golden Premium,0,0,0,4,0,0,0,0,4,20,3751
Rfm Ice Cream Inc.,0,0,4,0,0,0,0,0,4,20,3751
Interbev Phil,0,0,0,0,4,0,0,0,4,20,3751
Regent,0,0,0,4,0,0,0,0,4,20,3751
Nutritive Snack Food Corp,0,0,0,4,0,0,0,0,4,20,3751
Park 'N Go,0,0,4,0,0,0,0,0,4,20,3751
Musika,0,0,4,0,0,0,0,0,4,20,3751
Multirich Food Corporation,0,0,4,0,0,0,0,0,4,20,3751
Ice Cream Drop,0,0,0,4,0,0,0,0,4,20,3751
Pmftc Inc.,0,0,0,4,0,0,0,0,4,20,3751
Rackey Fruit Candy,0,0,0,4,0,0,0,0,4,20,3751
Haring Isda,0,0,0,4,0,0,0,0,4,20,3751
Candy Man Inc,0,0,4,0,0,0,0,0,4,20,3751
Monde M.Y San Corp,0,0,4,0,0,0,0,0,4,20,3751
Kishan Agro Tech,0,0,0,0,4,0,0,0,4,20,3751
Li Wayway Marketing,0,0,0,4,0,0,0,0,4,20,3751
Marvel International Tobacco Group,0,0,0,4,0,0,0,0,4,20,3751
Sunflower Crackers,0,0,0,4,0,0,0,0,4,20,3751
Zonrox,0,4,0,0,0,0,0,0,4,20,3751
Acl & A Foods,0,0,0,0,4,0,0,0,4,20,3751
Life Water Industries Sdn Bhd,0,0,0,0,4,0,0,0,4,20,3751
WL Foods,0,0,0,0,0,4,0,0,4,20,3751
Alberto'S Pizza,0,0,0,4,0,0,0,0,4,20,3751
Lipps Candy,0,0,0,4,0,0,0,0,4,20,3751
Vcut Potato Chips,0,0,0,4,0,0,0,0,4,20,3751
Lth Food Industries Inc,0,0,4,0,0,0,0,0,4,20,3751
Eclairs Milk,0,0,0,4,0,0,0,0,4,20,3751
Kopiyaki,0,0,0,4,0,0,0,0,4,20,3751
Suppliers Tortilla Chips,0,0,0,0,0,4,0,0,4,20,3751
Super Delights Brownies,0,0,0,4,0,0,0,0,4,20,3751
Torabika Eka,0,0,0,4,0,0,0,0,4,20,3751
Snow Mountain,0,0,0,4,0,0,0,0,4,20,3751
Sm,0,0,0,4,0,0,0,0,4,20,3751
Fries Container,0,0,0,4,0,0,0,0,4,20,3751
Snackline,0,0,0,4,0,0,0,0,4,20,3751
Atami Sardines,0,0,0,3,0,0,0,0,3,20,3751
Del,0,0,2,1,0,0,0,0,3,20,3751
Del Monte Phils.,0,0,1,0,2,0,0,0,3,20,3751
Clover Bits,0,0,3,0,0,0,0,0,3,20,3751
Vivo Caramel Sweets,0,0,0,3,0,0,0,0,3,20,3751
Diamond Instant F.T,0,0,0,3,0,0,0,0,3,20,3751
Diamond Instant,0,0,0,3,0,0,0,0,3,20,3751
Aryzta,0,0,0,3,0,0,0,0,3,20,3751
Pgmc,0,0,3,0,0,0,0,0,3,20,3751
Snack Food Association,0,0,0,3,0,0,0,0,3,20,3751
Columbia Inc,0,0,3,0,0,0,0,0,3,20,3751
Urc Vietnam Co. Ltd,0,0,3,0,0,0,0,0,3,20,3751
My San,0,0,1,2,0,0,0,0,3,20,3751
Oishi,0,0,0,2,0,1,0,0,3,20,3751
Orange Drop,0,0,0,3,0,0,0,0,3,20,3751
Lucky Me Mami,0,0,0,3,0,0,0,0,3,20,3751
Wings Corp,0,0,0,0,3,0,0,0,3,20,3751
Nutristar,0,0,3,0,0,0,0,0,3,20,3751
Choco Joy,0,0,0,3,0,0,0,0,3,20,3751
D' Patata,0,0,0,3,0,0,0,0,3,20,3751
Wrigley Company,0,0,1,2,0,0,0,0,3,20,3751
JT,0,0,0,3,0,0,0,0,3,20,3751
Nutri Asia,0,0,0,3,0,0,0,0,3,20,3751
Nissin Monde Corp.,0,0,0,3,0,0,0,0,3,20,3751
Jackie RPO Cosmetic Lab Corporation,0,0,0,3,0,0,0,0,3,20,3751
Yammy Burger,0,0,0,3,0,0,0,0,3,20,3751
"Yum! Brands, Inc.",0,0,0,1,0,0,2,0,3,20,3751
Zentea,0,0,0,0,3,0,0,0,3,20,3751
Angel's Burger,0,0,0,3,0,0,0,0,3,20,3751
Sampalok,0,0,3,0,0,0,0,0,3,20,3751
Special Sweet Ham,0,0,0,3,0,0,0,0,3,20,3751
Knorr,0,0,0,1,0,2,0,0,3,20,3751
Femme,0,0,0,3,0,0,0,0,3,20,3751
Leslie Corporation,0,0,0,0,3,0,0,0,3,20,3751
Cheezy,0,0,0,3,0,0,0,0,3,20,3751
Tanduay (Bottle Caps),0,0,0,0,0,3,0,0,3,20,3751
Enerlife Philippines Inc.,0,0,0,0,3,0,0,0,3,20,3751
Emperador Distillers Inc.,0,0,0,3,0,0,0,0,3,20,3751
Ground Black Pepper,0,0,0,3,0,0,0,0,3,20,3751
Pretzels,0,0,0,3,0,0,0,0,3,20,3751
Puregold,0,0,0,3,0,0,0,0,3,20,3751
Mabuhay Biscuit Corporation,0,0,0,3,0,0,0,0,3,20,3751
Rebisco Bravo,0,0,0,3,0,0,0,0,3,20,3751
Food Products Inc.,0,0,0,3,0,0,0,0,3,20,3751
Green Cross Inc.,0,3,0,0,0,0,0,0,3,20,3751
Banana Ketchup,0,0,0,3,0,0,0,0,3,20,3751
Pt. Sayap Masutama,0,0,3,0,0,0,0,0,3,20,3751
Titus,0,0,0,3,0,0,0,0,3,20,3751
Regent Foods Corp,0,0,0,3,0,0,0,0,3,20,3751
ECO,0,0,1,2,0,0,0,0,3,20,3751
Care Product,0,0,0,3,0,0,0,0,3,20,3751
MBC,0,0,0,3,0,0,0,0,3,20,3751
Unahco Inc,0,0,0,0,3,0,0,0,3,20,3751
Unilab,0,0,0,3,0,0,0,0,3,20,3751
Nabati Snack Corporation,0,0,0,2,0,0,0,0,2,20,3751
Lychee,0,0,0,2,0,0,0,0,2,20,3751
Malabon Soap and Oil Industrial Co.,0,0,0,0,0,2,0,0,2,20,3751
Marklene Fabricate Corporation,0,0,0,2,0,0,0,0,2,20,3751
Mang Juan'S Chicharon,0,0,0,2,0,0,0,0,2,20,3751
Mister Asim,0,0,2,0,0,0,0,0,2,20,3751
Lime + Light,0,0,0,2,0,0,0,0,2,20,3751
Lion Corp. Japan,0,2,0,0,0,0,0,0,2,20,3751
Captain Seed,0,0,0,2,0,0,0,0,2,20,3751
Cattleya Note Filler,0,0,0,2,0,0,0,0,2,20,3751
Cdo,0,0,2,0,0,0,0,0,2,20,3751
CKP,0,0,0,2,0,0,0,0,2,20,3751
Naturals,0,0,0,2,0,0,0,0,2,20,3751
"The Golden Tree Food, Inc",0,0,0,2,0,0,0,0,2,20,3751
Sapanan General Food Co.,0,0,0,0,2,0,0,0,2,20,3751
Shri Disnau Shakti Dham Foods,0,0,0,0,0,0,2,0,2,20,3751
Sip-Sip,0,0,0,2,0,0,0,0,2,20,3751
Stateline Snack Food Corporation,0,0,0,2,0,0,0,0,2,20,3751
Surf Fabric Conditioner,0,0,0,2,0,0,0,0,2,20,3751
TIWI,0,0,0,2,0,0,0,0,2,20,3751
TJN Pasalubong,0,0,0,2,0,0,0,0,2,20,3751
Tender Juicy Hotdog,0,0,0,2,0,0,0,0,2,20,3751
The Bar,0,0,0,2,0,0,0,0,2,20,3751
Ufc,0,0,0,2,0,0,0,0,2,20,3751
Nicefood Corp,0,0,0,2,0,0,0,0,2,20,3751
Alfonso,0,0,0,2,0,0,0,0,2,20,3751
Universal Robina Corp,0,0,0,0,2,0,0,0,2,20,3751
Alenter Food Inc,0,0,0,1,0,1,0,0,2,20,3751
Vita Plus,0,0,2,0,0,0,0,0,2,20,3751
Wet,0,0,0,2,0,0,0,0,2,20,3751
Whatta Flakes,0,0,0,2,0,0,0,0,2,20,3751
Whattatops,0,0,0,2,0,0,0,0,2,20,3751
7-Eleven,0,0,0,2,0,0,0,0,2,20,3751
Yari Ka,0,0,0,2,0,0,0,0,2,20,3751
Richeese,0,0,0,2,0,0,0,0,2,20,3751
Rfm Corporation,0,0,2,0,0,0,0,0,2,20,3751
Regina'S Bakeshop,0,0,0,2,0,0,0,0,2,20,3751
Regent Food Corporation,0,0,0,2,0,0,0,0,2,20,3751
Nissin,0,0,0,2,0,0,0,0,2,20,3751
P.T. Harum Alam Segar,0,0,0,2,0,0,0,0,2,20,3751
Burger Junction,0,0,0,2,0,0,0,0,2,20,3751
Perfetti Melle,0,0,0,2,0,0,0,0,2,20,3751
Perfetti Van,0,0,2,0,0,0,0,0,2,20,3751
Bourbon,0,0,0,2,0,0,0,0,2,20,3751
Personal Collection Inc,0,0,0,2,0,0,0,0,2,20,3751
Philippine Spring Water Resources,0,0,0,0,2,0,0,0,2,20,3751
Premier Purified Drinkin Water,0,0,0,2,0,0,0,0,2,20,3751
President Food Products,0,0,2,0,0,0,0,0,2,20,3751
Bench,0,0,0,1,0,1,0,0,2,20,3751
Pswri,0,0,2,0,0,0,0,0,2,20,3751
Pure Snacks Food House Corp.,0,0,2,0,0,0,0,0,2,20,3751
Pure Snacks Food House Corporation,0,0,0,2,0,0,0,0,2,20,3751
Rainbow Pie Crunch,0,0,0,2,0,0,0,0,2,20,3751
Rebisco Biscuit Incorporation,0,0,0,2,0,0,0,0,2,20,3751
Avon,0,1,1,0,0,0,0,0,2,20,3751
Reckitt Benckiser,0,0,0,2,0,0,0,0,2,20,3751
Regal Int'L Snack Food Corp,0,0,2,0,0,0,0,0,2,20,3751
Rc,0,0,0,0,2,0,0,0,2,20,3751
Magnolia,0,0,0,2,0,0,0,0,2,20,3751
International Pharmaceutical,0,0,0,2,0,0,0,0,2,20,3751
Herbal Life,0,0,0,2,0,0,0,0,2,20,3751
Etika Pte Ltd,0,0,0,0,2,0,0,0,2,20,3751
Comfoods,0,0,0,2,0,0,0,0,2,20,3751
International Pharmaceuticals Incorporated,0,0,0,2,0,0,0,0,2,20,3751
Delight,0,0,0,0,2,0,0,0,2,20,3751
Fortune Group Corp,0,0,0,2,0,0,0,0,2,20,3751
Eggnog Cookies,0,0,0,2,0,0,0,0,2,20,3751
Edgewell Personal Care,0,0,2,0,0,0,0,0,2,20,3751
Chocomani,0,0,0,2,0,0,0,0,2,20,3751
Kevin Food,0,0,0,2,0,0,0,0,2,20,3751
Kettle Corn Popcorn,0,0,0,2,0,0,0,0,2,20,3751
Chen Hua,0,0,0,2,0,0,0,0,2,20,3751
Jelly Ace,0,0,0,2,0,0,0,0,2,20,3751
Jockers Food Industry,0,0,0,0,2,0,0,0,2,20,3751
Ec Crunchy Choco Flakes,0,0,0,2,0,0,0,0,2,20,3751
Jvc,0,0,2,0,0,0,0,0,2,20,3751
E - Perfumery,0,0,0,2,0,0,0,0,2,20,3751
Doowee Donut,0,0,0,2,0,0,0,0,2,20,3751
Choco bar,0,0,0,2,0,0,0,0,2,20,3751
Dutchmill,0,0,0,2,0,0,0,0,2,20,3751
Choco Crunchies,0,0,0,2,0,0,0,0,2,20,3751
Jolly Food Inc.,0,0,0,2,0,0,0,0,2,20,3751
Cupcakes,0,0,0,2,0,0,0,0,2,20,3751
Haw Haw,0,0,0,2,0,0,0,0,2,20,3751
Food Crafters Siomai,0,0,0,2,0,0,0,0,2,20,3751
Criss Cross,0,0,0,2,0,0,0,0,2,20,3751
Island Biscuit Choco Wafer,0,0,0,2,0,0,0,0,2,20,3751
Lamoiyan Corp,0,1,0,1,0,0,0,0,2,20,3751
Guava Candy,0,0,0,2,0,0,0,0,2,20,3751
First Pg Mc Enterprices,0,0,2,0,0,0,0,0,2,20,3751
Coco Maiz,0,0,0,2,0,0,0,0,2,20,3751
Goldilocks Polvoron,0,0,0,2,0,0,0,0,2,20,3751
Hansel Sandwich,0,0,0,2,0,0,0,0,2,20,3751
Dairy Plus Co. Ltd,0,0,0,2,0,0,0,0,2,20,3751
Cloud 9 Chocolate Milk Drink,0,0,0,1,0,0,0,0,1,20,3751
Frutty,0,0,0,1,0,0,0,0,1,20,3751
Fry & Pop Food Incorporated,0,0,1,0,0,0,0,0,1,20,3751
Siver Swan,0,0,0,1,0,0,0,0,1,20,3751
Shoopes,0,0,0,1,0,0,0,0,1,20,3751
Stick-O,0,0,0,0,1,0,0,0,1,20,3751
Fruit Bomb,0,0,0,1,0,0,0,0,1,20,3751
Steven Joe,0,0,0,1,0,0,0,0,1,20,3751
Sm Bonus Distilled,0,0,0,0,1,0,0,0,1,20,3751
Sour Power,0,0,1,0,0,0,0,0,1,20,3751
Smirnoff (Bottle Cap),0,0,0,0,0,1,0,0,1,20,3751
Stationary Tape,0,0,0,1,0,0,0,0,1,20,3751
Flex Office,0,0,0,1,0,0,0,0,1,20,3751
Fly Ace Corp.,0,0,1,0,0,0,0,0,1,20,3751
Foxes,0,0,1,0,0,0,0,0,1,20,3751
Food Cool Strong,0,0,1,0,0,0,0,0,1,20,3751
Snackwell,0,0,0,1,0,0,0,0,1,20,3751
Aristoff Andrie Repacking,0,0,1,0,0,0,0,0,1,20,3751
Aqua Life,0,0,0,0,1,0,0,0,1,20,3751
Sponge,0,0,0,1,0,0,0,0,1,20,3751
Shamrock Bakery,0,0,1,0,0,0,0,0,1,20,3751
Antonov (Bottle Cap),0,0,0,0,0,1,0,0,1,20,3751
Spicy Seafood Curls,0,0,0,1,0,0,0,0,1,20,3751
Foodsphere Inc.,0,0,1,0,0,0,0,0,1,20,3751
Lexus,0,0,1,0,0,0,0,0,1,20,3751
Sancrest Food Corp.,0,0,0,1,0,0,0,0,1,20,3751
Shakeys Hot Sause,0,0,0,1,0,0,0,0,1,20,3751
Savemore,0,0,0,1,0,0,0,0,1,20,3751
Ginger Bon,0,0,0,1,0,0,0,0,1,20,3751
GlaxoSmithKline,0,0,0,1,0,0,0,0,1,20,3751
August Storck KG,0,0,0,1,0,0,0,0,1,20,3751
Gleam Mineral,0,0,1,0,0,0,0,0,1,20,3751
Avanti,0,0,0,1,0,0,0,0,1,20,3751
Golded Tree Food,0,0,1,0,0,0,0,0,1,20,3751
Goldilocks,0,0,0,1,0,0,0,0,1,20,3751
Good Morning,0,0,0,1,0,0,0,0,1,20,3751
Goodday Vanilla Coffee,0,0,0,1,0,0,0,0,1,20,3751
Grapes From California,0,0,0,1,0,0,0,0,1,20,3751
Great Taste Choco,0,0,0,1,0,0,0,0,1,20,3751
"Green Spot Co., Ltd.",0,0,0,1,0,0,0,0,1,20,3751
Rebisco Strawberry Sandwich,0,0,0,1,0,0,0,0,1,20,3751
Century Pacific Foods,0,0,0,1,0,0,0,0,1,20,3751
Rebisco Choco Sandwich,0,0,0,1,0,0,0,0,1,20,3751
Gumbitz Candy,0,0,0,1,0,0,0,0,1,20,3751
Reach Tissue,0,0,0,1,0,0,0,0,1,20,3751
Choochoo,0,0,0,1,0,0,0,0,1,20,3751
Richoco Choco Wafer,0,0,0,1,0,0,0,0,1,20,3751
Gatsby Wax,0,0,0,1,0,0,0,0,1,20,3751
Samnyl Bakeshop,0,0,0,1,0,0,0,0,1,20,3751
Funky French Fries,0,0,0,1,0,0,0,0,1,20,3751
Sanitary Pad,0,0,0,1,0,0,0,0,1,20,3751
Sanicare Cleansing Wipes,0,0,0,1,0,0,0,0,1,20,3751
Sandee,0,0,0,1,0,0,0,0,1,20,3751
Sucere Corporation,0,0,0,1,0,0,0,0,1,20,3751
Armak Tape,0,0,0,1,0,0,0,0,1,20,3751
G.T. Hyper Gel,0,0,0,1,0,0,0,0,1,20,3751
SPI Corporation,0,0,0,1,0,0,0,0,1,20,3751
"River Valley Distribution, Inc.",0,0,0,1,0,0,0,0,1,20,3751
Gamefowlsupplies,0,0,1,0,0,0,0,0,1,20,3751
