ParentCoFinal,EMPTY,HDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Maná,0,2,0,0,0,0,2,3,419
Predilecta Alimentos Ltda,0,0,2,0,0,0,2,3,419
Pocket,0,0,0,0,2,0,2,3,419
Italac,0,0,2,0,0,0,2,3,419
Pirassununga,0,2,0,0,0,0,2,3,419
Piraquê,0,0,0,0,2,0,2,3,419
Minuano,0,2,0,0,0,0,2,3,419
Cantinho Do Vale,0,0,0,2,0,0,2,3,419
Máximo,0,2,0,0,0,0,2,3,419
Cantina Do Vale,0,0,0,2,0,0,2,3,419
Docile Alimentos Ltda,0,0,0,0,2,0,2,3,419
Britvic - Ebba,0,0,2,0,0,0,2,3,419
Semar,0,2,0,0,0,0,2,3,419
Cacau Show,0,0,0,0,2,0,2,3,419
Cory Alimentos,0,0,0,0,2,0,2,3,419
Danone,0,2,0,0,0,0,2,3,419
Ferrero Group,0,0,2,0,0,0,2,3,419
Simba,0,0,0,1,0,0,1,3,419
Ajax,0,1,0,0,0,0,1,3,419
União,0,0,0,0,1,0,1,3,419
Ajinomoto Group,0,0,1,0,0,0,1,3,419
Brasil Kirin,0,0,0,1,0,0,1,3,419
Amanco,0,0,1,0,0,0,1,3,419
Tudo Green Açaí,0,1,0,0,0,0,1,3,419
Pinguim Sorvete,0,0,0,0,1,0,1,3,419
Trigre,0,0,1,0,0,0,1,3,419
Toffano Produtos Alimentícios,0,0,0,0,1,0,1,3,419
Serra Negra,0,0,0,1,0,0,1,3,419
Tek,0,1,0,0,0,0,1,3,419
Tampico Bevarages,0,0,0,1,0,0,1,3,419
Prefeitura Local,0,1,0,0,0,0,1,3,419
Pé De Moça,0,0,0,0,1,0,1,3,419
Bom Sabor,0,0,1,0,0,0,1,3,419
Amendupã Produtos Alimentícios Ltda,0,0,0,0,1,0,1,3,419
Subway,0,1,0,0,0,0,1,3,419
Spani,0,1,0,0,0,0,1,3,419
Bioleve,0,0,0,1,0,0,1,3,419
Soberana,0,0,0,0,1,0,1,3,419
Sinco,0,1,0,0,0,0,1,3,419
Dimbinho,0,0,0,0,1,0,1,3,419
Kaskão,0,0,0,0,1,0,1,3,419
Paraíbuna,0,0,0,0,1,0,1,3,419
Ki Sabor,0,0,0,0,1,0,1,3,419
Crocs,0,0,0,0,1,0,1,3,419
Epocler,0,0,0,0,1,0,1,3,419
Extra Power,0,0,0,1,0,0,1,3,419
Criket,0,1,0,0,0,0,1,3,419
Flora,0,0,0,0,1,0,1,3,419
Froneri,0,0,0,0,1,0,1,3,419
Fruteverão,0,0,0,0,1,0,1,3,419
Gilette,0,0,1,0,0,0,1,3,419
Companhia Müller De Bebidas,0,1,0,0,0,0,1,3,419
Himalaia,0,0,0,1,0,0,1,3,419
Hits Power,0,0,0,1,0,0,1,3,419
Cadbury Adams,0,0,0,0,1,0,1,3,419
Airon,0,0,0,0,1,0,1,3,419
Inoar,0,1,0,0,0,0,1,3,419
Kid Lat,0,0,0,0,1,0,1,3,419
Maguary,0,1,0,0,0,0,1,3,419
Paleta Mexicana,0,0,0,0,1,0,1,3,419
Minalba,0,0,0,0,1,0,1,3,419
Milho De Ouro,0,0,0,0,1,0,1,3,419
Mergetlec,0,0,0,0,1,0,1,3,419
Casa Suiça,0,0,0,0,1,0,1,3,419
Kimberly-Clark,0,1,0,0,0,0,1,3,419
Chinnut´S Alimentos,0,0,0,0,1,0,1,3,419
Los Humanos,0,0,0,0,1,0,1,3,419
Lindoya,0,0,0,0,1,0,1,3,419
Clipper,0,1,0,0,0,0,1,3,419
GuaranÃ¡,0,0,0,0,0,0,0,3,419
Hellmans,0,0,0,0,0,0,0,3,419
Sukita,0,0,0,0,0,0,0,3,419
Corote,0,0,0,0,0,0,0,3,419
Prata,0,0,0,0,0,0,0,3,419
Askov,0,0,0,0,0,0,0,3,419
ItubaÃ­na,0,0,0,0,0,0,0,3,419
Natural One,0,0,0,0,0,0,0,3,419
Cristal,0,0,0,0,0,0,0,3,419
Schin,0,0,0,0,0,0,0,3,419
Dolly,0,0,0,0,0,0,0,3,419
Vibe,0,0,0,0,0,0,0,3,419
Non Identified,0,0,0,0,0,0,0,3,419
