ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Protein,0,0,0,0,2,0,0,2,1,9
Mini Rolada,0,0,0,0,2,0,0,2,1,9
Musli Bar,0,0,0,0,2,0,0,2,1,9
Nectar,0,0,1,1,0,0,0,2,1,9
Nestlé,0,0,2,0,0,0,0,2,1,9
Kinder Egg,0,1,1,0,0,0,0,2,1,9
Ricola,0,0,2,0,0,0,0,2,1,9
Snickers (Mars),0,2,0,0,0,0,0,2,1,9
Sony,0,0,2,0,0,0,0,2,1,9
Teamagra,0,0,2,0,0,0,0,2,1,9
Tuc,0,0,0,0,2,0,0,2,1,9
X Sour,0,0,0,0,2,0,0,2,1,9
Zewa,0,2,0,0,0,0,0,2,1,9
King Quattro,0,0,0,0,2,0,0,2,1,9
7Days,0,0,0,0,2,0,0,2,1,9
Carnitine,0,0,0,2,0,0,0,2,1,9
Biscuit,0,2,0,0,0,0,0,2,1,9
Durex (Reckitt Benckiser),0,2,0,0,0,0,0,2,1,9
Dm Drogeriemarkt,0,2,0,0,0,0,0,2,1,9
Carre,0,0,2,0,0,0,0,2,1,9
Develey,0,0,2,0,0,0,0,2,1,9
Clipsy Max,0,0,2,0,0,0,0,2,1,9
Flying Power (Aldi),0,0,2,0,0,0,0,2,1,9
Delicomat,0,0,2,0,0,0,0,2,1,9
Gelatelli Ice Cream,0,0,2,0,0,0,0,2,1,9
Blue Sky,0,0,0,0,2,0,0,2,1,9
Glamour (Gallagher Tobacco Company),0,0,2,0,0,0,0,2,1,9
Choco & Caramel,0,0,0,0,2,0,0,2,1,9
Grape Juice,0,0,0,2,0,0,0,2,1,9
Isotonic,0,0,2,0,0,0,0,2,1,9
Indijski Oreščki,0,0,0,0,2,0,0,2,1,9
Kids Nellino,0,0,0,0,2,0,0,2,1,9
Aitschler,0,0,0,0,2,0,0,2,1,9
Avtoreka,0,0,2,0,0,0,0,2,1,9
Heets (Philip Morris),0,0,2,0,0,0,0,2,1,9
Dobra Vila,0,0,2,0,0,0,0,2,1,9
Cream Banana,0,0,0,0,0,2,0,2,1,9
Ice Tea,0,0,0,0,2,0,0,2,1,9
Cockta (Droga Kolinska Group),0,0,1,0,0,0,0,1,1,9
Spar,0,0,1,0,0,0,0,1,1,9
Telemach (United Group),0,0,1,0,0,0,0,1,1,9
Cookie,0,0,0,0,1,0,0,1,1,9
Staropramen,0,0,1,0,0,0,0,1,1,9
Telenor Rs,0,0,1,0,0,0,0,1,1,9
Telephone Card 100 Imp,0,0,1,0,0,0,0,1,1,9
Swan (Altesse),0,0,1,0,0,0,0,1,1,9
Kinder Pingui,0,1,0,0,0,0,0,1,1,9
Thomas Henry,0,0,1,0,0,0,0,1,1,9
Tictac (Ferrero),0,0,0,0,0,0,1,1,1,9
Cedevita (Atlantic Group),0,0,0,1,0,0,0,1,1,9
Casali,0,1,0,0,0,0,0,1,1,9
Unigard (Security),0,0,1,0,0,0,0,1,1,9
Sixtusbrau,0,0,1,0,0,0,0,1,1,9
Camel (R. J. Reynolds Tobacco Company),0,0,1,0,0,0,0,1,1,9
Volkswagen,0,0,1,0,0,0,0,1,1,9
Bossard,0,0,1,0,0,0,0,1,1,9
Benson (Altria),0,0,1,0,0,0,0,1,1,9
Baloon,0,0,0,0,0,0,1,1,1,9
Zala,0,0,0,1,0,0,0,1,1,9
Ašič,0,0,0,1,0,0,0,1,1,9
Zzzs,0,0,1,0,0,0,0,1,1,9
Corega (Glaxosmithkline),0,0,1,0,0,0,0,1,1,9
Radenska Adriatic,0,0,0,1,0,0,0,1,1,9
Corny,0,1,0,0,0,0,0,1,1,9
Dvojni C,0,0,1,0,0,0,0,1,1,9
Kong Strong (Urban Classic Energy Drink) Lidl,0,0,1,0,0,0,0,1,1,9
Karlsberg (Somersby),0,0,1,0,0,0,0,1,1,9
Jamnica ( Sensation),0,0,1,0,0,0,0,1,1,9
Lidl - Floralys,0,1,0,0,0,0,0,1,1,9
Ljubljanske Mlekarne,0,0,0,0,1,0,0,1,1,9
Lollipop,0,0,1,0,0,0,0,1,1,9
Maretti,0,1,0,0,0,0,0,1,1,9
Happy Hippo,0,1,0,0,0,0,0,1,1,9
Mercator (Agrokor) - Natur,0,1,0,0,0,0,0,1,1,9
G&B Leasing,0,0,1,0,0,0,0,1,1,9
First Drink,0,0,0,1,0,0,0,1,1,9
Egg,0,0,1,0,0,0,0,1,1,9
Ecko Unltd,0,0,1,0,0,0,0,1,1,9
Nupo,0,1,0,0,0,0,0,1,1,9
Sanbenedetto,0,1,0,0,0,0,0,1,1,9
Nutella B-Ready,0,1,0,0,0,0,0,1,1,9
Oaza (Radenska Adriatic),0,0,0,1,0,0,0,1,1,9
Duracell,0,0,1,0,0,0,0,1,1,9
Perfetti van Melle,0,0,1,0,0,0,0,1,1,9
Dubliss,0,0,1,0,0,0,0,1,1,9
Piškotek,0,0,0,0,1,0,0,1,1,9
Primark Home,0,0,1,0,0,0,0,1,1,9
Protein Bar Athlete (Proann),0,1,0,0,0,0,0,1,1,9
Puertosol (Eurospin),0,0,1,0,0,0,0,1,1,9
King (Ledo),0,1,0,0,0,0,0,1,1,9
Davidoff (Oettinger Davidoff Ag),0,0,1,0,0,0,0,1,1,9
Cricket,0,0,1,0,0,0,0,1,1,9
Salysol (Poligono Industrial Fridex),0,0,1,0,0,0,0,1,1,9
Lek,0,0,1,0,0,0,0,1,1,9
