ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Sauza,0,0,0,1,0,0,0,1,7,48
Pretul,0,0,0,1,0,0,0,1,7,48
Piña Loca,0,0,0,1,0,0,0,1,7,48
Phillips,0,0,0,1,0,0,0,1,7,48
Pharma,0,0,0,1,0,0,0,1,7,48
Petalo,0,0,1,0,0,0,0,1,7,48
Providencia,0,0,0,0,1,0,0,1,7,48
Aurrera,0,0,0,1,0,0,0,1,7,48
Perico,0,0,0,0,1,0,0,1,7,48
Avon,0,0,0,1,0,0,0,1,7,48
Pelon Pelorico,0,0,0,1,0,0,0,1,7,48
Pascual,0,0,0,0,1,0,0,1,7,48
Príncipe,0,0,0,1,0,0,0,1,7,48
Panditas,0,0,0,1,0,0,0,1,7,48
Pulparindo,0,0,0,1,0,0,0,1,7,48
Paleta Malva Bony Pop,0,0,0,1,0,0,0,1,7,48
Balam,0,0,0,0,1,0,0,1,7,48
Nutri Deli,0,0,0,0,1,0,0,1,7,48
Nueva Alianza,0,1,0,0,0,0,0,1,7,48
New Mix,0,0,0,0,1,0,0,1,7,48
Roma,0,0,0,1,0,0,0,1,7,48
Rotler,0,0,0,1,0,0,0,1,7,48
Mondelez International,0,0,0,1,0,0,0,1,7,48
Alka-Seltzer,0,0,0,1,0,0,0,1,7,48
Salvo,0,0,0,1,0,0,0,1,7,48
Maya,0,0,0,1,0,0,0,1,7,48
Mistertennis,0,0,1,0,0,0,0,1,7,48
Italpasta,0,0,0,1,0,0,0,1,7,48
Jabon Neutro,0,0,0,1,0,0,0,1,7,48
Bonice,0,0,0,0,1,0,0,1,7,48
Dr Pepper Snapple Group,0,0,0,0,1,0,0,1,7,48
Douglas Balance,0,0,0,1,0,0,0,1,7,48
Dorusa,0,0,0,0,1,0,0,1,7,48
Yavaros,0,0,0,1,0,0,0,1,7,48
Dodi,0,0,0,1,0,0,0,1,7,48
Dismex,0,0,0,0,1,0,0,1,7,48
Isadora,0,0,0,1,0,0,0,1,7,48
Bonafont,0,0,0,0,1,0,0,1,7,48
Cremax,0,0,0,1,0,0,0,1,7,48
Epura,0,0,0,0,1,0,0,1,7,48
Conagra,0,0,0,1,0,0,0,1,7,48
Colorfiel,0,1,0,0,0,0,0,1,7,48
Clamato,0,0,0,1,0,0,0,1,7,48
Chokis,0,0,0,1,0,0,0,1,7,48
Choice,0,0,0,1,0,0,0,1,7,48
Casco Viejo,0,0,0,1,0,0,0,1,7,48
Carlos V,0,0,0,1,0,0,0,1,7,48
Caprice,0,1,0,0,0,0,0,1,7,48
E-Pura,0,0,0,0,1,0,0,1,7,48
Deliciosas,0,0,0,0,1,0,0,1,7,48
Escribe,0,0,0,1,0,0,0,1,7,48
Victoria,0,0,0,1,0,0,0,1,7,48
Transquat,0,0,0,0,1,0,0,1,7,48
Innovaware,0,0,0,0,0,1,0,1,7,48
Hielo Polar,0,0,1,0,0,0,0,1,7,48
Hielo Ideal,0,0,1,0,0,0,0,1,7,48
Unilever,0,0,0,1,0,0,0,1,7,48
Baygon,0,0,0,1,0,0,0,1,7,48
Power Punch,0,0,0,0,1,0,0,1,7,48
cleanmex,0,0,0,0,0,0,0,0,7,48
"TÃ­a Rosa, Bimbo",0,0,0,0,0,0,0,0,7,48
primaria 5 de mayo,0,0,0,0,0,0,0,0,7,48
Rancheritos,0,0,0,0,0,0,0,0,7,48
sparta,0,0,0,0,0,0,0,0,7,48
tetrapack,0,0,0,0,0,0,0,0,7,48
totis,0,0,0,0,0,0,0,0,7,48
Vive 100%,0,0,0,0,0,0,0,0,7,48
truper,0,0,0,0,0,0,0,0,7,48
TapatÃ­as,0,0,0,0,0,0,0,0,7,48
Skyy Vodka,0,0,0,0,0,0,0,0,7,48
Vitaloe,0,0,0,0,0,0,0,0,7,48
Skwinkes,0,0,0,0,0,0,0,0,7,48
xtreme,0,0,0,0,0,0,0,0,7,48
yakult sofÃº,0,0,0,0,0,0,0,0,7,48
zuum,0,0,0,0,0,0,0,0,7,48
Principe,0,0,0,0,0,0,0,0,7,48
Trotitos,0,0,0,0,0,0,0,0,7,48
Shots,0,0,0,0,0,0,0,0,7,48
Vogue,0,0,0,0,0,0,0,0,7,48
Solo Cup Co.,0,0,0,0,0,0,0,0,7,48
Re-Mix Explosion,0,0,0,0,0,0,0,0,7,48
noespecificado,0,0,0,0,0,0,0,0,7,48
Rebanadas,0,0,0,0,0,0,0,0,7,48
codo mediano,0,0,0,0,0,0,0,0,7,48
Starbucks,0,0,0,0,0,0,0,0,7,48
coppel,0,0,0,0,0,0,0,0,7,48
cal.c.toce,0,0,0,0,0,0,0,0,7,48
Saladitas gamesa,0,0,0,0,0,0,0,0,7,48
Andatti,0,0,0,0,0,0,0,0,7,48
e-pura,0,0,0,0,0,0,0,0,7,48
Absorsec Kleen Bebe,0,0,0,0,0,0,0,0,7,48
frutsi,0,0,0,0,0,0,0,0,7,48
garcicrespo,0,0,0,0,0,0,0,0,7,48
Valentones,0,0,0,0,0,0,0,0,7,48
jarritos,0,0,0,0,0,0,0,0,7,48
"Reynolds American, Inc.",0,0,0,0,0,0,0,0,7,48
Reyna,0,0,0,0,0,0,0,0,7,48
Yakult,0,0,0,0,0,0,0,0,7,48
napolitan,0,0,0,0,0,0,0,0,7,48
Arcoiris,0,0,0,0,0,0,0,0,7,48
lala,0,0,0,0,0,0,0,0,7,48
Naranjazo,0,0,0,0,0,0,0,0,7,48
Playdoh,0,0,0,0,0,0,0,0,7,48
Plasticostokio,0,0,0,0,0,0,0,0,7,48
Dorco Shai 3,0,0,0,0,0,0,0,0,7,48
Electrolit,0,0,0,0,0,0,0,0,7,48
Foca,0,0,0,0,0,0,0,0,7,48
Fryen,0,0,0,0,0,0,0,0,7,48
G 500,0,0,0,0,0,0,0,0,7,48
Gamesa Clasicas,0,0,0,0,0,0,0,0,7,48
General Mills,0,0,0,0,0,0,0,0,7,48
Bigotes,0,0,0,0,0,0,0,0,7,48
Henkel,0,0,0,0,0,0,0,0,7,48
Hersheys,0,0,0,0,0,0,0,0,7,48
Hielo,0,0,0,0,0,0,0,0,7,48
Hotkis,0,0,0,0,0,0,0,0,7,48
Inspireka,0,0,0,0,0,0,0,0,7,48
Iris,0,0,0,0,0,0,0,0,7,48
Basco,0,0,0,0,0,0,0,0,7,48
Jumex,0,0,0,0,0,0,0,0,7,48
Kacang,0,0,0,0,0,0,0,0,7,48
Donitas,0,0,0,0,0,0,0,0,7,48
Don Vasco,0,0,0,0,0,0,0,0,7,48
Blunt Wrap,0,0,0,0,0,0,0,0,7,48
Bran Frut,0,0,0,0,0,0,0,0,7,48
Chispitas,0,0,0,0,0,0,0,0,7,48
Choco Milk,0,0,0,0,0,0,0,0,7,48
Choco Roles,0,0,0,0,0,0,0,0,7,48
ConVermex,0,0,0,0,0,0,0,0,7,48
CM mr,0,0,0,0,0,0,0,0,7,48
Coronado,0,0,0,0,0,0,0,0,7,48
Cosecha Pura,0,0,0,0,0,0,0,0,7,48
Crujitos,0,0,0,0,0,0,0,0,7,48
Ditta flex,0,0,0,0,0,0,0,0,7,48
Cubasa,0,0,0,0,0,0,0,0,7,48
D'Gari,0,0,0,0,0,0,0,0,7,48
DIF Cereal Integral,0,0,0,0,0,0,0,0,7,48
Danonino,0,0,0,0,0,0,0,0,7,48
Danup,0,0,0,0,0,0,0,0,7,48
De la Rosa,0,0,0,0,0,0,0,0,7,48
Devoralien,0,0,0,0,0,0,0,0,7,48
Karate,0,0,0,0,0,0,0,0,7,48
Karyme,0,0,0,0,0,0,0,0,7,48
La Lechera,0,0,0,0,0,0,0,0,7,48
Orion Confectionery,0,0,0,0,0,0,0,0,7,48
N/I,0,0,0,0,0,0,0,0,7,48
Canelitas,0,0,0,0,0,0,0,0,7,48
Barea Coffee Company,0,0,0,0,0,0,0,0,7,48
Nutri Yogurt,0,0,0,0,0,0,0,0,7,48
Bardahl,0,0,0,0,0,0,0,0,7,48
Obleas,0,0,0,0,0,0,0,0,7,48
Oikos,0,0,0,0,0,0,0,0,7,48
Pake Taxo,0,0,0,0,0,0,0,0,7,48
Montana,0,0,0,0,0,0,0,0,7,48
Paleta Payaso,0,0,0,0,0,0,0,0,7,48
Paleta malva bony pop,0,0,0,0,0,0,0,0,7,48
PallMall,0,0,0,0,0,0,0,0,7,48
Papatinas,0,0,0,0,0,0,0,0,7,48
Pernod Ricard,0,0,0,0,0,0,0,0,7,48
Persil,0,0,0,0,0,0,0,0,7,48
Philip Morris,0,0,0,0,0,0,0,0,7,48
Multi Grano Linaza,0,0,0,0,0,0,0,0,7,48
Mini Pay,0,0,0,0,0,0,0,0,7,48
La Luz,0,0,0,0,0,0,0,0,7,48
AGA,0,0,0,0,0,0,0,0,7,48
Lala Crema,0,0,0,0,0,0,0,0,7,48
Lala Yomi,0,0,0,0,0,0,0,0,7,48
Leche Araceli,0,0,0,0,0,0,0,0,7,48
Link,0,0,0,0,0,0,0,0,7,48
Los 19 Hermanos,0,0,0,0,0,0,0,0,7,48
Lucas Gusano,0,0,0,0,0,0,0,0,7,48
Madalenas,0,0,0,0,0,0,0,0,7,48
Barritas,0,0,0,0,0,0,0,0,7,48
MicaForro,0,0,0,0,0,0,0,0,7,48
Marca Maizena,0,0,0,0,0,0,0,0,7,48
Marias,0,0,0,0,0,0,0,0,7,48
"Mars, Incorporated",0,0,0,0,0,0,0,0,7,48
Maruchan Instant Lunch,0,0,0,0,0,0,0,0,7,48
Matec,0,0,0,0,0,0,0,0,7,48
Baronet,0,0,0,0,0,0,0,0,7,48
McCormick,0,0,0,0,0,0,0,0,7,48
Malaga,0,0,0,0,0,0,0,0,7,48
