ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Ivess,0,0,0,1,0,1,0,0,2,4,243
Terrabusi,0,0,0,0,0,2,0,0,2,4,243
Limpia-Lik,0,2,0,0,0,0,0,0,2,4,243
Tablada,0,2,0,0,0,0,0,0,2,4,243
"Mars, Incorporated",0,0,0,0,1,1,0,0,2,4,243
Max Aroma,0,0,0,2,0,0,0,0,2,4,243
Speed Unlimited,0,0,0,2,0,0,0,0,2,4,243
P&G,0,0,0,1,0,1,0,0,2,4,243
Saldan,0,0,0,0,0,2,0,0,2,4,243
Prunelle,0,2,0,0,0,0,0,0,2,4,243
9 De Oro,0,0,0,0,0,2,0,0,2,4,243
Daniel Gotman,0,1,0,1,0,0,0,0,2,4,243
Bardahl,0,2,0,0,0,0,0,0,2,4,243
Ayudin,0,2,0,0,0,0,0,0,2,4,243
Cusenier,0,0,0,0,2,0,0,0,2,4,243
Dart,0,0,0,2,0,0,0,0,2,4,243
Anheuser-Busch InBev,0,0,0,1,0,1,0,0,2,4,243
Beiersdorf Global AG,0,0,0,1,0,1,0,0,2,4,243
Benjamin,0,0,0,0,0,1,0,0,1,4,243
Revigal,0,1,0,0,0,0,0,0,1,4,243
Rinde Dos,0,0,0,0,0,1,0,0,1,4,243
Rockstar,0,0,0,1,0,0,0,0,1,4,243
Dunox,0,1,0,0,0,0,0,0,1,4,243
San Cayetano,0,0,0,0,0,1,0,0,1,4,243
Saladix - Arcor,0,0,0,0,0,1,0,0,1,4,243
Recreo,0,0,0,0,0,1,0,0,1,4,243
Savant Pharm,0,1,0,0,0,0,0,0,1,4,243
Bayer,0,1,0,0,0,0,0,0,1,4,243
Seawalk,0,1,0,0,0,0,0,0,1,4,243
Si Diet,0,1,0,0,0,0,0,0,1,4,243
Sidney,0,0,0,0,1,0,0,0,1,4,243
Resero,0,0,0,1,0,0,0,0,1,4,243
Diamante,0,0,0,1,0,0,0,0,1,4,243
Silsur,0,0,0,1,0,0,0,0,1,4,243
Candela,0,0,0,1,0,0,0,0,1,4,243
Omicron,0,0,0,0,0,1,0,0,1,4,243
Cedal,0,0,0,0,0,1,0,0,1,4,243
Paraná Limitada,0,0,1,0,0,0,0,0,1,4,243
Cecchini,0,1,0,0,0,0,0,0,1,4,243
Petronas,0,1,0,0,0,0,0,0,1,4,243
Philip Morris,0,0,0,1,0,0,0,0,1,4,243
Canela Fina,0,1,0,0,0,0,0,0,1,4,243
Polvorita,0,0,0,0,0,1,0,0,1,4,243
Rapifix,0,0,0,0,0,1,0,0,1,4,243
Pop Arcor,0,0,0,0,0,1,0,0,1,4,243
Porta Bialcohol,0,0,0,0,1,0,0,0,1,4,243
Porteñitas,0,0,0,0,0,1,0,0,1,4,243
Prinz,0,1,0,0,0,0,0,0,1,4,243
Buss,0,0,0,1,0,0,0,0,1,4,243
Bubbaloo,0,0,0,0,0,1,0,0,1,4,243
Rafting,0,0,0,0,0,1,0,0,1,4,243
Baggio,0,0,0,1,0,0,0,0,1,4,243
Société Bic,0,0,0,0,0,0,1,0,1,4,243
Smart,0,0,0,1,0,0,0,0,1,4,243
Social,0,0,0,0,1,0,0,0,1,4,243
Verizzia,0,0,0,0,0,1,0,0,1,4,243
Vida Baggio,0,0,0,0,1,0,0,0,1,4,243
Villa De Los Arroyos,0,0,0,0,1,0,0,0,1,4,243
Ala,0,0,0,0,0,1,0,0,1,4,243
Villa San Remo,0,0,0,0,1,0,0,0,1,4,243
Villamanaos,0,0,0,0,0,1,0,0,1,4,243
Agua De Las Misiones,0,0,0,0,1,0,0,0,1,4,243
Agua De La Costa,0,0,0,0,1,0,0,0,1,4,243
Wander,0,1,0,0,0,0,0,0,1,4,243
Agua Bes,0,0,0,0,1,0,0,0,1,4,243
Work,0,0,0,0,0,1,0,0,1,4,243
Adidas,0,0,0,1,0,0,0,0,1,4,243
Acivag,0,1,0,0,0,0,0,0,1,4,243
Yogurisimo,0,1,0,0,0,0,0,0,1,4,243
Zebron,0,1,0,0,0,0,0,0,1,4,243
Alba,0,1,0,0,0,0,0,0,1,4,243
Alka,0,0,0,0,0,1,0,0,1,4,243
Tsu,0,1,0,0,0,0,0,0,1,4,243
Terma,0,0,0,0,1,0,0,0,1,4,243
Noel,0,0,0,1,0,0,0,0,1,4,243
Solitas,0,0,0,0,0,1,0,0,1,4,243
Superlay,0,1,0,0,0,0,0,0,1,4,243
Susarelli,0,0,0,0,0,1,0,0,1,4,243
Avellaneda 390 Super,0,1,0,0,0,0,0,0,1,4,243
Tentacion,0,0,0,0,0,1,0,0,1,4,243
Termofren,0,1,0,0,0,0,0,0,1,4,243
Trio,0,0,0,0,0,1,0,0,1,4,243
Argos,0,0,0,0,0,1,0,0,1,4,243
Arcor Cofler,0,0,0,0,0,1,0,0,1,4,243
Todo Sandwich,0,0,0,0,0,1,0,0,1,4,243
Topper,0,0,0,1,0,0,0,0,1,4,243
Trani,0,0,0,0,1,0,0,0,1,4,243
Traviata,0,0,0,0,0,1,0,0,1,4,243
Oderich,0,0,0,1,0,0,0,0,1,4,243
Roux Ocefa,0,1,0,0,0,0,0,0,1,4,243
Oblita,0,0,0,0,0,1,0,0,1,4,243
Johnson & Johnson,0,1,0,0,0,0,0,0,1,4,243
Grido Tentación,0,0,0,0,0,1,0,0,1,4,243
Guaymallen,0,0,0,0,0,1,0,0,1,4,243
D2,0,1,0,0,0,0,0,0,1,4,243
Hellmanns,0,0,0,1,0,0,0,0,1,4,243
I-Run,0,0,0,1,0,0,0,0,1,4,243
Impulse,0,1,0,0,0,0,0,0,1,4,243
Jorgito,0,0,0,0,0,1,0,0,1,4,243
Daiwa,0,0,0,1,0,0,0,0,1,4,243
Kampito,0,0,0,0,0,1,0,0,1,4,243
Cunnington,0,0,0,0,1,0,0,0,1,4,243
La Canasta,0,0,0,0,0,1,0,0,1,4,243
La Serenísima,0,0,0,1,0,0,0,0,1,4,243
Cumbre Nevada,0,0,0,0,0,1,0,0,1,4,243
Lami – Polimundi,0,1,0,0,0,0,0,0,1,4,243
Dagatti,0,0,0,0,0,0,1,0,1,4,243
GlaxoSmithKline,0,1,0,0,0,0,0,0,1,4,243
Libus,0,0,0,0,0,1,0,0,1,4,243
Fantasio,0,0,0,0,0,1,0,0,1,4,243
Día,0,0,0,0,1,0,0,0,1,4,243
El Pocillo,0,1,0,0,0,0,0,0,1,4,243
Elf,0,1,0,0,0,0,0,0,1,4,243
Elite,0,0,0,0,0,1,0,0,1,4,243
Elvive,0,1,0,0,0,0,0,0,1,4,243
Emeplas Srl,0,0,0,0,0,1,0,0,1,4,243
De La Costa,0,0,0,0,1,0,0,0,1,4,243
Gallo,0,0,0,0,0,1,0,0,1,4,243
Fercola,0,0,0,0,1,0,0,0,1,4,243
Dar,0,1,0,0,0,0,0,0,1,4,243
Fresh Baggio,0,0,0,0,1,0,0,0,1,4,243
Fronton,0,0,1,0,0,0,0,0,1,4,243
Frontón,0,0,0,0,1,0,0,0,1,4,243
Nikito,0,0,0,0,0,1,0,0,1,4,243
Levité,0,0,0,0,1,0,0,0,1,4,243
Kolynos,0,0,0,1,0,0,0,0,1,4,243
Life + Quality,0,1,0,0,0,0,0,0,1,4,243
Cremar,0,1,0,0,0,0,0,0,1,4,243
Coto Cola,0,0,0,0,1,0,0,0,1,4,243
Lumilagro,0,0,0,0,0,1,0,0,1,4,243
Coto,0,1,0,0,0,0,0,0,1,4,243
Naranpol,0,0,0,0,1,0,0,0,1,4,243
Lubrax,0,1,0,0,0,0,0,0,1,4,243
Matarazzo,0,0,0,0,0,1,0,0,1,4,243
Mobil,0,1,0,0,0,0,0,0,1,4,243
Magistral,0,0,0,0,1,0,0,0,1,4,243
Compro,0,0,0,0,0,1,0,0,1,4,243
Minerva,0,0,0,0,1,0,0,0,1,4,243
Mc Cain,0,0,1,0,0,0,0,0,1,4,243
Nian,0,1,0,0,0,0,0,0,1,4,243
Miglobs,0,0,0,0,0,1,0,0,1,4,243
Menoyo,0,0,0,0,1,0,0,0,1,4,243
Meltra,0,0,0,0,0,0,0,1,1,4,243
Lime,0,0,1,0,0,0,0,0,1,4,243
Light,0,0,0,1,0,0,0,0,1,4,243
Macucas,0,0,0,0,0,1,0,0,1,4,243
fortex,0,0,0,0,0,0,0,0,0,4,243
elvive,0,0,0,0,0,0,0,0,0,4,243
turimar,0,0,0,0,0,0,0,0,0,4,243
tregar,0,0,0,0,0,0,0,0,0,4,243
h2o,0,0,0,0,0,0,0,0,0,4,243
don remigio,0,0,0,0,0,0,0,0,0,4,243
villa del sur,0,0,0,0,0,0,0,0,0,4,243
villa vincencio,0,0,0,0,0,0,0,0,0,4,243
vino toro,0,0,0,0,0,0,0,0,0,4,243
wella,0,0,0,0,0,0,0,0,0,4,243
doble cola,0,0,0,0,0,0,0,0,0,4,243
dea,0,0,0,0,0,0,0,0,0,4,243
danica,0,0,0,0,0,0,0,0,0,4,243
cyndor,0,0,0,0,0,0,0,0,0,4,243
cotar,0,0,0,0,0,0,0,0,0,4,243
gigante,0,0,0,0,0,0,0,0,0,4,243
taconni,0,0,0,0,0,0,0,0,0,4,243
hellmas,0,0,0,0,0,0,0,0,0,4,243
matarazo,0,0,0,0,0,0,0,0,0,4,243
oral B,0,0,0,0,0,0,0,0,0,4,243
nikito,0,0,0,0,0,0,0,0,0,4,243
poet,0,0,0,0,0,0,0,0,0,4,243
pritty,0,0,0,0,0,0,0,0,0,4,243
muelita,0,0,0,0,0,0,0,0,0,4,243
savora,0,0,0,0,0,0,0,0,0,4,243
mil hojas,0,0,0,0,0,0,0,0,0,4,243
cada dia,0,0,0,0,0,0,0,0,0,4,243
melburn,0,0,0,0,0,0,0,0,0,4,243
lia,0,0,0,0,0,0,0,0,0,4,243
jaimito,0,0,0,0,0,0,0,0,0,4,243
legitimo,0,0,0,0,0,0,0,0,0,4,243
la fazenda,0,0,0,0,0,0,0,0,0,4,243
secco,0,0,0,0,0,0,0,0,0,4,243
serenisima,0,0,0,0,0,0,0,0,0,4,243
la cumbre,0,0,0,0,0,0,0,0,0,4,243
stella artois,0,0,0,0,0,0,0,0,0,4,243
paladini,0,0,0,0,0,0,0,0,0,4,243
jhonson,0,0,0,0,0,0,0,0,0,4,243
terrabusi,0,0,0,0,0,0,0,0,0,4,243
cepita,0,0,0,0,0,0,0,0,0,4,243
ALKA,0,0,0,0,0,0,0,0,0,4,243
brama,0,0,0,0,0,0,0,0,0,4,243
LA CUMBRE,0,0,0,0,0,0,0,0,0,4,243
La serenisima,0,0,0,0,0,0,0,0,0,4,243
Bagley,0,0,0,0,0,0,0,0,0,4,243
Lia,0,0,0,0,0,0,0,0,0,4,243
SIERRA DE LOS ANDES,0,0,0,0,0,0,0,0,0,4,243
SCHNEIDER,0,0,0,0,0,0,0,0,0,4,243
Crowie,0,0,0,0,0,0,0,0,0,4,243
MALBORO,0,0,0,0,0,0,0,0,0,4,243
RENAULT,0,0,0,0,0,0,0,0,0,4,243
QUILMES,0,0,0,0,0,0,0,0,0,4,243
COLOSO,0,0,0,0,0,0,0,0,0,4,243
McDonald's Corporation,0,0,0,0,0,0,0,0,0,4,243
Mogul,0,0,0,0,0,0,0,0,0,4,243
Colgate-Palmolive,0,0,0,0,0,0,0,0,0,4,243
Parle,0,0,0,0,0,0,0,0,0,4,243
Cerealitas,0,0,0,0,0,0,0,0,0,4,243
PERVINOX,0,0,0,0,0,0,0,0,0,4,243
Neval,0,0,0,0,0,0,0,0,0,4,243
Sierra de los padres,0,0,0,0,0,0,0,0,0,4,243
Kimberly-Clark,0,0,0,0,0,0,0,0,0,4,243
blem,0,0,0,0,0,0,0,0,0,4,243
BC,0,0,0,0,0,0,0,0,0,4,243
baggio,0,0,0,0,0,0,0,0,0,4,243
arcor,0,0,0,0,0,0,0,0,0,4,243
amodil,0,0,0,0,0,0,0,0,0,4,243
Desconocida,0,0,0,0,0,0,0,0,0,4,243
Eco de los andes,0,0,0,0,0,0,0,0,0,4,243
Emery,0,0,0,0,0,0,0,0,0,4,243
Agua de las misiones,0,0,0,0,0,0,0,0,0,4,243
Felpita,0,0,0,0,0,0,0,0,0,4,243
Amodil,0,0,0,0,0,0,0,0,0,4,243
URSELLA,0,0,0,0,0,0,0,0,0,4,243
Twistos,0,0,0,0,0,0,0,0,0,4,243
GRANIX,0,0,0,0,0,0,0,0,0,4,243
Tremblay,0,0,0,0,0,0,0,0,0,4,243
Todo Dia,0,0,0,0,0,0,0,0,0,4,243
TRES LEONES,0,0,0,0,0,0,0,0,0,4,243
Sussex,0,0,0,0,0,0,0,0,0,4,243
Kaiser,0,0,0,0,0,0,0,0,0,4,243
GUAYMALLEN,0,0,0,0,0,0,0,0,0,4,243
