ParentCoFinal,EMPTY,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Delmonte,0,0,0,9,0,11,0,20,5,1560
Festive Bread,0,0,19,0,0,0,0,19,5,1560
Daima,0,18,0,0,0,0,0,18,5,1560
Nutra Milk,0,16,0,0,0,0,0,16,5,1560
Krest,0,0,0,0,16,0,0,16,5,1560
Keren,0,0,0,0,15,0,0,15,5,1560
Mount Kenya Milk,0,14,0,0,0,0,0,14,5,1560
Kcc Milk,0,14,0,0,0,0,0,14,5,1560
Unilever,0,4,0,8,0,0,0,12,5,1560
Lato Milk,0,0,0,12,0,0,0,12,5,1560
Awesome Yoghurt,0,12,0,0,0,0,0,12,5,1560
Guanco Dairy Products,0,11,0,0,0,0,0,11,5,1560
Rina,0,11,0,0,0,0,0,11,5,1560
Bouncy Baby Diapers,0,0,0,10,0,0,0,10,5,1560
Royal Fresh Yoghurt,0,10,0,0,0,0,0,10,5,1560
Caprice,0,10,0,0,0,0,0,10,5,1560
Aerial,0,0,0,9,0,0,0,9,5,1560
Colgate-Palmolive,0,0,0,0,0,9,0,9,5,1560
Delivery Envelopes,0,0,0,9,0,0,0,9,5,1560
Cuettie Baby Diapers,0,0,0,8,0,0,0,8,5,1560
Beiersdorf Global AG,0,7,0,0,0,0,0,7,5,1560
Kraft Heinz Company,0,7,0,0,0,0,0,7,5,1560
Softcare,0,0,0,7,0,0,0,7,5,1560
Snack Jacks,0,0,7,0,0,0,0,7,5,1560
P&G,0,0,0,6,0,0,0,6,5,1560
Msafi,0,0,0,6,0,0,0,6,5,1560
Yellow Paper Bags,0,0,6,0,0,0,0,6,5,1560
Chicken & Vegetable Biryani,0,0,6,0,0,0,0,6,5,1560
Polythene Bag,0,0,6,0,0,0,0,6,5,1560
Arimis,0,5,0,0,0,0,0,5,5,1560
Cussons Imperial Leather,0,5,0,0,0,0,0,5,5,1560
Lady Diana Baby Lotion,0,5,0,0,0,0,0,5,5,1560
Brava Energy Drink,0,5,0,0,0,0,0,5,5,1560
Kcc,0,0,0,4,0,0,0,4,5,1560
Aquamist,0,0,0,0,4,0,0,4,5,1560
Kcc Yogurt,0,0,0,0,0,4,0,4,5,1560
Beyond Fruits,0,4,0,0,0,0,0,4,5,1560
Java,0,0,0,0,0,4,0,4,5,1560
Cool Desire,0,0,0,0,4,0,0,4,5,1560
Kiss Kids,0,0,0,3,0,0,0,3,5,1560
Chipsy,0,0,0,0,0,3,0,3,5,1560
Mosquito Net,0,0,0,3,0,0,0,3,5,1560
Tamarillo,0,3,0,0,0,0,0,3,5,1560
Aquaclear,0,0,0,0,3,0,0,3,5,1560
Jelly Crystals,0,3,0,0,0,0,0,3,5,1560
Tusker,0,0,0,0,3,0,0,3,5,1560
Bio Fresh Milk,0,3,0,0,0,0,0,3,5,1560
Safari King,0,0,0,0,2,0,0,2,5,1560
Molfix,0,0,0,2,0,0,0,2,5,1560
Sanitary Napkins,0,0,0,2,0,0,0,2,5,1560
Forest,0,2,0,0,0,0,0,2,5,1560
PepsiCo,0,2,0,0,0,0,0,2,5,1560
Royco Mchuzi Mix,0,2,0,0,0,0,0,2,5,1560
Coco Butter,0,2,0,0,0,0,0,2,5,1560
KFC,0,0,0,0,0,2,0,2,5,1560
Mala,0,0,0,0,2,0,0,2,5,1560
Brown'S,0,0,0,0,0,0,1,1,5,1560
Robinsons,0,1,0,0,0,0,0,1,5,1560
Lyons Maid,0,0,0,0,0,1,0,1,5,1560
Sportsman cigarret,0,0,0,0,0,0,0,0,5,1560
Spartsman Cigarette,0,0,0,0,0,0,0,0,5,1560
Salama ice,0,0,0,0,0,0,0,0,5,1560
Salama Ice,0,0,0,0,0,0,0,0,5,1560
PK,0,0,0,0,0,0,0,0,5,1560
P.K,0,0,0,0,0,0,0,0,5,1560
Bakhresa Group,0,0,0,0,0,0,0,0,5,1560
Ahlan Ice,0,0,0,0,0,0,0,0,5,1560
Afia,0,0,0,0,0,0,0,0,5,1560
Bamba Water,0,0,0,0,0,0,0,0,5,1560
Bamba water,0,0,0,0,0,0,0,0,5,1560
"Mars, Incorporated",0,0,0,0,0,0,0,0,5,1560
