ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,Grand Total,number of events,number of volunteers
Flint (Тов Фактор),0,0,12,0,0,0,12,7,114
"Оболонь Пиво ""Своя Лінія""",0,0,0,11,0,0,11,7,114
Простоквашино,0,0,6,4,1,0,11,7,114
"Глоду Настойка, Виробник Фітофарм",0,0,10,0,0,0,10,7,114
Арсенал,0,0,0,10,0,0,10,7,114
Somersby,0,0,6,4,0,0,10,7,114
"Тм Хортиця, Виробник Удк",0,0,10,0,0,0,10,7,114
Світоч,0,0,10,0,0,0,10,7,114
Fanatic (Тов Фанатік),0,0,10,0,0,0,10,7,114
Fanatic,0,0,10,0,0,0,10,7,114
Real Fish,0,0,10,0,0,0,10,7,114
"Миргородська, Ids",0,0,0,10,0,0,10,7,114
Тм Яготинське,0,0,8,1,1,0,10,7,114
Morshynska,0,0,0,10,0,0,10,7,114
Urban Coffee,0,0,9,0,0,0,9,7,114
Сир Тофу (Агропрот Тов),0,0,9,0,0,0,9,7,114
Своя Лінія,0,0,9,0,0,0,9,7,114
7 Days,0,0,9,0,0,0,9,7,114
Компания «Київський Бкк»,0,0,8,0,0,0,8,7,114
Садочок,0,0,8,0,0,0,8,7,114
Tuc (Mondelez),0,0,8,0,0,0,8,7,114
Нестле,0,8,0,0,0,0,8,7,114
Top Series (Пп Пріора),0,0,8,0,0,0,8,7,114
Авк,0,0,0,0,8,0,8,7,114
Козацька Слава,0,0,8,0,0,0,8,7,114
Велмарт,0,0,8,0,0,0,8,7,114
Прима,0,0,8,0,0,0,8,7,114
Перша Пивна Броварня (Сан Інбев Україна),0,0,2,6,0,0,8,7,114
Тов Формакс,0,0,8,0,0,0,8,7,114
Хрусteam,0,0,8,0,0,0,8,7,114
"Тов ""Перший Столичний Хлібзавод""",0,0,8,0,0,0,8,7,114
Romashka Roshen,0,0,7,0,0,0,7,7,114
Галичина,0,0,5,2,0,0,7,7,114
Rocket Espresso,0,0,7,0,0,0,7,7,114
Прилуки,0,0,7,0,0,0,7,7,114
Jacobs,0,0,7,0,0,0,7,7,114
"Сompany ""August Storck Kg""",0,0,7,0,0,0,7,7,114
Bond,0,0,7,0,0,0,7,7,114
Good Food Company,0,0,7,0,0,0,7,7,114
Олком,0,0,7,0,0,0,7,7,114
Marvel,0,0,7,0,0,0,7,7,114
Blanc 1664,0,0,7,0,0,0,7,7,114
Фора,0,6,0,0,0,0,6,7,114
Лакомка,0,0,6,0,0,0,6,7,114
Перша Приватна Броварня,0,0,0,6,0,0,6,7,114
Пп Свинцов,0,0,6,0,0,0,6,7,114
Чумак,0,0,6,0,0,0,6,7,114
Премія,0,0,6,0,0,0,6,7,114
Оболонська Мінеральна Вода,0,0,0,6,0,0,6,7,114
"Тов ""Атб-Маркет""",0,0,6,0,0,0,6,7,114
Ls,0,0,6,0,0,0,6,7,114
"Карпатська Джерельна, Тов «Карпатські Мінеральні Води»",0,0,0,6,0,0,6,7,114
Fuzetea,0,0,0,6,0,0,6,7,114
P&S,0,0,6,0,0,0,6,7,114
Staropramen,0,0,4,2,0,0,6,7,114
Vanilla Dream,0,0,6,0,0,0,6,7,114
Novus,0,0,6,0,0,0,6,7,114
"Mars, Incorporated",0,0,6,0,0,0,6,7,114
Львівське 1715,0,0,5,1,0,0,6,7,114
"Big Bob, Тов ""Снек Продакшн""",0,0,5,0,0,0,5,7,114
P&G,0,0,5,0,0,0,5,7,114
"O, Organic Milk",0,0,0,5,0,0,5,7,114
Black Honey,0,0,5,0,0,0,5,7,114
Ideal Nemoloko,0,0,5,0,0,0,5,7,114
"Тм Мороша, Виробник Удк",0,0,5,0,0,0,5,7,114
Baltica,0,0,5,0,0,0,5,7,114
"Молокія - ""Тернопільський Молокозавод""",0,0,5,0,0,0,5,7,114
Tena,0,0,5,0,0,0,5,7,114
Львівське (Карлсберг),0,0,5,0,0,0,5,7,114
"Тм Первак, Виробник Удк",0,0,5,0,0,0,5,7,114
Artek,0,0,5,0,0,0,5,7,114
"Тов ""Клуб Сиру""",0,0,4,0,0,0,4,7,114
Megamix,0,0,4,0,0,0,4,7,114
Street Ads,0,0,4,0,0,0,4,7,114
Oriflame,0,0,4,0,0,0,4,7,114
Staropramen (Сан Інбев Україна),0,0,1,3,0,0,4,7,114
Okko,0,0,4,0,0,0,4,7,114
Dr Pepper Snapple Group,0,0,0,4,0,0,4,7,114
Bud Пиво (Сан Інбев Україна),0,0,4,0,0,0,4,7,114
"Тм Шустов, Виробник Одеський Коньячний Завод",0,0,4,0,0,0,4,7,114
Хрусteam (Sandora),0,0,4,0,0,0,4,7,114
Pringles(Kellog Europe Trading Limited),0,0,4,0,0,0,4,7,114
Загора,0,0,4,0,0,0,4,7,114
"Тм Миронівська, Виробник Лікеро-Горілчаний Завод Прайм",0,0,4,0,0,0,4,7,114
"Lactel - ""Дольче""",0,0,4,0,0,0,4,7,114
Світле Оболонь,0,0,1,3,0,0,4,7,114
Glusco,0,0,4,0,0,0,4,7,114
Старий Мельник,0,0,4,0,0,0,4,7,114
Старий Мельник (Сан Інбев Україна),0,0,4,0,0,0,4,7,114
Закарпатське Пиво,0,0,0,4,0,0,4,7,114
Закарпатське Пиво (Сан Інбев Україна),0,0,0,4,0,0,4,7,114
Wog,0,0,4,0,0,0,4,7,114
Київ,0,0,4,0,0,0,4,7,114
Konti,0,0,4,0,0,0,4,7,114
Оболонь Пиво Світле,0,0,4,0,0,0,4,7,114
La Café,0,0,4,0,0,0,4,7,114
Преміум Екстра Брю Оболонь,0,0,0,4,0,0,4,7,114
Kronenburg,0,0,4,0,0,0,4,7,114
Bounty (Mars),0,0,4,0,0,0,4,7,114
"Пиво ""Корона""",0,0,4,0,0,0,4,7,114
Maketti,0,0,4,0,0,0,4,7,114
"Фоп ""Попше Н.В""",0,0,4,0,0,0,4,7,114
Snickers (Mars),0,0,4,0,0,0,4,7,114
Bud Пиво,0,0,4,0,0,0,4,7,114
"Тов Акама (""Своя Лінія"")",0,0,4,0,0,0,4,7,114
Балтика,0,1,2,1,0,0,4,7,114
"Пиво ""Корона"" (Сан Інбев Україна)",0,0,4,0,0,0,4,7,114
Кока Кола,0,0,0,4,0,0,4,7,114
Zoriane Siayvo,0,0,4,0,0,0,4,7,114
"Тов ""Фірма ""Фавор"" (Тм ""Ама"")",0,0,3,0,0,0,3,7,114
Salalat,0,0,3,0,0,0,3,7,114
Казкове Молоко Молокія,0,0,3,0,0,0,3,7,114
Société Bic,0,0,3,0,0,0,3,7,114
Кулиничі,0,3,0,0,0,0,3,7,114
"Semki, Ipg Crisps Production",0,0,3,0,0,0,3,7,114
RBC Group,0,0,1,2,0,0,3,7,114
Закарпатське,0,0,1,2,0,0,3,7,114
Sausage,0,0,3,0,0,0,3,7,114
Vegetus Соус,0,0,3,0,0,0,3,7,114
"Тм Nemiroff, Виробник Лвн Лимитед",0,0,3,0,0,0,3,7,114
Тм Золотий Резерв,0,0,3,0,0,0,3,7,114
Toffi,0,0,3,0,0,0,3,7,114
Щедро,0,0,3,0,0,0,3,7,114
Ашан,0,0,2,0,0,1,3,7,114
Ferrero Group,0,0,3,0,0,0,3,7,114
Kredens Café,0,0,3,0,0,0,3,7,114
"Тм ""Ама""",0,2,1,0,0,0,3,7,114
Природне Джерело,0,0,3,0,0,0,3,7,114
Рогань,0,0,0,3,0,0,3,7,114
Рогань (Сан Інбев Україна),0,0,0,3,0,0,3,7,114
Ямуна,0,0,3,0,0,0,3,7,114
Терра Фуд (Тмзолотий Резерв),0,0,3,0,0,0,3,7,114
Ice Beer,0,0,3,0,0,0,3,7,114
Санта Бремор,0,0,3,0,0,0,3,7,114
"Heineken, Виробник Родомишленик",0,0,3,0,0,0,3,7,114
"Слов'Яночка - ""Вімм - Білль - Данн""",0,0,1,2,0,0,3,7,114
Luglio,0,0,3,0,0,0,3,7,114
Morshinska,0,0,0,3,0,0,3,7,114
1715,0,0,3,0,0,0,3,7,114
Макдональдз,0,0,3,0,0,0,3,7,114
Марс,0,3,0,0,0,0,3,7,114
Миргородська,0,0,3,0,0,0,3,7,114
Teva,0,0,3,0,0,0,3,7,114
Агуша,0,0,3,0,0,0,3,7,114
Stella Artois,0,0,3,0,0,0,3,7,114
Пенное Пиво Оболонь,0,0,0,3,0,0,3,7,114
Білий Медвідь Абинбев,0,0,0,2,0,0,2,7,114
Хлібні Технології,0,0,2,0,0,0,2,7,114
"Грінки ""Хліб Трейд""",0,0,2,0,0,0,2,7,114
"Барні, Mondelēz International",0,0,2,0,0,0,2,7,114
Янтар (Сан Інбев Україна),0,0,2,0,0,0,2,7,114
Янтар,0,0,2,0,0,0,2,7,114
Флінт,0,0,2,0,0,0,2,7,114
Екомаркет,0,0,2,0,0,0,2,7,114
Хомка,0,0,2,0,0,0,2,7,114
Yves Rocher,0,0,2,0,0,0,2,7,114
Zara,0,0,2,0,0,0,2,7,114
Актімель,0,0,0,0,2,0,2,7,114
"Вода Розумний Вибір, Obolon Corp.",0,0,0,2,0,0,2,7,114
Zibert,0,0,2,0,0,0,2,7,114
Вода Народна Бердичів,0,0,0,2,0,0,2,7,114
Фоп Тарасинська,0,0,2,0,0,0,2,7,114
Їжнаше,0,0,2,0,0,0,2,7,114
Фрекен Бок (Тов Кпд),0,0,2,0,0,0,2,7,114
Сир Auchan,0,0,2,0,0,0,2,7,114
Живчик (Оболонь),0,0,2,0,0,0,2,7,114
"Тм Десна, Виробник Одеський Коньячний Завод",0,0,2,0,0,0,2,7,114
"Тм Явора, Виробник «Національної Горілчаної Компанії»",0,0,2,0,0,0,2,7,114
"Тм Четвертинка Душевна, Вироьник Златогор",0,0,2,0,0,0,2,7,114
Мрія,0,0,2,0,0,0,2,7,114
Мій Магазин,1,0,1,0,0,0,2,7,114
"Тм Перша Гільдія, Виробник Горільчана",0,0,2,0,0,0,2,7,114
Мінське Жигулівське,0,0,0,2,0,0,2,7,114
Невідомо Оболонь,0,0,0,2,0,0,2,7,114
Нова Пошта,0,1,1,0,0,0,2,7,114
"Тм Козацька Рада, Виробник «Національної Горілчаної Компанії»",0,0,2,0,0,0,2,7,114
Пиво Krušovice (Heineken),0,0,2,0,0,0,2,7,114
Три Ведмеді,0,0,2,0,0,0,2,7,114
"Тм Біленька, Виробник Прайм",0,0,2,0,0,0,2,7,114
Посуд Делюкс,0,1,1,0,0,0,2,7,114
"Тм ""Їжнаше"" (Кондитерская Фабрика ""Укркорн"")",0,0,2,0,0,0,2,7,114
Простоквашино(Danone),0,0,2,0,0,0,2,7,114
Розпилювач Нвп Артхім,0,0,0,2,0,0,2,7,114
Росинка,0,0,2,0,0,0,2,7,114
Терра,0,0,2,0,0,0,2,7,114
Сільпо,0,2,0,0,0,0,2,7,114
Султан (Фоп Мусаєв),0,0,2,0,0,0,2,7,114
"Тов ""Айфуд""",0,0,2,0,0,0,2,7,114
Море Пива,0,0,2,0,0,0,2,7,114
"Тов ""Богуславський Завод Продтоварів""",0,0,2,0,0,0,2,7,114
Молоко Сгущене(Первомайск),0,0,2,0,0,0,2,7,114
Каберне Агродар,0,0,2,0,0,0,2,7,114
Кефір Яготинський,0,0,2,0,0,0,2,7,114
Тов Натурс,0,0,2,0,0,0,2,7,114
Тов Експансія,0,0,2,0,0,0,2,7,114
Тов Айсбергфіш,0,0,2,0,0,0,2,7,114
Котовський Винзавод,0,0,2,0,0,0,2,7,114
Круїз,0,0,2,0,0,0,2,7,114
Круїзпродукт,0,0,2,0,0,0,2,7,114
Кінотеатр Butterfly,0,0,2,0,0,0,2,7,114
Ласунка,0,0,2,0,0,0,2,7,114
Львівська Горілка,0,0,2,0,0,0,2,7,114
Львівське Експортове,0,0,2,0,0,0,2,7,114
"Люкс, Mondelēz International",0,0,2,0,0,0,2,7,114
Люксоптика,1,0,1,0,0,0,2,7,114
"Селянське - ""Люстдорф""",0,0,2,0,0,0,2,7,114
"Тов ""Куп'Янський Хлібокомбінат""",0,0,2,0,0,0,2,7,114
"Маренго, Виробник Коблево",0,0,2,0,0,0,2,7,114
Мегамаркет,0,0,2,0,0,0,2,7,114
"Тов ""Київський Пекарський Дім""",0,0,2,0,0,0,2,7,114
Лідер Смаку,0,0,2,0,0,0,2,7,114
"""Мелочи Жизни"" (Ооо Ергопак)",0,0,2,0,0,0,2,7,114
Lolita,0,0,2,0,0,0,2,7,114
Open,0,0,2,0,0,0,2,7,114
Merci,0,0,2,0,0,0,2,7,114
Metro,0,0,2,0,0,0,2,7,114
Snikers,0,0,0,0,2,0,2,7,114
Mimiso,0,0,2,0,0,0,2,7,114
Mlekovita,0,0,2,0,0,0,2,7,114
Grainoff,0,0,2,0,0,0,2,7,114
Smile (Тов Кпд),0,0,2,0,0,0,2,7,114
Nash Sik,0,0,2,0,0,0,2,7,114
Buvette,0,0,2,0,0,0,2,7,114
Ner Aroma,0,0,2,0,0,0,2,7,114
Gladiator,0,0,0,2,0,0,2,7,114
Compliment,0,0,2,0,0,0,2,7,114
Malbe Foods,0,0,2,0,0,0,2,7,114
Seni (Тов Белла-Трейд),0,0,2,0,0,0,2,7,114
Danone,0,0,0,0,2,0,2,7,114
Picnin,0,0,2,0,0,0,2,7,114
Salateira,0,0,2,0,0,0,2,7,114
Pizza Box,0,0,2,0,0,0,2,7,114
Sadochok,0,0,2,0,0,0,2,7,114
Roshette,0,0,2,0,0,0,2,7,114
Eltoro,0,0,2,0,0,0,2,7,114
"Fantasy (Тов ""Чиста Планета"")",0,0,2,0,0,0,2,7,114
Revlon,0,0,2,0,0,0,2,7,114
Puma,0,0,2,0,0,0,2,7,114
Big Bob,0,0,2,0,0,0,2,7,114
Green Day,0,0,2,0,0,0,2,7,114
Figaro,0,0,2,0,0,0,2,7,114
Jaffa Vital(Vitmark),0,0,2,0,0,0,2,7,114
The Nigerian Bottling Company Limited (NBC) ,0,0,2,0,0,0,2,7,114
Arsenal,0,0,0,2,0,0,2,7,114
A.S. Watson Group,1,0,1,0,0,0,2,7,114
Lotte Corporation (E.Wedel),0,0,2,0,0,0,2,7,114
Avk,0,0,2,0,0,0,2,7,114
Kyiv,0,0,2,0,0,0,2,7,114
"Tekinler, Pirlanta Bakliyat",0,0,1,0,1,0,2,7,114
Fransua,0,0,1,0,0,0,1,7,114
"Пірат, Тм ""Pirate""",0,0,1,0,0,0,1,7,114
Kebab Chef,0,0,1,0,0,0,1,7,114
Старокиївський Квас Оболонь,0,0,0,1,0,0,1,7,114
Georgian Bread,0,0,1,0,0,0,1,7,114
"Тзов ""Галіція-Трейд"" (Тм Galicia)",0,0,1,0,0,0,1,7,114
Khrustyk,0,0,1,0,0,0,1,7,114
"Регіна, Ат ""Мурованокуриловецький Завод Мiнеральної Води ""Регiна""",0,0,0,1,0,0,1,7,114
Сємкі Снек Експорт,0,0,1,0,0,0,1,7,114
Kitto,0,0,1,0,0,0,1,7,114
Растишка,0,0,0,0,1,0,1,7,114
Прінглс,0,0,1,0,0,0,1,7,114
Funny,0,0,1,0,0,0,1,7,114
Gemini,0,0,1,0,0,0,1,7,114
Сіітро Оболонь,0,0,0,1,0,0,1,7,114
"Таврія, Виробник Таврія",0,0,1,0,0,0,1,7,114
"Тетерів, Тзов Твк ""Перша Приватна Броварня ""Для Людей - Як Для Себе!""",0,0,0,1,0,0,1,7,114
Тетерів Пиво,0,0,1,0,0,0,1,7,114
Тархун Повна Чаша,0,0,0,1,0,0,1,7,114
"Пшенична, Виробник Олександрія Преміум",0,0,1,0,0,0,1,7,114
"Пшеничка, Виробник Концерн «Биг-М»",0,0,1,0,0,0,1,7,114
Galicia (Галіція-Трейд),0,0,1,0,0,0,1,7,114
Тархун Бон Буусон,0,0,0,1,0,0,1,7,114
Hlobyno,0,0,1,0,0,0,1,7,114
Glamour,0,0,1,0,0,0,1,7,114
Hit,0,0,1,0,0,0,1,7,114
"Санріно, Виробник Пивоварня Зіберта",0,0,1,0,0,0,1,7,114
Ice Mix Славутич,0,0,1,0,0,0,1,7,114
Рута Пат Вгп,0,0,1,0,0,0,1,7,114
Hi,0,0,1,0,0,0,1,7,114
Hematohen,0,0,1,0,0,0,1,7,114
Рудь Морозиво,0,0,1,0,0,0,1,7,114
Isla,0,0,1,0,0,0,1,7,114
Своя Лінія Rolpot,0,0,0,0,1,0,1,7,114
"Росинка Прат ""Кзбн Росинка""",0,0,0,1,0,0,1,7,114
Haviskon,0,0,1,0,0,0,1,7,114
Handy,0,0,1,0,0,0,1,7,114
"Green Day, Виробник Винарь",0,0,1,0,0,0,1,7,114
"Fragoling, Виробник Вин Агро",0,0,1,0,0,0,1,7,114
Jelade,0,0,1,0,0,0,1,7,114
"Слобідська, Повна Чаша, Fozzy Group",0,0,0,1,0,0,1,7,114
Ром Кола Оболонь,0,0,1,0,0,0,1,7,114
Goodfruit Своя Лінія,0,0,0,1,0,0,1,7,114
Johnson & Johnson (Mcneil Sweden Ab),0,0,1,0,0,0,1,7,114
"Совецьке Шампанське, Виробник Столичний Київський Завод",0,0,1,0,0,0,1,7,114
Karolina,0,0,1,0,0,0,1,7,114
Сок Літо Ерлан,0,0,0,1,0,0,1,7,114
Сосиски Фоп Стехнович,0,0,1,0,0,0,1,7,114
Софія Київська,0,0,1,0,0,0,1,7,114
"Сп ""Белор-Дизайн"" Рб",0,0,1,0,0,0,1,7,114
"Старий Кахети, Виробник Кахецьке Традиційне Виноробство",0,0,1,0,0,0,1,7,114
"Старий Крим, Виробник Дмк Таврія",0,0,1,0,0,0,1,7,114
Estro,0,0,1,0,0,0,1,7,114
Тм Galicia,0,0,1,0,0,0,1,7,114
Bergampt,0,0,1,0,0,0,1,7,114
Avon Products Inc.,0,0,1,0,0,0,1,7,114
Axa,0,0,1,0,0,0,1,7,114
Фіртекс,0,0,1,0,0,0,1,7,114
Azerbajdzhan Lubystok,0,0,1,0,0,0,1,7,114
Фост Медікал Фертріб Гмбх,0,0,1,0,0,0,1,7,114
"Belor Design (Сп ""Белор-Дизайн"" Рб)",0,0,1,0,0,0,1,7,114
Фоп Азарний,0,0,1,0,0,0,1,7,114
Три Корочки Брідж Таун Фудс Україна,0,0,1,0,0,0,1,7,114
Biola,0,0,1,0,0,0,1,7,114
"Ферма - ""Мілк Лайн""",0,0,0,0,1,0,1,7,114
Фереро,0,0,1,0,0,0,1,7,114
"Улюблена, Виробник Прайм",0,0,1,0,0,0,1,7,114
Улюблена Горілка,0,0,1,0,0,0,1,7,114
Український Папір Zeffir,0,0,1,0,0,0,1,7,114
Avon Planet Spa,0,0,1,0,0,0,1,7,114
Avk Truffel,0,0,1,0,0,0,1,7,114
Asterium (Габана),0,0,1,0,0,0,1,7,114
"Хрін Вінницький, Виробник Вінницька Харчо-Смакова Фабрика",0,0,1,0,0,0,1,7,114
"Хіт Вода Дистильована, Тов Аква",0,0,0,1,0,0,1,7,114
"Aqua Life, Ids",0,0,0,1,0,0,1,7,114
"Amstel Berg, Виробник Родомишленик",0,0,1,0,0,0,1,7,114
Чиста Лінія,0,0,1,0,0,0,1,7,114
Чиста Планета,0,0,1,0,0,0,1,7,114
Alfred Ritter GmbH&Co,0,0,1,0,0,0,1,7,114
"Чумак, Виробник Херсьнський Завод",0,0,1,0,0,0,1,7,114
"Alexx Коньяк, Виробник Дім Марочних Коньяків Таврія",0,0,1,0,0,0,1,7,114
Яготинське Молоко,0,0,1,0,0,0,1,7,114
"5 Капель, Виробник Лік",0,0,1,0,0,0,1,7,114
3 Bears,0,0,1,0,0,0,1,7,114
23|7,0,0,1,0,0,0,1,7,114
Янтарь,0,0,1,0,0,0,1,7,114
"Трускавецька, Тов ""Аква Еко""",0,0,0,1,0,0,1,7,114
"Biorganic - ""The Bridge Srl""",0,0,1,0,0,0,1,7,114
Тм Kinder Surprise,0,0,1,0,0,0,1,7,114
"Don Limo, Eko Сфера",0,0,0,1,0,0,1,7,114
Crema Caffee,0,0,1,0,0,0,1,7,114
"Тм Хлібна, Виробник «Національної Горілчаної Компанії»",0,0,1,0,0,0,1,7,114
"Тм Руна, Виробник Сантабремор",0,0,1,0,0,0,1,7,114
Dark Matter,0,0,1,0,0,0,1,7,114
"Тм Перепілка, Виробник «Національної Горілчаної Компанії»",0,0,1,0,0,0,1,7,114
Dirol,0,0,1,0,0,0,1,7,114
Ecosphere,0,0,1,0,0,0,1,7,114
"Blagoff, Виробник Імідж Холдінг",0,0,1,0,0,0,1,7,114
Тм Мак-Дак,0,0,1,0,0,0,1,7,114
"Природне Джерело, Нові Продукти",0,0,0,1,0,0,1,7,114
"Тм Златогор, Виробник Златогор",0,0,1,0,0,0,1,7,114
Evitest,0,0,1,0,0,0,1,7,114
"Тм Shabo, Виробник Миколаївський Коньячний Завод",0,0,1,0,0,0,1,7,114
Farm,0,0,1,0,0,0,1,7,114
Cool Lager Оболонь,0,0,1,0,0,0,1,7,114
Colgate-Palmolive,0,0,1,0,0,0,1,7,114
"Club Vodka, Виробник Концерн «Биг-М»",0,0,1,0,0,0,1,7,114
Chipcoa,0,0,1,0,0,0,1,7,114
Chio Itern Snec Poland,0,0,1,0,0,0,1,7,114
Chernihivske,0,0,0,1,0,0,1,7,114
"Cartaval, Виробник Коблево",0,0,1,0,0,0,1,7,114
Captain Black,0,0,1,0,0,0,1,7,114
"Тов ""Круїз-Продукт""",0,0,1,0,0,0,1,7,114
Candy Nuts,0,0,1,0,0,0,1,7,114
"Buvette Сильногазована, Ізумруд",0,0,0,1,0,0,1,7,114
Burn,0,0,1,0,0,0,1,7,114
Bronchoreda,0,0,1,0,0,0,1,7,114
Bounty Mars Украина,0,0,1,0,0,0,1,7,114
Borjomi,0,0,1,0,0,0,1,7,114
Тов Кпд Biosphere Smile,0,0,1,0,0,0,1,7,114
Blyzenko Chornoslyv,0,0,1,0,0,0,1,7,114
Klo,0,0,1,0,0,0,1,7,114
Winchester,0,0,1,0,0,0,1,7,114
Knyharnia Ye,0,0,1,0,0,0,1,7,114
"Волошкове Поле - ""Юрія""",0,0,1,0,0,0,1,7,114
Skviryanka,0,0,1,0,0,0,1,7,114
Грона,0,0,1,0,0,0,1,7,114
Горілка Слава,0,0,1,0,0,0,1,7,114
"Горошок З Бабушкиной Грядки, Виробник Еріка",0,0,1,0,0,0,1,7,114
Smile,0,0,1,0,0,0,1,7,114
"Галіція, Виробник Галіція Трейд",0,0,1,0,0,0,1,7,114
Snack Drive,0,0,1,0,0,0,1,7,114
Kotovsky Wine Producer,0,0,1,0,0,0,1,7,114
Sneking,0,0,1,0,0,0,1,7,114
Snekkin Кріпс Продакш,0,0,1,0,0,0,1,7,114
Вегетус,0,0,1,0,0,0,1,7,114
Біола Орлан,0,0,0,1,0,0,1,7,114
Біола,0,0,1,0,0,0,1,7,114
Snickers Mars Украина,0,0,1,0,0,0,1,7,114
Гюнер Оболонь,0,0,0,1,0,0,1,7,114
Дживальдіс,0,0,1,0,0,0,1,7,114
Sirab,0,0,0,1,0,0,1,7,114
Екоснек,0,0,1,0,0,0,1,7,114
"Експрес Провідниця, Виробник Укр Спирт",0,0,1,0,0,0,1,7,114
Живинка,0,0,0,0,1,0,1,7,114
Silpo,0,0,1,0,0,0,1,7,114
Живчик Оболонь,0,0,0,1,0,0,1,7,114
Жигулівське Оболонь,0,0,0,1,0,0,1,7,114
"Житник, Виробник Перший Український Горілчаний Стандарт",0,0,1,0,0,0,1,7,114
Shoko,0,0,1,0,0,0,1,7,114
Sdv,0,0,1,0,0,0,1,7,114
Savushky,0,0,0,1,0,0,1,7,114
"Закарпатський, Виробник Ужгородський Коньячний Завод",0,0,1,0,0,0,1,7,114
"Кагор, Виробник Нмвп Нива",0,0,1,0,0,0,1,7,114
Карлсберг,0,0,0,1,0,0,1,7,114
Rud,0,0,1,0,0,0,1,7,114
Бюндюель,0,0,1,0,0,0,1,7,114
Socar,0,0,1,0,0,0,1,7,114
"Болград Вино, Виробник Прат Харчовик",0,0,1,0,0,0,1,7,114
Tea House,0,0,1,0,0,0,1,7,114
Truskavetska,0,0,0,1,0,0,1,7,114
Transcarpathian Beer,0,0,0,1,0,0,1,7,114
Zbanok,0,0,1,0,0,0,1,7,114
Zhyvchyk,0,0,0,1,0,0,1,7,114
Zhyvynka,0,0,1,0,0,0,1,7,114
Tradition,0,0,1,0,0,0,1,7,114
Torchyn,0,0,1,0,0,0,1,7,114
Zubrowka,0,0,0,1,0,0,1,7,114
Ілан Фарм,0,0,1,0,0,0,1,7,114
Tictac,0,0,1,0,0,0,1,7,114
The Hershey Company,0,0,1,0,0,0,1,7,114
Айран Новел,0,0,0,1,0,0,1,7,114
Акама Своя Ліня,0,0,1,0,0,0,1,7,114
