ParentCoFinal,O,PET,Grand Total,number of events,number of volunteers
Taiping,1,0,1,48,1439
Sy,1,0,1,48,1439
Shuang Long Chu Hai,1,0,1,48,1439
Bai Wei Cai,1,0,1,48,1439
Shun Ronh,1,0,1,48,1439
Sunday,1,0,1,48,1439
Sitir,1,0,1,48,1439
Sun Shi,1,0,1,48,1439
Suiyi,0,1,1,48,1439
Su Cigarette,1,0,1,48,1439
Tango,1,0,1,48,1439
Conba,1,0,1,48,1439
Bada,1,0,1,48,1439
Si Hai,1,0,1,48,1439
Soumilk,1,0,1,48,1439
Exfresh,1,0,1,48,1439
Exian,1,0,1,48,1439
Essential Oil,1,0,1,48,1439
Ati,1,0,1,48,1439
Tao Tao Jin,1,0,1,48,1439
Shp,1,0,1,48,1439
Walnut Crumble,1,0,1,48,1439
Vs,1,0,1,48,1439
Angel,1,0,1,48,1439
Duo Yunsi,1,0,1,48,1439
Duoxian,1,0,1,48,1439
Vcc,1,0,1,48,1439
Unilever,1,0,1,48,1439
Anka Huangmin Capsule,1,0,1,48,1439
Answer Sheet,1,0,1,48,1439
Ao Lin,1,0,1,48,1439
Transfar,1,0,1,48,1439
Tramy,1,0,1,48,1439
Tongrentang,1,0,1,48,1439
Tong Ji,1,0,1,48,1439
Aoxue,1,0,1,48,1439
Tizinai,0,1,1,48,1439
Apple Vinegar,1,0,1,48,1439
Tianyuanshengwu,1,0,1,48,1439
Tiantianle,1,0,1,48,1439
E Huanqu,1,0,1,48,1439
Tian Cao,1,0,1,48,1439
Arctic Ocean,0,1,1,48,1439
E-Shine,0,1,1,48,1439
Shtaishang,1,0,1,48,1439
Han Ma Ke,1,0,1,48,1439
Shisheng,1,0,1,48,1439
Baobeitu,1,0,1,48,1439
Regao,1,0,1,48,1439
Reecen,1,0,1,48,1439
Baiyi Drink,0,1,1,48,1439
Bao Feng,1,0,1,48,1439
Red Core,1,0,1,48,1439
Feng Huang,1,0,1,48,1439
Quanzhixiang,1,0,1,48,1439
Quanyangquan,0,1,1,48,1439
Qiulin Gewasi,0,1,1,48,1439
Qishuang Group,1,0,1,48,1439
Qinyiqinwei,1,0,1,48,1439
Qingshi,1,0,1,48,1439
Clear,1,0,1,48,1439
Qingmei Food,1,0,1,48,1439
Qing Xinquan,0,1,1,48,1439
Qing Nao,1,0,1,48,1439
Qing Feng,1,0,1,48,1439
Qin You,1,0,1,48,1439
Fishball,1,0,1,48,1439
Qiancengshui,1,0,1,48,1439
Qian Fu,1,0,1,48,1439
Qiacengdousha,1,0,1,48,1439
Qi Hui,1,0,1,48,1439
Qi Fei,1,0,1,48,1439
Ren Chu You,1,0,1,48,1439
Ri Quan,1,0,1,48,1439
Shijiuguai,1,0,1,48,1439
Sf-Express,1,0,1,48,1439
Wanglaoji,1,0,1,48,1439
Shgodly,1,0,1,48,1439
Bailiwamg,1,0,1,48,1439
Shengya,1,0,1,48,1439
Shengte,1,0,1,48,1439
Sheng Mu,1,0,1,48,1439
Shen Hui,1,0,1,48,1439
Shen Dacheng,1,0,1,48,1439
Extra,0,1,1,48,1439
Fang Cao,1,0,1,48,1439
Shan Shi,0,1,1,48,1439
Baiweicun,1,0,1,48,1439
Rio,1,0,1,48,1439
Fanglue Group,1,0,1,48,1439
Sanquan Food,1,0,1,48,1439
Cnorona Extra,1,0,1,48,1439
San Niu,1,0,1,48,1439
Sam,0,1,1,48,1439
Sai Yuan,1,0,1,48,1439
Baiweilin,1,0,1,48,1439
SEPTWOLVES CIGARETTE,1,0,1,48,1439
Fazai,1,0,1,48,1439
Ruiheyuan,0,1,1,48,1439
Rouliduo,1,0,1,48,1439
Wanda,1,0,1,48,1439
Wei Liang,1,0,1,48,1439
Amoxicillin,1,0,1,48,1439
Youyo,1,0,1,48,1439
Youchen-Group,1,0,1,48,1439
Yong Fu,1,0,1,48,1439
Yon Ho,1,0,1,48,1439
Ymzxsp,1,0,1,48,1439
Yiyu Cake,1,0,1,48,1439
Yishu Monster,1,0,1,48,1439
Yishantang,0,1,1,48,1439
Yinxia,1,0,1,48,1439
ANCHENG MEIXI,1,0,1,48,1439
Yingyou,1,0,1,48,1439
Ying Kang,1,0,1,48,1439
Dianlaoer,1,0,1,48,1439
Yin Lu,1,0,1,48,1439
Diao Yu Tai Cigarette,1,0,1,48,1439
Yide,1,0,1,48,1439
Yida,1,0,1,48,1439
Yi Mu,1,0,1,48,1439
Yi Diandian,1,0,1,48,1439
Yao Ji,1,0,1,48,1439
Yanzhong,1,0,1,48,1439
Yanjing,1,0,1,48,1439
Yanglan,1,0,1,48,1439
Ai Kua,1,0,1,48,1439
Youmu,1,0,1,48,1439
Diamond,1,0,1,48,1439
Yan Tang,1,0,1,48,1439
Yun Lian,1,0,1,48,1439
脆司令/Cui Siling,1,0,1,48,1439
7-Up,1,0,1,48,1439
Zu Long,1,0,1,48,1439
Zi Shan,0,1,1,48,1439
Zhujinghaiwan Restaurant,1,0,1,48,1439
Zhouxiaojian,1,0,1,48,1439
Zhouheiya,1,0,1,48,1439
Zhongwo,0,1,1,48,1439
Zhongnanhai Cigarette,1,0,1,48,1439
Zhonghe Food,1,0,1,48,1439
Zhong Zhou,1,0,1,48,1439
999 Cr Sanjiu,1,0,1,48,1439
Zhong Wang,1,0,1,48,1439
Zhenxiang,1,0,1,48,1439
Zhen Ai,1,0,1,48,1439
Zhangwei,1,0,1,48,1439
Zfrenhe,1,0,1,48,1439
A Ming,1,0,1,48,1439
Zai Lai,1,0,1,48,1439
AMBROSIAL,1,0,1,48,1439
Deming,1,0,1,48,1439
Depian,1,0,1,48,1439
Yun Tai,1,0,1,48,1439
Yan Tang Shan,1,0,1,48,1439
Ai Misi,0,1,1,48,1439
Waru,0,1,1,48,1439
Ali Shan,1,0,1,48,1439
Wuqiongshipin,1,0,1,48,1439
Wuguzaliang,1,0,1,48,1439
Wu Yishan,0,1,1,48,1439
Wu Yang,1,0,1,48,1439
Wrigley'S,1,0,1,48,1439
Wowo,1,0,1,48,1439
Wo Zhi Le,1,0,1,48,1439
Alidas,1,0,1,48,1439
Dongxiaojie,1,0,1,48,1439
Wis,1,0,1,48,1439
Whitecat,1,0,1,48,1439
DALI FOODS,1,0,1,48,1439
Wen Hua,1,0,1,48,1439
Weizhiyuan,1,0,1,48,1439
Weiyang,1,0,1,48,1439
Weiwei,1,0,1,48,1439
Doublemint,1,0,1,48,1439
Weiliduo,1,0,1,48,1439
Dudeli,1,0,1,48,1439
Wei Zhi Yuan,1,0,1,48,1439
Wei Mei Xin,1,0,1,48,1439
Potato Cookies,1,0,1,48,1439
Wei Dao,1,0,1,48,1439
Wutongzi,1,0,1,48,1439
Xian Tai,0,1,1,48,1439
Ya Dele,1,0,1,48,1439
Xiang Yue,1,0,1,48,1439
Dingxi,1,0,1,48,1439
Daheng,1,0,1,48,1439
Xuefeixue,1,0,1,48,1439
Xue Pao,1,0,1,48,1439
Xiwang,1,0,1,48,1439
Xiu Yi,1,0,1,48,1439
Xinhuayin,1,0,1,48,1439
Xinhualei,1,0,1,48,1439
Dabao,1,0,1,48,1439
Xin Fu Lai,1,0,1,48,1439
Xiaoyangren,1,0,1,48,1439
Xiaowangzi,1,0,1,48,1439
Xiaosongshu,1,0,1,48,1439
Xiaojingling,1,0,1,48,1439
Xiaogutou,1,0,1,48,1439
Xiao Ou Yan,0,1,1,48,1439
Xiao Anwei,1,0,1,48,1439
Xiangyin,1,0,1,48,1439
Xiangtang Zhixing,1,0,1,48,1439
Xiangtan,1,0,1,48,1439
Ai Xiao,1,0,1,48,1439
Xiangduoduo,1,0,1,48,1439
Ai Yaya,1,0,1,48,1439
Push Down & Turn,1,0,1,48,1439
Poker Box,1,0,1,48,1439
Pot Sauce,1,0,1,48,1439
Jin Zai,1,0,1,48,1439
Gu Long,1,0,1,48,1439
Chang Baishan,1,0,1,48,1439
Gu Xiang Ju,1,0,1,48,1439
Jinlongyu,1,0,1,48,1439
Guaixifu,1,0,1,48,1439
Jingjiu,1,0,1,48,1439
Jinggangmeisu,1,0,1,48,1439
Jing Long,1,0,1,48,1439
Jing Hua,1,0,1,48,1439
Guan Sheng Yuan,1,0,1,48,1439
Jinchuniang,1,0,1,48,1439
Chang Sheng Yuan,1,0,1,48,1439
Chaohuoshijia,1,0,1,48,1439
Guanyun,1,0,1,48,1439
Jin Li Hong,1,0,1,48,1439
Jin Jiu,1,0,1,48,1439
Jin Feng,1,0,1,48,1439
Jin Bo,1,0,1,48,1439
Guli Guli,1,0,1,48,1439
Jiang Xiao Bai,1,0,1,48,1439
Jian Neng,1,0,1,48,1439
Jialianjia,1,0,1,48,1439
Jiale Food,1,0,1,48,1439
Jiahui,1,0,1,48,1439
Jinmofang,1,0,1,48,1439
Jinxiongdi,1,0,1,48,1439
Jiu Pei Pei,1,0,1,48,1439
Jiujiangjiu,1,0,1,48,1439
Lao Sheng Chang,1,0,1,48,1439
By-Health,1,0,1,48,1439
Laneige,1,0,1,48,1439
Lancome,1,0,1,48,1439
Golden Fuji Food,1,0,1,48,1439
Bybon,1,0,1,48,1439
Byszc,1,0,1,48,1439
Goldensun,1,0,1,48,1439
Koushuiwa,1,0,1,48,1439
Korean Red Ginseng,1,0,1,48,1439
Koolit,1,0,1,48,1439
Kfc,1,0,1,48,1439
Keliao,1,0,1,48,1439
Calunca,1,0,1,48,1439
Ke Ji,1,0,1,48,1439
Kayifu,1,0,1,48,1439
Kans,1,0,1,48,1439
Ka Le Qi,1,0,1,48,1439
Chan Yijia,1,0,1,48,1439
Graihn Crackers,1,0,1,48,1439
Junfengfoods,1,0,1,48,1439
Jun Huan,1,0,1,48,1439
Jun Da,1,0,1,48,1439
Jia Hui,1,0,1,48,1439
HONGTA GROUP烟盒,1,0,1,48,1439
Laobi Xiaoxin,1,0,1,48,1439
Heng Kang,1,0,1,48,1439
Hongmei CIGARETTE,1,0,1,48,1439
Hongfunan,1,0,1,48,1439
Hongfa,1,0,1,48,1439
Hongda,1,0,1,48,1439
Hong Yuan,1,0,1,48,1439
Hong Qi,1,0,1,48,1439
Heysong,0,1,1,48,1439
Heshang,1,0,1,48,1439
Hengsheng,1,0,1,48,1439
Haagen-Dazs,1,0,1,48,1439
Chinaunicom,1,0,1,48,1439
Chinese-Ricewine,1,0,1,48,1439
Inoherb,1,0,1,48,1439
He Yuan,1,0,1,48,1439
Hazha,1,0,1,48,1439
Haichanjie,1,0,1,48,1439
Chong Taiji,1,0,1,48,1439
Harbin,1,0,1,48,1439
Happy Cat,1,0,1,48,1439
Haitai,1,0,1,48,1439
Haoyang Food,1,0,1,48,1439
Haomao Cigarette,1,0,1,48,1439
Hao Zhong,1,0,1,48,1439
Chun Yue,1,0,1,48,1439
Chia Meei,1,0,1,48,1439
Hongtaiyang,1,0,1,48,1439
Chengguang,1,0,1,48,1439
Hua Fa,1,0,1,48,1439
Chateaulevin,1,0,1,48,1439
Chayu,1,0,1,48,1439
Chen Jia Gou,1,0,1,48,1439
Hutujiuye,1,0,1,48,1439
Huoda,1,0,1,48,1439
Hungfooktong,0,1,1,48,1439
Huluwayaoye,1,0,1,48,1439
Ha Da,1,0,1,48,1439
Hudocol,0,1,1,48,1439
Huarun Shuini,1,0,1,48,1439
Huapai,1,0,1,48,1439
Huanlejia,1,0,1,48,1439
Huangjinye Cigarette,1,0,1,48,1439
Cheng Dong,1,0,1,48,1439
Huang Namin Granule,1,0,1,48,1439
Huang Fei Hong,1,0,1,48,1439
Hualong,1,0,1,48,1439
Hualin,0,1,1,48,1439
Huainan Longqi,1,0,1,48,1439
Hua Yi,1,0,1,48,1439
Hua Weiheng,1,0,1,48,1439
Hua Wei,1,0,1,48,1439
Hua Guan,1,0,1,48,1439
Laobeijing,1,0,1,48,1439
Laoshan,0,1,1,48,1439
Chunfu,1,0,1,48,1439
Ck-Food,0,1,1,48,1439
BigBabol,1,0,1,48,1439
Natural Is Best,0,1,1,48,1439
Bing Yun,1,0,1,48,1439
Nanjing Brand Cigarettes,1,0,1,48,1439
Namei,1,0,1,48,1439
Bingdi,0,1,1,48,1439
Fumanyi,1,0,1,48,1439
Mrs Huang,1,0,1,48,1439
Mr Muscle,1,0,1,48,1439
Mouji,1,0,1,48,1439
Dahua Cigarette,1,0,1,48,1439
Fuyao Group,0,1,1,48,1439
Metro,0,1,1,48,1439
Mirinda,1,0,1,48,1439
Mini-Cn,1,0,1,48,1439
Mingren,1,0,1,48,1439
Mingbo,1,0,1,48,1439
GUOQIN,1,0,1,48,1439
Black Swirlwind,1,0,1,48,1439
Ming Ren,0,1,1,48,1439
Mimisu,1,0,1,48,1439
Milk Deluxe,1,0,1,48,1439
Ga Kemen,1,0,1,48,1439
Miao Fu,1,0,1,48,1439
Neutral Silicone Gel,1,0,1,48,1439
Bi Gui Yuan,1,0,1,48,1439
Nin-Jiom,1,0,1,48,1439
Nissin,1,0,1,48,1439
Pocariswfat,0,1,1,48,1439
Pocari,1,0,1,48,1439
Baoligu,1,0,1,48,1439
Fixue,1,0,1,48,1439
Pin Xiangyuan,1,0,1,48,1439
Pien Tze Huang,1,0,1,48,1439
Baolisu,0,1,1,48,1439
Peak,1,0,1,48,1439
Fizz,1,0,1,48,1439
Bei Long,1,0,1,48,1439
Pan Zi,0,1,1,48,1439
Pai Li,1,0,1,48,1439
Bei Nan Chuan,1,0,1,48,1439
Otsuka,1,0,1,48,1439
Orion Confectionery,1,0,1,48,1439
Beijixue,1,0,1,48,1439
Freegate Tea,1,0,1,48,1439
Okamoto,1,0,1,48,1439
Nuanshentie,1,0,1,48,1439
Beingmate,1,0,1,48,1439
Niulaosan,1,0,1,48,1439
Bernacbon,1,0,1,48,1439
Niuerduo,1,0,1,48,1439
Mi Laotou,1,0,1,48,1439
Gang Jian,1,0,1,48,1439
Gisbelle,1,0,1,48,1439
Lighter,1,0,1,48,1439
Boerjia,1,0,1,48,1439
Liuliu Orchard,1,0,1,48,1439
Borny,1,0,1,48,1439
Liu Xing,1,0,1,48,1439
Ganguozhuanjia,1,0,1,48,1439
Breakfast Revolution,1,0,1,48,1439
Chunzhige,1,0,1,48,1439
Ganyuanfood,1,0,1,48,1439
Linshan Shiye,0,1,1,48,1439
Buchang Pharma,1,0,1,48,1439
Limu,1,0,1,48,1439
Lifengfood,1,0,1,48,1439
Mengyuan,1,0,1,48,1439
Gatorade,1,0,1,48,1439
Libaijia,1,0,1,48,1439
Lian Bang,1,0,1,48,1439
Li-Ning,1,0,1,48,1439
Li Yong,1,0,1,48,1439
Li Fung,1,0,1,48,1439
Gbv,1,0,1,48,1439
Lesso,1,0,1,48,1439
Leba,1,0,1,48,1439
Le Tao,1,0,1,48,1439
Lbxx,1,0,1,48,1439
Liyan Cigarette,1,0,1,48,1439
Bo Yu,1,0,1,48,1439
Lonch Group,1,0,1,48,1439
Long Wang,1,0,1,48,1439
Mengteer,1,0,1,48,1439
Blueribbon,1,0,1,48,1439
Meng Xing,1,0,1,48,1439
Meilichufang,1,0,1,48,1439
Meiji,1,0,1,48,1439
Meico,1,0,1,48,1439
Mei Pu,1,0,1,48,1439
Mei Lun,1,0,1,48,1439
Mccormick,1,0,1,48,1439
Masson Group,1,0,1,48,1439
Maltersers,1,0,1,48,1439
Magnum,1,0,1,48,1439
Ma Jia,1,0,1,48,1439
MINGREN,1,0,1,48,1439
L‘Oreal Paris,1,0,1,48,1439
Lv Shuang,1,0,1,48,1439
Lujiwan,1,0,1,48,1439
Luergang,1,0,1,48,1439
Lubianbao,1,0,1,48,1439
Lu Zhou,1,0,1,48,1439
Lovefun,1,0,1,48,1439
Lotte,1,0,1,48,1439
Lor'Choi Group,1,0,1,48,1439
361°,1,0,1,48,1439
