ParentCoFinal,EMPTY,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
Bridgiston,0,0,0,0,0,0,0,0,35,1293
Tokyo ramen,0,0,0,0,0,0,0,0,35,1293
Tominaga,0,0,0,0,0,0,0,0,35,1293
Toyosuisan,0,0,0,0,0,0,0,0,35,1293
Tsumura,0,0,0,0,0,0,0,0,35,1293
Bourbon,0,0,0,0,0,0,0,0,35,1293
UCC,0,0,0,0,0,0,0,0,35,1293
BURBON,0,0,0,0,0,0,0,0,35,1293
UHA mikakuto,0,0,0,0,0,0,0,0,35,1293
Uha,0,0,0,0,0,0,0,0,35,1293
Ashide Brew,0,0,0,0,0,0,0,0,35,1293
Asahi Shinbun,0,0,0,0,0,0,0,0,35,1293
Asahi,0,0,0,0,0,0,0,0,35,1293
Wakodo,0,0,0,0,0,0,0,0,35,1293
YUKIZIRUSHI,0,0,0,0,0,0,0,0,35,1293
itoen,0,0,0,0,0,0,0,0,35,1293
itouen,0,0,0,0,0,0,0,0,35,1293
kalbee,0,0,0,0,0,0,0,0,35,1293
sapporo,0,0,0,0,0,0,0,0,35,1293
otsuka seiyaku,0,0,0,0,0,0,0,0,35,1293
otsukaseiyaku,0,0,0,0,0,0,0,0,35,1293
ASVEL,0,0,0,0,0,0,0,0,35,1293
pokka sapporo,0,0,0,0,0,0,0,0,35,1293
roto,0,0,0,0,0,0,0,0,35,1293
ryukakusan,0,0,0,0,0,0,0,0,35,1293
s&b,0,0,0,0,0,0,0,0,35,1293
saka seika,0,0,0,0,0,0,0,0,35,1293
sangarinia,0,0,0,0,0,0,0,0,35,1293
saraya,0,0,0,0,0,0,0,0,35,1293
kanebo,0,0,0,0,0,0,0,0,35,1293
ASSUTERRAS,0,0,0,0,0,0,0,0,35,1293
seveneleven,0,0,0,0,0,0,0,0,35,1293
shiseido,0,0,0,0,0,0,0,0,35,1293
suntory,0,0,0,0,0,0,0,0,35,1293
tateishi shunyoudo,0,0,0,0,0,0,0,0,35,1293
unsure,0,0,0,0,0,0,0,0,35,1293
wmb,0,0,0,0,0,0,0,0,35,1293
wooke,0,0,0,0,0,0,0,0,35,1293
yagai,0,0,0,0,0,0,0,0,35,1293
otsuka,0,0,0,0,0,0,0,0,35,1293
nobel,0,0,0,0,0,0,0,0,35,1293
nisshin,0,0,0,0,0,0,0,0,35,1293
nihonkasei,0,0,0,0,0,0,0,0,35,1293
kanro,0,0,0,0,0,0,0,0,35,1293
kanshin,0,0,0,0,0,0,0,0,35,1293
kappa,0,0,0,0,0,0,0,0,35,1293
kirin,0,0,0,0,0,0,0,0,35,1293
koris,0,0,0,0,0,0,0,0,35,1293
lawson,0,0,0,0,0,0,0,0,35,1293
lotte,0,0,0,0,0,0,0,0,35,1293
lowson,0,0,0,0,0,0,0,0,35,1293
maikoru,0,0,0,0,0,0,0,0,35,1293
mandam,0,0,0,0,0,0,0,0,35,1293
mandom,0,0,0,0,0,0,0,0,35,1293
mandum,0,0,0,0,0,0,0,0,35,1293
mannan life,0,0,0,0,0,0,0,0,35,1293
meiji,0,0,0,0,0,0,0,0,35,1293
ministop,0,0,0,0,0,0,0,0,35,1293
morinaga,0,0,0,0,0,0,0,0,35,1293
myojyo,0,0,0,0,0,0,0,0,35,1293
nakamuraya,0,0,0,0,0,0,0,0,35,1293
Acebook,0,0,0,0,0,0,0,0,35,1293
Takara,0,0,0,0,0,0,0,0,35,1293
Taishoseiyaku,0,0,0,0,0,0,0,0,35,1293
Disney,0,0,0,0,0,0,0,0,35,1293
CostCo,0,0,0,0,0,0,0,0,35,1293
Cupie,0,0,0,0,0,0,0,0,35,1293
KURASIE FOODS,0,0,0,0,0,0,0,0,35,1293
KURE KOGYO,0,0,0,0,0,0,0,0,35,1293
Kabaya,0,0,0,0,0,0,0,0,35,1293
Kabuya,0,0,0,0,0,0,0,0,35,1293
Kagome,0,0,0,0,0,0,0,0,35,1293
Kanro,0,0,0,0,0,0,0,0,35,1293
Kao,0,0,0,0,0,0,0,0,35,1293
Kasugai,0,0,0,0,0,0,0,0,35,1293
Kikkoman,0,0,0,0,0,0,0,0,35,1293
Taishoseika,0,0,0,0,0,0,0,0,35,1293
Kirin,0,0,0,0,0,0,0,0,35,1293
Kiyoken,0,0,0,0,0,0,0,0,35,1293
Klesia,0,0,0,0,0,0,0,0,35,1293
Kobeya,0,0,0,0,0,0,0,0,35,1293
Kowa,0,0,0,0,0,0,0,0,35,1293
Chiyoda,0,0,0,0,0,0,0,0,35,1293
Lawson,0,0,0,0,0,0,0,0,35,1293
Lion Japan,0,0,0,0,0,0,0,0,35,1293
Lotte,0,0,0,0,0,0,0,0,35,1293
KASUGAI,0,0,0,0,0,0,0,0,35,1293
DAIICHI PAN,0,0,0,0,0,0,0,0,35,1293
Jonson,0,0,0,0,0,0,0,0,35,1293
Johnson & Johnson,0,0,0,0,0,0,0,0,35,1293
Dydo,0,0,0,0,0,0,0,0,35,1293
EMIAL,0,0,0,0,0,0,0,0,35,1293
Family mart,0,0,0,0,0,0,0,0,35,1293
Familymart,0,0,0,0,0,0,0,0,35,1293
Fujiya,0,0,0,0,0,0,0,0,35,1293
GGC,0,0,0,0,0,0,0,0,35,1293
GSK,0,0,0,0,0,0,0,0,35,1293
DAIICHI SANKYO,0,0,0,0,0,0,0,0,35,1293
Guriko,0,0,0,0,0,0,0,0,35,1293
HAGOROMO FOODS,0,0,0,0,0,0,0,0,35,1293
HAYAKAWA SEIKA,0,0,0,0,0,0,0,0,35,1293
Hakugen,0,0,0,0,0,0,0,0,35,1293
Haribo,0,0,0,0,0,0,0,0,35,1293
Hayashi kazumi,0,0,0,0,0,0,0,0,35,1293
House,0,0,0,0,0,0,0,0,35,1293
ITOEN,0,0,0,0,0,0,0,0,35,1293
Itoen,0,0,0,0,0,0,0,0,35,1293
Japan Tobacco International,0,0,0,0,0,0,0,0,35,1293
Jobanyakuhin,0,0,0,0,0,0,0,0,35,1293
MAROTAE FOODS,0,0,0,0,0,0,0,0,35,1293
MATSUYA SEIKA,0,0,0,0,0,0,0,0,35,1293
MEIJI,0,0,0,0,0,0,0,0,35,1293
Otsukaseiyaku,0,0,0,0,0,0,0,0,35,1293
Pasco,0,0,0,0,0,0,0,0,35,1293
Peace,0,0,0,0,0,0,0,0,35,1293
PepsiCo,0,0,0,0,0,0,0,0,35,1293
Philip Morris,0,0,0,0,0,0,0,0,35,1293
Pokka,0,0,0,0,0,0,0,0,35,1293
Pokka sapporo,0,0,0,0,0,0,0,0,35,1293
RISKA,0,0,0,0,0,0,0,0,35,1293
ROHTO,0,0,0,0,0,0,0,0,35,1293
SB,0,0,0,0,0,0,0,0,35,1293
SISEIDO,0,0,0,0,0,0,0,0,35,1293
Brondy Beach,0,0,0,0,0,0,0,0,35,1293
Sapporo,0,0,0,0,0,0,0,0,35,1293
Seria,0,0,0,0,0,0,0,0,35,1293
Seven Eleven,0,0,0,0,0,0,0,0,35,1293
Seven eleven,0,0,0,0,0,0,0,0,35,1293
Seveneleven,0,0,0,0,0,0,0,0,35,1293
Suntory,0,0,0,0,0,0,0,0,35,1293
TAISHO SEIYAKU,0,0,0,0,0,0,0,0,35,1293
TAKEDA,0,0,0,0,0,0,0,0,35,1293
PAINNE,0,0,0,0,0,0,0,0,35,1293
Orion Confectionery,0,0,0,0,0,0,0,0,35,1293
MIYAMA MEISUI,0,0,0,0,0,0,0,0,35,1293
OZEKI,0,0,0,0,0,0,0,0,35,1293
Macdonald,0,0,0,0,0,0,0,0,35,1293
Chateraise,0,0,0,0,0,0,0,0,35,1293
Matsuyaseika,0,0,0,0,0,0,0,0,35,1293
McDonald's Corporation,0,0,0,0,0,0,0,0,35,1293
Meiji,0,0,0,0,0,0,0,0,35,1293
Mitsubishi,0,0,0,0,0,0,0,0,35,1293
Monde M.Y. San Corporation,0,0,0,0,0,0,0,0,35,1293
MondelÄ“z Japan,0,0,0,0,0,0,0,0,35,1293
Morinaga,0,0,0,0,0,0,0,0,35,1293
Morinagaseika,0,0,0,0,0,0,0,0,35,1293
NISSHIN,0,0,0,0,0,0,0,0,35,1293
NOBEL,0,0,0,0,0,0,0,0,35,1293
Nakasa,0,0,0,0,0,0,0,0,35,1293
Neslle,0,0,0,0,0,0,0,0,35,1293
Nestlé,0,0,0,0,0,0,0,0,35,1293
Nissan,0,0,0,0,0,0,0,0,35,1293
Nittaku,0,0,0,0,0,0,0,0,35,1293
Calbee Inc.,0,0,0,0,0,0,0,0,35,1293
OTSUKA Pharmaceutical,0,0,0,0,0,0,0,0,35,1293
AGF,0,0,0,0,0,0,0,0,35,1293
