***ARCH130867, FRESC Study 930, "Oregon_spotted_frog_telemetry_at_Crane_Prairie_OR.csv", Michael J. Adams, archived ______***
***Published ___ at www.sciencebase.gov (___)***
Site,Subsite,HabType,SurveyDate,Ordinal,Frequency,UTME_83,UTMN_83,Interval,Female,Water,Type,Structure,Substrate,Beaver,Detection
Crane Prairie,SE Pond,Pond,11/1/2018,305,164.381,597374,4846479,5,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/5/2018,309,164.381,597365,4846482,6,1,Deep water,Marsh/Pond,Open,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/13/2018,317,164.381,597350,4846484,7,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/18/2018,322,164.381,597350,4846488,8,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,11/26/2018,330,164.381,597349,4846486,9,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/26/2018,269,164.395,596100,4850439,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,10/3/2018,276,164.395,596101,4850441,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,164.395,596103,4850442,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/16/2018,289,164.395,596078,4850423,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/23/2018,296,164.395,596121,4850427,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,River,10/30/2018,303,164.395,595985,4850664,5,1,Unknown water,Stream/Canal,Herbaceous veg,Organic soil,No beaver,No visual
Crane Prairie,W Res,River,11/6/2018,310,164.395,595987,4850667,6,1,Unknown water,Stream/Canal,Leaf litter,Organic soil,No beaver,No visual
Crane Prairie,W Res,River,11/14/2018,318,164.395,595979,4850656,7,1,Unknown water,Stream/Canal,Herbaceous veg,Organic soil,No beaver,No visual
Crane Prairie,W Res,River,11/20/2018,324,164.395,595986,4850660,8,1,Unknown water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,River,11/29/2018,333,164.395,596026,4850562,9,1,Unknown water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/26/2018,269,164.407,595441,4850001,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,10/3/2018,276,164.407,595447,4850000,1,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,164.407,595449,4849969,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/16/2018,289,164.407,595444,4849963,3,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/23/2018,296,164.407,595459,4849971,4,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/30/2018,303,164.407,595442,4849981,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/6/2018,310,164.407,595447,4849981,6,1,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/14/2018,318,164.407,595640,4849907,7,1,Deep water,Reservoir,Open,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/20/2018,324,164.407,595590,4849991,8,1,Deep water,Reservoir,Open,Flocc,No beaver,Visual
Crane Prairie,N Res,Reservoir,9/18/2018,261,164.417,597670,4850964,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.417,597597,4850969,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.417,597604,4850985,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/11/2018,284,164.417,597604,4850985,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.417,597520,4850985,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.417,597330,4850995,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.417,597356,4850986,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.417,597346,4851009,7,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.417,597338,4851002,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.417,597340,4850994,9,1,Shallow water,Reservoir,Herbaceous veg,Organic soil,No beaver,Visual
Crane Prairie,N Res,Reservoir,11/27/2018,331,164.417,597219,4850743,10,1,Deep water,Reservoir,Open,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/26/2018,269,164.432,595295,4849831,0,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,10/3/2018,276,164.432,595300,4849810,1,0,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,164.432,595302,4849800,2,0,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/16/2018,289,164.432,595310,4849808,3,0,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/23/2018,296,164.432,595468,4849957,4,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/30/2018,303,164.432,595469,4850010,5,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/6/2018,310,164.432,595462,4850004,6,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/14/2018,318,164.432,595331,4849757,7,0,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/20/2018,324,164.432,594846,4849389,8,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/29/2018,333,164.432,594804,4849374,9,0,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/26/2018,269,164.445,595182,4849666,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,10/3/2018,276,164.445,595112,4849618,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,164.445,595062,4849612,2,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/16/2018,289,164.445,595066,4849591,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/23/2018,296,164.445,595085,4849593,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/30/2018,303,164.445,595172,4849647,5,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/6/2018,310,164.445,595175,4849650,6,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/14/2018,318,164.445,595176,4849639,7,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/20/2018,324,164.445,595310,4849746,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/29/2018,333,164.445,595341,4849779,9,1,Deep water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.457,598061,4850665,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.457,598059,4850659,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/11/2018,284,164.457,598061,4850658,2,1,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.457,598073,4850655,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.457,598033,4850644,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.457,597876,4850674,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.457,597873,4850678,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.457,597795,4850678,7,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.457,597791,4850661,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/28/2018,332,164.457,597783,4850690,9,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.470,597758,4850719,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.470,597752,4850718,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/11/2018,284,164.470,597756,4850722,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.470,597949,4850664,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.470,597970,4850658,4,1,Shallow water,Reservoir,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.470,597977,4850646,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.470,597975,4850647,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.470,598021,4850586,7,1,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.470,597955,4850633,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/28/2018,332,164.470,597957,4850636,9,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,9/12/2018,255,164.482,598346,4851852,0,0,Shallow water,Marsh/Pond,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,Cow Camp River,River,9/18/2018,261,164.482,598383,4851864,1,0,Shallow water,Stream/Canal,Herbaceous veg,Mineral soil,No beaver,Captured
Crane Prairie,Cow Camp River,River,9/20/2018,263,164.482,598402,4851836,2,0,Shallow water,Stream/Canal,Herbaceous veg,Mineral soil,No beaver,Visual
Crane Prairie,Cow Camp River,River,9/28/2018,271,164.482,598398,4851835,3,0,Shallow water,Stream/Canal,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/4/2018,277,164.482,598384,4851828,4,0,Unknown water,Stream/Canal,Leaf litter,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/11/2018,284,164.482,598380,4851791,5,0,Unknown water,Stream/Canal,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/17/2018,290,164.482,598376,4851780,6,0,Shallow water,Stream/Canal,Woody debris,Mineral soil,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/23/2018,296,164.482,598381,4851762,7,0,Unknown water,Stream/Canal,Woody veg,Unknown substrate,No beaver,No visual
Crane Prairie,Cow Camp River,River,10/31/2018,304,164.482,598367,4851751,8,0,Shallow water,Stream/Canal,Open,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/6/2018,310,164.482,598368,4851756,9,0,Shallow water,Stream/Canal,Woody veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/14/2018,318,164.482,598369,4851756,10,0,Shallow water,Stream/Canal,Open,Flocc,No beaver,No visual
Crane Prairie,Cow Camp River,River,11/18/2018,322,164.482,598356,4851704,11,0,Shallow water,Stream/Canal,Open,Flocc,No beaver,Visual
Crane Prairie,Cow Camp River,River,11/28/2018,332,164.482,598354,4851706,12,0,Shallow water,Stream/Canal,Woody debris,Flocc,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,9/12/2018,255,164.495,598341,4851848,0,1,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Captured
Crane Prairie,Cow Camp Pond,Pond,9/18/2018,261,164.495,598349,4851852,1,1,Shallow water,Marsh/Pond,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,9/20/2018,263,164.495,598348,4851847,2,1,Shallow water,Marsh/Pond,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,Cow Camp Pond,Pond,9/27/2018,270,164.495,598352,4851852,3,1,Shallow water,Marsh/Pond,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,Cow Camp Pond,Pond,9/28/2018,271,164.495,598350,4851842,4,1,No water,Marsh/Pond,Herbaceous veg,Organic soil,No beaver,Captured
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.506,597705,4850915,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.506,597699,4850917,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/11/2018,284,164.506,597705,4850925,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.506,597691,4850917,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.506,597688,4850920,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.506,596966,4850991,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.506,596825,4851137,6,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.506,596915,4851138,7,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.506,596809,4851143,8,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/27/2018,331,164.506,596824,4851134,9,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/13/2018,256,164.520,595369,4849932,0,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Captured
Crane Prairie,W Res,Reservoir,9/19/2018,262,164.520,595404,4849953,1,1,Shallow water,Reservoir,Woody debris,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,9/26/2018,269,164.520,595415,4849958,2,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/3/2018,276,164.520,595409,4849965,3,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/10/2018,283,164.520,595409,4849970,4,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/16/2018,289,164.520,595407,4849970,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/23/2018,296,164.520,595419,4849967,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,10/30/2018,303,164.520,595418,4849966,7,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/6/2018,310,164.520,595405,4849967,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/14/2018,318,164.520,595425,4849939,9,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/20/2018,324,164.520,595436,4849939,10,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,W Res,Reservoir,11/29/2018,333,164.520,595421,4849958,11,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,9/27/2018,270,164.533,597334,4851058,0,1,No water,Reservoir,Open,Organic soil,No beaver,Captured
Crane Prairie,N Res,Reservoir,10/4/2018,277,164.533,597337,4851038,1,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/11/2018,284,164.533,597337,4851030,2,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/17/2018,290,164.533,597301,4850960,3,1,Shallow water,Reservoir,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/24/2018,297,164.533,597324,4850764,4,1,Deep water,Reservoir,Woody debris,Unknown substrate,No beaver,No visual
Crane Prairie,N Res,Reservoir,10/31/2018,304,164.533,597037,4851008,5,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/7/2018,311,164.533,597028,4851004,6,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,Visual
Crane Prairie,N Res,Reservoir,11/15/2018,319,164.533,596982,4850984,7,1,Shallow water,Reservoir,Open,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/19/2018,323,164.533,596942,4850998,8,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,N Res,Reservoir,11/27/2018,331,164.533,596788,4851138,9,1,Shallow water,Reservoir,Herbaceous veg,Flocc,No beaver,No visual
Crane Prairie,SE Pond,Pond,9/28/2018,271,164.545,597357,4846485,0,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,Captured
Crane Prairie,SE Pond,Pond,10/2/2018,275,164.545,597340,4846477,1,1,Deep water,Marsh/Pond,Woody debris,Unknown substrate,No beaver,Visual
Crane Prairie,SE Pond,Pond,10/9/2018,282,164.545,597370,4846478,2,1,Shallow water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
Crane Prairie,SE Pond,Pond,10/15/2018,288,164.545,597345,4846488,3,1,Deep water,Marsh/Pond,Herbaceous veg,Unknown substrate,No beaver,No visual
