Entity,Code,Year,gini_mi_eq,gini_dhi_eq
Brazil,BRA,1996,0.615,0.564
Brazil,BRA,1997,0.614,0.561
Brazil,BRA,1998,0.614,0.557
Brazil,BRA,1999,0.609,0.549
Brazil,BRA,2001,0.609,0.536
Brazil,BRA,2002,0.603,0.529
Brazil,BRA,2003,0.599,0.52
Brazil,BRA,2004,0.594,0.513
Brazil,BRA,2005,0.584,0.501
Brazil,BRA,2006,0.581,0.493
Brazil,BRA,2007,0.577,0.484
Brazil,BRA,2008,0.566,0.477
Brazil,BRA,2009,0.564,0.472
Brazil,BRA,2011,0.565,0.462
Brazil,BRA,2012,0.559,0.452
Brazil,BRA,2013,0.561,0.453
Brazil,BRA,2014,0.551,0.444
Brazil,BRA,2015,0.555,0.446
Brazil,BRA,1981,NA,0.533
Brazil,BRA,1982,NA,0.539
Brazil,BRA,1983,NA,0.545
Brazil,BRA,1984,NA,0.527
Brazil,BRA,1985,NA,0.538
Brazil,BRA,1986,NA,0.535
Brazil,BRA,1987,NA,0.541
Brazil,BRA,1988,NA,0.571
Brazil,BRA,1989,NA,0.588
Brazil,BRA,1990,NA,0.569
Brazil,BRA,2016,NA,0.463
Brazil,BRA,2017,NA,0.475
Brazil,BRA,2018,NA,0.475
Brazil,BRA,2019,NA,0.477
Brazil,BRA,2020,NA,0.45
Brazil,BRA,2021,NA,0.471
Brazil,BRA,2022,NA,0.453
Bulgaria,BGR,2007,0.482,0.359
Bulgaria,BGR,2008,0.448,0.328
Bulgaria,BGR,2009,0.452,0.328
Bulgaria,BGR,2010,0.45,0.33
Bulgaria,BGR,2011,0.462,0.339
Bulgaria,BGR,2012,0.471,0.354
Bulgaria,BGR,2013,0.487,0.352
Bulgaria,BGR,2014,0.493,0.368
Bulgaria,BGR,2015,0.522,0.376
Bulgaria,BGR,2016,0.534,0.402
Bulgaria,BGR,2017,0.532,0.395
Bulgaria,BGR,2018,0.53,0.407
Bulgaria,BGR,2019,0.526,0.401
Bulgaria,BGR,2020,0.525,0.395
Bulgaria,BGR,2021,0.515,0.382
Bulgaria,BGR,2022,0.517,0.373
Canada,CAN,1971,0.402,0.323
Canada,CAN,1973,0.384,0.304
Canada,CAN,1975,0.391,0.303
Canada,CAN,1977,0.386,0.299
Canada,CAN,1979,0.384,0.3
Canada,CAN,1981,0.382,0.295
Canada,CAN,1982,0.398,0.296
Canada,CAN,1984,0.419,0.307
Canada,CAN,1985,0.413,0.305
Canada,CAN,1986,0.391,0.287
Canada,CAN,1987,0.395,0.289
Canada,CAN,1988,0.394,0.286
Canada,CAN,1989,0.387,0.283
Canada,CAN,1990,0.4,0.287
Canada,CAN,1991,0.416,0.293
Canada,CAN,1992,0.417,0.286
Canada,CAN,1993,0.421,0.288
Canada,CAN,1994,0.419,0.285
Canada,CAN,1995,0.417,0.287
Canada,CAN,1996,0.444,0.303
Canada,CAN,1997,0.446,0.308
Canada,CAN,1998,0.447,0.312
Canada,CAN,1999,0.435,0.31
Canada,CAN,2000,0.437,0.318
Canada,CAN,2001,0.438,0.318
Canada,CAN,2002,0.434,0.317
Canada,CAN,2003,0.436,0.318
Canada,CAN,2004,0.437,0.32
Canada,CAN,2005,0.433,0.318
Canada,CAN,2006,0.434,0.318
Canada,CAN,2007,0.434,0.316
Canada,CAN,2008,0.438,0.322
Canada,CAN,2009,0.444,0.321
Canada,CAN,2010,0.443,0.318
Canada,CAN,2011,0.434,0.313
Canada,CAN,2012,0.431,0.317
Canada,CAN,2013,0.436,0.321
Canada,CAN,2014,0.426,0.312
Canada,CAN,2015,0.438,0.32
Canada,CAN,2016,0.432,0.308
Canada,CAN,2017,0.441,0.313
Canada,CAN,2018,0.429,0.306
Canada,CAN,2019,0.421,0.3
Canada,CAN,2020,0.44,0.282
Canada,CAN,2021,0.436,0.291
Chile,CHL,1990,NA,0.507
Chile,CHL,1992,NA,0.508
Chile,CHL,1994,NA,0.506
Chile,CHL,1996,NA,0.504
Chile,CHL,1998,NA,0.51
Chile,CHL,2000,NA,0.526
Chile,CHL,2003,NA,0.503
Chile,CHL,2006,NA,0.476
Chile,CHL,2009,NA,0.478
Chile,CHL,2011,NA,0.467
Chile,CHL,2013,NA,0.46
Chile,CHL,2015,NA,0.453
Chile,CHL,2017,NA,0.459
China,CHN,2002,NA,0.415
China,CHN,2013,NA,0.399
China,CHN,2018,NA,0.413
Colombia,COL,2001,NA,0.509
Colombia,COL,2002,NA,0.525
Colombia,COL,2003,NA,0.504
Colombia,COL,2004,NA,0.513
Colombia,COL,2005,NA,0.513
Colombia,COL,2006,NA,0.502
Colombia,COL,2007,NA,0.54
Colombia,COL,2008,NA,0.526
Colombia,COL,2009,NA,0.51
Colombia,COL,2010,NA,0.511
Colombia,COL,2011,NA,0.5
Colombia,COL,2012,NA,0.491
Colombia,COL,2013,NA,0.491
Colombia,COL,2014,NA,0.489
Colombia,COL,2015,NA,0.473
Colombia,COL,2016,NA,0.47
Colombia,COL,2017,NA,0.461
Colombia,COL,2018,NA,0.465
Colombia,COL,2019,NA,0.48
Colombia,COL,2020,NA,0.503
Colombia,COL,2021,NA,0.485
Colombia,COL,2022,NA,0.516
Colombia,COL,2023,NA,0.508
Cote d'Ivoire,CIV,2002,NA,0.566
Cote d'Ivoire,CIV,2008,NA,0.538
Cote d'Ivoire,CIV,2015,NA,0.579
Czechia,CZE,2002,0.467,0.256
Czechia,CZE,2004,0.472,0.267
Czechia,CZE,2007,0.449,0.252
Czechia,CZE,2010,0.449,0.256
Czechia,CZE,2013,0.46,0.259
Czechia,CZE,2016,0.444,0.254
Czechia,CZE,1992,NA,0.205
Czechia,CZE,1996,NA,0.257
Denmark,DNK,1987,0.41,0.257
Denmark,DNK,1992,0.441,0.241
Denmark,DNK,1995,0.426,0.22
Denmark,DNK,2000,0.416,0.226
Denmark,DNK,2004,0.422,0.23
Denmark,DNK,2007,0.417,0.241
Denmark,DNK,2010,0.443,0.251
Denmark,DNK,2013,0.445,0.251
Denmark,DNK,2015,0.484,0.274
Denmark,DNK,2016,0.497,0.275
Denmark,DNK,2017,0.48,0.277
Denmark,DNK,2018,0.477,0.277
Denmark,DNK,2019,0.483,0.28
Denmark,DNK,2020,0.479,0.279
Denmark,DNK,2021,0.48,0.285
Denmark,DNK,2022,0.477,0.288
Dominican Republic,DOM,2007,0.523,0.515
Estonia,EST,2004,0.5,0.349
Estonia,EST,2007,0.448,0.313
Estonia,EST,2010,0.485,0.32
Estonia,EST,2013,0.507,0.354
Estonia,EST,2016,0.456,0.314
Estonia,EST,2000,NA,0.364
Finland,FIN,1987,0.327,0.207
Finland,FIN,1991,0.33,0.209
Finland,FIN,1995,0.385,0.217
Finland,FIN,2000,0.407,0.254
Finland,FIN,2004,0.407,0.262
Finland,FIN,2007,0.381,0.267
Finland,FIN,2010,0.378,0.263
Finland,FIN,2013,0.378,0.261
Finland,FIN,2016,0.382,0.258
France,FRA,1970,NA,0.34
France,FRA,1975,NA,0.323
France,FRA,1979,NA,0.301
France,FRA,1984,NA,0.299
France,FRA,1990,NA,0.289
France,FRA,1996,NA,0.285
France,FRA,1997,NA,0.285
France,FRA,1998,NA,0.282
France,FRA,1999,NA,0.291
France,FRA,2000,NA,0.294
France,FRA,2001,NA,0.292
France,FRA,2002,NA,0.289
France,FRA,2003,NA,0.288
France,FRA,2004,NA,0.289
France,FRA,2005,NA,0.295
France,FRA,2006,NA,0.297
France,FRA,2007,NA,0.297
France,FRA,2008,NA,0.299
France,FRA,2009,NA,0.3
France,FRA,2010,NA,0.307
France,FRA,2011,NA,0.313
France,FRA,2012,NA,0.312
France,FRA,2013,NA,0.299
France,FRA,2014,NA,0.298
France,FRA,2015,NA,0.299
France,FRA,2016,NA,0.296
France,FRA,2017,NA,0.297
France,FRA,2018,NA,0.303
France,FRA,2019,NA,0.299
France,FRA,2020,NA,0.288
Georgia,GEO,2009,NA,0.469
Georgia,GEO,2010,NA,0.453
Georgia,GEO,2011,NA,0.455
Georgia,GEO,2012,NA,0.411
Georgia,GEO,2013,NA,0.402
Georgia,GEO,2014,NA,0.391
Georgia,GEO,2015,NA,0.39
Georgia,GEO,2016,NA,0.391
Georgia,GEO,2017,NA,0.409
Georgia,GEO,2018,NA,0.37
Georgia,GEO,2019,NA,0.379
Georgia,GEO,2020,NA,0.358
Georgia,GEO,2021,NA,0.346
Georgia,GEO,2022,NA,0.343
Germany,DEU,1973,0.377,0.271
Germany,DEU,1978,0.415,0.263
Germany,DEU,1983,0.41,0.26
Germany,DEU,1985,0.434,0.251
Germany,DEU,1986,0.424,0.247
Germany,DEU,1987,0.427,0.25
Germany,DEU,1988,0.432,0.254
Germany,DEU,1989,0.433,0.256
Germany,DEU,1990,0.424,0.258
Germany,DEU,1991,0.437,0.268
Germany,DEU,1992,0.439,0.264
Germany,DEU,1993,0.439,0.257
Germany,DEU,1994,0.45,0.262
Germany,DEU,1995,0.457,0.258
Germany,DEU,1996,0.458,0.251
Germany,DEU,1997,0.462,0.251
Germany,DEU,1998,0.462,0.253
Germany,DEU,1999,0.465,0.261
Germany,DEU,2000,0.471,0.26
Germany,DEU,2001,0.487,0.27
Germany,DEU,2002,0.492,0.27
Germany,DEU,2003,0.498,0.267
Germany,DEU,2004,0.499,0.27
Germany,DEU,2005,0.516,0.288
Germany,DEU,2006,0.511,0.285
Germany,DEU,2007,0.511,0.287
Germany,DEU,2008,0.503,0.286
Germany,DEU,2009,0.504,0.284
Germany,DEU,2010,0.505,0.286
Germany,DEU,2011,0.507,0.288
Germany,DEU,2012,0.51,0.29
Germany,DEU,2013,0.517,0.294
Germany,DEU,2014,0.506,0.288
Germany,DEU,2015,0.514,0.296
Germany,DEU,2016,0.51,0.295
Germany,DEU,2017,0.51,0.292
Germany,DEU,2018,0.515,0.299
Germany,DEU,2019,0.509,0.299
Germany,DEU,2020,0.506,0.302
Germany,DEU,1984,NA,0.255
Greece,GRC,2006,0.487,0.33
Greece,GRC,2007,0.486,0.321
Greece,GRC,2008,0.493,0.328
Greece,GRC,2009,0.486,0.321
Greece,GRC,2010,0.503,0.322
Greece,GRC,2011,0.528,0.323
Greece,GRC,2012,0.546,0.33
Greece,GRC,2013,0.552,0.342
Greece,GRC,2014,0.545,0.334
Greece,GRC,2015,0.55,0.339
Greece,GRC,2016,0.522,0.332
Greece,GRC,2017,0.516,0.32
Greece,GRC,2018,0.503,0.3
Greece,GRC,2019,0.503,0.307
Greece,GRC,2020,0.506,0.315
Greece,GRC,2021,0.488,0.308
Greece,GRC,1995,NA,0.35
Greece,GRC,2000,NA,0.337
Greece,GRC,2002,NA,0.342
Greece,GRC,2003,NA,0.321
Greece,GRC,2004,NA,0.33
Greece,GRC,2005,NA,0.341
Guatemala,GTM,2006,NA,0.489
Guatemala,GTM,2011,NA,0.518
Guatemala,GTM,2014,NA,0.411
Hungary,HUN,1991,NA,0.294
Hungary,HUN,1994,NA,0.327
Hungary,HUN,1999,NA,0.29
Hungary,HUN,2005,NA,0.288
Hungary,HUN,2007,NA,0.27
Hungary,HUN,2009,NA,0.271
Hungary,HUN,2012,NA,0.288
Hungary,HUN,2015,NA,0.268
Iceland,ISL,2003,0.333,0.252
Iceland,ISL,2004,0.336,0.261
Iceland,ISL,2005,0.354,0.289
Iceland,ISL,2006,0.365,0.307
Iceland,ISL,2007,0.356,0.298
Iceland,ISL,2008,0.364,0.314
Iceland,ISL,2009,0.356,0.276
Iceland,ISL,2010,0.362,0.261
Iceland,ISL,2011,0.364,0.25
Iceland,ISL,2012,0.357,0.261
Iceland,ISL,2013,0.342,0.249
Iceland,ISL,2014,0.36,0.274
Iceland,ISL,2015,0.341,0.261
Iceland,ISL,2016,0.338,0.265
Iceland,ISL,2017,0.326,0.251
India,IND,2004,NA,0.49
India,IND,2011,NA,0.501
Ireland,IRL,1987,0.504,0.329
Ireland,IRL,2002,0.465,0.307
Ireland,IRL,2003,0.498,0.324
Ireland,IRL,2004,0.509,0.324
Ireland,IRL,2005,0.509,0.323
Ireland,IRL,2006,0.51,0.316
Ireland,IRL,2007,0.512,0.303
Ireland,IRL,2008,0.537,0.295
Ireland,IRL,2009,0.577,0.311
Ireland,IRL,2010,0.577,0.298
Ireland,IRL,2011,0.569,0.305
Ireland,IRL,2012,0.581,0.308
Ireland,IRL,2013,0.574,0.31
Ireland,IRL,2014,0.549,0.297
Ireland,IRL,2015,0.544,0.298
Ireland,IRL,2016,0.542,0.309
Ireland,IRL,2017,0.535,0.294
Ireland,IRL,2018,0.519,0.289
Ireland,IRL,2019,0.505,0.287
Ireland,IRL,2020,0.51,0.282
Ireland,IRL,2021,0.514,0.29
Ireland,IRL,1994,NA,0.337
Ireland,IRL,1995,NA,0.343
Ireland,IRL,1996,NA,0.331
Ireland,IRL,2000,NA,0.314
Israel,ISR,1979,0.412,0.304
Israel,ISR,1986,0.453,0.31
Israel,ISR,1992,0.443,0.305
Israel,ISR,1997,0.479,0.337
Israel,ISR,2001,0.515,0.35
Israel,ISR,2002,0.519,0.358
Israel,ISR,2003,0.509,0.364
Israel,ISR,2004,0.502,0.372
Israel,ISR,2005,0.505,0.383
Israel,ISR,2006,0.497,0.375
Israel,ISR,2007,0.49,0.369
Israel,ISR,2008,0.495,0.377
Israel,ISR,2009,0.497,0.386
Israel,ISR,2010,0.5,0.384
Israel,ISR,2011,0.485,0.37
Israel,ISR,2012,0.475,0.371
Israel,ISR,2013,0.46,0.359
Israel,ISR,2014,0.456,0.361
Israel,ISR,2015,0.453,0.358
Israel,ISR,2016,0.445,0.346
Israel,ISR,2017,0.44,0.343
Israel,ISR,2018,0.441,0.341
Israel,ISR,2019,0.445,0.341
Israel,ISR,2020,0.475,0.338
Israel,ISR,2021,0.472,0.345
Italy,ITA,2014,0.544,0.331
Italy,ITA,2016,0.554,0.339
Italy,ITA,2020,0.563,0.335
Italy,ITA,1977,NA,0.321
Italy,ITA,1978,NA,0.319
Italy,ITA,1979,NA,0.323
Italy,ITA,1980,NA,0.311
Italy,ITA,1981,NA,0.296
Italy,ITA,1982,NA,0.28
Italy,ITA,1983,NA,0.289
Italy,ITA,1984,NA,0.296
Italy,ITA,1986,NA,0.295
Italy,ITA,1987,NA,0.329
Italy,ITA,1989,NA,0.299
Italy,ITA,1991,NA,0.29
Italy,ITA,1993,NA,0.339
Italy,ITA,1995,NA,0.34
Italy,ITA,1998,NA,0.348
Italy,ITA,2000,NA,0.334
Italy,ITA,2002,NA,0.33
Italy,ITA,2004,NA,0.332
Italy,ITA,2006,NA,0.325
Italy,ITA,2008,NA,0.326
Italy,ITA,2010,NA,0.323
Italy,ITA,2012,NA,0.333
Japan,JPN,2008,0.428,0.329
Japan,JPN,2009,0.408,0.307
Japan,JPN,2010,0.402,0.294
Japan,JPN,2011,0.423,0.308
Japan,JPN,2012,0.414,0.304
Japan,JPN,2013,0.413,0.297
Japan,JPN,2014,0.403,0.292
Japan,JPN,2015,0.407,0.288
Japan,JPN,2016,0.42,0.297
Japan,JPN,2017,0.42,0.298
Japan,JPN,2018,0.426,0.307
Japan,JPN,2019,0.424,0.309
Japan,JPN,2020,0.423,0.305
Lithuania,LTU,2009,0.525,0.362
Lithuania,LTU,2010,0.53,0.327
Lithuania,LTU,2011,0.509,0.321
Lithuania,LTU,2012,0.527,0.346
Lithuania,LTU,2013,0.51,0.35
Lithuania,LTU,2014,0.531,0.378
Lithuania,LTU,2015,0.514,0.369
Lithuania,LTU,2016,0.514,0.375
Lithuania,LTU,2017,0.51,0.371
Lithuania,LTU,2018,0.503,0.359
Lithuania,LTU,2019,0.496,0.354
Lithuania,LTU,2020,0.507,0.356
Lithuania,LTU,2021,0.518,0.366
Luxembourg,LUX,2002,0.453,0.269
Luxembourg,LUX,2003,0.451,0.265
Luxembourg,LUX,2004,0.453,0.262
Luxembourg,LUX,2005,0.462,0.278
Luxembourg,LUX,2006,0.459,0.274
Luxembourg,LUX,2007,0.455,0.273
Luxembourg,LUX,2008,0.481,0.29
Luxembourg,LUX,2009,0.473,0.281
Luxembourg,LUX,2010,0.462,0.268
Luxembourg,LUX,2011,0.475,0.273
Luxembourg,LUX,2012,0.495,0.294
Luxembourg,LUX,2013,0.477,0.279
Luxembourg,LUX,2014,0.473,0.278
Luxembourg,LUX,2015,0.457,0.287
Luxembourg,LUX,2016,0.47,0.289
Luxembourg,LUX,2017,0.489,0.303
Luxembourg,LUX,2018,0.485,0.312
Luxembourg,LUX,2019,0.488,0.3
Luxembourg,LUX,2021,0.434,0.288
Luxembourg,LUX,1985,NA,0.231
Luxembourg,LUX,1986,NA,0.245
Luxembourg,LUX,1987,NA,0.264
Luxembourg,LUX,1988,NA,0.26
Luxembourg,LUX,1989,NA,0.271
Luxembourg,LUX,1990,NA,0.247
Luxembourg,LUX,1991,NA,0.24
Luxembourg,LUX,1992,NA,0.243
Luxembourg,LUX,1993,NA,0.236
Luxembourg,LUX,1994,NA,0.255
Luxembourg,LUX,1995,NA,0.252
Luxembourg,LUX,1996,NA,0.256
Luxembourg,LUX,1997,NA,0.257
Luxembourg,LUX,1998,NA,0.266
Luxembourg,LUX,1999,NA,0.26
Luxembourg,LUX,2000,NA,0.257
Luxembourg,LUX,2001,NA,0.261
Luxembourg,LUX,2020,NA,0.279
Mali,MLI,2011,NA,0.459
Mali,MLI,2013,NA,0.439
Mali,MLI,2014,NA,0.353
Mali,MLI,2015,NA,0.347
Mali,MLI,2016,NA,0.352
Mali,MLI,2017,NA,0.336
Mali,MLI,2018,NA,0.339
Mali,MLI,2019,NA,0.368
Mali,MLI,2020,NA,0.365
Mexico,MEX,1984,NA,0.434
Mexico,MEX,1989,NA,0.469
Mexico,MEX,1992,NA,0.499
Mexico,MEX,1994,NA,0.504
Mexico,MEX,1996,NA,0.487
Mexico,MEX,1998,NA,0.505
Mexico,MEX,2000,NA,0.5
Mexico,MEX,2002,NA,0.475
Mexico,MEX,2004,NA,0.47
Mexico,MEX,2005,NA,0.468
Mexico,MEX,2006,NA,0.456
Mexico,MEX,2008,NA,0.476
Mexico,MEX,2010,NA,0.456
Mexico,MEX,2012,NA,0.467
Mexico,MEX,2014,NA,0.461
Mexico,MEX,2016,NA,0.434
Mexico,MEX,2018,NA,0.426
Mexico,MEX,2020,NA,0.418
Mexico,MEX,2022,NA,0.4
Netherlands,NLD,1983,0.454,0.255
Netherlands,NLD,1987,0.444,0.236
Netherlands,NLD,1990,0.41,0.271
Netherlands,NLD,1993,0.424,0.261
Netherlands,NLD,1999,0.374,0.232
Netherlands,NLD,2004,0.464,0.267
Netherlands,NLD,2005,0.474,0.265
Netherlands,NLD,2006,0.479,0.277
Netherlands,NLD,2007,0.417,0.276
Netherlands,NLD,2008,0.408,0.273
Netherlands,NLD,2009,0.398,0.258
Netherlands,NLD,2010,0.403,0.257
Netherlands,NLD,2011,0.4,0.258
Netherlands,NLD,2012,0.401,0.256
Netherlands,NLD,2013,0.416,0.264
Netherlands,NLD,2014,0.429,0.272
Netherlands,NLD,2015,0.423,0.272
Netherlands,NLD,2016,0.422,0.273
Netherlands,NLD,2017,0.425,0.276
Netherlands,NLD,2018,0.418,0.271
Netherlands,NLD,2019,0.427,0.287
Netherlands,NLD,2020,0.417,0.274
Netherlands,NLD,2021,0.413,0.27
Norway,NOR,1979,0.367,0.225
Norway,NOR,1986,0.354,0.235
Norway,NOR,1991,0.375,0.233
Norway,NOR,1995,0.403,0.241
Norway,NOR,2000,0.413,0.256
Norway,NOR,2004,0.452,0.261
Norway,NOR,2007,NA,0.246
Norway,NOR,2010,NA,0.247
Norway,NOR,2013,NA,0.252
Norway,NOR,2016,NA,0.26
Norway,NOR,2019,NA,0.259
Norway,NOR,2020,NA,0.262
Norway,NOR,2021,NA,0.278
Norway,NOR,2022,NA,0.26
Palestine,PSE,2017,NA,0.426
Palestine,PSE,2023,NA,0.49
Panama,PAN,2007,NA,0.483
Panama,PAN,2010,NA,0.477
Panama,PAN,2013,NA,0.468
Panama,PAN,2016,NA,0.461
Paraguay,PRY,1997,NA,0.54
Paraguay,PRY,1999,NA,0.529
Paraguay,PRY,2000,NA,0.539
Paraguay,PRY,2002,NA,0.556
Paraguay,PRY,2003,NA,0.539
Paraguay,PRY,2004,NA,0.51
Paraguay,PRY,2005,NA,0.503
Paraguay,PRY,2006,NA,0.505
Paraguay,PRY,2007,NA,0.504
Paraguay,PRY,2008,NA,0.488
Paraguay,PRY,2009,NA,0.487
Paraguay,PRY,2010,NA,0.502
Paraguay,PRY,2011,NA,0.521
Paraguay,PRY,2012,NA,0.471
Paraguay,PRY,2013,NA,0.479
Paraguay,PRY,2014,NA,0.504
Paraguay,PRY,2015,NA,0.484
Paraguay,PRY,2016,NA,0.489
Paraguay,PRY,2017,NA,0.479
Paraguay,PRY,2018,NA,0.46
Paraguay,PRY,2019,NA,0.457
Paraguay,PRY,2020,NA,0.443
Peru,PER,2004,NA,0.539
Peru,PER,2005,NA,0.524
Peru,PER,2006,NA,0.51
Peru,PER,2007,NA,0.51
Peru,PER,2008,NA,0.492
Peru,PER,2009,NA,0.486
Peru,PER,2010,NA,0.48
Peru,PER,2011,NA,0.469
Peru,PER,2012,NA,0.466
Peru,PER,2013,NA,0.457
Peru,PER,2014,NA,0.45
Peru,PER,2015,NA,0.451
Peru,PER,2016,NA,0.453
Peru,PER,2017,NA,0.444
Peru,PER,2018,NA,0.443
Peru,PER,2019,NA,0.436
Peru,PER,2021,NA,0.436
Poland,POL,1986,NA,0.271
Poland,POL,1992,NA,0.262
Poland,POL,1995,NA,0.32
Poland,POL,1999,NA,0.287
Poland,POL,2004,NA,0.316
Poland,POL,2005,NA,0.313
Poland,POL,2006,NA,0.309
Poland,POL,2007,NA,0.311
Poland,POL,2008,NA,0.31
Poland,POL,2009,NA,0.31
Poland,POL,2010,NA,0.31
Poland,POL,2011,NA,0.312
Poland,POL,2012,NA,0.314
Poland,POL,2013,NA,0.315
Poland,POL,2014,NA,0.31
Poland,POL,2015,NA,0.303
Poland,POL,2016,NA,0.286
Poland,POL,2017,NA,0.283
Poland,POL,2018,NA,0.287
Poland,POL,2019,NA,0.285
Poland,POL,2020,NA,0.289
Poland,POL,2021,NA,0.298
Poland,POL,2022,NA,0.298
Poland,POL,2023,NA,0.289
Romania,ROU,2019,0.478,0.313
Romania,ROU,2020,0.484,0.32
Romania,ROU,2021,0.463,0.295
Romania,ROU,1995,NA,0.28
Romania,ROU,1997,NA,0.28
Romania,ROU,2006,NA,0.34
Romania,ROU,2007,NA,0.317
Romania,ROU,2008,NA,0.307
Romania,ROU,2009,NA,0.302
Romania,ROU,2010,NA,0.305
Romania,ROU,2011,NA,0.309
Romania,ROU,2012,NA,0.307
Romania,ROU,2013,NA,0.31
Romania,ROU,2014,NA,0.315
Romania,ROU,2015,NA,0.313
Romania,ROU,2016,NA,0.305
Romania,ROU,2017,NA,0.326
Romania,ROU,2018,NA,0.325
Russia,RUS,2000,NA,0.427
Russia,RUS,2004,NA,0.39
Russia,RUS,2007,NA,0.348
Russia,RUS,2010,NA,0.342
Russia,RUS,2011,NA,0.364
Russia,RUS,2013,NA,0.351
Russia,RUS,2014,NA,0.34
Russia,RUS,2015,NA,0.331
Russia,RUS,2016,NA,0.332
Russia,RUS,2017,NA,0.318
Russia,RUS,2018,NA,0.321
Russia,RUS,2019,NA,0.323
Russia,RUS,2020,NA,0.302
Russia,RUS,2021,NA,0.313
Serbia,SRB,2006,NA,0.343
Serbia,SRB,2007,NA,0.349
Serbia,SRB,2008,NA,0.331
Serbia,SRB,2009,NA,0.328
Serbia,SRB,2010,NA,0.327
Serbia,SRB,2011,NA,0.323
Serbia,SRB,2012,NA,0.33
Serbia,SRB,2013,NA,0.344
Serbia,SRB,2014,NA,0.343
Serbia,SRB,2015,NA,0.33
Serbia,SRB,2016,NA,0.327
Serbia,SRB,2017,NA,0.309
Serbia,SRB,2018,NA,0.334
Serbia,SRB,2019,NA,0.3
Serbia,SRB,2021,NA,0.317
Serbia,SRB,2022,NA,0.311
Slovakia,SVK,2004,0.453,0.269
Slovakia,SVK,2007,0.414,0.248
Slovakia,SVK,2010,0.43,0.264
Slovakia,SVK,2013,0.429,0.271
Slovakia,SVK,2014,0.396,0.246
Slovakia,SVK,2015,0.401,0.25
Slovakia,SVK,2016,0.393,0.233
Slovakia,SVK,2017,0.378,0.219
Slovakia,SVK,2018,0.387,0.236
Slovakia,SVK,1992,NA,0.189
Slovakia,SVK,1996,NA,0.25
Slovenia,SVN,1997,NA,0.229
Slovenia,SVN,1999,NA,0.232
Slovenia,SVN,2004,NA,0.231
Slovenia,SVN,2007,NA,0.23
Slovenia,SVN,2010,NA,0.253
Slovenia,SVN,2012,NA,0.271
Slovenia,SVN,2015,NA,0.263
South Africa,ZAF,2008,0.754,0.658
South Africa,ZAF,2010,0.754,0.664
South Africa,ZAF,2012,0.723,0.621
South Africa,ZAF,2015,0.717,0.623
South Africa,ZAF,2017,0.706,0.616
South Korea,KOR,2006,NA,0.306
South Korea,KOR,2008,NA,0.314
South Korea,KOR,2010,NA,0.31
South Korea,KOR,2012,NA,0.307
South Korea,KOR,2014,NA,0.302
South Korea,KOR,2016,NA,0.354
