response_id,term,probability,order
5171,About Even,55,8
5171,Little Chance,40,9
5171,May Happen,50,10
5171,Highly Likely,85,11
5171,Unlikely,30,12
5171,Improbable,30,13
5171,Remote Chance,20,14
5171,Realistic Possibility,90,15
5171,Might Happen,50,16
5171,Chances are Slight,20,17
5171,Highly Unlikely,20,18
5171,Could Happen,45,19
5170,Chances are Slight,15,1
5170,Little Chance,10,2
5170,Improbable,10,3
5170,Probable,70,4
5170,Could Happen,70,5
5170,Remote Chance,2,6
5170,Highly Unlikely,2,7
5170,Likely,80,8
5170,Almost No Chance,2,9
5170,Will Happen,100,10
5170,Highly Likely,90,11
5170,Realistic Possibility,70,12
5170,About Even,50,13
5170,May Happen,50,14
5170,Very Good Chance,80,15
5170,Might Happen,60,16
5170,Almost Certain,99,17
5170,Better than Even,60,18
5170,Unlikely,20,19
5169,Chances are Slight,15,1
5169,Little Chance,10,2
5169,Improbable,10,3
5169,Probable,70,4
5169,Could Happen,70,5
5169,Remote Chance,2,6
5169,Highly Unlikely,2,7
5169,Likely,80,8
5169,Almost No Chance,2,9
5169,Will Happen,100,10
5169,Highly Likely,90,11
5169,Realistic Possibility,70,12
5169,About Even,50,13
5169,May Happen,50,14
5169,Very Good Chance,80,15
5169,Might Happen,60,16
5169,Almost Certain,99,17
5169,Better than Even,60,18
5169,Unlikely,20,19
5168,Very Good Chance,80,1
5168,Chances are Slight,10,2
5168,Better than Even,51,3
5168,Realistic Possibility,50,4
5168,Might Happen,30,5
5168,Almost Certain,95,6
5168,Almost No Chance,1,7
5168,Highly Likely,80,8
5168,Improbable,5,9
5168,Remote Chance,5,10
5168,Likely,70,11
5168,About Even,49,12
5168,Could Happen,25,13
5168,May Happen,30,14
5168,Little Chance,10,15
5168,Probable,80,16
5168,Unlikely,10,17
5168,Will Happen,75,18
5168,Highly Unlikely,1,19
5167,About Even,50,1
5167,Highly Unlikely,5,2
5167,Almost Certain,90,3
5167,Realistic Possibility,75,4
5167,Remote Chance,10,5
5167,Unlikely,25,6
5167,May Happen,25,7
5167,Probable,75,8
5167,Likely,75,9
5167,Might Happen,50,10
5167,Will Happen,100,11
5167,Almost No Chance,5,12
5167,Improbable,5,13
5167,Very Good Chance,75,14
5167,Chances are Slight,10,15
5167,Highly Likely,75,16
5167,Little Chance,25,17
5167,Better than Even,75,18
5167,Could Happen,25,19
5166,Probable,80,1
5166,About Even,50,2
5166,Little Chance,10,3
5166,Better than Even,65,4
5166,Highly Unlikely,10,5
5166,Will Happen,95,6
5166,Almost Certain,99,7
5166,Chances are Slight,5,8
5166,Likely,75,9
5166,Could Happen,30,10
5166,Remote Chance,20,11
5166,Almost No Chance,20,12
5166,Realistic Possibility,55,13
5166,Might Happen,45,14
5166,Unlikely,35,15
5166,Very Good Chance,65,16
5166,Highly Likely,15,17
5166,Improbable,30,18
5166,May Happen,35,19
5165,Almost No Chance,2,1
5165,Realistic Possibility,75,2
5165,Improbable,10,3
5165,Will Happen,100,4
5165,Almost Certain,90,5
5165,Very Good Chance,80,6
5165,Could Happen,70,7
5165,Better than Even,60,8
5165,Unlikely,40,9
5165,Little Chance,30,10
5165,Remote Chance,20,11
5165,Highly Unlikely,10,12
5165,Highly Likely,90,13
5165,Likely,80,14
5165,Chances are Slight,55,15
5165,Probable,75,16
5165,About Even,51,17
5165,Might Happen,60,18
5165,May Happen,60,19
5164,Little Chance,45,1
5164,Unlikely,30,2
5164,Realistic Possibility,65,3
5164,About Even,52,4
5164,Might Happen,65,5
5164,Very Good Chance,70,6
5164,Better than Even,60,7
5164,Almost Certain,85,8
5164,May Happen,80,9
5164,Remote Chance,62,10
5164,Probable,80,11
5164,Likely,90,12
5164,Could Happen,75,13
5164,Almost No Chance,52,14
5164,Highly Likely,90,15
5164,Highly Unlikely,51,16
5164,Will Happen,95,17
5164,Improbable,56,18
5164,Chances are Slight,62,19
5163,Might Happen,30,1
5163,Could Happen,40,2
5163,Better than Even,60,3
5163,Remote Chance,20,4
5163,Little Chance,10,5
5163,Will Happen,100,6
5163,Improbable,5,7
5163,May Happen,30,8
5163,Highly Likely,90,9
5163,Highly Unlikely,10,10
5163,Realistic Possibility,85,11
5163,Unlikely,15,12
5163,Likely,75,13
5163,Very Good Chance,80,14
5163,Almost Certain,99,15
5163,Probable,98,16
5163,Chances are Slight,2,17
5163,About Even,50,18
5163,Almost No Chance,1,19
5162,Might Happen,10,1
5162,Remote Chance,1,2
5162,Probable,100,3
5162,Very Good Chance,100,4
5162,Highly Likely,100,5
5162,About Even,50,6
5162,Highly Unlikely,1,7
5162,Realistic Possibility,90,8
5162,Almost Certain,99,9
5162,Better than Even,75,10
5162,Will Happen,100,11
5162,Almost No Chance,1,12
5162,Likely,80,13
5162,May Happen,50,14
5162,Improbable,1,15
5162,Little Chance,10,16
5162,Could Happen,50,17
5162,Unlikely,1,18
5162,Chances are Slight,10,19
5161,About Even,50,1
5161,Likely,80,2
5161,Unlikely,20,3
5161,Will Happen,100,4
5161,Almost Certain,95,5
5161,May Happen,50,6
5161,Remote Chance,10,7
5161,Chances are Slight,10,8
5161,Very Good Chance,90,9
5161,Improbable,5,10
5161,Highly Likely,90,11
5161,Realistic Possibility,70,12
5161,Might Happen,60,13
5161,Probable,70,14
5161,Could Happen,60,15
5161,Almost No Chance,5,16
5161,Better than Even,60,17
5161,Highly Unlikely,10,18
5161,Little Chance,15,19
5160,Will Happen,100,1
5160,Better than Even,66,2
5160,May Happen,50,3
5160,Highly Likely,80,4
5160,Probable,75,5
5160,Almost Certain,95,6
5160,Could Happen,30,7
5160,Improbable,3,8
5160,Chances are Slight,5,9
5160,Unlikely,10,10
5160,Highly Unlikely,10,11
5160,About Even,50,12
5160,Realistic Possibility,40,13
5160,Remote Chance,25,14
5160,Little Chance,10,15
5160,Likely,75,16
5160,Very Good Chance,85,17
5160,Almost No Chance,90,18
5160,Might Happen,60,19
5159,Chances are Slight,15,1
5159,About Even,50,2
5159,Probable,70,3
5159,Highly Likely,90,4
5159,Remote Chance,5,5
5159,Will Happen,100,6
5159,Little Chance,20,7
5159,Almost Certain,90,8
5159,Improbable,20,9
5159,Better than Even,60,10
5159,Realistic Possibility,30,11
5159,Could Happen,30,12
5159,Unlikely,30,13
5159,Almost No Chance,5,14
5159,Might Happen,30,15
5159,May Happen,30,16
5159,Highly Unlikely,10,17
5159,Likely,70,18
5159,Very Good Chance,60,19
5158,Will Happen,90,1
5158,May Happen,25,2
5158,Could Happen,40,3
5158,Chances are Slight,10,4
5158,Probable,75,5
5158,Improbable,5,6
5158,Unlikely,5,7
5158,Highly Likely,90,8
5158,Likely,75,9
5158,Very Good Chance,75,10
5158,Highly Unlikely,0,11
5158,Little Chance,5,12
5158,About Even,40,13
5158,Remote Chance,5,14
5158,Better than Even,50,15
5158,Almost No Chance,5,16
5158,Might Happen,10,17
5158,Almost Certain,90,18
5158,Realistic Possibility,75,19
5157,Highly Likely,85,1
5157,About Even,50,2
5157,Very Good Chance,70,3
5157,Unlikely,25,4
5157,Probable,60,5
5157,Will Happen,100,6
5157,Little Chance,10,7
5157,Likely,75,8
5157,Improbable,20,9
5157,Better than Even,60,10
5157,Almost No Chance,5,11
5157,Highly Unlikely,10,12
5157,Almost Certain,95,13
5157,Could Happen,25,14
5157,Might Happen,37,15
5157,Chances are Slight,5,16
5157,May Happen,50,17
5157,Realistic Possibility,75,18
5157,Remote Chance,10,19
5156,Better than Even,60,1
5156,Highly Likely,90,2
5156,Probable,95,3
5156,Might Happen,50,4
5156,Unlikely,10,5
5156,Highly Unlikely,1,6
5156,May Happen,50,7
5156,Chances are Slight,10,8
5156,Remote Chance,10,9
5156,Will Happen,100,10
5156,Little Chance,40,11
5156,Almost Certain,75,12
5156,Could Happen,50,13
5156,Likely,80,14
5156,Very Good Chance,60,15
5156,Improbable,5,16
5156,Realistic Possibility,50,17
5156,About Even,50,18
5156,Almost No Chance,10,19
5155,Probable,67,1
5155,Highly Likely,85,2
5155,Little Chance,20,3
5155,Might Happen,33,4
5155,Will Happen,97,5
5155,Better than Even,51,6
5155,May Happen,33,7
5155,Almost No Chance,5,8
5155,Very Good Chance,75,9
5155,Could Happen,40,10
5155,About Even,50,11
5155,Chances are Slight,7,12
5155,Highly Unlikely,5,13
5155,Almost Certain,90,14
5155,Likely,66,15
5155,Improbable,10,16
5155,Remote Chance,5,17
5155,Realistic Possibility,40,18
5155,Unlikely,20,19
5154,Could Happen,50,1
5154,Likely,70,2
5154,Very Good Chance,90,3
5154,Highly Unlikely,20,4
5154,Improbable,5,5
5154,Probable,90,6
5154,About Even,50,7
5154,Almost Certain,90,8
5154,Almost No Chance,5,9
5154,Chances are Slight,20,10
5154,Realistic Possibility,50,11
5154,Better than Even,60,12
5154,May Happen,50,13
5154,Will Happen,100,14
5154,Might Happen,50,15
5154,Little Chance,20,16
5154,Highly Likely,70,17
5154,Unlikely,30,18
5154,Remote Chance,10,19
5153,Remote Chance,5,1
5153,Highly Likely,80,2
5153,Improbable,10,3
5153,Might Happen,20,4
5153,Likely,60,5
5153,Realistic Possibility,70,6
5153,Chances are Slight,20,7
5153,Highly Unlikely,5,8
5153,Could Happen,20,9
5153,Probable,50,10
5153,Almost No Chance,5,11
5153,May Happen,30,12
5153,Very Good Chance,70,13
5153,Little Chance,5,14
5153,Unlikely,10,15
5153,Better than Even,55,16
5153,Almost Certain,90,17
5153,Will Happen,95,18
5153,About Even,50,19
5152,Highly Unlikely,5,1
5152,Highly Likely,95,2
5152,Chances are Slight,5,3
5152,Little Chance,10,4
5152,Unlikely,20,5
5152,Improbable,20,6
5152,Could Happen,25,7
5152,Probable,80,8
5152,Might Happen,33,9
5152,Almost No Chance,1,10
5152,Realistic Possibility,40,11
5152,Remote Chance,5,12
5152,Likely,75,13
5152,Will Happen,100,14
5152,Very Good Chance,70,15
5152,Better than Even,55,16
5152,Almost Certain,95,17
5152,May Happen,20,18
5152,About Even,50,19
5151,Might Happen,30,1
5151,Probable,70,2
5151,Realistic Possibility,80,3
5151,Almost Certain,96,4
5151,May Happen,25,5
5151,Will Happen,100,6
5151,Could Happen,30,7
5151,Remote Chance,5,8
5151,Improbable,10,9
5151,Almost No Chance,1,10
5151,Better than Even,60,11
5151,Very Good Chance,80,12
5151,Unlikely,25,13
5151,About Even,50,14
5151,Chances are Slight,5,15
5151,Highly Likely,80,16
5151,Likely,70,17
5151,Little Chance,5,18
5151,Highly Unlikely,10,19
5150,Probable,50,1
5150,Will Happen,80,2
5150,Realistic Possibility,50,3
5150,About Even,90,4
5150,Improbable,90,5
5150,Remote Chance,40,6
5150,Might Happen,80,7
5150,Likely,90,8
5150,Highly Unlikely,100,9
5150,Chances are Slight,20,10
5150,Could Happen,20,11
5150,Very Good Chance,60,12
5150,Almost No Chance,70,13
5150,Better than Even,60,14
5150,May Happen,30,15
5150,Highly Likely,90,16
5150,Unlikely,60,17
5150,Little Chance,80,18
5150,Almost Certain,90,19
5149,May Happen,50,1
5149,Better than Even,60,2
5149,Realistic Possibility,75,3
5149,Unlikely,5,4
5149,Little Chance,2,5
5149,Almost No Chance,1,6
5149,Almost Certain,90,7
5149,Likely,80,8
5149,Chances are Slight,10,9
5149,Improbable,1,10
5149,Will Happen,95,11
5149,Very Good Chance,85,12
5149,Probable,75,13
5149,Highly Unlikely,10,14
5149,Might Happen,50,15
5149,About Even,50,16
5149,Remote Chance,5,17
5149,Highly Likely,90,18
5149,Could Happen,60,19
5148,Likely,80,1
5148,Could Happen,50,2
5148,Highly Unlikely,10,3
5148,Highly Likely,95,4
5148,Better than Even,60,5
5148,Very Good Chance,70,6
5148,Remote Chance,20,7
5148,Little Chance,20,8
5148,Improbable,10,9
5148,Unlikely,30,10
5148,Might Happen,60,11
5148,May Happen,45,12
5148,Almost Certain,95,13
5148,Probable,70,14
5148,Almost No Chance,5,15
5148,About Even,50,16
5148,Chances are Slight,15,17
5148,Realistic Possibility,70,18
5148,Will Happen,85,19
5147,Almost Certain,95,1
5147,Improbable,15,2
5147,Little Chance,5,3
5147,Likely,75,4
5147,Unlikely,15,5
5147,About Even,50,6
5147,Very Good Chance,85,7
5147,Will Happen,99,8
5147,Remote Chance,20,9
5147,Highly Likely,75,10
5147,Realistic Possibility,60,11
5147,Highly Unlikely,5,12
5147,Chances are Slight,5,13
5147,Better than Even,60,14
5147,Almost No Chance,2,15
5147,Could Happen,35,16
5147,May Happen,35,17
5147,Probable,65,18
5147,Might Happen,35,19
5146,About Even,49,1
5146,Realistic Possibility,85,2
5146,Unlikely,10,3
5146,Will Happen,100,4
5146,Likely,80,5
5146,Chances are Slight,20,6
5146,May Happen,60,7
5146,Very Good Chance,75,8
5146,Highly Unlikely,1,9
5146,Remote Chance,5,10
5146,Almost Certain,97,11
5146,Could Happen,70,12
5146,Highly Likely,80,13
5146,Better than Even,55,14
5146,Improbable,1,15
5146,Might Happen,65,16
5146,Probable,70,17
5146,Almost No Chance,5,18
5146,Little Chance,20,19
5145,Better than Even,60,1
5145,Highly Likely,80,2
5145,Probable,75,3
5145,Might Happen,50,4
5145,Unlikely,25,5
5145,Highly Unlikely,5,6
5145,May Happen,15,7
5145,Chances are Slight,25,8
5145,Remote Chance,10,9
5145,Will Happen,100,10
5145,Little Chance,15,11
5145,Almost Certain,99,12
5145,Could Happen,50,13
5145,Likely,75,14
5145,Very Good Chance,90,15
5145,Improbable,1,16
5145,Realistic Possibility,60,17
5145,About Even,50,18
5145,Almost No Chance,1,19
5144,Highly Likely,90,1
5144,Almost No Chance,5,2
5144,Probable,75,3
5144,Remote Chance,10,4
5144,About Even,50,5
5144,May Happen,50,6
5144,Very Good Chance,95,7
5144,Might Happen,25,8
5144,Almost Certain,95,9
5144,Better than Even,60,10
5144,Likely,80,11
5144,Unlikely,20,12
5144,Improbable,5,13
5144,Chances are Slight,5,14
5144,Highly Unlikely,1,15
5144,Realistic Possibility,75,16
5144,Will Happen,100,17
5144,Little Chance,10,18
5144,Could Happen,50,19
5143,Improbable,5,1
5143,About Even,50,2
5143,Very Good Chance,90,3
5143,Could Happen,65,4
5143,May Happen,70,5
5143,Realistic Possibility,65,6
5143,Might Happen,65,7
5143,Probable,80,8
5143,Better than Even,65,9
5143,Little Chance,10,10
5143,Almost No Chance,5,11
5143,Highly Unlikely,2,12
5143,Unlikely,5,13
5143,Likely,90,14
5143,Chances are Slight,15,15
5143,Almost Certain,95,16
5143,Will Happen,100,17
5143,Highly Likely,90,18
5143,Remote Chance,35,19
5142,Chances are Slight,25,1
5142,Could Happen,50,2
5142,Very Good Chance,90,3
5142,About Even,50,4
5142,Probable,70,5
5142,May Happen,70,6
5142,Might Happen,70,7
5142,Improbable,20,8
5142,Will Happen,100,9
5142,Remote Chance,1,10
5142,Unlikely,20,11
5142,Likely,80,12
5142,Realistic Possibility,60,13
5142,Highly Unlikely,10,14
5142,Better than Even,60,15
5142,Little Chance,20,16
5142,Highly Likely,90,17
5142,Almost Certain,95,18
5142,Almost No Chance,0,19
5141,Almost No Chance,10,1
5141,Likely,70,2
5141,About Even,50,3
5141,Improbable,30,4
5141,Almost Certain,80,5
5141,Will Happen,95,6
5141,Remote Chance,20,7
5141,Chances are Slight,25,8
5141,Probable,60,9
5141,May Happen,50,10
5141,Might Happen,30,11
5141,Unlikely,25,12
5141,Realistic Possibility,55,13
5141,Highly Unlikely,15,14
5141,Highly Likely,85,15
5141,Little Chance,10,16
5141,Could Happen,60,17
5141,Better than Even,60,18
5141,Very Good Chance,80,19
5140,Little Chance,8,1
5140,Unlikely,15,2
5140,Probable,64,3
5140,Might Happen,25,4
5140,Realistic Possibility,75,5
5140,Almost No Chance,5,6
5140,Could Happen,40,7
5140,Highly Likely,90,8
5140,Likely,60,9
5140,About Even,50,10
5140,Very Good Chance,80,11
5140,Better than Even,60,12
5140,Almost Certain,99,13
5140,Remote Chance,1,14
5140,Will Happen,100,15
5140,Highly Unlikely,3,16
5140,Chances are Slight,11,17
5140,May Happen,20,18
5140,Improbable,15,19
5139,Improbable,1,1
5139,Might Happen,10,2
5139,Unlikely,10,3
5139,Almost Certain,95,4
5139,Likely,60,5
5139,Very Good Chance,75,6
5139,Could Happen,5,7
5139,Almost No Chance,1,8
5139,May Happen,20,9
5139,Better than Even,55,10
5139,Realistic Possibility,20,11
5139,Highly Unlikely,1,12
5139,About Even,50,13
5139,Chances are Slight,5,14
5139,Remote Chance,1,15
5139,Will Happen,99,16
5139,Little Chance,3,17
5139,Probable,70,18
5139,Highly Likely,80,19
5138,Improbable,5,1
5138,Chances are Slight,2,2
5138,Remote Chance,1,3
5138,Might Happen,33,4
5138,Almost Certain,95,5
5138,May Happen,40,6
5138,Highly Likely,90,7
5138,Likely,75,8
5138,Unlikely,20,9
5138,Will Happen,100,10
5138,Very Good Chance,80,11
5138,Could Happen,40,12
5138,Better than Even,65,13
5138,Little Chance,10,14
5138,Realistic Possibility,85,15
5138,Probable,90,16
5138,Almost No Chance,1,17
5138,About Even,50,18
5138,Highly Unlikely,2,19
5137,Might Happen,10,1
5137,Better than Even,60,2
5137,Could Happen,20,3
5137,Highly Unlikely,5,4
5137,Improbable,3,5
5137,Highly Likely,80,6
5137,Probable,60,7
5137,About Even,50,8
5137,Little Chance,5,9
5137,Unlikely,3,10
5137,Remote Chance,1,11
5137,Chances are Slight,5,12
5137,May Happen,10,13
5137,Almost No Chance,1,14
5137,Likely,60,15
5137,Almost Certain,80,16
5137,Very Good Chance,60,17
5137,Realistic Possibility,60,18
5137,Will Happen,95,19
5136,Unlikely,49,1
5136,Remote Chance,10,2
5136,Highly Likely,80,3
5136,Will Happen,90,4
5136,Better than Even,51,5
5136,Could Happen,40,6
5136,Very Good Chance,60,7
5136,Might Happen,40,8
5136,Chances are Slight,20,9
5136,Little Chance,20,10
5136,Improbable,49,11
5136,Highly Unlikely,20,12
5136,Likely,60,13
5136,Realistic Possibility,55,14
5136,May Happen,40,15
5136,Probable,51,16
5136,About Even,51,17
5136,Almost Certain,80,18
5136,Almost No Chance,5,19
5135,Better than Even,51,1
5135,May Happen,35,2
5135,Probable,75,3
5135,Chances are Slight,12,4
5135,About Even,50,5
5135,Improbable,18,6
5135,Realistic Possibility,65,7
5135,Remote Chance,15,8
5135,Could Happen,35,9
5135,Little Chance,8,10
5135,Might Happen,15,11
5135,Highly Unlikely,5,12
5135,Likely,85,13
5135,Highly Likely,90,14
5135,Very Good Chance,75,15
5135,Almost No Chance,15,16
5135,Almost Certain,95,17
5135,Will Happen,100,18
5135,Unlikely,25,19
5134,Probable,50,1
5134,Will Happen,100,2
5134,Realistic Possibility,25,3
5134,About Even,50,4
5134,Improbable,10,5
5134,Remote Chance,5,6
5134,Might Happen,40,7
5134,Likely,75,8
5134,Highly Unlikely,1,9
5134,Chances are Slight,15,10
5134,Could Happen,35,11
5134,Very Good Chance,75,12
5134,Almost No Chance,1,13
5134,Better than Even,75,14
5134,May Happen,75,15
5134,Highly Likely,75,16
5134,Unlikely,25,17
5134,Little Chance,20,18
5134,Almost Certain,90,19
5133,Better than Even,60,1
5133,Highly Likely,90,2
5133,Probable,55,3
5133,Might Happen,45,4
5133,Unlikely,20,5
5133,Highly Unlikely,10,6
5133,May Happen,60,7
5133,Chances are Slight,20,8
5133,Remote Chance,20,9
5133,Will Happen,100,10
5133,Little Chance,10,11
5133,Almost Certain,95,12
5133,Could Happen,55,13
5133,Likely,75,14
5133,Very Good Chance,85,15
5133,Improbable,10,16
5133,Realistic Possibility,75,17
5133,About Even,51,18
5133,Almost No Chance,5,19
5132,Improbable,10,1
5132,About Even,50,2
5132,Very Good Chance,70,3
5132,Could Happen,30,4
5132,May Happen,20,5
5132,Realistic Possibility,60,6
5132,Might Happen,50,7
5132,Probable,90,8
5132,Better than Even,60,9
5132,Little Chance,20,10
5132,Almost No Chance,10,11
5132,Highly Unlikely,10,12
5132,Unlikely,20,13
5132,Likely,80,14
5132,Chances are Slight,5,15
5132,Almost Certain,80,16
5132,Will Happen,90,17
5132,Highly Likely,80,18
5132,Remote Chance,10,19
5131,Remote Chance,5,1
5131,May Happen,50,2
5131,Almost No Chance,1,3
5131,Probable,75,4
5131,Will Happen,100,5
5131,Likely,75,6
5131,Unlikely,25,7
5131,Little Chance,10,8
5131,Improbable,10,9
5131,Chances are Slight,5,10
5131,Could Happen,50,11
5131,About Even,55,12
5131,Realistic Possibility,80,13
5131,Highly Likely,90,14
5131,Almost Certain,99,15
5131,Might Happen,45,16
5131,Better than Even,60,17
5131,Highly Unlikely,10,18
5131,Very Good Chance,80,19
5130,Will Happen,95,1
5130,Almost No Chance,3,2
5130,Almost Certain,85,3
5130,Improbable,30,4
5130,Realistic Possibility,40,5
5130,Probable,75,6
5130,Likely,82,7
5130,May Happen,40,8
5130,Little Chance,20,9
5130,Unlikely,10,10
5130,About Even,50,11
5130,Remote Chance,10,12
5130,Could Happen,40,13
5130,Better than Even,60,14
5130,Chances are Slight,10,15
5130,Highly Likely,88,16
5130,Highly Unlikely,10,17
5130,Very Good Chance,70,18
5130,Might Happen,50,19
5129,Highly Likely,80,1
5129,Likely,50,2
5129,Probable,50,3
5129,Better than Even,60,4
5129,About Even,50,5
5129,Almost Certain,90,6
5129,Very Good Chance,80,7
5129,Improbable,20,8
5129,May Happen,40,9
5129,Little Chance,10,10
5129,Will Happen,95,11
5129,Might Happen,40,12
5129,Realistic Possibility,70,13
5129,Highly Unlikely,5,14
5129,Could Happen,20,15
5129,Remote Chance,5,16
5129,Chances are Slight,5,17
5129,Almost No Chance,5,18
5129,Unlikely,20,19
5128,Will Happen,100,1
5128,May Happen,50,2
5128,Might Happen,50,3
5128,Likely,75,4
5128,Better than Even,75,5
5128,Highly Likely,90,6
5128,Almost Certain,95,7
5128,About Even,50,8
5128,Could Happen,10,9
5128,Chances are Slight,5,10
5128,Very Good Chance,95,11
5128,Remote Chance,5,12
5128,Little Chance,5,13
5128,Highly Unlikely,1,14
5128,Realistic Possibility,25,15
5128,Probable,50,16
5128,Almost No Chance,1,17
5128,Improbable,0,18
5128,Unlikely,1,19
5127,Improbable,0,1
5127,About Even,50,2
5127,Very Good Chance,75,3
5127,Could Happen,50,4
5127,May Happen,60,5
5127,Realistic Possibility,80,6
5127,Might Happen,60,7
5127,Probable,80,8
5127,Better than Even,70,9
5127,Little Chance,20,10
5127,Almost No Chance,5,11
5127,Highly Unlikely,10,12
5127,Unlikely,0,13
5127,Likely,60,14
5127,Chances are Slight,15,15
5127,Almost Certain,85,16
5127,Will Happen,100,17
5127,Highly Likely,90,18
5127,Remote Chance,5,19
5126,May Happen,70,1
5126,About Even,49,2
5126,Will Happen,95,3
5126,Remote Chance,5,4
5126,Could Happen,15,5
5126,Almost Certain,89,6
5126,Improbable,2,7
5126,Probable,75,8
5126,Almost No Chance,1,9
5126,Better than Even,60,10
5126,Chances are Slight,12,11
5126,Highly Likely,82,12
5126,Unlikely,3,13
5126,Realistic Possibility,94,14
5126,Likely,97,15
5126,Might Happen,52,16
5126,Highly Unlikely,24,17
5126,Little Chance,11,18
5126,Very Good Chance,89,19
5125,Realistic Possibility,75,1
5125,About Even,50,2
5125,Improbable,10,3
5125,Better than Even,60,4
5125,Almost No Chance,3,5
5125,Almost Certain,95,6
5125,Will Happen,100,7
5125,Could Happen,40,8
5125,Very Good Chance,85,9
5125,Highly Likely,90,10
5125,Might Happen,60,11
5125,Chances are Slight,20,12
5125,May Happen,35,13
5125,Highly Unlikely,10,14
5125,Likely,80,15
5125,Unlikely,20,16
5125,Probable,85,17
5125,Remote Chance,15,18
5125,Little Chance,10,19
5124,Unlikely,15,1
5124,Highly Likely,90,2
5124,Highly Unlikely,10,3
5124,Chances are Slight,10,4
5124,Improbable,10,5
5124,Better than Even,60,6
5124,Very Good Chance,90,7
5124,Will Happen,95,8
5124,Realistic Possibility,80,9
5124,Might Happen,60,10
5124,Almost No Chance,5,11
5124,Probable,80,12
5124,Likely,80,13
5124,Almost Certain,90,14
5124,May Happen,60,15
5124,Little Chance,10,16
5124,Could Happen,70,17
5124,About Even,50,18
5124,Remote Chance,10,19
5123,About Even,50,1
5123,Little Chance,10,2
5123,Very Good Chance,85,3
5123,Improbable,5,4
5123,Could Happen,30,5
5123,Chances are Slight,25,6
5123,Realistic Possibility,80,7
5123,Likely,85,8
5123,Highly Likely,90,9
5123,Unlikely,10,10
5123,Might Happen,75,11
5123,Highly Unlikely,10,12
5123,May Happen,60,13
5123,Almost Certain,95,14
5123,Almost No Chance,2,15
5123,Probable,70,16
5123,Better than Even,55,17
5123,Remote Chance,35,18
5123,Will Happen,100,19
