number,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore
39,Guilty Gear X2 #Reload,"Jul 23, 2004",9.99,"50,000 .. 100,000",Arc System Works,Arc System Works,0,0,NA
42,Platypus,"Jun 2, 2004",6.99,"50,000 .. 100,000",Idigicon,KISS ltd,0,0,NA
50,planetarian ~the reverie of a little planet~,"Nov 29, 2004",9.99,"50,000 .. 100,000",VisualArts/Key,Sekai Project,0,0,NA
7,"Codename: Panzers, Phase One","Jun 16, 2004",14.99,"20,000 .. 50,000","Stormregion, THQ Nordic",THQ Nordic,0,0,81
8,Kohan II: Kings of War,"Sep 21, 2004",9.99,"20,000 .. 50,000",TimeGate Studios,TimeGate Studios,0,0,81
10,Ground Control II: Operation Exodus,"Jun 18, 2004",4.99,"20,000 .. 50,000",Massive Entertainment,Rebellion,0,0,80
11,Perimeter,"May 21, 2004",3.99,"20,000 .. 50,000",K-D Lab,1C Entertainment,0,0,77
15,Warlords Battlecry III,"May 17, 2004",9.99,"20,000 .. 50,000",Infinite Interactive,"Retroism, Enlight Software Limited",0,0,73
16,Men of Valor,"Nov 29, 2004",9.99,"20,000 .. 50,000",2015,THQ Nordic,0,0,71
25,Shadow Ops: Red Mercury,"Sep 17, 2004",6.99,"20,000 .. 50,000",Zombie Studios,Retroism,0,0,61
27,Wars and Warriors: Joan of Arc,"Feb 7, 2004",6.99,"20,000 .. 50,000",Enlight Software Limited,"Retroism, Enlight Software Limited",0,0,60
32,Konung 2,"Nov 30, 2004",2.99,"20,000 .. 50,000",1C Entertainment,1C Entertainment,0,0,35
35,The Egyptian Prophecy: The Fate of Ramses,"Mar 29, 2004",4.99,"20,000 .. 50,000",MC2,Microids,0,0,NA
37,Chris Sawyer's Locomotion,"Sep 10, 2004",5.99,"20,000 .. 50,000",Chris Sawyer,Atari,0,0,NA
44,Transport Giant,"Jun 8, 2004",9.99,"20,000 .. 50,000","Fancy Bytes, Reactor",Toplitz Productions,0,0,NA
45,URU: Complete Chronicles,"Jul 7, 2004",9.99,"20,000 .. 50,000",Cyan Worlds,Cyan Worlds,0,0,NA
48,Mashed,"Jun 25, 2004",4.99,"20,000 .. 50,000",Supersonic Software,Strategy First,0,0,NA
51,Kult: Heretic Kingdoms,"Nov 11, 2004",4.99,"20,000 .. 50,000",Games Farm,Games Farm,0,0,NA
6,Myst IV: Revelation,"Sep 10, 2004",14.99,"0 .. 20,000",Ubisoft Montreal,"Cyan Worlds, Ubisoft",0,0,82
13,Nemesis of the Roman Empire,"Mar 17, 2004",9.99,"0 .. 20,000",Haemimont Games,"Retroism, Enlight Software Limited",0,0,74
19,Nancy Drew: The Secret of Shadow Ranch,"Jun 1, 2004",9.99,"0 .. 20,000",HeR Interactive,HeR Interactive,0,0,68
22,Lords of the Realm III,"Mar 17, 2004",4.99,"0 .. 20,000",Impressions Games,Rebellion,0,0,65
23,Echelon: Wind Warriors,"Feb 3, 2004",3.99,"0 .. 20,000",MADia Entertainment,Buka Entertainment,0,0,63
28,Zoo Empire,"Aug 1, 2004",6.99,"0 .. 20,000",Enlight Software Limited,"Retroism, Enlight Software Limited",0,0,59
29,Marine Park Empire,"Aug 1, 2004",6.99,"0 .. 20,000",Enlight Software Limited,"Retroism, Enlight Software Limited",0,0,58
30,Fair Strike,"Feb 5, 2004",3.99,"0 .. 20,000",G5 Software,Buka Entertainment,0,0,56
33,KóterGame,"Jan 11, 2004",NA,"0 .. 20,000",Dzsembori,Dzsembori,0,0,NA
38,I Misteri di Maggia,"Sep 27, 2004",NA,"0 .. 20,000",Stelex Software,Stelex Software,0,0,NA
41,Casino Poker,"Apr 2, 2004",2.99,"0 .. 20,000",ThatGame Pty Ltd,Funbox Media Ltd,0,0,NA
46,The Dark Legions,"Apr 1, 2004",1.99,"0 .. 20,000",Mascot Entertainment,Mascot Entertainment,0,0,NA
31,Half-Life 2: Lost Coast,"Oct 27, 2005",NA,"10,000,000 .. 20,000,000",Valve,Valve,0,0,NA
2,Grand Theft Auto: San Andreas,"Jun 6, 2005",14.99,"2,000,000 .. 5,000,000",Rockstar Games,Rockstar Games,373,236,93
7,STAR WARS Knights of the Old Republic II - The Sith Lords,"Feb 8, 2005",9.99,"2,000,000 .. 5,000,000","Obsidian Entertainment, Aspyr (Mac, Linux, & Windows Update)","LucasArts, Disney Interactive, Lucasfilm, Aspyr (Mac, Linux)",37,12,85
1,Sid Meier's Civilization IV,"Oct 25, 2005",19.99,"1,000,000 .. 2,000,000",Firaxis Games,2K,0,0,94
17,Serious Sam 2,"Oct 11, 2005",9.99,"1,000,000 .. 2,000,000",Croteam,Devolver Digital,0,0,74
4,Sid Meier's Pirates!,"Jul 11, 2005",9.99,"500,000 .. 1,000,000",Firaxis Games,2K,0,0,88
9,Darwinia,"Jul 14, 2005",9.99,"500,000 .. 1,000,000",Introversion Software,Introversion Software,0,0,84
12,Dungeon Siege II,"Aug 16, 2005",6.99,"500,000 .. 1,000,000",Gas Powered Games,Square Enix,0,0,80
43,scram,"Sep 13, 2005",NA,"500,000 .. 1,000,000",spleen,Colossus Interactive,0,0,NA
53,Street Racing Syndicate,"Jan 8, 2005",2.99,"500,000 .. 1,000,000",Eutechnyx,Funbox Media Ltd,0,0,NA
3,Tom Clancy's Splinter Cell Chaos Theory,"Mar 29, 2005",9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,92
6,Prince of Persia: The Two Thrones,"Dec 7, 2005",9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,85
10,FATE,"May 18, 2005",7.99,"200,000 .. 500,000",WildTangent,WildTangent,0,0,80
19,The Bard's Tale,"Jun 17, 2005",9.99,"200,000 .. 500,000",inXile Entertainment,inXile Entertainment,0,0,70
24,Space Hack,"Nov 15, 2005",4.99,"200,000 .. 500,000",NA,Meridian4,0,0,63
5,Brothers in Arms: Road to Hill 30,"Mar 15, 2005",9.99,"100,000 .. 200,000",Gearbox Software,Ubisoft,0,0,87
8,Brothers in Arms: Earned in Blood,"Oct 4, 2005",9.99,"100,000 .. 200,000",Gearbox Software,Ubisoft,0,0,84
16,Blitzkrieg 2 Anthology,"Sep 23, 2005",4.99,"100,000 .. 200,000",Nival,Nival,0,0,75
18,Cossacks II: Napoleonic Wars,"Apr 26, 2005",4.99,"100,000 .. 200,000",GSC Game World,GSC World Publishing,0,0,73
21,Imperial Glory,"May 15, 2005",4.99,"100,000 .. 200,000",Pyro Studios,Kalypso Media Digital,0,0,69
32,Telltale Texas Hold ‘Em,"Feb 11, 2005",2.99,"100,000 .. 200,000",Telltale Games,Telltale Games,0,0,NA
36,RPG Maker XP,"Sep 16, 2005",24.99,"100,000 .. 200,000",KADOKAWA,Degica,0,0,NA
38,CT Special Forces: Fire for Effect,"Mar 24, 2005",2.99,"100,000 .. 200,000","Asobo Studio, Hip Games",Funbox Media Ltd,0,0,NA
13,Myst V: End of Ages,"Jul 19, 2005",9.99,"50,000 .. 100,000",Cyan Worlds,Cyan Worlds,0,0,80
14,Crazy Machines,"Oct 1, 2005",9.99,"50,000 .. 100,000",Fakt Software,Viva Media,0,0,78
25,Obscure,"Apr 6, 2005",6.99,"50,000 .. 100,000",Hydravision Entertainment,Mighty Rocket Studio,0,0,63
27,Bet On Soldier,"Sep 26, 2005",7.99,"50,000 .. 100,000",Kylotonn,Microids,0,0,NA
34,Hard Truck Apocalypse / Ex Machina,"Dec 8, 2005",7.99,"50,000 .. 100,000",Targem Games,Buka Entertainment,0,0,NA
46,Geneforge 3,"Apr 1, 2005",19.99,"50,000 .. 100,000",Spiderweb Software,Spiderweb Software,0,0,NA
48,Voyage: Journey to the Moon,"Aug 16, 2005",4.99,"50,000 .. 100,000",Microids,Microids,0,0,NA
52,World War I,"Jun 17, 2005",4.99,"50,000 .. 100,000",Dark Fox,1C Entertainment,0,0,NA
54,rFactor,"Aug 31, 2005",24.99,"50,000 .. 100,000",Image Space Incorporated,Image Space Incorporated,0,0,NA
57,Sudeki,"Mar 25, 2005",5.99,"50,000 .. 100,000",Climax Studios,Climax Group,0,0,NA
58,UFO: Aftershock,"Oct 21, 2005",3.99,"50,000 .. 100,000",ALTAR Interactive,1C Entertainment,0,0,NA
11,"Codename: Panzers, Phase Two","Jul 21, 2005",14.99,"20,000 .. 50,000","Stormregion, THQ Nordic",THQ Nordic,0,0,80
20,The Moment of Silence,"Mar 1, 2005",14.99,"20,000 .. 50,000",House of Tales,HandyGames,0,0,70
22,Rag Doll Kung Fu,"Oct 12, 2005",9.99,"20,000 .. 50,000",Mark Healey,Mark Healey,0,0,69
23,Cold War,"Sep 27, 2005",4.99,"20,000 .. 50,000",Mindware Studios,THQ Nordic,0,0,64
29,Stalingrad,"Apr 5, 2005",4.99,"20,000 .. 50,000",DTF games,1C Entertainment,0,0,NA
33,Cuban Missile Crisis: Ice Crusade,"Jul 29, 2005",4.99,"20,000 .. 50,000",G5 Software,1C Entertainment,0,0,NA
49,Midnight Outlaw: 6 Hours to SunUp,"Jul 2, 2005",9.99,"20,000 .. 50,000","Merscom, Babylon","ValuSoft, Retroism",0,0,NA
50,Cuban Missile Crisis,"May 6, 2005",4.99,"20,000 .. 50,000",G5 Software,1C Entertainment,0,0,NA
51,Desert Law,"Apr 29, 2005",2.99,"20,000 .. 50,000",Arise,1C Entertainment,0,0,NA
55,Dungeon Lords Steam Edition,"May 1, 2005",14.99,"20,000 .. 50,000",Heuristic Park,THQ Nordic,0,0,NA
56,Luxor 2,"Dec 8, 2005",9.99,"20,000 .. 50,000",MumboJumbo,MumboJumbo,0,0,NA
15,Crazy Machines 1.5,"Oct 1, 2005",9.99,"0 .. 20,000",Fakt Software,Viva Media,0,0,78
26,18 Wheels of Steel: Convoy,"Sep 1, 2005",9.99,"0 .. 20,000",SCS Software,"Valusoft, Play Hard Games",0,0,NA
28,Fish Tycoon,"Nov 14, 2005",9.99,"0 .. 20,000",Last Day of Work,Last Day of Work,0,0,NA
30,Luxor Amun Rising,"Dec 8, 2005",9.99,"0 .. 20,000",MumboJumbo,MumboJumbo,0,0,NA
35,Wildlife Tycoon: Venture Africa,"Oct 1, 2005",1.99,"0 .. 20,000",Pocketwatch Games,Pocketwatch Games,0,0,NA
37,Deadhunt,"Mar 28, 2005",4.99,"0 .. 20,000",REL Games,REL Games,0,0,NA
39,Mystery Case Files: Huntsville,"Jan 1, 2005",9.99,"0 .. 20,000",Big Fish Games,Big Fish Games,0,0,NA
40,Operation: Matriarchy,"Nov 20, 2005",5.99,"0 .. 20,000",Madia Entertainment,Buka Entertainment,0,0,NA
41,Disney's Chicken Little,"Oct 20, 2005",9.99,"0 .. 20,000",Avalanche Software,Disney Interactive,0,0,NA
42,Cotropitorii,"Nov 15, 2005",2.99,"0 .. 20,000","Alexandru Duta, Victor E. Blaga",2 Bad Design,0,0,NA
44,Massive Assault: Phantom Renaissance,"Mar 3, 2005",9.99,"0 .. 20,000",Wargaming.net,Wargaming.net,0,0,NA
45,Vulture for NetHack,"Feb 1, 2005",2.99,"0 .. 20,000",DarkArts Studios,DarkArts Studios,0,0,NA
47,Ankh - Anniversary Edition,"Nov 4, 2005",7.99,"0 .. 20,000",Deck13,Deck13,0,0,NA
98,Half-Life Deathmatch: Source,"May 1, 2006",9.99,"10,000,000 .. 20,000,000",Valve,Valve,0,0,NA
105,Garry's Mod,"Nov 29, 2006",9.99,"10,000,000 .. 20,000,000",Facepunch Studios,Valve,626,254,NA
5,Half-Life 2: Episode One,"Jun 1, 2006",7.99,"5,000,000 .. 10,000,000",Valve,Valve,12,4,87
3,Psychonauts,"Oct 11, 2006",9.99,"2,000,000 .. 5,000,000",Double Fine Productions,Double Fine Productions,0,0,87
59,Toribash,"Mar 1, 2006",NA,"2,000,000 .. 5,000,000",Nabi Studios,"Nicalis, Inc.",0,0,NA
71,Total War: MEDIEVAL II – Definitive Edition,"Nov 15, 2006",24.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",72,53,NA
10,Civilization IV: Warlords,"Jul 24, 2006",4.99,"1,000,000 .. 2,000,000",Firaxis Games,2K,0,0,84
23,The Ship: Murder Party,"Jul 11, 2006",9.99,"1,000,000 .. 2,000,000",Outerlight Ltd.,Blazing Griffin Ltd.,0,0,76
32,Dark Messiah of Might & Magic,"Oct 25, 2006",9.99,"1,000,000 .. 2,000,000",Arkane Studios,Ubisoft,0,0,72
81,Microsoft Flight Simulator X: Steam Edition,"Oct 16, 2006",24.99,"1,000,000 .. 2,000,000",Microsoft Game Studios,Dovetail Games - Flight,553,184,NA
91,Easy eSports,"Sep 19, 2006",NA,"1,000,000 .. 2,000,000",EasyAntiCheat Ltd,EasyAntiCheat Ltd,342,227,NA
1,Company of Heroes,"Sep 11, 2006",19.99,"500,000 .. 1,000,000",Relic Entertainment,SEGA,0,0,93
11,DEFCON,"Sep 29, 2006",9.99,"500,000 .. 1,000,000",Introversion Software,Introversion Software,0,0,84
15,Red Orchestra: Ostfront 41-45,"Mar 14, 2006",2.49,"500,000 .. 1,000,000",Tripwire Interactive,Tripwire Interactive,0,0,81
20,Sid Meier's Railroads!,"Oct 16, 2006",9.99,"500,000 .. 1,000,000","Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",0,0,77
22,FlatOut 2,"Dec 21, 2006",9.99,"500,000 .. 1,000,000",Bugbear Entertainment,Strategy First,0,0,76
26,Uplink,"Aug 23, 2006",9.99,"500,000 .. 1,000,000",Introversion Software,Introversion Software,0,0,75
27,Shadowgrounds,"May 8, 2006",1.04,"500,000 .. 1,000,000",Frozenbyte,Frozenbyte,0,0,74
2,Call of Duty,"Oct 13, 2006",19.99,"200,000 .. 500,000",Infinity Ward,Activision,0,0,91
4,Call of Duty: United Offensive,"Oct 13, 2006",19.99,"200,000 .. 500,000",Gray Matter Studios,Activision,0,0,87
6,Call of Duty 2,"Oct 13, 2006",19.99,"200,000 .. 500,000",Infinity Ward,Activision,0,0,86
7,Tom Clancy's Rainbow Six Vegas,"Dec 12, 2006",9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,85
17,Tom Clancy's Splinter Cell Double Agent,"Oct 19, 2006",9.99,"200,000 .. 500,000",Ubisoft Montreal,Ubisoft,0,0,80
25,SiN Episodes: Emergence,"May 10, 2006",9.99,"200,000 .. 500,000",Ritual Entertainment,Ritual Entertainment,0,0,75
29,Earth 2160,"Apr 1, 2006",4.99,"200,000 .. 500,000",Reality Pump Studios,"Topware Interactive, ACE",430,287,73
33,X2: The Threat,"Jul 21, 2006",4.99,"200,000 .. 500,000",Egosoft,Egosoft,0,0,72
34,X3: Reunion,"Jul 21, 2006",9.99,"200,000 .. 500,000",Egosoft,Egosoft,0,0,71
65,High On Racing,"Jun 4, 2006",4.99,"200,000 .. 500,000",SilentFuture,SilentFuture,0,0,NA
112,RACE - The WTCC Game,"Nov 24, 2006",39.99,"200,000 .. 500,000",SimBin,SimBin,0,0,NA
9,Disciples II: Gallean's Return,"Jul 6, 2006",6.99,"100,000 .. 200,000",Strategy First,Strategy First,0,0,84
14,Ghost Master,"Dec 21, 2006",4.99,"100,000 .. 200,000",Sick Puppies,Strategy First,0,0,81
24,GUN,"Oct 13, 2006",19.99,"100,000 .. 200,000",Neversoft,Activision,0,0,76
28,Caesar IV,"Sep 9, 2006",9.99,"100,000 .. 200,000","Tilted Mill Entertainment, Inc.",Activision,0,0,74
48,Tom Clancy's Rainbow Six Lockdown,"Feb 14, 2006",9.99,"100,000 .. 200,000",Red Storm Entertainment,Ubisoft,0,0,59
63,Feeding Frenzy 2 Deluxe,"Aug 30, 2006",4.99,"100,000 .. 200,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
67,Wildlife Park 2,"May 12, 2006",6.99,"100,000 .. 200,000",b-alive gmbh,b-alive gmbh,0,0,NA
75,Zuma Deluxe,"Aug 30, 2006",4.99,"100,000 .. 200,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
76,Scratches - Director's Cut,"Mar 8, 2006",NA,"100,000 .. 200,000",Nucleosys,Nucleosys,0,0,NA
77,King's Quest Collection,"Sep 1, 2006",19.99,"100,000 .. 200,000",Sierra,Activision,0,0,NA
106,Insaniquarium Deluxe,"Aug 30, 2006",4.99,"100,000 .. 200,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
108,Nux,"Dec 26, 2006",6.99,"100,000 .. 200,000",Idigicon,KISS ltd,0,0,NA
13,Dangerous Waters,"Feb 7, 2006",14.99,"50,000 .. 100,000",Sonalysts,Strategy First,0,0,82
18,Disciples II: Rise of the Elves,"Jul 6, 2006",6.99,"50,000 .. 100,000",Strategy First,Strategy First,0,0,80
19,Space Empires IV Deluxe,"Feb 7, 2006",9.99,"50,000 .. 100,000",Malfador Machinations,Strategy First,0,0,79
37,Advent Rising,"Sep 14, 2006",9.99,"50,000 .. 100,000",GlyphX Games,Majesco Entertainment,0,0,70
38,Rogue Trooper,"May 23, 2006",9.99,"50,000 .. 100,000",Rebellion,Rebellion,0,0,69
39,Gumboy - Crazy Adventures,"Dec 19, 2006",4.99,"50,000 .. 100,000","CINEMAX, s.r.o.","CINEMAX, s.r.o.",0,0,69
40,Marc Eckō's Getting Up: Contents Under Pressure,"Feb 14, 2006",14.99,"50,000 .. 100,000","The Collective, General Arcade",Devolver Digital,0,0,69
41,Space Empires V,"Oct 16, 2006",14.99,"50,000 .. 100,000",Malfador Machinations,Strategy First,0,0,68
43,BloodRayne 2,"Sep 14, 2006",9.99,"50,000 .. 100,000",Terminal Reality,Majesco Entertainment,0,0,67
45,Heroes of Annihilated Empires,"Nov 22, 2006",14.99,"50,000 .. 100,000",GSC Game World,GSC Game World,0,0,65
46,BloodRayne,"Sep 14, 2006",9.99,"50,000 .. 100,000",Terminal Reality,Majesco Entertainment,0,0,65
55,The Ship: Single Player,"Nov 20, 2006",NA,"50,000 .. 100,000",Outerlight Ltd.,Blazing Griffin Ltd.,0,0,NA
60,Guilty Gear Isuka,"Jun 20, 2006",9.99,"50,000 .. 100,000",Arc System Works,Arc System Works,0,0,NA
68,Fleet Command,"Oct 26, 2006",9.99,"50,000 .. 100,000",Sonalysts,Strategy First,0,0,NA
69,688(I) Hunter/Killer,"Oct 26, 2006",9.99,"50,000 .. 100,000",Sonalysts,Strategy First,0,0,NA
73,The Stalin Subway: Red Veil,"Oct 5, 2006",2.99,"50,000 .. 100,000",Orion Games,Buka Entertainment,0,0,NA
82,Bejeweled 2 Deluxe,"Aug 30, 2006",4.99,"50,000 .. 100,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
83,Broken Sword 4 - the Angel of Death,"Sep 15, 2006",5.99,"50,000 .. 100,000",Sumo Digital Ltd,Revolution Software Ltd,0,0,NA
89,Geneforge 4: Rebellion,"Nov 1, 2006",19.99,"50,000 .. 100,000",Spiderweb Software,Spiderweb Software,0,0,NA
92,Chuzzle Deluxe,"Aug 30, 2006",4.99,"50,000 .. 100,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
8,Sub Command,"Oct 26, 2006",9.99,"20,000 .. 50,000",Sonalysts,Strategy First,0,0,84
12,Xpand Rally,"Aug 24, 2006",4.99,"20,000 .. 50,000",Techland,Techland,0,0,82
16,RoboBlitz,"Nov 7, 2006",9.99,"20,000 .. 50,000",Naked Sky Entertainment,Naked Sky Entertainment,0,0,80
30,Disney•Pixar Cars,"Jul 6, 2006",19.99,"20,000 .. 50,000",Beenox,"THQ, Disney Interactive",0,0,73
31,Perimeter: Emperor's Testament,"Aug 29, 2006",3.99,"20,000 .. 50,000",K-D Lab,1C Entertainment,0,0,72
36,MX vs. ATV Unleashed,"Jan 16, 2006",9.99,"20,000 .. 50,000",Rainbow Studios,THQ Nordic,0,0,71
42,Faces of War,"Sep 8, 2006",4.99,"20,000 .. 50,000",Best Way,1C Entertainment,0,0,67
44,Shattered Union,"Oct 25, 2006",4.99,"20,000 .. 50,000",PopTop,2K,0,0,67
49,Iron Warriors: T - 72 Tank Command,"Jul 26, 2006",4.99,"20,000 .. 50,000",Strategy First,Strategy First,0,0,56
50,El Matador,"Sep 25, 2006",3.99,"20,000 .. 50,000",Plastic Reality Technologies,1C Entertainment,0,0,54
56,Pizza Frenzy Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
61,Heavy Weapon Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
62,Talismania Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
64,NAVYFIELD,"Aug 18, 2006",NA,"20,000 .. 50,000",SDEnterNET,Naiadgames,0,0,NA
72,Hammer Heads Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
84,Iggle Pop Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
85,Vegas: Make It Big,"Dec 21, 2006",4.99,"20,000 .. 50,000",Deepred,Strategy First,0,0,NA
86,Rocket Mania Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
93,War on Folvos,"Sep 25, 2006",3.99,"20,000 .. 50,000",Lonely Troops,Lonely Troops,0,0,NA
95,Bejeweled Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
96,Big Money! Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
99,AstroPop Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
100,3D ParticleGen Visual FX,"Oct 27, 2006",9.99,"20,000 .. 50,000",Reality Pump,TopWare Interactive,302,100,NA
103,Dynomite Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
107,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,"Dec 18, 2006",5.99,"20,000 .. 50,000",Targem Games,Buka Entertainment,0,0,NA
109,Typer Shark! Deluxe,"Aug 30, 2006",4.99,"20,000 .. 50,000","PopCap Games, Inc.","PopCap Games, Inc.",0,0,NA
111,The Stalin Subway,"Oct 5, 2006",3.99,"20,000 .. 50,000",Orion Games,Buka Entertainment,0,0,NA
21,Al Emmo and the Lost Dutchman's Mine,"Sep 5, 2006",9.99,"0 .. 20,000",Himalaya Studios,Himalaya Studios,0,0,77
35,EMERGENCY 4 Deluxe,"Apr 13, 2006",17.99,"0 .. 20,000",Sixteen Tons Entertainment,Sixteen Tons Entertainment,0,0,71
47,Wings Over Europe,"May 24, 2006",9.99,"0 .. 20,000",Third Wire Productions,Strategy First,0,0,62
51,Battle Of Europe,"Mar 23, 2006",9.99,"0 .. 20,000",Maus Software,Strategy First,0,0,54
52,Elite Warriors: Vietnam,"Mar 25, 2006",9.99,"0 .. 20,000",N-Fusion Interactive,Retroism,0,0,46
53,Brigade E5: New Jagged Union,"Oct 17, 2006",3.99,"0 .. 20,000",Apeiron,1C Entertainment,0,0,41
54,Poker Superstars II,"Oct 5, 2006",9.99,"0 .. 20,000",Funkitron,Funkitron,0,0,NA
57,BorderZone,"Jul 19, 2006",2.99,"0 .. 20,000","Saturn-plus, Orion",1C Entertainment,0,0,NA
58,Disney•Pixar Cars: Radiator Springs Adventures,"Jun 6, 2006",19.99,"0 .. 20,000",AWE Games,Disney Interactive,0,0,NA
66,Tanita: A Plasticine Dream,"Aug 29, 2006",4.99,"0 .. 20,000",Trickster Games,Akella,0,0,NA
70,18 Wheels of Steel: Haulin’,"Dec 8, 2006",9.99,"0 .. 20,000",SCS Software,"Play Hard Games, ValuSoft",0,0,NA
74,Jagged Alliance 2 Gold,"Jul 6, 2006",19.99,"0 .. 20,000",Strategy First,Strategy First,0,0,NA
78,Take Command - 2nd Manassas,"Apr 18, 2006",9.99,"0 .. 20,000","MadMinute Games, NorbSoftDev","NorbSoftDev, Paradox Interactive",0,0,NA
79,Mystery Case Files: Ravenhearst,"Dec 15, 2006",9.99,"0 .. 20,000",Big Fish Games,Big Fish Games,0,0,NA
80,Hunting Unlimited 4,"Oct 24, 2006",9.99,"0 .. 20,000",SCS Software,"Retroism, ValuSoft",0,0,NA
87,Zen of Sudoku,"Dec 14, 2006",NA,"0 .. 20,000",Unknown Worlds Entertainment,Unknown Worlds Entertainment,0,0,NA
