artist,title,released,re_release,label,formats,chart,chart_position
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",SWE,12
Taylor Swift,Fearless,"November 11, 2008","October 27, 2009[40]",Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",UK,5
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",US,1
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",AUS,1
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",CAN,1
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",FRA,39
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",GER,15
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",IRE,6
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",JPN,6
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",NZ,1
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",SWE,18
Taylor Swift,Speak Now,"October 25, 2010",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",UK,6
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",US,1
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",AUS,1
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",CAN,1
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",FRA,30
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",GER,5
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",IRE,1
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",JPN,3
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",NZ,1
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",SWE,8
Taylor Swift,Red,"October 22, 2012",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",UK,1
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",US,1
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",AUS,1
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",CAN,1
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",FRA,9
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",GER,4
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",IRE,1
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",JPN,3
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",NZ,1
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",SWE,23
Taylor Swift,1989,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download",UK,1
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",US,1
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",AUS,1
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",CAN,1
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",FRA,16
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",GER,2
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",IRE,1
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",JPN,3
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",NZ,1
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",SWE,2
Taylor Swift,Reputation,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming",UK,1
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",US,1
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",AUS,1
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",CAN,1
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",FRA,5
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",GER,2
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",IRE,1
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",JPN,3
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",NZ,1
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",SWE,1
Taylor Swift,Lover,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",UK,1
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",US,1
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",AUS,1
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",CAN,1
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",FRA,12
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",GER,5
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",IRE,1
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",JPN,8
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",NZ,1
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",SWE,3
Taylor Swift,Folklore,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming",UK,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",US,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",AUS,2
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",CAN,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",FRA,14
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",GER,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",IRE,1
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",JPN,4
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",NZ,8
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",SWE,2
Beyoncé,Dangerously in Love,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download",UK,1
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",US,1
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",AUS,8
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",CAN,3
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",FRA,12
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",GER,5
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",IRE,3
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",JPN,5
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",NZ,8
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",SWE,2
Beyoncé,B'Day,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download",UK,3
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",US,1
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",AUS,3
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",CAN,6
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",FRA,20
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",GER,17
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",IRE,1
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",JPN,6
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",NZ,3
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",SWE,7
Beyoncé,I Am... Sasha Fierce,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download",UK,2
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",US,1
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",AUS,2
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",CAN,3
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",FRA,2
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",GER,5
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",IRE,1
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",JPN,2
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",NZ,3
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",SWE,1
Beyoncé,4,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download",UK,1
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",US,1
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",AUS,1
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",CAN,1
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",FRA,10
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",GER,11
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",IRE,2
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",JPN,1
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",NZ,2
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",SWE,4
Beyoncé,Beyoncé,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download",UK,2
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",US,1
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",AUS,1
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",CAN,1
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",FRA,7
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",GER,3
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",IRE,1
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",JPN,1
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",NZ,1
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",SWE,2
Beyoncé,Lemonade,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming",UK,1
