artist,title,country,sales,released,re_release,label,formats
Taylor Swift,1989,FRA,70000,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,JPN,268200,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,1989,UK,1250000,"October 27, 2014",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download"
Taylor Swift,Reputation,WW,4500000,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,US,2300000,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,CAN,80000,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,FRA,13000,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Reputation,UK,378000,"November 10, 2017",NA,Big Machine,"CD, CD+G (karaoke), DVD (karaoke), LP, digital download, cassette, streaming"
Taylor Swift,Lover,WW,3200000,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,US,1085000,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,CAN,61000,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,FRA,5700,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,JPN,32601,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Lover,UK,221654,"August 23, 2019",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Taylor Swift,Folklore,,NA,"July 24, 2020",NA,"Republic, UMG","CD, LP, digital download, cassette, streaming"
Beyoncé,Dangerously in Love,World,11000000,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download"
Beyoncé,Dangerously in Love,US,5100000,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download"
Beyoncé,Dangerously in Love,UK,1260000,"June 23, 2003 (UK)[39]",NA,Columbia,"CD, LP, digital download"
Beyoncé,B'Day,World,8000000,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,B'Day,US,3610000,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,B'Day,UK,700000,"September 1, 2006 (US)[51]",NA,"Sony Urban Music, Columbia","CD, CD/DVD, LP, digital download"
Beyoncé,I Am... Sasha Fierce,World,8000000,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,I Am... Sasha Fierce,US,3380000,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,I Am... Sasha Fierce,UK,1740000,"November 14, 2008",NA,"Music World, Columbia","CD, CD/DVD, digital download"
Beyoncé,4,US,1500000,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download"
Beyoncé,4,UK,791000,"June 24, 2011",NA,"Parkwood, Columbia","CD, digital download"
Beyoncé,Beyoncé,World,5000000,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Beyoncé,US,2512000,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Beyoncé,UK,418000,"December 13, 2013",NA,"Parkwood, Columbia","CD, CD/DVD, CD/Blu-ray, LP, digital download"
Beyoncé,Lemonade,World,2500000,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
Beyoncé,Lemonade,US,1554000,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
Beyoncé,Lemonade,UK,328000,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
Beyoncé,Lemonade,FR,30000,"April 23, 2016",NA,"Parkwood, Columbia","CD/DVD, LP, digital download, online streaming"
