Artist ,Album,Title ,Lyrics
Taylor Swift ,Taylor Swift ,Our Song ,"I was riding shotgun with my hair undone in the front seat of his car,
He's got a one-hand feel on the steering wheel,
The other on my heart,
I look around, turn the radio down, he says, ""baby is something wrong?""
I say ""nothing, I was just thinking how we don't have a song, "" 
And he says,
Our song is a slamming screen door, 
Sneaking out late tapping on your window,
When we're on the phone and you talk real slow,
'Cause it's late and your mama don't know,
Our song is the way you laugh,
The first date man I didn't kiss her when I should have,
And when I got home, before I said amen,
Asking God if He could play it again.
I was walking up the front porch steps after everything that day,
Had gone all wrong, had been trampled on and lost and thrown away,
Got to the hallway well on my way to my lovin' bed,
I almost didn't notice all the roses,
And the note that said,
Our song is a slamming screen door, 
Sneaking out late tapping on your window,
When we're on the phone and you talk real slow,
'Cause it's late and your mama don't know,
Our song is the way you laugh,
The first date man I didn't kiss her when I should have,
And when I got home, before I said amen,
Asking God if He could play it again.
I've heard every album, listened to the radio,
Waiting for something to come along,
That was as good as our song,
'Cause our song is a slamming screen door,
Sneaking out late tapping on your window,
When we're on the phone, and he talks real slow,
'Cause it's late and his mama don't know,
Our song is the way he laughs,
The first date man I didn't kiss him when I should have,
And when I got home, before I said amen,
Asking God if He could play it again.
I was riding shotgun with my hair undone in the front seat of his car,
I grabbed a pen and an old napkin 
And I wrote down our song.
"
Taylor Swift ,Taylor Swift ,I’m Only Me When I’m With You ,"Friday night beneath the stars
In a field behind your yard
You and I are painting pictures in the sky
Sometimes we don't say a thing
Just listen to the crickets sing
Everything I need is right here by my side
And I know everything about you
I don't wanna live without you
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying
To let you know that what I feel is true
And I'm only me when I'm with you
Just a small-town boy and girl
Living in the crazy world
Trying to figure out what is and isn't true
And I don't try to hide my tears
My secrets or my deepest fears
Through it all nobody gets me like you do
And you know everything about me
You say that you can't live without me
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying
To let you know that what I feel is true
And I'm only me when I'm with you
When I'm with anybody else
It's so hard to be myself
And only you can tell
I'm only up when you're not down
Don't wanna fly if you're still on the ground
It's like no matter what I do
Well, you drive me crazy half the time
The other half I'm only trying
To let you know that what I feel is true
And I'm only me when I'm with you
"
Taylor Swift ,Taylor Swift ,Invisible ,"She can't see the way your eyes
Light up when you smile
She'll never notice how you stop and stare
Whenever she walks by
And you can't see me wantin' you the way you want her
But you are everything to me
And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me but if you only knew me
We could be a beautiful, miracle, unbelievable
Instead of just invisible
There's a fire inside of you
That can't help but shine through
She's never gonna see the light
No matter what you do
And all I think about is how to make you think of me
And everything that we could be
And I just wanna show you
She don't even know you
She's never gonna love you like I want to
And you just see right through me but if you only knew me
We could be a beautiful, miracle, unbelievable
Instead of just invisible
Like shadows in a faded light
Oh we're invisible
I just wanna open your eyes
And make you realize
I just want to show you, she don't even know you,
Baby let me love you, let me want you"".
She can't see the way your eyes
Light up when you smile
"
Taylor Swift ,Taylor Swift ,A Perfectly Good Heart ,"Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart
Maybe I should've seen the signs, should've read the writing on the wall
And realized by the distance in your eyes that I would be the one to fall
No matter what you say I still can't believe
That you would walk away
It don't make sense to me but
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart
It's not unbroken anymore
How do I get it back the way it was before
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break, would you wanna break a
Why would you wanna break a perfectly good heart
Why would you wanna take our love and tear it all apart now
Why would you wanna make the very first scar
Why would you wanna break a perfectly good heart
"
Taylor Swift ,Fearless,Jump Then Fall ,"I like the way you sound in the morning,
We're on the phone and without a warning
I realize your laugh is the best sound I have ever heard
I like the way I can't keep my focus,
I watch you talk you didn't notice
I hear the words but all I can think is we should be together
Every time you smile, I smile
And every time you shine, I'll shine for you
Whoa oh I'm feeling you baby
Don't be afraid to jump then fall, jump then fall into me
Baby, I'm never gonna leave you,
Say that you wanna be with me too
Cuz I'ma stay through it all so jump then fall
Well I like the way your hair falls in your face
You got the keys to me I love each freckle on your face, oh,
I've never been so wrapped up,
Honey, I like the way you're everything I've ever wanted
I had time to think it all over and all I can say is come closer,
Take a deep breath and jump then fall into me
Every time you smile, I smile
And every time you shine, I'll shine for you
Whoa oh I'm feeling you baby
Don't be afraid to jump then fall, jump then fall into me
Baby, I'm never gonna leave you,
Say that you wanna be with me too
I'ma stay through it all so jump then fall
The bottoms gonna drop out from under our feet
I'll catch you, I'll catch you
When people say things that bring you to your knees,
I'll catch you
The time is gonna come when you're so mad you could cry
But I'll hold you through the night until you smile
Whoa oh I need you baby
Don't be afraid please
Jump then fall, jump then fall into me
Baby, I'm never gonna leave you,
Say that you wanna be with me too
I'ma stay through it all so jump then fall
Jump then fall baby
Jump then fall into me, into me
Every time you smile, I smile
And every time you shine, I'll shine
And every time you're here baby, I'll show you, I'll show you
You can jump then fall, jump then fall, jump then fall 
Into me, into me yeah
"
Taylor Swift ,Fearless,Untouchable ,"Untouchable like a distant diamond sky
I'm reaching out and I just can't tell you why
I'm caught up in you
I'm caught up in you
Untouchable
Burning brighter than the sun
And when you're close I feel like coming undone
In the middle of the night
When I'm in this dream
It's like a million little stars
Spelling out your name
You gotta come on, come on
Say that we'll be together
Come on, come on
Little taste of heaven
It's half full and I won't wait here all day
I know you're saying that you'll be here anyway
But you're untouchable
Burning brighter than the sun
Now that you're close I feel like coming undone
In the middle of the night
When I'm in this dream
It's like a million little stars
Spelling out your name
You gotta come on, come on
Say that we'll be together
Come on, come on
Oh
In the middle of the night
We could form this dream
I wanna feel you by my side
Standing next to me
You gotta come on, come on
Say that we'll be together
Come on, come on
Little taste of heaven
Oh, oh
I'm caught up in you
Oh, oh, oh
Untouchable
Burning brighter than the sun
And when you're close I feel like coming undone
In the middle of the night
When I'm in this dream
It's like a million little stars
Spelling out your name
You gotta come on, come on
Say that we'll be together
Come on, come on
Oh, oh
In the middle of the night
When I'm in this dream
It's like a million little stars
Spelling out your name
You gotta come on, come on
Say that we'll be together
Come on, come on
Little taste of heaven
"
Taylor Swift ,Fearless,Forever & Always ,"Once upon a time, I believe it was a Tuesday when I caught your eye
And we caught onto something
I hold onto the night, you looked me in the eye and told me you loved me
Were you just kidding?
'Cause it seems to me, this thing is breaking down
We almost never speak
I don't feel welcome anymore
Baby what happened? Please tell me
'Cause one second it was perfect, now you're halfway out the door
And I stare at the phone, he still hasn't called
And then you feel so low you cant feel nothing at all
And you flashback to when he said forever and always
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always
Was I out of line?
Did I say something way too honest, made you run and hide
Like a scared little boy
I looked into your eyes
Thought I knew you for a minute, now I'm not so sure
So here's to everything coming down to nothing
Here's to silence, that cuts me to the core
Where is this going? Thought I knew for a minute, but I don't anymore
And I stare at the phone, he still hasn't called
And then you feel so low you cant feel nothing at all
And you flashback to when he said forever and always
Oh, and it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always
You didn't mean it baby, I don't think so
Oh back up, baby, back up
Did you forget everything?
Back up, baby, back up
Did you forget everything?
'Cause it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always
Oh, I stare at the phone, he still hasn't called
And then you feel so low you cant feel nothing at all
And you flashback to when we said forever and always
And it rains in your bedroom
Everything is wrong
It rains when you're here and it rains when you're gone
'Cause I was there when you said forever and always
You didn't mean it baby,
You said forever and always, yeah.
"
Taylor Swift ,Fearless,Come In With the Rain ,"I could go back to every laugh
But I don't wanna go there anymore and I 
know all the steps up to your door
But I don't wanna go there anymore
Talk to the wind, talk to the sky
Talk to the man with the reasons why
And let me know what you find
I'll leave my window open
'Cause I'm too tired tonight to call your name
Just know I'm right here hoping
That you'll come in with the rain
I could stand up and sing you a song
But I don't wanna have to go that far and I
I've got you down
I know you by heart
And you don't even know where I start
Talk to yourself, talk to the tears
Talk to the man who put you here
And don't wait for the sky to clear
I'll leave my window open
'Cause I'm too tired tonight to call your name oh
Just know I'm right here hoping
That you'll come in with the rain
I've watched you so long, screamed your name
I don't know what else I can say
But I'll leave my window open
'Cause I'm too tired at night for all these games
Just know I'm right here hoping
That you'll come in with the rain
I could go back to every laugh
But I don't wanna go there anymore
"
Taylor Swift ,Fearless,SuperStar,"This is wrong but
I can't help but feel like
There ain't nothing more right babe
Misty morning comes again and I can't
Help but wish I could see your face
And I knew from the first note played
I'd be breaking all my rules to see you
You smile that beautiful smile
And all the girls in the front row scream your name
So dim that spotlight, tell me things like
I can't take my eyes off of you
I'm no one special, just another wide-eyed girl
Who's desperately in love with you
Give me a photograph to hang on my wall
Superstar
Good morning loneliness
Comes around when I'm not dreaming about you
When my world wakes up today you'll be in another town
And I knew when I saw your face I'd be
Counting down the ways to see you
And you smile that beautiful smile
And all the girls in the front row scream your name
So dim that spotlight, tell me things like
I can't take my eyes off of you
I'm no one special, just another wide-eyed girl
Who's desperately in love with you
Give me a photograph to hang on my wall
Superstar
You played in bars, you play guitar
And I'm invisible and everyone knows who you are
And you'll never see, you sing me to sleep
Every night from the radio
So dim that spotlight, tell me things like
I can't take my eyes off of you
I'm no one special, just another wide-eyed girl
Who's desperately in love with you
Give me a photograph to hang on my wall
Superstar
Sweet, sweet superstar
Superstar
"
Taylor Swift ,Fearless,The Other Side of the Door ,"In the heat of the fight I walked away
Ignoring words that you were saying
Trying to make me stay
I said, 'This time I've had enough'
And you've called a hundred times
But I'm not picking up
Cause I'm so mad I might tell you that it's over
But if you look a little closer
I said, ""Leave, "" but all I really want is you
To stand outside my window throwing pebbles screaming,
'I'm in love with you'
Wait there in the pouring rain, come back for more
And don't you leave cause I know
All I need is on the other side of the door
Me and my stupid pride are sitting here alone
Going through the photographs, staring at the phone
I keep going back over things we both said
And I remember the slamming door and all the things that I misread
So babe if you know everything, tell me why you couldn't see
When I left I wanted you to chase after me
Yeah, I said, ""Leave, "" but all I really want is you
To stand outside my window throwing pebbles screaming,
'I'm in love with you'
Wait there in the pouring rain, come back for more
And don't you leave cause I know
All I need is on the other side of the door
And I'll scream out the window
I can't even look at you
I don't need you but I do, I do, I do
I say, ""There's nothing you can say to make this right
I mean it, I mean it""
What I mean is
I said, ""Leave, "" but baby all I want is you
To stand outside my window throwing pebbles screaming,
'I'm in love with you'
Wait there in the pouring rain, come back for more
And don't you leave cause I know
All I need is on the other side of the door
With your face and the beautiful eyes
And the conversation with the little white lies
And the faded picture of a beautiful night
You carry me from your car to the stairs
And I broke down crying, was she worth this mess?
After everything and that little black dress
After everything I must confess, I need you
"
Taylor Swift ,Fearless,Fearless,"There's somethin' bout the way
The street looks when it's just rained
There's a glow off the pavement
Walk me to the car
And you know I wanna ask you to dance right there
In the middle of the parking lot
Yeah
We're drivin' down the road
I wonder if you know
I'm tryin' so hard not to get caught up now
But you're just so cool
Run your hands through your hair
Absent mindedly makin' me want you
And I don't know how it gets better than this
You take my hand and drag me head first
Fearless
And I don't know why but with you I'd dance
In a storm in my best dress
Fearless
So baby drive slow
Til we run out of road in this one horse town
I wanna stay right here in this passenger's seat
You put your eyes on me
In this moment now capture it remember it
And I don't know how it gets better than this
You take my hand and drag me head first
Fearless
And I don't know why but with you I'd dance
In a storm in my best dress
Fearless
Well you stood there with me in the doorway
my hands shake
I'm not usually this way but
You pull me in and I'm a little more brave
It's the first kiss, it's flawless, really something, it's fearless.
And I don't know how it gets better than this
You take my hand and drag me head first
Fearless
And I don't know why but with you I'd dance
In a storm in my best dress
Fearless
"
Taylor Swift ,Fearless,Fifteen ,"You take a deep breath
And you walk through the doors
It's the morning of your very first day
You say hi to your friends you ain't seen in awhile
Try and stay out of everybody's way
It's your freshman year
And you're gonna be here for the next four years
In this town
Hoping one of those senior boys
Will wink at you and say, ""you know I haven't seen you around, before""
'Cause when you're fifteen,
Somebody tells you they love you
You're gonna believe them
And when you're fifteen
Feeling like there's nothing to figure out
Count to ten
Take it in
This is life before you know who you're gonna be
At fifteen
You sit in class next to a red-head named Abigail
And soon enough you're best friends
Laughing at the other girls
Who they think they're so cool
We'll be out of here as soon as we can
And then you're on your very first date
And he's got a car
And you're feeling like flying
And you're mama's waiting up
And you're thinking he's the one
And you're dancing around the room when the night ends
When the night ends
'Cause when you're fifteen,
Somebody tells you they love you
You're gonna believe them
And when you're fifteen
And your first kiss makes your head spin around
But in your life you'll do things
Greater than dating the boy on the football team
But I didn't know it at fifteen
When all you wanted
Was to be wanted
Wish you could go back
And tell yourself what you know now
Back then I swore I was gonna marry him someday
But I realized some bigger dreams of mine
And Abigail gave everything she had
To a boy who changed his mind
And we both cried
'Cause when you're fifteen,
Somebody tells you they love you
You're gonna believe them
And when you're fifteen
Don't forget to look before you fall
I've found time can heal most anything
And you just might find who you're supposed to be
I didn't know who I was supposed to be
At fifteen
La la la la la
Your very first day
Take a deep breath girl
And take a deep breath as you walk through the doors
"
Taylor Swift ,Fearless,Love Story ,"We were both young when I first saw you
I close my eyes and the flashback starts
I'm standin' there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""Hello""
Little did I know
That you were Romeo, you were throwin' pebbles
And my daddy said, ""Stay away from Juliet""
And I was cryin' on the staircase
Beggin' you, ""Please don't go, "" and I said
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
So I sneak out to the garden to see you
We keep quiet, 'cause we're dead if they knew
So close your eyes
Escape this town for a little while, oh oh
'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet""
But you were everything to me
I was beggin' you, ""Please don't go, "" and I said
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say, ""Yes""
Romeo, save me, they're tryna tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say, ""Yes""
Oh, oh
I got tired of waiting
Wonderin' if you were ever comin' around
My faith in you was fading
When I met you on the outskirts of town, and I said
Romeo, save me, I've been feeling so alone
I keep waiting for you, but you never come
Is this in my head? I don't know what to think
He knelt to the ground and pulled out a ring
And said, ""Marry me, Juliet
You'll never have to be alone
I love you and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say, ""Yes""
Oh, oh, oh
Oh, oh, oh, oh
'Cause we were both young when I first saw you
"
Taylor Swift ,Fearless,Hey Stephen ,"Hey Stephen, I know looks can be deceiving
But I know I saw a light in you
And as we walked we would talk
And I didn't say half the things I wanted to
Of all the girls tossing rocks at your window
I'll be the one waiting there even when it's cold
Hey Stephen, boy you might have me believing
I don't always have to be alone
'Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm I can't help myself
Hey Stephen, I've been holding back this feeling
So I've got some things to say to you
I've seen it all, so I thought
But I've never seen nobody shine the way you do
The way you walk, way you talk, way you say my name
It's beautiful, wonderful, don't you ever change
Hey Stephen, why are people always leaving
I think you and I should stay the same
Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm I can't help myself
They're dimming the street lights, you're perfect for me
Why aren't you here tonight?
I'm waiting alone now so come on and come out
And pull me near and shine, shine, shine
Hey Stephen, I could give you fifty reasons
Why I should be the one you choose
All those other girls, well they're beautiful
But would they write a song for you?
Cause I can't help it if you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
I can't help myself if you look like an angel
Can't help it if I wanna kiss you in the rain, so
Come feel this magic I've been feeling since I met you
Can't help it if there's no one else
Mmm I can't help myself
myself
Mm
I can't help myself
I can't help myself
Oh, Oh,
Mm
Mm
"
