subcategory,rank,year,name,show,affiliation,title
"Online Video, on Location",Nominee,2020,"Eat, Drink, Share, Puerto Rico","Eat, Drink, Share, Puerto Rico",YouTube,El Burén de Lula
"Online Video, on Location",Winner,2020,Handmade,Handmade,Eater and YouTube,How Knives Are Made for New York's Best Restaurants; How a Ceramics Master Makes Plates for Michelin-Starred Restaurants
"Television Program, in Studio or Fixed Location",Nominee,2020,Lidia's Kitchen,Lidia's Kitchen,PBS,Trattoria Favorites
Audio Program,Nominee,2020,The Sporkful,The Sporkful,"iTunes, Sporkful, Spotify, and Stitcher",When White People Say Plantation
Audio Reporting,Nominee,2020,Lisa Morehouse,California Foodways,"KQED, California Foodways, iTunes, Google Play, Radio Public, SoundCloud, and Stitcher","The Curious Second Life of a Prather Ranch Cow: Biomedical Research; Trans Man Finds – and Creates – Refuge in His Family's Small-Town Cafe; Legalizing Cannabis Impacts Food, Farming in Humboldt"
"Television Program, on Location",Nominee,2020,Chef's Table,Chef's Table,Netflix,Asma Khan
Audio Reporting,Winner,2020,Betsy Shepherd,Gravy,southernfoodways.org and iTunes,Mahalia Jackson’s Glori-Fried Chicken
Audio Reporting,Nominee,2020,Tamar Adler,Food Actually,Luminary,Junk Food Actually
Visual Reporting,Winner,2020,Gretchen Goetz,Rotten,Netflix,The Avocado War
Visual and Audio Technical Excellence,Winner,2020,Will D. Basanta,NA,Netflix,Chef's Table
"Online Video, Fixed Location",Nominee,2020,Ready Jet Cook,Ready Jet Cook,FoodNetwork.com and YouTube,How to Make Pad Thai with Jet Tila
Visual and Audio Technical Excellence,Nominee,2020,Alexander D. Paul,NA,Netflix,Street Food
Visual Reporting,Winner,2020,Erin Cauchi,Rotten,Netflix,The Avocado War
Visual and Audio Technical Excellence,Nominee,2020,Kevin Russell,The Taste of Place,Vimeo,Wild Rice
Documentary,Nominee,2020,Harvest Season,NA,PBS,Harvest Season
Visual and Audio Technical Excellence,Nominee,2020,Jesse Roesler,The Taste of Place,Vimeo,Wild Rice
"Television Program, on Location",Winner,2020,Las Crónicas del Taco (Taco Chronicles),Las Crónicas del Taco (Taco Chronicles),Netflix,Canasta
"Online Video, Fixed Location",Winner,2020,Grace Young,Grace Young,GraceYoung.com and YouTube,Wok Therapist
Documentary,Nominee,2020,Diana Kennedy: Nothing Fancy,NA,Apple TV and Amazon Prime,Diana Kennedy: Nothing Fancy
"Television Program, in Studio or Fixed Location",Nominee,2020,Good Eats: The Return,Good Eats: The Return,Food Network,American Classic: Chicken Parm
"Television Program, on Location",Nominee,2020,Street Food,Street Food,Netflix,"Bangkok, Thailand"
"Television Show, On Location",Nominee,2019,Ugly Delicious,Ugly Delicious,Netflix,Fried Chicken
"Television Program, in Studio or Fixed Location",Nominee,2019,Barefoot Contessa: Cook Like a Pro,Barefoot Contessa,Food Network,Mary Poppins Show
"Television Program, on Location",Nominee,2019,The Migrant Kitchen,The Migrant Kitchen,KCET and Link TV,Man'oushe
"Television Program, on Location",Winner,2019,Salt Fat Acid Heat,Salt Fat Acid Heat,Netflix,Salt
Documentary,Winner,2019,Modified,NA,Film festivals and Vimeo,Modified
Special (on TV or Online),Winner,2019,Spencer’s BIG Holiday,NA,Gusto,Spencer's BIG Holiday
Radio Show,Nominee,2019,KCRW's Good Food,KCRW's Good Food,KCRW,Remembering Jonathan Gold
Visual and Technical Excellence,Nominee,2019,Kevin Kossowan,NA,Vimeo,From The Wild - Season 4
Visual and Technical Excellence,Nominee,2019,Adam Bricker,NA,Netflix,Chef's Table
Podcast,Nominee,2019,Racist Sandwich,Racist Sandwich,"iTunes, Racist Sandwich, and Stitcher",Erasing Black Barbecue
Visual and Technical Excellence,Winner,2019,August Thurmer,NA,"CNN, Explore Parts Unknown, Roads & Kingdoms",Anthony Bourdain: Explore Parts Unknown
Visual and Technical Excellence,Winner,2019,Sarah Hagey,NA,"CNN, Explore Parts Unknown, Roads & Kingdoms",Anthony Bourdain: Explore Parts Unknown
Visual and Technical Excellence,Nominee,2019,Danny O'Malley,NA,Netflix,Chef's Table
Special (on TV or Online),Nominee,2019,Taste Buds,Taste Buds,ABC,Chefsgiving
Online Video Fixed / Location and/or Instructional,Nominee,2019,Mad Genius,Mad Genius,"Food & Wine, YouTube, and Facebook",Crispy Cheese Sticks; Waffled Okonomiyaki; and Puff Pastry
"Television Program, in Studio or Fixed Location",Winner,2019,Pati's Mexican Table,Pati's Mexican Table,WETA Washington; Distributed Nationally by American Public Television,Tijuana: Stories from the Border
Outstanding Personality/Host,Winner,2019,Marcus Samuelsson,NA,PBS,No Passport Required
"Television Program, in Studio or Fixed Location",Nominee,2019,Good Eats: Reloaded,Good Eats: Reloaded,Cooking Channel,Steak Your Claim
Documentary,Nominee,2019,Funke,NA,LA Film Festival and Tastemade,Funke
Visual and Technical Excellence,Nominee,2019,Will D. Basanta,NA,Netflix,Chef's Table
Radio Show,Nominee,2019,California Foodways,California Foodways,"KQED, California Foodways",Providing a Taste of Oaxaca to Central Valley; Can Ag and Wildlife Co-Exist? Rice Farmers Think So; and Frozen Burrito Royalty in the Central Valley
Special (on TV or Online),Nominee,2019,Anthony Bourdain: Explore Parts Unknown,Anthony Bourdain: Explore Parts Unknown,"CNN, Explore Parts Unknown, Roads & Kingdoms",Little Los Angeles
Outstanding Reporting,Winner,2019,David Chang,NA,"NBC, NBCSN","Deep Dive and Food for Thought, 2018 PyeongChang Winter Olympics"
Radio Show,Winner,2019,The Food Chain,The Food Chain,BBC World Service,Raw Grief and Widowed
Podcast,Winner,2019,Copper & Heat,Copper & Heat,"Copper & Heat, iTunes, Spotify, and Stitcher",Be a Girl
Outstanding Reporting,Nominee,2019,Yara Elmjouie,In Real Life,"YouTube, AJ+",Why You MUST Try Native American Cuisine
Outstanding Reporting,Nominee,2019,Dan Pashman,The Sporkful,Sticher,Yewande Finds Her Super Power
"Online Video, Fixed Location",Winner,2019,MasterClass,NA,MasterClass,Dominique Ansel Teaches French Pastry Fundamentals
Outstanding Personality/Host,Nominee,2019,Molly Yeh,NA,Food Network,Girl Meets Farm
"Online Video, on Location",Winner,2019,First We Feast,First We Feast's Food Skills,YouTube,Mozzarella Kings of New York
Visual and Technical Excellence,Winner,2019,Kate Kunath,NA,"CNN, Explore Parts Unknown, Roads & Kingdoms",Anthony Bourdain: Explore Parts Unknown
"Online Video, on Location",Nominee,2019,NPR Foraging,NPR Foraging,NPR,Eating Wild Sea Creatures; You Can Eat Dandelions; and The Hunt for Morels
"Online Video, on Location",Nominee,2019,Kitchen Unnecessary,Kitchen Unnecessary,"YouTube, Facebook",Fire Morels
Podcast,Nominee,2019,The Feed,The Feed,PodcastOne,Paletas and Other Icy Treats
Outstanding Personality/Host,Nominee,2019,Samin Nosrat,NA,Netflix,Salt Fat Acid Heat
Documentary,Nominee,2019,Chef Flynn,NA,"Hulu, iTunes, and YouTube",Chef Flynn
Radio Show,Winner,2018,Elissa Nadworny,NA,NPR,The Legacy of the Mississippi Delta Chinese
Radio Show,Winner,2018,Melissa Block,NA,NPR,The Legacy of the Mississippi Delta Chinese
Radio Show,Nominee,2018,Simon Tulett,NA,BBC World Service,The Food Chain
Television Segment,Winner,2018,Mary Beth Durkin,NA,PBS,PBS NewsHour
Podcast,Winner,2018,Dan Charles,NA,"Stitcher, iTunes",The Sporkful
Podcast,Winner,2018,Anne Noyes Saini,NA,"Stitcher, iTunes",The Sporkful
Podcast,Nominee,2018,Cathy Erway,NA,"Whyweeat.show, Gimlet Media, and Apple Podcasts","Why We Eat What We Eat Episode 2: I Eat Everything, Except..."
Outstanding Personality/Host,Winner,2018,Pati Jinich,NA,WETA Washington; Nationally Distributed by American Public Television,Pati's Mexican Table
Podcast,Nominee,2018,Aaron Mason,NA,"iTunes, Stitcher, and www.yourlastmealpodcast.com",Your Last Meal (with Rachel Belle)
Television Segment,Nominee,2018,Chance Horner,NA,WFAA-TV Dallas and stations owned by TEGNA Media,Verify
Documentary,Nominee,2018,Anthony Bourdain,NA,"CNN, Netflix, and iTunes",Jeremiah Tower: The Last Magnificent
Documentary,Nominee,2018,Christopher Collins,NA,"CNN, Netflix, and iTunes",Jeremiah Tower: The Last Magnificent
Documentary,Nominee,2018,Laura Heimbold,NA,Multiple film festivals in 2017,Blind Sushi
Documentary,Nominee,2018,Joseph Caterini,NA,"CNN, Netflix, and iTunes",Jeremiah Tower: The Last Magnificent
"Video Webcast, On Location",Nominee,2018,Justin Bolois,NA,First We Feast Youtube Channel,Food Grails
Television Segment,Winner,2018,Allison Aubrey,NA,PBS,PBS NewsHour
Television Segment,Winner,2018,Paul Solman,NA,PBS,PBS NewsHour
"Video Webcast, On Location",Nominee,2018,Miss Info,NA,First We Feast Youtube Channel,Food Grails
"Television Program, on Location",Nominee,2018,Antonio Diaz,NA,KCET and Link TV,The Migrant Kitchen
"Television Program, on Location",Nominee,2018,Stef Ferrari,NA,KCET and Link TV,The Migrant Kitchen
"Television Program, on Location",Nominee,2018,Juan Devis,NA,KCET and Link TV,The Migrant Kitchen
Television Segment,Nominee,2018,Steve Dolinsky,NA,ABC 7 Chicago and abc7chicago.com,ABC 7 News - The Hungry Hound
"Television Program, on Location",Nominee,2018,Marilyn J. Brass,NA,PBS,The Food Flirts with the Brass Sisters
"Video Webcast, On Location",Nominee,2018,Kevin Kossowan,NA,Vimeo On Demand,From The Wild - Season 3
"Television Program, on Location",Winner,2018,David Gelb,NA,Netflix,Chef's Table: Jeong Kwan
"Television Program, on Location",Winner,2018,Andrew Fried,NA,Netflix,Chef's Table: Jeong Kwan
"Television Program, on Location",Winner,2018,Brian McGinn,NA,Netflix,Chef's Table: Jeong Kwan
"Television Program, on Location",Nominee,2018,Bruce Seidel,NA,PBS,The Food Flirts with the Brass Sisters
"Television Program, in Studio or Fixed Location",Nominee,2018,Luis Leon,NA,Gusto,The Latin Kitchen
"Television Program, in Studio or Fixed Location",Winner,2018,Rachel Nicole Purnell,NA,Food Network,Barefoot Contessa: Cook Like a Pro
"Television Program, in Studio or Fixed Location",Nominee,2018,Luis Valenzuela,NA,Gusto,The Latin Kitchen
"Television Program, on Location",Nominee,2018,Denise Swidey,NA,PBS,The Food Flirts with the Brass Sisters
Visual and Technical Excellence,Nominee,2018,Matthew Salleh,NA,Netflix,Barbecue
"Television Program, in Studio or Fixed Location",Nominee,2018,Damaris Phillips,NA,Food Network,The Bobby and Damaris Show
"Television Program, in Studio or Fixed Location",Winner,2018,Olivia Ball,NA,Food Network,Barefoot Contessa: Cook Like a Pro
"Television Program, in Studio or Fixed Location",Nominee,2018,Bobby Flay,NA,Food Network,The Bobby and Damaris Show
"Television Program, in Studio or Fixed Location",Nominee,2018,Kim Martin,NA,Food Network,The Bobby and Damaris Show
"Television Program, in Studio or Fixed Location",Nominee,2018,Kirsty Nordal,NA,Food Network,The Bobby and Damaris Show
"Television Program, in Studio or Fixed Location",Winner,2018,Bridget Lumley,NA,Food Network,Barefoot Contessa: Cook Like a Pro
"Television Program, in Studio or Fixed Location",Winner,2018,Ina Garten,NA,Food Network,Barefoot Contessa: Cook Like a Pro
Special (on TV or Web),Nominee,2018,Molly Shiels,NA,CNN,Family Meal: NYC
Special (on TV or Web),Nominee,2018,Lilit Marcus,NA,CNN,Family Meal: NYC
Special (on TV or Web),Winner,2018,Laurie Donnelly,NA,PBS,Lidia Celebrates America: Homegrown Heroes
Special (on TV or Web),Nominee,2018,Jane Pauley,NA,CBS,"CBS Sunday Morning Â­The Food Issue: Eat, Drink, and Be Merry"
Special (on TV or Web),Nominee,2018,Rand Morrison,NA,CBS,"CBS Sunday Morning Â­The Food Issue: Eat, Drink, and Be Merry"
"Television Program, in Studio or Fixed Location",Nominee,2018,Chris Knight,NA,Gusto,The Latin Kitchen
Special (on TV or Web),Nominee,2018,Alice Xue Yu,NA,CNN,Family Meal: NYC
Special (on TV or Web),Winner,2018,Lidia Bastianich,NA,PBS,Lidia Celebrates America: Homegrown Heroes
