subcategory,rank,year,name,title,publisher
International,Nominee,2024,Clarissa Wei,Made in Taiwan: Recipes and Stories from the Island Nation,(Simon & Schuster/Simon Element)
Vegetable-Focused Cooking,Winner,2024,Hetty Lui McKinnon,Tenderheart: A Cookbook About Vegetables and Unbreakable Family Bonds,(Alfred A. Knopf)
Restaurant and Professional,Nominee,2024,Pat Nourse,Ester: Australian Cooking,(Murdoch Books)
Beverage without Recipes,Nominee,2024,Henry Jeffreys,Vines in a Cold Climate: The People Behind the English Wine Revolution,(Atlantic)
"Reference, History, and Scholarship",Nominee,2024,Giselle Lord,The Ark of Taste: Delicious and Distinctive Foods That Define the United States,(Hachette Book Group)
Baking and Desserts,Winner,2024,Abi Balingit,Mayumu: Filipino American Desserts Remixed,(HarperCollins)
Literary Writing,Nominee,2024,Klancy Miller,"For The Culture: Phenomenal Black Women and Femmes in Food: Interviews, Inspiration, and Recipes",(HarperCollins)
Literary Writing,Winner,2024,Laura Tillman,The Migrant Chef: The Life and Times of Lalo García,(W. W. Norton & Company)
"Reference, History, and Scholarship",Winner,2024,Naa Oyo Kwate,"White Burgers, Black Cash: Fast Food from Black Exclusion to Exploitation",(University of Minnesota Press)
Restaurant and Professional,Nominee,2024,Jessica Battilana,Rintaro: Japanese Food from an Izakaya in California,(Hardie Grant North America)
Beverage without Recipes,Winner,2024,David Suro Piñera,"Agave Spirits: The Past, Present, and Future of Mezcals",(W. W. Norton & Company)
International,Winner,2024,José Andrés,The World Central Kitchen Cookbook,(Clarkson Potter)
Visuals,Nominee,2024,Kate Medley,Thank You Please Come Again: How Gas Stations Feed & Fuel the American South,(BS Publishing)
Beverage without Recipes,Nominee,2024,Jon Bonné,The New French Wine,(Ten Speed Press)
General,Winner,2024,Sohla El-Waylly,Start Here: Instructions for Becoming a Better Cook,(Alfred A. Knopf)
U.S. Foodways,Winner,2024,Aaron Israel,Love Japan: Recipes from Our Japanese American Kitchen,(Ten Speed Press)
Visuals,Winner,2024,Yudi Echevarria,The Book of Sichuan Chili Crisp - Yudi Echevarria (Ten Speed Press),()
Visuals,Nominee,2024,Sarah Madden,"For The Culture: Phenomenal Black Women and Femmes in Food: Interviews, Inspiration, and Recipes",(HarperCollins)
General,Nominee,2024,Nigel Slater,A Cook's Book,(Ten Speed)
Food Issues and Advocacy,Winner,2024,Philip Gleissner,Resilient Kitchens: American Immigrant Cooking in a Time of Crisis: Essays and Recipes,(Rutgers University Press)
Food Issues and Advocacy,Nominee,2024,Louise Gray,Avocado Anxiety: and Other Stories About Where Your Food Comes From,(Bloomsbury Wildlife)
U.S. Foodways,Nominee,2024,Elaine Mao,Made Here Recipes & Reflections From NYC's Asian Communities,(Self-Published)
Visuals,Nominee,2023,Brittany Conerly,Homage: Recipes and Stories from an Amish Soul Food Kitchen,(Chronicle Books)
Cookbook Hall of Fame,Winner,2023,Joseph G. Randall,NA,NA
Visuals,Nominee,2023,Ángelo Álvarez,The Sofrito Manifesto,(Self-Published)
Vegetable-Focused Cooking,Nominee,2023,Alice Zaslavsky,In Praise of Veg: The Ultimate Cookbook for Vegetable Lovers,(Appetite by Random House)
Visuals,Nominee,2023,Bernardo Medina,The Sofrito Manifesto,(Self-Published)
Beverage without Recipes,Nominee,2023,Alice Feiring,"To Fall in Love, Drink This: A Wine Writer’s Memoir",(Scribner)
Food Issues and Advocacy,Winner,2023,Pa Williams-Forson,Eating While Black: Food Shaming and Race in America,(University of North Carolina Press)
Literary Writing,Nominee,2023,Kevin Alexander,California Soul: An American Epic of Cooking and Survival,(Random House)
Emerging Voice,Winner,2023,Illyanna Maisonet,Diasporican: A Puerto Rican Cookbook,(Ten Speed Press)
Literary Writing,Nominee,2023,Keith Corbin,California Soul: An American Epic of Cooking and Survival,(Random House)
Restaurant and Professional,Nominee,2023,Hannah Black,Please Wait To Be Tasted: The Lil' Deb's Oasis Cookbook,(Princeton Architectural Press)
Baking and Desserts,Nominee,2023,Laurel Kratochvila,"New European Baking: 99 Recipes for Breads, Brioches and Pastries",(Prestel)
Vegetable-Focused Cooking,Winner,2023,Hannah Che,The Vegan Chinese Kitchen: Recipes and Modern Stories from a Thousand-Year-Old Tradition: A Cookbook,(Clarkson Potter)
Bread,Nominee,2023,Alex Tait,Breadsong: How Baking Changed Our Lives,(Bloomsbury Publishing)
U.S. Foodways,Nominee,2023,Bill Leung,The Woks of Life: Recipes to Know and Love from a Chinese American Family: A Cookbook,(Clarkson Potter)
U.S. Foodways,Nominee,2023,Judy Leung,The Woks of Life: Recipes to Know and Love from a Chinese American Family: A Cookbook,(Clarkson Potter)
Restaurant and Professional,Winner,2023,Kevin Bludso,Bludso's BBQ Cookbook: A Family Affair in Smoke and Soul,(Ten Speed Press)
General,Nominee,2023,Sarah Zorn,Sunday Best: Cooking Up the Weekend Spirit Every Day: A Cookbook,(Clarkson Potter)
Bread,Winner,2023,Maurizio Leo,"The Perfect Loaf: The Craft and Science of Sourdough Breads, Sweets, and More: A Baking Book",(Clarkson Potter)
Beverage with Recipes,Winner,2023,Emma Janzen,"The Bartender's Manifesto: How to Think, Drink, and Create Cocktails Like a Pro",(Clarkson Potter)
Beverage with Recipes,Nominee,2023,Emily Timberlake,Cure: New Orleans Drinks and How to Mix 'Em from the Award-Winning Bar,(Abrams Books)
Literary Writing,Nominee,2023,Tamar Haspel,"To Boldly Grow: Finding Joy, Adventure, and Dinner in Your Own Backyard",(G.P. Putnam’s Sons)
International,Winner,2023,Rick Martinez,Mi Cocina: Recipes and Rapture from My Kitchen in Mexico: A Cookbook,(Clarkson Potter)
Single Subject,Nominee,2023,Jorge Gaviria,"Masa: Techniques, Recipes, and Reflections on a Timeless Staple",(Chronicle Books)
International,Nominee,2023,Anita Jaisinghani,"Masala: Recipes from India, the Land of Spices",(Ten Speed Press)
Vegetable-Focused Cooking,Nominee,2023,Sheil Shukla,Plant-Based India: Nourishing Recipes Rooted in Tradition,(The Experiment)
Baking and Desserts,NA,2023,Bette Board Member,(),NA
Literary Writing,Winner,2023,Fatima Ali,Savor: A Chef's Hunger for More,(Ballantine Books)
General,Winner,2023,Andy Baraghani,The Cook You Want to Be: Everyday Recipes to Impress,(Lorena Jones Books)
Restaurant and Professional,Nominee,2023,Meshell Ndegeocello,Please Wait To Be Tasted: The Lil' Deb's Oasis Cookbook,(Princeton Architectural Press)
Restaurant and Professional,Nominee,2023,Carla Perez Gallardo,Please Wait To Be Tasted: The Lil' Deb's Oasis Cookbook,(Princeton Architectural Press)
U.S. Foodways,Winner,2023,Vishwesh Bhatt,I Am From Here: Stories and Recipes from a Southern Chef,(W.W. Norton & Company)
Bread,Nominee,2023,Emma Zimmerman,The Miller's Daughter: Unusual Flours & Heritage Grains: Stories and Recipes from Hayden Flour Mills,(Hardie Grant Books)
Restaurant and Professional,Nominee,2023,Mason Hereford,Turkey and the Wolf: Flavor Trippin' in New Orleans,(Ten Speed Press)
"Reference, History, and Scholarship",Nominee,2023,Natalia Molina,A Place at the Nayarit: How a Mexican Restaurant Nourished a Community,(University of California Press)
General,Nominee,2023,Adrienne Cheatham,Sunday Best: Cooking Up the Weekend Spirit Every Day: A Cookbook,(Clarkson Potter)
U.S. Foodways,Nominee,2023,Kayla Stewart,Gullah Geechee Home Cooking: Recipes from the Matriarch of Edisto Island,(Abrams Books)
U.S. Foodways,Nominee,2023,Kaitlin Leung,The Woks of Life: Recipes to Know and Love from a Chinese American Family: A Cookbook,(Clarkson Potter)
Food Issues and Advocacy,Nominee,2023,Kenneth Kolb,Retail Inequality: Reframing the Food Desert Debate,(University of California Press)
Bread,Nominee,2023,Kitty Tait,Breadsong: How Baking Changed Our Lives,(Bloomsbury Publishing)
Food Issues and Advocacy,Nominee,2023,Fabio Parasecoli Parasecoli,"Gastronativism: Food, Identity, Politics",(Columbia University Press)
Beverage with Recipes,Nominee,2023,Neal Bodenheimer,Cure: New Orleans Drinks and How to Mix 'Em from the Award-Winning Bar,(Abrams Books)
U.S. Foodways,Nominee,2023,Sarah Leung,The Woks of Life: Recipes to Know and Love from a Chinese American Family: A Cookbook,(Clarkson Potter)
Literary Writing,Winner,2023,Tarajia Morrell,Savor: A Chef's Hunger for More,(Ballantine Books)
Restaurant and Professional,Nominee,2023,Jj Goode,Turkey and the Wolf: Flavor Trippin' in New Orleans,(Ten Speed Press)
General,Winner,2023,Andy Baraghani,The Cook You Want to Be: Everyday Recipes to Impress,(Lorena Jones Books)
"Reference, History, and Scholarship",Nominee,2023,Natalia Molina,A Place at the Nayarit: How a Mexican Restaurant Nourished a Community,(University of California Press)
U.S. Foodways,Nominee,2023,Emily Meggett,Gullah Geechee Home Cooking: Recipes from the Matriarch of Edisto Island,(Abrams Books)
Beverage with Recipes,Nominee,2023,Jaega Wise,"Wild Brews: The Craft of Home Brewing, from Sour and Fruit Beers to Farmhouse Ales",(Kyle Books)
Beverage with Recipes,Winner,2023,Toby Maloney,"The Bartender's Manifesto: How to Think, Drink, and Create Cocktails Like a Pro",(Clarkson Potter)
Restaurant and Professional,Winner,2023,Noah Galuten,Bludso's BBQ Cookbook: A Family Affair in Smoke and Soul,(Ten Speed Press)
International,Winner,2023,Rick Martinez,Mi Cocina: Recipes and Rapture from My Kitchen in Mexico: A Cookbook,(Clarkson Potter)
Cookbook Hall of Fame,Winner,2023,Joseph G. Randall,NA,NA
Literary Writing,Nominee,2023,Tamar Haspel,"To Boldly Grow: Finding Joy, Adventure, and Dinner in Your Own Backyard",(G.P. Putnam’s Sons)
Visuals,Nominee,2023,Bernardo Medina,The Sofrito Manifesto,(Self-Published)
Visuals,Nominee,2023,Ángelo Álvarez,The Sofrito Manifesto,(Self-Published)
Vegetable-Focused Cooking,Nominee,2023,Alice Zaslavsky,In Praise of Veg: The Ultimate Cookbook for Vegetable Lovers,(Appetite by Random House)
Baking and Desserts,Winner,2023,Irina Georgescu,Tava: Eastern European Baking and Desserts from Romania & Beyond,(Hardie Grant Books)
Restaurant and Professional,Nominee,2023,Carla Perez Gallardo,Please Wait To Be Tasted: The Lil' Deb's Oasis Cookbook,(Princeton Architectural Press)
Visuals,Nominee,2023,Rafael Montalvo,The Sofrito Manifesto,(Self-Published)
International,Nominee,2023,Ixta Belfrage,Mezcla: Recipes to Excite,(Ten Speed Press)
General,Nominee,2023,Adrienne Cheatham,Sunday Best: Cooking Up the Weekend Spirit Every Day: A Cookbook,(Clarkson Potter)
General,Nominee,2023,Sarah Zorn,Sunday Best: Cooking Up the Weekend Spirit Every Day: A Cookbook,(Clarkson Potter)
Restaurant and Professional,Nominee,2023,Meshell Ndegeocello,Please Wait To Be Tasted: The Lil' Deb's Oasis Cookbook,(Princeton Architectural Press)
U.S. Foodways,Winner,2023,Vishwesh Bhatt,I Am From Here: Stories and Recipes from a Southern Chef,(W.W. Norton & Company)
International,Winner,2022,Julia Turshen,In Bibi's Kitchen: The Recipes and Stories of Grandmothers from the Eight African Countries that Touch the Indian Ocean,(Ten Speed Press)
Writing,Nominee,2022,Joseph C. Ewoodzie Jr.,"Getting Something to Eat in Jackson: Race, Class, and Food in the American South",(Princeton University Press)
Baking & Desserts,Winner,2022,Kristina Cho,Mooncakes and Milk Bread: Sweet and Savory Recipes Inspired by Chinese Bakeries,(Harper Horizon)
Restaurant and Professional,Nominee,2022,Francisco Migoya,Modernist Pizza,(The Cooking Lab)
General,Winner,2022,Gregory Gourdet,Everyone's Table: Global Recipes for Modern Health,(Harper Wave)
International,Nominee,2022,Yasmin Khan,"Ripe Figs: Recipes and Stories from Turkey, Greece, and Cyprus",(W. W. Norton & Company)
International,Winner,2022,Hawa Hassan,In Bibi's Kitchen: The Recipes and Stories of Grandmothers from the Eight African Countries that Touch the Indian Ocean,(Ten Speed Press)
Baking & Desserts,Nominee,2022,Cheryl Day,Cheryl Day's Treasury of Southern Baking,(Artisan Books)
Writing,Nominee,2022,Yasmin Khan,The Man Who Ate Too Much: The Life of James Beard,(W. W. Norton & Company)
Beverage without Recipes,Winner,2022,Mallory O'Meara,Girly Drinks: A World History of Women and Alcohol,(Hanover Square Press)
Visuals,Winner,2022,Rob Palmer,Take One Fish: The New School of Scale-to-Tail Cooking and Eating,(Hardie Grant)
Visuals,Nominee,2022,Julia Hasting,monk: Light and Shadow on the Philosopher's Path,(Phaidon)
Visuals,Nominee,2022,Andrea Fazzari,SUSHI SHOKUNIN: Japan's Culinary Masters,(Assouline)
Vegetable-Focused Cooking,Nominee,2022,Hetty Lui McKinnon,"To Asia, With Love: Every Asian Recipes and Stories from the Heart",(Prestel Publishing)
Single Subject,Nominee,2022,Martha Holmberg,Grains for Every Season: Rethinking Our Way with Grains,(Artisan Books)
Vegetable-Focused Cooking,Nominee,2022,Joe Yonan,Vegetable Kingdom: The Abundant World of Vegan Recipes,(Ten Speed Press)
Single Subject,Winner,2022,Jesse Griffiths,"The Hog Book: A Chef's Guide to Hunting, Butchering and Cooking Wild Pigs",(Wild Hog Project)
Single Subject,Nominee,2022,Joshua McFadden,Grains for Every Season: Rethinking Our Way with Grains,(Artisan Books)
Vegetable-Focused Cooking,Winner,2022,Joanne Lee Molinaro,The Korean Vegan Cookbook: Reflections and Recipes from Omma's Kitchen,(Avery)
General,Winner,2022,Jj Goode,Everyone's Table: Global Recipes for Modern Health,(Harper Wave)
Restaurant and Professional,Nominee,2022,Missy Robbins,"Pasta: The Spirit and Craft of Italy's Greatest Food, with Recipes",(Ten Speed Press)
Baking & Desserts,Nominee,2022,Yasmin Khan,Mother Grains: Recipes for the Grain Revolution,(W. W. Norton & Company)
US Foodways,Nominee,2022,Marcus Samuelsson,The Rise: Black Cooks and the Soul of American Food: A Cookbook,(Hachette Book Group)
International,Nominee,2022,Missy Robbins,Falastin: A Cookboook,(Ten Speed Press)
"Reference, History, and Scholarship",Nominee,2022,Jeremy Michael Umansky,Koji Alchemy: Rediscovering the Magic of Mold-Based Fermentation,(Chelsea Green Publishing)
General,Nominee,2022,Priya Krishna,"Cooking at Home: Or, How I Learned to Stop Worrying About Recipes (And Love My Microwave)",(Clarkson Potter)
Restaurant and Professional,Nominee,2022,Missy Robbins,"Pasta: The Spirit and Craft of Italy's Greatest Food, with Recipes",(Ten Speed Press)
Beverage with Recipes,Nominee,2022,Alex Day,Death & Co Welcome Home: A Cocktail Recipe Book,(Ten Speed Press)
Restaurant and Professional,Winner,2022,Tienlon Ho,Mister Jiu's in Chinatown: Recipes and Stories from the Birthplace of Chinese American Food,(Ten Speed Press)
International,Nominee,2022,Missy Robbins,Falastin: A Cookboook,(Ten Speed Press)
Restaurant and Professional,Nominee,2022,Nathan Myhrvold,Modernist Pizza,(The Cooking Lab)
US Foodways,Nominee,2022,Osayi Endolyn,The Rise: Black Cooks and the Soul of American Food: A Cookbook,(Hachette Book Group)
Beverage with Recipes,Nominee,2022,Alex Day,Death & Co Welcome Home: A Cocktail Recipe Book,(Ten Speed Press)
Restaurant and Professional,Winner,2022,Brandon Jew,Mister Jiu's in Chinatown: Recipes and Stories from the Birthplace of Chinese American Food,(Ten Speed Press)
Cookbook Hall of Fame,Winner,2022,Judy Rodgers,The Zuni Café Cookbook: A Compendium of Recipes and Cooking Lessons from San Francisco's Beloved Restaurant,NA
"Reference, History, and Scholarship",Winner,2022,Adrian Miller,Black Smoke: African Americans and the United States of Barbecue,(University of North Carolina Press)
"Reference, History, and Scholarship",Nominee,2022,Rich Shih,Koji Alchemy: Rediscovering the Magic of Mold-Based Fermentation,(Chelsea Green Publishing)
Beverage with Recipes,Nominee,2022,Devon Tarby,Death & Co Welcome Home: A Cocktail Recipe Book,(Ten Speed Press)
Writing,Winner,2022,Yasmin Khan,Franchise: The Golden Arches in Black America,(Liveright (W. W. Norton & Company))
Beverage with Recipes,Nominee,2022,Alex Day,Death & Co Welcome Home: A Cocktail Recipe Book,(Ten Speed Press)
Beverage with Recipes,Winner,2022,Julia Momosé,"The Way of the Cocktail: Japanese Traditions, Techniques, and Recipes",(Clarkson Potter)
US Foodways,Nominee,2022,Joe Yonan,"Black Food: Stories, Art, and Recipes from Across the African Diaspora",(4 Color / Ten Speed Press)
Beverage with Recipes,Nominee,2022,Michael Anstendig,The Japanese Art of the Cocktail,(Houghton Mifflin Harcourt)
General,Nominee,2022,Nigella Lawson,"Cook, Eat, Repeat: Ingredients, Recipes, and Stories",(Ecco)
Beverage with Recipes,Winner,2022,Emma Janzen,"The Way of the Cocktail: Japanese Traditions, Techniques, and Recipes",(Clarkson Potter)
Beverage with Recipes,Nominee,2022,Masahiro Urushido,The Japanese Art of the Cocktail,(Houghton Mifflin Harcourt)
"Reference, History, and Scholarship",Nominee,2022,Nik Sharma,The Flavor Equation: The Science of Great Cooking Explained + More Than 100 Essential Recipes,(Christina Amini)
US Foodways,Winner,2022,Melissa M. Martin,Mosquito Supper Club: Cajun Recipes from a Disappearing Bayou,(Artisan Books)
Emerging Voice Award,Winner,2022,Kristina Cho,Mooncakes and Milk Bread: Sweet and Savory Recipes Inspired by Chinese Bakeries,(Harper Horizon)
Beverage without Recipes,Nominee,2022,Mark Andrew,The Noble Rot Book: Wine from Another Galaxy,(Quadrille)
Visuals,Winner,2022,Daniel New,Take One Fish: The New School of Scale-to-Tail Cooking and Eating,(Hardie Grant)
Beverage without Recipes,Nominee,2022,Ryan Opaz,Foot Trodden: Portugal and the Wines that Time Forgot,(Morning Claret Productions/Interlink Books)
Beverage without Recipes,Nominee,2022,Dan Keeling,The Noble Rot Book: Wine from Another Galaxy,(Quadrille)
Beverage without Recipes,Nominee,2022,Simon J Woolf,Foot Trodden: Portugal and the Wines that Time Forgot,(Morning Claret Productions/Interlink Books)
General,Nominee,2022,Priya Krishna,"Cooking at Home: Or, How I Learned to Stop Worrying About Recipes (And Love My Microwave)",(Clarkson Potter)
Visuals,Nominee,2022,Yuka Yanazume,monk: Light and Shadow on the Philosopher's Path,(Phaidon)
Single Subject,Nominee,2022,Joe Yonan,"Cool Beans: The Ultimate Guide to Cooking with the World's Most Versatile Plant-Based Protein, with 125 Recipes",(Ten Speed Press)
American,Nominee,2020,Kaitlyn Goalen,Cook Like a Local,(Clarkson Potter)
"Reference, History, and Scholarship",Nominee,2020,Nico Slate,Gandhi’s Search for the Perfect Diet,(University of Washington Press)
Cookbook Hall of Fame,Winner,2020,Jancis Robinson,NA,NA
Photography,Nominee,2020,Quentin Bacon,Oaxaca,(Abrams Books)
Health and Special Diets,Nominee,2020,Arantzazu Goyoaga,Cannelle et Vanille,(Sasquatch Books)
Photography,Winner,2020,Eric Wolfinger,American Sfoglino,(Chronicle Books)
Restaurant and Professional,Nominee,2020,Kavi Thakrar,Dishoom,(Bloomsbury Publishing)
"Reference, History, and Scholarship",Nominee,2020,Bernard L Herman,A South You Never Ate,(The University of North Carolina Press)
Health and Special Diets,Winner,2020,Jeffrey Larsen,Gluten-Free Baking At Home,(Ten Speed Press)
Photography,Nominee,2020,Esther Choi,Le Corbuffet,(Prestel)
Vegetable-Focused Cooking,Nominee,2020,Abra Berens,Ruffage,(Chronicle Books)
International,Winner,2020,Yohanis Gebreyesus,Ethiopia,(Interlink Books)
Writing,Nominee,2020,Kwame Onwuachi,Notes from a Young Black Chef,(Knopf)
Restaurant and Professional,Nominee,2020,Kavi Thakrar,Dishoom,(Bloomsbury Publishing)
Health and Special Diets,Winner,2020,Jeffrey Larsen,Gluten-Free Baking At Home,(Ten Speed Press)
Health and Special Diets,Nominee,2020,Carla Oates,The Beauty Chef Gut Guide,(Hardie Grant Books)
Health and Special Diets,Nominee,2020,Arantzazu Goyoaga,Cannelle et Vanille,(Sasquatch Books)
"Reference, History, and Scholarship",Winner,2020,Chris Smith,The Whole Okra,(Chelsea Green Publishing)
Beverage without Recipes,Winner,2020,Jancis Robinson,The World Atlas of Wine 8th Edition,(Mitchell Beazley)
Vegetable-Focused Cooking,Nominee,2020,Abra Berens,Ruffage,(Chronicle Books)
Writing,Nominee,2020,Charlotte Druckman,Women on Food,(Abrams Press)
Vegetable-Focused Cooking,Winner,2020,Amy Chaplin,Whole Food Cooking Every Day,(Artisan Books)
Restaurant and Professional,Winner,2020,Josh Niland,The Whole Fish Cookbook,(Hardie Grant Books)
American,Nominee,2020,Chris Shepherd,Cook Like a Local,(Clarkson Potter)
Writing,Winner,2020,Bren Smith,Eat Like a Fish,(Knopf)
Photography,Nominee,2020,Quentin Bacon,Oaxaca,(Abrams Books)
Vegetable-Focused Cooking,Nominee,2020,Editors at America's Test Kitchen,Vegetables Illustrated,(America's Test Kitchen)
Restaurant and Professional,Nominee,2020,Kavi Thakrar,Dishoom,(Bloomsbury Publishing)
"Reference, History, and Scholarship",Nominee,2020,Nico Slate,Gandhi’s Search for the Perfect Diet,(University of Washington Press)
"Reference, History, and Scholarship",Nominee,2020,Bernard L Herman,A South You Never Ate,(The University of North Carolina Press)
Baking & Desserts,Winner,2020,Lauren Chattman,Living Bread,(Avery)
General,Winner,2020,Carla Lalli Music,Where Cooking Begins,(Clarkson Potter)
International,Winner,2020,Yohanis Gebreyesus,Ethiopia,(Interlink Books)
General,Nominee,2020,Christopher Kimball,Milk Street: The New Rules,(Voracious)
Beverage with Recipes,Nominee,2020,Brad Thomas Parsons,Last Call,(Ten Speed Press)
Restaurant and Professional,Nominee,2020,Kavi Thakrar,Dishoom,(Bloomsbury Publishing)
Beverage without Recipes,Nominee,2020,Chris Bunting,The Complete Guide to Japanese Drinks,(Tuttle Publishing)
Beverage without Recipes,Nominee,2020,Oz Clarke,Red & White,"(Little, Brown Book Group)"
Beverage without Recipes,Winner,2020,Hugh Johnson,The World Atlas of Wine 8th Edition,(Mitchell Beazley)
Beverage without Recipes,Nominee,2020,Stephen Lyman,The Complete Guide to Japanese Drinks,(Tuttle Publishing)
Restaurant and Professional,Nominee,2020,Kavi Thakrar,Dishoom,(Bloomsbury Publishing)
Baking & Desserts,Winner,2020,Daniel Leader,Living Bread,(Avery)
American,Winner,2020,Toni Tipton-Martin,Jubilee,(Clarkson Potter)
Baking & Desserts,Nominee,2020,Nicole Rucker,Dappled,(Avery)
Beverage with Recipes,Winner,2020,Leo Robitschek,The NoMad Cocktail Book,(Ten Speed Press)
Writing,Nominee,2020,Kwame Onwuachi,Notes from a Young Black Chef,(Knopf)
Photography,Nominee,2020,Esther Choi,Le Corbuffet,(Prestel)
American,Nominee,2020,Sean Brock,South,(Artisan Books)
General,Nominee,2020,Yasmin Khan,All About Dinner,(W. W. Norton & Company)
Single Subject,Nominee,2019,Eve Hemingway,Bread & Butter,(Quadrille)
