name,address1,city,zip,country,latitude,longitude,price_level,provider_rating,provider_review_count,review_stats_all_average_score,review_stats_all_count,review_stats_all_total_score,review_stats_community_average_score,review_stats_community_count,review_stats_community_total_score,review_stats_critic_average_score,review_stats_critic_count,review_stats_critic_total_score,review_stats_dave_average_score,review_stats_dave_count,review_stats_dave_total_score
Love & Dough,57 Pearl St,DUMBO,11201,US,40.7029363,-73.98748409999997,2,3,141,7.3,4,29.2,7.2333333333333325,3,21.7,0,0,0,7.5,1,7.5
Patsy's Pizzeria,2287 1st Ave,New York,10035,US,40.7971469,-73.934857,2,4,759,8.44864864864865,37,312.6,8.444444444444445,36,304,0,0,0,8.6,1,8.6
Louie & Ernie's Pizza,1300 Crosby Ave,Bronx,10461,US,40.838259,-73.8286389,1,4.5,245,8.051851851851852,27,217.4,8.061538461538461,26,209.6,0,0,0,7.8,1,7.8
Pizza Barn,70 McLean Ave,Yonkers,10705,US,40.9187903,-73.89371229999998,2,4,320,7.4631578947368435,19,141.8,7.477777777777778,18,134.6,0,0,0,7.2,1,7.2
Mama's Pizza,961 Rice St,Saint Paul,55117,US,44.9703571,-93.10623819999999,1,4.5,213,8.25,8,66,8.357142857142858,7,58.5,0,0,0,7.5,1,7.5
Dulono's Pizza,118 N 4th St,Minneapolis,55401,US,44.9819829,-93.2729943,2,3,52,6.185714285714285,7,43.3,6.5,5,32.5,4.5,1,4.5,6.3,1,6.3
Cheetah Pizza,5125 Edina Industrial Blvd,Edina,55439,US,44.8633027,-93.3540843,1,3.5,13,4.2,2,8.4,5,1,5,0,0,0,3.4,1,3.4
Fat Lorenzo's,5600 Cedar Ave S,Minneapolis,55417,US,44.9007915,-93.2477362,2,4,270,6.0166666666666675,6,36.1,6.55,4,26.2,5.8,1,5.8,4.1,1,4.1
Red's Savoy Pizza,18 University Ave NE,Minneapolis,55413,US,44.9885135,-93.25699,2,4,21,6.9,4,27.6,5.9,2,11.8,8.7,1,8.7,7.1,1,7.1
Frank From Philly & Andrea Pizza,1235 4th St. SE,Minneapolis,55414,US,44.981387100000006,-93.2373204,1,4,89,6.88,10,68.8,6.8125,8,54.5,8,1,8,6.3,1,6.3
Young Joni,165 13th Ave NE,Minneapolis,55413,US,45.0010473,-93.266725,2,4.5,489,8.130434782608695,23,187,8.154545454545454,22,179.4,0,0,0,7.6,1,7.6
Cossetta Alimentari,211 7th St W,Saint Paul,55102,US,44.94383759999999,-93.1040853,2,4,706,7.31,20,146.2,7.336842105263157,19,139.4,0,0,0,6.8,1,6.8
Pizza Luce,119 N 4th St,Minneapolis,55401,US,44.98175089999999,-93.2735502,2,4,515,5.7,15,85.5,5.7285714285714295,14,80.2,0,0,0,5.3,1,5.3
Football Pizza,1517 Como Ave SE,Minneapolis,55414,US,44.9880028,-93.2300315,2,4.5,60,7.1,2,14.2,7.4,1,7.4,0,0,0,6.8,1,6.8
Star Tavern,400 High St,Orange,7050,US,40.7832845,-74.2255033,2,4,698,8.123913043478261,46,373.7,8.146666666666668,45,366.6,0,0,0,7.1,1,7.1
LA Traviata Pizzeria,101 W 68th St,New York,10023,US,40.7750717,-73.980868,1,3.5,157,5.725,4,22.9,6.25,2,12.5,5,1,5,5.4,1,5.4
Percy's Pizza,190 Bleecker St,New York,10012,US,40.7290373,-74.0015817,1,4,211,5.933333333333334,6,35.6,6.375,4,25.5,4,1,4,6.1,1,6.1
Pizza Land,260 Belleville Tpke,North Arlington,7031,US,40.7816474,-74.13797710000001,1,3.5,69,7.35,8,58.8,7.314285714285715,7,51.2,0,0,0,7.6,1,7.6
Little Italy Pizza,55 W 45th St,New York,10036,US,40.7564841,-73.98147039999998,1,4,433,5.807692307692308,13,75.5,5.941666666666666,12,71.3,0,0,0,4.2,1,4.2
Re Sette,7 W 45th St,New York,10036,US,40.7559546,-73.9800255,3,3.5,319,7.5,2,15,0,0,0,7.9,1,7.9,7.1,1,7.1
B & W Deli & Pizzeria,373 W 34th St,New York,10001,US,40.7534553,-73.99602399999998,1,3,30,5.6,4,22.4,5.4,3,16.2,0,0,0,6.2,1,6.2
Mediterraneo Restaurant,1260 2nd Ave,New York,10065,US,40.7650144,-73.9608725,2,3,265,5.133333333333333,3,15.4,3,1,3,6.6,1,6.6,5.8,1,5.8
La Bellezza Pizza,315 Broadway,New York,10007,US,40.7157456,-74.0053843,2,3.5,13,7.3,4,29.2,7.366666666666667,3,22.1,0,0,0,7.1,1,7.1
Tre Sorelle,61 Reade St,New York,10007,US,40.714805,-74.00657700000002,2,3.5,136,6.9,4,27.6,7.449999999999997,2,14.9,6,1,6,6.7,1,6.7
Rubby's Pizzeria,57th St & 10th Ave,New York,10019,US,40.767267,-73.9841435,1,3.5,13,1.2,1,1.2,0,0,0,0,0,0,1.2,1,1.2
Justino's Pizzeria,881 10th Ave,New York,10019,US,40.7695645,-73.98862240000003,1,3.5,197,4.92,5,24.6,5.3,4,21.2,0,0,0,3.4,1,3.4
Casabianca Pizzeria,503 W 57th St,New York,10019,US,40.76947819999999,-73.9888845,1,3,48,7.122222222222222,9,64.1,7.1625,8,57.3,0,0,0,6.8,1,6.8
Sottosuolo NYC,122 E 27th St,New York,10016,US,40.7421252,-73.9836267,2,4,37,6.3,1,6.3,0,0,0,0,0,0,6.3,1,6.3
Mariella Pizza,965 Lexington Ave,New York,10021,US,40.76915620000001,-73.9628311,1,3.5,101,6.883333333333333,6,41.3,6.88,5,34.4,0,0,0,6.9,1,6.9
Bella Blu,967 Lexington Ave,New York,10021,US,40.7692221,-73.96281970000003,3,3.5,212,7.800000000000002,2,15.6,8.4,1,8.4,0,0,0,7.2,1,7.2
John & Tony's,1097 1st Ave,New York,10065,US,40.7604259,-73.9616128,1,3,86,6.433333333333334,3,19.3,6.3,2,12.6,0,0,0,6.7,1,6.7
Angelo's Pizzeria,1211 Stafford Dr,Princeton,24740,US,37.3627256,-81.09448379999998,2,3.5,40,5.5,1,5.5,0,0,0,0,0,0,5.5,1,5.5
Il Forno Pizza,343 2nd Ave,New York,10003,US,40.736006,-73.9825421,1,3,49,6.2666666666666675,3,18.8,6.25,2,12.5,0,0,0,6.3,1,6.3
Scarr's Pizza,22 Orchard St,New York,10002,US,40.7153411,-73.991428,1,4,210,7.915789473684211,19,150.4,7.927777777777778,18,142.7,0,0,0,7.7,1,7.7
Double Zero,65 2nd Ave,New York,10003,US,40.726083,-73.989775,2,4,395,5.25,6,31.5,4.6,5,23,0,0,0,8.5,1,8.5
Buca di Beppo Italian Restaurant,1540 Broadway,New York,10036,US,40.75807409999999,-73.9847908,2,3.5,355,4.1,2,8.2,0,0,0,7,1,7,1.2,1,1.2
Rico's Pizza,5404 W 25th Ave,Gary,46406,US,41.5737628,-87.4037838,1,3,12,3.1500000000000004,2,6.3000000000000025,3.1,1,3.1,0,0,0,3.2,1,3.2
Palermo's 95th,4849 W 95th St,Oak Lawn,60453,US,41.7197804,-87.7424228,2,3.5,379,9,14,126,9.169230769230767,13,119.2,0,0,0,6.8,1,6.8
Giordano's,730 N Rush St,Chicago,60611,US,41.895939,-87.62563779999998,2,3.5,2460,8.080597014925372,67,541.4,8.075757575757576,66,533,0,0,0,8.4,1,8.4
Gino's East - Magnificent Mile,162 E Superior St,Chicago,60611,US,41.8959836,-87.6230343,0,5,2,6.926666666666668,15,103.9,6.9785714285714295,14,97.7,0,0,0,6.2,1,6.2
Lou Malnati's Pizzeria,1120 N State St,Chicago,60610,US,41.90261339999999,-87.6288955,2,4,1343,7.7659090909090915,44,341.7,7.755813953488371,43,333.5,0,0,0,8.2,1,8.2
Georgio's Gourmet Pizza,11 W Division St,Chicago,60610,US,41.9038129,-87.62918330000002,1,2.5,53,2.775,4,11.1,3.333333333333333,3,10,0,0,0,1.1,1,1.1
Armand's Pizzeria,7650 W North Ave,Elmwood Park,60707,US,41.9089261,-87.8178411,2,3.5,67,7.709999999999999,10,77.1,7.777777777777778,9,70,0,0,0,7.1,1,7.1
Pequod's Pizzeria,2207 N Clybourn Ave,Chicago,60614,US,41.92191939999999,-87.66429889999998,2,4,5245,7.995522388059702,67,535.7,8.004545454545454,66,528.3,0,0,0,7.4,1,7.4
Geo's Pizza,2849 N Harlem Ave,Chicago,60707,US,41.93226749999999,-87.8062738,2,4.5,50,7.3599999999999985,5,36.8,7.425,4,29.7,0,0,0,7.1,1,7.1
Goodfellas Pizzeria,545 Massachusetts Ave,Indianapolis,46204,US,39.774472,-86.14954840000001,1,4,233,7.778181818181817,55,427.8,7.772222222222222,54,419.7,0,0,0,8.1,1,8.1
BazbeauxPizza,333 Massachusetts Ave,Indianapolis,46204,US,39.7716299,-86.15328799999996,2,4,568,5.222222222222221,9,47,5.2375,8,41.9,0,0,0,5.1,1,5.1
Napolese Pizzeria,30 S Meridian St,Indianapolis,46204,US,39.76629000000001,-86.158305,2,4,228,7.333333333333332,6,44,7.625,4,30.5,9.4,1,9.4,4.1,1,4.1
The Wig & Pen Pizza Pub,1220 Hwy 6 W,Iowa City,52246,US,41.6667105,-91.5591346,2,4,182,7.67,10,76.7,7.733333333333332,9,69.6,0,0,0,7.1,1,7.1
Casey's General Store,1987 2nd St,Coralville,52241,US,41.6796112,-91.5906823,1,2,3,7.6,2,15.2,10,1,10,0,0,0,5.2,1,5.2
Bearno's By the Bridge,131 W Main St,Louisville,40202,US,38.2565366,-85.7530056,2,3,116,6.45,4,25.8,6.1,2,12.2,7.2,1,7.2,6.4,1,6.4
The Original Impellizeri's Pizza,110 W Main St,Louisville,40202,US,38.2557701,-85.7522846,2,3.5,134,6.57,10,65.7,6.675,8,53.4,6.5,1,6.5,5.8,1,5.8
The Post,1045 Goss Ave,Louisville,40217,US,38.2276706,-85.7354161,2,4,407,6.6,21,138.6,6.92,20,138.4,0,0,0,0.2,1,0.2
Churchill Downs,700 Central Ave,Louisville,40208,US,38.2042473,-85.7716305,0,4.5,251,0.2,1,0.2,0,0,0,0,0,0,0.2,1,0.2
Cottage Inn Pizza - Ann Arbor,546 Packard St,Ann Arbor,48104,US,42.27198689999999,-83.7421382,1,3,61,4.5600000000000005,5,22.8,4.925,4,19.7,0,0,0,3.1,1,3.1
New York Pizza Depot,605 E William St,Ann Arbor,48104,US,42.2779976,-83.74172390000003,1,3.5,254,5.738461538461538,13,74.6,5.7666666666666675,12,69.2,0,0,0,5.4,1,5.4
Pizza House,618 Church St,Ann Arbor,48104,US,42.2743004,-83.73497990000001,2,3.5,384,6.7733333333333325,15,101.6,6.7714285714285705,14,94.8,0,0,0,6.8,1,6.8
Backroom Pizza,605 Church St,Ann Arbor,48104,US,42.274698,-83.734342,1,3.5,41,4.9,8,39.2,5.428571428571429,7,38,0,0,0,1.2,1,1.2
Buddy's Pizza,22148 Michigan Ave,Dearborn,48124,US,42.3057179,-83.247297,2,4,282,8.015384615384615,13,104.2,8.049999999999999,12,96.6,0,0,0,7.6,1,7.6
Leone's Pizza,5413 Sinclair Rd,Columbus,43229,US,40.0755657,-82.99826139999998,2,4.5,104,8.072727272727272,11,88.8,8.1,10,81,0,0,0,7.8,1,7.8
Adriatico's New York Style Pizza,1618 Neil Ave,Columbus,43201,US,39.9945638,-83.01419659999998,2,4,247,6.788888888888889,9,61.1,6.9625,8,55.7,0,0,0,5.4,1,5.4
Sicilia Fine Italian Specialties,22 E Frambes Ave,Columbus,43201,US,40.00510120000001,-83.00831490000002,1,3,45,6.968421052631579,19,132.4,6.972222222222222,18,125.5,0,0,0,6.9,1,6.9
The O Patio & Pub,12 E 15th Ave,Columbus,43201,US,40.0001458,-83.00761,1,2.5,15,6.65,2,13.3,6.9,1,6.9,0,0,0,6.4,1,6.4
Catfish Biff's Pizza & Subs,75 W 11th Ave,Columbus,43201,US,39.99517270000001,-83.00941019999998,1,3.5,52,6.685714285714285,7,46.8,7.6,6,45.6,0,0,0,1.2,1,1.2
GoreMade Pizza,936 N 4th St,Columbus,43201,US,39.9821407,-82.99847129999998,2,4,106,7.8625,16,125.8,7.893333333333333,15,118.4,0,0,0,7.4,1,7.4
Pies & Pints - Lexington,401 W Main St,Lexington,40507,US,38.049415,-84.49997330000002,2,4,361,8.003448275862068,29,232.1,8.010714285714286,28,224.3,0,0,0,7.8,1,7.8
Pazzo's Pizza Pub,385 S Limestone,Lexington,40508,US,38.0419078,-84.50380439999998,2,3.5,163,7.475,8,59.8,7.614285714285713,7,53.3,0,0,0,6.5,1,6.5
PieTana,210 Rosemont Gdn,Lexington,40503,US,38.0190885,-84.52187070000002,2,4.5,46,7.375,4,29.5,7.8,3,23.4,0,0,0,6.1,1,6.1
Belleria Pizzeria,5625 Mahoning Ave,Youngstown,44515,US,41.0992203,-80.76694920000001,1,3,9,6.8,1,6.8,0,0,0,0,0,0,6.8,1,6.8
Bruno Bros Pizza,5549 Mahoning Ave,Austintown,44515,US,41.0984394,-80.76609429999998,1,3.5,6,6.25,2,12.5,6.1,1,6.1,0,0,0,6.4,1,6.4
Wedgewood Fernando's Pizza - Austintown,1622 S Raccoon Rd,Youngstown,44515,US,41.084449,-80.732878,1,4,57,7.92,5,39.6,8.1,4,32.4,0,0,0,7.2,1,7.2
Avalon Downtown Pizzeria,17 W Federal St,Youngstown,44503,US,41.100117,-80.650357,1,4,47,7.587499999999999,8,60.7,7.6571428571428575,7,53.6,0,0,0,7.1,1,7.1
Brier Hill Pizza & Wings,587 5th St,Youngstown,44471,US,41.0553955,-80.60387469999998,0,4,5,7,1,7,0,0,0,0,0,0,7,1,7
Fox's Pizza Den,709 Ruffner Ave,Charleston,25311,US,38.34623089999999,-81.62039190000002,0,3,7,1.2,1,1.2,0,0,0,0,0,0,1.2,1,1.2
Sparky's Pizzeria and Grill,224 Parkstone Pl,Jackson,38305,US,35.67380929999999,-88.7794935,2,3.5,13,5.233333333333333,3,15.7,4.25,2,8.5,0,0,0,7.2,1,7.2
Black Sheep Pizza - Minneapolis,2550 Nicollet Ave S,Minneapolis,55404,US,44.95572629999999,-93.27816209999999,2,3.5,118,7.9978723404255305,47,375.9,7.991304347826087,46,367.6,0,0,0,8.3,1,8.3
Benny Marzano's,110 Draper Rd NW,Blacksburg,24060,US,37.229311,-80.41499519999998,1,4,111,8.092857142857143,14,113.3,8.169230769230769,13,106.2,0,0,0,7.1,1,7.1
Imperial Pizza,1035 Abbott Rd,Buffalo,14220,US,42.83597329999999,-78.80726990000002,1,4,163,7.56,20,151.2,7.6,19,144.4,0,0,0,6.8,1,6.8
Mellow Mushroom,11770 Haynes Bridge Rd,Alpharetta,30009,US,34.0697338,-84.29458360000002,2,3,52,6.9499999999999975,2,13.9,7.8,1,7.8,0,0,0,6.1,1,6.1
Marcello's Pizza & Subs,3655 Roswell Rd NE,Atlanta,30342,US,33.855396899999995,-84.38133169999998,2,3.5,94,6.716666666666666,6,40.3,5.725,4,22.9,10,1,10,7.4,1,7.4
Piu Bello Pizzeria Restaurant,3330 Piedmont Rd NE,Atlanta,30305,US,33.8457987,-84.3744938,1,4,256,6.616666666666667,6,39.7,6.75,4,27,6.8,1,6.8,5.9,1,5.9
Buckhead Pizza,3324 Peachtree Rd,Atlanta,30326,US,33.8455184,-84.36896860000002,2,3,405,6.75,6,40.5,6.475,4,25.9,7.4,1,7.4,7.2,1,7.2
Cosmo's Original Little Italy Pizza,144 E Crogan St,Lawrenceville,30045,US,33.956041,-83.98763249999998,1,3.5,91,7.2444444444444445,9,65.2,7.2625,8,58.1,0,0,0,7.1,1,7.1
Fellini's Pizza,1991 Howell Mill Rd NW,Atlanta,30318,US,33.8091393,-84.4126296,1,4,305,7.2,11,79.2,7.2,10,72,0,0,0,7.2,1,7.2
Antico Pizza,1093 Hemphill Ave NW,Atlanta,30318,US,33.7846405,-84.4056188,2,4,2874,8.277551020408161,49,405.6,8.277083333333334,48,397.3,0,0,0,8.3,1,8.3
Slice Downtown,85 Poplar St NW,Atlanta,30303,US,33.756896000000005,-84.39003439999998,2,3.5,172,6.275,4,25.1,6.1000000000000005,3,18.3,0,0,0,6.8,1,6.8
Hawthorne's NY Pizza & Bar,1701 E 7th St,Charlotte,28204,US,35.21582,-80.82162199999998,2,4,194,7.028571428571429,7,49.2,7.133333333333333,6,42.8,0,0,0,6.4,1,6.4
Pizza Joint,1245 Broad St,Augusta,30901,US,33.4786227,-81.97340340000002,1,3,110,6.4,3,19.2,6.3,2,12.6,0,0,0,6.6,1,6.6
Empire Slice House,1804 NW 16th St,Oklahoma City,73106,US,35.485709,-97.541423,1,4.5,866,7.821739130434782,23,179.9,7.836363636363638,22,172.4,0,0,0,7.5,1,7.5
Santucci's Original Square Pizza,901 S 10th St,Philadelphia,19147,US,39.9390309,-75.15922379999998,2,4,392,7.4833333333333325,12,89.8,7.481818181818181,11,82.3,0,0,0,7.5,1,7.5
Lorenzo & Sons Pizza,305 S St,Philadelphia,19147,US,39.956304,-75.24170699999998,1,3.5,598,6.1871794871794865,39,241.3,6.178947368421053,38,234.8,0,0,0,6.5,1,6.5
Santillo's Brick Oven Pizza,639 S Broad St,Elizabeth,7202,US,40.6489809,-74.2166257,2,4,277,8.084999999999999,40,323.4,8.07948717948718,39,315.1,0,0,0,8.3,1,8.3
Kinchley's Tavern,586 N Franklin Tpke,Ramsey,7446,US,41.07769860000001,-74.13872649999998,2,4,548,7.836956521739131,46,360.5,7.8444444444444414,45,353,0,0,0,7.5,1,7.5
Ralph's Pizzeria,564 Franklin Ave,Nutley,7110,US,40.8249129,-74.1531269,2,3.5,219,8.286842105263156,114,944.7,8.28141592920354,113,935.8,0,0,0,8.9,1,8.9
Costco,20 Bridewell Pl,Clifton,7014,US,40.8315592,-74.1375757,0,3.5,76,4.8,5,24,5.525,4,22.1,0,0,0,1.9,1,1.9
Pizza Town USA,89 US Hwy 46,Elmwood Park,7407,US,40.8937863,-74.1100941,1,3.5,342,7.797058823529412,34,265.1,7.8060606060606075,33,257.6,0,0,0,7.5,1,7.5
Brother's Pizzeria,750 Port Richmond Ave,Staten Island,10302,US,40.62554790000001,-74.14379170000002,1,4,195,8.396296296296295,27,226.7,8.415384615384616,26,218.8,0,0,0,7.9,1,7.9
Mama Rosa Pizza and Pasta,332 Union Ave,Rutherford,7070,US,40.8366184,-74.11392529999998,1,3.5,61,7.585714285714286,7,53.1,7.75,6,46.5,0,0,0,6.6,1,6.6
Denino's Pizzeria Tavern,524 Port Richmond Ave,Staten Island,10302,US,40.6302068,-74.14024789999998,2,4,646,8.351111111111111,45,375.8,8.356818181818182,44,367.7,0,0,0,8.1,1,8.1
The New Park Tavern,250 Park Ave,East Rutherford,7073,US,40.8291884,-74.1001832,2,3.5,148,7.6235294117647054,17,129.6,7.6125,16,121.8,0,0,0,7.8,1,7.8
Vesta Wood Fired Pizza & Bar,64 Hoboken Rd,East Rutherford,7073,US,40.8340373,-74.09027189999998,2,4,370,6.325,8,50.6,6.2,7,43.4,0,0,0,7.2,1,7.2
Lee's Tavern,60 Hancock St,Staten Island,10305,US,40.58876420000001,-74.09517389999998,2,4.5,444,8.281578947368423,38,314.7,8.291891891891893,37,306.8,0,0,0,7.9,1,7.9
The Original Goodfella's Brick Oven Pizza,1718 Hylan Blvd,Staten Island,10305,US,40.5867953,-74.09149609999999,2,4,219,7.42,10,74.2,7.48888888888889,9,67.4,0,0,0,6.8,1,6.8
Tony Boloney's,263 1st St,Hoboken,7030,US,40.7379143,-74.03429609999998,2,3.5,477,7.173333333333333,15,107.6,7.2,14,100.8,0,0,0,6.8,1,6.8
Krispy Pizza,33 Hudson St,Jersey City,7302,US,40.7132,-74.03555250000002,1,4,158,7.899999999999999,14,110.6,8.03076923076923,13,104.4,0,0,0,6.2,1,6.2
Mario's Classic Pizza,742 Garden St,Hoboken,7030,US,40.7462614,-74.03022299999998,1,3.5,86,8.100000000000001,9,72.9,8.2125,8,65.7,0,0,0,7.2,1,7.2
Johnny Pepperoni,219 11th St,Hoboken,7030,US,40.7501463,-74.0296929,2,4,321,8.36,10,83.6,8.444444444444445,9,76,0,0,0,7.6,1,7.6
Basile's Pizza,89 Washington St,Hoboken,7030,US,40.7369733,-74.03077669999998,1,3,238,7.6,39,296.4,7.586842105263157,38,288.3,0,0,0,8.1,1,8.1
Benny Tudino's Pizzeria,622 Washington St,Hoboken,7030,US,40.7442476,-74.0291561,1,3.5,606,6.795454545454546,22,149.5,6.795238095238094,21,142.7,0,0,0,6.8,1,6.8
Napoli's Brick Oven Pizza,1118 Washington St,Hoboken,7030,US,40.7507591,-74.02718270000003,2,3.5,436,7.725925925925924,27,208.6,7.738461538461538,26,201.2,0,0,0,7.4,1,7.4
Picasso Pizza,303 S End Ave,New York,10280,US,40.71038520000001,-74.0164692,1,3,109,4.74,10,47.4,4.4,8,35.2,8,1,8,4.2,1,4.2
Pomodoro Pizza,14 Rector St,New York,10006,US,40.7080776,-74.0136934,1,3.5,10,5.6,4,22.4,5.1,2,10.2,8,1,8,4.2,1,4.2
SIMÒ PIZZA,90-92 Gansevoort St,New York,10014,US,40.7392955,-74.0087429,1,4.5,78,7.35,2,14.7,7.9,1,7.9,0,0,0,6.8,1,6.8
Steve's Pizza,110 Trinity Pl,New York,10006,US,40.7095045,-74.0120408,1,3.5,162,3.7375,8,29.9,3.957142857142857,7,27.7,0,0,0,2.2,1,2.2
The Woodstock,446 W 14th St,New York,10014,US,40.7415865,-74.0075955,2,3.5,70,7.2666666666666675,3,21.8,7.1999999999999975,2,14.4,0,0,0,7.4,1,7.4
The Grotto Pizzeria & Ristorante,69 New St,New York,10004,US,40.63597,-74.1312791,1,3.5,129,5.42,5,27.1,5.95,4,23.8,0,0,0,3.3,1,3.3
Georgio Pizzeria,20 Beaver St,New York,10004,US,40.7048308,-74.0123163,1,3,114,5.9,8,47.2,5.828571428571428,7,40.8,0,0,0,6.4,1,6.4
Pranzo Pizza & Pasta,34 Water St,New York,10004,US,40.7033479,-74.0108472,1,4,102,6.62,5,33.1,6.8,4,27.2,0,0,0,5.9,1,5.9
Justino's Pizzeria,77 Pearl St,New York,10004,US,40.70402980000001,-74.01048,1,3.5,112,7.6322580645161295,31,236.6,7.64,30,229.2,0,0,0,7.4,1,7.4
Adrienne's Pizzabar,54 Stone St,New York,10004,US,40.70424819999999,-74.0101127,2,4,1517,7.033333333333334,12,84.4,7.2363636363636354,11,79.6,0,0,0,4.8,1,4.8
Open Market,15 William St,New York,10005,US,40.705371,-74.01007170000003,2,2.5,54,0.1,1,0.1,0,0,0,0,0,0,0.1,1,0.1
Da Vinci Pizza,46 Water St,New York,10041,US,40.7036197,-74.00997149999998,1,3,18,4.15,2,8.3,5.8,1,5.8,0,0,0,2.5,1,2.5
Cucina Bene,41 Exchange Pl,New York,10005,US,40.705987,-74.010097,1,3.5,91,6.727777777777778,18,121.1,6.705882352941178,17,114,0,0,0,7.1,1,7.1
Majestic Pizza,8 Cortlandt St,New York,10007,US,40.7100713,-74.01031490000003,1,3.5,127,7.062264150943396,53,374.3,7.003921568627452,51,357.2,10,1,10,7.1,1,7.1
Underground Pizza,3 Hanover Sq,New York,10004,US,40.7049944,-74.0096537,1,4,261,7.028571428571429,7,49.2,7.216666666666666,6,43.3,0,0,0,5.9,1,5.9
Neapolitan Express,40 Wall St,New York,10005,US,40.7068657,-74.0097069,2,3.5,168,7.425,16,118.8,7.38,15,110.7,0,0,0,8.1,1,8.1
Stage Door Pizza,26 Vesey St,New York,10007,US,40.712115,-74.00970290000002,1,4,225,6.8125,16,109,6.7733333333333325,15,101.6,0,0,0,7.4,1,7.4
Friendly Gourmet Pizza,59 Nassau St,New York,10038,US,40.7092384,-74.0088627,1,3.5,52,6.23,7,43.61,6.5,5,32.5,6.31,1,6.31,4.8,1,4.8
Dona Bella Pizza,154 Church St,New York,10007,US,40.7151451,-74.0079738,1,3,177,6.830769230769231,13,88.8,6.8,12,81.6,0,0,0,7.2,1,7.2
Harry's Italian,2 Gold St,New York,10038,US,40.7074723,-74.0068304,2,3.5,542,7.800000000000002,9,70.2,7.7714285714285705,7,54.4,8.1,1,8.1,7.7,1,7.7
Adoro Lei,287 Hudson St,New York,10013,US,40.7256037,-74.0079092,2,4.5,257,7.7333333333333325,3,23.2,7.699999999999997,2,15.4,0,0,0,7.8,1,7.8
Girello,11 Varick St,New York,10013,US,40.71961,-74.0070307,2,3.5,34,6.9,1,6.9,0,0,0,0,0,0,6.9,1,6.9
Little Italy Pizza,50 Fulton St,New York,10038,US,40.70819609999999,-74.00479550000001,1,3.5,78,6.4,16,102.4,6.364285714285713,14,89.1,7,1,7,6.3,1,6.3
Lucali,575 Henry St,Brooklyn,11231,US,40.6818032,-74.00030869999998,2,4.5,1280,9.07906976744186,43,390.4,9.073809523809524,42,381.1,0,0,0,9.3,1,9.3
Il Mattone West Village,450 Hudson St,New York,10014,US,40.7312196,-74.00651060000001,0,5,25,7.544444444444445,9,67.9,7.5,8,60,0,0,0,7.9,1,7.9
5 Boroughs Pizza,386 Canal St,New York,10013,US,40.721287,-74.00497109999998,1,3.5,25,4.325,4,17.3,4.633333333333334,3,13.9,0,0,0,3.4,1,3.4
Wild,535 Hudson St,New York,10014,US,40.73461700000001,-74.00635439999998,2,3.5,358,4.1,1,4.1,0,0,0,0,0,0,4.1,1,4.1
